time,Dallas,pts.away,score,pts.home,Toronto
8:29.0,,,56-45,,P. Patterson enters the game for J. Valanciunas
8:23.0,,,56-45,,Turnover by D. DeRozan (lost ball)
8:23.0,,,56-45,,Toronto full timeout
8:23.0,,,56-45,,L. Williams enters the game for D. DeRozan
8:07.0,D. Nowitzki misses 3-pt shot from 25 ft,,56-45,,
8:05.0,,,56-45,,Defensive rebound by P. Patterson
7:59.0,,,56-47,2,L. Williams makes 2-pt shot from 13 ft (assist by P. Patterson)
7:40.0,M. Ellis makes 2-pt shot from 16 ft (assist by T. Chandler),2,58-47,,
7:25.0,,,58-47,,P. Patterson misses 3-pt shot from 25 ft
7:24.0,,,58-47,,Offensive rebound by K. Lowry
7:21.0,,,58-49,2,A. Johnson makes 2-pt shot at rim (assist by K. Lowry)
6:55.0,M. Ellis misses 2-pt shot from 18 ft,,58-49,,
6:54.0,,,58-49,,Defensive rebound by K. Lowry
6:50.0,,,58-52,3,K. Lowry makes 3-pt shot from 25 ft
6:29.0,D. Nowitzki misses 3-pt shot from 26 ft,,58-52,,
6:28.0,,,58-52,,Defensive rebound by K. Lowry
6:20.0,,,58-52,,T. Ross misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by T. Chandler,,58-52,,
6:09.0,,,58-52,,Personal foul by A. Johnson (drawn by T. Chandler)
6:09.0,A. Aminu enters the game for D. Nowitzki,,58-52,,
6:00.0,A. Aminu makes 2-pt shot at rim (assist by M. Ellis),2,60-52,,
5:48.0,,,60-52,,Turnover by P. Patterson (traveling)
5:39.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,62-52,,
5:21.0,Personal block foul by D. Harris (drawn by K. Lowry),,62-52,,
5:17.0,Personal foul by D. Harris (drawn by K. Lowry),,62-52,,
5:17.0,,,62-52,,J. Valanciunas enters the game for A. Johnson
5:17.0,J. Barea enters the game for D. Harris,,62-52,,
5:11.0,,,62-52,,K. Lowry misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by Team,,62-52,,
5:02.0,J. Barea makes 2-pt shot from 4 ft,2,64-52,,
4:46.0,,,64-52,,K. Lowry misses 2-pt shot from 4 ft
4:45.0,,,64-52,,Offensive rebound by P. Patterson
4:43.0,,,64-52,,P. Patterson misses 2-pt shot from 1 ft
4:42.0,,,64-52,,Offensive rebound by T. Ross
4:39.0,,,64-52,,K. Lowry misses 3-pt shot from 23 ft
4:37.0,Defensive rebound by C. Parsons,,64-52,,
4:32.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,66-52,,
4:22.0,,,66-52,,Toronto full timeout
4:11.0,,,66-52,,Turnover by L. Williams (bad pass)
3:54.0,A. Aminu misses 3-pt shot from 23 ft,,66-52,,
3:53.0,,,66-52,,Defensive rebound by P. Patterson
3:41.0,,,66-54,2,T. Ross makes 2-pt shot from 5 ft
3:24.0,M. Ellis makes 3-pt shot from 26 ft (assist by J. Barea),3,69-54,,
3:11.0,,,69-56,2,P. Patterson makes 2-pt shot from 16 ft (assist by L. Williams)
3:01.0,Dallas full timeout,,69-56,,
3:01.0,,,69-56,,J. Johnson enters the game for T. Ross
3:01.0,B. Wright enters the game for C. Parsons,,69-56,,
3:01.0,D. Nowitzki enters the game for T. Chandler,,69-56,,
2:51.0,D. Nowitzki misses 3-pt shot from 26 ft,,69-56,,
2:50.0,,,69-56,,Defensive rebound by J. Valanciunas
2:34.0,,,69-58,2,J. Valanciunas makes 2-pt shot from 4 ft
2:09.0,B. Wright misses 2-pt shot from 4 ft,,69-58,,
2:08.0,,,69-58,,Defensive rebound by K. Lowry
2:00.0,,,69-58,,L. Williams misses 3-pt shot from 26 ft
2:00.0,,,69-58,,Offensive rebound by J. Valanciunas
1:58.0,,,69-58,,Shooting foul by B. Wright (drawn by J. Valanciunas)
1:58.0,,,69-59,1,J. Valanciunas makes free throw 1 of 2
1:58.0,,,69-59,,G. Vasquez enters the game for K. Lowry
1:58.0,,,69-60,1,J. Valanciunas makes free throw 2 of 2
1:39.0,J. Barea misses 3-pt shot from 26 ft,,69-60,,
1:38.0,,,69-60,,Defensive rebound by J. Valanciunas
1:29.0,,,69-62,2,L. Williams makes 2-pt shot from 14 ft
1:01.0,B. Wright misses 2-pt shot from 6 ft,,69-62,,
1:00.0,,,69-62,,Defensive rebound by J. Valanciunas
0:55.0,,,69-62,,Shooting foul by J. Barea (drawn by L. Williams)
0:55.0,,,69-63,1,L. Williams makes free throw 1 of 2
0:55.0,T. Chandler enters the game for B. Wright,,69-63,,
0:55.0,,,69-64,1,L. Williams makes free throw 2 of 2
0:42.0,D. Nowitzki misses 2-pt shot from 17 ft,,69-64,,
0:41.0,,,69-64,,Defensive rebound by J. Valanciunas
0:33.0,,,69-64,,L. Williams misses 3-pt shot from 28 ft
0:32.0,Defensive rebound by D. Nowitzki,,69-64,,
0:18.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by J. Barea),2,71-64,,
0:00.0,,,71-64,,L. Williams misses 3-pt shot from 25 ft
0:00.0,,,71-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,71-64,,P. Patterson misses 2-pt shot from 2 ft (block by B. Wright)
11:37.0,Defensive rebound by D. Nowitzki,,71-64,,
11:26.0,D. Harris misses 3-pt shot from 25 ft,,71-64,,
11:24.0,,,71-64,,Defensive rebound by J. Valanciunas
11:19.0,,,71-64,,Turnover by G. Vasquez (bad pass; steal by J. Barea)
11:13.0,Turnover by J. Barea (lost ball; steal by L. Williams),,71-64,,
11:06.0,,,71-64,,Turnover by L. Williams (bad pass; steal by J. Barea)
10:48.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by A. Aminu),2,73-64,,
10:31.0,,,73-67,3,P. Patterson makes 3-pt shot from 25 ft (assist by G. Vasquez)
10:15.0,D. Nowitzki makes 2-pt shot from 13 ft (assist by J. Barea),2,75-67,,
9:57.0,,,75-69,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by G. Vasquez)
9:53.0,,,75-69,,Personal block foul by J. Johnson (drawn by J. Barea)
9:53.0,,,75-69,,A. Johnson enters the game for P. Patterson
9:40.0,B. Wright misses 2-pt shot at rim,,75-69,,
9:39.0,,,75-69,,Defensive rebound by J. Johnson
9:26.0,,,75-69,,G. Vasquez misses 2-pt shot from 18 ft
9:25.0,Defensive rebound by A. Aminu,,75-69,,
9:20.0,A. Aminu makes 2-pt shot from 1 ft (assist by J. Barea),2,77-69,,
9:04.0,,,77-69,,G. Vasquez misses 2-pt shot from 3 ft
9:03.0,Defensive rebound by J. Barea,,77-69,,
8:56.0,D. Nowitzki misses 2-pt shot from 5 ft,,77-69,,
8:55.0,,,77-69,,Defensive rebound by J. Johnson
8:42.0,,,77-69,,Shooting foul by D. Nowitzki (drawn by J. Valanciunas)
8:42.0,Official timeout,,77-69,,
8:42.0,C. Parsons enters the game for D. Nowitzki,,77-69,,
8:42.0,T. Chandler enters the game for B. Wright,,77-69,,
8:42.0,,,77-69,,T. Ross enters the game for L. Williams
8:42.0,,,77-70,1,J. Valanciunas makes free throw 1 of 2
8:42.0,,,77-71,1,J. Valanciunas makes free throw 2 of 2
8:24.0,C. Parsons makes 2-pt shot from 4 ft,2,79-71,,
8:04.0,,,79-71,,J. Valanciunas misses 2-pt shot from 6 ft
8:03.0,Defensive rebound by C. Parsons,,79-71,,
7:48.0,A. Aminu makes 3-pt shot from 25 ft (assist by D. Harris),3,82-71,,
7:32.0,,,82-73,2,J. Johnson makes 2-pt shot from 3 ft (assist by G. Vasquez)
7:22.0,Shooting foul by T. Ross (drawn by D. Harris),,82-73,,
7:22.0,D. Harris makes free throw 1 of 2,1,83-73,,
7:22.0,,,83-73,,K. Lowry enters the game for J. Valanciunas
7:22.0,D. Harris makes free throw 2 of 2,1,84-73,,
7:05.0,,,84-76,3,A. Johnson makes 3-pt shot from 23 ft (assist by J. Johnson)
6:44.0,J. Barea misses 3-pt shot from 28 ft,,84-76,,
6:43.0,,,84-76,,Defensive rebound by G. Vasquez
6:36.0,,,84-79,3,G. Vasquez makes 3-pt shot from 24 ft
6:35.0,Dallas full timeout,,84-79,,
6:35.0,M. Ellis enters the game for J. Barea,,84-79,,
6:21.0,C. Parsons misses 2-pt shot from 9 ft,,84-79,,
6:20.0,Offensive rebound by C. Parsons,,84-79,,
6:16.0,C. Parsons makes 2-pt shot from 7 ft,2,86-79,,
6:00.0,,,86-79,,Turnover by J. Johnson (lost ball; steal by D. Harris)
5:53.0,Shooting foul by J. Johnson (drawn by D. Harris),,86-79,,
5:53.0,D. Harris misses free throw 1 of 2,,86-79,,
5:53.0,Offensive rebound by Team,,86-79,,
5:53.0,D. Harris makes free throw 2 of 2,1,87-79,,
5:39.0,,,87-79,,Shooting foul by A. Aminu (drawn by K. Lowry)
5:39.0,,,87-80,1,K. Lowry makes free throw 1 of 2
5:39.0,,,87-81,1,K. Lowry makes free throw 2 of 2
5:26.0,M. Ellis misses 2-pt shot from 20 ft,,87-81,,
5:25.0,,,87-81,,Defensive rebound by A. Johnson
5:14.0,,,87-81,,K. Lowry misses 2-pt shot from 20 ft
5:13.0,,,87-81,,Offensive rebound by A. Johnson
5:10.0,,,87-81,,A. Johnson misses 2-pt shot from 1 ft
5:09.0,,,87-81,,Offensive rebound by A. Johnson
5:09.0,,,87-83,2,A. Johnson makes 2-pt shot from 1 ft
5:09.0,Dallas full timeout,,87-83,,
5:09.0,D. Nowitzki enters the game for A. Aminu,,87-83,,
5:09.0,,,87-83,,P. Patterson enters the game for J. Johnson
4:46.0,M. Ellis makes 2-pt shot from 2 ft,2,89-83,,
4:32.0,,,89-83,,Turnover by K. Lowry (bad pass)
4:32.0,,,89-83,,L. Williams enters the game for T. Ross
