time,Cleveland,pts.away,score,pts.home,Miami
5:51.0,K. Love misses 3-pt shot from 23 ft,,12-19,,
5:50.0,,,12-19,,Defensive rebound by L. Deng
5:44.0,,,12-19,,Shooting foul by S. Marion (drawn by N. Cole)
5:44.0,,,12-19,,Miami full timeout
5:44.0,D. Waiters enters the game for S. Marion,,12-19,,
5:44.0,,,12-19,,U. Haslem enters the game for C. Andersen
5:44.0,,,12-19,,N. Cole misses free throw 1 of 2
5:44.0,,,12-19,,Offensive rebound by Team
5:44.0,,,12-20,1,N. Cole makes free throw 2 of 2
5:28.0,L. James misses 2-pt shot from 1 ft,,12-20,,
5:27.0,,,12-20,,Defensive rebound by D. Wade
5:24.0,,,12-20,,Turnover by L. Deng (step out of bounds)
5:02.0,K. Love makes 2-pt shot from 2 ft,2,14-20,,
4:43.0,,,14-20,,D. Wade misses 2-pt shot from 16 ft
4:42.0,Defensive rebound by D. Waiters,,14-20,,
4:26.0,M. Miller makes 3-pt shot from 22 ft (assist by L. James),3,17-20,,
4:06.0,,,17-22,2,L. Deng makes 2-pt shot from 1 ft
3:53.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,19-22,,
3:53.0,Shooting foul by U. Haslem (drawn by L. James),,19-22,,
3:53.0,T. Thompson enters the game for M. Miller,,19-22,,
3:53.0,L. James misses free throw 1 of 1,,19-22,,
3:51.0,,,19-22,,Defensive rebound by S. Williams
3:36.0,,,19-24,2,L. Deng makes 2-pt shot at rim (assist by N. Cole)
3:18.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,21-24,,
3:05.0,,,21-24,,Turnover by N. Cole (lost ball; steal by K. Irving)
3:00.0,Turnover by L. James (lost ball; steal by U. Haslem),,21-24,,
2:56.0,,,21-26,2,D. Wade makes 2-pt shot from 1 ft (assist by L. Deng)
2:50.0,D. Waiters makes 2-pt shot from 2 ft (assist by L. James),2,23-26,,
2:31.0,,,23-26,,N. Cole misses 2-pt shot from 6 ft
2:30.0,,,23-26,,Offensive rebound by D. Wade
2:30.0,,,23-28,2,D. Wade makes 2-pt shot at rim
2:11.0,K. Irving misses 2-pt shot from 16 ft,,23-28,,
2:10.0,Offensive rebound by K. Love,,23-28,,
2:09.0,Turnover by K. Love (lost ball; steal by S. Williams),,23-28,,
2:04.0,Cleveland full timeout,,23-28,,
2:04.0,,,23-28,,M. Chalmers enters the game for D. Wade
2:04.0,,,23-28,,H. Whiteside enters the game for S. Williams
2:03.0,Jump ball: U. Haslem vs. K. Irving (H. Whiteside gains possession),,,,Jump ball: U. Haslem vs. K. Irving (H. Whiteside gains possession)
1:48.0,Personal foul by L. James (drawn by L. Deng),,23-28,,
1:48.0,M. Dellavedova enters the game for K. Irving,,23-28,,
1:34.0,,,23-28,,Turnover by Team (shot clock)
1:24.0,Shooting foul by U. Haslem (drawn by K. Love),,23-28,,
1:24.0,K. Love makes free throw 1 of 2,1,24-28,,
1:24.0,K. Love makes free throw 2 of 2,1,25-28,,
1:06.0,,,25-30,2,U. Haslem makes 2-pt shot from 3 ft (assist by L. Deng)
0:47.0,Shooting foul by H. Whiteside (drawn by L. James),,25-30,,
0:47.0,L. James misses free throw 1 of 2,,25-30,,
0:47.0,Offensive rebound by Team,,25-30,,
0:47.0,S. Marion enters the game for K. Love,,25-30,,
0:47.0,L. James makes free throw 2 of 2,1,26-30,,
0:39.0,,,26-30,,Offensive foul by H. Whiteside
0:39.0,,,26-30,,Turnover by H. Whiteside (offensive foul)
0:29.0,L. James misses 3-pt shot from 24 ft,,26-30,,
0:28.0,,,26-30,,Defensive rebound by U. Haslem
0:07.0,,,26-30,,M. Chalmers misses 2-pt shot from 8 ft (block by D. Waiters)
0:06.0,,,26-30,,Offensive rebound by Team
0:03.0,,,26-30,,N. Cole misses 2-pt shot from 13 ft
0:02.0,Defensive rebound by S. Marion,,26-30,,
0:01.0,Shooting foul by U. Haslem (drawn by L. James),,26-30,,
0:01.0,L. James makes free throw 1 of 2,1,27-30,,
0:01.0,L. James misses free throw 2 of 2,,27-30,,
0:00.0,,,27-30,,Defensive rebound by L. Deng
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,27-33,3,N. Cole makes 3-pt shot from 25 ft (assist by D. Granger)
11:22.0,Turnover by D. Waiters (traveling),,27-33,,
11:07.0,Personal foul by T. Thompson (drawn by H. Whiteside),,27-33,,
10:57.0,,,27-35,2,D. Granger makes 2-pt shot from 12 ft (assist by M. Chalmers)
10:42.0,K. Irving misses 2-pt shot from 18 ft,,27-35,,
10:41.0,Offensive rebound by T. Thompson,,27-35,,
10:39.0,T. Thompson misses 2-pt shot from 1 ft,,27-35,,
10:38.0,Offensive rebound by T. Thompson,,27-35,,
10:34.0,Shooting foul by S. Williams (drawn by D. Waiters),,27-35,,
10:34.0,D. Waiters misses free throw 1 of 2,,27-35,,
10:34.0,Offensive rebound by Team,,27-35,,
10:34.0,D. Waiters makes free throw 2 of 2,1,28-35,,
10:12.0,,,28-35,,N. Cole misses 2-pt shot from 21 ft
10:11.0,,,28-35,,Offensive rebound by H. Whiteside
10:09.0,,,28-35,,H. Whiteside misses 2-pt shot at rim
10:08.0,Defensive rebound by K. Irving,,28-35,,
10:00.0,D. Waiters misses 3-pt shot from 24 ft,,28-35,,
9:59.0,,,28-35,,Defensive rebound by H. Whiteside
9:50.0,,,28-35,,M. Chalmers misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by K. Irving,,28-35,,
9:44.0,Turnover by M. Dellavedova (bad pass; steal by M. Chalmers),,28-35,,
9:38.0,,,28-38,3,S. Williams makes 3-pt shot from 24 ft (assist by M. Chalmers)
9:29.0,Cleveland full timeout,,28-38,,
9:29.0,K. Love enters the game for M. Dellavedova,,28-38,,
9:12.0,S. Marion misses 3-pt shot from 23 ft,,28-38,,
9:11.0,,,28-38,,Defensive rebound by H. Whiteside
9:00.0,,,28-40,2,S. Williams makes 2-pt shot from 19 ft
8:36.0,K. Irving makes 2-pt shot from 15 ft,2,30-40,,
8:21.0,,,30-40,,S. Williams misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by K. Irving,,30-40,,
8:14.0,D. Waiters misses 3-pt shot from 25 ft,,30-40,,
8:13.0,Offensive rebound by S. Marion,,30-40,,
8:10.0,M. Miller enters the game for S. Marion,,30-40,,
8:10.0,L. James enters the game for D. Waiters,,30-40,,
8:10.0,,,30-40,,L. Deng enters the game for N. Cole
8:10.0,,,30-40,,D. Wade enters the game for D. Granger
8:02.0,K. Irving misses 2-pt shot from 1 ft (block by H. Whiteside),,30-40,,
8:01.0,,,30-40,,Defensive rebound by S. Williams
7:54.0,,,30-42,2,D. Wade makes 2-pt shot from 18 ft (assist by S. Williams)
7:41.0,Shooting foul by S. Williams (drawn by L. James),,30-42,,
7:41.0,L. James misses free throw 1 of 2,,30-42,,
7:41.0,Offensive rebound by Team,,30-42,,
7:41.0,,,30-42,,N. Cole enters the game for M. Chalmers
7:41.0,L. James makes free throw 2 of 2,1,31-42,,
7:21.0,,,31-42,,L. Deng misses 3-pt shot from 25 ft
7:20.0,,,31-42,,Offensive rebound by S. Williams
7:15.0,,,31-44,2,N. Cole makes 2-pt shot from 14 ft
6:53.0,Shooting foul by N. Cole (drawn by K. Irving),,31-44,,
6:53.0,K. Irving makes free throw 1 of 2,1,32-44,,
6:53.0,J. Jones enters the game for T. Thompson,,32-44,,
6:53.0,K. Irving makes free throw 2 of 2,1,33-44,,
6:37.0,,,33-46,2,D. Wade makes 2-pt shot from 7 ft (assist by N. Cole)
6:09.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,36-46,,
6:09.0,,,36-46,,Miami full timeout
6:09.0,,,36-46,,C. Andersen enters the game for S. Williams
6:09.0,,,36-46,,D. Granger enters the game for H. Whiteside
5:53.0,,,36-49,3,D. Wade makes 3-pt shot from 24 ft
5:29.0,K. Love misses 2-pt shot from 8 ft,,36-49,,
5:28.0,,,36-49,,Defensive rebound by D. Granger
5:22.0,,,36-49,,D. Wade misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by J. Jones,,36-49,,
5:09.0,Turnover by L. James (lost ball; steal by C. Andersen),,36-49,,
4:49.0,,,36-49,,D. Granger misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by K. Irving,,36-49,,
4:47.0,Shooting foul by N. Cole (drawn by L. James),,36-49,,
4:47.0,L. James makes free throw 1 of 2,1,37-49,,
4:47.0,,,37-49,,M. Chalmers enters the game for N. Cole
4:47.0,L. James misses free throw 2 of 2,,37-49,,
4:46.0,,,37-49,,Defensive rebound by D. Granger
4:27.0,,,37-52,3,M. Chalmers makes 3-pt shot from 24 ft (assist by D. Wade)
4:07.0,L. James makes 2-pt shot from 17 ft,2,39-52,,
3:55.0,,,39-52,,Shooting foul by M. Miller (drawn by D. Wade)
3:55.0,,,39-53,1,D. Wade makes free throw 1 of 2
3:55.0,,,39-54,1,D. Wade makes free throw 2 of 2
3:39.0,K. Irving misses 3-pt shot from 24 ft,,39-54,,
3:38.0,,,39-54,,Defensive rebound by L. Deng
3:18.0,,,39-56,2,L. Deng makes 2-pt shot from 14 ft (assist by C. Andersen)
3:03.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,41-56,,
2:44.0,,,41-56,,Shooting foul by K. Irving (drawn by C. Andersen)
2:44.0,Official timeout,,41-56,,
2:44.0,T. Thompson enters the game for J. Jones,,41-56,,
2:44.0,,,41-56,,C. Andersen misses free throw 1 of 2
2:44.0,,,41-56,,Offensive rebound by Team
2:44.0,Violation by L. James (lane),,41-56,,
2:44.0,,,41-57,1,C. Andersen makes free throw 2 of 2
2:36.0,,,41-57,,Personal foul by L. Deng (drawn by L. James)
2:36.0,L. James makes free throw 1 of 2,1,42-57,,
2:36.0,L. James makes free throw 2 of 2,1,43-57,,
2:18.0,,,43-57,,D. Wade misses 2-pt shot from 17 ft
2:18.0,Defensive rebound by K. Love,,43-57,,
2:06.0,L. James misses 3-pt shot from 23 ft,,43-57,,
2:05.0,,,43-57,,Defensive rebound by L. Deng
1:47.0,,,43-60,3,D. Wade makes 3-pt shot from 23 ft (assist by L. Deng)
1:22.0,K. Irving makes 2-pt shot from 16 ft,2,45-60,,
1:06.0,,,45-60,,M. Chalmers misses 2-pt shot from 1 ft
1:05.0,Defensive rebound by T. Thompson,,45-60,,
1:00.0,M. Miller misses 3-pt shot from 24 ft,,45-60,,
1:00.0,Offensive rebound by T. Thompson,,45-60,,
1:00.0,,,45-60,,Personal block foul by M. Chalmers (drawn by T. Thompson)
1:00.0,T. Thompson makes free throw 1 of 2,1,46-60,,
1:00.0,D. Waiters enters the game for K. Irving,,46-60,,
1:00.0,,,46-60,,S. Williams enters the game for D. Granger
1:00.0,,,46-60,,N. Cole enters the game for M. Chalmers
1:00.0,T. Thompson misses free throw 2 of 2,,46-60,,
0:59.0,,,46-60,,Defensive rebound by C. Andersen
0:38.0,,,46-62,2,L. Deng makes 2-pt shot from 2 ft
0:18.0,L. James makes 3-pt shot from 24 ft,3,49-62,,
0:07.0,Personal foul by M. Miller (drawn by D. Wade),,49-62,,
0:07.0,,,49-62,,Miami full timeout
0:07.0,,,49-62,,D. Granger enters the game for C. Andersen
0:07.0,M. Dellavedova enters the game for K. Love,,49-62,,
0:01.0,,,49-62,,D. Wade misses 2-pt shot from 20 ft
0:00.0,,,49-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,49-62,,S. Williams misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by K. Love,,49-62,,
11:37.0,,,49-62,,Personal foul by L. Deng (drawn by L. James)
11:17.0,L. James makes 2-pt shot from 18 ft,2,51-62,,
11:00.0,Jump ball: M. Chalmers vs. K. Irving (S. Williams gains possession),,,,Jump ball: M. Chalmers vs. K. Irving (S. Williams gains possession)
10:50.0,,,51-62,,Turnover by Team (shot clock)
10:38.0,L. James makes 2-pt shot from 1 ft (assist by K. Irving),2,53-62,,
10:18.0,,,53-64,2,D. Wade makes 2-pt shot from 19 ft
9:59.0,K. Love makes 2-pt shot from 15 ft,2,55-64,,
9:47.0,Personal foul by M. Miller (drawn by M. Chalmers),,55-64,,
9:40.0,,,55-64,,M. Chalmers misses 2-pt shot from 1 ft (block by K. Love)
9:39.0,,,55-64,,Offensive rebound by C. Andersen
9:38.0,,,55-64,,C. Andersen misses 2-pt shot at rim
9:37.0,,,55-64,,Offensive rebound by M. Chalmers
9:36.0,,,55-64,,M. Chalmers misses 3-pt shot from 23 ft
9:35.0,Defensive rebound by L. James,,55-64,,
9:29.0,S. Marion makes 2-pt shot at rim (assist by L. James),2,57-64,,
9:29.0,,,57-64,,Miami full timeout
9:17.0,,,57-64,,D. Wade misses 2-pt shot from 2 ft
9:16.0,,,57-64,,Offensive rebound by Team
9:11.0,,,57-64,,Turnover by M. Chalmers (bad pass; steal by S. Marion)
9:06.0,S. Marion misses 2-pt shot from 1 ft,,57-64,,
9:05.0,,,57-64,,Defensive rebound by L. Deng
8:44.0,,,57-66,2,L. Deng makes 2-pt shot from 2 ft (assist by D. Wade)
8:29.0,K. Love makes 2-pt shot from 6 ft (assist by L. James),2,59-66,,
8:03.0,,,59-66,,L. Deng misses 2-pt shot from 11 ft
8:02.0,Defensive rebound by K. Love,,59-66,,
7:42.0,,,59-66,,Personal foul by L. Deng (drawn by L. James)
7:35.0,L. James makes 2-pt shot from 17 ft,2,61-66,,
7:18.0,,,61-66,,Shooting foul by M. Miller (drawn by C. Andersen)
7:18.0,,,61-66,,C. Andersen misses free throw 1 of 2
7:18.0,,,61-66,,Offensive rebound by Team
7:18.0,T. Thompson enters the game for M. Miller,,61-66,,
7:18.0,,,61-66,,N. Cole enters the game for M. Chalmers
7:18.0,,,61-67,1,C. Andersen makes free throw 2 of 2
7:08.0,S. Marion misses 3-pt shot from 23 ft,,61-67,,
7:06.0,Offensive rebound by Team,,61-67,,
7:01.0,K. Irving misses 2-pt shot from 12 ft,,61-67,,
7:00.0,Offensive rebound by S. Marion,,61-67,,
6:56.0,S. Marion misses 2-pt shot from 13 ft,,61-67,,
6:55.0,,,61-67,,Defensive rebound by N. Cole
6:42.0,,,61-67,,N. Cole misses 2-pt shot from 19 ft
6:41.0,,,61-67,,Offensive rebound by S. Williams
6:30.0,,,61-67,,D. Wade misses 3-pt shot from 22 ft
6:29.0,,,61-67,,Offensive rebound by Team
6:25.0,,,61-69,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
6:08.0,K. Irving misses 3-pt shot from 24 ft,,61-69,,
6:07.0,,,61-69,,Defensive rebound by S. Williams
5:53.0,,,61-69,,Shooting foul by K. Irving (drawn by L. Deng)
5:53.0,,,61-70,1,L. Deng makes free throw 1 of 2
5:53.0,D. Waiters enters the game for S. Marion,,61-70,,
5:53.0,,,61-71,1,L. Deng makes free throw 2 of 2
5:32.0,K. Love misses 2-pt shot from 18 ft,,61-71,,
5:31.0,,,61-71,,Defensive rebound by D. Wade
5:17.0,,,61-71,,D. Wade misses 2-pt shot from 19 ft
5:16.0,,,61-71,,Offensive rebound by C. Andersen
5:14.0,,,61-71,,D. Wade misses 2-pt shot at rim (block by T. Thompson)
5:13.0,Defensive rebound by L. James,,61-71,,
4:52.0,D. Waiters makes 3-pt shot from 23 ft (assist by K. Love),3,64-71,,
4:44.0,,,64-71,,Miami full timeout
4:44.0,,,64-71,,U. Haslem enters the game for C. Andersen
4:44.0,,,64-71,,M. Chalmers enters the game for D. Wade
4:27.0,,,64-71,,Turnover by N. Cole (bad pass; steal by K. Love)
4:25.0,Turnover by K. Love (bad pass),,64-71,,
4:11.0,,,64-73,2,L. Deng makes 2-pt shot from 19 ft (assist by N. Cole)
4:08.0,Cleveland full timeout,,64-73,,
4:08.0,M. Dellavedova enters the game for L. James,,64-73,,
4:08.0,,,64-73,,D. Granger enters the game for L. Deng
3:45.0,D. Waiters makes 2-pt shot from 20 ft,2,66-73,,
3:27.0,,,66-73,,U. Haslem misses 2-pt shot from 4 ft
3:26.0,Defensive rebound by T. Thompson,,66-73,,
3:19.0,K. Irving makes 2-pt shot at rim (assist by K. Love),2,68-73,,
3:19.0,Shooting foul by D. Granger (drawn by K. Irving),,68-73,,
3:19.0,K. Irving makes free throw 1 of 1,1,69-73,,
3:06.0,,,69-73,,S. Williams misses 3-pt shot from 23 ft
3:05.0,Defensive rebound by D. Waiters,,69-73,,
2:59.0,D. Waiters misses 2-pt shot at rim,,69-73,,
2:58.0,,,69-73,,Defensive rebound by U. Haslem
2:57.0,,,69-73,,Turnover by U. Haslem (bad pass; steal by T. Thompson)
2:53.0,T. Thompson makes 2-pt shot from 3 ft,2,71-73,,
2:28.0,,,71-73,,M. Chalmers misses 2-pt shot from 15 ft
2:27.0,Defensive rebound by T. Thompson,,71-73,,
2:20.0,,,71-73,,Personal foul by N. Cole (drawn by K. Irving)
2:20.0,,,71-73,,D. Wade enters the game for S. Williams
2:08.0,M. Dellavedova misses 2-pt shot from 2 ft,,71-73,,
2:07.0,Offensive rebound by M. Dellavedova,,71-73,,
2:05.0,K. Love misses 3-pt shot from 23 ft,,71-73,,
2:04.0,,,71-73,,Defensive rebound by Team
1:43.0,Shooting block foul by M. Dellavedova (drawn by N. Cole),,71-73,,
1:43.0,,,71-74,1,N. Cole makes free throw 1 of 2
1:43.0,,,71-75,1,N. Cole makes free throw 2 of 2
1:32.0,,,71-75,,Personal foul by D. Granger (drawn by K. Love)
1:32.0,K. Love makes free throw 1 of 2,1,72-75,,
1:32.0,S. Marion enters the game for K. Irving,,72-75,,
1:32.0,K. Love makes free throw 2 of 2,1,73-75,,
1:17.0,,,73-75,,M. Chalmers misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by T. Thompson,,73-75,,
1:00.0,K. Love misses 2-pt shot from 7 ft,,73-75,,
0:59.0,Offensive rebound by S. Marion,,73-75,,
0:46.0,M. Dellavedova misses 3-pt shot from 25 ft,,73-75,,
0:45.0,,,73-75,,Defensive rebound by U. Haslem
0:31.0,,,73-75,,D. Wade misses 2-pt shot from 14 ft
0:30.0,,,73-75,,Offensive rebound by U. Haslem
0:29.0,,,73-77,2,U. Haslem makes 2-pt shot from 1 ft
0:08.0,Shooting foul by D. Granger (drawn by T. Thompson),,73-77,,
0:08.0,T. Thompson makes free throw 1 of 2,1,74-77,,
0:08.0,M. Miller enters the game for K. Love,,74-77,,
0:08.0,T. Thompson misses free throw 2 of 2,,74-77,,
0:07.0,,,74-77,,Defensive rebound by D. Granger
0:00.0,,,74-77,,D. Wade misses 3-pt shot from 24 ft
0:00.0,,,74-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,K. Irving makes 2-pt shot from 19 ft,2,76-77,,
11:23.0,,,76-77,,Turnover by L. Deng (bad pass; steal by M. Dellavedova)
11:20.0,L. James makes 2-pt shot at rim (assist by D. Waiters),2,78-77,,
11:20.0,Technical foul by L. James,,78-77,,
11:20.0,,,78-78,1,D. Wade makes technical free throw
10:53.0,,,78-80,2,U. Haslem makes 2-pt shot from 1 ft (assist by L. Deng)
10:43.0,Turnover by T. Thompson (offensive goaltending),,78-80,,
10:28.0,,,78-80,,L. Deng misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by M. Dellavedova,,78-80,,
10:04.0,K. Irving makes 2-pt shot from 2 ft,2,80-80,,
9:44.0,,,80-80,,D. Wade misses 2-pt shot from 10 ft
9:43.0,Defensive rebound by D. Waiters,,80-80,,
9:37.0,Turnover by D. Waiters (bad pass),,80-80,,
9:37.0,,,80-80,,C. Andersen enters the game for U. Haslem
9:26.0,,,80-80,,M. Chalmers misses 2-pt shot from 14 ft
9:25.0,Defensive rebound by D. Waiters,,80-80,,
9:13.0,D. Waiters misses 2-pt shot from 19 ft,,80-80,,
9:12.0,,,80-80,,Defensive rebound by D. Wade
9:04.0,,,80-80,,D. Wade misses 2-pt shot from 20 ft
9:03.0,,,80-80,,Offensive rebound by Team
9:03.0,,,80-80,,D. Granger enters the game for M. Chalmers
8:57.0,Personal foul by M. Dellavedova (drawn by D. Granger),,80-80,,
8:57.0,Official timeout,,80-80,,
8:57.0,,,80-80,,M. Chalmers enters the game for D. Wade
8:52.0,,,80-82,2,D. Granger makes 2-pt shot from 1 ft (assist by L. Deng)
8:32.0,K. Irving misses 2-pt shot from 19 ft,,80-82,,
8:31.0,Offensive rebound by M. Dellavedova,,80-82,,
8:18.0,L. James misses 3-pt shot from 24 ft,,80-82,,
8:18.0,Offensive rebound by T. Thompson,,80-82,,
8:18.0,,,80-82,,Personal foul by M. Chalmers (drawn by T. Thompson)
8:10.0,T. Thompson misses 2-pt shot at rim (block by C. Andersen),,80-82,,
8:09.0,,,80-82,,Defensive rebound by D. Granger
8:04.0,,,80-82,,M. Chalmers misses 2-pt shot from 1 ft (block by D. Waiters)
8:03.0,,,80-82,,Offensive rebound by N. Cole
7:58.0,,,80-84,2,L. Deng makes 2-pt shot at rim (assist by N. Cole)
7:36.0,Shooting foul by C. Andersen (drawn by L. James),,80-84,,
7:36.0,L. James misses free throw 1 of 2,,80-84,,
7:36.0,Offensive rebound by Team,,80-84,,
7:36.0,L. James makes free throw 2 of 2,1,81-84,,
7:14.0,,,81-86,2,L. Deng makes 2-pt shot from 20 ft (assist by M. Chalmers)
6:59.0,L. James misses 3-pt shot from 24 ft,,81-86,,
6:58.0,,,81-86,,Defensive rebound by Team
6:58.0,Loose ball foul by T. Thompson (drawn by C. Andersen),,81-86,,
6:47.0,,,81-86,,Turnover by N. Cole (bad pass; steal by D. Waiters)
6:40.0,Turnover by D. Waiters (lost ball; steal by N. Cole),,81-86,,
6:35.0,,,81-86,,Turnover by N. Cole (lost ball; steal by D. Waiters)
6:33.0,,,81-86,,Personal foul by L. Deng (drawn by D. Waiters)
6:33.0,Cleveland full timeout,,81-86,,
6:33.0,K. Love enters the game for M. Dellavedova,,81-86,,
6:12.0,D. Waiters misses 3-pt shot from 24 ft,,81-86,,
6:11.0,Offensive rebound by Team,,81-86,,
6:08.0,,,81-86,,Loose ball foul by C. Andersen (drawn by T. Thompson)
5:55.0,Turnover by K. Irving (lost ball; steal by C. Andersen),,81-86,,
5:55.0,,,81-86,,Miami full timeout
5:55.0,,,81-86,,D. Wade enters the game for M. Chalmers
5:55.0,M. Dellavedova enters the game for K. Irving,,81-86,,
5:37.0,,,81-86,,N. Cole misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by D. Waiters,,81-86,,
5:26.0,T. Thompson misses 2-pt shot at rim,,81-86,,
5:25.0,,,81-86,,Defensive rebound by D. Granger
5:15.0,,,81-86,,D. Wade misses 2-pt shot from 12 ft
5:14.0,Defensive rebound by T. Thompson,,81-86,,
5:03.0,K. Love misses 3-pt shot from 24 ft,,81-86,,
5:02.0,,,81-86,,Defensive rebound by C. Andersen
4:40.0,,,81-86,,Shooting foul by D. Waiters (drawn by D. Wade)
4:40.0,,,81-87,1,D. Wade makes free throw 1 of 2
4:40.0,K. Irving enters the game for M. Dellavedova,,81-87,,
4:40.0,M. Miller enters the game for T. Thompson,,81-87,,
4:40.0,,,81-88,1,D. Wade makes free throw 2 of 2
4:22.0,K. Irving misses 2-pt shot from 14 ft,,81-88,,
4:21.0,,,81-88,,Defensive rebound by C. Andersen
4:07.0,,,81-90,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
4:02.0,Cleveland full timeout,,81-90,,
3:53.0,Shooting foul by C. Andersen (drawn by L. James),,81-90,,
3:53.0,L. James misses free throw 1 of 2,,81-90,,
3:53.0,Offensive rebound by Team,,81-90,,
3:53.0,L. James misses free throw 2 of 2,,81-90,,
3:52.0,,,81-90,,Defensive rebound by D. Wade
3:43.0,,,81-90,,Turnover by D. Wade (lost ball; steal by D. Waiters)
3:40.0,L. James makes 2-pt shot at rim (assist by D. Waiters),2,83-90,,
3:40.0,Shooting foul by D. Granger (drawn by L. James),,83-90,,
3:40.0,L. James makes free throw 1 of 1,1,84-90,,
3:23.0,,,84-90,,D. Wade misses 2-pt shot from 14 ft (block by M. Miller)
3:22.0,Defensive rebound by L. James,,84-90,,
3:09.0,Jump ball: N. Cole vs. M. Miller (D. Waiters gains possession),,,,Jump ball: N. Cole vs. M. Miller (D. Waiters gains possession)
3:00.0,M. Miller makes 3-pt shot from 23 ft (assist by K. Irving),3,87-90,,
