time,Denver,pts.away,score,pts.home,Dallas
4:50.0,T. Lawson misses 2-pt shot from 1 ft,,14-20,,
4:48.0,,,14-20,,Defensive rebound by T. Chandler
4:43.0,,,14-20,,D. Harris misses 3-pt shot from 24 ft
4:42.0,,,14-20,,Offensive rebound by A. Aminu
4:40.0,,,14-22,2,C. Parsons makes 2-pt shot at rim (assist by A. Aminu)
4:21.0,K. Faried makes 2-pt shot from 3 ft (assist by T. Lawson),2,16-22,,
4:07.0,,,16-22,,A. Aminu misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by T. Lawson,,16-22,,
3:58.0,A. Afflalo misses 3-pt shot from 23 ft,,16-22,,
3:57.0,,,16-22,,Defensive rebound by T. Chandler
3:53.0,,,16-22,,Dallas full timeout
3:53.0,,,16-22,,D. Powell enters the game for T. Chandler
3:53.0,J. Hickson enters the game for W. Chandler,,16-22,,
3:53.0,J. Nelson enters the game for J. Nurkic,,16-22,,
3:46.0,,,16-22,,D. Powell misses 2-pt shot from 18 ft
3:45.0,,,16-22,,Offensive rebound by A. Aminu
3:44.0,,,16-22,,A. Aminu misses 2-pt shot at rim (block by K. Faried)
3:43.0,Defensive rebound by A. Afflalo,,16-22,,
3:33.0,J. Hickson misses 2-pt shot from 5 ft,,16-22,,
3:31.0,,,16-22,,Defensive rebound by A. Aminu
3:20.0,,,16-22,,Turnover by M. Ellis (bad pass; steal by J. Nelson)
3:10.0,J. Hickson makes 2-pt shot at rim (assist by J. Nelson),2,18-22,,
2:57.0,,,18-22,,A. Aminu misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by A. Afflalo,,18-22,,
2:45.0,K. Faried makes 2-pt shot from 5 ft (assist by J. Nelson),2,20-22,,
2:33.0,Def 3 sec tech foul by A. Afflalo,,20-22,,
2:33.0,,,20-23,1,M. Ellis makes technical free throw
2:27.0,,,20-23,,M. Ellis misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by J. Hickson,,20-23,,
2:23.0,Turnover by J. Hickson (bad pass),,20-23,,
2:08.0,,,20-23,,Offensive charge foul by M. Ellis
2:08.0,,,20-23,,Turnover by M. Ellis (offensive foul)
2:08.0,,,20-23,,R. Rondo enters the game for M. Ellis
2:08.0,,,20-23,,D. Nowitzki enters the game for C. Parsons
2:08.0,D. Arthur enters the game for K. Faried,,20-23,,
1:56.0,J. Nelson misses 3-pt shot from 28 ft,,20-23,,
1:55.0,,,20-23,,Defensive rebound by R. Rondo
1:46.0,,,20-25,2,D. Powell makes 2-pt shot at rim (assist by R. Rondo)
1:27.0,T. Lawson misses 2-pt shot from 7 ft (block by A. Aminu),,20-25,,
1:25.0,,,20-25,,Defensive rebound by D. Nowitzki
1:20.0,,,20-27,2,A. Aminu makes 2-pt shot from 1 ft (assist by R. Rondo)
1:05.0,A. Afflalo makes 2-pt shot from 16 ft (assist by J. Nelson),2,22-27,,
0:48.0,,,22-27,,Shooting foul by T. Lawson (drawn by D. Harris)
0:48.0,,,22-28,1,D. Harris makes free throw 1 of 2
0:48.0,,,22-29,1,D. Harris makes free throw 2 of 2
0:40.0,,,22-29,,Personal foul by A. Aminu (drawn by T. Lawson)
0:33.0,J. Nelson makes 2-pt shot from 21 ft,2,24-29,,
0:08.0,,,24-29,,D. Harris misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by J. Hickson,,24-29,,
0:00.0,T. Lawson misses 3-pt shot from 24 ft,,24-29,,
0:00.0,Offensive rebound by J. Hickson,,24-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-29,,D. Nowitzki misses 2-pt shot from 17 ft
11:40.0,Defensive rebound by J. Hickson,,24-29,,
11:31.0,Offensive foul by D. Arthur,,24-29,,
11:31.0,Turnover by D. Arthur (offensive foul),,24-29,,
11:17.0,Personal foul by D. Arthur (drawn by D. Nowitzki),,24-29,,
11:04.0,,,24-29,,D. Powell misses 2-pt shot from 6 ft
11:03.0,Defensive rebound by J. Hickson,,24-29,,
10:53.0,Turnover by J. Nelson (bad pass; steal by D. Powell),,24-29,,
10:46.0,,,24-29,,Turnover by J. Barea (bad pass; steal by D. Arthur)
10:40.0,W. Chandler makes 2-pt shot from 3 ft (assist by T. Lawson),2,26-29,,
10:27.0,,,26-31,2,J. Barea makes 2-pt shot from 3 ft
10:27.0,,,26-31,,Shooting foul by J. Nelson (drawn by J. Barea)
10:27.0,A. Afflalo enters the game for T. Lawson,,26-31,,
10:27.0,,,26-31,,J. Barea misses free throw 1 of 1
10:26.0,Defensive rebound by J. Hickson,,26-31,,
10:17.0,Offensive foul by J. Hickson,,26-31,,
10:17.0,Turnover by J. Hickson (offensive foul),,26-31,,
10:02.0,,,26-31,,R. Jefferson misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by J. Hickson,,26-31,,
9:53.0,J. Nelson misses 3-pt shot from 24 ft,,26-31,,
9:52.0,,,26-31,,Defensive rebound by R. Jefferson
9:39.0,,,26-33,2,J. Barea makes 2-pt shot from 21 ft (assist by R. Rondo)
9:29.0,,,26-33,,Personal foul by D. Powell (drawn by J. Hickson)
9:25.0,Turnover by J. Nelson (lost ball; steal by D. Nowitzki),,26-33,,
9:21.0,,,26-33,,Turnover by R. Rondo (bad pass)
9:01.0,W. Chandler misses 2-pt shot from 14 ft,,26-33,,
9:00.0,Offensive rebound by W. Chandler,,26-33,,
8:51.0,D. Arthur misses 3-pt shot from 25 ft,,26-33,,
8:50.0,,,26-33,,Defensive rebound by R. Rondo
8:29.0,,,26-33,,D. Nowitzki misses 2-pt shot from 11 ft
8:28.0,Defensive rebound by W. Chandler,,26-33,,
8:24.0,Turnover by W. Chandler (bad pass; steal by D. Powell),,26-33,,
8:22.0,,,26-33,,Turnover by D. Powell (bad pass)
8:22.0,Official timeout,,26-33,,
8:22.0,,,26-33,,T. Chandler enters the game for D. Nowitzki
8:22.0,,,26-33,,M. Ellis enters the game for R. Rondo
8:22.0,,,26-33,,C. Parsons enters the game for D. Powell
8:15.0,D. Arthur misses 2-pt shot from 20 ft,,26-33,,
8:14.0,,,26-33,,Defensive rebound by T. Chandler
7:57.0,,,26-33,,M. Ellis misses 2-pt shot from 21 ft
7:56.0,Defensive rebound by W. Chandler,,26-33,,
7:44.0,J. Nelson misses 2-pt shot from 19 ft,,26-33,,
7:43.0,Offensive rebound by D. Arthur,,26-33,,
7:43.0,Shooting foul by J. Barea (drawn by D. Arthur),,26-33,,
7:43.0,D. Arthur makes free throw 1 of 2,1,27-33,,
7:43.0,D. Arthur misses free throw 2 of 2,,27-33,,
7:41.0,,,27-33,,Defensive rebound by C. Parsons
7:18.0,,,27-35,2,C. Parsons makes 2-pt shot from 3 ft
6:57.0,A. Afflalo misses 3-pt shot from 24 ft,,27-35,,
6:56.0,,,27-35,,Defensive rebound by J. Barea
6:49.0,,,27-37,2,T. Chandler makes 2-pt shot at rim (assist by J. Barea)
6:33.0,D. Arthur makes 2-pt shot from 22 ft (assist by J. Nelson),2,29-37,,
6:11.0,,,29-37,,R. Jefferson misses 2-pt shot from 20 ft
6:10.0,Defensive rebound by A. Afflalo,,29-37,,
6:05.0,,,29-37,,Personal foul by R. Jefferson (drawn by J. Hickson)
6:05.0,Personal foul by J. Hickson,,29-37,,
6:05.0,T. Lawson enters the game for J. Nelson,,29-37,,
6:05.0,J. Nurkic enters the game for J. Hickson,,29-37,,
6:05.0,,,29-37,,A. Aminu enters the game for R. Jefferson
6:05.0,,,29-37,,D. Harris enters the game for J. Barea
5:56.0,,,29-37,,Dallas full timeout
5:56.0,K. Faried enters the game for D. Arthur,,29-37,,
5:46.0,A. Afflalo misses 2-pt shot from 7 ft,,29-37,,
5:45.0,,,29-37,,Defensive rebound by T. Chandler
5:27.0,,,29-37,,A. Aminu misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by T. Lawson,,29-37,,
5:22.0,Offensive foul by K. Faried,,29-37,,
5:22.0,Turnover by K. Faried (offensive foul),,29-37,,
5:11.0,,,29-39,2,T. Chandler makes 2-pt shot from 19 ft (assist by C. Parsons)
4:51.0,J. Nurkic misses 2-pt shot from 6 ft,,29-39,,
4:50.0,Offensive rebound by J. Nurkic,,29-39,,
4:45.0,T. Lawson misses 2-pt shot from 6 ft,,29-39,,
4:44.0,Offensive rebound by K. Faried,,29-39,,
4:44.0,K. Faried makes 2-pt shot at rim,2,31-39,,
4:38.0,Shooting block foul by T. Lawson (drawn by D. Harris),,31-39,,
4:38.0,,,31-40,1,D. Harris makes free throw 1 of 2
4:38.0,,,31-40,,D. Nowitzki enters the game for A. Aminu
4:38.0,,,31-40,,D. Harris misses free throw 2 of 2
4:37.0,Defensive rebound by J. Nurkic,,31-40,,
4:17.0,Shooting foul by D. Harris (drawn by T. Lawson),,31-40,,
4:17.0,T. Lawson makes free throw 1 of 3,1,32-40,,
4:17.0,T. Lawson misses free throw 2 of 3,,32-40,,
4:17.0,Offensive rebound by Team,,32-40,,
4:17.0,,,32-40,,R. Rondo enters the game for D. Harris
4:17.0,T. Lawson misses free throw 3 of 3,,32-40,,
4:16.0,,,32-40,,Defensive rebound by T. Chandler
4:00.0,,,32-40,,D. Nowitzki misses 2-pt shot from 15 ft
3:59.0,Defensive rebound by K. Faried,,32-40,,
3:53.0,W. Chandler makes 3-pt shot from 26 ft (assist by T. Lawson),3,35-40,,
3:31.0,,,35-40,,M. Ellis misses 2-pt shot from 17 ft
3:30.0,Defensive rebound by W. Chandler,,35-40,,
3:16.0,A. Afflalo misses 2-pt shot from 9 ft,,35-40,,
3:16.0,,,35-40,,Defensive rebound by T. Chandler
3:12.0,,,35-40,,Turnover by R. Rondo (bad pass)
2:57.0,Turnover by W. Chandler (lost ball; steal by R. Rondo),,35-40,,
2:51.0,,,35-42,2,C. Parsons makes 2-pt shot at rim (assist by M. Ellis)
2:29.0,A. Afflalo misses 3-pt shot from 25 ft,,35-42,,
2:28.0,,,35-42,,Defensive rebound by R. Rondo
2:12.0,,,35-42,,Turnover by R. Rondo (bad pass; steal by J. Nurkic)
2:11.0,Shooting foul by D. Nowitzki (drawn by A. Afflalo),,35-42,,
2:11.0,A. Afflalo makes 2-pt shot from 2 ft (assist by T. Lawson),2,37-42,,
2:11.0,Denver full timeout,,37-42,,
2:11.0,A. Afflalo makes free throw 1 of 1,1,38-42,,
1:52.0,,,38-44,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by R. Rondo)
1:32.0,J. Nurkic misses 2-pt shot from 5 ft,,38-44,,
1:32.0,,,38-44,,Defensive rebound by T. Chandler
1:18.0,,,38-44,,D. Nowitzki misses 2-pt shot from 9 ft
1:17.0,Defensive rebound by J. Nurkic,,38-44,,
1:11.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,41-44,,
0:52.0,Shooting block foul by J. Nurkic (drawn by D. Nowitzki),,41-44,,
0:52.0,,,41-45,1,D. Nowitzki makes free throw 1 of 2
0:52.0,J. Nelson enters the game for J. Nurkic,,41-45,,
0:52.0,,,41-46,1,D. Nowitzki makes free throw 2 of 2
0:31.0,J. Nelson misses 2-pt shot from 23 ft,,41-46,,
0:30.0,,,41-46,,Defensive rebound by R. Rondo
0:06.0,,,41-49,3,M. Ellis makes 3-pt shot from 22 ft (assist by C. Parsons)
0:02.0,,,41-49,,Personal foul by M. Ellis (drawn by T. Lawson)
0:02.0,T. Lawson misses free throw 1 of 2,,41-49,,
0:02.0,Offensive rebound by Team,,41-49,,
0:02.0,T. Lawson makes free throw 2 of 2,1,42-49,,
0:00.0,,,42-49,,R. Rondo misses 3-pt shot from 45 ft
0:00.0,,,42-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,42-51,2,M. Ellis makes 2-pt shot from 17 ft (assist by T. Chandler)
11:25.0,Offensive foul by A. Afflalo,,42-51,,
11:25.0,Turnover by A. Afflalo (offensive foul),,42-51,,
11:15.0,,,42-53,2,M. Ellis makes 2-pt shot from 9 ft
10:51.0,Shooting foul by D. Nowitzki (drawn by K. Faried),,42-53,,
10:51.0,K. Faried misses free throw 1 of 2,,42-53,,
10:51.0,Offensive rebound by Team,,42-53,,
10:51.0,K. Faried makes free throw 2 of 2,1,43-53,,
10:26.0,,,43-53,,R. Rondo misses 2-pt shot from 13 ft
10:25.0,Defensive rebound by K. Faried,,43-53,,
10:21.0,Shooting foul by R. Rondo (drawn by T. Lawson),,43-53,,
10:21.0,T. Lawson makes free throw 1 of 2,1,44-53,,
10:21.0,T. Lawson misses free throw 2 of 2,,44-53,,
10:20.0,,,44-53,,Defensive rebound by T. Chandler
10:08.0,,,44-55,2,C. Parsons makes 2-pt shot from 1 ft
9:59.0,T. Lawson misses 2-pt shot from 19 ft,,44-55,,
9:58.0,,,44-55,,Defensive rebound by D. Nowitzki
9:51.0,,,44-58,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis)
9:48.0,Denver full timeout,,44-58,,
9:48.0,J. Hickson enters the game for J. Nurkic,,44-58,,
9:30.0,Turnover by J. Hickson (lost ball; steal by M. Ellis),,44-58,,
9:25.0,,,44-58,,Turnover by M. Ellis (bad pass; steal by A. Afflalo)
9:13.0,Turnover by J. Hickson (bad pass; steal by C. Parsons),,44-58,,
8:56.0,,,44-60,2,R. Rondo makes 2-pt shot from 20 ft
8:35.0,,,44-60,,Personal block foul by M. Ellis (drawn by A. Afflalo)
8:35.0,,,44-60,,A. Aminu enters the game for D. Nowitzki
8:28.0,A. Afflalo makes 3-pt shot from 23 ft (assist by J. Hickson),3,47-60,,
8:12.0,,,47-62,2,M. Ellis makes 2-pt shot from 1 ft (assist by R. Rondo)
8:06.0,T. Lawson misses 2-pt shot from 1 ft,,47-62,,
8:05.0,Offensive rebound by K. Faried,,47-62,,
8:05.0,K. Faried makes 2-pt shot at rim,2,49-62,,
7:54.0,,,49-62,,R. Rondo misses 2-pt shot from 22 ft
7:53.0,Defensive rebound by K. Faried,,49-62,,
7:41.0,Shooting foul by T. Chandler (drawn by J. Hickson),,49-62,,
7:41.0,J. Hickson misses free throw 1 of 2,,49-62,,
7:41.0,Offensive rebound by Team,,49-62,,
7:41.0,J. Hickson misses free throw 2 of 2,,49-62,,
7:40.0,,,49-62,,Defensive rebound by R. Rondo
7:16.0,,,49-62,,M. Ellis misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by T. Lawson,,49-62,,
7:13.0,Shooting foul by R. Rondo (drawn by J. Hickson),,49-62,,
7:13.0,J. Hickson makes free throw 1 of 2,1,50-62,,
7:13.0,J. Hickson misses free throw 2 of 2,,50-62,,
7:12.0,,,50-62,,Defensive rebound by A. Aminu
6:53.0,,,50-64,2,C. Parsons makes 2-pt shot at rim
6:36.0,A. Afflalo misses 2-pt shot from 18 ft,,50-64,,
6:35.0,Offensive rebound by J. Hickson,,50-64,,
6:33.0,J. Hickson makes 2-pt shot at rim,2,52-64,,
6:15.0,,,52-64,,Turnover by M. Ellis (offensive foul)
6:15.0,,,52-64,,Offensive charge foul by M. Ellis
6:15.0,,,52-64,,D. Harris enters the game for M. Ellis
6:02.0,T. Lawson misses 2-pt shot from 16 ft,,52-64,,
6:01.0,,,52-64,,Defensive rebound by R. Rondo
5:48.0,,,52-64,,Shooting foul by K. Faried (drawn by A. Aminu)
5:48.0,,,52-65,1,A. Aminu makes free throw 1 of 2
5:48.0,J. Nelson enters the game for K. Faried,,52-65,,
5:48.0,,,52-66,1,A. Aminu makes free throw 2 of 2
5:34.0,W. Chandler misses 3-pt shot from 24 ft,,52-66,,
5:32.0,,,52-66,,Defensive rebound by C. Parsons
5:18.0,Personal foul by J. Nelson (drawn by T. Chandler),,52-66,,
5:09.0,,,52-66,,R. Rondo misses 2-pt shot from 9 ft
5:08.0,Defensive rebound by J. Hickson,,52-66,,
5:01.0,A. Afflalo misses 2-pt shot from 21 ft,,52-66,,
5:00.0,,,52-66,,Defensive rebound by R. Rondo
4:42.0,,,52-66,,C. Parsons misses 3-pt shot from 24 ft
4:41.0,,,52-66,,Offensive rebound by A. Aminu
4:36.0,,,52-66,,Dallas full timeout
4:36.0,,,52-66,,J. Barea enters the game for R. Rondo
4:36.0,,,52-66,,D. Nowitzki enters the game for A. Aminu
4:36.0,D. Arthur enters the game for A. Afflalo,,52-66,,
4:23.0,,,52-66,,D. Harris misses 2-pt shot from 16 ft
4:22.0,Defensive rebound by D. Arthur,,52-66,,
3:59.0,J. Hickson misses 2-pt shot from 12 ft,,52-66,,
3:58.0,,,52-66,,Defensive rebound by D. Nowitzki
3:42.0,Personal foul by J. Nelson (drawn by D. Nowitzki),,52-66,,
3:42.0,,,52-66,,D. Powell enters the game for T. Chandler
3:35.0,,,52-66,,D. Nowitzki misses 2-pt shot from 15 ft
3:34.0,Defensive rebound by J. Hickson,,52-66,,
3:29.0,,,52-66,,Personal foul by J. Barea (drawn by J. Nelson)
3:29.0,J. Nelson misses free throw 1 of 2,,52-66,,
3:29.0,Offensive rebound by Team,,52-66,,
3:29.0,J. Nelson makes free throw 2 of 2,1,53-66,,
3:06.0,,,53-66,,J. Barea misses 2-pt shot from 5 ft (block by D. Arthur)
3:04.0,Defensive rebound by J. Hickson,,53-66,,
3:01.0,J. Nelson makes 2-pt shot at rim (assist by T. Lawson),2,55-66,,
3:01.0,Shooting foul by D. Harris (drawn by J. Nelson),,55-66,,
3:01.0,J. Nelson makes free throw 1 of 1,1,56-66,,
2:46.0,Personal foul by T. Lawson (drawn by D. Nowitzki),,56-66,,
2:36.0,,,56-69,3,J. Barea makes 3-pt shot from 22 ft (assist by D. Nowitzki)
2:24.0,J. Nelson makes 3-pt shot from 24 ft (assist by T. Lawson),3,59-69,,
2:12.0,Personal foul by W. Chandler (drawn by C. Parsons),,59-69,,
2:12.0,,,59-70,1,C. Parsons makes free throw 1 of 2
2:12.0,,,59-70,,C. Parsons misses free throw 2 of 2
2:11.0,Defensive rebound by D. Arthur,,59-70,,
1:57.0,T. Lawson misses 2-pt shot from 11 ft,,59-70,,
1:56.0,,,59-70,,Defensive rebound by C. Parsons
1:40.0,,,59-70,,D. Nowitzki misses 2-pt shot from 13 ft
1:39.0,,,59-70,,Offensive rebound by Team
1:33.0,,,59-70,,C. Parsons misses 3-pt shot from 22 ft
1:32.0,Defensive rebound by J. Hickson,,59-70,,
1:20.0,Shooting foul by D. Powell (drawn by J. Hickson),,59-70,,
1:20.0,J. Hickson makes free throw 1 of 2,1,60-70,,
1:20.0,,,60-70,,R. Jefferson enters the game for C. Parsons
1:20.0,J. Hickson misses free throw 2 of 2,,60-70,,
1:19.0,,,60-70,,Defensive rebound by D. Nowitzki
0:56.0,,,60-70,,J. Barea misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by J. Nelson,,60-70,,
0:51.0,D. Arthur makes 2-pt shot at rim (assist by J. Nelson),2,62-70,,
0:33.0,,,62-73,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris)
0:30.0,T. Lawson makes 3-pt shot from 24 ft,3,65-73,,
0:08.0,,,65-73,,D. Nowitzki misses 2-pt shot from 15 ft
0:07.0,Defensive rebound by W. Chandler,,65-73,,
0:01.0,W. Chandler misses 3-pt shot from 27 ft,,65-73,,
0:00.0,,,65-73,,Defensive rebound by D. Powell
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,D. Arthur makes 2-pt shot from 18 ft (assist by J. Nelson),2,67-73,,
11:21.0,,,67-75,2,D. Powell makes 2-pt shot from 17 ft (assist by J. Barea)
11:09.0,,,67-75,,Shooting block foul by D. Powell (drawn by T. Lawson)
11:09.0,T. Lawson misses free throw 1 of 2,,67-75,,
11:09.0,Offensive rebound by Team,,67-75,,
11:09.0,T. Lawson makes free throw 2 of 2,1,68-75,,
10:53.0,,,68-77,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by R. Jefferson)
10:53.0,,,68-77,,Shooting foul by D. Arthur (drawn by D. Nowitzki)
10:53.0,,,68-78,1,D. Nowitzki makes free throw 1 of 1
10:43.0,D. Arthur makes 2-pt shot from 14 ft (assist by T. Lawson),2,70-78,,
10:19.0,,,70-80,2,J. Barea makes 2-pt shot at rim
10:00.0,T. Lawson misses 3-pt shot from 24 ft,,70-80,,
9:59.0,,,70-80,,Defensive rebound by D. Nowitzki
9:47.0,,,70-80,,J. Barea misses 3-pt shot from 24 ft
9:46.0,,,70-80,,Offensive rebound by R. Jefferson
9:35.0,,,70-80,,D. Nowitzki misses 3-pt shot from 22 ft
9:34.0,Defensive rebound by K. Faried,,70-80,,
9:27.0,J. Nelson makes 2-pt shot from 1 ft (assist by T. Lawson),2,72-80,,
9:26.0,,,72-80,,Dallas full timeout
9:26.0,,,72-80,,T. Chandler enters the game for D. Nowitzki
9:26.0,,,72-80,,A. Aminu enters the game for D. Harris
9:26.0,,,72-80,,M. Ellis enters the game for D. Powell
9:26.0,W. Chandler enters the game for T. Lawson,,72-80,,
9:11.0,,,72-80,,A. Aminu misses 3-pt shot from 23 ft
9:11.0,,,72-80,,Offensive rebound by T. Chandler
9:11.0,Loose ball foul by W. Chandler (drawn by T. Chandler),,72-80,,
9:03.0,Shooting block foul by W. Chandler (drawn by A. Aminu),,72-80,,
9:03.0,,,72-81,1,A. Aminu makes free throw 1 of 2
9:03.0,,,72-82,1,A. Aminu makes free throw 2 of 2
8:53.0,Offensive foul by J. Nelson,,72-82,,
8:53.0,Turnover by J. Nelson (offensive foul),,72-82,,
8:39.0,,,72-82,,M. Ellis misses 2-pt shot from 21 ft
8:38.0,Defensive rebound by W. Chandler,,72-82,,
8:26.0,J. Nelson misses 2-pt shot from 4 ft (block by T. Chandler),,72-82,,
8:24.0,,,72-82,,Defensive rebound by T. Chandler
8:21.0,,,72-82,,Shooting foul by D. Arthur (drawn by A. Aminu)
8:21.0,,,72-83,1,A. Aminu makes free throw 1 of 2
8:21.0,J. Hickson enters the game for D. Arthur,,72-83,,
8:21.0,,,72-84,1,A. Aminu makes free throw 2 of 2
8:06.0,J. Nelson misses 3-pt shot from 24 ft,,72-84,,
8:05.0,Offensive rebound by K. Faried,,72-84,,
7:56.0,Turnover by J. Nelson (bad pass; steal by R. Jefferson),,72-84,,
7:31.0,,,72-84,,R. Jefferson misses 3-pt shot from 22 ft
7:30.0,Defensive rebound by A. Afflalo,,72-84,,
7:20.0,,,72-84,,Personal foul by R. Jefferson (drawn by A. Afflalo)
7:20.0,,,72-84,,C. Parsons enters the game for R. Jefferson
7:14.0,,,72-84,,Shooting block foul by A. Aminu (drawn by J. Hickson)
7:14.0,J. Hickson makes free throw 1 of 2,1,73-84,,
7:14.0,J. Hickson misses free throw 2 of 2,,73-84,,
7:13.0,,,73-84,,Defensive rebound by Team
6:56.0,Personal foul by J. Hickson (drawn by C. Parsons),,73-84,,
6:56.0,,,73-85,1,C. Parsons makes free throw 1 of 2
6:56.0,,,73-86,1,C. Parsons makes free throw 2 of 2
6:31.0,A. Afflalo misses 2-pt shot from 14 ft,,73-86,,
6:30.0,,,73-86,,Defensive rebound by J. Barea
6:23.0,,,73-86,,Offensive charge foul by T. Chandler
6:23.0,,,73-86,,Turnover by T. Chandler (offensive foul)
6:23.0,T. Lawson enters the game for K. Faried,,73-86,,
6:09.0,,,73-86,,Personal block foul by A. Aminu (drawn by T. Lawson)
5:59.0,J. Hickson makes 2-pt shot from 10 ft (assist by T. Lawson),2,75-86,,
