time,Oklahoma City,pts.away,score,pts.home,New York
2:09.0,Personal foul by A. Morrow (drawn by T. Hardaway),,83-92,,
2:09.0,R. Jackson enters the game for S. Adams,,83-92,,
2:06.0,Personal foul by A. Morrow (drawn by C. Anthony),,83-92,,
2:06.0,,,83-93,1,C. Anthony makes free throw 1 of 2
2:06.0,,,83-94,1,C. Anthony makes free throw 2 of 2
1:59.0,A. Morrow misses 3-pt shot from 25 ft,,83-94,,
1:58.0,,,83-94,,Defensive rebound by L. Thomas
1:40.0,,,83-94,,Turnover by T. Hardaway (bad pass; steal by R. Westbrook)
1:35.0,R. Westbrook makes 2-pt shot at rim (assist by R. Jackson),2,85-94,,
1:35.0,,,85-94,,New York full timeout
1:35.0,I. Smith enters the game for P. Jones,,85-94,,
1:27.0,,,85-94,,L. Thomas misses 2-pt shot at rim (block by R. Westbrook)
1:26.0,Defensive rebound by A. Morrow,,85-94,,
1:21.0,Shooting foul by L. Amundson (drawn by R. Westbrook),,85-94,,
1:21.0,R. Westbrook makes free throw 1 of 2,1,86-94,,
1:21.0,R. Westbrook makes free throw 2 of 2,1,87-94,,
1:12.0,Personal foul by R. Westbrook (drawn by L. Galloway),,87-94,,
1:12.0,,,87-95,1,L. Galloway makes free throw 1 of 2
1:12.0,,,87-95,,J. Calderon enters the game for T. Hardaway
1:12.0,,,87-95,,L. Galloway misses free throw 2 of 2
1:11.0,Defensive rebound by R. Jackson,,87-95,,
1:03.0,R. Jackson makes 3-pt shot from 26 ft,3,90-95,,
1:03.0,,,90-95,,New York full timeout
1:03.0,,,90-95,,J. Smith enters the game for L. Amundson
0:47.0,,,90-97,2,L. Thomas makes 2-pt shot from 14 ft (assist by J. Calderon)
0:42.0,R. Westbrook misses 3-pt shot from 25 ft,,90-97,,
0:40.0,,,90-97,,Defensive rebound by J. Smith
0:36.0,Personal take foul by S. Ibaka (drawn by J. Smith),,90-97,,
0:36.0,,,90-97,,J. Smith misses free throw 1 of 2
0:36.0,,,90-97,,Offensive rebound by Team
0:36.0,,,90-98,1,J. Smith makes free throw 2 of 2
0:34.0,,,90-98,,Personal foul by J. Smith (drawn by R. Westbrook)
0:34.0,R. Westbrook makes free throw 1 of 2,1,91-98,,
0:34.0,R. Westbrook makes free throw 2 of 2,1,92-98,,
0:29.0,Personal take foul by S. Ibaka (drawn by C. Anthony),,92-98,,
0:29.0,,,92-99,1,C. Anthony makes free throw 1 of 2
0:29.0,,,92-99,,L. Amundson enters the game for J. Smith
0:29.0,,,92-100,1,C. Anthony makes free throw 2 of 2
0:24.0,R. Westbrook misses 3-pt shot from 24 ft,,92-100,,
0:23.0,,,92-100,,Defensive rebound by C. Anthony
0:00.0,End of 4th quarter,,,,End of 4th quarter
