time,Memphis,pts.away,score,pts.home,Denver
1:45.0,,,22-21,,D. Arthur enters the game for T. Mozgov
1:38.0,,,22-24,3,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson)
1:19.0,M. Conley misses 2-pt shot from 21 ft,,22-24,,
1:18.0,,,22-24,,Defensive rebound by D. Arthur
1:09.0,,,22-27,3,T. Lawson makes 3-pt shot from 25 ft (assist by J. Hickson)
0:55.0,M. Conley misses 2-pt shot from 4 ft,,22-27,,
0:53.0,,,22-27,,Defensive rebound by J. Nurkic
0:51.0,,,22-27,,J. Hickson misses 2-pt shot from 1 ft
0:50.0,,,22-27,,Offensive rebound by J. Hickson
0:49.0,,,22-27,,Shooting foul by Q. Pondexter (drawn by J. Hickson)
0:49.0,,,22-28,1,J. Hickson makes free throw 1 of 2
0:49.0,N. Calathes enters the game for M. Conley,,22-28,,
0:49.0,,,22-29,1,J. Hickson makes free throw 2 of 2
0:27.0,V. Carter misses 3-pt shot from 31 ft,,22-29,,
0:26.0,,,22-29,,Defensive rebound by T. Lawson
0:06.0,,,22-29,,Turnover by T. Lawson (bad pass)
0:05.0,Turnover by V. Carter (bad pass),,22-29,,
0:00.0,,,22-32,3,T. Lawson makes 3-pt shot from 27 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,T. Prince misses 2-pt shot at rim,,22-32,,
11:40.0,,,22-32,,Defensive rebound by D. Arthur
11:31.0,,,22-32,,W. Chandler misses 3-pt shot from 23 ft
11:30.0,Defensive rebound by K. Koufos,,22-32,,
11:20.0,Turnover by N. Calathes (bad pass; steal by J. Nurkic),,22-32,,
11:12.0,,,22-32,,J. Nurkic misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by T. Prince,,22-32,,
11:03.0,V. Carter misses 3-pt shot from 25 ft,,22-32,,
11:01.0,,,22-32,,Defensive rebound by J. Nurkic
10:49.0,,,22-32,,T. Lawson misses 2-pt shot from 15 ft (block by N. Calathes)
10:46.0,Defensive rebound by T. Prince,,22-32,,
10:35.0,V. Carter makes 2-pt shot from 8 ft,2,24-32,,
10:10.0,,,24-32,,J. Nurkic misses 2-pt shot from 5 ft
10:09.0,Defensive rebound by N. Calathes,,24-32,,
10:00.0,N. Calathes makes 2-pt shot from 6 ft,2,26-32,,
9:50.0,,,26-32,,Turnover by J. Hickson (traveling)
9:50.0,,,26-32,,N. Robinson enters the game for T. Lawson
9:26.0,T. Prince misses 2-pt shot from 8 ft,,26-32,,
9:25.0,Offensive rebound by T. Prince,,26-32,,
9:10.0,V. Carter makes 2-pt shot at rim,2,28-32,,
9:09.0,,,28-32,,Denver full timeout
8:54.0,,,28-34,2,J. Hickson makes 2-pt shot from 4 ft
8:35.0,Turnover by T. Prince (traveling),,28-34,,
8:35.0,Official timeout,,28-34,,
8:20.0,,,28-34,,Shooting foul by Q. Pondexter (drawn by W. Chandler)
8:20.0,,,28-35,1,W. Chandler makes free throw 1 of 2
8:20.0,,,28-36,1,W. Chandler makes free throw 2 of 2
8:06.0,,,28-36,,Personal foul by W. Chandler (drawn by T. Prince)
7:55.0,Q. Pondexter misses 3-pt shot from 24 ft,,28-36,,
7:53.0,,,28-36,,Defensive rebound by J. Nurkic
7:46.0,,,28-36,,N. Robinson misses 3-pt shot from 24 ft
7:42.0,,,28-36,,Offensive rebound by J. Nurkic
7:41.0,,,28-36,,J. Nurkic misses 2-pt shot from 2 ft
7:40.0,Defensive rebound by K. Koufos,,28-36,,
7:34.0,K. Koufos makes 2-pt shot from 2 ft (assist by N. Calathes),2,30-36,,
7:31.0,,,30-36,,K. Faried enters the game for J. Hickson
7:16.0,,,30-38,2,J. Nurkic makes 2-pt shot from 5 ft (assist by N. Robinson)
6:59.0,V. Carter misses 3-pt shot from 24 ft,,30-38,,
6:57.0,,,30-38,,Defensive rebound by K. Faried
6:44.0,,,30-38,,J. Nurkic misses 2-pt shot from 5 ft
6:43.0,Defensive rebound by K. Koufos,,30-38,,
6:43.0,,,30-38,,Personal foul by D. Arthur (drawn by K. Koufos)
6:43.0,J. Stokes enters the game for Q. Pondexter,,30-38,,
6:43.0,,,30-38,,A. Afflalo enters the game for D. Arthur
6:27.0,Turnover by V. Carter (bad pass),,30-38,,
6:08.0,,,30-38,,Turnover by W. Chandler (bad pass)
5:55.0,V. Carter misses 2-pt shot from 19 ft,,30-38,,
5:54.0,,,30-38,,Defensive rebound by K. Faried
5:44.0,,,30-38,,W. Chandler misses 2-pt shot from 5 ft
5:43.0,Defensive rebound by J. Stokes,,30-38,,
5:35.0,J. Stokes misses 2-pt shot from 1 ft,,30-38,,
5:34.0,,,30-38,,Defensive rebound by J. Nurkic
5:26.0,,,30-38,,A. Afflalo misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by K. Koufos,,30-38,,
5:09.0,N. Calathes misses 2-pt shot from 2 ft (block by J. Nurkic),,30-38,,
5:07.0,,,30-38,,Defensive rebound by K. Faried
5:05.0,,,30-40,2,N. Robinson makes 2-pt shot from 2 ft (assist by K. Faried)
5:05.0,,,30-40,,Denver full timeout
5:05.0,,,30-40,,T. Mozgov enters the game for J. Nurkic
5:05.0,C. Lee enters the game for K. Koufos,,30-40,,
5:05.0,M. Conley enters the game for V. Carter,,30-40,,
5:05.0,M. Gasol enters the game for N. Calathes,,30-40,,
5:05.0,,,30-40,,N. Robinson misses flagrant free throw 1 of 2
5:05.0,,,30-40,,Offensive rebound by Team
5:05.0,,,30-40,,N. Robinson misses flagrant free throw 2 of 2
5:05.0,,,30-40,,Offensive rebound by Team
5:05.0,,,30-40,,T. Lawson enters the game for N. Robinson
4:47.0,,,30-42,2,K. Faried makes 2-pt shot from 6 ft
4:47.0,,,30-42,,Shooting foul by J. Stokes (drawn by K. Faried)
4:47.0,,,30-43,1,K. Faried makes free throw 1 of 1
4:29.0,J. Stokes misses 2-pt shot from 1 ft,,30-43,,
4:29.0,Offensive rebound by J. Stokes,,30-43,,
4:29.0,J. Stokes makes 2-pt shot from 1 ft,2,32-43,,
4:29.0,Shooting foul by T. Lawson (drawn by J. Stokes),,32-43,,
4:29.0,J. Stokes misses free throw 1 of 1,,32-43,,
4:27.0,,,32-43,,Defensive rebound by T. Mozgov
4:10.0,,,32-43,,T. Mozgov misses 2-pt shot from 20 ft
4:10.0,,,32-43,,Offensive rebound by Team
4:10.0,Loose ball foul by J. Stokes (drawn by K. Faried),,32-43,,
3:59.0,,,32-45,2,T. Lawson makes 2-pt shot from 15 ft
3:45.0,,,32-45,,Personal foul by K. Faried (drawn by J. Stokes)
3:32.0,T. Prince misses 2-pt shot from 5 ft,,32-45,,
3:29.0,Offensive rebound by J. Stokes,,32-45,,
3:15.0,T. Prince misses 3-pt shot from 23 ft,,32-45,,
3:14.0,,,32-45,,Defensive rebound by A. Afflalo
3:03.0,,,32-45,,Offensive foul by T. Mozgov (drawn by M. Conley)
3:03.0,,,32-45,,Turnover by T. Mozgov (offensive foul)
3:03.0,Memphis full timeout,,32-45,,
3:03.0,T. Allen enters the game for T. Prince,,32-45,,
2:38.0,J. Stokes makes 2-pt shot from 2 ft (assist by T. Allen),2,34-45,,
2:21.0,,,34-45,,A. Afflalo misses 2-pt shot from 17 ft
2:20.0,Defensive rebound by M. Conley,,34-45,,
2:11.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,36-45,,
1:53.0,,,36-47,2,T. Lawson makes 2-pt shot from 19 ft
1:36.0,T. Allen misses 2-pt shot from 7 ft,,36-47,,
1:34.0,Offensive rebound by T. Allen,,36-47,,
1:32.0,Turnover by T. Allen (bad pass; steal by A. Afflalo),,36-47,,
1:24.0,,,36-47,,A. Afflalo misses 2-pt shot from 5 ft
1:22.0,Defensive rebound by C. Lee,,36-47,,
1:20.0,Turnover by C. Lee (discontinued dribble),,36-47,,
1:00.0,,,36-47,,W. Chandler misses 2-pt shot from 10 ft
1:00.0,,,36-47,,Offensive rebound by K. Faried
1:00.0,,,36-49,2,K. Faried makes 2-pt shot from 1 ft
0:43.0,Shooting foul by T. Mozgov (drawn by M. Gasol),,36-49,,
0:43.0,M. Gasol makes free throw 1 of 2,1,37-49,,
0:43.0,M. Gasol makes free throw 2 of 2,1,38-49,,
0:28.0,,,38-49,,W. Chandler misses 3-pt shot from 24 ft (block by T. Allen)
0:26.0,,,38-49,,Offensive rebound by W. Chandler
0:24.0,,,38-49,,W. Chandler misses 2-pt shot from 19 ft
0:22.0,Defensive rebound by C. Lee,,38-49,,
0:02.0,M. Conley misses 2-pt shot from 8 ft,,38-49,,
0:01.0,,,38-49,,Defensive rebound by K. Faried
0:00.0,,,38-49,,K. Faried misses 3-pt shot from 54 ft
0:00.0,,,38-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,40-49,,
11:17.0,,,40-49,,W. Chandler misses 2-pt shot from 5 ft
11:15.0,,,40-49,,Offensive rebound by K. Faried
11:15.0,,,40-51,2,K. Faried makes 2-pt shot at rim
10:57.0,M. Gasol misses 2-pt shot from 19 ft,,40-51,,
10:56.0,,,40-51,,Defensive rebound by T. Lawson
10:48.0,,,40-51,,Turnover by T. Lawson (lost ball; steal by M. Conley)
10:41.0,T. Allen misses 2-pt shot from 1 ft,,40-51,,
10:40.0,,,40-51,,Defensive rebound by T. Mozgov
10:34.0,,,40-53,2,A. Afflalo makes 2-pt shot from 13 ft (assist by W. Chandler)
10:06.0,M. Conley misses 3-pt shot from 25 ft,,40-53,,
10:05.0,,,40-53,,Defensive rebound by W. Chandler
10:04.0,Personal foul by M. Conley (drawn by W. Chandler),,40-53,,
9:53.0,,,40-55,2,T. Lawson makes 2-pt shot from 17 ft
9:41.0,Turnover by M. Conley (bad pass; steal by T. Lawson),,40-55,,
9:37.0,,,40-57,2,A. Afflalo makes 2-pt shot from 1 ft (assist by T. Lawson)
9:28.0,Memphis full timeout,,40-57,,
9:13.0,M. Gasol makes 2-pt shot at rim,2,42-57,,
8:50.0,,,42-57,,K. Faried misses 2-pt shot from 2 ft
8:49.0,,,42-57,,Offensive rebound by T. Mozgov
8:46.0,,,42-57,,T. Mozgov misses 2-pt shot from 2 ft (block by J. Stokes)
8:45.0,Defensive rebound by T. Allen,,42-57,,
8:27.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Gasol),3,45-57,,
8:12.0,,,45-57,,J. Nurkic enters the game for T. Mozgov
8:03.0,,,45-60,3,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson)
7:44.0,M. Conley makes 2-pt shot from 2 ft,2,47-60,,
7:32.0,,,47-60,,Shooting foul by J. Stokes (drawn by J. Nurkic)
7:32.0,,,47-61,1,J. Nurkic makes free throw 1 of 2
7:32.0,K. Koufos enters the game for J. Stokes,,47-61,,
7:32.0,,,47-61,,J. Nurkic misses free throw 2 of 2
7:30.0,,,47-61,,Offensive rebound by W. Chandler
7:25.0,,,47-61,,Denver full timeout
7:17.0,,,47-61,,J. Nurkic misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by K. Koufos,,47-61,,
7:01.0,M. Gasol misses 2-pt shot from 1 ft (block by J. Nurkic),,47-61,,
6:59.0,,,47-61,,Defensive rebound by T. Lawson
6:57.0,,,47-63,2,W. Chandler makes 2-pt shot from 5 ft
6:57.0,Away from play foul by T. Allen (drawn by K. Faried),,47-63,,
6:57.0,,,47-64,1,K. Faried makes free throw 1 of 1
6:39.0,M. Conley makes 2-pt shot from 7 ft,2,49-64,,
6:22.0,,,49-67,3,T. Lawson makes 3-pt shot from 25 ft
6:04.0,C. Lee makes 2-pt shot from 1 ft,2,51-67,,
5:54.0,,,51-67,,T. Lawson misses 2-pt shot from 2 ft (block by K. Koufos)
5:52.0,Defensive rebound by C. Lee,,51-67,,
5:49.0,T. Allen makes 2-pt shot from 2 ft (assist by C. Lee),2,53-67,,
5:26.0,,,53-67,,K. Faried misses 2-pt shot from 6 ft
5:25.0,Defensive rebound by M. Gasol,,53-67,,
5:14.0,M. Gasol misses 2-pt shot from 19 ft,,53-67,,
5:10.0,,,53-67,,Defensive rebound by T. Lawson
5:06.0,Personal foul by M. Conley (drawn by T. Lawson),,53-67,,
4:55.0,,,53-67,,Turnover by J. Nurkic (bad pass; steal by T. Allen)
4:53.0,T. Allen makes 2-pt shot from 1 ft,2,55-67,,
4:53.0,Shooting foul by W. Chandler (drawn by T. Allen),,55-67,,
4:53.0,T. Allen misses free throw 1 of 1,,55-67,,
4:52.0,,,55-67,,Defensive rebound by K. Faried
4:36.0,,,55-67,,K. Faried misses 2-pt shot from 1 ft (block by M. Gasol)
4:34.0,Defensive rebound by M. Gasol,,55-67,,
4:33.0,M. Conley misses 2-pt shot from 2 ft (block by T. Lawson),,55-67,,
4:32.0,Offensive rebound by Team,,55-67,,
4:32.0,,,55-67,,J. Hickson enters the game for K. Faried
4:32.0,,,55-67,,D. Arthur enters the game for W. Chandler
4:19.0,K. Koufos misses 2-pt shot from 5 ft,,55-67,,
4:15.0,,,55-67,,Defensive rebound by J. Hickson
4:12.0,,,55-67,,Turnover by J. Hickson (lost ball; steal by T. Allen)
4:06.0,C. Lee misses 2-pt shot from 20 ft,,55-67,,
4:04.0,,,55-67,,Defensive rebound by Team
3:50.0,,,55-69,2,A. Afflalo makes 2-pt shot from 1 ft
3:41.0,M. Conley misses 2-pt shot from 7 ft,,55-69,,
3:39.0,,,55-69,,Defensive rebound by J. Nurkic
3:39.0,Personal foul by T. Allen (drawn by T. Lawson),,55-69,,
3:39.0,Technical foul by Team,,55-69,,
3:39.0,Technical foul by Team,,55-69,,
3:39.0,,,55-70,1,A. Afflalo makes technical free throw
3:39.0,,,55-71,1,A. Afflalo makes technical free throw
3:39.0,,,55-71,,T. Lawson misses free throw 1 of 2
3:39.0,,,55-71,,Offensive rebound by Team
3:39.0,,,55-72,1,T. Lawson makes free throw 2 of 2
3:26.0,Turnover by M. Gasol (traveling),,55-72,,
3:15.0,,,55-72,,Turnover by J. Hickson (bad pass; steal by T. Allen)
3:11.0,T. Allen misses 2-pt shot from 1 ft,,55-72,,
3:10.0,Offensive rebound by K. Koufos,,55-72,,
3:07.0,K. Koufos makes 2-pt shot from 1 ft,2,57-72,,
3:02.0,Technical foul by M. Gasol,,57-72,,
3:02.0,,,57-73,1,A. Afflalo makes technical free throw
2:48.0,,,57-73,,Turnover by A. Afflalo (lost ball)
2:48.0,,,57-73,,Denver full timeout
2:48.0,N. Calathes enters the game for M. Conley,,57-73,,
2:29.0,N. Calathes misses 2-pt shot from 4 ft (block by D. Arthur),,57-73,,
2:26.0,,,57-73,,Defensive rebound by T. Lawson
2:18.0,,,57-73,,Shooting foul by N. Calathes (drawn by J. Nurkic)
2:18.0,,,57-74,1,J. Nurkic makes free throw 1 of 2
2:18.0,T. Prince enters the game for T. Allen,,57-74,,
2:18.0,,,57-75,1,J. Nurkic makes free throw 2 of 2
2:11.0,,,57-75,,Personal foul by D. Arthur (drawn by M. Gasol)
2:03.0,N. Calathes makes 2-pt shot from 15 ft,2,59-75,,
1:45.0,,,59-77,2,A. Afflalo makes 2-pt shot from 9 ft (assist by T. Lawson)
1:33.0,Turnover by C. Lee (bad pass; steal by J. Nurkic),,59-77,,
1:27.0,,,59-79,2,T. Lawson makes 2-pt shot from 14 ft
1:07.0,M. Gasol misses 2-pt shot from 4 ft (block by J. Nurkic),,59-79,,
1:07.0,Offensive rebound by Team,,59-79,,
1:07.0,V. Carter enters the game for C. Lee,,59-79,,
1:01.0,N. Calathes misses 2-pt shot from 17 ft (block by T. Lawson),,59-79,,
1:00.0,Offensive rebound by Team,,59-79,,
1:00.0,Turnover by Team (shot clock),,59-79,,
0:47.0,,,59-81,2,D. Arthur makes 2-pt shot from 15 ft (assist by T. Lawson)
0:36.0,V. Carter misses 3-pt shot from 25 ft,,59-81,,
0:35.0,,,59-81,,Defensive rebound by J. Nurkic
0:29.0,,,59-83,2,D. Arthur makes 2-pt shot from 13 ft (assist by T. Lawson)
0:11.0,,,59-83,,Def 3 sec tech foul by J. Hickson
0:11.0,V. Carter makes technical free throw,1,60-83,,
0:02.0,T. Prince misses 2-pt shot from 2 ft (block by J. Nurkic),,60-83,,
0:01.0,Offensive rebound by M. Gasol,,60-83,,
0:00.0,M. Gasol misses 2-pt shot from 6 ft (block by J. Nurkic),,60-83,,
0:00.0,Offensive rebound by Team,,60-83,,
0:00.0,,,60-83,,Technical foul by J. Nurkic
0:00.0,Technical foul by N. Calathes,,60-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,60-83,,Shooting foul by J. Leuer (drawn by K. Faried)
11:42.0,,,60-83,,K. Faried misses free throw 1 of 2
11:42.0,,,60-83,,Offensive rebound by Team
11:42.0,,,60-84,1,K. Faried makes free throw 2 of 2
11:27.0,N. Calathes misses 2-pt shot from 19 ft,,60-84,,
11:25.0,,,60-84,,Defensive rebound by J. Nurkic
11:16.0,,,60-84,,D. Arthur misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by K. Koufos,,60-84,,
11:05.0,T. Prince makes 2-pt shot from 13 ft (assist by N. Calathes),2,62-84,,
10:46.0,,,62-86,2,J. Nurkic makes 2-pt shot from 8 ft (assist by T. Lawson)
10:25.0,V. Carter misses 2-pt shot from 2 ft,,62-86,,
10:24.0,,,62-86,,Defensive rebound by K. Faried
10:17.0,,,62-86,,Turnover by K. Faried (lost ball; steal by J. Leuer)
10:14.0,,,62-86,,Personal take foul by T. Lawson (drawn by N. Calathes)
10:06.0,J. Leuer misses 3-pt shot from 25 ft,,62-86,,
10:05.0,,,62-86,,Defensive rebound by J. Nurkic
9:48.0,,,62-86,,T. Lawson misses 2-pt shot from 19 ft
9:47.0,Defensive rebound by K. Koufos,,62-86,,
9:39.0,N. Calathes misses 3-pt shot from 26 ft,,62-86,,
9:37.0,,,62-86,,Defensive rebound by K. Faried
9:21.0,,,62-88,2,J. Nurkic makes 2-pt shot from 16 ft (assist by T. Lawson)
9:05.0,Turnover by T. Prince (traveling),,62-88,,
8:46.0,,,62-88,,W. Chandler misses 2-pt shot from 15 ft
8:44.0,Defensive rebound by J. Leuer,,62-88,,
8:35.0,T. Prince misses 3-pt shot from 22 ft,,62-88,,
8:34.0,,,62-88,,Defensive rebound by J. Nurkic
8:22.0,,,62-90,2,T. Lawson makes 2-pt shot from 4 ft
8:22.0,,,62-90,,Shooting foul by N. Calathes (drawn by T. Lawson)
8:22.0,Official timeout,,62-90,,
8:22.0,,,62-90,,A. Afflalo enters the game for D. Arthur
8:22.0,,,62-91,1,T. Lawson makes free throw 1 of 1
8:03.0,K. Koufos makes 2-pt shot from 11 ft,2,64-91,,
7:50.0,,,64-91,,W. Chandler misses 2-pt shot at rim
7:46.0,Defensive rebound by J. Leuer,,64-91,,
7:43.0,J. Leuer misses 2-pt shot at rim,,64-91,,
7:42.0,,,64-91,,Defensive rebound by K. Faried
7:36.0,,,64-94,3,W. Chandler makes 3-pt shot from 24 ft (assist by A. Afflalo)
7:25.0,N. Calathes misses 2-pt shot from 1 ft,,64-94,,
7:23.0,Offensive rebound by J. Leuer,,64-94,,
7:20.0,J. Leuer makes 2-pt shot from 1 ft,2,66-94,,
6:59.0,,,66-96,2,J. Nurkic makes 2-pt shot from 2 ft (assist by T. Lawson)
6:44.0,J. Leuer makes 2-pt shot from 17 ft (assist by N. Calathes),2,68-96,,
6:30.0,,,68-99,3,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson)
6:23.0,Memphis full timeout,,68-99,,
6:23.0,,,68-99,,A. Gee enters the game for W. Chandler
6:23.0,,,68-99,,J. Hickson enters the game for T. Lawson
6:23.0,,,68-99,,E. Green enters the game for A. Afflalo
6:23.0,,,68-99,,G. Harris enters the game for K. Faried
6:23.0,Q. Pondexter enters the game for T. Prince,,68-99,,
6:23.0,J. Adams enters the game for V. Carter,,68-99,,
6:18.0,Turnover by J. Adams (lost ball; steal by G. Harris),,68-99,,
6:14.0,,,68-101,2,G. Harris makes 2-pt shot from 2 ft
5:57.0,J. Adams makes 3-pt shot from 25 ft (assist by J. Leuer),3,71-101,,
5:45.0,Personal foul by J. Leuer (drawn by J. Hickson),,71-101,,
5:45.0,J. Stokes enters the game for K. Koufos,,71-101,,
5:45.0,,,71-101,,T. Mozgov enters the game for J. Nurkic
5:31.0,,,71-101,,T. Mozgov misses 2-pt shot from 14 ft
5:29.0,Defensive rebound by N. Calathes,,71-101,,
5:21.0,J. Adams makes 2-pt shot from 2 ft (assist by N. Calathes),2,73-101,,
5:05.0,,,73-103,2,T. Mozgov makes 2-pt shot at rim (assist by G. Harris)
4:53.0,J. Stokes misses 2-pt shot from 9 ft,,73-103,,
4:52.0,,,73-103,,Defensive rebound by A. Gee
4:48.0,,,73-103,,E. Green misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by J. Leuer,,73-103,,
4:33.0,J. Adams makes 2-pt shot from 10 ft (assist by N. Calathes),2,75-103,,
4:20.0,,,75-103,,G. Harris misses 2-pt shot from 2 ft
4:19.0,Defensive rebound by J. Leuer,,75-103,,
4:14.0,Shooting foul by T. Mozgov (drawn by J. Stokes),,75-103,,
4:14.0,J. Stokes makes free throw 1 of 2,1,76-103,,
4:14.0,J. Stokes misses free throw 2 of 2,,76-103,,
4:12.0,,,76-103,,Defensive rebound by E. Green
3:56.0,,,76-103,,Shooting foul by J. Stokes (drawn by A. Gee)
3:56.0,,,76-104,1,A. Gee makes free throw 1 of 2
3:56.0,,,76-105,1,A. Gee makes free throw 2 of 2
3:41.0,J. Adams makes 2-pt shot from 17 ft (assist by J. Leuer),2,78-105,,
3:25.0,,,78-105,,T. Mozgov misses 2-pt shot from 20 ft
3:25.0,Defensive rebound by Team,,78-105,,
3:13.0,,,78-105,,Personal foul by G. Harris (drawn by J. Adams)
3:06.0,J. Adams misses 2-pt shot from 1 ft,,78-105,,
3:04.0,,,78-105,,Defensive rebound by T. Mozgov
2:54.0,,,78-107,2,J. Hickson makes 2-pt shot at rim (assist by T. Mozgov)
2:42.0,,,78-107,,Denver full timeout
2:32.0,,,78-107,,Personal foul by G. Harris (drawn by J. Adams)
2:32.0,J. Adams makes free throw 1 of 2,1,79-107,,
2:32.0,J. Adams misses free throw 2 of 2,,79-107,,
2:31.0,,,79-107,,Defensive rebound by T. Mozgov
2:17.0,,,79-107,,Shooting foul by J. Stokes (drawn by J. Hickson)
2:17.0,,,79-108,1,J. Hickson makes free throw 1 of 2
2:17.0,,,79-108,,J. Hickson misses free throw 2 of 2
2:15.0,Defensive rebound by J. Adams,,79-108,,
2:03.0,Shooting foul by T. Mozgov (drawn by J. Stokes),,79-108,,
2:03.0,J. Stokes makes free throw 1 of 2,1,80-108,,
2:03.0,J. Stokes makes free throw 2 of 2,1,81-108,,
1:43.0,,,81-110,2,E. Green makes 2-pt shot from 19 ft (assist by G. Harris)
1:34.0,J. Adams makes 2-pt shot from 6 ft,2,83-110,,
1:22.0,,,83-110,,E. Green misses 2-pt shot from 2 ft
1:22.0,,,83-110,,Offensive rebound by J. Hickson
