time,Detroit,pts.away,score,pts.home,Philadelphia
4:42.0,,,15-13,,Offensive rebound by N. Noel
4:41.0,,,15-13,,N. Noel misses 2-pt shot from 1 ft
4:40.0,,,15-13,,Offensive rebound by Team
4:40.0,,,15-13,,H. Thompson enters the game for J. Richardson
4:20.0,,,15-15,2,I. Smith makes 2-pt shot from 12 ft
3:59.0,K. Caldwell-Pope misses 2-pt shot from 9 ft,,15-15,,
3:56.0,,,15-15,,Defensive rebound by I. Smith
3:52.0,,,15-15,,H. Thompson misses 3-pt shot from 23 ft
3:50.0,Defensive rebound by J. Anthony,,15-15,,
3:41.0,,,15-15,,Personal foul by L. Mbah a Moute (drawn by R. Jackson)
3:41.0,,,15-15,,I. Canaan enters the game for L. Mbah a Moute
3:41.0,,,15-15,,J. Grant enters the game for N. Noel
3:41.0,,,15-15,,T. Robinson enters the game for I. Smith
3:35.0,Shooting foul by J. Grant (drawn by J. Anthony),,15-15,,
3:35.0,J. Anthony makes free throw 1 of 2,1,16-15,,
3:35.0,S. Dinwiddie enters the game for R. Jackson,,16-15,,
3:35.0,T. Prince enters the game for C. Butler,,16-15,,
3:35.0,J. Anthony makes free throw 2 of 2,1,17-15,,
3:17.0,,,17-15,,R. Covington misses 2-pt shot from 3 ft
3:16.0,Defensive rebound by K. Caldwell-Pope,,17-15,,
2:58.0,T. Prince makes 2-pt shot from 20 ft,2,19-15,,
2:38.0,,,19-15,,T. Robinson misses 2-pt shot from 2 ft
2:36.0,Defensive rebound by A. Tolliver,,19-15,,
2:31.0,A. Tolliver misses 3-pt shot from 26 ft,,19-15,,
2:28.0,,,19-15,,Defensive rebound by R. Covington
2:23.0,,,19-15,,I. Canaan misses 2-pt shot from 1 ft
2:19.0,,,19-15,,Offensive rebound by T. Robinson
2:19.0,,,19-17,2,T. Robinson makes 2-pt shot from 1 ft
2:09.0,S. Dinwiddie misses 2-pt shot from 16 ft,,19-17,,
2:07.0,,,19-17,,Defensive rebound by I. Canaan
2:00.0,,,19-17,,R. Covington misses 3-pt shot from 26 ft
1:58.0,Defensive rebound by S. Dinwiddie,,19-17,,
1:44.0,Turnover by T. Prince (lost ball; steal by H. Thompson),,19-17,,
1:28.0,,,19-20,3,J. Grant makes 3-pt shot from 25 ft (assist by I. Canaan)
1:08.0,S. Dinwiddie misses 2-pt shot from 2 ft,,19-20,,
1:07.0,Offensive rebound by J. Anthony,,19-20,,
1:01.0,T. Prince misses 2-pt shot from 9 ft,,19-20,,
1:00.0,Offensive rebound by K. Caldwell-Pope,,19-20,,
1:00.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,21-20,,
0:47.0,,,21-20,,Shooting foul by S. Dinwiddie (drawn by I. Canaan)
0:47.0,,,21-21,1,I. Canaan makes free throw 1 of 2
0:47.0,J. Meeks enters the game for K. Caldwell-Pope,,21-21,,
0:47.0,S. Williams enters the game for A. Tolliver,,21-21,,
0:47.0,,,21-22,1,I. Canaan makes free throw 2 of 2
0:24.0,S. Dinwiddie misses 2-pt shot from 2 ft,,21-22,,
0:22.0,,,21-22,,Defensive rebound by T. Robinson
0:01.0,,,21-24,2,J. Grant makes 2-pt shot at rim (assist by I. Canaan)
0:00.0,S. Dinwiddie misses 3-pt shot from 39 ft,,21-24,,
0:00.0,Offensive rebound by Team,,21-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,21-24,,Turnover by J. Grant (bad pass; steal by J. Meeks)
11:40.0,,,21-24,,Personal foul by T. Robinson (drawn by S. Dinwiddie)
11:19.0,Turnover by J. Anthony (bad pass; steal by R. Covington),,21-24,,
11:11.0,,,21-27,3,R. Covington makes 3-pt shot from 24 ft (assist by I. Canaan)
10:49.0,T. Prince makes 2-pt shot from 15 ft,2,23-27,,
10:30.0,,,23-29,2,T. Robinson makes 2-pt shot from 9 ft (assist by R. Covington)
10:14.0,J. Meeks misses 2-pt shot from 19 ft,,23-29,,
10:11.0,,,23-29,,Defensive rebound by T. Robinson
10:04.0,,,23-29,,Turnover by I. Canaan (bad pass; steal by J. Meeks)
10:00.0,,,23-29,,Personal foul by I. Canaan (drawn by J. Meeks)
10:00.0,J. Meeks makes free throw 1 of 2,1,24-29,,
10:00.0,A. Drummond enters the game for J. Anthony,,24-29,,
10:00.0,J. Meeks makes free throw 2 of 2,1,25-29,,
9:43.0,,,25-31,2,T. Robinson makes 2-pt shot from 1 ft (assist by R. Covington)
9:32.0,Turnover by J. Meeks (lost ball; steal by H. Thompson),,25-31,,
9:24.0,,,25-31,,I. Canaan misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by T. Prince,,25-31,,
9:12.0,T. Prince misses 3-pt shot from 24 ft,,25-31,,
9:10.0,,,25-31,,Defensive rebound by I. Canaan
9:06.0,,,25-31,,R. Covington misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by S. Williams,,25-31,,
8:57.0,T. Prince misses 2-pt shot from 2 ft (block by T. Robinson),,25-31,,
8:56.0,Offensive rebound by Team,,25-31,,
8:56.0,Official timeout,,25-31,,
8:48.0,J. Meeks misses 2-pt shot from 19 ft,,25-31,,
8:46.0,,,25-31,,Defensive rebound by H. Thompson
8:39.0,,,25-31,,Turnover by H. Thompson (traveling)
8:28.0,S. Dinwiddie misses 2-pt shot from 16 ft,,25-31,,
8:26.0,,,25-31,,Defensive rebound by J. Grant
8:08.0,,,25-33,2,T. Robinson makes 2-pt shot from 1 ft
7:41.0,T. Prince makes 2-pt shot from 18 ft (assist by S. Dinwiddie),2,27-33,,
7:28.0,,,27-33,,T. Robinson misses 2-pt shot from 20 ft
7:26.0,Defensive rebound by S. Williams,,27-33,,
7:20.0,,,27-33,,Violation by R. Covington (kicked ball)
7:20.0,R. Jackson enters the game for S. Dinwiddie,,27-33,,
7:20.0,,,27-33,,L. Mbah a Moute enters the game for R. Covington
7:11.0,Turnover by S. Williams (bad pass; steal by T. Robinson),,27-33,,
7:05.0,,,27-33,,I. Canaan misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by A. Drummond,,27-33,,
6:55.0,Turnover by S. Williams (lost ball; steal by I. Canaan),,27-33,,
6:39.0,,,27-33,,J. Grant misses 2-pt shot from 7 ft
6:37.0,,,27-33,,Offensive rebound by T. Robinson
6:37.0,,,27-35,2,T. Robinson makes 2-pt shot from 2 ft
6:31.0,Detroit full timeout,,27-35,,
6:31.0,,,27-35,,N. Noel enters the game for T. Robinson
6:31.0,,,27-35,,J. Richardson enters the game for H. Thompson
6:22.0,R. Jackson misses 2-pt shot from 6 ft,,27-35,,
6:20.0,,,27-35,,Defensive rebound by N. Noel
6:05.0,,,27-35,,L. Mbah a Moute misses 2-pt shot from 2 ft
6:03.0,Defensive rebound by T. Prince,,27-35,,
5:55.0,A. Drummond makes 2-pt shot from 2 ft (assist by T. Prince),2,29-35,,
5:45.0,,,29-38,3,J. Grant makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
5:30.0,R. Jackson makes 2-pt shot from 8 ft,2,31-38,,
5:16.0,Personal foul by S. Williams (drawn by N. Noel),,31-38,,
5:16.0,A. Tolliver enters the game for S. Williams,,31-38,,
5:16.0,,,31-38,,I. Smith enters the game for I. Canaan
5:01.0,,,31-38,,I. Smith misses 3-pt shot from 26 ft
5:00.0,,,31-38,,Offensive rebound by J. Grant
4:54.0,,,31-40,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
4:27.0,A. Drummond misses 2-pt shot from 5 ft,,31-40,,
4:25.0,Offensive rebound by A. Tolliver,,31-40,,
4:25.0,Turnover by A. Tolliver (bad pass),,31-40,,
4:25.0,,,31-40,,J. Sampson enters the game for J. Grant
4:05.0,,,31-40,,N. Noel misses 2-pt shot from 4 ft
4:03.0,Defensive rebound by A. Drummond,,31-40,,
3:59.0,Turnover by T. Prince (lost ball; steal by I. Smith),,31-40,,
3:53.0,,,31-43,3,J. Richardson makes 3-pt shot from 23 ft (assist by I. Smith)
3:39.0,R. Jackson misses 2-pt shot from 19 ft,,31-43,,
3:37.0,Offensive rebound by A. Drummond,,31-43,,
3:37.0,A. Drummond misses 2-pt shot at rim,,31-43,,
3:35.0,Offensive rebound by R. Jackson,,31-43,,
3:26.0,Shooting foul by J. Richardson (drawn by R. Jackson),,31-43,,
3:26.0,R. Jackson makes free throw 1 of 2,1,32-43,,
3:26.0,K. Caldwell-Pope enters the game for J. Meeks,,32-43,,
3:26.0,R. Jackson makes free throw 2 of 2,1,33-43,,
3:14.0,,,33-43,,N. Noel misses 2-pt shot from 10 ft
3:14.0,Defensive rebound by Team,,33-43,,
3:04.0,R. Jackson misses 2-pt shot from 10 ft (block by I. Smith),,33-43,,
3:03.0,Offensive rebound by R. Jackson,,33-43,,
3:00.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,35-43,,
3:00.0,Shooting foul by L. Mbah a Moute (drawn by A. Drummond),,35-43,,
3:00.0,A. Drummond makes free throw 1 of 1,1,36-43,,
2:56.0,,,36-43,,Philadelphia full timeout
2:42.0,,,36-43,,J. Richardson misses 2-pt shot from 18 ft
2:40.0,,,36-43,,Offensive rebound by L. Mbah a Moute
2:31.0,Personal foul by T. Prince (drawn by N. Noel),,36-43,,
2:21.0,,,36-45,2,J. Sampson makes 2-pt shot from 1 ft (assist by L. Mbah a Moute)
2:02.0,Turnover by R. Jackson (bad pass; steal by J. Sampson),,36-45,,
1:58.0,Personal foul by K. Caldwell-Pope (drawn by I. Smith),,36-45,,
1:47.0,,,36-45,,J. Sampson misses 2-pt shot from 2 ft
1:45.0,,,36-45,,Offensive rebound by N. Noel
1:45.0,,,36-45,,N. Noel misses 2-pt shot at rim
1:43.0,Defensive rebound by A. Drummond,,36-45,,
1:33.0,Turnover by K. Caldwell-Pope (bad pass),,36-45,,
1:29.0,,,36-45,,J. Sampson misses 3-pt shot from 27 ft
1:28.0,,,36-45,,Offensive rebound by Team
1:17.0,,,36-45,,I. Smith misses 2-pt shot from 3 ft
1:15.0,Defensive rebound by R. Jackson,,36-45,,
1:09.0,T. Prince misses 2-pt shot from 18 ft,,36-45,,
1:08.0,,,36-45,,Defensive rebound by J. Richardson
1:03.0,,,36-47,2,N. Noel makes 2-pt shot at rim (assist by J. Richardson)
0:48.0,A. Tolliver makes 3-pt shot from 25 ft (assist by T. Prince),3,39-47,,
0:42.0,,,39-47,,I. Smith misses 2-pt shot from 5 ft
0:41.0,Defensive rebound by R. Jackson,,39-47,,
0:31.0,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by N. Noel),,39-47,,
0:31.0,Offensive rebound by Team,,39-47,,
0:22.0,R. Jackson misses 2-pt shot from 22 ft,,39-47,,
0:21.0,,,39-47,,Defensive rebound by J. Sampson
0:03.0,,,39-49,2,I. Smith makes 2-pt shot from 6 ft
0:01.0,Turnover by K. Caldwell-Pope (lost ball; steal by I. Smith),,39-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,39-49,,J. Richardson misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by K. Caldwell-Pope,,39-49,,
11:20.0,K. Caldwell-Pope makes 2-pt shot from 9 ft (assist by R. Jackson),2,41-49,,
10:56.0,,,41-51,2,J. Richardson makes 2-pt shot from 2 ft (assist by I. Smith)
10:32.0,C. Butler makes 2-pt shot from 18 ft (assist by R. Jackson),2,43-51,,
10:17.0,Personal foul by C. Butler (drawn by N. Noel),,43-51,,
10:11.0,,,43-54,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by I. Smith)
9:59.0,,,43-54,,Personal foul by J. Sampson (drawn by A. Tolliver)
9:51.0,C. Butler misses 3-pt shot from 25 ft,,43-54,,
9:49.0,Offensive rebound by A. Drummond,,43-54,,
9:44.0,Turnover by A. Drummond (bad pass; steal by I. Smith),,43-54,,
9:38.0,,,43-54,,J. Sampson misses 3-pt shot from 25 ft
9:36.0,,,43-54,,Offensive rebound by L. Mbah a Moute
9:29.0,,,43-54,,J. Richardson misses 3-pt shot from 26 ft
9:27.0,Defensive rebound by R. Jackson,,43-54,,
9:06.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,43-54,,
9:05.0,Offensive rebound by A. Drummond,,43-54,,
9:05.0,,,43-54,,Personal foul by L. Mbah a Moute (drawn by A. Drummond)
9:01.0,R. Jackson misses 2-pt shot from 15 ft,,43-54,,
8:59.0,,,43-54,,Defensive rebound by J. Richardson
8:56.0,,,43-54,,Offensive charge foul by J. Richardson
8:56.0,,,43-54,,Turnover by J. Richardson (offensive foul)
8:39.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,43-54,,
8:37.0,,,43-54,,Defensive rebound by J. Sampson
8:32.0,,,43-54,,J. Sampson misses 2-pt shot from 6 ft
8:30.0,Defensive rebound by A. Drummond,,43-54,,
8:23.0,A. Drummond misses 2-pt shot from 2 ft (block by N. Noel),,43-54,,
8:23.0,Offensive rebound by Team,,43-54,,
8:14.0,A. Tolliver makes 2-pt shot from 1 ft (assist by R. Jackson),2,45-54,,
8:05.0,,,45-54,,I. Smith misses 2-pt shot from 3 ft (block by A. Drummond)
8:04.0,,,45-54,,Offensive rebound by N. Noel
8:03.0,,,45-54,,Shooting foul by A. Tolliver (drawn by N. Noel)
8:03.0,,,45-55,1,N. Noel makes free throw 1 of 2
8:03.0,,,45-55,,N. Noel misses free throw 2 of 2
8:01.0,,,45-55,,Offensive rebound by J. Sampson
7:46.0,,,45-57,2,J. Sampson makes 2-pt shot from 4 ft (assist by I. Smith)
7:28.0,C. Butler misses 3-pt shot from 24 ft,,45-57,,
7:26.0,Offensive rebound by A. Drummond,,45-57,,
7:25.0,A. Drummond misses 2-pt shot from 4 ft,,45-57,,
7:23.0,,,45-57,,Defensive rebound by Team
7:09.0,,,45-57,,Turnover by J. Sampson (bad pass; steal by C. Butler)
7:01.0,C. Butler makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,48-57,,
7:01.0,,,48-57,,Philadelphia full timeout
6:44.0,,,48-57,,J. Sampson misses 2-pt shot from 2 ft (block by A. Tolliver)
6:42.0,Defensive rebound by A. Tolliver,,48-57,,
6:38.0,C. Butler misses 3-pt shot from 24 ft,,48-57,,
6:35.0,,,48-57,,Defensive rebound by J. Richardson
6:13.0,,,48-57,,L. Mbah a Moute misses 2-pt shot from 4 ft
6:11.0,Defensive rebound by K. Caldwell-Pope,,48-57,,
5:56.0,Turnover by R. Jackson (bad pass; steal by J. Sampson),,48-57,,
5:47.0,,,48-60,3,J. Richardson makes 3-pt shot from 26 ft (assist by I. Smith)
5:22.0,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by R. Jackson),2,50-60,,
5:02.0,,,50-62,2,I. Smith makes 2-pt shot from 4 ft
4:44.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,50-62,,
4:43.0,,,50-62,,Defensive rebound by J. Sampson
4:32.0,,,50-62,,Turnover by J. Sampson (lost ball; steal by C. Butler)
4:27.0,Shooting foul by I. Smith (drawn by K. Caldwell-Pope),,50-62,,
4:27.0,K. Caldwell-Pope makes free throw 1 of 2,1,51-62,,
4:27.0,S. Dinwiddie enters the game for R. Jackson,,51-62,,
4:27.0,,,51-62,,R. Covington enters the game for J. Sampson
4:27.0,,,51-62,,J. Grant enters the game for N. Noel
4:27.0,,,51-62,,T. Robinson enters the game for J. Richardson
4:27.0,,,51-62,,H. Thompson enters the game for L. Mbah a Moute
4:27.0,K. Caldwell-Pope makes free throw 2 of 2,1,52-62,,
4:06.0,,,52-65,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
3:45.0,K. Caldwell-Pope makes 2-pt shot from 15 ft,2,54-65,,
3:27.0,,,54-67,2,I. Smith makes 2-pt shot from 7 ft
3:24.0,Detroit full timeout,,54-67,,
3:24.0,,,54-67,,I. Canaan enters the game for I. Smith
3:10.0,S. Dinwiddie misses 2-pt shot from 8 ft,,54-67,,
3:08.0,Offensive rebound by A. Drummond,,54-67,,
3:08.0,A. Drummond misses 2-pt shot at rim,,54-67,,
3:05.0,,,54-67,,Defensive rebound by T. Robinson
2:55.0,,,54-67,,T. Robinson misses 2-pt shot from 15 ft
2:53.0,Defensive rebound by K. Caldwell-Pope,,54-67,,
2:34.0,Shooting foul by I. Canaan (drawn by K. Caldwell-Pope),,54-67,,
2:34.0,K. Caldwell-Pope makes free throw 1 of 2,1,55-67,,
2:34.0,J. Meeks enters the game for C. Butler,,55-67,,
2:34.0,K. Caldwell-Pope makes free throw 2 of 2,1,56-67,,
2:13.0,,,56-67,,Turnover by J. Grant (bad pass; steal by J. Meeks)
2:04.0,J. Meeks makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,59-67,,
1:42.0,,,59-67,,Shooting foul by A. Drummond (drawn by I. Canaan)
1:42.0,,,59-67,,I. Canaan misses free throw 1 of 2
1:42.0,,,59-67,,Offensive rebound by Team
1:42.0,,,59-68,1,I. Canaan makes free throw 2 of 2
1:29.0,J. Meeks misses 2-pt shot from 11 ft,,59-68,,
1:28.0,Offensive rebound by A. Drummond,,59-68,,
1:28.0,A. Drummond makes 2-pt shot from 1 ft,2,61-68,,
1:17.0,,,61-68,,Offensive charge foul by T. Robinson
1:17.0,,,61-68,,Turnover by T. Robinson (offensive foul)
1:03.0,S. Dinwiddie misses 2-pt shot from 5 ft (block by T. Robinson),,61-68,,
1:02.0,Offensive rebound by S. Dinwiddie,,61-68,,
1:01.0,Shooting foul by R. Covington (drawn by S. Dinwiddie),,61-68,,
1:01.0,S. Dinwiddie makes free throw 1 of 2,1,62-68,,
1:01.0,J. Anthony enters the game for A. Drummond,,62-68,,
1:01.0,S. Dinwiddie makes free throw 2 of 2,1,63-68,,
0:40.0,,,63-68,,R. Covington misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by J. Meeks,,63-68,,
0:17.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Dinwiddie),2,65-68,,
0:02.0,,,65-68,,I. Canaan misses 2-pt shot from 3 ft (block by J. Anthony)
0:01.0,,,65-68,,Offensive rebound by Team
0:01.0,,,65-68,,H. Thompson misses 2-pt shot from 20 ft
0:00.0,,,65-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Anthony misses 2-pt shot from 3 ft (block by T. Robinson),,65-68,,
11:43.0,,,65-68,,Defensive rebound by T. Robinson
11:32.0,,,65-68,,J. Grant misses 2-pt shot from 5 ft (block by J. Anthony)
11:30.0,Defensive rebound by K. Caldwell-Pope,,65-68,,
11:20.0,A. Tolliver misses 3-pt shot from 27 ft,,65-68,,
11:19.0,,,65-68,,Defensive rebound by Team
11:19.0,T. Prince enters the game for A. Tolliver,,65-68,,
11:06.0,,,65-71,3,H. Thompson makes 3-pt shot from 26 ft (assist by R. Covington)
10:49.0,J. Meeks misses 2-pt shot from 18 ft,,65-71,,
10:46.0,,,65-71,,Defensive rebound by Team
10:36.0,,,65-71,,Turnover by I. Canaan (lost ball)
10:19.0,S. Dinwiddie makes 2-pt shot from 17 ft,2,67-71,,
10:02.0,,,67-74,3,I. Canaan makes 3-pt shot from 25 ft (assist by H. Thompson)
10:01.0,Detroit full timeout,,67-74,,
10:01.0,,,67-74,,F. Aldemir enters the game for T. Robinson
9:44.0,S. Dinwiddie misses 2-pt shot from 4 ft,,67-74,,
9:43.0,,,67-74,,Defensive rebound by Team
9:20.0,,,67-74,,I. Canaan misses 2-pt shot from 18 ft
9:18.0,Defensive rebound by J. Meeks,,67-74,,
9:05.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,67-74,,
9:03.0,,,67-74,,Defensive rebound by I. Canaan
8:52.0,,,67-76,2,H. Thompson makes 2-pt shot from 9 ft (assist by I. Canaan)
8:42.0,,,67-76,,Personal foul by I. Canaan (drawn by S. Dinwiddie)
8:42.0,A. Drummond enters the game for J. Anthony,,67-76,,
8:42.0,R. Jackson enters the game for K. Caldwell-Pope,,67-76,,
8:33.0,R. Jackson misses 2-pt shot from 7 ft,,67-76,,
8:31.0,,,67-76,,Defensive rebound by F. Aldemir
8:22.0,,,67-76,,Turnover by I. Canaan (bad pass; steal by A. Drummond)
8:06.0,J. Meeks misses 2-pt shot from 10 ft (block by H. Thompson),,67-76,,
8:06.0,Offensive rebound by A. Drummond,,67-76,,
8:06.0,Shooting foul by J. Grant (drawn by A. Drummond),,67-76,,
8:06.0,A. Drummond makes free throw 1 of 2,1,68-76,,
8:06.0,A. Drummond makes free throw 2 of 2,1,69-76,,
7:44.0,,,69-76,,J. Grant misses 3-pt shot from 25 ft
7:42.0,,,69-76,,Offensive rebound by F. Aldemir
7:40.0,,,69-76,,I. Canaan misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by R. Jackson,,69-76,,
7:32.0,R. Jackson misses 2-pt shot from 5 ft (block by H. Thompson),,69-76,,
7:31.0,Jump ball: R. Jackson vs. H. Thompson,,,,Jump ball: R. Jackson vs. H. Thompson
7:31.0,,,69-76,,Defensive rebound by Team
7:09.0,,,69-78,2,J. Grant makes 2-pt shot at rim
6:58.0,S. Dinwiddie makes 3-pt shot from 24 ft (assist by R. Jackson),3,72-78,,
6:58.0,,,72-78,,Philadelphia full timeout
6:43.0,,,72-78,,F. Aldemir misses 2-pt shot from 9 ft (block by A. Drummond)
6:41.0,Defensive rebound by S. Dinwiddie,,72-78,,
6:32.0,S. Dinwiddie misses 3-pt shot from 27 ft,,72-78,,
6:31.0,,,72-78,,Defensive rebound by J. Grant
6:22.0,,,72-78,,I. Canaan misses 2-pt shot from 2 ft
6:20.0,,,72-78,,Offensive rebound by F. Aldemir
6:08.0,,,72-81,3,I. Canaan makes 3-pt shot from 27 ft
5:44.0,Turnover by R. Jackson (traveling),,72-81,,
5:44.0,K. Caldwell-Pope enters the game for S. Dinwiddie,,72-81,,
5:34.0,Personal foul by R. Jackson (drawn by J. Grant),,72-81,,
5:25.0,,,72-81,,R. Covington misses 3-pt shot from 23 ft
5:23.0,Defensive rebound by R. Jackson,,72-81,,
5:15.0,R. Jackson misses 2-pt shot from 3 ft (block by F. Aldemir),,72-81,,
5:13.0,,,72-81,,Defensive rebound by J. Grant
5:02.0,,,72-83,2,F. Aldemir makes 2-pt shot from 1 ft (assist by J. Grant)
4:46.0,,,72-83,,Personal foul by R. Covington (drawn by T. Prince)
4:46.0,,,72-83,,L. Mbah a Moute enters the game for R. Covington
4:46.0,A. Tolliver enters the game for T. Prince,,72-83,,
4:46.0,,,72-83,,J. Sampson enters the game for J. Grant
4:40.0,J. Meeks misses 2-pt shot from 17 ft,,72-83,,
4:38.0,,,72-83,,Defensive rebound by J. Sampson
4:29.0,,,72-83,,I. Canaan misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by R. Jackson,,72-83,,
4:20.0,J. Meeks misses 3-pt shot from 25 ft,,72-83,,
4:19.0,,,72-83,,Defensive rebound by L. Mbah a Moute
3:58.0,,,72-83,,L. Mbah a Moute misses 2-pt shot from 2 ft
3:58.0,Defensive rebound by A. Drummond,,72-83,,
3:58.0,,,72-83,,Personal foul by F. Aldemir (drawn by A. Drummond)
3:58.0,,,72-83,,I. Smith enters the game for I. Canaan
