time,Toronto,pts.away,score,pts.home,Philadelphia
7:18.0,T. Ross makes 3-pt shot from 24 ft (assist by L. Williams),3,33-32,,
7:05.0,Def 3 sec tech foul by T. Hansbrough,,33-32,,
7:05.0,,,33-32,,N. Noel enters the game for F. Aldemir
7:05.0,,,33-33,1,H. Thompson makes technical free throw
7:05.0,,,33-33,,L. Mbah a Moute enters the game for T. Robinson
7:05.0,D. DeRozan enters the game for L. Williams,,33-33,,
6:49.0,,,33-33,,I. Smith misses 2-pt shot from 18 ft
6:48.0,Defensive rebound by D. DeRozan,,33-33,,
6:38.0,D. DeRozan misses 2-pt shot from 13 ft,,33-33,,
6:37.0,,,33-33,,Defensive rebound by Team
6:37.0,,,33-33,,J. Sampson enters the game for H. Thompson
6:18.0,,,33-33,,Turnover by N. Noel (lost ball; steal by T. Hansbrough)
6:12.0,T. Hansbrough makes 2-pt shot at rim (assist by P. Patterson),2,35-33,,
6:06.0,,,35-33,,Philadelphia full timeout
6:06.0,,,35-33,,I. Canaan enters the game for I. Smith
6:06.0,,,35-33,,H. Sims enters the game for J. Grant
5:48.0,Personal foul by P. Patterson (drawn by I. Canaan),,35-33,,
5:37.0,,,35-33,,Shooting foul by T. Hansbrough (drawn by N. Noel)
5:37.0,,,35-34,1,N. Noel makes free throw 1 of 2
5:37.0,,,35-35,1,N. Noel makes free throw 2 of 2
5:25.0,D. DeRozan misses 2-pt shot from 2 ft (block by J. Sampson),,35-35,,
5:23.0,,,35-35,,Defensive rebound by N. Noel
5:17.0,,,35-35,,J. Sampson misses 2-pt shot from 1 ft
5:16.0,Defensive rebound by T. Ross,,35-35,,
5:07.0,P. Patterson makes 3-pt shot from 23 ft (assist by G. Vasquez),3,38-35,,
4:56.0,,,38-37,2,N. Noel makes 2-pt shot from 1 ft (assist by H. Sims)
4:38.0,P. Patterson makes 2-pt shot from 7 ft (assist by T. Ross),2,40-37,,
4:17.0,,,40-37,,J. Sampson misses 2-pt shot from 2 ft
4:16.0,,,40-37,,Offensive rebound by J. Sampson
4:13.0,,,40-39,2,N. Noel makes 2-pt shot at rim (assist by J. Sampson)
4:06.0,Toronto full timeout,,40-39,,
4:06.0,L. Williams enters the game for G. Vasquez,,40-39,,
4:06.0,J. Valanciunas enters the game for T. Hansbrough,,40-39,,
3:54.0,P. Patterson makes 2-pt shot from 7 ft (assist by L. Williams),2,42-39,,
3:54.0,Shooting foul by N. Noel (drawn by P. Patterson),,42-39,,
3:54.0,P. Patterson makes free throw 1 of 1,1,43-39,,
3:42.0,,,43-42,3,I. Canaan makes 3-pt shot from 26 ft (assist by N. Noel)
3:26.0,L. Williams misses 3-pt shot from 24 ft,,43-42,,
3:25.0,,,43-42,,Defensive rebound by J. Sampson
3:14.0,,,43-44,2,N. Noel makes 2-pt shot from 4 ft (assist by J. Sampson)
2:54.0,Turnover by D. DeRozan (lost ball; steal by J. Sampson),,43-44,,
2:36.0,,,43-44,,I. Canaan misses 3-pt shot from 26 ft
2:35.0,Defensive rebound by P. Patterson,,43-44,,
2:13.0,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan),3,46-44,,
1:58.0,,,46-46,2,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by H. Sims)
1:49.0,L. Williams makes 2-pt shot from 10 ft,2,48-46,,
1:49.0,Shooting foul by I. Canaan (drawn by L. Williams),,48-46,,
1:49.0,A. Johnson enters the game for P. Patterson,,48-46,,
1:49.0,,,48-46,,H. Thompson enters the game for J. Sampson
1:49.0,L. Williams makes free throw 1 of 1,1,49-46,,
1:29.0,,,49-46,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by A. Johnson)
1:29.0,,,49-46,,Offensive rebound by Team
1:29.0,,,49-46,,Turnover by H. Sims (bad pass)
1:11.0,D. DeRozan makes 3-pt shot from 23 ft (assist by L. Williams),3,52-46,,
1:10.0,,,52-46,,Philadelphia full timeout
0:58.0,,,52-49,3,I. Canaan makes 3-pt shot from 25 ft
0:46.0,T. Ross misses 2-pt shot from 16 ft,,52-49,,
0:45.0,Offensive rebound by J. Valanciunas,,52-49,,
0:45.0,,,52-49,,Loose ball foul by H. Sims (drawn by J. Valanciunas)
0:45.0,J. Valanciunas makes free throw 1 of 2,1,53-49,,
0:45.0,,,53-49,,J. Grant enters the game for H. Sims
0:45.0,J. Valanciunas misses free throw 2 of 2,,53-49,,
0:44.0,,,53-49,,Defensive rebound by N. Noel
0:27.0,,,53-49,,Turnover by J. Grant (bad pass; steal by L. Williams)
0:26.0,,,53-49,,Personal foul by I. Canaan (drawn by L. Williams)
0:26.0,L. Williams makes free throw 1 of 2,1,54-49,,
0:26.0,L. Williams makes free throw 2 of 2,1,55-49,,
0:06.0,,,55-49,,I. Canaan misses 2-pt shot from 2 ft
0:05.0,Defensive rebound by J. Valanciunas,,55-49,,
0:00.0,D. DeRozan misses 3-pt shot from 42 ft,,55-49,,
0:00.0,Offensive rebound by Team,,55-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Johnson makes 2-pt shot from 2 ft,2,57-49,,
11:20.0,,,57-49,,L. Mbah a Moute misses 2-pt shot from 1 ft
11:18.0,,,57-49,,Offensive rebound by L. Mbah a Moute
11:15.0,,,57-52,3,I. Canaan makes 3-pt shot from 26 ft (assist by L. Mbah a Moute)
10:56.0,D. DeRozan misses 2-pt shot from 17 ft,,57-52,,
10:55.0,Offensive rebound by J. Valanciunas,,57-52,,
10:49.0,Turnover by J. Valanciunas (bad pass; steal by J. Sampson),,57-52,,
10:45.0,Personal foul by J. Johnson (drawn by J. Sampson),,57-52,,
10:34.0,,,57-52,,J. Sampson misses 3-pt shot from 24 ft
10:32.0,,,57-52,,Offensive rebound by Team
10:14.0,,,57-54,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Sampson)
9:58.0,G. Vasquez makes 2-pt shot from 17 ft,2,59-54,,
9:38.0,,,59-54,,Shooting foul by A. Johnson (drawn by J. Sampson)
9:38.0,,,59-55,1,J. Sampson makes free throw 1 of 2
9:38.0,,,59-56,1,J. Sampson makes free throw 2 of 2
9:24.0,D. DeRozan makes 2-pt shot from 17 ft,2,61-56,,
9:04.0,,,61-59,3,J. Sampson makes 3-pt shot from 25 ft (assist by H. Sims)
8:50.0,D. DeRozan misses 2-pt shot from 17 ft,,61-59,,
8:47.0,,,61-59,,Defensive rebound by H. Sims
8:35.0,,,61-59,,H. Sims misses 2-pt shot from 15 ft
8:33.0,Defensive rebound by J. Valanciunas,,61-59,,
8:25.0,Turnover by J. Johnson (lost ball; steal by L. Mbah a Moute),,61-59,,
8:20.0,,,61-59,,I. Canaan misses 2-pt shot from 2 ft (block by J. Johnson)
8:18.0,,,61-59,,Offensive rebound by J. Sampson
8:15.0,,,61-59,,J. Sampson misses 2-pt shot from 2 ft
8:14.0,,,61-59,,Offensive rebound by L. Mbah a Moute
8:14.0,,,61-59,,Shooting foul by J. Johnson (drawn by L. Mbah a Moute)
8:14.0,,,61-60,1,L. Mbah a Moute makes free throw 1 of 2
8:14.0,,,61-60,,L. Mbah a Moute misses free throw 2 of 2
8:13.0,Defensive rebound by D. DeRozan,,61-60,,
8:03.0,D. DeRozan misses 2-pt shot from 14 ft,,61-60,,
8:02.0,,,61-60,,Defensive rebound by N. Noel
7:56.0,,,61-60,,H. Sims misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by A. Johnson,,61-60,,
7:49.0,G. Vasquez misses 3-pt shot from 25 ft,,61-60,,
7:47.0,Offensive rebound by J. Johnson,,61-60,,
7:47.0,J. Johnson makes 2-pt shot at rim,2,63-60,,
7:30.0,,,63-60,,I. Canaan misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by A. Johnson,,63-60,,
7:21.0,J. Johnson misses 2-pt shot from 1 ft,,63-60,,
7:19.0,Offensive rebound by A. Johnson,,63-60,,
7:19.0,A. Johnson makes 2-pt shot from 1 ft,2,65-60,,
6:54.0,,,65-60,,Turnover by N. Noel (bad pass; steal by J. Johnson)
6:42.0,G. Vasquez makes 2-pt shot from 15 ft (assist by D. DeRozan),2,67-60,,
6:41.0,,,67-60,,Philadelphia full timeout
6:41.0,,,67-60,,I. Smith enters the game for I. Canaan
6:18.0,,,67-60,,Turnover by Team (shot clock)
6:04.0,D. DeRozan misses 2-pt shot from 17 ft,,67-60,,
6:02.0,,,67-60,,Defensive rebound by H. Sims
5:51.0,,,67-60,,L. Mbah a Moute misses 3-pt shot from 25 ft
5:49.0,,,67-60,,Offensive rebound by L. Mbah a Moute
5:46.0,,,67-60,,L. Mbah a Moute misses 2-pt shot from 19 ft
5:46.0,,,67-60,,Offensive rebound by Team
5:46.0,Loose ball foul by J. Valanciunas (drawn by H. Sims),,67-60,,
5:46.0,,,67-60,,J. Grant enters the game for J. Sampson
5:41.0,,,67-62,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
5:20.0,J. Johnson misses 2-pt shot from 7 ft,,67-62,,
5:19.0,,,67-62,,Defensive rebound by L. Mbah a Moute
5:09.0,,,67-64,2,H. Sims makes 2-pt shot from 5 ft (assist by I. Smith)
4:48.0,Toronto full timeout,,67-64,,
4:48.0,L. Williams enters the game for G. Vasquez,,67-64,,
4:44.0,Turnover by J. Johnson (bad pass; steal by N. Noel),,67-64,,
4:40.0,,,67-66,2,H. Sims makes 2-pt shot from 2 ft (assist by N. Noel)
4:40.0,,,67-66,,Shooting foul by J. Johnson (drawn by H. Sims)
4:40.0,,,67-66,,H. Sims misses free throw 1 of 1
4:39.0,Defensive rebound by Team,,67-66,,
4:39.0,T. Ross enters the game for J. Johnson,,67-66,,
4:39.0,P. Patterson enters the game for A. Johnson,,67-66,,
4:25.0,P. Patterson makes 2-pt shot from 16 ft (assist by L. Williams),2,69-66,,
4:02.0,,,69-68,2,I. Smith makes 2-pt shot from 1 ft
3:44.0,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan),3,72-68,,
3:38.0,,,72-68,,Turnover by I. Smith (bad pass; steal by D. DeRozan)
3:34.0,D. DeRozan makes 2-pt shot at rim (assist by L. Williams),2,74-68,,
3:33.0,,,74-68,,Philadelphia full timeout
3:33.0,,,74-68,,T. Robinson enters the game for H. Sims
3:13.0,,,74-68,,Shooting foul by J. Valanciunas (drawn by T. Robinson)
3:13.0,,,74-69,1,T. Robinson makes free throw 1 of 2
3:13.0,,,74-69,,F. Aldemir enters the game for L. Mbah a Moute
3:13.0,,,74-69,,H. Thompson enters the game for N. Noel
3:13.0,,,74-69,,T. Robinson misses free throw 2 of 2
3:12.0,Defensive rebound by D. DeRozan,,74-69,,
3:00.0,D. DeRozan makes 2-pt shot from 1 ft,2,76-69,,
3:00.0,Shooting foul by J. Grant (drawn by D. DeRozan),,76-69,,
3:00.0,D. DeRozan makes free throw 1 of 1,1,77-69,,
2:43.0,,,77-71,2,T. Robinson makes 2-pt shot from 15 ft (assist by I. Smith)
2:31.0,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan),3,80-71,,
2:14.0,,,80-73,2,T. Robinson makes 2-pt shot from 2 ft (assist by J. Grant)
1:56.0,Offensive foul by J. Valanciunas,,80-73,,
1:56.0,Turnover by J. Valanciunas (offensive foul),,80-73,,
1:56.0,T. Hansbrough enters the game for J. Valanciunas,,80-73,,
1:33.0,,,80-76,3,I. Smith makes 3-pt shot from 24 ft
1:13.0,,,80-76,,Personal foul by J. Grant (drawn by D. DeRozan)
1:06.0,L. Williams makes 3-pt shot from 25 ft (assist by P. Patterson),3,83-76,,
0:40.0,,,83-76,,I. Smith misses 2-pt shot from 6 ft
0:38.0,Defensive rebound by T. Hansbrough,,83-76,,
