time,New York,pts.away,score,pts.home,Memphis
7:12.0,J. Smith misses 2-pt shot from 4 ft,,49-60,,
7:10.0,,,49-60,,Defensive rebound by M. Gasol
7:00.0,,,49-60,,Turnover by C. Lee (bad pass; steal by S. Larkin)
6:57.0,S. Larkin makes 2-pt shot from 2 ft,2,51-60,,
6:38.0,,,51-60,,Turnover by M. Gasol (bad pass; steal by C. Aldrich)
6:36.0,Turnover by C. Aldrich (bad pass; steal by T. Prince),,51-60,,
6:33.0,,,51-63,3,C. Lee makes 3-pt shot from 25 ft (assist by T. Prince)
6:24.0,Turnover by J. Calderon (bad pass; steal by M. Conley),,51-63,,
6:21.0,,,51-65,2,M. Conley makes 2-pt shot from 2 ft
6:20.0,New York full timeout,,51-65,,
6:20.0,C. Early enters the game for T. Hardaway,,51-65,,
6:20.0,P. Prigioni enters the game for J. Smith,,51-65,,
6:20.0,T. Wear enters the game for S. Larkin,,51-65,,
6:11.0,Turnover by P. Prigioni (bad pass; steal by T. Allen),,51-65,,
6:09.0,,,51-67,2,T. Allen makes 2-pt shot at rim
6:09.0,,,51-67,,Shooting foul by C. Early (drawn by T. Allen)
6:09.0,,,51-68,1,T. Allen makes free throw 1 of 1
5:48.0,Turnover by J. Calderon (bad pass; steal by M. Gasol),,51-68,,
5:40.0,,,51-70,2,C. Lee makes 2-pt shot at rim
5:28.0,C. Aldrich makes 2-pt shot from 5 ft (assist by J. Calderon),2,53-70,,
5:09.0,,,53-73,3,M. Conley makes 3-pt shot from 24 ft (assist by C. Lee)
4:49.0,P. Prigioni misses 3-pt shot from 25 ft,,53-73,,
4:48.0,,,53-73,,Defensive rebound by T. Prince
4:44.0,,,53-73,,M. Conley misses 2-pt shot from 1 ft
4:41.0,Defensive rebound by T. Wear,,53-73,,
4:32.0,Turnover by P. Prigioni (bad pass),,53-73,,
4:16.0,,,53-75,2,M. Gasol makes 2-pt shot at rim (assist by T. Prince)
4:16.0,New York full timeout,,53-75,,
4:01.0,C. Early makes 2-pt shot from 2 ft (assist by T. Wear),2,55-75,,
3:36.0,,,55-75,,Turnover by T. Allen (bad pass; steal by C. Early)
3:19.0,Turnover by C. Aldrich (bad pass; steal by T. Allen),,55-75,,
3:14.0,,,55-77,2,M. Conley makes 2-pt shot at rim (assist by T. Allen)
2:53.0,C. Early makes 2-pt shot at rim (assist by J. Calderon),2,57-77,,
2:25.0,,,57-79,2,M. Gasol makes 2-pt shot from 7 ft
2:13.0,Turnover by C. Early (lost ball; steal by T. Allen),,57-79,,
2:03.0,,,57-79,,C. Lee misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by C. Early,,57-79,,
1:51.0,Turnover by C. Aldrich (traveling),,57-79,,
1:51.0,,,57-79,,Memphis full timeout
1:51.0,,,57-79,,K. Koufos enters the game for M. Gasol
1:51.0,Q. Acy enters the game for C. Aldrich,,57-79,,
1:35.0,,,57-79,,T. Prince misses 2-pt shot from 16 ft
1:35.0,Defensive rebound by Q. Acy,,57-79,,
1:19.0,Q. Acy makes 2-pt shot from 15 ft (assist by C. Early),2,59-79,,
1:05.0,,,59-79,,T. Prince misses 2-pt shot from 19 ft
1:04.0,Defensive rebound by Q. Acy,,59-79,,
0:55.0,J. Calderon makes 3-pt shot from 25 ft (assist by P. Prigioni),3,62-79,,
0:35.0,,,62-82,3,T. Allen makes 3-pt shot from 22 ft (assist by M. Conley)
0:19.0,P. Prigioni misses 3-pt shot from 24 ft,,62-82,,
0:18.0,,,62-82,,Defensive rebound by M. Conley
0:00.0,,,62-84,2,M. Conley makes 2-pt shot from 8 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,62-84,,K. Koufos misses 2-pt shot at rim
11:45.0,,,62-84,,Offensive rebound by Team
11:45.0,Loose ball foul by Q. Acy (drawn by T. Prince),,62-84,,
11:31.0,,,62-84,,Turnover by T. Prince (lost ball)
11:31.0,,,62-84,,Loose ball foul by T. Prince (drawn by P. Prigioni)
11:14.0,Turnover by Q. Acy (bad pass; steal by B. Udrih),,62-84,,
11:02.0,,,62-86,2,K. Koufos makes 2-pt shot from 5 ft (assist by B. Udrih)
10:43.0,Turnover by T. Wear (bad pass),,62-86,,
10:43.0,,,62-86,,J. Leuer enters the game for T. Prince
10:22.0,T. Hardaway enters the game for P. Prigioni,,62-86,,
10:19.0,,,62-86,,B. Udrih misses 3-pt shot from 29 ft
10:18.0,,,62-86,,Offensive rebound by K. Koufos
10:16.0,,,62-86,,K. Koufos misses 2-pt shot from 3 ft
10:13.0,Defensive rebound by T. Wear,,62-86,,
10:06.0,T. Hardaway misses 2-pt shot from 4 ft,,62-86,,
10:05.0,,,62-86,,Defensive rebound by Q. Pondexter
9:52.0,Personal foul by T. Hardaway (drawn by K. Koufos),,62-86,,
9:52.0,,,62-86,,J. Adams enters the game for C. Lee
9:47.0,,,62-86,,Shooting foul by T. Wear (drawn by J. Leuer)
9:47.0,,,62-87,1,J. Leuer makes free throw 1 of 2
9:47.0,,,62-87,,J. Leuer misses free throw 2 of 2
9:46.0,Defensive rebound by Q. Acy,,62-87,,
9:28.0,T. Wear misses 2-pt shot from 19 ft,,62-87,,
9:28.0,,,62-87,,Defensive rebound by J. Leuer
9:20.0,,,62-87,,B. Udrih misses 2-pt shot from 16 ft
9:19.0,Defensive rebound by Q. Acy,,62-87,,
9:09.0,Q. Acy makes 3-pt shot from 25 ft (assist by S. Larkin),3,65-87,,
8:56.0,,,65-89,2,Q. Pondexter makes 2-pt shot from 20 ft (assist by B. Udrih)
8:50.0,New York full timeout,,65-89,,
8:50.0,J. Smith enters the game for T. Wear,,65-89,,
8:29.0,T. Hardaway makes 3-pt shot from 24 ft (assist by S. Larkin),3,68-89,,
8:10.0,,,68-89,,Turnover by J. Leuer (lost ball; steal by C. Early)
8:05.0,Q. Acy makes 2-pt shot at rim (assist by S. Larkin),2,70-89,,
7:51.0,,,70-89,,Q. Pondexter misses 3-pt shot from 24 ft
7:50.0,,,70-89,,Offensive rebound by J. Adams
7:46.0,Personal foul by Q. Acy (drawn by J. Leuer),,70-89,,
7:37.0,,,70-92,3,B. Udrih makes 3-pt shot from 24 ft (assist by Q. Pondexter)
7:12.0,T. Hardaway misses 3-pt shot from 24 ft,,70-92,,
7:11.0,,,70-92,,Defensive rebound by K. Koufos
7:02.0,,,70-92,,Shooting foul by J. Smith (drawn by J. Adams)
7:02.0,,,70-92,,J. Adams misses free throw 1 of 2
7:02.0,,,70-92,,Offensive rebound by Team
7:02.0,,,70-93,1,J. Adams makes free throw 2 of 2
6:40.0,J. Smith makes 2-pt shot from 6 ft,2,72-93,,
6:25.0,,,72-95,2,J. Leuer makes 2-pt shot from 2 ft (assist by B. Udrih)
6:07.0,J. Smith makes 2-pt shot from 19 ft (assist by S. Larkin),2,74-95,,
5:48.0,,,74-97,2,K. Koufos makes 2-pt shot from 5 ft (assist by J. Leuer)
5:30.0,C. Early misses 2-pt shot from 15 ft,,74-97,,
5:30.0,Offensive rebound by Q. Acy,,74-97,,
5:30.0,,,74-97,,Loose ball foul by Q. Pondexter (drawn by Q. Acy)
5:30.0,New York full timeout,,74-97,,
5:30.0,,,74-97,,J. Stokes enters the game for B. Udrih
5:30.0,,,74-97,,N. Calathes enters the game for K. Koufos
5:20.0,Turnover by J. Smith (bad pass; steal by J. Adams),,74-97,,
5:15.0,,,74-97,,J. Adams misses 2-pt shot from 2 ft (block by T. Hardaway)
5:11.0,,,74-97,,Offensive rebound by N. Calathes
5:11.0,,,74-99,2,N. Calathes makes 2-pt shot from 1 ft (assist by J. Adams)
5:02.0,Q. Acy makes 2-pt shot at rim (assist by S. Larkin),2,76-99,,
4:45.0,,,76-99,,Turnover by Q. Pondexter (bad pass)
4:28.0,S. Larkin misses 3-pt shot from 24 ft,,76-99,,
4:28.0,Offensive rebound by Q. Acy,,76-99,,
4:28.0,,,76-99,,Loose ball foul by J. Stokes (drawn by Q. Acy)
4:23.0,,,76-99,,Personal foul by N. Calathes (drawn by J. Smith)
4:12.0,Shooting foul by J. Adams (drawn by T. Hardaway),,76-99,,
4:12.0,T. Hardaway misses free throw 1 of 2,,76-99,,
4:12.0,Offensive rebound by Team,,76-99,,
4:12.0,T. Hardaway misses free throw 2 of 2,,76-99,,
4:11.0,,,76-99,,Defensive rebound by J. Leuer
3:57.0,,,76-101,2,Q. Pondexter makes 2-pt shot from 19 ft (assist by J. Leuer)
3:32.0,T. Hardaway misses 2-pt shot from 21 ft,,76-101,,
3:31.0,,,76-101,,Defensive rebound by Team
3:20.0,,,76-101,,J. Adams misses 2-pt shot from 3 ft
3:19.0,,,76-101,,Offensive rebound by J. Stokes
3:16.0,,,76-101,,Shooting foul by C. Early (drawn by J. Adams)
3:16.0,,,76-101,,J. Adams misses free throw 1 of 2
3:16.0,,,76-101,,Offensive rebound by Team
3:16.0,T. Wear enters the game for J. Smith,,76-101,,
3:16.0,,,76-101,,J. Adams misses free throw 2 of 2
3:15.0,Defensive rebound by Q. Acy,,76-101,,
2:54.0,C. Early misses 3-pt shot from 23 ft,,76-101,,
2:54.0,,,76-101,,Defensive rebound by J. Leuer
2:46.0,,,76-101,,Turnover by J. Stokes (lost ball; steal by S. Larkin)
2:30.0,C. Early misses 2-pt shot from 19 ft,,76-101,,
2:30.0,,,76-101,,Defensive rebound by Q. Pondexter
2:21.0,,,76-101,,J. Adams misses 3-pt shot from 24 ft
2:19.0,,,76-101,,Offensive rebound by Team
2:19.0,,,76-101,,Memphis full timeout
2:10.0,,,76-101,,J. Leuer misses 2-pt shot from 19 ft
2:10.0,,,76-101,,Offensive rebound by N. Calathes
2:04.0,,,76-101,,J. Adams misses 3-pt shot from 25 ft
2:04.0,,,76-101,,Offensive rebound by Q. Pondexter
2:01.0,,,76-101,,Turnover by Q. Pondexter (bad pass; steal by T. Wear)
1:55.0,C. Early misses 2-pt shot from 1 ft,,76-101,,
1:55.0,Offensive rebound by C. Early,,76-101,,
1:55.0,Shooting foul by J. Stokes (drawn by C. Early),,76-101,,
1:55.0,C. Early makes free throw 1 of 2,1,77-101,,
1:55.0,C. Early misses free throw 2 of 2,,77-101,,
1:53.0,,,77-101,,Defensive rebound by Q. Pondexter
1:37.0,,,77-103,2,J. Stokes makes 2-pt shot from 1 ft
1:13.0,S. Larkin makes 3-pt shot from 26 ft,3,80-103,,
1:03.0,,,80-103,,Turnover by J. Leuer (bad pass)
0:54.0,,,80-103,,Personal foul by N. Calathes (drawn by Q. Acy)
0:54.0,Q. Acy misses free throw 1 of 2,,80-103,,
0:54.0,Offensive rebound by Team,,80-103,,
0:54.0,Q. Acy makes free throw 2 of 2,1,81-103,,
0:37.0,,,81-105,2,N. Calathes makes 2-pt shot from 11 ft
0:27.0,C. Early misses 3-pt shot from 25 ft,,81-105,,
0:26.0,,,81-105,,Defensive rebound by J. Leuer
0:19.0,,,81-105,,J. Adams misses 2-pt shot from 5 ft (block by C. Early)
0:17.0,Defensive rebound by S. Larkin,,81-105,,
0:14.0,T. Wear misses 2-pt shot from 1 ft (block by N. Calathes),,81-105,,
0:12.0,Offensive rebound by T. Wear,,81-105,,
0:11.0,T. Wear makes 2-pt shot from 12 ft,2,83-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
