time,Cleveland,pts.away,score,pts.home,Houston
3:44.0,T. Thompson enters the game for T. Mozgov,,16-20,,
3:33.0,K. Love makes 2-pt shot from 6 ft (assist by J. Smith),2,18-20,,
3:21.0,,,18-20,,J. Smith misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by I. Shumpert,,18-20,,
3:09.0,K. Love makes 2-pt shot from 1 ft,2,20-20,,
3:02.0,Personal foul by T. Thompson (drawn by D. Motiejunas),,20-20,,
3:02.0,,,20-20,,C. Brewer enters the game for T. Ariza
3:02.0,L. James enters the game for J. Smith,,20-20,,
2:51.0,,,20-20,,J. Harden misses 2-pt shot from 16 ft
2:50.0,Defensive rebound by L. James,,20-20,,
2:41.0,Shooting foul by J. Smith (drawn by L. James),,20-20,,
2:41.0,Cleveland full timeout,,20-20,,
2:41.0,,,20-20,,T. Jones enters the game for D. Motiejunas
2:41.0,,,20-20,,J. Terry enters the game for P. Beverley
2:41.0,K. Love makes free throw 1 of 2,1,21-20,,
2:41.0,K. Love makes free throw 2 of 2,1,22-20,,
2:22.0,,,22-22,2,T. Jones makes 2-pt shot at rim (assist by C. Brewer)
1:59.0,K. Love makes 2-pt shot at rim,2,24-22,,
1:52.0,,,24-22,,Turnover by C. Brewer (bad pass; steal by L. James)
1:48.0,L. James makes 2-pt shot at rim,2,26-22,,
1:28.0,,,26-22,,Shooting foul by K. Love (drawn by J. Harden)
1:28.0,,,26-23,1,J. Harden makes free throw 1 of 2
1:28.0,J. Jones enters the game for K. Love,,26-23,,
1:28.0,,,26-24,1,J. Harden makes free throw 2 of 2
1:19.0,Turnover by J. Jones (lost ball; steal by J. Smith),,26-24,,
1:14.0,,,26-26,2,T. Jones makes 2-pt shot at rim (assist by J. Smith)
1:06.0,,,26-26,,Personal foul by J. Harden (drawn by L. James)
1:00.0,M. Dellavedova misses 3-pt shot from 24 ft,,26-26,,
1:00.0,,,26-26,,Defensive rebound by J. Smith
0:54.0,,,26-28,2,T. Jones makes 2-pt shot at rim (assist by J. Smith)
0:52.0,Turnover by M. Dellavedova (bad pass; steal by C. Brewer),,26-28,,
0:50.0,Shooting block foul by M. Dellavedova (drawn by T. Jones),,26-28,,
0:50.0,,,26-29,1,T. Jones makes free throw 1 of 2
0:50.0,J. Smith enters the game for M. Dellavedova,,26-29,,
0:50.0,,,26-29,,T. Jones misses free throw 2 of 2
0:50.0,Defensive rebound by T. Thompson,,26-29,,
0:28.0,L. James misses 3-pt shot from 24 ft,,26-29,,
0:26.0,,,26-29,,Defensive rebound by Team
0:02.0,,,26-29,,Turnover by Team (shot clock)
0:00.0,I. Shumpert misses 3-pt shot from 37 ft,,26-29,,
0:00.0,Offensive rebound by Team,,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,L. James makes 3-pt shot from 24 ft,3,29-29,,
11:23.0,,,29-31,2,T. Jones makes 2-pt shot at rim (assist by J. Terry)
11:00.0,L. James makes 2-pt shot from 1 ft,2,31-31,,
10:38.0,,,31-31,,J. Smith misses 2-pt shot from 12 ft
10:37.0,Defensive rebound by J. Smith,,31-31,,
10:24.0,L. James misses 3-pt shot from 26 ft,,31-31,,
10:22.0,Offensive rebound by T. Thompson,,31-31,,
10:16.0,J. Smith misses 3-pt shot from 23 ft,,31-31,,
10:14.0,,,31-31,,Defensive rebound by P. Prigioni
10:08.0,,,31-31,,J. Terry misses 3-pt shot from 24 ft
10:06.0,,,31-31,,Offensive rebound by J. Smith
9:51.0,Personal foul by I. Shumpert (drawn by J. Smith),,31-31,,
9:51.0,,,31-31,,T. Ariza enters the game for J. Terry
9:43.0,,,31-31,,J. Smith misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by L. James,,31-31,,
9:26.0,J. Jones makes 3-pt shot from 25 ft (assist by I. Shumpert),3,34-31,,
9:08.0,,,34-34,3,C. Brewer makes 3-pt shot from 24 ft (assist by P. Prigioni)
8:51.0,I. Shumpert misses 2-pt shot at rim,,34-34,,
8:50.0,Offensive rebound by T. Thompson,,34-34,,
8:50.0,T. Thompson makes 2-pt shot at rim,2,36-34,,
8:36.0,,,36-34,,P. Prigioni misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by J. Smith,,36-34,,
8:31.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,38-34,,
8:31.0,,,38-34,,Houston full timeout
8:31.0,,,38-34,,P. Beverley enters the game for J. Smith
8:31.0,,,38-34,,D. Motiejunas enters the game for P. Prigioni
8:17.0,,,38-34,,Turnover by T. Ariza (bad pass)
8:07.0,L. James misses 2-pt shot from 5 ft (block by T. Ariza),,38-34,,
8:06.0,Offensive rebound by Team,,38-34,,
8:03.0,J. Jones misses 3-pt shot from 24 ft,,38-34,,
8:02.0,,,38-34,,Defensive rebound by C. Brewer
7:47.0,,,38-34,,D. Motiejunas misses 2-pt shot from 6 ft
7:46.0,Defensive rebound by J. Jones,,38-34,,
7:33.0,J. Smith misses 3-pt shot from 24 ft,,38-34,,
7:32.0,,,38-34,,Defensive rebound by T. Ariza
7:22.0,,,38-34,,Turnover by P. Beverley (bad pass)
7:05.0,L. James makes 2-pt shot from 11 ft,2,40-34,,
6:52.0,Violation by T. Thompson (def goaltending),,40-34,,
6:52.0,,,40-36,2,C. Brewer makes 2-pt shot at rim (assist by P. Beverley)
6:34.0,I. Shumpert misses 3-pt shot from 24 ft,,40-36,,
6:33.0,,,40-36,,Defensive rebound by T. Ariza
6:27.0,,,40-38,2,T. Jones makes 2-pt shot at rim (assist by P. Beverley)
6:27.0,,,40-38,,Shooting foul by J. Jones (drawn by T. Jones)
6:27.0,K. Love enters the game for J. Jones,,40-38,,
6:27.0,,,40-38,,J. Harden enters the game for C. Brewer
6:27.0,,,40-38,,T. Jones misses free throw 1 of 1
6:27.0,,,40-38,,Offensive rebound by T. Jones
6:18.0,,,40-40,2,J. Harden makes 2-pt shot at rim
5:51.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,42-40,,
5:38.0,,,42-40,,D. Motiejunas misses 2-pt shot from 3 ft (block by T. Thompson)
5:38.0,,,42-40,,Offensive rebound by Team
5:38.0,Official timeout,,42-40,,
5:38.0,,,42-40,,J. Smith enters the game for T. Jones
5:38.0,M. Dellavedova enters the game for L. James,,42-40,,
5:26.0,,,42-40,,J. Harden misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by M. Dellavedova,,42-40,,
5:11.0,,,42-40,,Personal foul by D. Motiejunas (drawn by I. Shumpert)
5:10.0,Turnover by J. Smith (bad pass; steal by D. Motiejunas),,42-40,,
5:05.0,,,42-40,,P. Beverley misses 2-pt shot at rim
5:04.0,Defensive rebound by T. Thompson,,42-40,,
4:59.0,K. Love misses 3-pt shot from 23 ft,,42-40,,
4:58.0,Offensive rebound by Team,,42-40,,
4:58.0,,,42-40,,Loose ball foul by J. Smith (drawn by T. Thompson)
4:49.0,J. Smith misses 3-pt shot from 24 ft,,42-40,,
4:48.0,,,42-40,,Defensive rebound by P. Beverley
4:40.0,,,42-40,,Shooting foul by I. Shumpert (drawn by J. Harden)
4:40.0,,,42-41,1,J. Harden makes free throw 1 of 2
4:40.0,T. Mozgov enters the game for T. Thompson,,42-41,,
4:40.0,,,42-41,,C. Brewer enters the game for T. Ariza
4:40.0,,,42-42,1,J. Harden makes free throw 2 of 2
4:20.0,K. Love misses 2-pt shot from 10 ft,,42-42,,
4:19.0,,,42-42,,Defensive rebound by D. Motiejunas
3:56.0,,,42-42,,J. Smith misses 3-pt shot from 24 ft
3:55.0,,,42-42,,Offensive rebound by Team
3:55.0,,,42-42,,Turnover by Team (shot clock)
3:39.0,K. Love makes 2-pt shot at rim (assist by I. Shumpert),2,44-42,,
3:31.0,,,44-42,,C. Brewer misses 2-pt shot from 2 ft (block by T. Mozgov)
3:29.0,Defensive rebound by J. Smith,,44-42,,
3:14.0,Shooting foul by C. Brewer (drawn by I. Shumpert),,44-42,,
3:14.0,I. Shumpert misses free throw 1 of 2,,44-42,,
3:14.0,Offensive rebound by Team,,44-42,,
3:14.0,,,44-42,,T. Jones enters the game for D. Motiejunas
3:14.0,I. Shumpert makes free throw 2 of 2,1,45-42,,
3:06.0,,,45-44,2,J. Smith makes 2-pt shot from 5 ft (assist by P. Beverley)
2:51.0,K. Love makes 2-pt shot from 4 ft (assist by M. Dellavedova),2,47-44,,
2:45.0,Personal foul by K. Love (drawn by C. Brewer),,47-44,,
2:45.0,Cleveland full timeout,,47-44,,
2:45.0,T. Thompson enters the game for K. Love,,47-44,,
2:45.0,L. James enters the game for I. Shumpert,,47-44,,
2:45.0,,,47-44,,P. Prigioni enters the game for P. Beverley
2:45.0,,,47-44,,T. Ariza enters the game for C. Brewer
2:29.0,,,47-44,,Turnover by J. Harden (bad pass; steal by L. James)
2:26.0,Turnover by J. Smith (lost ball; steal by J. Smith),,47-44,,
2:18.0,,,47-44,,Turnover by J. Smith (bad pass; steal by T. Thompson)
2:08.0,L. James misses 2-pt shot from 2 ft,,47-44,,
2:07.0,Offensive rebound by T. Thompson,,47-44,,
2:05.0,Turnover by T. Thompson (lost ball; steal by T. Ariza),,47-44,,
2:04.0,Personal foul by J. Smith (drawn by T. Ariza),,47-44,,
2:04.0,,,47-45,1,T. Ariza makes free throw 1 of 2
2:04.0,,,47-46,1,T. Ariza makes free throw 2 of 2
1:42.0,L. James misses 2-pt shot from 3 ft (block by T. Ariza),,47-46,,
1:40.0,,,47-46,,Defensive rebound by P. Prigioni
1:37.0,,,47-46,,Turnover by P. Prigioni (bad pass; steal by M. Dellavedova)
1:37.0,,,47-46,,Personal foul by P. Prigioni (drawn by M. Dellavedova)
1:18.0,Offensive foul by L. James,,47-46,,
1:18.0,Turnover by L. James (offensive foul),,47-46,,
0:59.0,,,47-48,2,J. Smith makes 2-pt shot at rim (assist by J. Harden)
0:43.0,L. James misses 2-pt shot from 1 ft,,47-48,,
0:42.0,Offensive rebound by T. Mozgov,,47-48,,
0:38.0,T. Mozgov misses 2-pt shot at rim,,47-48,,
0:37.0,,,47-48,,Defensive rebound by T. Jones
0:36.0,Violation by L. James (kicked ball),,47-48,,
0:29.0,,,47-48,,J. Harden misses 2-pt shot from 1 ft (block by L. James)
0:28.0,Defensive rebound by L. James,,47-48,,
0:21.0,J. Smith misses 3-pt shot from 24 ft,,47-48,,
0:19.0,Offensive rebound by L. James,,47-48,,
0:15.0,Turnover by L. James (bad pass; steal by J. Harden),,47-48,,
0:13.0,,,47-48,,Shooting foul by J. Smith (drawn by J. Harden)
0:13.0,,,47-49,1,J. Harden makes free throw 1 of 2
0:13.0,,,47-50,1,J. Harden makes free throw 2 of 2
0:13.0,Cleveland full timeout,,47-50,,
0:13.0,,,47-50,,C. Brewer enters the game for J. Smith
0:13.0,J. Jones enters the game for T. Thompson,,47-50,,
0:00.0,L. James misses 3-pt shot from 26 ft,,47-50,,
0:00.0,Offensive rebound by Team,,47-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,L. James misses 2-pt shot from 10 ft,,47-50,,
11:39.0,,,47-50,,Defensive rebound by Team
11:17.0,,,47-52,2,D. Motiejunas makes 2-pt shot from 4 ft
11:07.0,J. Smith misses 3-pt shot from 25 ft,,47-52,,
11:06.0,,,47-52,,Defensive rebound by P. Beverley
10:54.0,,,47-54,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
10:40.0,K. Love misses 2-pt shot from 22 ft,,47-54,,
10:39.0,,,47-54,,Defensive rebound by Team
10:21.0,,,47-57,3,T. Jones makes 3-pt shot from 24 ft (assist by D. Motiejunas)
10:03.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,49-57,,
9:49.0,,,49-57,,T. Ariza misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by K. Love,,49-57,,
9:46.0,Turnover by K. Love (bad pass; steal by T. Ariza),,49-57,,
9:36.0,,,49-57,,Turnover by J. Harden (lost ball; steal by J. Smith)
9:31.0,,,49-57,,Personal block foul by P. Beverley (drawn by L. James)
9:31.0,,,49-57,,Technical foul by P. Beverley (drawn by L. James)
9:31.0,Technical foul by L. James,,49-57,,
9:24.0,,,49-57,,Personal foul by T. Ariza (drawn by L. James)
9:09.0,J. Smith misses 3-pt shot from 23 ft (block by J. Harden),,49-57,,
9:08.0,Offensive rebound by J. Smith,,49-57,,
9:08.0,Turnover by Team (shot clock),,49-57,,
8:55.0,,,49-59,2,P. Beverley makes 2-pt shot from 6 ft
8:39.0,Turnover by T. Mozgov (lost ball; steal by J. Harden),,49-59,,
8:37.0,Personal foul by T. Mozgov (drawn by J. Harden),,49-59,,
8:27.0,,,49-59,,Shooting foul by M. Dellavedova (drawn by P. Beverley)
8:27.0,,,49-60,1,P. Beverley makes free throw 1 of 2
8:27.0,,,49-60,,P. Beverley misses free throw 2 of 2
8:27.0,Defensive rebound by T. Mozgov,,49-60,,
8:10.0,K. Love makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,52-60,,
7:52.0,,,52-63,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza)
7:31.0,L. James makes 3-pt shot from 25 ft,3,55-63,,
7:18.0,,,55-65,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by P. Beverley)
6:58.0,M. Dellavedova misses 2-pt shot from 13 ft,,55-65,,
6:56.0,Offensive rebound by J. Smith,,55-65,,
6:53.0,K. Love makes 3-pt shot from 23 ft (assist by J. Smith),3,58-65,,
6:43.0,,,58-65,,Shooting foul by T. Mozgov (drawn by J. Harden)
6:43.0,,,58-65,,Technical foul by T. Ariza
6:43.0,L. James misses technical free throw,,58-65,,
6:43.0,,,58-65,,Offensive rebound by Team
6:43.0,,,58-66,1,J. Harden makes free throw 1 of 2
6:43.0,I. Shumpert enters the game for M. Dellavedova,,58-66,,
6:43.0,T. Thompson enters the game for T. Mozgov,,58-66,,
6:43.0,,,58-67,1,J. Harden makes free throw 2 of 2
6:24.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,61-67,,
6:13.0,,,61-69,2,J. Harden makes 2-pt shot at rim
6:02.0,L. James misses 3-pt shot from 24 ft,,61-69,,
6:01.0,,,61-69,,Defensive rebound by P. Beverley
5:54.0,,,61-69,,T. Jones misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by L. James,,61-69,,
5:45.0,,,61-69,,Shooting block foul by D. Motiejunas (drawn by L. James)
5:45.0,,,61-69,,Houston full timeout
5:45.0,L. James makes free throw 1 of 2,1,62-69,,
5:45.0,L. James makes free throw 2 of 2,1,63-69,,
5:33.0,,,63-69,,Turnover by T. Ariza (bad pass)
5:11.0,L. James makes 2-pt shot from 19 ft,2,65-69,,
5:00.0,,,65-71,2,J. Harden makes 2-pt shot from 1 ft
5:00.0,,,65-71,,Shooting foul by T. Thompson (drawn by J. Harden)
5:00.0,,,65-71,,J. Smith enters the game for D. Motiejunas
5:00.0,,,65-72,1,J. Harden makes free throw 1 of 1
4:40.0,Turnover by T. Thompson (step out of bounds),,65-72,,
4:26.0,,,65-75,3,J. Harden makes 3-pt shot from 25 ft
4:13.0,,,65-75,,Personal foul by T. Ariza (drawn by L. James)
3:59.0,L. James makes 2-pt shot from 19 ft,2,67-75,,
3:40.0,Personal foul by I. Shumpert (drawn by J. Harden),,67-75,,
3:40.0,,,67-75,,J. Harden misses free throw 1 of 2
3:40.0,,,67-75,,Offensive rebound by Team
3:40.0,,,67-75,,C. Brewer enters the game for T. Ariza
3:40.0,,,67-76,1,J. Harden makes free throw 2 of 2
3:25.0,Turnover by L. James (bad pass; steal by J. Harden),,67-76,,
3:22.0,,,67-76,,Offensive foul by P. Beverley
3:22.0,,,67-76,,Turnover by P. Beverley (offensive foul)
3:22.0,Cleveland full timeout,,67-76,,
3:22.0,,,67-76,,J. Terry enters the game for P. Beverley
3:07.0,K. Love misses 2-pt shot from 3 ft,,67-76,,
3:06.0,Offensive rebound by T. Thompson,,67-76,,
3:04.0,T. Thompson misses 2-pt shot from 7 ft,,67-76,,
3:03.0,,,67-76,,Defensive rebound by T. Jones
2:53.0,,,67-76,,J. Terry misses 3-pt shot from 24 ft
2:52.0,Defensive rebound by T. Thompson,,67-76,,
2:44.0,K. Love misses 3-pt shot from 25 ft,,67-76,,
2:42.0,,,67-76,,Defensive rebound by J. Harden
2:36.0,Personal foul by I. Shumpert (drawn by J. Harden),,67-76,,
2:36.0,,,67-77,1,J. Harden makes free throw 1 of 2
2:36.0,M. Dellavedova enters the game for I. Shumpert,,67-77,,
2:36.0,,,67-78,1,J. Harden makes free throw 2 of 2
2:23.0,Shooting foul by J. Harden (drawn by L. James),,67-78,,
2:23.0,L. James misses free throw 1 of 2,,67-78,,
2:23.0,Offensive rebound by Team,,67-78,,
2:23.0,J. Jones enters the game for K. Love,,67-78,,
2:23.0,L. James misses free throw 2 of 2,,67-78,,
2:23.0,,,67-78,,Defensive rebound by J. Harden
2:08.0,,,67-78,,Turnover by J. Harden (lost ball)
2:08.0,,,67-78,,Technical foul by C. Brewer
2:08.0,Technical foul by T. Thompson,,67-78,,
2:08.0,L. James misses flagrant free throw 1 of 2,,67-78,,
2:08.0,Offensive rebound by Team,,67-78,,
2:08.0,L. James misses flagrant free throw 2 of 2,,67-78,,
2:08.0,Offensive rebound by Team,,67-78,,
2:08.0,Cleveland full timeout,,67-78,,
1:57.0,L. James makes 3-pt shot from 25 ft,3,70-78,,
1:47.0,,,70-78,,Shooting foul by J. Jones (drawn by T. Jones)
1:47.0,,,70-79,1,T. Jones makes free throw 1 of 2
1:47.0,,,70-80,1,T. Jones makes free throw 2 of 2
1:33.0,L. James misses 3-pt shot from 24 ft,,70-80,,
1:32.0,,,70-80,,Defensive rebound by Team
1:23.0,,,70-80,,Turnover by J. Harden (bad pass; steal by M. Dellavedova)
1:19.0,L. James makes 2-pt shot from 1 ft,2,72-80,,
1:03.0,,,72-82,2,J. Smith makes 2-pt shot from 10 ft
0:47.0,Offensive charge foul by L. James,,72-82,,
0:47.0,Turnover by L. James (offensive foul),,72-82,,
0:28.0,,,72-82,,J. Smith misses 3-pt shot from 23 ft
0:26.0,Defensive rebound by J. Smith,,72-82,,
0:07.0,L. James misses 2-pt shot from 9 ft,,72-82,,
0:06.0,Offensive rebound by T. Thompson,,72-82,,
0:06.0,,,72-82,,Personal foul by C. Brewer (drawn by T. Thompson)
0:06.0,T. Thompson makes free throw 1 of 2,1,73-82,,
0:06.0,I. Shumpert enters the game for L. James,,73-82,,
0:06.0,T. Thompson makes free throw 2 of 2,1,74-82,,
0:01.0,,,74-82,,Turnover by C. Brewer (lost ball; steal by J. Smith)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,74-82,,D. Motiejunas misses 2-pt shot from 11 ft
11:43.0,,,74-82,,Offensive rebound by J. Smith
11:39.0,,,74-82,,J. Smith misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by T. Thompson,,74-82,,
11:30.0,J. Jones makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,77-82,,
11:14.0,,,77-82,,D. Motiejunas misses 2-pt shot from 11 ft
11:13.0,Defensive rebound by T. Thompson,,77-82,,
11:13.0,,,77-82,,Personal foul by J. Smith (drawn by J. Jones)
10:54.0,J. Jones misses 3-pt shot from 25 ft,,77-82,,
10:53.0,Offensive rebound by T. Thompson,,77-82,,
10:50.0,T. Thompson makes 2-pt shot from 1 ft,2,79-82,,
10:38.0,,,79-82,,Turnover by C. Brewer (lost ball; steal by T. Thompson)
10:32.0,J. Jones makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,82-82,,
10:32.0,,,82-82,,Houston full timeout
10:06.0,,,82-82,,D. Motiejunas misses 3-pt shot from 23 ft
10:05.0,,,82-82,,Offensive rebound by Team
10:05.0,Loose ball foul by M. Dellavedova (drawn by J. Smith),,82-82,,
9:52.0,,,82-85,3,C. Brewer makes 3-pt shot from 24 ft (assist by J. Smith)
9:26.0,J. Jones misses 3-pt shot from 25 ft,,82-85,,
9:24.0,,,82-85,,Defensive rebound by T. Ariza
9:16.0,,,82-88,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Smith)
9:04.0,Cleveland full timeout,,82-88,,
8:54.0,T. Thompson makes 2-pt shot at rim (assist by I. Shumpert),2,84-88,,
8:34.0,,,84-88,,J. Smith misses 2-pt shot from 6 ft
8:33.0,Defensive rebound by T. Thompson,,84-88,,
8:15.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by T. Thompson),3,87-88,,
7:51.0,,,87-90,2,D. Motiejunas makes 2-pt shot from 7 ft (assist by T. Ariza)
7:29.0,J. Smith makes 2-pt shot from 15 ft,2,89-90,,
7:02.0,,,89-90,,T. Ariza misses 3-pt shot from 26 ft
7:01.0,,,89-90,,Offensive rebound by C. Brewer
7:00.0,,,89-90,,C. Brewer misses 2-pt shot from 6 ft
6:59.0,Defensive rebound by I. Shumpert,,89-90,,
6:54.0,Turnover by I. Shumpert (bad pass),,89-90,,
6:54.0,L. James enters the game for I. Shumpert,,89-90,,
6:54.0,,,89-90,,J. Harden enters the game for C. Brewer
6:30.0,,,89-90,,J. Harden misses 3-pt shot from 24 ft
6:29.0,,,89-90,,Offensive rebound by Team
6:29.0,,,89-90,,Turnover by Team (shot clock)
6:29.0,,,89-90,,P. Beverley enters the game for J. Smith
6:29.0,,,89-90,,T. Jones enters the game for J. Terry
6:11.0,L. James makes 2-pt shot from 18 ft,2,91-90,,
6:11.0,,,91-90,,Personal foul by T. Ariza (drawn by T. Thompson)
6:11.0,Personal foul by T. Thompson,,91-90,,
6:11.0,K. Love enters the game for J. Jones,,91-90,,
5:57.0,,,91-90,,Turnover by T. Ariza (traveling)
5:34.0,L. James misses 3-pt shot from 25 ft,,91-90,,
5:31.0,,,91-90,,Defensive rebound by J. Harden
5:26.0,,,91-90,,T. Jones misses 2-pt shot from 3 ft (block by L. James)
5:25.0,,,91-90,,Offensive rebound by Team
5:25.0,Loose ball foul by M. Dellavedova (drawn by D. Motiejunas),,91-90,,
5:15.0,,,91-90,,D. Motiejunas misses 2-pt shot at rim
5:14.0,Defensive rebound by K. Love,,91-90,,
4:56.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,93-90,,
4:41.0,,,93-90,,Shooting foul by T. Thompson (drawn by T. Jones)
4:41.0,,,93-91,1,T. Jones makes free throw 1 of 2
4:41.0,,,93-92,1,T. Jones makes free throw 2 of 2
4:29.0,L. James misses 2-pt shot from 2 ft (block by D. Motiejunas),,93-92,,
4:27.0,Offensive rebound by L. James,,93-92,,
4:25.0,K. Love misses 3-pt shot from 23 ft,,93-92,,
4:24.0,,,93-92,,Defensive rebound by T. Ariza
4:07.0,,,93-92,,T. Jones misses 2-pt shot from 1 ft
4:06.0,Defensive rebound by T. Thompson,,93-92,,
3:53.0,,,93-92,,Violation by T. Ariza (kicked ball)
3:40.0,K. Love misses 3-pt shot from 24 ft,,93-92,,
3:37.0,Offensive rebound by T. Thompson,,93-92,,
3:36.0,T. Thompson misses 2-pt shot from 1 ft (block by J. Harden),,93-92,,
3:34.0,Offensive rebound by T. Thompson,,93-92,,
3:15.0,L. James makes 2-pt shot from 21 ft,2,95-92,,
2:48.0,,,95-92,,Shooting foul by L. James (drawn by J. Harden)
