time,Utah,pts.away,score,pts.home,Portland
7:35.0,R. Hood misses 2-pt shot from 12 ft,,11-4,,
7:34.0,,,11-4,,Defensive rebound by N. Batum
7:26.0,,,11-6,2,R. Lopez makes 2-pt shot from 1 ft (assist by N. Batum)
7:17.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,13-6,,
6:53.0,,,13-6,,C. McCollum misses 2-pt shot from 14 ft
6:52.0,,,13-6,,Offensive rebound by R. Lopez
6:51.0,,,13-6,,Shooting foul by R. Gobert (drawn by R. Lopez)
6:51.0,,,13-7,1,R. Lopez makes free throw 1 of 2
6:51.0,,,13-8,1,R. Lopez makes free throw 2 of 2
6:35.0,Turnover by J. Ingles (bad pass),,13-8,,
6:24.0,,,13-11,3,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum)
6:06.0,J. Ingles misses 2-pt shot from 6 ft,,13-11,,
6:05.0,Offensive rebound by R. Gobert,,13-11,,
6:04.0,R. Gobert makes 2-pt shot at rim,2,15-11,,
5:57.0,,,15-11,,Portland full timeout
5:45.0,,,15-13,2,R. Lopez makes 2-pt shot from 2 ft (assist by N. Batum)
5:21.0,R. Hood misses 2-pt shot from 6 ft,,15-13,,
5:19.0,,,15-13,,Defensive rebound by C. McCollum
5:09.0,,,15-15,2,C. McCollum makes 2-pt shot from 6 ft
4:49.0,T. Booker makes 3-pt shot from 25 ft (assist by R. Hood),3,18-15,,
4:25.0,,,18-15,,M. Leonard misses 3-pt shot from 26 ft
4:24.0,,,18-15,,Offensive rebound by R. Lopez
4:18.0,,,18-15,,Shooting foul by R. Hood (drawn by M. Leonard)
4:18.0,,,18-16,1,M. Leonard makes free throw 1 of 2
4:18.0,,,18-16,,C. Kaman enters the game for R. Lopez
4:18.0,,,18-16,,A. Crabbe enters the game for N. Batum
4:18.0,,,18-17,1,M. Leonard makes free throw 2 of 2
4:04.0,R. Hood makes 2-pt shot from 5 ft,2,20-17,,
3:53.0,,,20-17,,D. Lillard misses 2-pt shot from 11 ft
3:52.0,Defensive rebound by T. Booker,,20-17,,
3:43.0,T. Booker makes 2-pt shot from 2 ft (assist by R. Hood),2,22-17,,
3:20.0,,,22-17,,Turnover by C. Kaman (traveling)
3:20.0,C. Johnson enters the game for J. Ingles,,22-17,,
3:20.0,J. Evans enters the game for R. Gobert,,22-17,,
3:05.0,Shooting foul by C. Kaman (drawn by J. Evans),,22-17,,
3:05.0,J. Evans makes free throw 1 of 2,1,23-17,,
3:05.0,J. Evans makes free throw 2 of 2,1,24-17,,
2:42.0,,,24-17,,A. Crabbe misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by T. Booker,,24-17,,
2:27.0,Turnover by D. Exum (lost ball; steal by M. Leonard),,24-17,,
2:27.0,,,24-17,,Turnover by D. Lillard (offensive foul)
2:27.0,,,24-17,,Offensive foul by D. Lillard
2:27.0,Utah full timeout,,24-17,,
2:27.0,,,24-17,,S. Blake enters the game for C. McCollum
2:15.0,R. Hood misses 2-pt shot from 18 ft,,24-17,,
2:14.0,Offensive rebound by T. Booker,,24-17,,
2:09.0,Turnover by D. Exum (traveling),,24-17,,
1:53.0,B. Cotton enters the game for D. Exum,,24-17,,
1:53.0,E. Millsap enters the game for R. Hood,,24-17,,
1:49.0,,,24-17,,Shooting foul by B. Cotton (drawn by S. Blake)
1:49.0,,,24-17,,S. Blake misses free throw 1 of 2
1:49.0,,,24-17,,Offensive rebound by Team
1:49.0,,,24-17,,J. Freeland enters the game for M. Leonard
1:49.0,,,24-17,,S. Blake misses free throw 2 of 2
1:48.0,Defensive rebound by J. Evans,,24-17,,
1:31.0,E. Millsap makes 2-pt shot from 2 ft (assist by T. Booker),2,26-17,,
1:31.0,Shooting foul by J. Freeland (drawn by E. Millsap),,26-17,,
1:31.0,E. Millsap makes free throw 1 of 1,1,27-17,,
1:15.0,,,27-17,,D. Lillard misses 2-pt shot from 17 ft
1:14.0,Defensive rebound by E. Millsap,,27-17,,
1:02.0,Shooting foul by S. Blake (drawn by T. Booker),,27-17,,
1:02.0,T. Booker makes free throw 1 of 2,1,28-17,,
1:02.0,J. Cooley enters the game for J. Evans,,28-17,,
1:02.0,T. Booker makes free throw 2 of 2,1,29-17,,
0:53.0,,,29-19,2,D. Lillard makes 2-pt shot from 1 ft
0:43.0,Shooting foul by A. Crabbe (drawn by T. Booker),,29-19,,
0:43.0,T. Booker makes free throw 1 of 2,1,30-19,,
0:43.0,T. Booker misses free throw 2 of 2,,30-19,,
0:42.0,Offensive rebound by J. Cooley,,30-19,,
0:37.0,B. Cotton misses 3-pt shot from 25 ft,,30-19,,
0:35.0,,,30-19,,Defensive rebound by S. Blake
0:29.0,,,30-19,,D. Lillard misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by E. Millsap,,30-19,,
0:06.0,B. Cotton misses 2-pt shot from 20 ft,,30-19,,
0:05.0,Offensive rebound by T. Booker,,30-19,,
0:05.0,T. Booker makes 2-pt shot at rim,2,32-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,32-19,,Turnover by A. Crabbe (bad pass; steal by J. Evans)
11:31.0,E. Millsap makes 2-pt shot from 10 ft (assist by C. Johnson),2,34-19,,
11:20.0,,,34-21,2,J. Freeland makes 2-pt shot from 18 ft (assist by S. Blake)
10:59.0,Shooting foul by A. Crabbe (drawn by J. Evans),,34-21,,
10:59.0,J. Evans makes free throw 1 of 2,1,35-21,,
10:59.0,,,35-21,,C. McCollum enters the game for J. Freeland
10:59.0,J. Evans makes free throw 2 of 2,1,36-21,,
10:50.0,,,36-21,,Shooting foul by J. Evans (drawn by R. Lopez)
10:50.0,,,36-21,,R. Lopez misses free throw 1 of 2
10:50.0,,,36-21,,Offensive rebound by Team
10:50.0,,,36-22,1,R. Lopez makes free throw 2 of 2
10:41.0,E. Millsap misses 2-pt shot from 20 ft,,36-22,,
10:40.0,Offensive rebound by J. Cooley,,36-22,,
10:36.0,J. Cooley misses 2-pt shot from 5 ft,,36-22,,
10:34.0,,,36-22,,Defensive rebound by A. Crabbe
10:29.0,,,36-22,,C. McCollum misses 3-pt shot from 23 ft
10:28.0,,,36-22,,Offensive rebound by N. Batum
10:19.0,,,36-24,2,R. Lopez makes 2-pt shot from 6 ft (assist by S. Blake)
9:54.0,J. Evans misses 2-pt shot from 10 ft (block by N. Batum),,36-24,,
9:53.0,Offensive rebound by Team,,36-24,,
9:53.0,Turnover by Team (shot clock),,36-24,,
9:53.0,R. Gobert enters the game for J. Cooley,,36-24,,
9:34.0,,,36-24,,S. Blake misses 3-pt shot from 23 ft
9:34.0,,,36-24,,Offensive rebound by R. Lopez
9:31.0,J. Ingles enters the game for J. Evans,,36-24,,
9:28.0,,,36-24,,N. Batum misses 2-pt shot from 18 ft
9:27.0,Defensive rebound by E. Millsap,,36-24,,
9:16.0,Turnover by J. Ingles (step out of bounds),,36-24,,
9:01.0,,,36-26,2,A. Crabbe makes 2-pt shot from 15 ft (assist by N. Batum)
8:46.0,C. Johnson misses 3-pt shot from 23 ft,,36-26,,
8:45.0,,,36-26,,Defensive rebound by C. McCollum
8:26.0,Official timeout,,36-26,,
8:26.0,D. Exum enters the game for B. Cotton,,36-26,,
8:23.0,,,36-26,,N. Batum misses 2-pt shot from 13 ft
8:22.0,Defensive rebound by E. Millsap,,36-26,,
8:02.0,C. Johnson makes 2-pt shot from 1 ft (assist by D. Exum),2,38-26,,
7:40.0,,,38-28,2,R. Lopez makes 2-pt shot from 11 ft (assist by S. Blake)
7:14.0,J. Ingles misses 2-pt shot from 22 ft,,38-28,,
7:12.0,,,38-28,,Defensive rebound by N. Batum
7:07.0,Personal foul by E. Millsap (drawn by C. McCollum),,38-28,,
7:07.0,T. Booker enters the game for C. Johnson,,38-28,,
7:00.0,,,38-28,,C. McCollum misses 2-pt shot from 1 ft
6:58.0,Defensive rebound by R. Gobert,,38-28,,
6:44.0,Turnover by D. Exum (bad pass; steal by N. Batum),,38-28,,
6:37.0,,,38-30,2,A. Crabbe makes 2-pt shot at rim (assist by N. Batum)
6:36.0,Utah full timeout,,38-30,,
6:36.0,R. Hood enters the game for E. Millsap,,38-30,,
6:27.0,R. Hood makes 2-pt shot from 12 ft,2,40-30,,
6:10.0,,,40-30,,Turnover by S. Blake (lost ball)
6:02.0,Turnover by D. Exum (bad pass; steal by S. Blake),,40-30,,
5:58.0,,,40-32,2,N. Batum makes 2-pt shot at rim (assist by S. Blake)
5:33.0,R. Hood misses 2-pt shot from 18 ft,,40-32,,
5:32.0,,,40-32,,Defensive rebound by A. Crabbe
5:24.0,,,40-34,2,C. McCollum makes 2-pt shot from 14 ft
5:04.0,Turnover by J. Ingles (bad pass; steal by N. Batum),,40-34,,
5:04.0,Loose ball foul by J. Ingles (drawn by N. Batum),,40-34,,
5:04.0,C. Johnson enters the game for J. Ingles,,40-34,,
5:04.0,B. Cotton enters the game for D. Exum,,40-34,,
5:04.0,,,40-34,,D. Lillard enters the game for A. Crabbe
4:51.0,,,40-37,3,C. McCollum makes 3-pt shot from 23 ft (assist by S. Blake)
4:30.0,R. Hood makes 2-pt shot from 20 ft,2,42-37,,
4:20.0,,,42-39,2,C. McCollum makes 2-pt shot from 11 ft (assist by D. Lillard)
4:02.0,R. Hood makes 2-pt shot at rim (assist by R. Gobert),2,44-39,,
3:52.0,,,44-42,3,C. McCollum makes 3-pt shot from 25 ft
3:51.0,Utah full timeout,,44-42,,
3:34.0,Turnover by R. Hood (lost ball; steal by C. McCollum),,44-42,,
3:28.0,,,44-42,,D. Lillard misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by B. Cotton,,44-42,,
3:17.0,C. Johnson makes 3-pt shot from 23 ft (assist by R. Hood),3,47-42,,
3:07.0,,,47-42,,Turnover by R. Lopez (lost ball; steal by T. Booker)
2:51.0,R. Gobert misses 2-pt shot from 4 ft,,47-42,,
2:50.0,Offensive rebound by C. Johnson,,47-42,,
2:50.0,C. Johnson makes 2-pt shot at rim,2,49-42,,
2:50.0,,,49-42,,Portland full timeout
2:50.0,,,49-42,,J. Freeland enters the game for R. Lopez
2:50.0,,,49-42,,A. Crabbe enters the game for S. Blake
2:40.0,,,49-42,,N. Batum misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by R. Gobert,,49-42,,
2:26.0,Turnover by R. Gobert (bad pass; steal by N. Batum),,49-42,,
2:23.0,,,49-42,,Turnover by D. Lillard (bad pass; steal by R. Hood)
2:07.0,R. Hood makes 2-pt shot from 2 ft (assist by B. Cotton),2,51-42,,
1:59.0,,,51-42,,N. Batum misses 3-pt shot from 25 ft
1:57.0,Defensive rebound by C. Johnson,,51-42,,
1:47.0,R. Gobert misses 2-pt shot from 3 ft (block by J. Freeland),,51-42,,
1:47.0,Offensive rebound by R. Gobert,,51-42,,
1:47.0,Shooting foul by C. McCollum (drawn by R. Gobert),,51-42,,
1:47.0,R. Gobert makes free throw 1 of 2,1,52-42,,
1:47.0,D. Exum enters the game for B. Cotton,,52-42,,
1:47.0,R. Gobert misses free throw 2 of 2,,52-42,,
1:47.0,Offensive rebound by C. Johnson,,52-42,,
1:28.0,C. Johnson misses 2-pt shot from 13 ft,,52-42,,
1:26.0,,,52-42,,Defensive rebound by J. Freeland
1:19.0,,,52-44,2,D. Lillard makes 2-pt shot from 22 ft
1:00.0,Shooting foul by J. Freeland (drawn by R. Hood),,52-44,,
1:00.0,R. Hood makes free throw 1 of 2,1,53-44,,
1:00.0,R. Hood makes free throw 2 of 2,1,54-44,,
0:54.0,,,54-46,2,D. Lillard makes 2-pt shot from 21 ft
0:39.0,R. Gobert misses 2-pt shot at rim,,54-46,,
0:37.0,,,54-46,,Defensive rebound by D. Lillard
0:37.0,Loose ball foul by D. Exum (drawn by D. Lillard),,54-46,,
0:25.0,,,54-46,,N. Batum misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by R. Hood,,54-46,,
0:20.0,T. Booker makes 2-pt shot from 2 ft (assist by R. Hood),2,56-46,,
0:01.0,,,56-46,,A. Crabbe misses 2-pt shot from 14 ft
0:00.0,,,56-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,56-46,,M. Leonard misses 2-pt shot at rim (block by R. Gobert)
11:44.0,,,56-46,,Offensive rebound by Team
11:41.0,,,56-48,2,D. Lillard makes 2-pt shot from 1 ft
11:41.0,,,56-48,,Shooting foul by D. Exum (drawn by D. Lillard)
11:41.0,,,56-49,1,D. Lillard makes free throw 1 of 1
11:34.0,Turnover by D. Exum (bad pass; steal by C. McCollum),,56-49,,
11:26.0,,,56-52,3,D. Lillard makes 3-pt shot from 23 ft (assist by C. McCollum)
11:11.0,Turnover by D. Exum (offensive foul),,56-52,,
11:11.0,Offensive foul by D. Exum,,56-52,,
10:54.0,,,56-54,2,C. McCollum makes 2-pt shot from 15 ft
10:33.0,Turnover by J. Ingles (bad pass; steal by C. McCollum),,56-54,,
10:28.0,,,56-54,,Shooting foul by J. Ingles (drawn by C. McCollum)
10:28.0,,,56-55,1,C. McCollum makes free throw 1 of 2
10:28.0,,,56-56,1,C. McCollum makes free throw 2 of 2
10:10.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Hood),2,58-56,,
9:57.0,J. Evans enters the game for R. Gobert,,58-56,,
9:50.0,,,58-58,2,R. Lopez makes 2-pt shot from 2 ft
9:50.0,,,58-58,,Shooting foul by J. Evans (drawn by R. Lopez)
9:50.0,,,58-59,1,R. Lopez makes free throw 1 of 1
9:36.0,D. Exum makes 3-pt shot from 25 ft (assist by R. Hood),3,61-59,,
9:18.0,,,61-59,,D. Lillard misses 2-pt shot from 15 ft
9:17.0,,,61-59,,Offensive rebound by R. Lopez
9:02.0,,,61-59,,R. Lopez misses 2-pt shot from 7 ft
9:01.0,Defensive rebound by T. Booker,,61-59,,
8:55.0,T. Booker misses 2-pt shot from 2 ft,,61-59,,
8:52.0,,,61-59,,Defensive rebound by N. Batum
8:46.0,,,61-59,,N. Batum misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by D. Exum,,61-59,,
8:35.0,T. Booker makes 2-pt shot from 2 ft,2,63-59,,
8:15.0,,,63-59,,Shooting foul by R. Hood (drawn by C. McCollum)
8:15.0,,,63-60,1,C. McCollum makes free throw 1 of 2
8:15.0,,,63-61,1,C. McCollum makes free throw 2 of 2
8:04.0,T. Booker makes 3-pt shot from 25 ft (assist by D. Exum),3,66-61,,
7:42.0,,,66-63,2,M. Leonard makes 2-pt shot at rim (assist by R. Lopez)
7:26.0,D. Exum misses 3-pt shot from 26 ft,,66-63,,
7:25.0,,,66-63,,Defensive rebound by C. McCollum
7:24.0,R. Gobert enters the game for J. Evans,,66-63,,
7:01.0,,,66-63,,M. Leonard misses 3-pt shot from 28 ft
7:00.0,,,66-63,,Offensive rebound by Team
7:00.0,Loose ball foul by J. Ingles (drawn by R. Lopez),,66-63,,
7:00.0,,,66-63,,R. Lopez misses free throw 1 of 2
7:00.0,,,66-63,,Offensive rebound by Team
7:00.0,C. Johnson enters the game for J. Ingles,,66-63,,
7:00.0,,,66-64,1,R. Lopez makes free throw 2 of 2
6:42.0,C. Johnson misses 3-pt shot from 26 ft,,66-64,,
6:41.0,,,66-64,,Defensive rebound by D. Lillard
6:33.0,,,66-64,,Turnover by N. Batum (bad pass; steal by D. Exum)
6:20.0,Shooting foul by R. Lopez (drawn by R. Hood),,66-64,,
6:20.0,R. Hood makes free throw 1 of 2,1,67-64,,
6:20.0,R. Hood makes free throw 2 of 2,1,68-64,,
6:09.0,,,68-64,,R. Lopez misses 2-pt shot from 6 ft
6:08.0,,,68-64,,Offensive rebound by M. Leonard
6:08.0,,,68-66,2,M. Leonard makes 2-pt shot from 4 ft
6:08.0,Violation by R. Gobert (def goaltending),,68-66,,
6:00.0,Shooting foul by M. Leonard (drawn by R. Gobert),,68-66,,
6:00.0,,,68-66,,Portland full timeout
6:00.0,,,68-66,,J. Freeland enters the game for N. Batum
6:00.0,,,68-66,,A. Crabbe enters the game for R. Lopez
6:00.0,R. Gobert makes free throw 1 of 2,1,69-66,,
6:00.0,R. Gobert misses free throw 2 of 2,,69-66,,
5:59.0,,,69-66,,Defensive rebound by M. Leonard
5:43.0,,,69-66,,Turnover by D. Lillard (bad pass; steal by R. Gobert)
5:38.0,Turnover by R. Gobert (lost ball; steal by D. Lillard),,69-66,,
5:28.0,,,69-66,,Turnover by C. McCollum (bad pass; steal by R. Gobert)
5:21.0,D. Exum misses 3-pt shot from 25 ft,,69-66,,
5:19.0,,,69-66,,Defensive rebound by J. Freeland
5:10.0,,,69-69,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard)
4:51.0,D. Exum misses 2-pt shot from 6 ft,,69-69,,
4:50.0,,,69-69,,Defensive rebound by J. Freeland
4:45.0,,,69-71,2,A. Crabbe makes 2-pt shot at rim (assist by C. McCollum)
4:45.0,Utah full timeout,,69-71,,
4:45.0,E. Millsap enters the game for D. Exum,,69-71,,
4:45.0,B. Cotton enters the game for C. Johnson,,69-71,,
4:37.0,Turnover by B. Cotton (bad pass; steal by A. Crabbe),,69-71,,
4:23.0,,,69-71,,D. Lillard misses 3-pt shot from 26 ft
4:22.0,Defensive rebound by R. Gobert,,69-71,,
4:08.0,B. Cotton misses 2-pt shot from 2 ft,,69-71,,
4:08.0,,,69-71,,Defensive rebound by Team
4:08.0,Loose ball foul by R. Gobert (drawn by J. Freeland),,69-71,,
4:08.0,,,69-72,1,J. Freeland makes free throw 1 of 2
4:08.0,,,69-72,,S. Blake enters the game for C. McCollum
4:08.0,C. Johnson enters the game for R. Hood,,69-72,,
4:08.0,,,69-73,1,J. Freeland makes free throw 2 of 2
3:57.0,Shooting foul by M. Leonard (drawn by E. Millsap),,69-73,,
3:57.0,E. Millsap makes free throw 1 of 2,1,70-73,,
3:57.0,E. Millsap makes free throw 2 of 2,1,71-73,,
3:42.0,,,71-73,,D. Lillard misses 2-pt shot from 13 ft
3:41.0,Defensive rebound by R. Gobert,,71-73,,
3:31.0,B. Cotton misses 3-pt shot from 22 ft,,71-73,,
3:30.0,,,71-73,,Defensive rebound by J. Freeland
3:20.0,,,71-73,,D. Lillard misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by T. Booker,,71-73,,
3:01.0,Turnover by R. Gobert (bad pass; steal by D. Lillard),,71-73,,
2:57.0,,,71-75,2,D. Lillard makes 2-pt shot at rim
2:35.0,C. Johnson misses 2-pt shot from 3 ft,,71-75,,
2:34.0,,,71-75,,Defensive rebound by A. Crabbe
2:25.0,,,71-75,,S. Blake misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by R. Gobert,,71-75,,
2:06.0,T. Booker makes 2-pt shot from 15 ft,2,73-75,,
1:52.0,,,73-75,,A. Crabbe misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by R. Gobert,,73-75,,
1:37.0,T. Booker makes 2-pt shot from 14 ft,2,75-75,,
1:19.0,,,75-77,2,D. Lillard makes 2-pt shot from 2 ft
1:12.0,E. Millsap makes 2-pt shot from 1 ft,2,77-77,,
1:00.0,,,77-77,,M. Leonard misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by C. Johnson,,77-77,,
0:50.0,T. Booker misses 2-pt shot from 3 ft (block by M. Leonard),,77-77,,
0:48.0,,,77-77,,Defensive rebound by D. Lillard
0:44.0,,,77-79,2,M. Leonard makes 2-pt shot at rim (assist by D. Lillard)
0:31.0,B. Cotton misses 2-pt shot from 20 ft,,77-79,,
0:30.0,Offensive rebound by Team,,77-79,,
0:30.0,,,77-79,,Loose ball foul by J. Freeland (drawn by T. Booker)
0:30.0,,,77-79,,N. Batum enters the game for M. Leonard
0:08.0,E. Millsap misses 3-pt shot from 26 ft,,77-79,,
0:06.0,,,77-79,,Defensive rebound by J. Freeland
0:02.0,,,77-79,,Shooting foul by E. Millsap (drawn by S. Blake)
0:02.0,,,77-79,,S. Blake misses free throw 1 of 2
0:02.0,,,77-79,,Offensive rebound by Team
0:02.0,,,77-80,1,S. Blake makes free throw 2 of 2
0:00.0,Turnover by B. Cotton (lost ball),,77-80,,
0:00.0,,,77-80,,S. Blake misses 3-pt shot from 31 ft
0:00.0,,,77-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,R. Gobert misses 2-pt shot from 16 ft,,77-80,,
11:46.0,Offensive rebound by J. Evans,,77-80,,
11:46.0,J. Evans misses 2-pt shot at rim,,77-80,,
11:43.0,,,77-80,,Defensive rebound by N. Batum
11:33.0,,,77-82,2,C. McCollum makes 2-pt shot from 21 ft (assist by N. Batum)
11:10.0,B. Cotton misses 3-pt shot from 25 ft,,77-82,,
11:09.0,Offensive rebound by R. Gobert,,77-82,,
11:07.0,,,77-82,,Loose ball foul by S. Blake (drawn by R. Gobert)
11:07.0,J. Cooley enters the game for R. Gobert,,77-82,,
10:56.0,C. Johnson makes 2-pt shot from 14 ft (assist by J. Cooley),2,79-82,,
10:42.0,,,79-84,2,A. Crabbe makes 2-pt shot at rim (assist by N. Batum)
10:23.0,Shooting foul by J. Freeland (drawn by E. Millsap),,79-84,,
10:23.0,E. Millsap makes free throw 1 of 2,1,80-84,,
10:23.0,E. Millsap makes free throw 2 of 2,1,81-84,,
10:11.0,,,81-86,2,C. McCollum makes 2-pt shot from 16 ft
9:59.0,B. Cotton makes 2-pt shot from 3 ft,2,83-86,,
9:59.0,Shooting foul by S. Blake (drawn by B. Cotton),,83-86,,
9:59.0,,,83-86,,R. Lopez enters the game for J. Freeland
9:59.0,B. Cotton makes free throw 1 of 1,1,84-86,,
9:46.0,,,84-86,,C. McCollum misses 2-pt shot from 15 ft
9:43.0,Defensive rebound by B. Cotton,,84-86,,
9:32.0,B. Cotton makes 2-pt shot from 19 ft (assist by J. Evans),2,86-86,,
9:19.0,,,86-86,,R. Lopez misses 2-pt shot from 4 ft
9:17.0,Defensive rebound by C. Johnson,,86-86,,
9:06.0,B. Cotton misses 2-pt shot from 6 ft,,86-86,,
9:05.0,Offensive rebound by J. Evans,,86-86,,
9:05.0,J. Evans makes 2-pt shot from 1 ft,2,88-86,,
8:37.0,,,88-86,,R. Lopez misses 2-pt shot from 2 ft (block by J. Cooley)
8:36.0,Defensive rebound by E. Millsap,,88-86,,
8:22.0,B. Cotton makes 2-pt shot from 16 ft,2,90-86,,
8:22.0,,,90-86,,Portland full timeout
8:22.0,,,90-86,,D. Lillard enters the game for A. Crabbe
8:22.0,,,90-86,,M. Leonard enters the game for S. Blake
8:07.0,,,90-86,,M. Leonard misses 2-pt shot from 19 ft
8:06.0,Defensive rebound by J. Cooley,,90-86,,
7:51.0,E. Millsap misses 2-pt shot from 10 ft,,90-86,,
7:49.0,Offensive rebound by J. Evans,,90-86,,
7:48.0,J. Evans makes 2-pt shot from 1 ft,2,92-86,,
7:28.0,,,92-86,,N. Batum misses 2-pt shot from 6 ft
7:26.0,Defensive rebound by C. Johnson,,92-86,,
7:07.0,B. Cotton misses 2-pt shot from 16 ft,,92-86,,
7:06.0,,,92-86,,Defensive rebound by C. McCollum
6:59.0,,,92-86,,Turnover by C. McCollum (bad pass; steal by B. Cotton)
6:54.0,C. Johnson makes 2-pt shot from 2 ft (assist by B. Cotton),2,94-86,,
6:48.0,,,94-86,,Shooting foul by J. Cooley (drawn by C. McCollum)
6:48.0,,,94-87,1,C. McCollum makes free throw 1 of 2
6:48.0,R. Hood enters the game for C. Johnson,,94-87,,
6:48.0,,,94-88,1,C. McCollum makes free throw 2 of 2
6:32.0,J. Cooley misses 2-pt shot from 19 ft,,94-88,,
6:31.0,,,94-88,,Defensive rebound by M. Leonard
6:23.0,,,94-91,3,D. Lillard makes 3-pt shot from 26 ft
6:09.0,Shooting foul by M. Leonard (drawn by J. Evans),,94-91,,
6:09.0,J. Evans makes free throw 1 of 2,1,95-91,,
6:09.0,R. Gobert enters the game for J. Cooley,,95-91,,
6:09.0,J. Evans makes free throw 2 of 2,1,96-91,,
5:55.0,,,96-91,,Turnover by C. McCollum (bad pass; steal by E. Millsap)
5:36.0,J. Evans makes 2-pt shot at rim (assist by B. Cotton),2,98-91,,
5:35.0,,,98-91,,Portland full timeout
5:35.0,,,98-91,,A. Crabbe enters the game for M. Leonard
5:18.0,,,98-93,2,D. Lillard makes 2-pt shot from 2 ft
5:00.0,R. Hood misses 3-pt shot from 23 ft,,98-93,,
4:59.0,,,98-93,,Defensive rebound by C. McCollum
4:43.0,,,98-93,,D. Lillard misses 3-pt shot from 29 ft
4:41.0,Defensive rebound by J. Evans,,98-93,,
4:30.0,Shooting foul by R. Lopez (drawn by R. Hood),,98-93,,
4:30.0,R. Hood makes free throw 1 of 2,1,99-93,,
4:30.0,T. Booker enters the game for J. Evans,,99-93,,
4:30.0,R. Hood makes free throw 2 of 2,1,100-93,,
4:20.0,,,100-93,,C. McCollum misses 2-pt shot from 15 ft
4:19.0,,,100-93,,Offensive rebound by R. Lopez
4:19.0,,,100-95,2,R. Lopez makes 2-pt shot at rim
3:59.0,Shooting foul by A. Crabbe (drawn by R. Hood),,100-95,,
3:59.0,R. Hood makes free throw 1 of 2,1,101-95,,
3:59.0,R. Hood misses free throw 2 of 2,,101-95,,
3:58.0,,,101-95,,Defensive rebound by R. Lopez
3:45.0,,,101-97,2,D. Lillard makes 2-pt shot from 1 ft
3:28.0,E. Millsap misses 3-pt shot from 25 ft,,101-97,,
3:27.0,Offensive rebound by Team,,101-97,,
3:27.0,,,101-97,,Loose ball foul by N. Batum (drawn by T. Booker)
3:27.0,T. Booker misses free throw 1 of 2,,101-97,,
