time,Charlotte,pts.away,score,pts.home,Atlanta
9:28.0,P. Hairston misses 3-pt shot from 23 ft,,17-33,,
9:27.0,,,17-33,,Defensive rebound by K. Bazemore
9:11.0,,,17-36,3,M. Scott makes 3-pt shot from 23 ft (assist by S. Mack)
9:02.0,Charlotte full timeout,,17-36,,
8:47.0,K. Walker misses 2-pt shot from 19 ft,,17-36,,
8:45.0,,,17-36,,Defensive rebound by M. Scott
8:29.0,,,17-36,,Shooting foul by B. Biyombo (drawn by M. Scott)
8:29.0,,,17-37,1,M. Scott makes free throw 1 of 2
8:29.0,A. Jefferson enters the game for B. Biyombo,,17-37,,
8:29.0,C. Zeller enters the game for J. Maxiell,,17-37,,
8:29.0,,,17-38,1,M. Scott makes free throw 2 of 2
8:15.0,B. Roberts misses 2-pt shot from 16 ft,,17-38,,
8:14.0,,,17-38,,Defensive rebound by M. Scott
7:55.0,,,17-41,3,D. Schroder makes 3-pt shot from 25 ft
7:33.0,P. Hairston makes 2-pt shot from 9 ft (assist by K. Walker),2,19-41,,
7:26.0,,,19-41,,Shooting foul by A. Jefferson (drawn by D. Schroder)
7:26.0,,,19-42,1,D. Schroder makes free throw 1 of 2
7:26.0,,,19-43,1,D. Schroder makes free throw 2 of 2
7:14.0,C. Zeller misses 2-pt shot from 16 ft,,19-43,,
7:13.0,,,19-43,,Defensive rebound by D. Schroder
7:00.0,,,19-45,2,S. Mack makes 2-pt shot from 6 ft (assist by K. Bazemore)
6:49.0,Shooting foul by A. Horford (drawn by A. Jefferson),,19-45,,
6:49.0,A. Jefferson misses free throw 1 of 2,,19-45,,
6:49.0,Offensive rebound by Team,,19-45,,
6:49.0,G. Henderson enters the game for B. Roberts,,19-45,,
6:49.0,L. Stephenson enters the game for P. Hairston,,19-45,,
6:49.0,A. Jefferson makes free throw 2 of 2,1,20-45,,
6:37.0,,,20-45,,A. Horford misses 2-pt shot from 15 ft
6:36.0,Defensive rebound by A. Jefferson,,20-45,,
6:26.0,C. Zeller misses 2-pt shot from 20 ft,,20-45,,
6:25.0,,,20-45,,Defensive rebound by S. Mack
6:04.0,,,20-45,,M. Scott misses 2-pt shot from 4 ft (block by K. Walker)
6:04.0,Defensive rebound by Team,,20-45,,
6:04.0,,,20-45,,E. Brand enters the game for A. Horford
6:04.0,,,20-45,,K. Korver enters the game for S. Mack
6:04.0,Jump ball: M. Scott vs. K. Walker (G. Henderson gains possession),,,,Jump ball: M. Scott vs. K. Walker (G. Henderson gains possession)
5:50.0,G. Henderson makes 2-pt shot from 20 ft (assist by K. Walker),2,22-45,,
5:36.0,,,22-45,,D. Schroder misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by C. Zeller,,22-45,,
5:16.0,A. Jefferson makes 2-pt shot from 2 ft (assist by L. Stephenson),2,24-45,,
5:09.0,,,24-45,,Atlanta full timeout
5:09.0,,,24-45,,J. Teague enters the game for D. Schroder
5:09.0,,,24-45,,P. Millsap enters the game for K. Bazemore
5:09.0,,,24-45,,D. Carroll enters the game for M. Scott
4:58.0,,,24-47,2,P. Millsap makes 2-pt shot from 6 ft
4:40.0,C. Zeller misses 2-pt shot from 2 ft (block by K. Korver),,24-47,,
4:40.0,Offensive rebound by Team,,24-47,,
4:37.0,G. Henderson misses 2-pt shot from 1 ft (block by E. Brand),,24-47,,
4:35.0,,,24-47,,Defensive rebound by K. Korver
4:13.0,,,24-50,3,J. Teague makes 3-pt shot from 25 ft (assist by K. Korver)
3:56.0,A. Jefferson makes 2-pt shot from 1 ft (assist by G. Henderson),2,26-50,,
3:42.0,,,26-52,2,E. Brand makes 2-pt shot from 17 ft (assist by J. Teague)
3:29.0,Shooting foul by J. Teague (drawn by C. Zeller),,26-52,,
3:29.0,C. Zeller makes free throw 1 of 2,1,27-52,,
3:29.0,C. Zeller makes free throw 2 of 2,1,28-52,,
3:20.0,Personal foul by L. Stephenson (drawn by D. Carroll),,28-52,,
3:05.0,,,28-54,2,D. Carroll makes 2-pt shot from 6 ft
2:48.0,Turnover by C. Zeller (lost ball; steal by P. Millsap),,28-54,,
2:31.0,,,28-56,2,P. Millsap makes 2-pt shot from 1 ft
2:31.0,,,28-56,,Shooting foul by A. Jefferson (drawn by P. Millsap)
2:31.0,Official timeout,,28-56,,
2:31.0,B. Roberts enters the game for L. Stephenson,,28-56,,
2:31.0,,,28-57,1,P. Millsap makes free throw 1 of 1
2:11.0,K. Walker misses 2-pt shot from 14 ft,,28-57,,
2:10.0,,,28-57,,Defensive rebound by E. Brand
1:55.0,,,28-60,3,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague)
1:37.0,G. Henderson misses 3-pt shot from 24 ft,,28-60,,
1:36.0,,,28-60,,Defensive rebound by J. Teague
1:22.0,,,28-62,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Carroll)
0:55.0,G. Henderson misses 3-pt shot from 24 ft,,28-62,,
0:54.0,,,28-62,,Defensive rebound by P. Millsap
0:44.0,,,28-64,2,K. Korver makes 2-pt shot from 1 ft (assist by J. Teague)
0:32.0,B. Roberts misses 3-pt shot from 25 ft,,28-64,,
0:31.0,,,28-64,,Defensive rebound by E. Brand
0:09.0,,,28-64,,E. Brand misses 2-pt shot from 17 ft
0:08.0,Defensive rebound by C. Zeller,,28-64,,
0:00.0,A. Jefferson misses 3-pt shot from 25 ft,,28-64,,
0:00.0,Offensive rebound by Team,,28-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,L. Stephenson misses 2-pt shot from 21 ft,,28-64,,
11:37.0,Offensive rebound by G. Henderson,,28-64,,
11:30.0,A. Jefferson makes 2-pt shot from 16 ft (assist by L. Stephenson),2,30-64,,
11:17.0,,,30-64,,Shooting foul by A. Jefferson (drawn by P. Millsap)
11:17.0,,,30-65,1,P. Millsap makes free throw 1 of 2
11:17.0,,,30-66,1,P. Millsap makes free throw 2 of 2
11:01.0,A. Jefferson misses 2-pt shot from 8 ft,,30-66,,
10:58.0,,,30-66,,Defensive rebound by K. Korver
10:51.0,,,30-68,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
10:34.0,G. Henderson misses 2-pt shot from 17 ft,,30-68,,
10:33.0,Offensive rebound by Team,,30-68,,
10:25.0,K. Walker makes 2-pt shot at rim,2,32-68,,
10:09.0,,,32-71,3,A. Horford makes 3-pt shot from 23 ft (assist by K. Korver)
9:56.0,C. Zeller misses 2-pt shot from 20 ft,,32-71,,
9:55.0,,,32-71,,Defensive rebound by D. Carroll
9:38.0,,,32-71,,Shooting foul by K. Walker (drawn by K. Korver)
9:38.0,,,32-72,1,K. Korver makes free throw 1 of 2
9:38.0,,,32-73,1,K. Korver makes free throw 2 of 2
9:13.0,Turnover by A. Jefferson (lost ball; steal by P. Millsap),,32-73,,
9:09.0,,,32-73,,Turnover by J. Teague (lost ball)
9:09.0,B. Roberts enters the game for K. Walker,,32-73,,
8:47.0,L. Stephenson makes 2-pt shot from 5 ft (assist by G. Henderson),2,34-73,,
8:33.0,,,34-75,2,D. Carroll makes 2-pt shot from 5 ft (assist by P. Millsap)
8:19.0,L. Stephenson misses 3-pt shot from 25 ft,,34-75,,
8:17.0,,,34-75,,Defensive rebound by A. Horford
8:12.0,,,34-78,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
8:11.0,Charlotte full timeout,,34-78,,
8:11.0,B. Biyombo enters the game for A. Jefferson,,34-78,,
8:00.0,Shooting foul by P. Millsap (drawn by C. Zeller),,34-78,,
8:00.0,C. Zeller makes free throw 1 of 2,1,35-78,,
8:00.0,C. Zeller makes free throw 2 of 2,1,36-78,,
7:45.0,,,36-80,2,A. Horford makes 2-pt shot from 12 ft
7:30.0,C. Zeller misses 2-pt shot from 20 ft,,36-80,,
7:29.0,Offensive rebound by L. Stephenson,,36-80,,
7:26.0,L. Stephenson misses 2-pt shot from 6 ft,,36-80,,
7:23.0,Offensive rebound by B. Biyombo,,36-80,,
7:23.0,Charlotte full timeout,,36-80,,
7:09.0,B. Roberts misses 3-pt shot from 24 ft,,36-80,,
7:08.0,,,36-80,,Defensive rebound by Team
6:49.0,,,36-80,,Turnover by J. Teague (bad pass; steal by C. Zeller)
6:33.0,L. Stephenson makes 2-pt shot from 1 ft (assist by B. Roberts),2,38-80,,
6:12.0,,,38-80,,Shooting foul by L. Stephenson (drawn by D. Carroll)
6:12.0,,,38-81,1,D. Carroll makes free throw 1 of 2
6:12.0,,,38-81,,E. Brand enters the game for A. Horford
6:12.0,,,38-81,,D. Carroll misses free throw 2 of 2
6:11.0,Defensive rebound by B. Biyombo,,38-81,,
5:49.0,B. Biyombo makes 2-pt shot from 2 ft (assist by G. Henderson),2,40-81,,
5:35.0,,,40-81,,K. Korver misses 3-pt shot from 23 ft
5:33.0,Defensive rebound by B. Biyombo,,40-81,,
5:22.0,Turnover by L. Stephenson (lost ball; steal by P. Millsap),,40-81,,
5:14.0,,,40-81,,P. Millsap misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by C. Zeller,,40-81,,
5:05.0,B. Roberts misses 2-pt shot from 19 ft,,40-81,,
5:04.0,,,40-81,,Defensive rebound by J. Teague
4:56.0,,,40-81,,Shooting foul by L. Stephenson (drawn by E. Brand)
4:56.0,,,40-81,,E. Brand misses free throw 1 of 2
4:56.0,,,40-81,,Offensive rebound by Team
4:56.0,,,40-81,,S. Mack enters the game for K. Korver
4:56.0,J. Pargo enters the game for G. Henderson,,40-81,,
4:56.0,P. Hairston enters the game for L. Stephenson,,40-81,,
4:56.0,,,40-82,1,E. Brand makes free throw 2 of 2
4:43.0,Shooting foul by E. Brand (drawn by B. Biyombo),,40-82,,
4:43.0,B. Biyombo misses free throw 1 of 2,,40-82,,
4:43.0,Offensive rebound by Team,,40-82,,
4:43.0,,,40-82,,D. Schroder enters the game for J. Teague
4:43.0,B. Biyombo makes free throw 2 of 2,1,41-82,,
4:21.0,,,41-82,,D. Schroder misses 2-pt shot from 1 ft (block by B. Biyombo)
4:21.0,,,41-82,,Offensive rebound by Team
4:18.0,,,41-82,,Turnover by Team (shot clock)
3:59.0,C. Zeller misses 2-pt shot from 16 ft,,41-82,,
3:57.0,,,41-82,,Defensive rebound by E. Brand
3:38.0,,,41-84,2,P. Millsap makes 2-pt shot from 1 ft (assist by E. Brand)
3:26.0,J. Pargo misses 2-pt shot from 17 ft,,41-84,,
3:24.0,,,41-84,,Defensive rebound by E. Brand
3:16.0,,,41-84,,Turnover by P. Millsap (lost ball)
3:16.0,,,41-84,,M. Scott enters the game for P. Millsap
3:16.0,,,41-84,,K. Bazemore enters the game for D. Carroll
3:16.0,J. Maxiell enters the game for C. Zeller,,41-84,,
3:02.0,J. Pargo misses 3-pt shot from 25 ft,,41-84,,
3:01.0,Offensive rebound by B. Biyombo,,41-84,,
2:59.0,B. Biyombo makes 2-pt shot from 1 ft,2,43-84,,
2:41.0,,,43-84,,Turnover by E. Brand (lost ball; steal by P. Hairston)
2:35.0,P. Hairston misses 3-pt shot from 24 ft,,43-84,,
2:32.0,Offensive rebound by B. Biyombo,,43-84,,
2:28.0,J. Pargo makes 3-pt shot from 25 ft (assist by B. Biyombo),3,46-84,,
2:08.0,,,46-84,,S. Mack misses 2-pt shot from 10 ft
2:06.0,,,46-84,,Offensive rebound by E. Brand
1:55.0,,,46-84,,S. Mack misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by P. Hairston,,46-84,,
1:45.0,J. Maxiell misses 2-pt shot from 15 ft,,46-84,,
1:44.0,,,46-84,,Defensive rebound by K. Bazemore
1:36.0,,,46-84,,Turnover by K. Bazemore (back court)
1:36.0,,,46-84,,Atlanta full timeout
1:36.0,G. Henderson enters the game for B. Roberts,,46-84,,
1:21.0,P. Hairston makes 2-pt shot from 18 ft (assist by J. Pargo),2,48-84,,
1:02.0,,,48-84,,D. Schroder misses 2-pt shot from 18 ft
1:01.0,Defensive rebound by B. Biyombo,,48-84,,
0:49.0,J. Pargo makes 3-pt shot from 24 ft (assist by G. Henderson),3,51-84,,
0:36.0,,,51-84,,M. Scott misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by J. Maxiell,,51-84,,
0:26.0,J. Pargo misses 2-pt shot from 20 ft,,51-84,,
0:24.0,,,51-84,,Defensive rebound by S. Mack
0:02.0,,,51-84,,Turnover by Team (shot clock)
0:00.0,J. Pargo misses 3-pt shot from 45 ft,,51-84,,
0:00.0,Offensive rebound by Team,,51-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,51-86,2,D. Schroder makes 2-pt shot from 12 ft (assist by T. Sefolosha)
11:25.0,G. Henderson misses 2-pt shot from 20 ft,,51-86,,
11:23.0,Offensive rebound by N. Vonleh,,51-86,,
11:20.0,,,51-86,,Personal foul by M. Scott (drawn by N. Vonleh)
11:11.0,P. Hairston makes 3-pt shot from 25 ft (assist by J. Pargo),3,54-86,,
10:54.0,Personal foul by P. Hairston (drawn by K. Bazemore),,54-86,,
10:47.0,,,54-86,,Offensive foul by M. Scott
10:47.0,,,54-86,,Turnover by M. Scott (offensive foul)
10:37.0,P. Hairston misses 2-pt shot from 16 ft,,54-86,,
10:37.0,Offensive rebound by Team,,54-86,,
10:37.0,,,54-86,,Loose ball foul by M. Scott (drawn by N. Vonleh)
10:37.0,,,54-86,,E. Brand enters the game for M. Scott
10:36.0,Turnover by G. Henderson (bad pass; steal by M. Muscala),,54-86,,
10:31.0,,,54-88,2,M. Muscala makes 2-pt shot at rim
10:24.0,P. Hairston misses 3-pt shot from 25 ft,,54-88,,
10:23.0,Offensive rebound by P. Hairston,,54-88,,
10:21.0,P. Hairston misses 2-pt shot from 1 ft,,54-88,,
10:20.0,,,54-88,,Defensive rebound by T. Sefolosha
10:07.0,,,54-88,,M. Muscala misses 2-pt shot from 21 ft
10:05.0,Defensive rebound by N. Vonleh,,54-88,,
10:00.0,,,54-88,,Personal foul by D. Schroder (drawn by J. Pargo)
10:00.0,,,54-88,,S. Mack enters the game for D. Schroder
9:57.0,,,54-88,,Personal foul by S. Mack (drawn by J. Pargo)
9:49.0,Turnover by J. Pargo (bad pass; steal by K. Bazemore),,54-88,,
9:45.0,,,54-88,,K. Bazemore misses 2-pt shot from 1 ft (block by P. Hairston)
9:44.0,,,54-88,,Offensive rebound by Team
9:40.0,,,54-88,,Offensive foul by M. Muscala
9:40.0,,,54-88,,Turnover by M. Muscala (offensive foul)
9:24.0,Shooting foul by K. Bazemore (drawn by P. Hairston),,54-88,,
9:24.0,P. Hairston makes free throw 1 of 2,1,55-88,,
9:24.0,P. Hairston makes free throw 2 of 2,1,56-88,,
9:09.0,Personal foul by J. Pargo (drawn by E. Brand),,56-88,,
8:56.0,,,56-88,,K. Bazemore misses 3-pt shot from 26 ft
8:55.0,Defensive rebound by N. Vonleh,,56-88,,
8:50.0,J. Pargo misses 3-pt shot from 25 ft,,56-88,,
8:47.0,,,56-88,,Defensive rebound by K. Bazemore
8:38.0,,,56-88,,Offensive charge foul by M. Muscala
8:38.0,,,56-88,,Turnover by M. Muscala (offensive foul)
8:38.0,Official timeout,,56-88,,
8:38.0,,,56-88,,M. Scott enters the game for K. Bazemore
8:26.0,G. Henderson makes 2-pt shot from 5 ft,2,58-88,,
8:06.0,,,58-90,2,E. Brand makes 2-pt shot from 17 ft (assist by S. Mack)
7:52.0,P. Hairston makes 3-pt shot from 26 ft (assist by J. Pargo),3,61-90,,
7:36.0,,,61-90,,S. Mack misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by P. Hairston,,61-90,,
7:24.0,J. Maxiell misses 2-pt shot from 9 ft,,61-90,,
7:23.0,,,61-90,,Defensive rebound by E. Brand
7:01.0,,,61-90,,T. Sefolosha misses 2-pt shot from 3 ft
7:00.0,Defensive rebound by J. Maxiell,,61-90,,
6:52.0,Turnover by J. Pargo (bad pass; steal by M. Muscala),,61-90,,
6:43.0,,,61-90,,T. Sefolosha misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by N. Vonleh,,61-90,,
6:30.0,Turnover by G. Henderson (step out of bounds),,61-90,,
6:30.0,,,61-90,,K. Bazemore enters the game for T. Sefolosha
6:15.0,,,61-90,,M. Muscala misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by J. Maxiell,,61-90,,
6:05.0,J. Maxiell misses 2-pt shot at rim,,61-90,,
6:04.0,,,61-90,,Defensive rebound by K. Bazemore
5:55.0,Personal foul by J. Pargo (drawn by M. Scott),,61-90,,
5:55.0,,,61-90,,Atlanta full timeout
5:40.0,,,61-93,3,M. Scott makes 3-pt shot from 24 ft (assist by S. Mack)
5:30.0,Technical foul by G. Henderson,,61-93,,
5:30.0,Offensive foul by G. Henderson,,61-93,,
5:30.0,Turnover by G. Henderson (offensive foul),,61-93,,
5:30.0,,,61-94,1,S. Mack makes technical free throw
5:30.0,B. Biyombo enters the game for J. Maxiell,,61-94,,
5:17.0,,,61-96,2,E. Brand makes 2-pt shot from 18 ft (assist by S. Mack)
4:59.0,P. Hairston misses 2-pt shot from 11 ft,,61-96,,
4:57.0,Offensive rebound by B. Biyombo,,61-96,,
4:57.0,B. Biyombo makes 2-pt shot at rim,2,63-96,,
4:44.0,,,63-96,,S. Mack misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by G. Henderson,,63-96,,
4:41.0,,,63-96,,Personal foul by K. Bazemore (drawn by G. Henderson)
4:41.0,G. Henderson makes free throw 1 of 2,1,64-96,,
4:41.0,G. Henderson makes free throw 2 of 2,1,65-96,,
4:17.0,,,65-96,,M. Muscala misses 2-pt shot at rim
4:16.0,Defensive rebound by N. Vonleh,,65-96,,
4:08.0,J. Pargo makes 2-pt shot from 18 ft,2,67-96,,
3:51.0,,,67-98,2,M. Scott makes 2-pt shot from 16 ft (assist by S. Mack)
3:36.0,J. Pargo makes 2-pt shot from 19 ft,2,69-98,,
3:19.0,,,69-100,2,M. Scott makes 2-pt shot from 16 ft (assist by E. Brand)
3:04.0,N. Vonleh makes 2-pt shot from 1 ft (assist by J. Pargo),2,71-100,,
2:45.0,Charlotte full timeout,,71-100,,
2:42.0,,,71-100,,Turnover by M. Scott (lost ball)
2:27.0,G. Henderson makes 2-pt shot from 17 ft (assist by P. Hairston),2,73-100,,
2:08.0,,,73-100,,E. Brand misses 2-pt shot from 16 ft
2:07.0,Defensive rebound by N. Vonleh,,73-100,,
1:48.0,G. Henderson misses 2-pt shot from 2 ft,,73-100,,
1:47.0,,,73-100,,Defensive rebound by K. Bazemore
1:46.0,,,73-102,2,M. Muscala makes 2-pt shot at rim (assist by S. Mack)
1:27.0,G. Henderson makes 2-pt shot from 15 ft,2,75-102,,
1:06.0,,,75-102,,M. Muscala misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by B. Biyombo,,75-102,,
1:00.0,G. Henderson misses 2-pt shot from 1 ft,,75-102,,
0:59.0,,,75-102,,Defensive rebound by M. Muscala
0:40.0,,,75-105,3,S. Mack makes 3-pt shot from 25 ft
0:30.0,N. Vonleh misses 3-pt shot from 25 ft,,75-105,,
0:27.0,,,75-105,,Defensive rebound by M. Scott
0:07.0,,,75-105,,K. Bazemore misses 2-pt shot from 21 ft
0:05.0,,,75-105,,Offensive rebound by M. Muscala
0:00.0,End of 4th quarter,,,,End of 4th quarter
