time,Cleveland,pts.away,score,pts.home,Washington
1:32.0,,,21-22,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
1:03.0,L. James misses 2-pt shot from 5 ft,,21-22,,
1:02.0,,,21-22,,Defensive rebound by M. Gortat
0:51.0,,,21-24,2,J. Wall makes 2-pt shot from 20 ft
0:28.0,T. Thompson misses 2-pt shot from 6 ft,,21-24,,
0:27.0,,,21-24,,Defensive rebound by J. Wall
0:07.0,,,21-24,,J. Wall misses 3-pt shot from 27 ft
0:06.0,,,21-24,,Offensive rebound by M. Gortat
0:03.0,,,21-24,,M. Gortat misses 2-pt shot from 7 ft
0:02.0,,,21-24,,Offensive rebound by O. Porter
0:02.0,Violation by T. Thompson (def goaltending),,21-24,,
0:02.0,,,21-26,2,O. Porter makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,21-28,2,K. Seraphin makes 2-pt shot from 1 ft (assist by K. Humphries)
11:22.0,K. Irving makes 2-pt shot from 18 ft,2,23-28,,
11:09.0,Personal foul by T. Thompson (drawn by K. Humphries),,23-28,,
10:57.0,,,23-28,,B. Beal misses 2-pt shot from 15 ft
10:56.0,Defensive rebound by K. Irving,,23-28,,
10:55.0,Turnover by K. Irving (step out of bounds),,23-28,,
10:46.0,,,23-30,2,O. Porter makes 2-pt shot at rim
10:24.0,D. Waiters misses 3-pt shot from 26 ft,,23-30,,
10:23.0,,,23-30,,Defensive rebound by B. Beal
10:04.0,,,23-30,,K. Humphries misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by A. Varejao,,23-30,,
9:55.0,K. Irving misses 3-pt shot from 27 ft,,23-30,,
9:54.0,,,23-30,,Defensive rebound by Team
9:38.0,,,23-32,2,K. Humphries makes 2-pt shot from 17 ft (assist by A. Miller)
9:32.0,Cleveland full timeout,,23-32,,
9:15.0,S. Marion makes 2-pt shot from 7 ft,2,25-32,,
8:56.0,,,25-32,,K. Seraphin misses 2-pt shot from 4 ft
8:55.0,Defensive rebound by T. Thompson,,25-32,,
8:38.0,Shooting foul by K. Humphries (drawn by K. Irving),,25-32,,
8:38.0,K. Irving makes free throw 1 of 2,1,26-32,,
8:38.0,K. Love enters the game for T. Thompson,,26-32,,
8:38.0,K. Irving makes free throw 2 of 2,1,27-32,,
8:17.0,,,27-34,2,K. Seraphin makes 2-pt shot from 8 ft (assist by B. Beal)
8:08.0,Turnover by K. Irving (bad pass; steal by K. Seraphin),,27-34,,
8:03.0,,,27-36,2,B. Beal makes 2-pt shot from 1 ft (assist by A. Miller)
8:02.0,,,27-36,,Violation by Team (delay of game)
7:40.0,Shooting foul by A. Miller (drawn by A. Varejao),,27-36,,
7:40.0,Cleveland full timeout,,27-36,,
7:40.0,A. Varejao makes free throw 1 of 2,1,28-36,,
7:40.0,L. James enters the game for S. Marion,,28-36,,
7:40.0,A. Varejao makes free throw 2 of 2,1,29-36,,
7:25.0,,,29-36,,O. Porter misses 2-pt shot from 20 ft
7:23.0,,,29-36,,Offensive rebound by K. Seraphin
7:22.0,,,29-36,,Shooting foul by K. Love (drawn by K. Seraphin)
7:22.0,,,29-37,1,K. Seraphin makes free throw 1 of 2
7:22.0,,,29-37,,K. Seraphin misses free throw 2 of 2
7:21.0,Defensive rebound by K. Love,,29-37,,
7:02.0,,,29-37,,Personal foul by O. Porter (drawn by K. Love)
6:54.0,K. Love makes 2-pt shot from 16 ft,2,31-37,,
6:40.0,,,31-37,,K. Seraphin misses 2-pt shot from 11 ft
6:39.0,Defensive rebound by K. Love,,31-37,,
6:26.0,D. Waiters misses 2-pt shot from 20 ft,,31-37,,
6:25.0,,,31-37,,Defensive rebound by K. Seraphin
6:18.0,,,31-37,,K. Humphries misses 2-pt shot from 2 ft (block by D. Waiters)
6:16.0,,,31-37,,Offensive rebound by K. Humphries
6:14.0,,,31-39,2,K. Humphries makes 2-pt shot at rim
5:59.0,Turnover by K. Love (lost ball),,31-39,,
5:59.0,,,31-39,,N. Hilario enters the game for B. Beal
5:59.0,,,31-39,,J. Wall enters the game for K. Humphries
5:59.0,,,31-39,,P. Pierce enters the game for A. Miller
5:40.0,,,31-39,,K. Seraphin misses 2-pt shot from 4 ft
5:39.0,,,31-39,,Offensive rebound by N. Hilario
5:33.0,,,31-41,2,K. Seraphin makes 2-pt shot from 2 ft (assist by J. Wall)
5:11.0,K. Love misses 2-pt shot from 15 ft,,31-41,,
5:10.0,,,31-41,,Defensive rebound by P. Pierce
5:00.0,,,31-41,,N. Hilario misses 2-pt shot from 20 ft
5:00.0,Defensive rebound by A. Varejao,,31-41,,
4:53.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,34-41,,
4:32.0,,,34-43,2,K. Seraphin makes 2-pt shot from 5 ft (assist by P. Pierce)
4:16.0,K. Love misses 3-pt shot from 22 ft,,34-43,,
4:15.0,,,34-43,,Defensive rebound by J. Wall
4:14.0,Personal take foul by A. Varejao (drawn by J. Wall),,34-43,,
4:14.0,J. Harris enters the game for D. Waiters,,34-43,,
4:14.0,T. Thompson enters the game for A. Varejao,,34-43,,
4:03.0,,,34-43,,K. Seraphin misses 2-pt shot from 6 ft
4:02.0,,,34-43,,Offensive rebound by P. Pierce
4:00.0,,,34-45,2,P. Pierce makes 2-pt shot from 1 ft
3:42.0,,,34-45,,Def 3 sec tech foul by K. Seraphin
3:42.0,K. Irving makes technical free throw,1,35-45,,
3:32.0,Offensive foul by T. Thompson,,35-45,,
3:32.0,Turnover by T. Thompson (offensive foul),,35-45,,
3:15.0,,,35-48,3,P. Pierce makes 3-pt shot from 23 ft (assist by J. Wall)
3:06.0,Offensive foul by J. Harris,,35-48,,
3:06.0,Turnover by J. Harris (offensive foul),,35-48,,
2:46.0,,,35-48,,J. Wall misses 2-pt shot from 20 ft
2:45.0,Defensive rebound by K. Love,,35-48,,
2:30.0,L. James makes 3-pt shot from 24 ft,3,38-48,,
2:15.0,Personal foul by J. Harris (drawn by O. Porter),,38-48,,
2:15.0,Official timeout,,38-48,,
2:15.0,S. Marion enters the game for J. Harris,,38-48,,
2:15.0,,,38-48,,B. Beal enters the game for O. Porter
2:06.0,,,38-48,,B. Beal misses 2-pt shot from 14 ft (block by T. Thompson)
2:06.0,,,38-48,,Offensive rebound by Team
2:02.0,,,38-48,,Shooting foul by S. Marion (drawn by K. Seraphin)
2:02.0,,,38-48,,K. Seraphin misses free throw 1 of 2
2:02.0,,,38-48,,Offensive rebound by Team
2:02.0,,,38-49,1,K. Seraphin makes free throw 2 of 2
1:50.0,Turnover by S. Marion (bad pass; steal by J. Wall),,38-49,,
1:44.0,,,38-51,2,J. Wall makes 2-pt shot at rim
1:35.0,Shooting foul by J. Wall (drawn by K. Irving),,38-51,,
1:35.0,K. Irving makes free throw 1 of 2,1,39-51,,
1:35.0,K. Irving makes free throw 2 of 2,1,40-51,,
1:27.0,,,40-51,,Offensive foul by K. Seraphin
1:27.0,,,40-51,,Turnover by K. Seraphin (offensive foul)
1:12.0,,,40-51,,Personal foul by B. Beal (drawn by S. Marion)
1:12.0,S. Marion makes free throw 1 of 2,1,41-51,,
1:12.0,A. Varejao enters the game for T. Thompson,,41-51,,
1:12.0,S. Marion makes free throw 2 of 2,1,42-51,,
0:59.0,,,42-53,2,P. Pierce makes 2-pt shot at rim (assist by N. Hilario)
0:53.0,L. James misses 3-pt shot from 25 ft,,42-53,,
0:49.0,,,42-53,,Defensive rebound by N. Hilario
0:30.0,,,42-55,2,K. Seraphin makes 2-pt shot from 3 ft (assist by N. Hilario)
0:15.0,L. James misses 3-pt shot from 26 ft,,42-55,,
0:15.0,,,42-55,,Defensive rebound by N. Hilario
0:03.0,,,42-55,,J. Wall misses 2-pt shot from 7 ft
0:01.0,Defensive rebound by K. Love,,42-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,42-57,2,J. Wall makes 2-pt shot from 14 ft (assist by N. Hilario)
11:18.0,A. Varejao misses 2-pt shot from 5 ft,,42-57,,
11:17.0,,,42-57,,Defensive rebound by N. Hilario
11:11.0,,,42-57,,M. Gortat misses 2-pt shot from 3 ft (block by S. Marion)
11:08.0,Defensive rebound by K. Love,,42-57,,
11:05.0,L. James makes 2-pt shot from 8 ft (assist by K. Love),2,44-57,,
11:05.0,Shooting foul by P. Pierce (drawn by L. James),,44-57,,
11:05.0,L. James misses free throw 1 of 1,,44-57,,
11:03.0,Offensive rebound by L. James,,44-57,,
10:43.0,L. James misses 3-pt shot from 28 ft,,44-57,,
10:42.0,Offensive rebound by K. Irving,,44-57,,
10:37.0,K. Irving misses 3-pt shot from 26 ft,,44-57,,
10:36.0,,,44-57,,Defensive rebound by J. Wall
10:24.0,,,44-57,,Turnover by J. Wall (bad pass; steal by A. Varejao)
10:19.0,K. Irving makes 2-pt shot from 1 ft (assist by A. Varejao),2,46-57,,
10:01.0,,,46-57,,Turnover by P. Pierce (bad pass)
9:48.0,K. Irving misses 2-pt shot from 10 ft,,46-57,,
9:47.0,Offensive rebound by A. Varejao,,46-57,,
9:46.0,A. Varejao misses 2-pt shot from 1 ft,,46-57,,
9:46.0,Offensive rebound by A. Varejao,,46-57,,
9:46.0,A. Varejao makes 2-pt shot from 1 ft,2,48-57,,
9:46.0,,,48-57,,Washington full timeout
9:29.0,,,48-57,,M. Gortat misses 2-pt shot from 16 ft
9:27.0,,,48-57,,Offensive rebound by G. Temple
9:22.0,,,48-60,3,J. Wall makes 3-pt shot from 26 ft (assist by G. Temple)
9:00.0,S. Marion makes 3-pt shot from 24 ft (assist by L. James),3,51-60,,
8:45.0,,,51-60,,G. Temple misses 2-pt shot from 11 ft
8:43.0,Defensive rebound by A. Varejao,,51-60,,
8:32.0,A. Varejao makes 2-pt shot from 1 ft (assist by K. Irving),2,53-60,,
8:26.0,Personal foul by A. Varejao (drawn by N. Hilario),,53-60,,
8:26.0,,,53-60,,B. Beal enters the game for G. Temple
8:19.0,,,53-62,2,N. Hilario makes 2-pt shot at rim (assist by B. Beal)
8:10.0,K. Irving misses 2-pt shot from 14 ft,,53-62,,
8:08.0,,,53-62,,Defensive rebound by M. Gortat
8:04.0,,,53-62,,Turnover by M. Gortat (bad pass; steal by L. James)
8:00.0,K. Love misses 2-pt shot from 4 ft,,53-62,,
7:58.0,,,53-62,,Defensive rebound by P. Pierce
7:54.0,,,53-64,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:34.0,L. James misses 3-pt shot from 26 ft,,53-64,,
7:33.0,,,53-64,,Defensive rebound by M. Gortat
7:13.0,,,53-64,,P. Pierce misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by K. Irving,,53-64,,
7:08.0,L. James makes 2-pt shot at rim (assist by A. Varejao),2,55-64,,
6:52.0,,,55-64,,Offensive foul by B. Beal
6:52.0,,,55-64,,Turnover by B. Beal (offensive foul)
6:36.0,A. Varejao misses 2-pt shot from 11 ft,,55-64,,
6:35.0,,,55-64,,Defensive rebound by P. Pierce
6:29.0,,,55-64,,Offensive foul by N. Hilario
6:29.0,,,55-64,,Turnover by N. Hilario (offensive foul)
6:29.0,,,55-64,,Technical foul by Team
6:29.0,K. Irving makes technical free throw,1,56-64,,
6:14.0,A. Varejao misses 2-pt shot from 12 ft,,56-64,,
6:13.0,,,56-64,,Defensive rebound by N. Hilario
6:02.0,,,56-64,,J. Wall misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by S. Marion,,56-64,,
5:56.0,Offensive foul by K. Love,,56-64,,
5:56.0,Turnover by K. Love (offensive foul),,56-64,,
5:56.0,,,56-64,,Washington full timeout
5:41.0,,,56-66,2,N. Hilario makes 2-pt shot from 19 ft (assist by B. Beal)
5:18.0,A. Varejao misses 2-pt shot from 4 ft,,56-66,,
5:17.0,,,56-66,,Defensive rebound by M. Gortat
5:11.0,,,56-68,2,J. Wall makes 2-pt shot from 13 ft
4:53.0,K. Love misses 2-pt shot from 1 ft,,56-68,,
4:53.0,,,56-68,,Defensive rebound by Team
4:53.0,Loose ball foul by S. Marion (drawn by P. Pierce),,56-68,,
4:53.0,,,56-68,,K. Humphries enters the game for N. Hilario
4:45.0,,,56-68,,B. Beal misses 2-pt shot from 19 ft
4:44.0,Defensive rebound by A. Varejao,,56-68,,
4:31.0,Turnover by S. Marion (lost ball; steal by J. Wall),,56-68,,
4:17.0,,,56-70,2,J. Wall makes 2-pt shot from 19 ft
3:51.0,A. Varejao misses 2-pt shot from 17 ft,,56-70,,
3:50.0,,,56-70,,Defensive rebound by J. Wall
3:44.0,,,56-72,2,J. Wall makes 2-pt shot from 19 ft
3:42.0,Cleveland full timeout,,56-72,,
3:42.0,T. Thompson enters the game for K. Love,,56-72,,
3:42.0,D. Waiters enters the game for S. Marion,,56-72,,
3:42.0,,,56-72,,O. Porter enters the game for P. Pierce
3:25.0,D. Waiters makes 2-pt shot from 8 ft,2,58-72,,
3:11.0,,,58-72,,Turnover by J. Wall (bad pass; steal by D. Waiters)
3:05.0,Turnover by D. Waiters (bad pass; steal by J. Wall),,58-72,,
2:51.0,,,58-72,,Shooting foul by T. Thompson (drawn by J. Wall)
2:51.0,,,58-73,1,J. Wall makes free throw 1 of 2
2:51.0,M. Miller enters the game for A. Varejao,,58-73,,
2:51.0,,,58-74,1,J. Wall makes free throw 2 of 2
2:43.0,,,58-74,,Personal foul by J. Wall (drawn by K. Irving)
2:27.0,K. Irving makes 2-pt shot from 5 ft,2,60-74,,
2:18.0,,,60-74,,B. Beal misses 2-pt shot from 3 ft
2:18.0,,,60-74,,Offensive rebound by Team
2:18.0,Personal foul by T. Thompson (drawn by K. Humphries),,60-74,,
2:05.0,,,60-74,,Turnover by M. Gortat (bad pass; steal by D. Waiters)
1:59.0,K. Irving makes 2-pt shot from 4 ft (assist by D. Waiters),2,62-74,,
1:40.0,,,62-76,2,O. Porter makes 2-pt shot from 12 ft (assist by M. Gortat)
1:24.0,L. James misses 2-pt shot from 4 ft,,62-76,,
1:21.0,Offensive rebound by T. Thompson,,62-76,,
1:17.0,T. Thompson makes 2-pt shot at rim,2,64-76,,
1:06.0,,,64-78,2,J. Wall makes 2-pt shot from 17 ft
0:46.0,,,64-78,,Personal foul by O. Porter (drawn by K. Irving)
0:46.0,,,64-78,,K. Seraphin enters the game for M. Gortat
0:37.0,D. Waiters misses 3-pt shot from 23 ft,,64-78,,
0:35.0,Offensive rebound by L. James,,64-78,,
0:35.0,Shooting foul by K. Humphries (drawn by L. James),,64-78,,
0:35.0,L. James misses free throw 1 of 2,,64-78,,
0:35.0,Offensive rebound by Team,,64-78,,
0:35.0,L. James makes free throw 2 of 2,1,65-78,,
0:27.0,,,65-80,2,J. Wall makes 2-pt shot from 1 ft
0:05.0,Turnover by L. James (bad pass; steal by B. Beal),,65-80,,
0:02.0,,,65-80,,J. Wall misses 2-pt shot at rim
0:01.0,Defensive rebound by K. Irving,,65-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,K. Irving makes 2-pt shot from 18 ft,2,67-80,,
11:12.0,,,67-80,,O. Porter misses 2-pt shot from 16 ft
11:10.0,Defensive rebound by S. Marion,,67-80,,
10:55.0,T. Thompson misses 2-pt shot from 4 ft (block by K. Seraphin),,67-80,,
10:53.0,,,67-80,,Defensive rebound by O. Porter
10:47.0,Personal foul by D. Waiters (drawn by O. Porter),,67-80,,
10:35.0,,,67-82,2,A. Miller makes 2-pt shot from 1 ft
10:21.0,K. Irving misses 3-pt shot from 28 ft,,67-82,,
10:18.0,Offensive rebound by T. Thompson,,67-82,,
10:07.0,K. Irving makes 2-pt shot from 2 ft (assist by S. Marion),2,69-82,,
9:54.0,,,69-82,,Turnover by B. Beal (bad pass; steal by S. Marion)
9:51.0,Turnover by S. Marion (bad pass),,69-82,,
9:31.0,,,69-84,2,A. Miller makes 2-pt shot from 16 ft
9:31.0,,,69-84,,Personal foul by K. Humphries (drawn by S. Marion)
9:31.0,Personal foul by S. Marion,,69-84,,
9:16.0,M. Miller makes 3-pt shot from 25 ft (assist by S. Marion),3,72-84,,
9:03.0,Personal foul by D. Waiters (drawn by K. Humphries),,72-84,,
8:54.0,,,72-84,,K. Seraphin misses 2-pt shot from 15 ft
8:54.0,,,72-84,,Offensive rebound by K. Humphries
8:53.0,,,72-84,,K. Humphries misses 2-pt shot from 1 ft
8:51.0,Defensive rebound by T. Thompson,,72-84,,
8:47.0,D. Waiters misses 2-pt shot from 4 ft (block by K. Seraphin),,72-84,,
8:47.0,Offensive rebound by Team,,72-84,,
8:47.0,Official timeout,,72-84,,
8:47.0,L. James enters the game for K. Irving,,72-84,,
8:36.0,Shooting foul by K. Seraphin (drawn by L. James),,72-84,,
8:36.0,L. James makes free throw 1 of 2,1,73-84,,
8:36.0,L. James misses free throw 2 of 2,,73-84,,
8:35.0,,,73-84,,Defensive rebound by K. Humphries
8:23.0,,,73-84,,Turnover by K. Humphries (lost ball; steal by D. Waiters)
8:07.0,L. James misses 2-pt shot from 10 ft,,73-84,,
8:05.0,,,73-84,,Defensive rebound by K. Humphries
7:53.0,,,73-86,2,A. Miller makes 2-pt shot from 1 ft (assist by K. Seraphin)
7:31.0,S. Marion misses 2-pt shot from 6 ft (block by K. Seraphin),,73-86,,
7:29.0,,,73-86,,Defensive rebound by B. Beal
7:25.0,,,73-86,,O. Porter misses 3-pt shot from 28 ft
7:24.0,Defensive rebound by Team,,73-86,,
7:24.0,K. Irving enters the game for S. Marion,,73-86,,
7:24.0,,,73-86,,J. Wall enters the game for A. Miller
7:24.0,,,73-86,,P. Pierce enters the game for B. Beal
7:11.0,M. Miller misses 3-pt shot from 26 ft,,73-86,,
7:10.0,,,73-86,,Defensive rebound by O. Porter
7:00.0,Personal foul by M. Miller (drawn by P. Pierce),,73-86,,
6:46.0,,,73-86,,P. Pierce misses 2-pt shot from 13 ft (block by L. James)
6:44.0,Defensive rebound by T. Thompson,,73-86,,
6:40.0,D. Waiters misses 3-pt shot from 26 ft,,73-86,,
6:37.0,,,73-86,,Defensive rebound by K. Seraphin
6:26.0,,,73-86,,K. Humphries misses 2-pt shot from 7 ft
6:26.0,Defensive rebound by M. Miller,,73-86,,
6:19.0,Shooting foul by J. Wall (drawn by L. James),,73-86,,
6:19.0,L. James makes free throw 1 of 2,1,74-86,,
6:19.0,,,74-86,,N. Hilario enters the game for K. Humphries
6:19.0,K. Love enters the game for D. Waiters,,74-86,,
6:19.0,L. James makes free throw 2 of 2,1,75-86,,
6:08.0,Personal foul by K. Love (drawn by N. Hilario),,75-86,,
5:59.0,,,75-86,,N. Hilario misses 2-pt shot from 6 ft
5:59.0,Defensive rebound by K. Love,,75-86,,
5:45.0,K. Irving misses 3-pt shot from 25 ft,,75-86,,
5:44.0,,,75-86,,Defensive rebound by K. Seraphin
5:24.0,,,75-86,,J. Wall misses 3-pt shot from 27 ft
5:22.0,Defensive rebound by M. Miller,,75-86,,
5:18.0,Turnover by L. James (traveling),,75-86,,
5:18.0,,,75-86,,Washington full timeout
5:18.0,D. Waiters enters the game for M. Miller,,75-86,,
4:54.0,,,75-86,,J. Wall misses 2-pt shot from 15 ft
4:53.0,Defensive rebound by T. Thompson,,75-86,,
4:33.0,L. James misses 2-pt shot from 19 ft,,75-86,,
4:31.0,,,75-86,,Defensive rebound by N. Hilario
4:20.0,,,75-86,,K. Seraphin misses 2-pt shot from 8 ft
4:19.0,Defensive rebound by K. Love,,75-86,,
4:11.0,L. James misses 2-pt shot from 2 ft,,75-86,,
4:10.0,,,75-86,,Defensive rebound by P. Pierce
3:52.0,,,75-86,,N. Hilario misses 2-pt shot from 19 ft
3:51.0,,,75-86,,Offensive rebound by K. Seraphin
3:36.0,,,75-86,,Turnover by K. Seraphin (3 sec)
3:36.0,,,75-86,,B. Beal enters the game for O. Porter
3:36.0,,,75-86,,M. Gortat enters the game for K. Seraphin
3:14.0,K. Irving misses 2-pt shot from 20 ft,,75-86,,
3:14.0,Offensive rebound by Team,,75-86,,
3:14.0,,,75-86,,Loose ball foul by M. Gortat (drawn by T. Thompson)
3:10.0,,,75-86,,Personal foul by N. Hilario (drawn by K. Love)
2:57.0,Cleveland full timeout,,75-86,,
2:56.0,Turnover by D. Waiters (lost ball; steal by M. Gortat),,75-86,,
2:56.0,Jump ball: M. Gortat vs. D. Waiters,,,,Jump ball: M. Gortat vs. D. Waiters
2:38.0,,,75-86,,Shooting foul by T. Thompson (drawn by J. Wall)
2:38.0,,,75-86,,J. Wall misses free throw 1 of 2
2:38.0,,,75-86,,Offensive rebound by Team
2:38.0,,,75-86,,J. Wall misses free throw 2 of 2
2:37.0,Defensive rebound by K. Irving,,75-86,,
2:17.0,K. Love misses 3-pt shot from 26 ft,,75-86,,
2:16.0,Offensive rebound by Team,,75-86,,
2:16.0,,,75-86,,Loose ball foul by M. Gortat (drawn by T. Thompson)
2:16.0,T. Thompson makes free throw 1 of 2,1,76-86,,
2:16.0,,,76-86,,K. Seraphin enters the game for M. Gortat
2:16.0,T. Thompson makes free throw 2 of 2,1,77-86,,
1:56.0,,,77-86,,N. Hilario misses 2-pt shot from 18 ft
1:55.0,Defensive rebound by T. Thompson,,77-86,,
1:45.0,K. Irving misses 3-pt shot from 25 ft,,77-86,,
1:44.0,,,77-86,,Defensive rebound by B. Beal
1:25.0,,,77-89,3,B. Beal makes 3-pt shot from 22 ft (assist by N. Hilario)
1:25.0,Cleveland full timeout,,77-89,,
1:25.0,J. Harris enters the game for L. James,,77-89,,
1:15.0,J. Harris misses 3-pt shot from 26 ft (block by P. Pierce),,77-89,,
1:13.0,,,77-89,,Defensive rebound by N. Hilario
0:54.0,,,77-91,2,N. Hilario makes 2-pt shot from 7 ft (assist by J. Wall)
0:39.0,Shooting foul by K. Seraphin (drawn by K. Irving),,77-91,,
0:39.0,K. Irving misses free throw 1 of 2,,77-91,,
0:39.0,Offensive rebound by Team,,77-91,,
