time,Chicago,pts.away,score,pts.home,LA Lakers
1:30.0,Turnover by J. Butler (lost ball; steal by W. Johnson),,14-24,,
1:26.0,,,14-24,,Turnover by J. Clarkson (lost ball)
1:26.0,A. Brooks enters the game for J. Butler,,14-24,,
1:15.0,Shooting foul by W. Johnson (drawn by P. Gasol),,14-24,,
1:15.0,P. Gasol makes free throw 1 of 2,1,15-24,,
1:15.0,P. Gasol makes free throw 2 of 2,1,16-24,,
1:00.0,,,16-26,2,C. Boozer makes 2-pt shot from 12 ft
0:50.0,A. Brooks misses 2-pt shot from 9 ft,,16-26,,
0:48.0,,,16-26,,Defensive rebound by W. Johnson
0:42.0,,,16-26,,C. Boozer misses 2-pt shot from 1 ft
0:42.0,,,16-26,,Offensive rebound by E. Davis
0:42.0,,,16-28,2,E. Davis makes 2-pt shot from 1 ft
0:23.0,T. Snell makes 3-pt shot from 22 ft (assist by A. Brooks),3,19-28,,
0:11.0,Personal foul by A. Brooks (drawn by J. Clarkson),,19-28,,
0:03.0,,,19-28,,J. Clarkson misses 2-pt shot from 16 ft
0:00.0,,,19-28,,Offensive rebound by E. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,19-30,2,E. Davis makes 2-pt shot at rim (assist by J. Lin)
11:25.0,T. Gibson makes 2-pt shot from 1 ft (assist by T. Snell),2,21-30,,
11:12.0,,,21-30,,Turnover by W. Johnson (bad pass)
10:56.0,A. Brooks makes 2-pt shot from 2 ft,2,23-30,,
10:39.0,,,23-30,,W. Ellington misses 2-pt shot from 18 ft
10:37.0,Defensive rebound by T. Gibson,,23-30,,
10:25.0,K. Hinrich misses 2-pt shot from 4 ft,,23-30,,
10:23.0,Offensive rebound by K. Hinrich,,23-30,,
10:23.0,,,23-30,,Loose ball foul by C. Boozer (drawn by K. Hinrich)
10:11.0,T. Gibson makes 2-pt shot from 2 ft (assist by K. Hinrich),2,25-30,,
9:55.0,,,25-32,2,J. Lin makes 2-pt shot from 1 ft
9:48.0,A. Brooks makes 2-pt shot at rim,2,27-32,,
9:36.0,,,27-34,2,C. Boozer makes 2-pt shot from 1 ft (assist by E. Davis)
9:21.0,K. Hinrich makes 2-pt shot from 17 ft,2,29-34,,
9:04.0,,,29-36,2,J. Lin makes 2-pt shot from 15 ft (assist by E. Davis)
8:49.0,N. Mirotic misses 2-pt shot at rim,,29-36,,
8:46.0,,,29-36,,Defensive rebound by E. Davis
8:42.0,,,29-36,,W. Johnson misses 2-pt shot from 1 ft
8:38.0,,,29-36,,Offensive rebound by C. Boozer
8:38.0,,,29-38,2,C. Boozer makes 2-pt shot from 1 ft
8:26.0,Turnover by A. Brooks (traveling),,29-38,,
8:26.0,Official timeout,,29-38,,
8:26.0,J. Noah enters the game for N. Mirotic,,29-38,,
8:04.0,,,29-40,2,C. Boozer makes 2-pt shot from 8 ft (assist by W. Ellington)
7:45.0,T. Gibson misses 2-pt shot from 1 ft (block by C. Boozer),,29-40,,
7:43.0,Offensive rebound by J. Noah,,29-40,,
7:39.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Noah),2,31-40,,
7:24.0,,,31-42,2,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin)
7:11.0,T. Snell misses 3-pt shot from 25 ft,,31-42,,
7:09.0,,,31-42,,Defensive rebound by W. Ellington
7:01.0,,,31-42,,Shooting foul by T. Gibson (drawn by E. Davis)
7:01.0,,,31-43,1,E. Davis makes free throw 1 of 2
7:01.0,,,31-43,,R. Sacre enters the game for C. Boozer
7:01.0,D. Rose enters the game for A. Brooks,,31-43,,
7:01.0,J. Butler enters the game for T. Snell,,31-43,,
7:01.0,,,31-44,1,E. Davis makes free throw 2 of 2
6:41.0,K. Hinrich misses 3-pt shot from 22 ft,,31-44,,
6:41.0,Offensive rebound by Team,,31-44,,
6:41.0,,,31-44,,Loose ball foul by W. Johnson (drawn by J. Noah)
6:28.0,D. Rose makes 2-pt shot from 8 ft (assist by J. Noah),2,33-44,,
6:06.0,,,33-44,,W. Johnson misses 2-pt shot from 20 ft
6:05.0,Defensive rebound by K. Hinrich,,33-44,,
5:58.0,D. Rose misses 2-pt shot from 18 ft,,33-44,,
5:57.0,,,33-44,,Defensive rebound by E. Davis
5:50.0,,,33-44,,J. Lin misses 2-pt shot from 9 ft
5:48.0,Defensive rebound by T. Gibson,,33-44,,
5:41.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Noah),2,35-44,,
5:23.0,,,35-46,2,W. Johnson makes 2-pt shot from 8 ft (assist by J. Lin)
5:05.0,Shooting foul by E. Davis (drawn by T. Gibson),,35-46,,
5:05.0,,,35-46,,LA Lakers full timeout
5:05.0,,,35-46,,J. Clarkson enters the game for J. Lin
5:05.0,,,35-46,,J. Hill enters the game for E. Davis
5:05.0,T. Gibson makes free throw 1 of 2,1,36-46,,
5:05.0,T. Gibson makes free throw 2 of 2,1,37-46,,
4:48.0,,,37-48,2,W. Ellington makes 2-pt shot from 11 ft
4:30.0,D. Rose misses 2-pt shot from 15 ft,,37-48,,
4:29.0,,,37-48,,Defensive rebound by J. Hill
4:18.0,,,37-48,,J. Hill misses 2-pt shot from 20 ft
4:17.0,Defensive rebound by D. Rose,,37-48,,
4:09.0,J. Noah misses 2-pt shot from 1 ft (block by J. Clarkson),,37-48,,
4:07.0,,,37-48,,Defensive rebound by J. Hill
4:02.0,,,37-50,2,J. Hill makes 2-pt shot from 9 ft (assist by J. Clarkson)
3:55.0,Chicago full timeout,,37-50,,
3:55.0,P. Gasol enters the game for J. Noah,,37-50,,
3:55.0,T. Snell enters the game for K. Hinrich,,37-50,,
3:42.0,P. Gasol misses 2-pt shot from 6 ft,,37-50,,
3:39.0,,,37-50,,Defensive rebound by J. Hill
3:34.0,,,37-50,,R. Kelly enters the game for W. Johnson
3:25.0,,,37-50,,Turnover by W. Ellington (lost ball; steal by T. Gibson)
3:22.0,Shooting foul by J. Hill (drawn by J. Butler),,37-50,,
3:22.0,J. Butler makes free throw 1 of 2,1,38-50,,
3:22.0,J. Butler makes free throw 2 of 2,1,39-50,,
3:04.0,,,39-52,2,J. Hill makes 2-pt shot from 1 ft (assist by R. Kelly)
2:45.0,P. Gasol makes 2-pt shot from 5 ft,2,41-52,,
2:26.0,,,41-52,,J. Hill misses 2-pt shot from 14 ft
2:24.0,,,41-52,,Offensive rebound by W. Ellington
2:13.0,,,41-54,2,W. Ellington makes 2-pt shot from 9 ft
1:56.0,Shooting foul by W. Ellington (drawn by J. Butler),,41-54,,
1:56.0,J. Butler makes free throw 1 of 2,1,42-54,,
1:56.0,J. Butler makes free throw 2 of 2,1,43-54,,
1:45.0,,,43-54,,J. Hill misses 2-pt shot from 15 ft
1:44.0,,,43-54,,Offensive rebound by R. Sacre
1:42.0,,,43-56,2,J. Hill makes 2-pt shot at rim (assist by R. Sacre)
1:42.0,,,43-56,,Shooting foul by T. Snell (drawn by J. Hill)
1:42.0,J. Noah enters the game for T. Gibson,,43-56,,
1:42.0,,,43-57,1,J. Hill makes free throw 1 of 1
1:30.0,Shooting foul by R. Sacre (drawn by D. Rose),,43-57,,
1:30.0,D. Rose makes free throw 1 of 2,1,44-57,,
1:30.0,,,44-57,,C. Boozer enters the game for R. Sacre
1:30.0,D. Rose makes free throw 2 of 2,1,45-57,,
1:09.0,,,45-57,,C. Boozer misses 2-pt shot from 3 ft
1:07.0,Defensive rebound by J. Noah,,45-57,,
0:55.0,T. Snell makes 2-pt shot at rim (assist by P. Gasol),2,47-57,,
0:41.0,,,47-57,,J. Clarkson misses 2-pt shot from 3 ft
0:40.0,,,47-57,,Offensive rebound by C. Boozer
0:38.0,,,47-57,,Turnover by C. Boozer (bad pass; steal by T. Snell)
0:34.0,Shooting foul by R. Kelly (drawn by T. Snell),,47-57,,
0:34.0,T. Snell makes free throw 1 of 2,1,48-57,,
0:34.0,T. Snell misses free throw 2 of 2,,48-57,,
0:34.0,,,48-57,,Defensive rebound by J. Hill
0:20.0,,,48-59,2,C. Boozer makes 2-pt shot from 18 ft (assist by J. Clarkson)
0:01.0,D. Rose misses 3-pt shot from 24 ft,,48-59,,
0:00.0,Offensive rebound by Team,,48-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,48-59,,Shooting foul by P. Gasol (drawn by R. Sacre)
11:39.0,,,48-59,,R. Sacre misses free throw 1 of 2
11:39.0,,,48-59,,Offensive rebound by Team
11:39.0,,,48-60,1,R. Sacre makes free throw 2 of 2
11:20.0,T. Snell misses 2-pt shot from 1 ft,,48-60,,
11:19.0,,,48-60,,Defensive rebound by J. Hill
11:03.0,,,48-60,,J. Clarkson misses 2-pt shot from 6 ft
11:01.0,,,48-60,,Offensive rebound by J. Clarkson
10:55.0,,,48-62,2,J. Hill makes 2-pt shot from 19 ft (assist by J. Clarkson)
10:50.0,Offensive foul by P. Gasol,,48-62,,
10:50.0,Turnover by P. Gasol (offensive foul),,48-62,,
10:33.0,,,48-62,,J. Hill misses 2-pt shot from 8 ft
10:31.0,,,48-62,,Offensive rebound by R. Sacre
10:26.0,,,48-62,,R. Sacre misses 2-pt shot from 5 ft
10:24.0,Defensive rebound by P. Gasol,,48-62,,
10:12.0,D. Rose misses 3-pt shot from 25 ft,,48-62,,
10:09.0,,,48-62,,Defensive rebound by R. Sacre
9:46.0,,,48-62,,J. Hill misses 2-pt shot from 13 ft
9:45.0,Defensive rebound by Team,,48-62,,
9:28.0,J. Butler misses 2-pt shot from 5 ft,,48-62,,
9:24.0,Offensive rebound by J. Noah,,48-62,,
9:24.0,J. Noah misses 2-pt shot from 2 ft,,48-62,,
9:20.0,Offensive rebound by J. Noah,,48-62,,
9:20.0,J. Noah makes 2-pt shot at rim,2,50-62,,
9:04.0,,,50-62,,R. Kelly misses 2-pt shot from 13 ft
9:02.0,Defensive rebound by J. Noah,,50-62,,
8:48.0,T. Snell misses 3-pt shot from 24 ft,,50-62,,
8:47.0,,,50-62,,Defensive rebound by R. Sacre
8:37.0,,,50-62,,J. Clarkson misses 2-pt shot from 2 ft
8:37.0,,,50-62,,Offensive rebound by Team
8:34.0,,,50-65,3,W. Ellington makes 3-pt shot from 23 ft (assist by R. Kelly)
8:25.0,Shooting foul by W. Ellington (drawn by J. Butler),,50-65,,
8:25.0,J. Butler makes free throw 1 of 2,1,51-65,,
8:25.0,J. Butler makes free throw 2 of 2,1,52-65,,
8:06.0,,,52-65,,W. Ellington misses 3-pt shot from 26 ft
8:05.0,,,52-65,,Offensive rebound by J. Clarkson
8:03.0,,,52-65,,Shooting foul by J. Noah (drawn by J. Hill)
8:03.0,,,52-66,1,J. Hill makes free throw 1 of 2
8:03.0,,,52-67,1,J. Hill makes free throw 2 of 2
7:56.0,Shooting foul by R. Kelly (drawn by T. Snell),,52-67,,
7:56.0,T. Snell makes 2-pt shot from 1 ft (assist by D. Rose),2,54-67,,
7:56.0,T. Snell misses free throw 1 of 1,,54-67,,
7:54.0,,,54-67,,Defensive rebound by J. Hill
7:36.0,,,54-67,,J. Clarkson misses 2-pt shot from 17 ft
7:35.0,Defensive rebound by J. Noah,,54-67,,
7:27.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Noah),2,56-67,,
7:06.0,,,56-69,2,J. Hill makes 2-pt shot from 1 ft
6:49.0,T. Snell misses 2-pt shot from 3 ft (block by J. Hill),,56-69,,
6:46.0,,,56-69,,Defensive rebound by R. Sacre
6:46.0,Personal foul by P. Gasol (drawn by R. Sacre),,56-69,,
6:38.0,,,56-69,,Turnover by R. Kelly (offensive foul)
6:38.0,,,56-69,,Offensive foul by R. Kelly
6:27.0,J. Butler misses 2-pt shot from 1 ft,,56-69,,
6:25.0,Offensive rebound by J. Butler,,56-69,,
6:25.0,Shooting foul by W. Ellington (drawn by J. Butler),,56-69,,
6:25.0,J. Butler makes free throw 1 of 2,1,57-69,,
6:25.0,,,57-69,,J. Lin enters the game for W. Ellington
6:25.0,J. Butler makes free throw 2 of 2,1,58-69,,
6:05.0,,,58-69,,J. Hill misses 2-pt shot from 15 ft
6:04.0,Defensive rebound by J. Butler,,58-69,,
5:49.0,J. Butler makes 2-pt shot from 10 ft,2,60-69,,
5:32.0,,,60-71,2,R. Sacre makes 2-pt shot from 13 ft (assist by J. Lin)
5:12.0,D. Rose misses 2-pt shot from 5 ft,,60-71,,
5:10.0,Offensive rebound by T. Snell,,60-71,,
5:08.0,T. Snell misses 2-pt shot from 1 ft,,60-71,,
5:06.0,,,60-71,,Defensive rebound by R. Kelly
4:54.0,,,60-71,,Shooting foul by D. Rose (drawn by J. Lin)
4:54.0,,,60-71,,LA Lakers full timeout
4:54.0,,,60-71,,C. Boozer enters the game for R. Sacre
4:54.0,,,60-71,,J. Lin misses free throw 1 of 2
4:54.0,,,60-71,,Offensive rebound by Team
4:54.0,,,60-72,1,J. Lin makes free throw 2 of 2
4:33.0,J. Noah makes 2-pt shot from 17 ft (assist by J. Butler),2,62-72,,
4:12.0,,,62-72,,J. Lin misses 2-pt shot from 1 ft
4:11.0,Defensive rebound by P. Gasol,,62-72,,
4:05.0,D. Rose makes 2-pt shot at rim,2,64-72,,
3:46.0,,,64-74,2,J. Hill makes 2-pt shot from 3 ft
3:28.0,Shooting foul by R. Kelly (drawn by J. Butler),,64-74,,
3:28.0,J. Butler makes free throw 1 of 2,1,65-74,,
3:28.0,,,65-74,,W. Johnson enters the game for R. Kelly
3:28.0,T. Gibson enters the game for J. Noah,,65-74,,
3:28.0,J. Butler makes free throw 2 of 2,1,66-74,,
3:19.0,,,66-74,,J. Lin misses 2-pt shot from 2 ft
3:18.0,,,66-74,,Offensive rebound by C. Boozer
3:18.0,,,66-74,,Turnover by C. Boozer (lost ball)
3:18.0,,,66-74,,Loose ball foul by C. Boozer (drawn by J. Butler)
3:18.0,J. Butler misses free throw 1 of 2,,66-74,,
3:18.0,Offensive rebound by Team,,66-74,,
3:18.0,K. Hinrich enters the game for D. Rose,,66-74,,
3:18.0,A. Brooks enters the game for T. Snell,,66-74,,
3:18.0,J. Butler makes free throw 2 of 2,1,67-74,,
3:04.0,,,67-74,,J. Hill misses 2-pt shot from 9 ft
3:03.0,Defensive rebound by P. Gasol,,67-74,,
2:57.0,Turnover by A. Brooks (bad pass; steal by J. Clarkson),,67-74,,
2:49.0,,,67-76,2,J. Clarkson makes 2-pt shot from 8 ft
2:35.0,Shooting foul by J. Hill (drawn by J. Butler),,67-76,,
2:35.0,Chicago full timeout,,67-76,,
2:35.0,J. Butler misses free throw 1 of 2,,67-76,,
2:35.0,Offensive rebound by Team,,67-76,,
2:35.0,J. Butler makes free throw 2 of 2,1,68-76,,
2:16.0,,,68-78,2,W. Johnson makes 2-pt shot from 1 ft (assist by J. Hill)
1:54.0,A. Brooks makes 3-pt shot from 25 ft (assist by P. Gasol),3,71-78,,
1:31.0,,,71-78,,J. Lin misses 2-pt shot from 18 ft
1:30.0,Defensive rebound by J. Butler,,71-78,,
1:23.0,J. Butler makes 2-pt shot from 15 ft,2,73-78,,
1:01.0,,,73-78,,C. Boozer misses 2-pt shot from 15 ft
1:00.0,Defensive rebound by P. Gasol,,73-78,,
0:53.0,A. Brooks makes 3-pt shot from 25 ft (assist by P. Gasol),3,76-78,,
0:38.0,,,76-80,2,J. Clarkson makes 2-pt shot from 1 ft
0:22.0,P. Gasol misses 2-pt shot from 1 ft,,76-80,,
0:20.0,,,76-80,,Defensive rebound by J. Clarkson
0:02.0,,,76-80,,J. Clarkson misses 2-pt shot from 3 ft (block by P. Gasol)
0:00.0,Defensive rebound by P. Gasol,,76-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Butler misses 3-pt shot from 24 ft,,76-80,,
11:39.0,,,76-80,,Defensive rebound by W. Johnson
11:25.0,,,76-80,,E. Davis misses 2-pt shot from 6 ft
11:23.0,Defensive rebound by J. Noah,,76-80,,
11:10.0,J. Butler misses 2-pt shot from 15 ft,,76-80,,
11:09.0,,,76-80,,Defensive rebound by C. Boozer
10:59.0,Personal foul by T. Gibson (drawn by W. Ellington),,76-80,,
10:55.0,,,76-80,,W. Johnson misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by J. Noah,,76-80,,
10:43.0,A. Brooks misses 2-pt shot from 13 ft,,76-80,,
10:41.0,,,76-80,,Defensive rebound by E. Davis
10:34.0,,,76-80,,Turnover by W. Ellington (lost ball; steal by T. Gibson)
10:30.0,Turnover by T. Gibson (lost ball; steal by W. Ellington),,76-80,,
10:26.0,,,76-80,,C. Boozer misses 2-pt shot from 1 ft
10:23.0,,,76-80,,Offensive rebound by E. Davis
10:23.0,,,76-82,2,E. Davis makes 2-pt shot at rim
10:11.0,A. Brooks makes 2-pt shot from 2 ft,2,78-82,,
10:03.0,Personal foul by A. Brooks (drawn by J. Lin),,78-82,,
9:56.0,,,78-82,,C. Boozer misses 2-pt shot from 2 ft (block by T. Gibson)
9:55.0,,,78-82,,Offensive rebound by E. Davis
9:54.0,,,78-82,,E. Davis misses 2-pt shot at rim
9:54.0,,,78-82,,Offensive rebound by E. Davis
9:54.0,Personal foul by J. Butler (drawn by E. Davis),,78-82,,
9:45.0,,,78-82,,E. Davis misses 2-pt shot from 5 ft
9:44.0,Defensive rebound by J. Noah,,78-82,,
9:36.0,A. Brooks misses 2-pt shot from 2 ft,,78-82,,
9:34.0,,,78-82,,Defensive rebound by C. Boozer
9:30.0,,,78-84,2,W. Ellington makes 2-pt shot from 1 ft (assist by C. Boozer)
9:05.0,A. Brooks misses 2-pt shot from 7 ft,,78-84,,
9:04.0,Offensive rebound by J. Noah,,78-84,,
9:04.0,J. Noah makes 2-pt shot from 1 ft,2,80-84,,
9:04.0,Shooting foul by E. Davis (drawn by J. Noah),,80-84,,
9:04.0,D. Rose enters the game for A. Brooks,,80-84,,
9:04.0,J. Noah makes free throw 1 of 1,1,81-84,,
8:44.0,,,81-84,,Turnover by J. Lin (bad pass; steal by J. Butler)
8:39.0,J. Butler makes 2-pt shot at rim,2,83-84,,
8:29.0,Personal foul by K. Hinrich (drawn by W. Ellington),,83-84,,
8:29.0,Official timeout,,83-84,,
8:14.0,,,83-84,,W. Ellington misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by J. Noah,,83-84,,
7:55.0,K. Hinrich misses 3-pt shot from 23 ft,,83-84,,
7:53.0,,,83-84,,Defensive rebound by W. Johnson
7:37.0,,,83-86,2,W. Ellington makes 2-pt shot from 2 ft
7:15.0,Chicago full timeout,,83-86,,
7:12.0,T. Gibson misses 2-pt shot from 16 ft,,83-86,,
7:09.0,,,83-86,,Defensive rebound by E. Davis
6:45.0,,,83-88,2,C. Boozer makes 2-pt shot from 5 ft (assist by J. Lin)
6:31.0,Turnover by D. Rose (bad pass),,83-88,,
6:19.0,,,83-90,2,J. Lin makes 2-pt shot from 4 ft
6:02.0,,,83-90,,Personal foul by J. Lin (drawn by J. Butler)
6:02.0,T. Snell enters the game for J. Butler,,83-90,,
6:02.0,P. Gasol enters the game for J. Noah,,83-90,,
6:02.0,,,83-90,,R. Sacre enters the game for E. Davis
5:55.0,D. Rose misses 2-pt shot from 1 ft,,83-90,,
5:52.0,Offensive rebound by D. Rose,,83-90,,
5:50.0,D. Rose misses 2-pt shot from 1 ft,,83-90,,
5:49.0,,,83-90,,Defensive rebound by C. Boozer
5:42.0,,,83-90,,J. Lin misses 2-pt shot from 2 ft
5:41.0,,,83-90,,Offensive rebound by R. Sacre
5:39.0,,,83-92,2,R. Sacre makes 2-pt shot at rim
5:39.0,Chicago full timeout,,83-92,,
5:39.0,,,83-92,,J. Hill enters the game for C. Boozer
5:30.0,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose),2,85-92,,
5:07.0,,,85-92,,W. Ellington misses 2-pt shot from 14 ft
5:06.0,Defensive rebound by T. Snell,,85-92,,
4:43.0,P. Gasol misses 2-pt shot from 16 ft,,85-92,,
4:42.0,Offensive rebound by T. Gibson,,85-92,,
4:31.0,D. Rose makes 2-pt shot from 9 ft,2,87-92,,
4:11.0,,,87-92,,W. Johnson misses 2-pt shot from 6 ft
4:10.0,Defensive rebound by T. Gibson,,87-92,,
4:05.0,D. Rose misses 3-pt shot from 24 ft,,87-92,,
4:03.0,Offensive rebound by P. Gasol,,87-92,,
4:03.0,,,87-92,,J. Clarkson enters the game for J. Lin
4:03.0,J. Butler enters the game for T. Snell,,87-92,,
4:00.0,J. Butler misses 3-pt shot from 23 ft,,87-92,,
3:58.0,,,87-92,,Defensive rebound by J. Clarkson
3:41.0,,,87-92,,R. Sacre misses 2-pt shot from 15 ft
3:38.0,Defensive rebound by K. Hinrich,,87-92,,
3:32.0,,,87-92,,Personal foul by W. Johnson (drawn by J. Butler)
3:19.0,T. Gibson misses 2-pt shot from 2 ft (block by R. Sacre),,87-92,,
3:17.0,,,87-92,,Defensive rebound by J. Hill
2:59.0,,,87-92,,W. Ellington misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by T. Gibson,,87-92,,
2:53.0,Turnover by D. Rose (lost ball; steal by J. Clarkson),,87-92,,
2:40.0,Personal foul by T. Gibson (drawn by J. Hill),,87-92,,
2:40.0,,,87-92,,LA Lakers full timeout
2:40.0,J. Noah enters the game for T. Gibson,,87-92,,
2:40.0,,,87-92,,J. Hill misses free throw 1 of 2
2:40.0,,,87-92,,Offensive rebound by Team
2:40.0,,,87-93,1,J. Hill makes free throw 2 of 2
2:30.0,D. Rose misses 2-pt shot from 1 ft,,87-93,,
2:30.0,,,87-93,,Defensive rebound by Team
2:08.0,,,87-95,2,J. Clarkson makes 2-pt shot from 8 ft
2:08.0,,,87-95,,Shooting foul by J. Noah (drawn by J. Clarkson)
2:08.0,A. Brooks enters the game for D. Rose,,87-95,,
2:08.0,,,87-96,1,J. Clarkson makes free throw 1 of 1
2:01.0,A. Brooks misses 2-pt shot from 7 ft,,87-96,,
1:59.0,Offensive rebound by A. Brooks,,87-96,,
1:51.0,J. Butler makes 2-pt shot from 5 ft (assist by J. Noah),2,89-96,,
1:29.0,,,89-98,2,J. Hill makes 2-pt shot from 16 ft
1:29.0,Chicago full timeout,,89-98,,
1:29.0,D. Rose enters the game for K. Hinrich,,89-98,,
1:21.0,Shooting foul by J. Hill (drawn by J. Butler),,89-98,,
