time,Charlotte,pts.away,score,pts.home,San Antonio
6:44.0,,,10-11,,Turnover by T. Duncan (lost ball; steal by B. Roberts)
6:39.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by B. Roberts),2,12-11,,
6:19.0,,,12-13,2,T. Parker makes 2-pt shot from 16 ft
6:05.0,B. Roberts misses 2-pt shot from 21 ft,,12-13,,
6:05.0,,,12-13,,Defensive rebound by K. Leonard
5:58.0,,,12-13,,Shooting foul by M. Kidd-Gilchrist (drawn by K. Leonard)
5:58.0,,,12-13,,San Antonio full timeout
5:58.0,,,12-13,,M. Ginobili enters the game for D. Green
5:58.0,,,12-13,,B. Diaw enters the game for M. Bonner
5:58.0,,,12-14,1,K. Leonard makes free throw 1 of 2
5:58.0,,,12-15,1,K. Leonard makes free throw 2 of 2
5:42.0,Turnover by C. Zeller (lost ball),,12-15,,
5:20.0,,,12-15,,M. Ginobili misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by J. Maxiell,,12-15,,
5:07.0,G. Henderson misses 2-pt shot from 15 ft (block by M. Ginobili),,12-15,,
5:06.0,Offensive rebound by Team,,12-15,,
5:06.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,12-15,,
4:57.0,B. Roberts misses 3-pt shot from 24 ft,,12-15,,
4:56.0,Offensive rebound by C. Zeller,,12-15,,
4:36.0,Shooting foul by K. Leonard (drawn by G. Henderson),,12-15,,
4:36.0,G. Henderson misses free throw 1 of 2,,12-15,,
4:36.0,Offensive rebound by Team,,12-15,,
4:36.0,,,12-15,,A. Baynes enters the game for T. Duncan
4:36.0,G. Henderson makes free throw 2 of 2,1,13-15,,
4:18.0,,,13-15,,Turnover by T. Parker (bad pass)
4:04.0,J. Maxiell makes 2-pt shot from 4 ft (assist by L. Stephenson),2,15-15,,
3:51.0,,,15-15,,Turnover by T. Parker (bad pass)
3:51.0,,,15-15,,P. Mills enters the game for T. Parker
3:34.0,J. Maxiell misses 2-pt shot from 7 ft,,15-15,,
3:33.0,,,15-15,,Defensive rebound by K. Leonard
3:26.0,,,15-17,2,B. Diaw makes 2-pt shot at rim (assist by K. Leonard)
3:11.0,L. Stephenson misses 2-pt shot from 11 ft,,15-17,,
3:10.0,,,15-17,,Defensive rebound by B. Diaw
2:58.0,,,15-19,2,A. Baynes makes 2-pt shot from 15 ft (assist by B. Diaw)
2:38.0,B. Roberts misses 2-pt shot from 15 ft,,15-19,,
2:37.0,,,15-19,,Defensive rebound by K. Leonard
2:25.0,,,15-19,,Turnover by A. Baynes (bad pass; steal by L. Stephenson)
2:18.0,G. Henderson makes 2-pt shot from 2 ft (assist by L. Stephenson),2,17-19,,
1:54.0,,,17-19,,B. Diaw misses 3-pt shot from 23 ft
1:53.0,Defensive rebound by L. Stephenson,,17-19,,
1:46.0,Turnover by L. Stephenson (bad pass; steal by K. Leonard),,17-19,,
1:40.0,,,17-22,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard)
1:32.0,Charlotte full timeout,,17-22,,
1:32.0,,,17-22,,D. Green enters the game for K. Leonard
1:32.0,P. Hairston enters the game for G. Henderson,,17-22,,
1:32.0,G. Neal enters the game for B. Roberts,,17-22,,
1:26.0,G. Neal makes 2-pt shot from 11 ft (assist by C. Zeller),2,19-22,,
1:05.0,,,19-25,3,D. Green makes 3-pt shot from 23 ft (assist by B. Diaw)
0:55.0,Turnover by G. Neal (lost ball; steal by P. Mills),,19-25,,
0:46.0,Personal foul by P. Hairston (drawn by M. Ginobili),,19-25,,
0:39.0,,,19-25,,Turnover by B. Diaw (bad pass; steal by G. Neal)
0:34.0,G. Neal misses 2-pt shot from 13 ft,,19-25,,
0:33.0,,,19-25,,Defensive rebound by P. Mills
0:14.0,Shooting block foul by J. Maxiell (drawn by B. Diaw),,19-25,,
0:14.0,,,19-26,1,B. Diaw makes free throw 1 of 2
0:14.0,,,19-27,1,B. Diaw makes free throw 2 of 2
0:05.0,,,19-27,,Personal foul by A. Baynes (drawn by L. Stephenson)
0:00.0,G. Neal misses 2-pt shot from 3 ft,,19-27,,
0:00.0,Offensive rebound by Team,,19-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Offensive foul by G. Neal,,19-27,,
11:44.0,Turnover by G. Neal (offensive foul),,19-27,,
11:31.0,,,19-27,,Turnover by M. Ginobili (bad pass)
11:17.0,Turnover by L. Stephenson (bad pass; steal by D. Green),,19-27,,
11:10.0,,,19-30,3,D. Green makes 3-pt shot from 24 ft (assist by P. Mills)
10:52.0,P. Hairston misses 2-pt shot from 19 ft,,19-30,,
10:51.0,,,19-30,,Defensive rebound by B. Diaw
10:42.0,,,19-33,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw)
10:39.0,Charlotte full timeout,,19-33,,
10:39.0,A. Jefferson enters the game for J. Maxiell,,19-33,,
10:24.0,Shooting foul by B. Diaw (drawn by A. Jefferson),,19-33,,
10:24.0,A. Jefferson makes free throw 1 of 2,1,20-33,,
10:24.0,A. Jefferson misses free throw 2 of 2,,20-33,,
10:24.0,,,20-33,,Defensive rebound by B. Diaw
10:06.0,,,20-33,,A. Baynes misses 2-pt shot at rim
10:04.0,Defensive rebound by A. Jefferson,,20-33,,
9:54.0,L. Stephenson misses 2-pt shot from 4 ft (block by D. Green),,20-33,,
9:52.0,,,20-33,,Defensive rebound by Team
9:47.0,,,20-35,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
9:27.0,G. Neal misses 2-pt shot from 19 ft,,20-35,,
9:26.0,,,20-35,,Defensive rebound by B. Diaw
9:15.0,,,20-35,,B. Diaw misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by G. Neal,,20-35,,
9:03.0,A. Jefferson misses 2-pt shot from 16 ft,,20-35,,
9:02.0,,,20-35,,Defensive rebound by D. Green
8:55.0,,,20-35,,D. Green misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by A. Jefferson,,20-35,,
8:40.0,A. Jefferson misses 2-pt shot from 6 ft,,20-35,,
8:39.0,,,20-35,,Defensive rebound by B. Diaw
8:28.0,,,20-37,2,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili)
8:07.0,G. Neal makes 2-pt shot from 20 ft,2,22-37,,
8:02.0,,,22-37,,San Antonio full timeout
8:02.0,,,22-37,,T. Parker enters the game for P. Mills
8:02.0,,,22-37,,K. Leonard enters the game for M. Ginobili
8:02.0,,,22-37,,T. Duncan enters the game for A. Baynes
7:51.0,,,22-39,2,K. Leonard makes 2-pt shot from 5 ft
7:51.0,,,22-39,,Shooting foul by P. Hairston (drawn by K. Leonard)
7:51.0,,,22-39,,M. Bonner enters the game for B. Diaw
7:51.0,,,22-40,1,K. Leonard makes free throw 1 of 1
7:32.0,N. Vonleh makes 2-pt shot from 5 ft,2,24-40,,
7:18.0,,,24-42,2,K. Leonard makes 2-pt shot from 10 ft
7:08.0,P. Hairston misses 3-pt shot from 24 ft,,24-42,,
7:07.0,,,24-42,,Defensive rebound by T. Duncan
6:55.0,,,24-42,,M. Bonner misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by L. Stephenson,,24-42,,
6:39.0,Turnover by G. Neal (bad pass; steal by T. Duncan),,24-42,,
6:34.0,,,24-42,,Turnover by D. Green (bad pass)
6:34.0,,,24-42,,C. Joseph enters the game for D. Green
6:34.0,G. Henderson enters the game for P. Hairston,,24-42,,
6:13.0,G. Henderson misses 2-pt shot from 12 ft,,24-42,,
6:12.0,Offensive rebound by A. Jefferson,,24-42,,
6:10.0,A. Jefferson makes 2-pt shot from 4 ft,2,26-42,,
5:43.0,,,26-44,2,T. Parker makes 2-pt shot from 1 ft
5:24.0,,,26-44,,Shooting block foul by T. Duncan (drawn by N. Vonleh)
5:24.0,N. Vonleh makes free throw 1 of 2,1,27-44,,
5:24.0,M. Kidd-Gilchrist enters the game for L. Stephenson,,27-44,,
5:24.0,B. Roberts enters the game for G. Neal,,27-44,,
5:24.0,N. Vonleh makes free throw 2 of 2,1,28-44,,
4:59.0,,,28-46,2,T. Parker makes 2-pt shot from 9 ft
4:38.0,A. Jefferson makes 2-pt shot from 1 ft,2,30-46,,
4:24.0,,,30-46,,T. Duncan misses 2-pt shot from 5 ft
4:23.0,,,30-46,,Offensive rebound by K. Leonard
4:19.0,,,30-46,,Turnover by T. Duncan (lost ball; steal by A. Jefferson)
4:07.0,G. Henderson makes 2-pt shot from 19 ft (assist by N. Vonleh),2,32-46,,
3:50.0,,,32-46,,M. Bonner misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by A. Jefferson,,32-46,,
3:39.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft,,32-46,,
3:38.0,,,32-46,,Defensive rebound by T. Duncan
3:27.0,Shooting block foul by N. Vonleh (drawn by T. Parker),,32-46,,
3:27.0,,,32-47,1,T. Parker makes free throw 1 of 2
3:27.0,C. Zeller enters the game for N. Vonleh,,32-47,,
3:27.0,,,32-47,,M. Ginobili enters the game for K. Leonard
3:27.0,,,32-48,1,T. Parker makes free throw 2 of 2
3:03.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by M. Bonner),,32-48,,
3:01.0,,,32-48,,Defensive rebound by T. Duncan
2:58.0,,,32-48,,Turnover by C. Joseph (lost ball; steal by B. Roberts)
2:53.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by B. Roberts),2,34-48,,
2:37.0,,,34-48,,T. Duncan misses 2-pt shot at rim
2:36.0,Defensive rebound by B. Roberts,,34-48,,
2:29.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by B. Roberts),2,36-48,,
2:04.0,,,36-50,2,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker)
1:47.0,G. Henderson misses 3-pt shot from 24 ft,,36-50,,
1:46.0,,,36-50,,Defensive rebound by T. Duncan
1:36.0,,,36-52,2,M. Ginobili makes 2-pt shot from 1 ft (assist by M. Bonner)
1:21.0,,,36-52,,Personal foul by C. Joseph (drawn by A. Jefferson)
1:21.0,Official timeout,,36-52,,
1:21.0,,,36-52,,B. Diaw enters the game for M. Bonner
1:21.0,,,36-52,,P. Mills enters the game for T. Parker
1:21.0,,,36-52,,D. Green enters the game for C. Joseph
1:05.0,G. Henderson misses 2-pt shot from 19 ft,,36-52,,
1:04.0,,,36-52,,Defensive rebound by M. Ginobili
0:47.0,,,36-52,,P. Mills misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by C. Zeller,,36-52,,
0:33.0,G. Henderson misses 2-pt shot from 2 ft (block by D. Green),,36-52,,
0:32.0,,,36-52,,Defensive rebound by P. Mills
0:25.0,,,36-52,,Offensive foul by T. Duncan
0:25.0,,,36-52,,Turnover by T. Duncan (offensive foul)
0:25.0,J. Maxiell enters the game for A. Jefferson,,36-52,,
0:25.0,,,36-52,,A. Baynes enters the game for T. Duncan
0:08.0,J. Maxiell misses 2-pt shot from 2 ft (block by D. Green),,36-52,,
0:07.0,Offensive rebound by M. Kidd-Gilchrist,,36-52,,
0:07.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,38-52,,
0:01.0,,,38-55,3,M. Ginobili makes 3-pt shot from 25 ft (assist by D. Green)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,B. Roberts misses 2-pt shot from 2 ft,,38-55,,
11:47.0,,,38-55,,Defensive rebound by T. Duncan
11:33.0,,,38-55,,D. Green misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by G. Henderson,,38-55,,
11:27.0,,,38-55,,Shooting block foul by M. Bonner (drawn by G. Henderson)
11:27.0,G. Henderson makes free throw 1 of 2,1,39-55,,
11:27.0,G. Henderson makes free throw 2 of 2,1,40-55,,
11:12.0,,,40-55,,Shooting foul by A. Jefferson (drawn by T. Duncan)
11:12.0,,,40-55,,T. Duncan misses free throw 1 of 2
11:12.0,,,40-55,,Offensive rebound by Team
11:12.0,,,40-55,,T. Duncan misses free throw 2 of 2
11:11.0,Defensive rebound by M. Kidd-Gilchrist,,40-55,,
10:56.0,Turnover by C. Zeller (bad pass; steal by T. Duncan),,40-55,,
10:49.0,,,40-55,,T. Parker misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by Team,,40-55,,
10:48.0,,,40-55,,Loose ball foul by D. Green (drawn by M. Kidd-Gilchrist)
10:34.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Duncan),,40-55,,
10:33.0,Offensive rebound by A. Jefferson,,40-55,,
10:30.0,Shooting foul by T. Duncan (drawn by G. Henderson),,40-55,,
10:30.0,G. Henderson makes free throw 1 of 2,1,41-55,,
10:30.0,G. Henderson makes free throw 2 of 2,1,42-55,,
10:19.0,,,42-57,2,M. Bonner makes 2-pt shot from 9 ft (assist by T. Parker)
10:07.0,A. Jefferson misses 2-pt shot from 12 ft,,42-57,,
10:06.0,,,42-57,,Defensive rebound by T. Duncan
10:03.0,,,42-57,,Turnover by T. Duncan (bad pass; steal by B. Roberts)
9:56.0,A. Jefferson makes 2-pt shot from 15 ft (assist by G. Henderson),2,44-57,,
9:44.0,,,44-59,2,K. Leonard makes 2-pt shot from 8 ft
9:33.0,A. Jefferson makes 2-pt shot from 2 ft (assist by G. Henderson),2,46-59,,
9:32.0,,,46-59,,San Antonio full timeout
9:10.0,,,46-61,2,T. Parker makes 2-pt shot from 18 ft
8:56.0,A. Jefferson makes 2-pt shot from 12 ft (assist by B. Roberts),2,48-61,,
8:40.0,Personal foul by G. Henderson (drawn by D. Green),,48-61,,
8:31.0,,,48-61,,T. Parker misses 2-pt shot from 8 ft
8:30.0,Defensive rebound by B. Roberts,,48-61,,
8:13.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by C. Zeller),2,50-61,,
7:59.0,,,50-61,,T. Parker misses 2-pt shot from 1 ft
7:58.0,Defensive rebound by C. Zeller,,50-61,,
7:42.0,B. Roberts makes 3-pt shot from 24 ft (assist by C. Zeller),3,53-61,,
7:18.0,,,53-64,3,M. Bonner makes 3-pt shot from 25 ft (assist by K. Leonard)
6:55.0,C. Zeller misses 2-pt shot from 22 ft,,53-64,,
6:54.0,,,53-64,,Defensive rebound by T. Duncan
6:45.0,,,53-64,,D. Green misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by A. Jefferson,,53-64,,
6:23.0,Turnover by M. Kidd-Gilchrist (step out of bounds),,53-64,,
6:23.0,,,53-64,,M. Ginobili enters the game for D. Green
6:11.0,,,53-64,,K. Leonard misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by C. Zeller,,53-64,,
5:59.0,B. Roberts makes 2-pt shot from 7 ft,2,55-64,,
5:44.0,,,55-64,,M. Ginobili misses 2-pt shot from 5 ft
5:43.0,Defensive rebound by M. Kidd-Gilchrist,,55-64,,
5:33.0,G. Henderson makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,58-64,,
5:19.0,Personal foul by G. Henderson (drawn by M. Ginobili),,58-64,,
5:19.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,58-64,,
5:19.0,,,58-64,,P. Mills enters the game for T. Parker
5:19.0,,,58-64,,A. Baynes enters the game for T. Duncan
5:19.0,,,58-64,,B. Diaw enters the game for M. Bonner
5:06.0,,,58-64,,K. Leonard misses 2-pt shot from 7 ft
5:05.0,Defensive rebound by L. Stephenson,,58-64,,
4:52.0,B. Roberts misses 3-pt shot from 25 ft,,58-64,,
4:51.0,,,58-64,,Defensive rebound by A. Baynes
4:40.0,,,58-64,,P. Mills misses 2-pt shot from 19 ft
4:39.0,Defensive rebound by C. Zeller,,58-64,,
4:27.0,A. Jefferson misses 2-pt shot from 10 ft,,58-64,,
4:26.0,,,58-64,,Defensive rebound by P. Mills
4:09.0,,,58-64,,M. Ginobili misses 2-pt shot from 9 ft
4:08.0,Defensive rebound by C. Zeller,,58-64,,
3:59.0,G. Henderson misses 2-pt shot from 20 ft,,58-64,,
3:58.0,,,58-64,,Defensive rebound by A. Baynes
3:53.0,,,58-64,,Offensive charge foul by K. Leonard
3:53.0,,,58-64,,Turnover by K. Leonard (offensive foul)
3:53.0,G. Neal enters the game for G. Henderson,,58-64,,
3:53.0,,,58-64,,C. Joseph enters the game for K. Leonard
3:38.0,C. Zeller makes 2-pt shot at rim,2,60-64,,
3:25.0,Personal foul by G. Neal (drawn by M. Ginobili),,60-64,,
3:15.0,,,60-64,,C. Joseph misses 2-pt shot from 18 ft
3:14.0,Defensive rebound by A. Jefferson,,60-64,,
2:59.0,A. Jefferson makes 2-pt shot from 2 ft (assist by C. Zeller),2,62-64,,
2:43.0,,,62-64,,M. Ginobili misses 2-pt shot from 4 ft
2:42.0,Defensive rebound by A. Jefferson,,62-64,,
2:21.0,G. Neal misses 2-pt shot from 9 ft,,62-64,,
2:20.0,,,62-64,,Defensive rebound by A. Baynes
2:08.0,,,62-64,,P. Mills misses 2-pt shot from 17 ft
2:07.0,,,62-64,,Offensive rebound by A. Baynes
2:05.0,,,62-64,,A. Baynes misses 2-pt shot from 1 ft (block by C. Zeller)
2:04.0,Defensive rebound by C. Zeller,,62-64,,
1:56.0,B. Roberts misses 3-pt shot from 24 ft,,62-64,,
1:55.0,,,62-64,,Defensive rebound by C. Joseph
1:49.0,,,62-64,,Shooting foul by L. Stephenson (drawn by C. Joseph)
1:49.0,Charlotte full timeout,,62-64,,
1:49.0,J. Maxiell enters the game for A. Jefferson,,62-64,,
1:49.0,,,62-65,1,C. Joseph makes free throw 1 of 2
1:49.0,,,62-66,1,C. Joseph makes free throw 2 of 2
1:34.0,J. Maxiell makes 2-pt shot at rim (assist by L. Stephenson),2,64-66,,
1:22.0,,,64-66,,Shooting foul by B. Roberts (drawn by P. Mills)
1:22.0,,,64-67,1,P. Mills makes free throw 1 of 3
1:22.0,,,64-68,1,P. Mills makes free throw 2 of 3
1:22.0,,,64-69,1,P. Mills makes free throw 3 of 3
1:09.0,G. Neal misses 3-pt shot from 24 ft,,64-69,,
1:08.0,,,64-69,,Defensive rebound by M. Ginobili
0:54.0,,,64-69,,P. Mills misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by C. Zeller,,64-69,,
0:43.0,,,64-69,,Personal foul by P. Mills (drawn by C. Zeller)
0:40.0,L. Stephenson misses 3-pt shot from 24 ft,,64-69,,
0:39.0,,,64-69,,Defensive rebound by M. Ginobili
0:31.0,,,64-69,,M. Ginobili misses 2-pt shot from 7 ft
0:30.0,Defensive rebound by C. Zeller,,64-69,,
0:07.0,L. Stephenson misses 2-pt shot from 20 ft,,64-69,,
0:05.0,,,64-69,,Defensive rebound by C. Joseph
0:01.0,,,64-69,,C. Joseph misses 2-pt shot from 7 ft
0:00.0,,,64-69,,Offensive rebound by A. Baynes
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,64-69,,M. Ginobili misses 2-pt shot from 5 ft (block by L. Stephenson)
11:51.0,,,64-69,,Offensive rebound by Team
11:39.0,,,64-69,,P. Mills misses 2-pt shot from 5 ft
11:38.0,Defensive rebound by L. Stephenson,,64-69,,
11:27.0,G. Neal misses 3-pt shot from 24 ft,,64-69,,
11:26.0,Offensive rebound by J. Maxiell,,64-69,,
11:19.0,G. Neal makes 3-pt shot from 24 ft (assist by L. Stephenson),3,67-69,,
11:04.0,Personal foul by L. Stephenson (drawn by M. Ginobili),,67-69,,
10:57.0,,,67-72,3,M. Bonner makes 3-pt shot from 24 ft (assist by P. Mills)
10:34.0,Turnover by L. Stephenson (bad pass),,67-72,,
10:27.0,Personal foul by L. Stephenson (drawn by M. Ginobili),,67-72,,
10:21.0,,,67-75,3,M. Ginobili makes 3-pt shot from 24 ft (assist by M. Bonner)
10:04.0,Turnover by G. Neal (traveling),,67-75,,
10:04.0,A. Jefferson enters the game for C. Zeller,,67-75,,
9:58.0,Personal foul by G. Neal (drawn by M. Ginobili),,67-75,,
9:58.0,,,67-75,,T. Duncan enters the game for A. Baynes
9:58.0,G. Henderson enters the game for P. Hairston,,67-75,,
9:52.0,,,67-75,,M. Ginobili misses 3-pt shot from 24 ft
9:49.0,,,67-75,,Offensive rebound by T. Duncan
9:37.0,,,67-77,2,T. Duncan makes 2-pt shot from 5 ft (assist by M. Ginobili)
9:10.0,L. Stephenson misses 3-pt shot from 24 ft,,67-77,,
9:08.0,,,67-77,,Defensive rebound by M. Bonner
9:05.0,,,67-77,,Turnover by P. Mills (bad pass)
9:05.0,,,67-77,,D. Green enters the game for M. Ginobili
8:52.0,Turnover by L. Stephenson (bad pass; steal by D. Green),,67-77,,
8:48.0,,,67-77,,P. Mills misses 3-pt shot from 24 ft
8:47.0,,,67-77,,Offensive rebound by D. Green
8:47.0,,,67-79,2,D. Green makes 2-pt shot from 3 ft
8:47.0,Charlotte full timeout,,67-79,,
8:47.0,M. Kidd-Gilchrist enters the game for L. Stephenson,,67-79,,
8:47.0,,,67-79,,T. Parker enters the game for P. Mills
8:47.0,B. Roberts enters the game for G. Neal,,67-79,,
8:27.0,J. Maxiell misses 2-pt shot from 7 ft,,67-79,,
8:26.0,,,67-79,,Defensive rebound by T. Duncan
8:08.0,,,67-79,,T. Duncan misses 2-pt shot from 8 ft
8:07.0,,,67-79,,Offensive rebound by C. Joseph
7:51.0,,,67-79,,T. Duncan misses 2-pt shot from 3 ft
7:50.0,Defensive rebound by A. Jefferson,,67-79,,
7:39.0,G. Henderson misses 2-pt shot from 14 ft,,67-79,,
7:38.0,,,67-79,,Defensive rebound by D. Green
7:23.0,,,67-81,2,T. Duncan makes 2-pt shot from 5 ft (assist by D. Green)
7:08.0,C. Zeller enters the game for J. Maxiell,,67-81,,
7:00.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,67-81,,
6:59.0,,,67-81,,Defensive rebound by T. Duncan
6:50.0,,,67-81,,T. Duncan misses 2-pt shot at rim
6:49.0,Defensive rebound by A. Jefferson,,67-81,,
6:33.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by C. Zeller),2,69-81,,
6:16.0,,,69-81,,T. Parker misses 2-pt shot from 17 ft
6:15.0,Defensive rebound by C. Zeller,,69-81,,
6:02.0,G. Henderson misses 2-pt shot from 13 ft,,69-81,,
6:01.0,Offensive rebound by A. Jefferson,,69-81,,
5:54.0,B. Roberts misses 3-pt shot from 25 ft,,69-81,,
5:50.0,Offensive rebound by C. Zeller,,69-81,,
5:48.0,C. Zeller misses 2-pt shot at rim (block by T. Duncan),,69-81,,
5:47.0,,,69-81,,Defensive rebound by T. Duncan
5:45.0,,,69-81,,San Antonio full timeout
5:40.0,,,69-81,,D. Green misses 3-pt shot from 23 ft
5:37.0,,,69-81,,Offensive rebound by D. Green
5:32.0,,,69-81,,T. Duncan misses 2-pt shot from 4 ft (block by G. Henderson)
5:31.0,,,69-81,,Offensive rebound by D. Green
5:31.0,,,69-83,2,D. Green makes 2-pt shot at rim
5:31.0,Charlotte full timeout,,69-83,,
5:19.0,,,69-83,,Shooting block foul by C. Joseph (drawn by C. Zeller)
5:19.0,C. Zeller makes free throw 1 of 2,1,70-83,,
5:19.0,C. Zeller makes free throw 2 of 2,1,71-83,,
5:08.0,,,71-83,,M. Bonner misses 3-pt shot from 24 ft
5:07.0,Defensive rebound by A. Jefferson,,71-83,,
4:52.0,Turnover by A. Jefferson (lost ball; steal by M. Bonner),,71-83,,
4:40.0,,,71-85,2,M. Bonner makes 2-pt shot from 7 ft (assist by T. Parker)
4:21.0,C. Zeller makes 2-pt shot from 18 ft (assist by B. Roberts),2,73-85,,
4:02.0,,,73-87,2,T. Duncan makes 2-pt shot from 8 ft (assist by C. Joseph)
3:44.0,G. Henderson misses 2-pt shot from 5 ft (block by T. Duncan),,73-87,,
3:42.0,Offensive rebound by B. Roberts,,73-87,,
3:41.0,B. Roberts makes 3-pt shot from 24 ft,3,76-87,,
3:35.0,Technical foul by G. Henderson,,76-87,,
3:35.0,,,76-87,,D. Green misses technical free throw
3:35.0,,,76-87,,Offensive rebound by Team
3:19.0,,,76-90,3,D. Green makes 3-pt shot from 23 ft (assist by T. Duncan)
2:57.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,76-90,,
2:56.0,,,76-90,,Defensive rebound by T. Duncan
2:48.0,,,76-90,,M. Bonner misses 3-pt shot from 24 ft
2:48.0,,,76-90,,Offensive rebound by T. Parker
2:44.0,,,76-93,3,D. Green makes 3-pt shot from 22 ft (assist by T. Parker)
2:44.0,Charlotte full timeout,,76-93,,
2:44.0,G. Neal enters the game for M. Kidd-Gilchrist,,76-93,,
2:44.0,,,76-93,,P. Mills enters the game for T. Duncan
2:44.0,,,76-93,,A. Baynes enters the game for D. Green
2:44.0,,,76-93,,J. Ayres enters the game for T. Parker
2:44.0,,,76-93,,R. Williams enters the game for C. Joseph
2:32.0,G. Henderson makes 2-pt shot from 16 ft (assist by C. Zeller),2,78-93,,
2:15.0,,,78-93,,A. Baynes misses 3-pt shot from 24 ft
2:14.0,Defensive rebound by A. Jefferson,,78-93,,
2:07.0,G. Henderson misses 3-pt shot from 24 ft,,78-93,,
2:06.0,,,78-93,,Defensive rebound by J. Ayres
