time,Cleveland,pts.away,score,pts.home,Detroit
8:19.0,T. Mozgov makes 2-pt shot from 2 ft (assist by K. Irving),2,10-8,,
8:02.0,,,10-8,,G. Monroe misses 2-pt shot from 1 ft
8:01.0,Defensive rebound by K. Love,,10-8,,
7:54.0,K. Irving misses 2-pt shot from 3 ft,,10-8,,
7:52.0,,,10-8,,Defensive rebound by A. Drummond
7:52.0,,,10-8,,Turnover by A. Drummond (bad pass; steal by L. James)
7:52.0,Shooting foul by A. Drummond (drawn by L. James),,10-8,,
7:52.0,L. James misses free throw 1 of 2,,10-8,,
7:52.0,Offensive rebound by Team,,10-8,,
7:52.0,L. James makes free throw 2 of 2,1,11-8,,
7:34.0,,,11-8,,T. Prince misses 2-pt shot from 8 ft
7:33.0,Defensive rebound by T. Mozgov,,11-8,,
7:23.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,14-8,,
7:06.0,,,14-8,,R. Jackson misses 2-pt shot from 10 ft (block by T. Mozgov)
7:04.0,,,14-8,,Offensive rebound by T. Prince
7:00.0,,,14-8,,G. Monroe misses 2-pt shot from 6 ft
6:57.0,Defensive rebound by T. Mozgov,,14-8,,
6:43.0,K. Love makes 3-pt shot from 24 ft (assist by J. Smith),3,17-8,,
6:36.0,,,17-8,,Detroit full timeout
6:27.0,,,17-10,2,R. Jackson makes 2-pt shot from 11 ft
6:16.0,Turnover by L. James (bad pass),,17-10,,
5:52.0,,,17-12,2,G. Monroe makes 2-pt shot from 3 ft
5:39.0,K. Love misses 3-pt shot from 25 ft,,17-12,,
5:37.0,,,17-12,,Defensive rebound by T. Prince
5:31.0,,,17-14,2,T. Prince makes 2-pt shot at rim
5:05.0,K. Irving misses 2-pt shot from 5 ft (block by A. Drummond),,17-14,,
5:03.0,,,17-14,,Defensive rebound by G. Monroe
4:58.0,,,17-17,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
4:36.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,20-17,,
4:11.0,,,20-17,,Turnover by T. Prince (bad pass; steal by J. Smith)
4:11.0,Shooting foul by K. Caldwell-Pope (drawn by J. Smith),,20-17,,
4:11.0,J. Smith makes free throw 1 of 2,1,21-17,,
4:11.0,I. Shumpert enters the game for L. James,,21-17,,
4:11.0,T. Thompson enters the game for T. Mozgov,,21-17,,
4:11.0,,,21-17,,A. Tolliver enters the game for G. Monroe
4:11.0,J. Smith makes free throw 2 of 2,1,22-17,,
3:51.0,,,22-17,,C. Butler enters the game for T. Prince
3:47.0,,,22-17,,Turnover by Team (shot clock)
3:29.0,K. Love misses 3-pt shot from 23 ft,,22-17,,
3:28.0,,,22-17,,Defensive rebound by Team
3:16.0,,,22-19,2,R. Jackson makes 2-pt shot from 8 ft
3:04.0,I. Shumpert misses 3-pt shot from 22 ft,,22-19,,
3:02.0,,,22-19,,Defensive rebound by A. Drummond
2:56.0,,,22-22,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by C. Butler)
2:44.0,Shooting foul by R. Jackson (drawn by K. Irving),,22-22,,
2:44.0,Cleveland full timeout,,22-22,,
2:44.0,J. Jones enters the game for K. Love,,22-22,,
2:44.0,K. Irving makes free throw 1 of 2,1,23-22,,
2:44.0,K. Irving makes free throw 2 of 2,1,24-22,,
2:29.0,,,24-24,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:12.0,K. Irving misses 2-pt shot from 8 ft,,24-24,,
2:10.0,,,24-24,,Defensive rebound by R. Jackson
1:51.0,,,24-24,,K. Caldwell-Pope misses 2-pt shot at rim
1:50.0,Defensive rebound by J. Jones,,24-24,,
1:34.0,I. Shumpert misses 2-pt shot from 8 ft,,24-24,,
1:33.0,,,24-24,,Defensive rebound by C. Butler
1:27.0,,,24-24,,Turnover by R. Jackson (bad pass; steal by J. Smith)
1:16.0,T. Thompson misses 2-pt shot from 6 ft,,24-24,,
1:15.0,,,24-24,,Defensive rebound by A. Drummond
1:07.0,,,24-24,,C. Butler misses 2-pt shot from 20 ft
1:05.0,Defensive rebound by T. Thompson,,24-24,,
0:59.0,,,24-24,,Personal foul by A. Tolliver (drawn by I. Shumpert)
0:59.0,,,24-24,,J. Meeks enters the game for K. Caldwell-Pope
0:59.0,,,24-24,,S. Dinwiddie enters the game for R. Jackson
0:59.0,M. Dellavedova enters the game for K. Irving,,24-24,,
0:59.0,L. James enters the game for J. Smith,,24-24,,
0:53.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by L. James),3,27-24,,
0:36.0,,,27-27,3,A. Tolliver makes 3-pt shot from 23 ft (assist by C. Butler)
0:17.0,L. James misses 2-pt shot from 21 ft,,27-27,,
0:16.0,Offensive rebound by J. Jones,,27-27,,
0:02.0,J. Jones makes 3-pt shot from 26 ft (assist by I. Shumpert),3,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by C. Butler (drawn by L. James),,30-27,,
11:49.0,L. James makes free throw 1 of 2,1,31-27,,
11:49.0,L. James makes free throw 2 of 2,1,32-27,,
11:28.0,,,32-27,,G. Monroe misses 2-pt shot from 8 ft
11:27.0,Defensive rebound by L. James,,32-27,,
11:14.0,Turnover by T. Thompson (3 sec),,32-27,,
10:55.0,,,32-30,3,C. Butler makes 3-pt shot from 25 ft
10:34.0,I. Shumpert misses 2-pt shot from 10 ft,,32-30,,
10:32.0,,,32-30,,Defensive rebound by C. Butler
10:28.0,,,32-32,2,J. Meeks makes 2-pt shot from 8 ft (assist by C. Butler)
10:28.0,,,32-32,,Shooting foul by J. Jones (drawn by J. Meeks)
10:28.0,T. Mozgov enters the game for T. Thompson,,32-32,,
10:28.0,,,32-33,1,J. Meeks makes free throw 1 of 1
10:15.0,I. Shumpert makes 3-pt shot from 27 ft (assist by L. James),3,35-33,,
9:59.0,,,35-33,,S. Dinwiddie misses 3-pt shot from 27 ft
9:56.0,Defensive rebound by L. James,,35-33,,
9:52.0,L. James makes 2-pt shot from 1 ft,2,37-33,,
9:52.0,Shooting foul by A. Tolliver (drawn by L. James),,37-33,,
9:52.0,L. James misses free throw 1 of 1,,37-33,,
9:50.0,,,37-33,,Defensive rebound by C. Butler
9:36.0,,,37-33,,S. Dinwiddie misses 2-pt shot from 14 ft
9:35.0,,,37-33,,Offensive rebound by G. Monroe
9:35.0,K. Love enters the game for J. Jones,,37-33,,
9:22.0,,,37-33,,G. Monroe misses 2-pt shot from 2 ft (block by T. Mozgov)
9:20.0,Defensive rebound by M. Dellavedova,,37-33,,
9:10.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,39-33,,
9:04.0,,,39-33,,Detroit full timeout
8:49.0,,,39-33,,S. Dinwiddie misses 2-pt shot from 1 ft
8:48.0,Defensive rebound by L. James,,39-33,,
8:41.0,T. Mozgov misses 2-pt shot from 3 ft,,39-33,,
8:41.0,,,39-33,,Defensive rebound by Team
8:41.0,Loose ball foul by T. Mozgov (drawn by G. Monroe),,39-33,,
8:25.0,,,39-33,,Shooting foul by T. Mozgov (drawn by G. Monroe)
8:25.0,,,39-34,1,G. Monroe makes free throw 1 of 2
8:25.0,,,39-35,1,G. Monroe makes free throw 2 of 2
8:13.0,Shooting foul by G. Monroe (drawn by T. Mozgov),,39-35,,
8:13.0,T. Mozgov makes free throw 1 of 2,1,40-35,,
8:13.0,T. Mozgov makes free throw 2 of 2,1,41-35,,
7:58.0,,,41-35,,C. Butler misses 2-pt shot from 21 ft
7:57.0,Defensive rebound by T. Mozgov,,41-35,,
7:46.0,M. Dellavedova misses 3-pt shot from 22 ft,,41-35,,
7:44.0,,,41-35,,Defensive rebound by G. Monroe
7:38.0,,,41-35,,A. Tolliver misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by I. Shumpert,,41-35,,
7:26.0,I. Shumpert misses 3-pt shot from 26 ft,,41-35,,
7:24.0,,,41-35,,Defensive rebound by G. Monroe
7:08.0,,,41-35,,G. Monroe misses 2-pt shot from 13 ft
7:07.0,Defensive rebound by K. Love,,41-35,,
6:54.0,K. Love misses 2-pt shot at rim,,41-35,,
6:53.0,,,41-35,,Defensive rebound by G. Monroe
6:47.0,,,41-35,,Shooting foul by T. Mozgov (drawn by G. Monroe)
6:47.0,,,41-36,1,G. Monroe makes free throw 1 of 2
6:47.0,,,41-36,,R. Jackson enters the game for S. Dinwiddie
6:47.0,,,41-36,,A. Drummond enters the game for A. Tolliver
6:47.0,K. Irving enters the game for M. Dellavedova,,41-36,,
6:47.0,T. Thompson enters the game for T. Mozgov,,41-36,,
6:47.0,,,41-37,1,G. Monroe makes free throw 2 of 2
6:34.0,,,41-37,,Personal foul by C. Butler (drawn by T. Thompson)
6:34.0,,,41-37,,T. Prince enters the game for C. Butler
6:26.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,44-37,,
6:08.0,J. Smith enters the game for L. James,,44-37,,
5:59.0,,,44-39,2,A. Drummond makes 2-pt shot from 1 ft (assist by G. Monroe)
5:45.0,K. Irving misses 2-pt shot from 14 ft,,44-39,,
5:44.0,,,44-39,,Defensive rebound by G. Monroe
5:23.0,,,44-39,,R. Jackson misses 2-pt shot from 15 ft
5:22.0,,,44-39,,Offensive rebound by A. Drummond
5:20.0,,,44-41,2,A. Drummond makes 2-pt shot at rim
5:15.0,Cleveland full timeout,,44-41,,
5:15.0,,,44-41,,K. Caldwell-Pope enters the game for J. Meeks
5:01.0,J. Smith misses 2-pt shot from 18 ft,,44-41,,
5:00.0,,,44-41,,Defensive rebound by R. Jackson
4:43.0,,,44-44,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by G. Monroe)
4:28.0,K. Love misses 3-pt shot from 27 ft,,44-44,,
4:27.0,,,44-44,,Defensive rebound by K. Caldwell-Pope
4:13.0,,,44-46,2,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson)
3:58.0,K. Irving misses 2-pt shot from 17 ft,,44-46,,
3:57.0,,,44-46,,Defensive rebound by G. Monroe
3:47.0,,,44-49,3,T. Prince makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
3:25.0,K. Love misses 2-pt shot from 7 ft,,44-49,,
3:24.0,,,44-49,,Defensive rebound by R. Jackson
3:24.0,Personal foul by K. Love (drawn by R. Jackson),,44-49,,
3:24.0,,,44-50,1,R. Jackson makes free throw 1 of 2
3:24.0,L. James enters the game for I. Shumpert,,44-50,,
3:24.0,,,44-51,1,R. Jackson makes free throw 2 of 2
3:12.0,J. Smith makes 2-pt shot at rim (assist by K. Love),2,46-51,,
2:47.0,,,46-51,,Shooting foul by J. Smith (drawn by K. Caldwell-Pope)
2:47.0,Official timeout,,46-51,,
2:47.0,,,46-52,1,K. Caldwell-Pope makes free throw 1 of 3
2:47.0,,,46-52,,K. Caldwell-Pope misses free throw 2 of 3
2:47.0,,,46-52,,Offensive rebound by Team
2:47.0,,,46-53,1,K. Caldwell-Pope makes free throw 3 of 3
2:36.0,T. Thompson makes 2-pt shot at rim (assist by K. Love),2,48-53,,
2:10.0,,,48-53,,R. Jackson misses 3-pt shot from 26 ft
2:10.0,,,48-53,,Offensive rebound by Team
2:10.0,,,48-53,,Turnover by Team (shot clock)
2:10.0,I. Shumpert enters the game for J. Smith,,48-53,,
2:10.0,K. Perkins enters the game for T. Thompson,,48-53,,
1:46.0,Shooting foul by A. Drummond (drawn by L. James),,48-53,,
1:46.0,L. James makes free throw 1 of 2,1,49-53,,
1:46.0,,,49-53,,A. Tolliver enters the game for A. Drummond
1:46.0,L. James misses free throw 2 of 2,,49-53,,
1:45.0,,,49-53,,Defensive rebound by G. Monroe
1:30.0,,,49-53,,T. Prince misses 3-pt shot from 23 ft
1:29.0,,,49-53,,Offensive rebound by G. Monroe
1:27.0,,,49-55,2,G. Monroe makes 2-pt shot from 1 ft
1:07.0,K. Perkins makes 2-pt shot at rim (assist by K. Irving),2,51-55,,
0:57.0,Personal foul by K. Perkins (drawn by A. Tolliver),,51-55,,
0:57.0,,,51-55,,A. Tolliver misses free throw 1 of 2
0:57.0,,,51-55,,Offensive rebound by Team
0:57.0,,,51-56,1,A. Tolliver makes free throw 2 of 2
0:48.0,Shooting foul by T. Prince (drawn by K. Irving),,51-56,,
0:48.0,K. Irving makes free throw 1 of 2,1,52-56,,
0:48.0,K. Irving makes free throw 2 of 2,1,53-56,,
0:37.0,Personal foul by L. James (drawn by T. Prince),,53-56,,
0:37.0,,,53-56,,T. Prince misses free throw 1 of 2
0:37.0,,,53-56,,Offensive rebound by Team
0:37.0,,,53-57,1,T. Prince makes free throw 2 of 2
0:29.0,K. Irving misses 2-pt shot from 1 ft,,53-57,,
0:28.0,,,53-57,,Defensive rebound by R. Jackson
0:21.0,,,53-59,2,R. Jackson makes 2-pt shot at rim (assist by A. Tolliver)
0:05.0,Offensive foul by K. Perkins,,53-59,,
0:05.0,Turnover by K. Perkins (offensive foul),,53-59,,
0:01.0,,,53-59,,Shooting foul by K. Irving (drawn by R. Jackson)
0:01.0,,,53-60,1,R. Jackson makes free throw 1 of 3
0:01.0,,,53-61,1,R. Jackson makes free throw 2 of 3
0:01.0,,,53-62,1,R. Jackson makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,53-62,,Personal foul by R. Jackson (drawn by K. Irving)
11:44.0,Turnover by K. Irving (bad pass; steal by T. Prince),,53-62,,
11:40.0,,,53-62,,Shooting foul by J. Smith (drawn by A. Drummond)
11:40.0,,,53-62,,A. Drummond misses free throw 1 of 2
11:40.0,,,53-62,,Offensive rebound by Team
11:40.0,,,53-62,,A. Drummond misses free throw 2 of 2
11:37.0,Defensive rebound by T. Mozgov,,53-62,,
11:11.0,L. James misses 3-pt shot from 30 ft,,53-62,,
11:10.0,,,53-62,,Defensive rebound by G. Monroe
11:06.0,,,53-64,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
10:50.0,Turnover by L. James (bad pass; steal by K. Caldwell-Pope),,53-64,,
10:44.0,,,53-67,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
10:41.0,Cleveland full timeout,,53-67,,
10:31.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,55-67,,
10:10.0,,,55-67,,Turnover by G. Monroe (bad pass; steal by J. Smith)
9:59.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,58-67,,
9:36.0,,,58-67,,A. Drummond misses 2-pt shot from 4 ft
9:36.0,Defensive rebound by Team,,58-67,,
9:36.0,,,58-67,,Personal foul by G. Monroe (drawn by K. Love)
9:26.0,J. Smith misses 3-pt shot from 23 ft,,58-67,,
9:25.0,,,58-67,,Defensive rebound by R. Jackson
9:11.0,,,58-67,,A. Drummond misses 2-pt shot at rim
9:10.0,Defensive rebound by J. Smith,,58-67,,
9:04.0,K. Irving makes 2-pt shot at rim,2,60-67,,
8:51.0,,,60-67,,Turnover by K. Caldwell-Pope (lost ball)
8:51.0,,,60-67,,Detroit full timeout
8:41.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,63-67,,
8:21.0,,,63-67,,A. Drummond misses 2-pt shot at rim (block by T. Mozgov)
8:19.0,,,63-67,,Offensive rebound by G. Monroe
8:18.0,,,63-69,2,G. Monroe makes 2-pt shot from 1 ft
8:08.0,,,63-69,,Personal foul by T. Prince (drawn by L. James)
8:00.0,L. James misses 3-pt shot from 25 ft,,63-69,,
7:59.0,Offensive rebound by T. Mozgov,,63-69,,
7:53.0,K. Love misses 3-pt shot from 25 ft,,63-69,,
7:52.0,,,63-69,,Defensive rebound by A. Drummond
7:45.0,,,63-69,,Turnover by A. Drummond (lost ball)
7:28.0,,,63-69,,Personal foul by A. Drummond (drawn by T. Mozgov)
7:18.0,,,63-69,,Personal foul by G. Monroe (drawn by T. Mozgov)
7:18.0,T. Mozgov makes free throw 1 of 2,1,64-69,,
7:18.0,T. Mozgov makes free throw 2 of 2,1,65-69,,
7:04.0,,,65-69,,K. Caldwell-Pope misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by K. Irving,,65-69,,
6:55.0,K. Irving misses 2-pt shot from 7 ft,,65-69,,
6:54.0,,,65-69,,Defensive rebound by T. Prince
6:51.0,,,65-69,,Shooting foul by K. Love (drawn by T. Prince)
6:51.0,,,65-69,,T. Prince misses free throw 1 of 2
6:51.0,,,65-69,,Offensive rebound by Team
6:51.0,,,65-70,1,T. Prince makes free throw 2 of 2
6:41.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,67-70,,
6:22.0,,,67-70,,R. Jackson misses 2-pt shot from 6 ft
6:19.0,Defensive rebound by K. Love,,67-70,,
6:19.0,Cleveland full timeout,,67-70,,
6:05.0,K. Irving misses 3-pt shot from 26 ft,,67-70,,
6:04.0,,,67-70,,Defensive rebound by T. Prince
5:45.0,,,67-70,,G. Monroe misses 2-pt shot at rim
5:44.0,Defensive rebound by T. Mozgov,,67-70,,
5:37.0,K. Love makes 3-pt shot from 26 ft (assist by J. Smith),3,70-70,,
5:22.0,,,70-70,,Turnover by G. Monroe (lost ball; steal by K. Love)
5:10.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,73-70,,
5:00.0,Personal foul by J. Smith (drawn by A. Drummond),,73-70,,
5:00.0,I. Shumpert enters the game for J. Smith,,73-70,,
5:00.0,,,73-70,,A. Tolliver enters the game for G. Monroe
4:43.0,,,73-70,,R. Jackson misses 3-pt shot from 26 ft
4:42.0,Defensive rebound by K. Love,,73-70,,
4:34.0,Turnover by L. James (bad pass),,73-70,,
4:23.0,,,73-70,,R. Jackson misses 2-pt shot from 6 ft
4:21.0,,,73-70,,Offensive rebound by Team
4:08.0,,,73-72,2,K. Caldwell-Pope makes 2-pt shot from 7 ft (assist by R. Jackson)
3:47.0,I. Shumpert misses 3-pt shot from 25 ft,,73-72,,
3:46.0,,,73-72,,Defensive rebound by R. Jackson
3:28.0,,,73-72,,K. Caldwell-Pope misses 2-pt shot from 14 ft
3:27.0,Defensive rebound by K. Love,,73-72,,
3:24.0,L. James misses 2-pt shot from 4 ft (block by R. Jackson),,73-72,,
3:24.0,,,73-72,,Defensive rebound by Team
3:24.0,T. Thompson enters the game for T. Mozgov,,73-72,,
3:11.0,,,73-72,,T. Prince misses 3-pt shot from 23 ft
3:10.0,Defensive rebound by L. James,,73-72,,
3:08.0,Offensive charge foul by L. James,,73-72,,
3:08.0,Turnover by L. James (offensive foul),,73-72,,
2:51.0,,,73-72,,A. Tolliver misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by L. James,,73-72,,
2:37.0,I. Shumpert misses 3-pt shot from 23 ft,,73-72,,
2:35.0,,,73-72,,Defensive rebound by A. Tolliver
2:30.0,Personal foul by K. Irving (drawn by T. Prince),,73-72,,
2:30.0,J. Jones enters the game for L. James,,73-72,,
2:30.0,,,73-72,,C. Butler enters the game for T. Prince
2:19.0,,,73-72,,A. Drummond misses 2-pt shot from 5 ft
2:17.0,Defensive rebound by I. Shumpert,,73-72,,
2:03.0,I. Shumpert misses 2-pt shot from 6 ft,,73-72,,
2:02.0,,,73-72,,Defensive rebound by A. Tolliver
1:57.0,,,73-72,,Shooting foul by I. Shumpert (drawn by R. Jackson)
1:57.0,,,73-73,1,R. Jackson makes free throw 1 of 2
1:57.0,,,73-73,,J. Meeks enters the game for K. Caldwell-Pope
1:57.0,,,73-74,1,R. Jackson makes free throw 2 of 2
1:41.0,K. Irving makes 2-pt shot from 18 ft,2,75-74,,
1:20.0,,,75-74,,J. Meeks misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by K. Irving,,75-74,,
1:12.0,Offensive charge foul by K. Irving,,75-74,,
1:12.0,Turnover by K. Irving (offensive foul),,75-74,,
1:12.0,,,75-74,,S. Dinwiddie enters the game for R. Jackson
1:12.0,M. Dellavedova enters the game for K. Love,,75-74,,
1:03.0,,,75-74,,J. Meeks misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by Team,,75-74,,
0:42.0,M. Dellavedova misses 3-pt shot from 26 ft,,75-74,,
0:41.0,,,75-74,,Defensive rebound by A. Drummond
0:38.0,,,75-74,,Shooting foul by M. Dellavedova (drawn by A. Tolliver)
0:38.0,,,75-74,,A. Tolliver misses free throw 1 of 2
0:38.0,,,75-74,,Offensive rebound by Team
0:38.0,,,75-74,,A. Tolliver misses free throw 2 of 2
0:37.0,Defensive rebound by J. Jones,,75-74,,
0:23.0,,,75-74,,Violation by A. Drummond (def goaltending)
0:23.0,K. Irving makes 2-pt shot from 4 ft,2,77-74,,
0:05.0,,,77-74,,Turnover by S. Dinwiddie (bad pass; steal by K. Irving)
0:01.0,K. Irving misses 3-pt shot from 27 ft,,77-74,,
0:00.0,Offensive rebound by Team,,77-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,77-74,,Turnover by S. Dinwiddie (bad pass; steal by L. James)
11:23.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,80-74,,
10:54.0,,,80-74,,S. Dinwiddie misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by Team,,80-74,,
10:37.0,J. Jones misses 2-pt shot from 20 ft,,80-74,,
10:36.0,,,80-74,,Defensive rebound by G. Monroe
10:25.0,,,80-76,2,G. Monroe makes 2-pt shot from 4 ft
10:08.0,Turnover by L. James (bad pass),,80-76,,
10:08.0,,,80-76,,J. Lucas III enters the game for S. Dinwiddie
9:43.0,,,80-78,2,J. Lucas III makes 2-pt shot from 13 ft
9:26.0,L. James misses 2-pt shot from 19 ft,,80-78,,
9:25.0,,,80-78,,Defensive rebound by C. Butler
9:15.0,,,80-78,,J. Meeks misses 2-pt shot at rim
9:14.0,Defensive rebound by T. Thompson,,80-78,,
9:10.0,L. James makes 2-pt shot at rim,2,82-78,,
9:10.0,Shooting foul by C. Butler (drawn by L. James),,82-78,,
9:10.0,L. James makes free throw 1 of 1,1,83-78,,
8:48.0,,,83-78,,G. Monroe misses 2-pt shot from 3 ft
8:47.0,Defensive rebound by M. Dellavedova,,83-78,,
8:42.0,J. Jones makes 3-pt shot from 26 ft (assist by L. James),3,86-78,,
8:42.0,,,86-78,,Detroit full timeout
8:28.0,,,86-78,,J. Meeks misses 2-pt shot at rim
8:27.0,Defensive rebound by I. Shumpert,,86-78,,
8:17.0,Shooting foul by C. Butler (drawn by L. James),,86-78,,
8:17.0,L. James makes free throw 1 of 2,1,87-78,,
8:17.0,L. James misses free throw 2 of 2,,87-78,,
8:16.0,,,87-78,,Defensive rebound by G. Monroe
8:05.0,,,87-78,,J. Lucas III misses 2-pt shot from 20 ft
8:04.0,Defensive rebound by T. Thompson,,87-78,,
7:43.0,Jump ball: M. Dellavedova vs. J. Meeks (L. James gains possession),,,,Jump ball: M. Dellavedova vs. J. Meeks (L. James gains possession)
7:41.0,L. James misses 3-pt shot from 27 ft,,87-78,,
7:41.0,Offensive rebound by Team,,87-78,,
7:41.0,Turnover by Team (shot clock),,87-78,,
7:28.0,,,87-78,,C. Butler misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by J. Jones,,87-78,,
7:09.0,J. Jones misses 3-pt shot from 26 ft,,87-78,,
7:08.0,,,87-78,,Defensive rebound by J. Meeks
7:00.0,,,87-78,,Turnover by J. Lucas III (bad pass; steal by T. Thompson)
6:39.0,L. James makes 2-pt shot at rim,2,89-78,,
6:33.0,,,89-78,,Detroit full timeout
6:33.0,,,89-78,,T. Prince enters the game for C. Butler
6:33.0,,,89-78,,K. Caldwell-Pope enters the game for J. Meeks
6:33.0,,,89-78,,R. Jackson enters the game for J. Lucas III
6:25.0,,,89-78,,A. Tolliver misses 3-pt shot from 26 ft
6:24.0,,,89-78,,Offensive rebound by R. Jackson
6:02.0,,,89-78,,T. Prince misses 2-pt shot from 6 ft
6:01.0,Defensive rebound by L. James,,89-78,,
5:48.0,Turnover by L. James (bad pass; steal by K. Caldwell-Pope),,89-78,,
5:42.0,Personal foul by M. Dellavedova (drawn by R. Jackson),,89-78,,
5:42.0,Official timeout,,89-78,,
5:35.0,,,89-78,,K. Caldwell-Pope misses 2-pt shot from 22 ft
5:35.0,,,89-78,,Offensive rebound by G. Monroe
5:35.0,Loose ball foul by I. Shumpert (drawn by G. Monroe),,89-78,,
5:24.0,,,89-78,,G. Monroe misses 2-pt shot from 5 ft (block by L. James)
5:22.0,Defensive rebound by M. Dellavedova,,89-78,,
5:07.0,I. Shumpert misses 3-pt shot from 25 ft,,89-78,,
5:06.0,Offensive rebound by M. Dellavedova,,89-78,,
4:57.0,Turnover by L. James (bad pass),,89-78,,
4:57.0,,,89-78,,A. Drummond enters the game for G. Monroe
4:57.0,K. Love enters the game for I. Shumpert,,89-78,,
4:57.0,K. Irving enters the game for J. Jones,,89-78,,
4:43.0,,,89-80,2,R. Jackson makes 2-pt shot at rim
4:19.0,K. Irving makes 2-pt shot from 4 ft,2,91-80,,
4:06.0,,,91-83,3,R. Jackson makes 3-pt shot from 26 ft
3:37.0,K. Irving misses 3-pt shot from 24 ft,,91-83,,
3:36.0,,,91-83,,Defensive rebound by K. Caldwell-Pope
3:29.0,I. Shumpert enters the game for M. Dellavedova,,91-83,,
3:26.0,,,91-83,,Turnover by R. Jackson (offensive foul)
3:26.0,,,91-83,,Offensive foul by R. Jackson
