time,Indiana,pts.away,score,pts.home,Toronto
6:37.0,,,35-46,,T. Ross enters the game for J. Johnson
6:37.0,C. Miles enters the game for C. Copeland,,35-46,,
6:16.0,C. Miles misses 3-pt shot from 22 ft,,35-46,,
6:15.0,,,35-46,,Defensive rebound by A. Johnson
6:06.0,,,35-46,,T. Ross misses 2-pt shot from 19 ft
6:05.0,Defensive rebound by L. Scola,,35-46,,
5:53.0,L. Scola misses 2-pt shot from 19 ft,,35-46,,
5:52.0,,,35-46,,Defensive rebound by L. Williams
5:45.0,,,35-46,,L. Williams misses 2-pt shot from 17 ft
5:44.0,Defensive rebound by D. Sloan,,35-46,,
5:32.0,D. Sloan makes 3-pt shot from 26 ft (assist by L. Scola),3,38-46,,
5:16.0,,,38-49,3,L. Williams makes 3-pt shot from 25 ft (assist by K. Lowry)
4:59.0,L. Scola misses 2-pt shot from 5 ft,,38-49,,
4:57.0,,,38-49,,Defensive rebound by J. Valanciunas
4:47.0,Personal foul by R. Hibbert (drawn by J. Valanciunas),,38-49,,
4:47.0,,,38-49,,G. Vasquez enters the game for L. Williams
4:42.0,,,38-49,,T. Ross misses 2-pt shot from 1 ft
4:41.0,Defensive rebound by C. Miles,,38-49,,
4:34.0,Turnover by C. Miles (lost ball; steal by T. Ross),,38-49,,
4:28.0,,,38-51,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
4:12.0,,,38-51,,Shooting block foul by A. Johnson (drawn by R. Hibbert)
4:12.0,R. Hibbert makes free throw 1 of 2,1,39-51,,
4:12.0,,,39-51,,P. Patterson enters the game for A. Johnson
4:12.0,R. Hibbert makes free throw 2 of 2,1,40-51,,
3:55.0,,,40-51,,K. Lowry misses 2-pt shot from 3 ft
3:54.0,Defensive rebound by D. Sloan,,40-51,,
3:48.0,,,40-51,,Shooting block foul by G. Vasquez (drawn by D. Sloan)
3:48.0,D. Sloan misses free throw 1 of 2,,40-51,,
3:48.0,Offensive rebound by Team,,40-51,,
3:48.0,C. Watson enters the game for C. Miles,,40-51,,
3:48.0,D. Sloan misses free throw 2 of 2,,40-51,,
3:47.0,,,40-51,,Defensive rebound by J. Valanciunas
3:28.0,,,40-51,,J. Valanciunas misses 2-pt shot from 7 ft
3:27.0,,,40-51,,Offensive rebound by P. Patterson
3:25.0,,,40-53,2,P. Patterson makes 2-pt shot from 2 ft
3:13.0,R. Hibbert makes 2-pt shot from 15 ft (assist by D. Sloan),2,42-53,,
2:56.0,,,42-53,,G. Vasquez misses 3-pt shot from 24 ft
2:55.0,,,42-53,,Offensive rebound by P. Patterson
2:50.0,,,42-53,,G. Vasquez misses 2-pt shot from 6 ft
2:49.0,,,42-53,,Offensive rebound by J. Valanciunas
2:47.0,,,42-53,,J. Valanciunas misses 2-pt shot at rim
2:46.0,Defensive rebound by L. Scola,,42-53,,
2:43.0,Turnover by R. Stuckey (bad pass),,42-53,,
2:43.0,,,42-53,,Toronto full timeout
2:43.0,D. West enters the game for L. Scola,,42-53,,
2:32.0,,,42-53,,T. Ross misses 3-pt shot from 24 ft
