time,Dallas,pts.away,score,pts.home,Utah
6:51.0,C. Parsons misses 3-pt shot from 25 ft,,11-8,,
6:50.0,,,11-8,,Defensive rebound by E. Kanter
6:31.0,,,11-8,,Turnover by D. Favors (bad pass; steal by J. Nelson)
6:23.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis),3,14-8,,
5:59.0,,,14-8,,T. Burke misses 2-pt shot from 4 ft
5:57.0,,,14-8,,Offensive rebound by E. Kanter
5:57.0,,,14-10,2,E. Kanter makes 2-pt shot from 2 ft
5:56.0,Dallas full timeout,,14-10,,
5:56.0,B. Wright enters the game for D. Nowitzki,,14-10,,
5:56.0,,,14-10,,R. Hood enters the game for G. Hayward
5:39.0,J. Nelson misses 3-pt shot from 24 ft,,14-10,,
5:38.0,,,14-10,,Defensive rebound by A. Burks
5:38.0,,,14-10,,Turnover by A. Burks (lost ball)
5:29.0,B. Wright misses 2-pt shot from 7 ft,,14-10,,
5:27.0,,,14-10,,Defensive rebound by A. Burks
5:11.0,,,14-10,,T. Burke misses 2-pt shot from 22 ft
5:10.0,Defensive rebound by T. Chandler,,14-10,,
4:56.0,C. Parsons makes 2-pt shot from 4 ft,2,16-10,,
4:36.0,,,16-10,,E. Kanter misses 2-pt shot at rim (block by B. Wright)
4:36.0,,,16-10,,Offensive rebound by Team
4:30.0,,,16-10,,A. Burks misses 2-pt shot from 17 ft
4:29.0,Defensive rebound by T. Chandler,,16-10,,
4:27.0,Turnover by T. Chandler (bad pass; steal by R. Hood),,16-10,,
4:22.0,,,16-10,,Turnover by A. Burks (lost ball; steal by C. Parsons)
4:11.0,Shooting foul by A. Burks (drawn by T. Chandler),,16-10,,
4:11.0,T. Chandler makes free throw 1 of 2,1,17-10,,
4:11.0,D. Harris enters the game for J. Nelson,,17-10,,
4:11.0,,,17-10,,T. Booker enters the game for E. Kanter
4:11.0,T. Chandler makes free throw 2 of 2,1,18-10,,
3:58.0,Personal foul by T. Chandler (drawn by D. Favors),,18-10,,
3:58.0,A. Aminu enters the game for T. Chandler,,18-10,,
3:43.0,,,18-10,,Turnover by T. Booker (lost ball; steal by D. Harris)
3:35.0,M. Ellis misses 2-pt shot from 15 ft,,18-10,,
3:34.0,,,18-10,,Defensive rebound by R. Hood
3:23.0,,,18-10,,T. Burke misses 3-pt shot from 24 ft
3:22.0,,,18-10,,Offensive rebound by T. Booker
3:16.0,Personal foul by A. Aminu (drawn by T. Burke),,18-10,,
3:16.0,,,18-10,,Utah full timeout
3:16.0,,,18-10,,R. Gobert enters the game for D. Favors
3:16.0,,,18-10,,D. Exum enters the game for T. Burke
3:06.0,,,18-10,,A. Burks misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by D. Harris,,18-10,,
2:52.0,Shooting foul by D. Exum (drawn by D. Harris),,18-10,,
2:52.0,D. Harris makes free throw 1 of 2,1,19-10,,
2:52.0,D. Harris misses free throw 2 of 2,,19-10,,
2:50.0,Offensive rebound by A. Aminu,,19-10,,
2:46.0,D. Harris makes 3-pt shot from 25 ft (assist by A. Aminu),3,22-10,,
2:21.0,,,22-12,2,A. Burks makes 2-pt shot from 1 ft
2:10.0,C. Parsons misses 2-pt shot from 6 ft (block by R. Gobert),,22-12,,
2:09.0,,,22-12,,Defensive rebound by R. Hood
2:04.0,Personal foul by M. Ellis (drawn by A. Burks),,22-12,,
2:04.0,J. Barea enters the game for M. Ellis,,22-12,,
2:04.0,D. Nowitzki enters the game for C. Parsons,,22-12,,
1:57.0,,,22-14,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
1:31.0,Turnover by D. Harris (bad pass; steal by R. Gobert),,22-14,,
1:28.0,,,22-14,,Turnover by R. Gobert (traveling)
1:28.0,,,22-14,,J. Ingles enters the game for A. Burks
1:13.0,J. Barea makes 2-pt shot from 15 ft,2,24-14,,
0:57.0,,,24-14,,R. Gobert misses 2-pt shot at rim (block by B. Wright)
0:56.0,,,24-14,,Offensive rebound by J. Ingles
0:52.0,,,24-14,,R. Hood misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by B. Wright,,24-14,,
0:33.0,D. Nowitzki misses 2-pt shot from 14 ft,,24-14,,
0:31.0,,,24-14,,Defensive rebound by R. Hood
0:26.0,,,24-16,2,T. Booker makes 2-pt shot from 1 ft (assist by D. Exum)
0:26.0,,,24-16,,Shooting foul by D. Nowitzki (drawn by T. Booker)
0:26.0,C. Villanueva enters the game for D. Nowitzki,,24-16,,
0:26.0,,,24-17,1,T. Booker makes free throw 1 of 1
0:04.0,Turnover by D. Harris (bad pass; steal by R. Gobert),,24-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-19,2,G. Hayward makes 2-pt shot from 21 ft (assist by R. Gobert)
11:26.0,C. Villanueva misses 3-pt shot from 25 ft,,24-19,,
11:25.0,,,24-19,,Defensive rebound by D. Exum
11:20.0,,,24-21,2,J. Ingles makes 2-pt shot from 2 ft (assist by D. Exum)
11:00.0,B. Wright misses 2-pt shot from 4 ft (block by G. Hayward),,24-21,,
10:57.0,,,24-21,,Defensive rebound by G. Hayward
10:54.0,,,24-21,,Shooting foul by A. Aminu (drawn by T. Booker)
10:54.0,,,24-22,1,T. Booker makes free throw 1 of 2
10:54.0,D. Nowitzki enters the game for C. Villanueva,,24-22,,
10:54.0,T. Chandler enters the game for B. Wright,,24-22,,
10:54.0,,,24-23,1,T. Booker makes free throw 2 of 2
10:43.0,D. Nowitzki makes 2-pt shot from 19 ft,2,26-23,,
10:32.0,Personal foul by D. Harris (drawn by R. Gobert),,26-23,,
10:20.0,,,26-23,,T. Booker misses 2-pt shot from 4 ft
10:19.0,Defensive rebound by A. Aminu,,26-23,,
10:08.0,D. Nowitzki makes 2-pt shot from 17 ft,2,28-23,,
9:54.0,,,28-23,,T. Booker misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by D. Nowitzki,,28-23,,
9:48.0,Shooting foul by R. Gobert (drawn by D. Harris),,28-23,,
9:48.0,D. Harris makes free throw 1 of 2,1,29-23,,
9:48.0,D. Harris makes free throw 2 of 2,1,30-23,,
9:29.0,,,30-23,,J. Ingles misses 3-pt shot from 22 ft
9:28.0,Defensive rebound by T. Chandler,,30-23,,
9:21.0,J. Barea misses 2-pt shot from 4 ft,,30-23,,
9:20.0,Offensive rebound by T. Chandler,,30-23,,
9:20.0,T. Chandler misses 2-pt shot from 1 ft,,30-23,,
9:18.0,,,30-23,,Defensive rebound by R. Gobert
9:04.0,,,30-23,,D. Exum misses 3-pt shot from 24 ft
9:02.0,,,30-23,,Offensive rebound by J. Ingles
8:57.0,,,30-23,,G. Hayward misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by T. Chandler,,30-23,,
8:38.0,T. Chandler makes 2-pt shot at rim (assist by D. Nowitzki),2,32-23,,
8:21.0,,,32-23,,G. Hayward misses 2-pt shot from 22 ft
8:20.0,Defensive rebound by T. Chandler,,32-23,,
8:12.0,J. Barea misses 2-pt shot from 20 ft,,32-23,,
8:11.0,,,32-23,,Defensive rebound by G. Hayward
8:07.0,,,32-25,2,T. Booker makes 2-pt shot at rim (assist by G. Hayward)
8:06.0,Dallas full timeout,,32-25,,
8:06.0,C. Parsons enters the game for A. Aminu,,32-25,,
8:06.0,,,32-25,,D. Favors enters the game for R. Gobert
8:06.0,B. Wright enters the game for T. Chandler,,32-25,,
7:51.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris),3,35-25,,
7:40.0,Personal foul by C. Parsons (drawn by G. Hayward),,35-25,,
7:40.0,,,35-25,,E. Kanter enters the game for T. Booker
7:40.0,M. Ellis enters the game for J. Barea,,35-25,,
7:40.0,J. Nelson enters the game for D. Harris,,35-25,,
7:40.0,,,35-25,,A. Burks enters the game for J. Ingles
7:40.0,,,35-25,,T. Burke enters the game for D. Exum
7:32.0,,,35-25,,G. Hayward misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by D. Nowitzki,,35-25,,
7:21.0,D. Nowitzki misses 3-pt shot from 24 ft,,35-25,,
7:20.0,,,35-25,,Defensive rebound by G. Hayward
7:03.0,,,35-25,,T. Burke misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by D. Nowitzki,,35-25,,
6:47.0,J. Nelson misses 2-pt shot from 4 ft,,35-25,,
6:45.0,Offensive rebound by B. Wright,,35-25,,
6:45.0,B. Wright makes 2-pt shot at rim,2,37-25,,
6:29.0,,,37-25,,T. Burke misses 2-pt shot from 19 ft
6:28.0,Defensive rebound by B. Wright,,37-25,,
6:20.0,,,37-25,,Personal foul by E. Kanter (drawn by D. Nowitzki)
6:20.0,T. Chandler enters the game for D. Nowitzki,,37-25,,
6:09.0,M. Ellis makes 2-pt shot from 19 ft,2,39-25,,
5:48.0,,,39-28,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
5:33.0,B. Wright misses 2-pt shot from 6 ft,,39-28,,
5:32.0,Offensive rebound by J. Nelson,,39-28,,
5:23.0,T. Chandler misses 2-pt shot from 15 ft,,39-28,,
5:22.0,Offensive rebound by B. Wright,,39-28,,
5:16.0,Turnover by T. Chandler (3 sec),,39-28,,
5:16.0,Official timeout,,39-28,,
5:09.0,Personal foul by J. Nelson (drawn by T. Burke),,39-28,,
4:51.0,,,39-31,3,G. Hayward makes 3-pt shot from 24 ft (assist by A. Burks)
4:33.0,J. Nelson misses 3-pt shot from 25 ft,,39-31,,
4:32.0,,,39-31,,Defensive rebound by Team
4:08.0,,,39-34,3,A. Burks makes 3-pt shot from 24 ft
3:58.0,C. Parsons misses 3-pt shot from 25 ft,,39-34,,
3:57.0,,,39-34,,Defensive rebound by T. Burke
3:49.0,,,39-34,,Turnover by T. Burke (bad pass; steal by C. Parsons)
3:41.0,,,39-34,,Personal foul by A. Burks (drawn by M. Ellis)
3:41.0,,,39-34,,J. Ingles enters the game for G. Hayward
3:41.0,D. Nowitzki enters the game for B. Wright,,39-34,,
3:41.0,D. Harris enters the game for J. Nelson,,39-34,,
3:26.0,Shooting foul by J. Ingles (drawn by C. Parsons),,39-34,,
3:26.0,C. Parsons makes free throw 1 of 2,1,40-34,,
3:26.0,C. Parsons misses free throw 2 of 2,,40-34,,
3:24.0,,,40-34,,Defensive rebound by E. Kanter
3:09.0,,,40-34,,Turnover by E. Kanter (bad pass; steal by D. Nowitzki)
3:01.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris),3,43-34,,
2:40.0,,,43-34,,D. Favors misses 2-pt shot from 12 ft
2:39.0,Defensive rebound by C. Parsons,,43-34,,
2:30.0,C. Parsons misses 2-pt shot from 1 ft,,43-34,,
2:29.0,Offensive rebound by C. Parsons,,43-34,,
2:29.0,C. Parsons misses 2-pt shot from 1 ft,,43-34,,
2:25.0,,,43-34,,Defensive rebound by T. Burke
2:19.0,,,43-34,,E. Kanter misses 2-pt shot from 3 ft
2:17.0,Defensive rebound by D. Nowitzki,,43-34,,
2:14.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,45-34,,
2:08.0,,,45-34,,Utah full timeout
2:08.0,,,45-34,,G. Hayward enters the game for J. Ingles
1:59.0,,,45-34,,G. Hayward misses 3-pt shot from 25 ft
1:57.0,Defensive rebound by D. Harris,,45-34,,
1:43.0,D. Nowitzki misses 2-pt shot from 15 ft,,45-34,,
1:41.0,,,45-34,,Defensive rebound by D. Favors
1:32.0,,,45-34,,A. Burks misses 2-pt shot from 11 ft
1:28.0,,,45-34,,Offensive rebound by E. Kanter
1:28.0,,,45-34,,E. Kanter misses 2-pt shot from 2 ft
1:24.0,,,45-34,,Offensive rebound by D. Favors
1:24.0,,,45-36,2,D. Favors makes 2-pt shot from 1 ft
1:18.0,M. Ellis misses 2-pt shot at rim,,45-36,,
1:18.0,Offensive rebound by M. Ellis,,45-36,,
1:18.0,M. Ellis makes 2-pt shot at rim,2,47-36,,
1:18.0,Shooting foul by D. Favors (drawn by M. Ellis),,47-36,,
1:18.0,,,47-36,,D. Exum enters the game for A. Burks
1:18.0,M. Ellis makes free throw 1 of 1,1,48-36,,
1:00.0,,,48-39,3,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward)
0:40.0,M. Ellis makes 2-pt shot from 14 ft,2,50-39,,
0:32.0,,,50-41,2,E. Kanter makes 2-pt shot from 2 ft (assist by T. Burke)
0:22.0,,,50-41,,Personal foul by D. Exum (drawn by M. Ellis)
0:22.0,M. Ellis makes free throw 1 of 2,1,51-41,,
0:22.0,B. Wright enters the game for D. Nowitzki,,51-41,,
0:22.0,M. Ellis makes free throw 2 of 2,1,52-41,,
0:01.0,,,52-44,3,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,52-44,,G. Hayward misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by T. Chandler,,52-44,,
11:21.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Nelson),3,55-44,,
11:07.0,,,55-44,,T. Burke misses 3-pt shot from 25 ft
11:05.0,,,55-44,,Offensive rebound by E. Kanter
11:05.0,Personal foul by T. Chandler (drawn by E. Kanter),,55-44,,
10:56.0,,,55-44,,E. Kanter misses 2-pt shot from 2 ft (block by T. Chandler)
10:54.0,Defensive rebound by J. Nelson,,55-44,,
10:43.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,57-44,,
10:23.0,,,57-44,,Offensive charge foul by D. Favors
10:23.0,,,57-44,,Turnover by D. Favors (offensive foul)
10:23.0,,,57-44,,R. Gobert enters the game for D. Favors
10:05.0,C. Parsons misses 3-pt shot from 24 ft,,57-44,,
10:04.0,,,57-44,,Defensive rebound by E. Kanter
9:40.0,,,57-44,,Turnover by Team (shot clock)
9:25.0,M. Ellis makes 2-pt shot from 20 ft,2,59-44,,
9:08.0,,,59-44,,Turnover by E. Kanter (traveling)
8:53.0,C. Parsons misses 3-pt shot from 24 ft,,59-44,,
8:52.0,,,59-44,,Defensive rebound by G. Hayward
8:31.0,,,59-44,,Turnover by T. Burke (lost ball; steal by M. Ellis)
8:27.0,Shooting foul by A. Burks (drawn by C. Parsons),,59-44,,
8:27.0,,,59-44,,Utah full timeout
8:27.0,C. Parsons makes free throw 1 of 2,1,60-44,,
8:27.0,C. Parsons makes free throw 2 of 2,1,61-44,,
8:11.0,,,61-47,3,T. Burke makes 3-pt shot from 23 ft (assist by A. Burks)
7:56.0,,,61-47,,Personal foul by E. Kanter (drawn by T. Chandler)
7:48.0,D. Nowitzki misses 2-pt shot from 22 ft,,61-47,,
7:47.0,Offensive rebound by C. Parsons,,61-47,,
7:37.0,M. Ellis misses 2-pt shot from 18 ft,,61-47,,
7:35.0,,,61-47,,Defensive rebound by E. Kanter
7:22.0,Def 3 sec tech foul by D. Nowitzki,,61-47,,
7:22.0,,,61-48,1,A. Burks makes technical free throw
7:22.0,,,61-48,,J. Ingles enters the game for A. Burks
7:22.0,B. Wright enters the game for T. Chandler,,61-48,,
7:10.0,,,61-48,,E. Kanter misses 3-pt shot from 23 ft
7:08.0,Defensive rebound by D. Nowitzki,,61-48,,
6:50.0,M. Ellis misses 2-pt shot from 7 ft,,61-48,,
6:49.0,,,61-48,,Defensive rebound by E. Kanter
6:42.0,Personal foul by M. Ellis (drawn by G. Hayward),,61-48,,
6:36.0,Personal foul by M. Ellis (drawn by G. Hayward),,61-48,,
6:30.0,,,61-48,,T. Burke misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by D. Nowitzki,,61-48,,
6:14.0,B. Wright misses 2-pt shot from 7 ft (block by R. Gobert),,61-48,,
6:09.0,Offensive rebound by B. Wright,,61-48,,
6:05.0,B. Wright makes 2-pt shot from 3 ft,2,63-48,,
6:02.0,,,63-48,,Offensive foul by R. Gobert
6:02.0,,,63-48,,Turnover by R. Gobert (offensive foul)
6:02.0,,,63-48,,D. Favors enters the game for R. Gobert
6:02.0,,,63-48,,D. Exum enters the game for T. Burke
6:02.0,T. Chandler enters the game for D. Nowitzki,,63-48,,
6:02.0,,,63-48,,T. Booker enters the game for E. Kanter
5:45.0,C. Parsons misses 2-pt shot from 15 ft,,63-48,,
5:43.0,,,63-48,,Defensive rebound by J. Ingles
5:26.0,,,63-51,3,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward)
4:56.0,J. Nelson makes 2-pt shot from 16 ft,2,65-51,,
4:40.0,,,65-51,,D. Exum misses 2-pt shot from 7 ft
4:39.0,Defensive rebound by T. Chandler,,65-51,,
4:20.0,J. Nelson makes 3-pt shot from 24 ft,3,68-51,,
3:55.0,,,68-51,,Turnover by T. Booker (lost ball; steal by M. Ellis)
3:50.0,Turnover by T. Chandler (traveling),,68-51,,
3:50.0,D. Harris enters the game for J. Nelson,,68-51,,
3:41.0,,,68-51,,Shooting foul by M. Ellis (drawn by G. Hayward)
3:41.0,,,68-52,1,G. Hayward makes free throw 1 of 2
3:41.0,J. Barea enters the game for M. Ellis,,68-52,,
3:41.0,,,68-53,1,G. Hayward makes free throw 2 of 2
3:28.0,C. Parsons misses 2-pt shot from 3 ft,,68-53,,
3:26.0,Offensive rebound by T. Chandler,,68-53,,
3:26.0,T. Chandler misses 2-pt shot from 1 ft (block by D. Favors),,68-53,,
3:23.0,,,68-53,,Defensive rebound by G. Hayward
3:22.0,,,68-53,,Shooting foul by D. Harris (drawn by D. Exum)
3:22.0,,,68-53,,D. Exum misses free throw 1 of 2
3:22.0,,,68-53,,Offensive rebound by Team
3:22.0,,,68-54,1,D. Exum makes free throw 2 of 2
3:09.0,B. Wright makes 2-pt shot from 1 ft (assist by D. Harris),2,70-54,,
2:51.0,,,70-54,,G. Hayward misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by T. Chandler,,70-54,,
2:33.0,,,70-54,,Violation by D. Favors (def goaltending)
2:33.0,J. Barea makes 2-pt shot from 1 ft,2,72-54,,
2:08.0,,,72-54,,D. Favors misses 2-pt shot from 7 ft
2:08.0,,,72-54,,Offensive rebound by Team
2:08.0,,,72-54,,Turnover by Team (shot clock)
2:08.0,Dallas full timeout,,72-54,,
2:08.0,A. Aminu enters the game for T. Chandler,,72-54,,
2:08.0,D. Nowitzki enters the game for C. Parsons,,72-54,,
2:08.0,,,72-54,,J. Evans enters the game for T. Booker
2:08.0,,,72-54,,A. Burks enters the game for J. Ingles
1:54.0,B. Wright misses 2-pt shot from 5 ft,,72-54,,
1:54.0,Offensive rebound by Team,,72-54,,
1:54.0,Turnover by B. Wright (traveling),,72-54,,
1:44.0,,,72-54,,Shooting foul by A. Aminu (drawn by G. Hayward)
1:44.0,,,72-55,1,G. Hayward makes free throw 1 of 2
1:44.0,,,72-56,1,G. Hayward makes free throw 2 of 2
1:27.0,D. Nowitzki misses 3-pt shot from 24 ft,,72-56,,
1:26.0,,,72-56,,Defensive rebound by D. Favors
1:20.0,,,72-56,,Shooting foul by D. Harris (drawn by A. Burks)
1:20.0,,,72-57,1,A. Burks makes free throw 1 of 2
1:20.0,,,72-57,,A. Burks misses free throw 2 of 2
1:19.0,Defensive rebound by D. Nowitzki,,72-57,,
0:57.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by J. Barea),2,74-57,,
0:46.0,,,74-59,2,A. Burks makes 2-pt shot from 3 ft
0:46.0,,,74-59,,Shooting foul by D. Nowitzki (drawn by A. Burks)
0:46.0,,,74-60,1,A. Burks makes free throw 1 of 1
0:31.0,J. Barea makes 2-pt shot from 3 ft,2,76-60,,
0:16.0,,,76-62,2,A. Burks makes 2-pt shot from 10 ft
0:00.0,D. Nowitzki makes 2-pt shot from 16 ft,2,78-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:56.0,J. Barea misses 3-pt shot from 25 ft,,78-62,,
11:42.0,Offensive rebound by Team,,78-62,,
11:27.0,A. Aminu misses 2-pt shot from 21 ft,,78-62,,
11:26.0,,,78-62,,Defensive rebound by D. Exum
11:24.0,Violation by D. Nowitzki (kicked ball),,78-62,,
11:16.0,,,78-62,,A. Burks misses 2-pt shot from 22 ft
11:15.0,Defensive rebound by D. Nowitzki,,78-62,,
11:01.0,B. Wright makes 2-pt shot from 4 ft (assist by D. Nowitzki),2,80-62,,
10:44.0,,,80-62,,J. Evans misses 2-pt shot from 15 ft
10:43.0,Defensive rebound by J. Barea,,80-62,,
10:23.0,D. Harris makes 2-pt shot from 5 ft,2,82-62,,
10:17.0,,,82-62,,Turnover by A. Burks (offensive foul)
10:17.0,,,82-62,,Offensive charge foul by A. Burks
10:17.0,,,82-62,,D. Favors enters the game for J. Evans
10:02.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris),3,85-62,,
9:38.0,,,85-64,2,R. Gobert makes 2-pt shot from 2 ft (assist by A. Burks)
9:38.0,,,85-64,,Shooting foul by B. Wright (drawn by R. Gobert)
9:38.0,,,85-65,1,R. Gobert makes free throw 1 of 1
9:18.0,Turnover by J. Barea (bad pass; steal by T. Burke),,85-65,,
9:13.0,,,85-67,2,D. Exum makes 2-pt shot at rim (assist by T. Burke)
9:13.0,Dallas full timeout,,85-67,,
9:13.0,,,85-67,,E. Kanter enters the game for D. Favors
9:01.0,,,85-67,,Personal foul by E. Kanter (drawn by D. Nowitzki)
8:49.0,B. Wright makes 2-pt shot from 19 ft (assist by A. Aminu),2,87-67,,
8:21.0,,,87-70,3,T. Burke makes 3-pt shot from 25 ft (assist by D. Exum)
8:07.0,J. Barea makes 2-pt shot from 2 ft (assist by D. Harris),2,89-70,,
7:56.0,,,89-70,,Turnover by T. Burke (lost ball; steal by J. Barea)
7:50.0,A. Aminu makes 2-pt shot at rim (assist by J. Barea),2,91-70,,
7:34.0,,,91-70,,Turnover by A. Burks (bad pass; steal by D. Harris)
7:34.0,,,91-70,,Personal foul by D. Exum (drawn by D. Harris)
7:34.0,M. Ellis enters the game for D. Nowitzki,,91-70,,
7:34.0,J. Nelson enters the game for D. Harris,,91-70,,
7:34.0,T. Chandler enters the game for J. Barea,,91-70,,
7:34.0,,,91-70,,I. Clark enters the game for T. Burke
7:14.0,B. Wright makes 2-pt shot from 5 ft,2,93-70,,
7:14.0,,,93-70,,Violation by R. Gobert (def goaltending)
6:55.0,Personal foul by A. Aminu (drawn by A. Burks),,93-70,,
6:48.0,,,93-72,2,A. Burks makes 2-pt shot from 1 ft
6:36.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,95-72,,
6:24.0,,,95-75,3,I. Clark makes 3-pt shot from 24 ft (assist by R. Gobert)
5:53.0,J. Nelson misses 3-pt shot from 25 ft,,95-75,,
5:52.0,,,95-75,,Defensive rebound by E. Kanter
5:39.0,,,95-75,,Turnover by I. Clark (lost ball)
5:39.0,Official timeout,,95-75,,
5:39.0,R. Jefferson enters the game for B. Wright,,95-75,,
5:26.0,M. Ellis misses 2-pt shot from 17 ft,,95-75,,
5:25.0,Offensive rebound by T. Chandler,,95-75,,
5:21.0,R. Jefferson misses 3-pt shot from 26 ft,,95-75,,
5:19.0,Offensive rebound by T. Chandler,,95-75,,
5:03.0,M. Ellis makes 2-pt shot from 2 ft,2,97-75,,
4:56.0,Personal foul by A. Aminu (drawn by R. Gobert),,97-75,,
4:41.0,,,97-75,,A. Burks misses 2-pt shot from 6 ft
4:41.0,Defensive rebound by Team,,97-75,,
4:17.0,M. Ellis misses 3-pt shot from 24 ft,,97-75,,
4:16.0,,,97-75,,Defensive rebound by R. Gobert
4:07.0,,,97-77,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Gobert)
3:51.0,T. Chandler makes 2-pt shot from 1 ft (assist by M. Ellis),2,99-77,,
3:51.0,Shooting foul by D. Exum (drawn by T. Chandler),,99-77,,
3:51.0,,,99-77,,S. Novak enters the game for E. Kanter
3:51.0,J. Crowder enters the game for M. Ellis,,99-77,,
3:51.0,T. Chandler makes free throw 1 of 1,1,100-77,,
3:33.0,,,100-77,,D. Exum misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by T. Chandler,,100-77,,
3:26.0,Dallas full timeout,,100-77,,
3:26.0,G. Smith enters the game for T. Chandler,,100-77,,
3:26.0,C. Villanueva enters the game for J. Nelson,,100-77,,
3:26.0,,,100-77,,J. Ingles enters the game for A. Burks
3:26.0,J. Barea enters the game for A. Aminu,,100-77,,
3:15.0,Turnover by C. Villanueva (traveling),,100-77,,
2:58.0,,,100-77,,Turnover by D. Exum (bad pass; steal by R. Jefferson)
2:44.0,G. Smith misses 2-pt shot from 2 ft (block by R. Gobert),,100-77,,
2:42.0,,,100-77,,Defensive rebound by I. Clark
2:32.0,,,100-77,,Shooting foul by G. Smith (drawn by R. Gobert)
2:32.0,,,100-77,,R. Gobert misses free throw 1 of 2
2:32.0,,,100-77,,Offensive rebound by Team
2:32.0,,,100-77,,R. Gobert misses free throw 2 of 2
2:31.0,Defensive rebound by R. Jefferson,,100-77,,
2:12.0,J. Barea misses 2-pt shot from 6 ft,,100-77,,
2:11.0,,,100-77,,Defensive rebound by I. Clark
2:08.0,,,100-77,,Turnover by J. Ingles (bad pass; steal by R. Jefferson)
2:02.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Barea),2,102-77,,
1:54.0,,,102-77,,Shooting foul by J. Crowder (drawn by R. Gobert)
1:54.0,,,102-79,2,R. Gobert makes 2-pt shot from 3 ft (assist by D. Exum)
1:54.0,,,102-80,1,R. Gobert makes free throw 1 of 1
