time,Chicago,pts.away,score,pts.home,Washington
6:36.0,K. Hinrich misses 3-pt shot from 26 ft,,4-12,,
6:35.0,,,4-12,,Defensive rebound by Team
6:24.0,,,4-14,2,M. Gortat makes 2-pt shot from 12 ft (assist by J. Wall)
6:10.0,P. Gasol makes 2-pt shot from 3 ft,2,6-14,,
6:02.0,,,6-14,,J. Wall misses 2-pt shot from 11 ft
6:01.0,Defensive rebound by D. Rose,,6-14,,
5:49.0,D. Rose misses 2-pt shot from 6 ft,,6-14,,
5:48.0,,,6-14,,Defensive rebound by Team
5:29.0,,,6-14,,M. Gortat misses 2-pt shot from 7 ft
5:27.0,,,6-14,,Offensive rebound by N. Hilario
5:26.0,,,6-14,,N. Hilario misses 2-pt shot from 2 ft
5:25.0,,,6-14,,Offensive rebound by N. Hilario
5:23.0,,,6-14,,B. Beal misses 3-pt shot from 26 ft
5:21.0,Defensive rebound by J. Butler,,6-14,,
5:04.0,K. Hinrich misses 2-pt shot from 7 ft,,6-14,,
5:03.0,Offensive rebound by P. Gasol,,6-14,,
5:01.0,P. Gasol misses 2-pt shot from 1 ft,,6-14,,
5:00.0,,,6-14,,Defensive rebound by M. Gortat
4:58.0,,,6-14,,J. Wall misses 2-pt shot from 1 ft
4:55.0,Defensive rebound by J. Noah,,6-14,,
4:51.0,D. Rose makes 2-pt shot from 1 ft,2,8-14,,
4:27.0,,,8-16,2,N. Hilario makes 2-pt shot from 9 ft
4:15.0,Turnover by D. Rose (bad pass; steal by P. Pierce),,8-16,,
4:05.0,,,8-19,3,P. Pierce makes 3-pt shot from 22 ft (assist by J. Wall)
3:50.0,Turnover by K. Hinrich (bad pass; steal by B. Beal),,8-19,,
3:46.0,,,8-21,2,B. Beal makes 2-pt shot at rim
3:38.0,Chicago full timeout,,8-21,,
3:38.0,,,8-21,,K. Humphries enters the game for N. Hilario
3:38.0,A. Brooks enters the game for D. Rose,,8-21,,
3:38.0,T. Gibson enters the game for J. Noah,,8-21,,
3:26.0,,,8-21,,Personal foul by K. Humphries (drawn by T. Gibson)
3:14.0,T. Gibson misses 2-pt shot from 18 ft,,8-21,,
3:13.0,Offensive rebound by P. Gasol,,8-21,,
3:13.0,P. Gasol misses 2-pt shot from 2 ft,,8-21,,
3:13.0,Offensive rebound by Team,,8-21,,
3:13.0,,,8-21,,Loose ball foul by K. Humphries (drawn by P. Gasol)
3:13.0,,,8-21,,R. Butler enters the game for P. Pierce
3:08.0,A. Brooks misses 2-pt shot at rim (block by K. Humphries),,8-21,,
3:06.0,,,8-21,,Defensive rebound by M. Gortat
3:01.0,,,8-23,2,J. Wall makes 2-pt shot at rim
3:01.0,,,8-23,,Shooting foul by A. Brooks (drawn by J. Wall)
3:01.0,T. Snell enters the game for K. Hinrich,,8-23,,
3:01.0,,,8-24,1,J. Wall makes free throw 1 of 1
2:36.0,T. Gibson misses 2-pt shot from 12 ft,,8-24,,
2:34.0,,,8-24,,Defensive rebound by J. Wall
2:24.0,,,8-24,,J. Wall misses 2-pt shot from 14 ft
2:23.0,Defensive rebound by P. Gasol,,8-24,,
2:10.0,A. Brooks misses 2-pt shot from 17 ft,,8-24,,
2:09.0,,,8-24,,Defensive rebound by M. Gortat
2:06.0,Shooting block foul by J. Butler (drawn by K. Humphries),,8-24,,
2:06.0,,,8-24,,Washington full timeout
2:06.0,,,8-24,,A. Miller enters the game for J. Wall
2:06.0,,,8-25,1,K. Humphries makes free throw 1 of 2
2:06.0,,,8-26,1,K. Humphries makes free throw 2 of 2
1:51.0,T. Snell misses 3-pt shot from 26 ft,,8-26,,
1:50.0,Offensive rebound by J. Butler,,8-26,,
1:47.0,J. Butler misses 2-pt shot from 3 ft,,8-26,,
1:47.0,,,8-26,,Defensive rebound by Team
1:38.0,,,8-26,,Turnover by A. Miller (lost ball; steal by J. Butler)
1:23.0,Shooting foul by M. Gortat (drawn by P. Gasol),,8-26,,
1:23.0,P. Gasol makes free throw 1 of 2,1,9-26,,
1:23.0,P. Gasol makes free throw 2 of 2,1,10-26,,
1:07.0,,,10-28,2,M. Gortat makes 2-pt shot from 10 ft (assist by R. Butler)
0:49.0,T. Snell misses 2-pt shot from 18 ft,,10-28,,
0:48.0,,,10-28,,Defensive rebound by M. Gortat
0:41.0,,,10-28,,B. Beal misses 2-pt shot from 13 ft
0:40.0,Defensive rebound by J. Butler,,10-28,,
0:33.0,Turnover by J. Butler (offensive foul),,10-28,,
0:33.0,Offensive foul by J. Butler,,10-28,,
0:33.0,,,10-28,,O. Porter enters the game for B. Beal
0:33.0,,,10-28,,K. Seraphin enters the game for M. Gortat
0:33.0,N. Mirotic enters the game for J. Butler,,10-28,,
0:22.0,,,10-30,2,K. Humphries makes 2-pt shot from 20 ft (assist by K. Seraphin)
0:02.0,T. Snell makes 3-pt shot from 25 ft (assist by N. Mirotic),3,13-30,,
0:00.0,,,13-30,,A. Miller misses 3-pt shot from 35 ft
0:00.0,Defensive rebound by Team,,13-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,13-30,,K. Humphries misses 2-pt shot from 14 ft
11:35.0,,,13-30,,Offensive rebound by A. Miller
11:30.0,,,13-30,,Turnover by K. Humphries (lost ball; steal by T. Snell)
11:15.0,N. Mirotic makes 2-pt shot from 2 ft (assist by T. Gibson),2,15-30,,
11:00.0,,,15-30,,Turnover by A. Miller (bad pass; steal by T. Snell)
11:00.0,,,15-30,,Personal foul by A. Miller (drawn by T. Snell)
10:51.0,Shooting foul by R. Butler (drawn by N. Mirotic),,15-30,,
10:51.0,N. Mirotic misses free throw 1 of 2,,15-30,,
10:51.0,Offensive rebound by Team,,15-30,,
10:51.0,N. Mirotic makes free throw 2 of 2,1,16-30,,
10:29.0,,,16-30,,O. Porter misses 2-pt shot from 5 ft
10:28.0,Defensive rebound by N. Mirotic,,16-30,,
10:17.0,T. Gibson misses 2-pt shot from 2 ft,,16-30,,
10:16.0,,,16-30,,Defensive rebound by K. Humphries
10:03.0,,,16-30,,K. Humphries misses 2-pt shot from 18 ft
10:02.0,,,16-30,,Offensive rebound by K. Seraphin
10:00.0,,,16-30,,Turnover by K. Seraphin (lost ball; steal by T. Snell)
9:54.0,A. Brooks misses 3-pt shot from 28 ft,,16-30,,
9:52.0,Offensive rebound by N. Mirotic,,16-30,,
9:45.0,A. Brooks misses 3-pt shot from 23 ft,,16-30,,
9:44.0,,,16-30,,Defensive rebound by K. Humphries
9:29.0,,,16-30,,Shooting foul by T. Snell (drawn by K. Humphries)
9:29.0,,,16-31,1,K. Humphries makes free throw 1 of 2
9:29.0,,,16-31,,M. Gortat enters the game for K. Seraphin
9:29.0,,,16-32,1,K. Humphries makes free throw 2 of 2
9:10.0,A. Brooks makes 2-pt shot from 2 ft,2,18-32,,
8:50.0,,,18-32,,R. Butler misses 2-pt shot from 18 ft
8:49.0,,,18-32,,Offensive rebound by O. Porter
8:43.0,,,18-32,,Turnover by M. Gortat (bad pass; steal by N. Mirotic)
8:36.0,E. Moore makes 2-pt shot from 1 ft,2,20-32,,
8:26.0,,,20-32,,Washington full timeout
8:12.0,,,20-32,,K. Humphries misses 2-pt shot from 16 ft
8:10.0,,,20-32,,Offensive rebound by M. Gortat
8:08.0,,,20-34,2,M. Gortat makes 2-pt shot at rim
7:49.0,E. Moore makes 2-pt shot from 10 ft (assist by A. Brooks),2,22-34,,
7:38.0,,,22-34,,Shooting foul by N. Mirotic (drawn by M. Gortat)
7:38.0,,,22-35,1,M. Gortat makes free throw 1 of 2
7:38.0,,,22-35,,M. Gortat misses free throw 2 of 2
7:37.0,Defensive rebound by E. Moore,,22-35,,
7:26.0,E. Moore misses 2-pt shot from 9 ft,,22-35,,
7:25.0,,,22-35,,Defensive rebound by R. Butler
7:10.0,,,22-35,,O. Porter misses 2-pt shot from 3 ft (block by N. Mirotic)
7:08.0,Defensive rebound by N. Mirotic,,22-35,,
6:56.0,T. Gibson makes 2-pt shot from 4 ft (assist by A. Brooks),2,24-35,,
6:38.0,,,24-37,2,R. Butler makes 2-pt shot from 18 ft (assist by A. Miller)
6:15.0,A. Brooks makes 2-pt shot from 1 ft,2,26-37,,
6:06.0,,,26-39,2,O. Porter makes 2-pt shot from 1 ft (assist by A. Miller)
5:46.0,E. Moore makes 2-pt shot from 11 ft (assist by A. Brooks),2,28-39,,
5:33.0,,,28-41,2,M. Gortat makes 2-pt shot from 1 ft (assist by A. Miller)
5:33.0,,,28-41,,Shooting foul by T. Snell (drawn by M. Gortat)
5:33.0,Official timeout,,28-41,,
5:33.0,,,28-41,,J. Wall enters the game for A. Miller
5:33.0,,,28-41,,B. Beal enters the game for O. Porter
5:33.0,,,28-41,,M. Gortat misses free throw 1 of 1
5:32.0,Defensive rebound by N. Mirotic,,28-41,,
5:07.0,T. Snell makes 2-pt shot from 1 ft,2,30-41,,
4:52.0,,,30-41,,R. Butler misses 3-pt shot from 23 ft
4:51.0,Defensive rebound by T. Snell,,30-41,,
4:37.0,A. Brooks makes 3-pt shot from 28 ft (assist by E. Moore),3,33-41,,
4:21.0,,,33-41,,B. Beal misses 2-pt shot from 16 ft
4:20.0,Defensive rebound by A. Brooks,,33-41,,
4:17.0,Shooting foul by J. Wall (drawn by T. Snell),,33-41,,
4:17.0,T. Snell misses free throw 1 of 2,,33-41,,
4:17.0,Offensive rebound by Team,,33-41,,
4:17.0,D. Rose enters the game for A. Brooks,,33-41,,
4:17.0,J. Butler enters the game for E. Moore,,33-41,,
4:17.0,,,33-41,,N. Hilario enters the game for K. Humphries
4:17.0,,,33-41,,P. Pierce enters the game for R. Butler
4:17.0,T. Snell makes free throw 2 of 2,1,34-41,,
3:57.0,,,34-44,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
3:50.0,T. Snell misses 3-pt shot from 27 ft,,34-44,,
3:48.0,,,34-44,,Defensive rebound by J. Wall
3:42.0,,,34-46,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
3:33.0,Chicago full timeout,,34-46,,
3:33.0,P. Gasol enters the game for T. Gibson,,34-46,,
3:33.0,J. Noah enters the game for N. Mirotic,,34-46,,
3:16.0,Turnover by D. Rose (lost ball; steal by J. Wall),,34-46,,
3:10.0,,,34-48,2,B. Beal makes 2-pt shot from 3 ft (assist by J. Wall)
2:51.0,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol),3,37-48,,
2:29.0,,,37-48,,Shooting foul by J. Noah (drawn by N. Hilario)
2:29.0,,,37-48,,N. Hilario misses free throw 1 of 2
2:29.0,,,37-48,,Offensive rebound by Team
2:29.0,,,37-49,1,N. Hilario makes free throw 2 of 2
2:21.0,D. Rose makes 2-pt shot at rim,2,39-49,,
2:15.0,,,39-51,2,J. Wall makes 2-pt shot from 20 ft
2:03.0,D. Rose misses 3-pt shot from 26 ft,,39-51,,
2:02.0,,,39-51,,Defensive rebound by M. Gortat
1:50.0,,,39-53,2,J. Wall makes 2-pt shot from 19 ft
1:31.0,P. Gasol makes 2-pt shot from 10 ft,2,41-53,,
1:15.0,,,41-55,2,J. Wall makes 2-pt shot from 14 ft
1:03.0,J. Butler misses 3-pt shot from 26 ft,,41-55,,
1:02.0,,,41-55,,Defensive rebound by M. Gortat
0:56.0,,,41-58,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
0:46.0,Turnover by D. Rose (bad pass),,41-58,,
0:33.0,,,41-60,2,M. Gortat makes 2-pt shot from 16 ft (assist by J. Wall)
0:12.0,Shooting foul by P. Pierce (drawn by J. Butler),,41-60,,
0:12.0,J. Butler makes free throw 1 of 2,1,42-60,,
0:12.0,J. Butler misses free throw 2 of 2,,42-60,,
0:12.0,,,42-60,,Defensive rebound by B. Beal
0:01.0,,,42-60,,J. Wall misses 2-pt shot from 13 ft (block by D. Rose)
0:00.0,,,42-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,42-62,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
11:22.0,D. Rose makes 2-pt shot from 1 ft,2,44-62,,
11:07.0,,,44-62,,B. Beal misses 2-pt shot from 20 ft
11:06.0,Defensive rebound by J. Noah,,44-62,,
10:52.0,P. Gasol misses 2-pt shot from 14 ft,,44-62,,
10:52.0,Offensive rebound by Team,,44-62,,
10:52.0,,,44-62,,Loose ball foul by M. Gortat (drawn by J. Noah)
10:38.0,P. Gasol makes 2-pt shot from 14 ft (assist by J. Butler),2,46-62,,
10:23.0,,,46-62,,Turnover by M. Gortat (3 sec)
10:13.0,D. Rose misses 3-pt shot from 26 ft (block by J. Wall),,46-62,,
10:11.0,,,46-62,,Defensive rebound by M. Gortat
10:05.0,,,46-62,,P. Pierce misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by P. Gasol,,46-62,,
9:57.0,D. Rose misses 2-pt shot from 3 ft,,46-62,,
9:56.0,,,46-62,,Defensive rebound by P. Pierce
9:44.0,,,46-62,,M. Gortat misses 2-pt shot from 6 ft
9:43.0,Defensive rebound by J. Noah,,46-62,,
9:37.0,J. Butler misses 3-pt shot from 23 ft,,46-62,,
9:35.0,,,46-62,,Defensive rebound by M. Gortat
9:24.0,,,46-62,,J. Wall misses 2-pt shot from 12 ft
9:23.0,,,46-62,,Offensive rebound by N. Hilario
9:08.0,,,46-64,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
8:48.0,K. Hinrich makes 3-pt shot from 25 ft (assist by J. Noah),3,49-64,,
8:34.0,,,49-64,,P. Pierce misses 2-pt shot from 10 ft (block by J. Butler)
8:32.0,Defensive rebound by P. Gasol,,49-64,,
8:29.0,K. Hinrich misses 2-pt shot from 7 ft (block by B. Beal),,49-64,,
8:25.0,,,49-64,,Defensive rebound by N. Hilario
8:17.0,,,49-66,2,N. Hilario makes 2-pt shot at rim (assist by P. Pierce)
8:04.0,D. Rose misses 2-pt shot at rim (block by M. Gortat),,49-66,,
8:02.0,Offensive rebound by K. Hinrich,,49-66,,
8:02.0,Shooting foul by N. Hilario (drawn by D. Rose),,49-66,,
8:02.0,D. Rose makes free throw 1 of 2,1,50-66,,
8:02.0,D. Rose makes free throw 2 of 2,1,51-66,,
7:50.0,,,51-66,,Shooting foul by P. Gasol (drawn by M. Gortat)
7:50.0,,,51-66,,M. Gortat misses free throw 1 of 2
7:50.0,,,51-66,,Offensive rebound by Team
7:50.0,,,51-66,,M. Gortat misses free throw 2 of 2
7:49.0,Defensive rebound by J. Noah,,51-66,,
7:35.0,P. Gasol misses 2-pt shot from 6 ft,,51-66,,
7:34.0,,,51-66,,Defensive rebound by N. Hilario
7:28.0,,,51-66,,M. Gortat misses 2-pt shot at rim
7:27.0,Defensive rebound by P. Gasol,,51-66,,
7:17.0,J. Noah misses 2-pt shot from 1 ft,,51-66,,
7:16.0,Offensive rebound by Team,,51-66,,
7:08.0,Offensive foul by J. Butler,,51-66,,
7:08.0,Turnover by J. Butler (offensive foul),,51-66,,
6:52.0,,,51-66,,N. Hilario misses 2-pt shot from 5 ft
6:51.0,Defensive rebound by J. Noah,,51-66,,
6:45.0,J. Butler makes 2-pt shot from 21 ft,2,53-66,,
6:45.0,Shooting foul by P. Pierce (drawn by J. Butler),,53-66,,
6:45.0,J. Butler makes free throw 1 of 1,1,54-66,,
6:35.0,,,54-66,,Offensive foul by B. Beal
6:35.0,,,54-66,,Turnover by B. Beal (offensive foul)
6:15.0,Turnover by K. Hinrich (bad pass),,54-66,,
6:00.0,,,54-66,,N. Hilario misses 2-pt shot from 14 ft
5:59.0,Defensive rebound by P. Gasol,,54-66,,
5:49.0,Turnover by K. Hinrich (lost ball),,54-66,,
5:49.0,,,54-66,,Washington full timeout
5:28.0,,,54-66,,B. Beal misses 2-pt shot from 5 ft (block by J. Noah)
5:26.0,,,54-66,,Offensive rebound by M. Gortat
5:24.0,,,54-68,2,M. Gortat makes 2-pt shot from 1 ft
4:57.0,J. Butler misses 2-pt shot from 20 ft,,54-68,,
4:56.0,Offensive rebound by J. Noah,,54-68,,
4:54.0,J. Noah makes 2-pt shot from 1 ft,2,56-68,,
4:36.0,,,56-70,2,J. Wall makes 2-pt shot from 9 ft
4:18.0,P. Gasol misses 2-pt shot from 7 ft,,56-70,,
4:17.0,,,56-70,,Defensive rebound by P. Pierce
4:08.0,,,56-70,,Shooting foul by D. Rose (drawn by J. Wall)
4:08.0,,,56-71,1,J. Wall makes free throw 1 of 2
4:08.0,,,56-72,1,J. Wall makes free throw 2 of 2
3:57.0,J. Butler makes 3-pt shot from 23 ft (assist by D. Rose),3,59-72,,
3:40.0,,,59-72,,M. Gortat misses 2-pt shot from 11 ft
3:39.0,Defensive rebound by P. Gasol,,59-72,,
3:30.0,D. Rose makes 2-pt shot at rim,2,61-72,,
3:29.0,,,61-72,,Washington full timeout
3:29.0,T. Gibson enters the game for J. Noah,,61-72,,
3:29.0,,,61-72,,K. Humphries enters the game for N. Hilario
3:20.0,,,61-72,,Turnover by J. Wall (bad pass; steal by J. Butler)
3:11.0,Shooting foul by P. Pierce (drawn by J. Butler),,61-72,,
3:11.0,J. Butler makes free throw 1 of 2,1,62-72,,
3:11.0,J. Butler makes free throw 2 of 2,1,63-72,,
2:46.0,,,63-72,,B. Beal misses 2-pt shot from 18 ft
2:45.0,Defensive rebound by D. Rose,,63-72,,
2:39.0,J. Butler misses 2-pt shot from 3 ft,,63-72,,
2:38.0,Offensive rebound by D. Rose,,63-72,,
2:36.0,D. Rose makes 2-pt shot from 1 ft,2,65-72,,
2:20.0,,,65-72,,J. Wall misses 2-pt shot from 16 ft (block by P. Gasol)
2:18.0,Defensive rebound by D. Rose,,65-72,,
2:16.0,Shooting foul by K. Humphries (drawn by J. Butler),,65-72,,
2:16.0,J. Butler makes free throw 1 of 2,1,66-72,,
2:16.0,,,66-72,,R. Butler enters the game for P. Pierce
2:16.0,J. Butler misses free throw 2 of 2,,66-72,,
2:14.0,,,66-72,,Defensive rebound by K. Humphries
1:54.0,,,66-75,3,R. Butler makes 3-pt shot from 24 ft (assist by J. Wall)
1:29.0,D. Rose misses 3-pt shot from 25 ft,,66-75,,
1:28.0,Offensive rebound by P. Gasol,,66-75,,
1:26.0,P. Gasol makes 2-pt shot from 1 ft,2,68-75,,
1:06.0,,,68-78,3,R. Butler makes 3-pt shot from 23 ft (assist by M. Gortat)
0:50.0,T. Gibson misses 2-pt shot from 1 ft,,68-78,,
0:48.0,,,68-78,,Defensive rebound by J. Wall
0:37.0,,,68-80,2,J. Wall makes 2-pt shot from 15 ft
0:23.0,Turnover by P. Gasol (bad pass; steal by B. Beal),,68-80,,
0:06.0,Personal take foul by K. Hinrich (drawn by B. Beal),,68-80,,
0:06.0,,,68-80,,K. Seraphin enters the game for M. Gortat
0:01.0,,,68-80,,J. Wall misses 2-pt shot from 13 ft
0:00.0,Defensive rebound by Team,,68-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,N. Mirotic misses 2-pt shot from 7 ft,,68-80,,
11:38.0,,,68-80,,Defensive rebound by K. Humphries
11:25.0,,,68-80,,K. Humphries misses 2-pt shot from 17 ft
11:23.0,,,68-80,,Offensive rebound by K. Seraphin
11:13.0,,,68-80,,B. Beal misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by T. Gibson,,68-80,,
11:02.0,N. Mirotic misses 2-pt shot at rim,,68-80,,
11:01.0,,,68-80,,Defensive rebound by K. Humphries
10:49.0,,,68-80,,A. Miller misses 2-pt shot from 2 ft (block by T. Gibson)
10:48.0,Defensive rebound by A. Brooks,,68-80,,
10:34.0,J. Butler misses 2-pt shot from 2 ft,,68-80,,
10:33.0,,,68-80,,Defensive rebound by K. Seraphin
10:19.0,,,68-80,,Turnover by B. Beal (lost ball; steal by T. Gibson)
10:14.0,Turnover by A. Brooks (bad pass; steal by K. Humphries),,68-80,,
10:06.0,,,68-80,,B. Beal misses 2-pt shot from 5 ft
10:05.0,,,68-80,,Offensive rebound by B. Beal
10:04.0,,,68-80,,Shooting foul by A. Brooks (drawn by K. Humphries)
10:04.0,,,68-81,1,K. Humphries makes free throw 1 of 2
10:04.0,,,68-81,,K. Humphries misses free throw 2 of 2
10:02.0,Defensive rebound by T. Gibson,,68-81,,
9:42.0,Turnover by A. Brooks (bad pass; steal by B. Beal),,68-81,,
9:36.0,,,68-81,,R. Butler misses 3-pt shot from 25 ft
9:35.0,,,68-81,,Offensive rebound by K. Humphries
9:35.0,,,68-83,2,K. Humphries makes 2-pt shot at rim
9:35.0,Chicago full timeout,,68-83,,
9:22.0,A. Brooks misses 2-pt shot from 3 ft,,68-83,,
9:21.0,,,68-83,,Defensive rebound by K. Humphries
9:12.0,,,68-85,2,K. Seraphin makes 2-pt shot from 11 ft (assist by A. Miller)
8:54.0,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Butler),3,71-85,,
8:27.0,,,71-85,,K. Humphries misses 2-pt shot from 6 ft
8:26.0,Defensive rebound by E. Moore,,71-85,,
8:21.0,A. Brooks makes 3-pt shot from 26 ft (assist by E. Moore),3,74-85,,
8:02.0,,,74-85,,B. Beal misses 2-pt shot from 10 ft
8:01.0,Defensive rebound by N. Mirotic,,74-85,,
7:49.0,A. Brooks makes 3-pt shot from 26 ft (assist by T. Gibson),3,77-85,,
7:49.0,,,77-85,,Washington full timeout
7:49.0,,,77-85,,J. Wall enters the game for A. Miller
7:49.0,,,77-85,,N. Hilario enters the game for K. Humphries
7:28.0,,,77-87,2,R. Butler makes 2-pt shot from 20 ft (assist by B. Beal)
7:15.0,A. Brooks misses 3-pt shot from 28 ft,,77-87,,
7:14.0,,,77-87,,Defensive rebound by K. Seraphin
6:58.0,,,77-90,3,R. Butler makes 3-pt shot from 23 ft (assist by J. Wall)
6:44.0,,,77-90,,Personal foul by K. Seraphin (drawn by N. Mirotic)
6:44.0,,,77-90,,P. Pierce enters the game for B. Beal
6:44.0,J. Noah enters the game for N. Mirotic,,77-90,,
6:44.0,D. Rose enters the game for E. Moore,,77-90,,
6:33.0,Turnover by A. Brooks (3 sec),,77-90,,
6:16.0,,,77-90,,K. Seraphin misses 2-pt shot from 11 ft (block by T. Gibson)
6:14.0,Defensive rebound by J. Butler,,77-90,,
6:01.0,Shooting foul by K. Seraphin (drawn by J. Noah),,77-90,,
6:01.0,J. Noah makes free throw 1 of 2,1,78-90,,
6:01.0,,,78-90,,M. Gortat enters the game for K. Seraphin
6:01.0,T. Snell enters the game for J. Butler,,78-90,,
6:01.0,J. Noah misses free throw 2 of 2,,78-90,,
6:00.0,,,78-90,,Defensive rebound by N. Hilario
5:42.0,,,78-90,,Turnover by J. Wall (bad pass; steal by T. Snell)
5:37.0,D. Rose misses 3-pt shot from 26 ft,,78-90,,
5:35.0,Offensive rebound by A. Brooks,,78-90,,
5:23.0,A. Brooks makes 3-pt shot from 29 ft (assist by D. Rose),3,81-90,,
4:59.0,,,81-92,2,M. Gortat makes 2-pt shot from 2 ft (assist by N. Hilario)
4:39.0,J. Noah misses 2-pt shot at rim (block by M. Gortat),,81-92,,
4:37.0,Offensive rebound by T. Gibson,,81-92,,
4:33.0,D. Rose misses 3-pt shot from 25 ft,,81-92,,
4:33.0,Offensive rebound by Team,,81-92,,
4:33.0,,,81-92,,Loose ball foul by N. Hilario (drawn by J. Noah)
4:33.0,P. Gasol enters the game for T. Gibson,,81-92,,
4:33.0,,,81-92,,B. Beal enters the game for R. Butler
4:29.0,D. Rose misses 2-pt shot from 2 ft,,81-92,,
4:28.0,,,81-92,,Defensive rebound by J. Wall
4:23.0,,,81-94,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
3:59.0,P. Gasol makes 2-pt shot from 15 ft (assist by J. Noah),2,83-94,,
3:45.0,,,83-94,,N. Hilario misses 2-pt shot from 16 ft
3:44.0,Defensive rebound by P. Gasol,,83-94,,
3:34.0,T. Snell makes 3-pt shot from 26 ft (assist by A. Brooks),3,86-94,,
3:17.0,Personal foul by A. Brooks (drawn by N. Hilario),,86-94,,
3:11.0,,,86-96,2,B. Beal makes 2-pt shot from 20 ft (assist by N. Hilario)
2:58.0,Turnover by D. Rose (lost ball; steal by J. Wall),,86-96,,
2:56.0,Personal foul by A. Brooks (drawn by J. Wall),,86-96,,
2:56.0,Official timeout,,86-96,,
2:56.0,J. Butler enters the game for T. Snell,,86-96,,
2:39.0,,,86-96,,J. Wall misses 3-pt shot from 22 ft
2:37.0,Defensive rebound by J. Noah,,86-96,,
2:26.0,,,86-96,,Personal foul by N. Hilario (drawn by D. Rose)
2:13.0,J. Noah misses 2-pt shot from 5 ft (block by N. Hilario),,86-96,,
2:12.0,,,86-96,,Defensive rebound by P. Pierce
1:49.0,,,86-98,2,N. Hilario makes 2-pt shot from 3 ft
