time,Chicago,pts.away,score,pts.home,Houston
0:23.0,N. Mirotic makes 3-pt shot from 25 ft (assist by T. Gibson),3,27-27,,
0:01.0,,,27-27,,J. Harden misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by N. Mirotic,,27-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,27-27,,T. Jones misses 2-pt shot from 6 ft (block by T. Gibson)
11:41.0,Defensive rebound by A. Brooks,,27-27,,
11:24.0,T. Gibson makes 2-pt shot from 12 ft (assist by J. Noah),2,29-27,,
11:07.0,,,29-27,,T. Jones misses 2-pt shot from 15 ft
11:06.0,Defensive rebound by J. Noah,,29-27,,
10:47.0,T. Gibson misses 2-pt shot from 5 ft,,29-27,,
10:45.0,Offensive rebound by J. Noah,,29-27,,
10:44.0,J. Noah misses 2-pt shot from 1 ft,,29-27,,
10:43.0,,,29-27,,Defensive rebound by J. Smith
10:38.0,,,29-29,2,J. Smith makes 2-pt shot from 2 ft
10:19.0,N. Mirotic misses 2-pt shot from 17 ft,,29-29,,
10:17.0,Offensive rebound by J. Noah,,29-29,,
10:14.0,,,29-29,,Violation by T. Ariza (kicked ball)
10:05.0,Turnover by T. Gibson (step out of bounds),,29-29,,
9:48.0,,,29-29,,T. Jones misses 2-pt shot from 7 ft
9:47.0,Defensive rebound by J. Noah,,29-29,,
9:34.0,T. Gibson makes 2-pt shot from 8 ft (assist by A. Brooks),2,31-29,,
9:14.0,,,31-31,2,J. Terry makes 2-pt shot from 5 ft
8:56.0,J. Noah misses 2-pt shot from 20 ft,,31-31,,
8:53.0,,,31-31,,Defensive rebound by J. Smith
8:46.0,,,31-34,3,J. Smith makes 3-pt shot from 23 ft (assist by C. Brewer)
8:35.0,,,31-34,,Personal foul by J. Smith (drawn by N. Mirotic)
8:35.0,Official timeout,,31-34,,
8:35.0,D. Rose enters the game for A. Brooks,,31-34,,
8:35.0,,,31-34,,D. Motiejunas enters the game for T. Jones
8:21.0,N. Mirotic misses 2-pt shot from 5 ft,,31-34,,
8:20.0,,,31-34,,Defensive rebound by D. Motiejunas
8:19.0,Personal foul by J. Noah (drawn by D. Motiejunas),,31-34,,
8:05.0,,,31-34,,J. Smith misses 2-pt shot from 7 ft
8:04.0,Defensive rebound by J. Noah,,31-34,,
7:50.0,D. Rose makes 3-pt shot from 25 ft (assist by N. Mirotic),3,34-34,,
7:50.0,,,34-34,,Loose ball foul by T. Ariza (drawn by J. Noah)
7:50.0,J. Noah makes free throw 1 of 1,1,35-34,,
7:32.0,,,35-36,2,D. Motiejunas makes 2-pt shot from 5 ft
7:08.0,N. Mirotic misses 2-pt shot from 10 ft,,35-36,,
7:07.0,Offensive rebound by N. Mirotic,,35-36,,
7:05.0,N. Mirotic misses 2-pt shot at rim (block by J. Smith),,35-36,,
7:03.0,,,35-36,,Defensive rebound by J. Smith
6:54.0,,,35-36,,J. Terry misses 3-pt shot from 25 ft
6:52.0,,,35-36,,Offensive rebound by Team
6:52.0,,,35-36,,Houston full timeout
6:52.0,J. Butler enters the game for N. Mirotic,,35-36,,
6:52.0,K. Hinrich enters the game for E. Moore,,35-36,,
6:52.0,,,35-36,,J. Harden enters the game for C. Brewer
6:45.0,,,35-39,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
6:29.0,D. Rose misses 3-pt shot from 24 ft,,35-39,,
6:28.0,,,35-39,,Defensive rebound by T. Ariza
6:20.0,,,35-39,,Turnover by J. Harden (lost ball; steal by T. Gibson)
6:17.0,Turnover by K. Hinrich (bad pass; steal by T. Ariza),,35-39,,
6:08.0,,,35-39,,Turnover by D. Motiejunas (lost ball)
5:57.0,Turnover by D. Rose (lost ball; steal by J. Harden),,35-39,,
5:52.0,,,35-41,2,J. Harden makes 2-pt shot at rim
5:32.0,K. Hinrich misses 3-pt shot from 23 ft,,35-41,,
5:30.0,Offensive rebound by J. Noah,,35-41,,
5:23.0,T. Gibson makes 2-pt shot from 13 ft (assist by J. Butler),2,37-41,,
5:00.0,,,37-44,3,J. Harden makes 3-pt shot from 23 ft
4:35.0,T. Gibson misses 2-pt shot from 16 ft,,37-44,,
4:33.0,Offensive rebound by K. Hinrich,,37-44,,
4:25.0,,,37-44,,Personal foul by T. Ariza (drawn by J. Butler)
4:25.0,,,37-44,,P. Beverley enters the game for J. Terry
4:25.0,P. Gasol enters the game for J. Noah,,37-44,,
4:25.0,,,37-44,,J. Dorsey enters the game for J. Smith
4:20.0,D. Rose misses 2-pt shot from 11 ft,,37-44,,
4:17.0,,,37-44,,Defensive rebound by J. Dorsey
4:08.0,,,37-46,2,J. Harden makes 2-pt shot from 1 ft
3:41.0,J. Butler makes 2-pt shot from 19 ft,2,39-46,,
3:30.0,,,39-48,2,J. Harden makes 2-pt shot at rim
3:05.0,P. Gasol misses 2-pt shot from 16 ft,,39-48,,
3:04.0,Offensive rebound by T. Gibson,,39-48,,
3:03.0,Shooting foul by J. Harden (drawn by T. Gibson),,39-48,,
3:03.0,T. Gibson makes free throw 1 of 2,1,40-48,,
3:03.0,T. Gibson makes free throw 2 of 2,1,41-48,,
2:51.0,,,41-50,2,J. Harden makes 2-pt shot from 18 ft
2:24.0,P. Gasol makes 2-pt shot from 8 ft,2,43-50,,
2:08.0,,,43-50,,Shooting foul by T. Gibson (drawn by J. Harden)
2:08.0,Chicago full timeout,,43-50,,
2:08.0,J. Noah enters the game for T. Gibson,,43-50,,
2:08.0,,,43-50,,C. Brewer enters the game for T. Ariza
2:08.0,,,43-51,1,J. Harden makes free throw 1 of 2
2:08.0,,,43-52,1,J. Harden makes free throw 2 of 2
1:50.0,D. Rose makes 2-pt shot from 18 ft,2,45-52,,
1:46.0,,,45-52,,Shooting foul by K. Hinrich (drawn by D. Motiejunas)
1:46.0,,,45-53,1,D. Motiejunas makes free throw 1 of 2
1:46.0,,,45-53,,D. Motiejunas misses free throw 2 of 2
1:46.0,Defensive rebound by P. Gasol,,45-53,,
1:28.0,,,45-53,,Personal foul by J. Dorsey (drawn by P. Gasol)
1:28.0,P. Gasol misses free throw 1 of 2,,45-53,,
1:28.0,Offensive rebound by Team,,45-53,,
1:28.0,,,45-53,,J. Smith enters the game for D. Motiejunas
1:28.0,P. Gasol makes free throw 2 of 2,1,46-53,,
1:09.0,,,46-53,,J. Smith misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by P. Gasol,,46-53,,
0:59.0,D. Rose makes 2-pt shot from 20 ft,2,48-53,,
0:52.0,,,48-53,,Shooting foul by J. Noah (drawn by J. Harden)
0:52.0,,,48-54,1,J. Harden makes free throw 1 of 2
0:52.0,,,48-55,1,J. Harden makes free throw 2 of 2
0:43.0,Turnover by D. Rose (lost ball),,48-55,,
0:33.0,,,48-55,,C. Brewer misses 3-pt shot from 23 ft
0:32.0,,,48-55,,Offensive rebound by J. Smith
0:31.0,,,48-57,2,J. Smith makes 2-pt shot at rim
0:31.0,,,48-57,,Shooting foul by P. Gasol (drawn by J. Smith)
0:31.0,,,48-57,,J. Smith misses free throw 1 of 1
0:30.0,,,48-57,,Offensive rebound by J. Dorsey
0:09.0,,,48-57,,J. Smith misses 3-pt shot from 24 ft
0:08.0,,,48-57,,Offensive rebound by C. Brewer
0:03.0,,,48-57,,C. Brewer misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by J. Noah,,48-57,,
0:00.0,J. Noah misses 3-pt shot from 73 ft,,48-57,,
0:00.0,Offensive rebound by Team,,48-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,48-57,,D. Motiejunas misses 2-pt shot from 8 ft
11:45.0,Defensive rebound by Team,,48-57,,
11:24.0,D. Rose misses 3-pt shot from 24 ft,,48-57,,
11:23.0,,,48-57,,Defensive rebound by P. Beverley
11:16.0,,,48-57,,J. Harden misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by P. Gasol,,48-57,,
10:59.0,P. Gasol misses 2-pt shot from 18 ft,,48-57,,
10:58.0,,,48-57,,Defensive rebound by D. Motiejunas
10:45.0,,,48-59,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by P. Beverley)
10:32.0,,,48-59,,Personal block foul by T. Ariza (drawn by J. Butler)
10:20.0,P. Gasol misses 2-pt shot from 14 ft,,48-59,,
10:18.0,,,48-59,,Defensive rebound by T. Ariza
10:08.0,,,48-59,,T. Ariza misses 3-pt shot from 23 ft
10:06.0,Defensive rebound by J. Butler,,48-59,,
9:57.0,,,48-59,,Shooting block foul by J. Harden (drawn by J. Butler)
9:57.0,J. Butler makes free throw 1 of 2,1,49-59,,
9:57.0,J. Butler makes free throw 2 of 2,1,50-59,,
9:40.0,,,50-61,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by J. Harden)
9:25.0,K. Hinrich misses 3-pt shot from 24 ft,,50-61,,
9:23.0,,,50-61,,Defensive rebound by T. Ariza
9:21.0,,,50-61,,Turnover by T. Ariza (lost ball; steal by J. Butler)
9:18.0,J. Butler misses 2-pt shot from 14 ft,,50-61,,
9:17.0,,,50-61,,Defensive rebound by J. Dorsey
9:08.0,,,50-61,,J. Harden misses 2-pt shot from 13 ft
9:08.0,Defensive rebound by J. Noah,,50-61,,
8:59.0,J. Noah misses 2-pt shot from 18 ft,,50-61,,
8:58.0,,,50-61,,Defensive rebound by T. Ariza
8:46.0,,,50-61,,D. Motiejunas misses 2-pt shot from 6 ft
8:45.0,,,50-61,,Offensive rebound by J. Dorsey
8:38.0,,,50-61,,P. Beverley misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by K. Hinrich,,50-61,,
8:33.0,J. Butler misses 2-pt shot at rim (block by J. Harden),,50-61,,
8:33.0,Offensive rebound by Team,,50-61,,
8:26.0,D. Rose misses 3-pt shot from 22 ft,,50-61,,
8:25.0,,,50-61,,Defensive rebound by J. Dorsey
8:05.0,,,50-61,,J. Dorsey misses 2-pt shot from 5 ft (block by P. Gasol)
8:04.0,,,50-61,,Offensive rebound by J. Dorsey
8:02.0,,,50-61,,J. Dorsey misses 2-pt shot at rim (block by J. Noah)
8:00.0,Defensive rebound by J. Noah,,50-61,,
7:57.0,,,50-61,,Personal block foul by T. Ariza (drawn by J. Butler)
7:57.0,,,50-61,,C. Brewer enters the game for T. Ariza
7:54.0,D. Rose misses 2-pt shot from 3 ft (block by P. Beverley),,50-61,,
7:53.0,,,50-61,,Defensive rebound by Team
7:45.0,,,50-61,,Shooting foul by K. Hinrich (drawn by C. Brewer)
7:45.0,,,50-62,1,C. Brewer makes free throw 1 of 2
7:45.0,,,50-63,1,C. Brewer makes free throw 2 of 2
7:26.0,P. Gasol misses 2-pt shot from 19 ft,,50-63,,
7:24.0,,,50-63,,Defensive rebound by P. Beverley
7:11.0,,,50-63,,J. Dorsey misses 2-pt shot at rim
7:10.0,Defensive rebound by Team,,50-63,,
6:57.0,J. Noah misses 2-pt shot from 2 ft (block by J. Dorsey),,50-63,,
6:56.0,,,50-63,,Defensive rebound by J. Dorsey
6:51.0,,,50-63,,J. Harden misses 2-pt shot from 1 ft
6:50.0,,,50-63,,Offensive rebound by D. Motiejunas
6:50.0,,,50-65,2,D. Motiejunas makes 2-pt shot at rim
6:49.0,Chicago full timeout,,50-65,,
6:33.0,D. Rose makes 2-pt shot from 19 ft,2,52-65,,
6:21.0,,,52-67,2,P. Beverley makes 2-pt shot from 2 ft
6:08.0,Shooting foul by C. Brewer (drawn by J. Butler),,52-67,,
6:08.0,J. Butler misses free throw 1 of 2,,52-67,,
6:08.0,Offensive rebound by Team,,52-67,,
6:08.0,J. Butler makes free throw 2 of 2,1,53-67,,
5:54.0,,,53-69,2,P. Beverley makes 2-pt shot from 5 ft
5:38.0,D. Rose misses 3-pt shot from 25 ft,,53-69,,
5:37.0,Offensive rebound by K. Hinrich,,53-69,,
5:22.0,J. Butler makes 3-pt shot from 23 ft (assist by D. Rose),3,56-69,,
5:11.0,Personal foul by J. Noah (drawn by J. Harden),,56-69,,
5:11.0,,,56-69,,J. Smith enters the game for J. Dorsey
4:54.0,,,56-69,,C. Brewer misses 2-pt shot from 16 ft
4:53.0,Defensive rebound by D. Rose,,56-69,,
4:43.0,D. Rose misses 2-pt shot from 6 ft,,56-69,,
4:42.0,,,56-69,,Defensive rebound by D. Motiejunas
4:29.0,,,56-71,2,P. Beverley makes 2-pt shot from 14 ft
4:11.0,J. Butler makes 2-pt shot from 19 ft (assist by D. Rose),2,58-71,,
3:56.0,,,58-71,,J. Smith misses 2-pt shot from 19 ft
3:55.0,Defensive rebound by P. Gasol,,58-71,,
3:40.0,J. Noah misses 2-pt shot at rim,,58-71,,
3:39.0,,,58-71,,Defensive rebound by J. Smith
3:33.0,,,58-71,,C. Brewer misses 2-pt shot at rim
3:32.0,,,58-71,,Offensive rebound by J. Harden
3:31.0,,,58-71,,J. Harden misses 2-pt shot at rim
3:30.0,Defensive rebound by J. Noah,,58-71,,
3:25.0,J. Butler misses 2-pt shot from 4 ft,,58-71,,
3:25.0,Offensive rebound by P. Gasol,,58-71,,
3:24.0,P. Gasol makes 2-pt shot from 1 ft,2,60-71,,
3:24.0,,,60-71,,Houston full timeout
3:24.0,T. Gibson enters the game for J. Noah,,60-71,,
3:04.0,,,60-71,,J. Smith misses 2-pt shot from 5 ft
3:03.0,Defensive rebound by T. Gibson,,60-71,,
2:57.0,Offensive foul by P. Gasol,,60-71,,
2:57.0,Turnover by P. Gasol (offensive foul),,60-71,,
2:43.0,,,60-71,,C. Brewer misses 3-pt shot from 22 ft
2:42.0,Defensive rebound by P. Gasol,,60-71,,
2:35.0,D. Rose makes 2-pt shot from 21 ft,2,62-71,,
2:11.0,,,62-73,2,P. Beverley makes 2-pt shot from 12 ft
1:47.0,J. Butler makes 3-pt shot from 25 ft (assist by P. Gasol),3,65-73,,
1:32.0,,,65-73,,J. Harden misses 2-pt shot at rim
1:31.0,,,65-73,,Offensive rebound by D. Motiejunas
1:30.0,,,65-73,,D. Motiejunas misses 2-pt shot at rim
1:29.0,Defensive rebound by D. Rose,,65-73,,
1:22.0,D. Rose misses 3-pt shot from 24 ft,,65-73,,
1:21.0,Offensive rebound by J. Butler,,65-73,,
1:13.0,K. Hinrich misses 3-pt shot from 24 ft,,65-73,,
1:12.0,Offensive rebound by T. Gibson,,65-73,,
1:11.0,,,65-73,,Personal foul by J. Smith (drawn by T. Gibson)
1:11.0,T. Gibson misses free throw 1 of 2,,65-73,,
1:11.0,Offensive rebound by Team,,65-73,,
1:11.0,,,65-73,,J. Terry enters the game for D. Motiejunas
1:11.0,,,65-73,,T. Jones enters the game for P. Beverley
1:11.0,N. Mirotic enters the game for K. Hinrich,,65-73,,
1:11.0,A. Brooks enters the game for D. Rose,,65-73,,
1:11.0,T. Gibson makes free throw 2 of 2,1,66-73,,
0:51.0,,,66-73,,J. Smith misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by N. Mirotic,,66-73,,
0:44.0,A. Brooks makes 2-pt shot from 1 ft,2,68-73,,
0:33.0,,,68-75,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Smith)
0:12.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,70-75,,
0:02.0,,,70-75,,J. Terry misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by P. Gasol,,70-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,E. Moore misses 2-pt shot from 14 ft,,70-75,,
11:45.0,,,70-75,,Defensive rebound by J. Smith
11:39.0,,,70-78,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Terry)
11:15.0,T. Gibson misses 2-pt shot from 11 ft,,70-78,,
11:15.0,,,70-78,,Defensive rebound by J. Smith
11:03.0,,,70-80,2,T. Jones makes 2-pt shot from 1 ft (assist by T. Ariza)
11:03.0,Chicago full timeout,,70-80,,
10:42.0,A. Brooks misses 2-pt shot from 16 ft,,70-80,,
10:41.0,,,70-80,,Defensive rebound by Team
10:41.0,Loose ball foul by T. Gibson (drawn by J. Smith),,70-80,,
10:33.0,,,70-80,,Shooting foul by J. Noah (drawn by C. Brewer)
10:33.0,,,70-81,1,C. Brewer makes free throw 1 of 2
10:33.0,,,70-82,1,C. Brewer makes free throw 2 of 2
10:18.0,Turnover by A. Brooks (bad pass; steal by T. Jones),,70-82,,
10:13.0,,,70-84,2,T. Ariza makes 2-pt shot at rim (assist by C. Brewer)
10:01.0,Turnover by A. Brooks (bad pass; steal by J. Smith),,70-84,,
9:56.0,J. Butler enters the game for E. Moore,,70-84,,
9:56.0,D. Rose enters the game for A. Brooks,,70-84,,
9:49.0,,,70-86,2,C. Brewer makes 2-pt shot from 15 ft (assist by J. Terry)
9:33.0,N. Mirotic misses 2-pt shot from 20 ft,,70-86,,
9:31.0,Offensive rebound by J. Noah,,70-86,,
9:24.0,N. Mirotic misses 2-pt shot from 3 ft (block by T. Jones),,70-86,,
9:23.0,,,70-86,,Defensive rebound by J. Terry
9:20.0,,,70-86,,Shooting foul by J. Butler (drawn by T. Jones)
9:20.0,,,70-86,,T. Jones misses free throw 1 of 2
9:20.0,,,70-86,,Offensive rebound by Team
9:20.0,K. Hinrich enters the game for N. Mirotic,,70-86,,
9:20.0,,,70-86,,T. Jones misses free throw 2 of 2
9:20.0,Defensive rebound by J. Noah,,70-86,,
9:03.0,J. Noah misses 2-pt shot from 3 ft,,70-86,,
9:02.0,Offensive rebound by J. Butler,,70-86,,
8:55.0,Turnover by Team (shot clock),,70-86,,
8:46.0,,,70-86,,C. Brewer misses 2-pt shot from 5 ft (block by K. Hinrich)
8:45.0,,,70-86,,Offensive rebound by Team
8:43.0,,,70-86,,Turnover by C. Brewer (bad pass; steal by J. Butler)
8:37.0,Turnover by K. Hinrich (bad pass; steal by J. Smith),,70-86,,
8:32.0,,,70-88,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Smith)
8:22.0,D. Rose misses 3-pt shot from 24 ft,,70-88,,
8:21.0,,,70-88,,Defensive rebound by J. Smith
8:03.0,,,70-88,,C. Brewer misses 2-pt shot from 19 ft
8:02.0,Defensive rebound by J. Noah,,70-88,,
7:52.0,Shooting foul by J. Smith (drawn by J. Butler),,70-88,,
7:52.0,,,70-88,,Houston full timeout
7:52.0,J. Butler makes free throw 1 of 2,1,71-88,,
7:52.0,J. Butler makes free throw 2 of 2,1,72-88,,
7:32.0,,,72-90,2,T. Ariza makes 2-pt shot at rim (assist by T. Jones)
7:08.0,D. Rose misses 2-pt shot from 21 ft (block by T. Jones),,72-90,,
7:07.0,Offensive rebound by T. Gibson,,72-90,,
7:07.0,Shooting foul by C. Brewer (drawn by T. Gibson),,72-90,,
7:07.0,T. Gibson misses free throw 1 of 2,,72-90,,
7:07.0,Offensive rebound by Team,,72-90,,
7:07.0,T. Gibson makes free throw 2 of 2,1,73-90,,
6:49.0,,,73-90,,J. Smith misses 2-pt shot from 17 ft
6:48.0,Defensive rebound by T. Gibson,,73-90,,
6:37.0,T. Gibson misses 2-pt shot from 4 ft,,73-90,,
6:36.0,Offensive rebound by J. Noah,,73-90,,
6:28.0,J. Butler makes 2-pt shot from 3 ft,2,75-90,,
6:04.0,,,75-93,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Smith)
5:48.0,D. Rose makes 2-pt shot from 18 ft (assist by J. Noah),2,77-93,,
5:33.0,,,77-93,,C. Brewer misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by T. Gibson,,77-93,,
5:26.0,,,77-93,,Shooting block foul by C. Brewer (drawn by D. Rose)
5:26.0,D. Rose makes free throw 1 of 2,1,78-93,,
5:26.0,P. Gasol enters the game for J. Noah,,78-93,,
5:26.0,,,78-93,,P. Beverley enters the game for J. Smith
5:26.0,,,78-93,,J. Dorsey enters the game for C. Brewer
5:26.0,,,78-93,,J. Harden enters the game for J. Terry
5:26.0,,,78-93,,D. Motiejunas enters the game for T. Jones
5:26.0,D. Rose makes free throw 2 of 2,1,79-93,,
5:13.0,,,79-93,,P. Beverley misses 2-pt shot from 8 ft
5:12.0,Defensive rebound by D. Rose,,79-93,,
5:03.0,K. Hinrich misses 3-pt shot from 24 ft,,79-93,,
5:02.0,,,79-93,,Defensive rebound by D. Motiejunas
4:53.0,,,79-93,,D. Motiejunas misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by K. Hinrich,,79-93,,
4:35.0,J. Butler misses 2-pt shot from 9 ft,,79-93,,
4:34.0,Offensive rebound by J. Butler,,79-93,,
4:34.0,Shooting foul by J. Dorsey (drawn by J. Butler),,79-93,,
4:34.0,J. Butler misses free throw 1 of 2,,79-93,,
