time,LA Clippers,pts.away,score,pts.home,Oklahoma City
1:41.0,,,34-27,3,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook)
1:13.0,G. Davis misses 2-pt shot from 11 ft,,34-27,,
1:12.0,,,34-27,,Defensive rebound by R. Westbrook
1:07.0,,,34-27,,Turnover by S. Adams (traveling)
0:55.0,C. Paul makes 2-pt shot from 17 ft,2,36-27,,
0:43.0,,,36-27,,N. Collison misses 2-pt shot from 19 ft
0:42.0,Defensive rebound by D. Jordan,,36-27,,
0:32.0,Turnover by C. Paul (lost ball),,36-27,,
0:30.0,,,36-30,3,R. Westbrook makes 3-pt shot from 29 ft
0:11.0,M. Barnes misses 2-pt shot from 10 ft,,36-30,,
0:09.0,,,36-30,,Defensive rebound by A. Morrow
0:00.0,,,36-30,,D. Waiters misses 3-pt shot from 22 ft
0:00.0,Defensive rebound by Team,,36-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,36-32,2,D. Waiters makes 2-pt shot from 16 ft
11:12.0,G. Davis makes 2-pt shot from 1 ft (assist by N. Robinson),2,38-32,,
10:49.0,,,38-32,,N. Collison misses 3-pt shot from 23 ft
10:48.0,Defensive rebound by A. Rivers,,38-32,,
10:30.0,G. Davis misses 2-pt shot from 12 ft,,38-32,,
10:29.0,,,38-32,,Defensive rebound by N. Collison
10:20.0,,,38-35,3,A. Morrow makes 3-pt shot from 23 ft (assist by S. Adams)
10:01.0,A. Rivers makes 2-pt shot from 2 ft,2,40-35,,
9:44.0,,,40-35,,Turnover by D. Augustin (bad pass)
9:33.0,A. Rivers misses 2-pt shot from 18 ft,,40-35,,
9:32.0,,,40-35,,Defensive rebound by D. Augustin
9:23.0,,,40-38,3,N. Collison makes 3-pt shot from 22 ft (assist by D. Augustin)
8:59.0,,,40-38,,Shooting block foul by D. Waiters (drawn by M. Barnes)
8:59.0,Official timeout,,40-38,,
8:59.0,M. Barnes makes free throw 1 of 2,1,41-38,,
8:59.0,M. Barnes makes free throw 2 of 2,1,42-38,,
8:43.0,,,42-38,,Turnover by N. Collison (lost ball; steal by G. Davis)
8:37.0,N. Robinson misses 3-pt shot from 24 ft,,42-38,,
8:35.0,,,42-38,,Defensive rebound by D. Waiters
8:23.0,,,42-38,,Shooting foul by A. Rivers (drawn by D. Waiters)
8:23.0,,,42-39,1,D. Waiters makes free throw 1 of 2
8:23.0,,,42-39,,E. Kanter enters the game for N. Collison
8:23.0,D. Jordan enters the game for G. Davis,,42-39,,
8:23.0,,,42-40,1,D. Waiters makes free throw 2 of 2
8:10.0,A. Rivers misses 2-pt shot from 4 ft,,42-40,,
8:09.0,,,42-40,,Defensive rebound by S. Adams
7:57.0,,,42-42,2,E. Kanter makes 2-pt shot from 2 ft
7:46.0,N. Robinson misses 2-pt shot from 16 ft,,42-42,,
7:46.0,Offensive rebound by D. Jordan,,42-42,,
7:44.0,D. Jordan makes 2-pt shot from 1 ft,2,44-42,,
7:24.0,,,44-42,,E. Kanter misses 2-pt shot from 1 ft
7:23.0,,,44-42,,Offensive rebound by S. Adams
7:19.0,,,44-42,,Shooting foul by D. Jordan (drawn by E. Kanter)
7:19.0,,,44-42,,E. Kanter misses free throw 1 of 2
7:19.0,,,44-42,,Offensive rebound by Team
7:19.0,C. Paul enters the game for A. Rivers,,44-42,,
7:19.0,J. Redick enters the game for N. Robinson,,44-42,,
7:19.0,,,44-42,,E. Kanter misses free throw 2 of 2
7:17.0,Defensive rebound by M. Barnes,,44-42,,
7:08.0,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul),2,46-42,,
7:08.0,Shooting foul by D. Augustin (drawn by J. Redick),,46-42,,
7:08.0,J. Redick makes free throw 1 of 1,1,47-42,,
6:51.0,,,47-45,3,A. Morrow makes 3-pt shot from 24 ft (assist by D. Waiters)
6:30.0,Turnover by J. Redick (lost ball; steal by A. Morrow),,47-45,,
6:20.0,,,47-45,,A. Morrow misses 2-pt shot from 14 ft
6:19.0,,,47-45,,Offensive rebound by E. Kanter
6:19.0,,,47-47,2,E. Kanter makes 2-pt shot from 2 ft
6:10.0,LA Clippers full timeout,,47-47,,
6:10.0,,,47-47,,R. Westbrook enters the game for D. Waiters
6:10.0,,,47-47,,S. Ibaka enters the game for S. Adams
6:02.0,S. Hawes misses 3-pt shot from 24 ft,,47-47,,
6:01.0,,,47-47,,Defensive rebound by R. Westbrook
5:50.0,,,47-47,,A. Morrow misses 3-pt shot from 26 ft
5:49.0,Defensive rebound by D. Jordan,,47-47,,
5:33.0,C. Paul makes 3-pt shot from 24 ft (assist by J. Redick),3,50-47,,
5:09.0,,,50-49,2,S. Ibaka makes 2-pt shot from 5 ft (assist by R. Westbrook)
4:52.0,Shooting foul by S. Ibaka (drawn by J. Redick),,50-49,,
4:52.0,J. Redick makes free throw 1 of 3,1,51-49,,
4:52.0,J. Redick makes free throw 2 of 3,1,52-49,,
4:52.0,J. Redick makes free throw 3 of 3,1,53-49,,
4:41.0,,,53-52,3,A. Morrow makes 3-pt shot from 22 ft (assist by D. Augustin)
4:18.0,C. Paul makes 3-pt shot from 24 ft,3,56-52,,
3:58.0,,,56-52,,S. Ibaka misses 2-pt shot from 12 ft
3:57.0,Defensive rebound by M. Barnes,,56-52,,
3:49.0,C. Paul makes 2-pt shot from 13 ft,2,58-52,,
3:41.0,,,58-52,,Oklahoma City full timeout
3:37.0,,,58-54,2,R. Westbrook makes 2-pt shot from 1 ft
3:19.0,Turnover by C. Paul (lost ball; steal by R. Westbrook),,58-54,,
3:18.0,Personal take foul by D. Jordan (drawn by R. Westbrook),,58-54,,
3:10.0,,,58-54,,Turnover by R. Westbrook (bad pass; steal by C. Paul)
3:05.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,61-54,,
2:46.0,,,61-54,,R. Westbrook misses 2-pt shot from 15 ft
2:46.0,Defensive rebound by D. Jordan,,61-54,,
2:30.0,Turnover by C. Paul (bad pass),,61-54,,
2:30.0,,,61-54,,A. Roberson enters the game for D. Augustin
2:30.0,,,61-57,3,A. Morrow makes 3-pt shot from 29 ft
1:41.0,C. Paul makes 3-pt shot from 24 ft,3,64-57,,
1:25.0,,,64-57,,Turnover by R. Westbrook (lost ball; steal by J. Redick)
1:25.0,,,64-57,,Personal take foul by R. Westbrook (drawn by J. Redick)
1:06.0,C. Paul misses 3-pt shot from 24 ft,,64-57,,
1:05.0,,,64-57,,Defensive rebound by Team
0:48.0,,,64-57,,Turnover by S. Ibaka (bad pass)
0:40.0,C. Paul misses 2-pt shot from 18 ft,,64-57,,
0:39.0,,,64-57,,Defensive rebound by R. Westbrook
0:34.0,,,64-57,,R. Westbrook misses 2-pt shot from 3 ft
0:32.0,Defensive rebound by D. Jordan,,64-57,,
0:24.0,J. Redick misses 3-pt shot from 23 ft,,64-57,,
0:23.0,Offensive rebound by D. Jordan,,64-57,,
0:23.0,,,64-57,,Personal foul by A. Morrow (drawn by D. Jordan)
0:23.0,D. Jordan misses free throw 1 of 2,,64-57,,
0:23.0,Offensive rebound by Team,,64-57,,
0:23.0,G. Davis enters the game for S. Hawes,,64-57,,
0:23.0,A. Rivers enters the game for J. Redick,,64-57,,
0:23.0,,,64-57,,D. Augustin enters the game for A. Roberson
0:23.0,D. Jordan makes free throw 2 of 2,1,65-57,,
0:09.0,Personal take foul by A. Rivers (drawn by D. Augustin),,65-57,,
0:09.0,,,65-57,,Oklahoma City full timeout
0:04.0,,,65-57,,R. Westbrook misses 2-pt shot from 2 ft
0:03.0,,,65-57,,Offensive rebound by Team
0:00.0,,,65-57,,A. Morrow misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by Team,,65-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,65-57,,E. Kanter misses 2-pt shot from 4 ft
11:44.0,Defensive rebound by S. Hawes,,65-57,,
11:19.0,M. Barnes makes 3-pt shot from 24 ft (assist by J. Redick),3,68-57,,
11:05.0,,,68-57,,S. Ibaka misses 2-pt shot from 19 ft
11:04.0,,,68-57,,Offensive rebound by R. Westbrook
11:02.0,,,68-57,,Shooting foul by M. Barnes (drawn by R. Westbrook)
11:02.0,,,68-58,1,R. Westbrook makes free throw 1 of 2
11:02.0,,,68-59,1,R. Westbrook makes free throw 2 of 2
10:51.0,J. Redick makes 2-pt shot from 14 ft (assist by C. Paul),2,70-59,,
10:35.0,Personal foul by C. Paul (drawn by A. Roberson),,70-59,,
10:29.0,,,70-59,,S. Ibaka misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by J. Redick,,70-59,,
10:17.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,73-59,,
10:16.0,,,73-59,,Oklahoma City full timeout
10:03.0,,,73-61,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
9:36.0,Turnover by Team (shot clock),,73-61,,
9:24.0,,,73-61,,Shooting foul by M. Barnes (drawn by S. Ibaka)
9:24.0,,,73-62,1,S. Ibaka makes free throw 1 of 2
9:24.0,,,73-63,1,S. Ibaka makes free throw 2 of 2
9:07.0,C. Paul makes 2-pt shot from 16 ft,2,75-63,,
8:56.0,Personal foul by D. Jordan (drawn by R. Westbrook),,75-63,,
8:43.0,,,75-63,,A. Roberson misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by S. Hawes,,75-63,,
8:31.0,Shooting foul by R. Westbrook (drawn by C. Paul),,75-63,,
8:31.0,C. Paul makes free throw 1 of 2,1,76-63,,
8:31.0,C. Paul makes free throw 2 of 2,1,77-63,,
8:18.0,,,77-63,,Turnover by R. Westbrook (lost ball; steal by J. Redick)
8:09.0,M. Barnes makes 3-pt shot from 25 ft (assist by C. Paul),3,80-63,,
8:08.0,,,80-63,,Oklahoma City full timeout
8:08.0,,,80-63,,A. Morrow enters the game for K. Singler
8:08.0,,,80-63,,D. Waiters enters the game for A. Roberson
7:53.0,,,80-63,,Turnover by E. Kanter (lost ball; steal by M. Barnes)
7:40.0,M. Barnes makes 3-pt shot from 24 ft (assist by J. Redick),3,83-63,,
7:15.0,,,83-63,,S. Ibaka misses 2-pt shot from 9 ft
7:14.0,,,83-63,,Offensive rebound by E. Kanter
7:13.0,,,83-65,2,E. Kanter makes 2-pt shot from 2 ft
6:54.0,C. Paul makes 3-pt shot from 24 ft (assist by D. Jordan),3,86-65,,
6:34.0,,,86-65,,Shooting foul by S. Hawes (drawn by E. Kanter)
6:34.0,,,86-66,1,E. Kanter makes free throw 1 of 2
6:34.0,,,86-67,1,E. Kanter makes free throw 2 of 2
6:21.0,C. Paul makes 2-pt shot from 2 ft,2,88-67,,
5:57.0,,,88-69,2,E. Kanter makes 2-pt shot from 1 ft (assist by S. Ibaka)
5:40.0,J. Redick misses 2-pt shot from 19 ft,,88-69,,
5:39.0,Offensive rebound by Team,,88-69,,
5:39.0,,,88-69,,Loose ball foul by E. Kanter (drawn by D. Jordan)
5:39.0,,,88-69,,S. Adams enters the game for E. Kanter
5:27.0,S. Hawes misses 2-pt shot from 7 ft (block by S. Adams),,88-69,,
5:27.0,,,88-69,,Defensive rebound by Team
5:10.0,,,88-69,,S. Ibaka misses 2-pt shot at rim
5:09.0,Defensive rebound by C. Paul,,88-69,,
5:03.0,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul),3,91-69,,
5:02.0,,,91-69,,Oklahoma City full timeout
5:02.0,,,91-69,,M. McGary enters the game for S. Ibaka
4:46.0,,,91-69,,M. McGary misses 2-pt shot from 6 ft (block by M. Barnes)
4:44.0,Defensive rebound by S. Hawes,,91-69,,
4:34.0,J. Redick misses 3-pt shot from 23 ft,,91-69,,
4:32.0,,,91-69,,Defensive rebound by Team
4:31.0,Loose ball foul by D. Jordan (drawn by M. McGary),,91-69,,
4:31.0,,,91-70,1,M. McGary makes free throw 1 of 2
4:31.0,G. Davis enters the game for D. Jordan,,91-70,,
4:31.0,,,91-70,,M. McGary misses free throw 2 of 2
4:31.0,Defensive rebound by J. Redick,,91-70,,
4:19.0,C. Paul misses 2-pt shot from 2 ft (block by S. Adams),,91-70,,
4:19.0,Offensive rebound by Team,,91-70,,
4:15.0,S. Hawes misses 2-pt shot from 18 ft,,91-70,,
4:13.0,,,91-70,,Defensive rebound by S. Adams
4:09.0,Personal foul by G. Davis (drawn by A. Morrow),,91-70,,
4:09.0,,,91-71,1,A. Morrow makes free throw 1 of 2
4:09.0,A. Rivers enters the game for J. Redick,,91-71,,
4:09.0,,,91-72,1,A. Morrow makes free throw 2 of 2
4:00.0,,,91-72,,Personal foul by M. McGary (drawn by C. Paul)
3:46.0,S. Hawes misses 3-pt shot from 23 ft,,91-72,,
3:46.0,,,91-72,,Defensive rebound by S. Adams
3:39.0,,,91-72,,Shooting foul by S. Hawes (drawn by R. Westbrook)
3:39.0,,,91-72,,R. Westbrook misses free throw 1 of 2
3:39.0,,,91-72,,Offensive rebound by Team
3:39.0,,,91-73,1,R. Westbrook makes free throw 2 of 2
3:39.0,,,91-73,,Personal foul by S. Adams (drawn by G. Davis)
3:39.0,Personal foul by G. Davis,,91-73,,
3:20.0,A. Rivers makes 2-pt shot from 17 ft (assist by G. Davis),2,93-73,,
3:01.0,,,93-73,,A. Morrow misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by Team,,93-73,,
3:00.0,,,93-73,,Loose ball foul by S. Adams (drawn by G. Davis)
2:49.0,C. Paul misses 3-pt shot from 25 ft,,93-73,,
2:48.0,,,93-73,,Defensive rebound by D. Waiters
2:39.0,,,93-76,3,A. Morrow makes 3-pt shot from 23 ft (assist by D. Waiters)
2:15.0,G. Davis makes 2-pt shot from 1 ft,2,95-76,,
2:09.0,,,95-76,,Turnover by R. Westbrook (lost ball)
2:09.0,,,95-76,,Violation by R. Westbrook (kicked ball)
2:09.0,LA Clippers full timeout,,95-76,,
2:09.0,,,95-76,,Technical foul by R. Westbrook
2:09.0,C. Paul makes technical free throw,1,96-76,,
1:53.0,Turnover by S. Hawes (traveling),,96-76,,
1:43.0,,,96-76,,D. Waiters misses 2-pt shot from 17 ft
1:42.0,Defensive rebound by C. Paul,,96-76,,
1:31.0,C. Paul misses 2-pt shot from 16 ft,,96-76,,
1:30.0,,,96-76,,Defensive rebound by M. McGary
1:24.0,,,96-79,3,R. Westbrook makes 3-pt shot from 25 ft
1:01.0,A. Rivers makes 2-pt shot from 18 ft,2,98-79,,
0:50.0,,,98-81,2,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook)
0:40.0,Offensive foul by S. Hawes,,98-81,,
0:40.0,Turnover by S. Hawes (offensive foul),,98-81,,
0:40.0,H. Turkoglu enters the game for S. Hawes,,98-81,,
0:31.0,,,98-81,,R. Westbrook misses 2-pt shot from 4 ft
0:30.0,,,98-81,,Offensive rebound by M. McGary
0:30.0,,,98-81,,M. McGary misses 2-pt shot from 1 ft
0:30.0,,,98-81,,Offensive rebound by M. McGary
0:30.0,,,98-83,2,M. McGary makes 2-pt shot from 1 ft
0:12.0,Turnover by C. Paul (lost ball; steal by R. Westbrook),,98-83,,
0:08.0,,,98-83,,Shooting foul by C. Paul (drawn by R. Westbrook)
0:08.0,,,98-83,,R. Westbrook misses free throw 1 of 3
0:08.0,,,98-83,,Offensive rebound by Team
0:08.0,,,98-84,1,R. Westbrook makes free throw 2 of 3
0:08.0,,,98-84,,A. Roberson enters the game for M. McGary
0:08.0,J. Redick enters the game for H. Turkoglu,,98-84,,
0:08.0,,,98-85,1,R. Westbrook makes free throw 3 of 3
0:03.0,Shooting foul by A. Morrow (drawn by C. Paul),,98-85,,
0:03.0,C. Paul makes free throw 1 of 2,1,99-85,,
0:03.0,D. Jones enters the game for J. Redick,,99-85,,
0:03.0,C. Paul makes free throw 2 of 2,1,100-85,,
0:01.0,,,100-85,,Turnover by R. Westbrook (bad pass; steal by G. Davis)
0:00.0,G. Davis misses 3-pt shot from 29 ft,,100-85,,
0:00.0,,,100-85,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,G. Davis misses 2-pt shot from 3 ft,,100-85,,
11:37.0,Offensive rebound by D. Jordan,,100-85,,
11:36.0,D. Jordan misses 2-pt shot from 2 ft,,100-85,,
11:35.0,Offensive rebound by D. Jordan,,100-85,,
11:35.0,Shooting foul by S. Adams (drawn by D. Jordan),,100-85,,
11:35.0,D. Jordan misses free throw 1 of 2,,100-85,,
11:35.0,Offensive rebound by Team,,100-85,,
11:35.0,D. Jordan misses free throw 2 of 2,,100-85,,
11:34.0,,,100-85,,Defensive rebound by A. Morrow
11:11.0,,,100-85,,D. Augustin misses 2-pt shot from 17 ft
11:10.0,Defensive rebound by J. Redick,,100-85,,
10:51.0,A. Rivers misses 3-pt shot from 26 ft,,100-85,,
10:51.0,Offensive rebound by Team,,100-85,,
10:51.0,,,100-85,,Loose ball foul by D. Waiters (drawn by G. Davis)
10:41.0,J. Redick misses 2-pt shot from 13 ft,,100-85,,
10:40.0,Offensive rebound by G. Davis,,100-85,,
10:31.0,N. Robinson misses 3-pt shot from 25 ft,,100-85,,
10:30.0,,,100-85,,Defensive rebound by D. Waiters
10:20.0,,,100-87,2,D. Waiters makes 2-pt shot from 14 ft
10:03.0,,,100-87,,Personal foul by A. Morrow (drawn by J. Redick)
9:54.0,G. Davis makes 2-pt shot from 1 ft (assist by A. Rivers),2,102-87,,
9:35.0,,,102-87,,D. Waiters misses 2-pt shot from 2 ft
9:34.0,Defensive rebound by D. Jordan,,102-87,,
9:20.0,D. Jordan misses 2-pt shot from 4 ft,,102-87,,
9:19.0,,,102-87,,Defensive rebound by M. McGary
9:07.0,,,102-87,,Turnover by D. Waiters (bad pass; steal by N. Robinson)
9:04.0,N. Robinson misses 2-pt shot from 2 ft,,102-87,,
9:02.0,Offensive rebound by J. Redick,,102-87,,
9:02.0,,,102-87,,R. Westbrook enters the game for A. Morrow
8:47.0,J. Redick misses 3-pt shot from 22 ft,,102-87,,
8:46.0,Offensive rebound by D. Jordan,,102-87,,
8:44.0,Shooting foul by S. Adams (drawn by J. Redick),,102-87,,
8:44.0,Official timeout,,102-87,,
8:44.0,,,102-87,,A. Morrow enters the game for D. Waiters
8:44.0,J. Redick makes free throw 1 of 2,1,103-87,,
8:44.0,J. Redick makes free throw 2 of 2,1,104-87,,
8:27.0,,,104-87,,R. Westbrook misses 2-pt shot from 21 ft
8:26.0,Defensive rebound by A. Rivers,,104-87,,
8:23.0,,,104-87,,Personal take foul by M. McGary (drawn by D. Jordan)
8:23.0,D. Jordan misses free throw 1 of 2,,104-87,,
8:23.0,Offensive rebound by Team,,104-87,,
8:23.0,,,104-87,,E. Kanter enters the game for M. McGary
8:23.0,D. Jordan misses free throw 2 of 2,,104-87,,
8:22.0,,,104-87,,Defensive rebound by A. Morrow
8:15.0,,,104-87,,Turnover by R. Westbrook (bad pass)
8:15.0,,,104-87,,Personal take foul by D. Augustin (drawn by D. Jordan)
8:15.0,D. Jordan misses free throw 1 of 2,,104-87,,
8:15.0,Offensive rebound by Team,,104-87,,
8:15.0,S. Hawes enters the game for G. Davis,,104-87,,
8:15.0,D. Jordan misses free throw 2 of 2,,104-87,,
8:14.0,,,104-87,,Defensive rebound by S. Adams
8:04.0,,,104-87,,E. Kanter misses 2-pt shot from 15 ft
8:04.0,,,104-87,,Offensive rebound by Team
8:04.0,Loose ball foul by N. Robinson (drawn by S. Adams),,104-87,,
7:57.0,,,104-89,2,R. Westbrook makes 2-pt shot from 12 ft
7:51.0,,,104-89,,Personal take foul by D. Augustin (drawn by D. Jordan)
7:51.0,D. Jordan makes free throw 1 of 2,1,105-89,,
7:51.0,C. Paul enters the game for N. Robinson,,105-89,,
7:51.0,D. Jordan makes free throw 2 of 2,1,106-89,,
7:41.0,,,106-91,2,A. Morrow makes 2-pt shot from 13 ft (assist by S. Adams)
7:22.0,J. Redick misses 2-pt shot from 19 ft,,106-91,,
7:21.0,Offensive rebound by D. Jordan,,106-91,,
7:09.0,S. Hawes misses 2-pt shot from 6 ft,,106-91,,
7:08.0,,,106-91,,Defensive rebound by R. Westbrook
7:04.0,,,106-91,,Shooting foul by A. Rivers (drawn by D. Augustin)
7:04.0,,,106-92,1,D. Augustin makes free throw 1 of 2
7:04.0,,,106-92,,S. Ibaka enters the game for S. Adams
7:04.0,,,106-93,1,D. Augustin makes free throw 2 of 2
