time,New Orleans,pts.away,score,pts.home,Milwaukee
3:56.0,Offensive rebound by Team,,18-19,,
3:56.0,A. Davis makes free throw 2 of 2,1,19-19,,
3:44.0,,,19-19,,Turnover by Z. Pachulia (bad pass; steal by T. Evans)
3:39.0,T. Evans misses 2-pt shot at rim,,19-19,,
3:37.0,Offensive rebound by A. Davis,,19-19,,
3:37.0,A. Davis makes 2-pt shot from 1 ft,2,21-19,,
3:16.0,,,21-21,2,G. Antetokounmpo makes 2-pt shot at rim
3:01.0,E. Gordon makes 2-pt shot from 17 ft (assist by A. Davis),2,23-21,,
2:50.0,,,23-21,,M. Carter-Williams misses 2-pt shot from 9 ft
2:50.0,Defensive rebound by Team,,23-21,,
2:50.0,,,23-21,,J. Henson enters the game for Z. Pachulia
2:50.0,A. Ajinca enters the game for O. Asik,,23-21,,
2:50.0,D. Cunningham enters the game for Q. Pondexter,,23-21,,
2:36.0,A. Davis makes 2-pt shot from 13 ft (assist by E. Gordon),2,25-21,,
2:36.0,Shooting foul by J. Dudley (drawn by A. Davis),,25-21,,
2:36.0,A. Davis makes free throw 1 of 1,1,26-21,,
2:19.0,,,26-21,,G. Antetokounmpo misses 2-pt shot from 16 ft
2:18.0,Defensive rebound by T. Evans,,26-21,,
2:10.0,A. Ajinca misses 2-pt shot at rim (block by G. Antetokounmpo),,26-21,,
2:07.0,,,26-21,,Defensive rebound by G. Antetokounmpo
2:01.0,,,26-21,,M. Carter-Williams misses 3-pt shot from 27 ft
1:58.0,Defensive rebound by D. Cunningham,,26-21,,
1:46.0,Shooting foul by J. Henson (drawn by D. Cunningham),,26-21,,
1:46.0,D. Cunningham misses free throw 1 of 2,,26-21,,
1:46.0,Offensive rebound by Team,,26-21,,
1:46.0,N. Cole enters the game for E. Gordon,,26-21,,
1:46.0,D. Cunningham makes free throw 2 of 2,1,27-21,,
1:28.0,,,27-21,,Turnover by M. Carter-Williams (bad pass)
1:28.0,,,27-21,,J. Bayless enters the game for M. Carter-Williams
1:11.0,A. Davis makes 2-pt shot from 17 ft,2,29-21,,
1:00.0,,,29-23,2,K. Middleton makes 2-pt shot from 16 ft (assist by J. Bayless)
0:47.0,T. Evans misses 3-pt shot from 26 ft,,29-23,,
0:46.0,Offensive rebound by T. Evans,,29-23,,
0:42.0,D. Cunningham misses 2-pt shot from 1 ft (block by J. Henson),,29-23,,
0:40.0,,,29-23,,Defensive rebound by J. Henson
0:32.0,,,29-26,3,K. Middleton makes 3-pt shot from 22 ft (assist by J. Dudley)
0:12.0,Turnover by T. Evans (bad pass),,29-26,,
0:00.0,,,29-26,,J. Henson misses 2-pt shot from 17 ft
0:00.0,,,29-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,29-26,,J. Henson misses 2-pt shot at rim
11:47.0,Defensive rebound by L. Babbitt,,29-26,,
11:31.0,A. Davis misses 2-pt shot from 7 ft,,29-26,,
11:29.0,Offensive rebound by A. Ajinca,,29-26,,
11:27.0,A. Ajinca makes 2-pt shot from 5 ft,2,31-26,,
11:07.0,,,31-26,,J. Henson misses 2-pt shot at rim
11:06.0,,,31-26,,Offensive rebound by J. Henson
11:06.0,,,31-28,2,J. Henson makes 2-pt shot at rim
10:47.0,A. Davis makes 2-pt shot from 18 ft (assist by N. Cole),2,33-28,,
10:32.0,Shooting block foul by A. Ajinca (drawn by J. Henson),,33-28,,
10:32.0,,,33-28,,J. Henson misses free throw 1 of 2
10:32.0,,,33-28,,Offensive rebound by Team
10:32.0,E. Williams enters the game for A. Davis,,33-28,,
10:32.0,,,33-28,,J. Henson misses free throw 2 of 2
10:31.0,Defensive rebound by D. Cunningham,,33-28,,
10:15.0,E. Williams makes 3-pt shot from 23 ft (assist by N. Cole),3,36-28,,
9:56.0,,,36-28,,K. Middleton misses 2-pt shot from 5 ft
9:55.0,Defensive rebound by A. Ajinca,,36-28,,
9:44.0,A. Ajinca misses 2-pt shot from 18 ft,,36-28,,
9:43.0,,,36-28,,Defensive rebound by J. Bayless
9:27.0,,,36-28,,C. Johnson misses 3-pt shot from 23 ft
9:26.0,,,36-28,,Offensive rebound by C. Johnson
9:23.0,,,36-28,,K. Middleton misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by A. Ajinca,,36-28,,
9:00.0,N. Cole makes 3-pt shot from 28 ft (assist by E. Williams),3,39-28,,
8:44.0,,,39-28,,Offensive foul by J. Dudley
8:44.0,,,39-28,,Turnover by J. Dudley (offensive foul)
8:44.0,Official timeout,,39-28,,
8:44.0,,,39-28,,T. Ennis enters the game for K. Middleton
8:28.0,A. Ajinca misses 2-pt shot from 9 ft,,39-28,,
8:27.0,Offensive rebound by D. Cunningham,,39-28,,
8:24.0,A. Ajinca makes 2-pt shot at rim (assist by D. Cunningham),2,41-28,,
8:00.0,,,41-28,,Turnover by T. Ennis (lost ball; steal by N. Cole)
7:48.0,Turnover by A. Ajinca (3 sec),,41-28,,
7:35.0,Personal foul by E. Williams (drawn by J. Bayless),,41-28,,
7:25.0,,,41-31,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Bayless)
7:12.0,Turnover by N. Cole (bad pass; steal by J. Dudley),,41-31,,
7:09.0,Shooting block foul by D. Cunningham (drawn by J. Dudley),,41-31,,
7:09.0,,,41-32,1,J. Dudley makes free throw 1 of 2
7:09.0,,,41-33,1,J. Dudley makes free throw 2 of 2
6:47.0,Turnover by N. Cole (bad pass; steal by J. Bayless),,41-33,,
6:44.0,,,41-35,2,J. Bayless makes 2-pt shot at rim
6:41.0,New Orleans full timeout,,41-35,,
6:41.0,Q. Pondexter enters the game for L. Babbitt,,41-35,,
6:22.0,N. Cole misses 2-pt shot from 5 ft,,41-35,,
6:20.0,,,41-35,,Defensive rebound by J. Henson
6:14.0,,,41-35,,Offensive foul by J. Dudley
6:14.0,,,41-35,,Turnover by J. Dudley (offensive foul)
6:14.0,,,41-35,,G. Antetokounmpo enters the game for J. Dudley
5:55.0,E. Williams misses 3-pt shot from 25 ft,,41-35,,
5:54.0,,,41-35,,Defensive rebound by T. Ennis
5:34.0,,,41-37,2,T. Ennis makes 2-pt shot at rim
5:17.0,N. Cole misses 2-pt shot from 16 ft,,41-37,,
5:16.0,,,41-37,,Defensive rebound by Team
5:16.0,Loose ball foul by A. Ajinca (drawn by G. Antetokounmpo),,41-37,,
5:16.0,E. Gordon enters the game for E. Williams,,41-37,,
5:16.0,A. Davis enters the game for A. Ajinca,,41-37,,
4:58.0,,,41-37,,Turnover by G. Antetokounmpo (3 sec)
4:37.0,A. Davis makes 2-pt shot from 18 ft (assist by D. Cunningham),2,43-37,,
4:23.0,,,43-37,,J. Bayless misses 2-pt shot from 16 ft
4:22.0,Defensive rebound by D. Cunningham,,43-37,,
4:13.0,,,43-37,,M. Carter-Williams enters the game for J. Bayless
4:13.0,T. Evans enters the game for N. Cole,,43-37,,
4:13.0,O. Asik enters the game for D. Cunningham,,43-37,,
4:03.0,Turnover by O. Asik (bad pass),,43-37,,
3:47.0,,,43-37,,M. Carter-Williams misses 2-pt shot from 4 ft (block by O. Asik)
3:45.0,Defensive rebound by O. Asik,,43-37,,
3:39.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by T. Evans),3,46-37,,
3:28.0,,,46-37,,T. Ennis misses 2-pt shot from 8 ft
3:27.0,,,46-37,,Offensive rebound by J. Henson
3:23.0,,,46-39,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Ennis)
3:05.0,,,46-39,,Shooting block foul by C. Johnson (drawn by O. Asik)
3:05.0,O. Asik makes free throw 1 of 2,1,47-39,,
3:05.0,,,47-39,,Z. Pachulia enters the game for J. Henson
3:05.0,,,47-39,,K. Middleton enters the game for T. Ennis
3:05.0,O. Asik makes free throw 2 of 2,1,48-39,,
2:55.0,,,48-39,,Shooting foul by A. Davis (drawn by G. Antetokounmpo)
2:55.0,,,48-39,,Milwaukee full timeout
2:55.0,,,48-40,1,G. Antetokounmpo makes free throw 1 of 2
2:55.0,,,48-41,1,G. Antetokounmpo makes free throw 2 of 2
2:39.0,E. Gordon makes 3-pt shot from 24 ft (assist by A. Davis),3,51-41,,
2:19.0,,,51-43,2,K. Middleton makes 2-pt shot from 13 ft
2:04.0,,,51-43,,Personal foul by G. Antetokounmpo (drawn by A. Davis)
1:58.0,E. Gordon makes 3-pt shot from 23 ft (assist by T. Evans),3,54-43,,
1:40.0,,,54-46,3,C. Johnson makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
1:22.0,T. Evans makes 2-pt shot at rim,2,56-46,,
0:59.0,,,56-48,2,M. Carter-Williams makes 2-pt shot from 2 ft (assist by C. Johnson)
0:39.0,A. Davis misses 2-pt shot from 17 ft,,56-48,,
0:36.0,Offensive rebound by A. Davis,,56-48,,
0:36.0,A. Davis makes 2-pt shot at rim,2,58-48,,
0:24.0,,,58-50,2,M. Carter-Williams makes 2-pt shot from 17 ft
0:02.0,T. Evans makes 2-pt shot from 1 ft,2,60-50,,
0:00.0,,,60-50,,G. Antetokounmpo misses 3-pt shot from 41 ft
0:00.0,,,60-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,60-50,,Turnover by K. Middleton (bad pass; steal by A. Davis)
11:38.0,T. Evans misses 2-pt shot at rim,,60-50,,
11:37.0,,,60-50,,Defensive rebound by Z. Pachulia
11:20.0,,,60-52,2,E. Ilyasova makes 2-pt shot from 16 ft
11:02.0,Turnover by A. Davis (lost ball; steal by K. Middleton),,60-52,,
11:01.0,Personal foul by T. Evans (drawn by K. Middleton),,60-52,,
10:55.0,,,60-54,2,M. Carter-Williams makes 2-pt shot from 16 ft (assist by Z. Pachulia)
10:33.0,Shooting foul by Z. Pachulia (drawn by A. Davis),,60-54,,
10:33.0,A. Davis makes free throw 1 of 2,1,61-54,,
10:33.0,A. Davis makes free throw 2 of 2,1,62-54,,
10:22.0,,,62-54,,Turnover by K. Middleton (bad pass; steal by E. Gordon)
10:12.0,Q. Pondexter misses 3-pt shot from 26 ft,,62-54,,
10:10.0,Offensive rebound by A. Davis,,62-54,,
10:02.0,Q. Pondexter makes 3-pt shot from 22 ft (assist by A. Davis),3,65-54,,
9:51.0,,,65-56,2,M. Carter-Williams makes 2-pt shot from 19 ft
9:29.0,Turnover by Q. Pondexter (lost ball; steal by G. Antetokounmpo),,65-56,,
9:26.0,,,65-56,,Turnover by M. Carter-Williams (bad pass)
9:13.0,Turnover by A. Davis (lost ball; steal by Z. Pachulia),,65-56,,
9:08.0,,,65-58,2,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia)
8:47.0,Turnover by A. Davis (bad pass; steal by M. Carter-Williams),,65-58,,
8:46.0,Personal foul by Q. Pondexter (drawn by M. Carter-Williams),,65-58,,
8:33.0,,,65-60,2,M. Carter-Williams makes 2-pt shot from 13 ft
8:21.0,T. Evans makes 2-pt shot at rim,2,67-60,,
8:02.0,,,67-60,,Shooting foul by Q. Pondexter (drawn by G. Antetokounmpo)
8:02.0,,,67-62,2,G. Antetokounmpo makes 2-pt shot at rim
8:02.0,,,67-63,1,G. Antetokounmpo makes free throw 1 of 1
7:42.0,T. Evans makes 2-pt shot at rim,2,69-63,,
7:23.0,Shooting block foul by E. Gordon (drawn by K. Middleton),,69-63,,
7:23.0,,,69-64,1,K. Middleton makes free throw 1 of 2
7:23.0,,,69-65,1,K. Middleton makes free throw 2 of 2
7:04.0,E. Gordon misses 2-pt shot from 18 ft,,69-65,,
7:03.0,Offensive rebound by Team,,69-65,,
7:03.0,,,69-65,,Loose ball foul by K. Middleton (drawn by O. Asik)
6:51.0,T. Evans makes 2-pt shot from 1 ft,2,71-65,,
6:41.0,Personal foul by T. Evans (drawn by M. Carter-Williams),,71-65,,
6:41.0,,,71-66,1,M. Carter-Williams makes free throw 1 of 2
6:41.0,,,71-67,1,M. Carter-Williams makes free throw 2 of 2
6:34.0,Turnover by T. Evans (traveling),,71-67,,
6:20.0,,,71-67,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by A. Davis)
6:20.0,,,71-67,,Offensive rebound by G. Antetokounmpo
6:20.0,,,71-67,,Shooting foul by O. Asik (drawn by G. Antetokounmpo)
6:20.0,,,71-68,1,G. Antetokounmpo makes free throw 1 of 2
6:20.0,,,71-69,1,G. Antetokounmpo makes free throw 2 of 2
6:00.0,A. Davis makes 2-pt shot from 15 ft (assist by E. Gordon),2,73-69,,
5:45.0,,,73-71,2,G. Antetokounmpo makes 2-pt shot at rim
5:24.0,A. Davis makes 2-pt shot from 3 ft,2,75-71,,
5:17.0,,,75-71,,G. Antetokounmpo misses 2-pt shot from 1 ft
5:15.0,,,75-71,,Offensive rebound by G. Antetokounmpo
5:15.0,,,75-71,,G. Antetokounmpo misses 2-pt shot from 1 ft
5:14.0,Defensive rebound by O. Asik,,75-71,,
4:58.0,A. Davis makes 2-pt shot from 16 ft,2,77-71,,
4:58.0,,,77-71,,Milwaukee full timeout
4:58.0,,,77-71,,J. Henson enters the game for Z. Pachulia
4:58.0,D. Cunningham enters the game for Q. Pondexter,,77-71,,
4:36.0,,,77-71,,M. Carter-Williams misses 2-pt shot from 14 ft
4:35.0,Defensive rebound by T. Evans,,77-71,,
4:28.0,Turnover by E. Gordon (bad pass; steal by E. Ilyasova),,77-71,,
4:25.0,,,77-71,,Shooting foul by T. Evans (drawn by M. Carter-Williams)
4:25.0,,,77-72,1,M. Carter-Williams makes free throw 1 of 2
4:25.0,,,77-73,1,M. Carter-Williams makes free throw 2 of 2
4:10.0,,,77-73,,Personal foul by M. Carter-Williams (drawn by T. Evans)
4:10.0,A. Ajinca enters the game for O. Asik,,77-73,,
3:55.0,D. Cunningham misses 3-pt shot from 25 ft,,77-73,,
3:54.0,Offensive rebound by A. Davis,,77-73,,
3:54.0,A. Davis misses 2-pt shot at rim,,77-73,,
3:52.0,,,77-73,,Defensive rebound by M. Carter-Williams
3:46.0,,,77-75,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
3:28.0,Turnover by E. Gordon (bad pass; steal by G. Antetokounmpo),,77-75,,
3:20.0,,,77-77,2,K. Middleton makes 2-pt shot from 16 ft (assist by G. Antetokounmpo)
3:00.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans),2,79-77,,
2:37.0,,,79-79,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
2:10.0,Shooting foul by G. Antetokounmpo (drawn by A. Davis),,79-79,,
2:10.0,New Orleans full timeout,,79-79,,
2:10.0,N. Cole enters the game for E. Gordon,,79-79,,
2:10.0,,,79-79,,J. Bayless enters the game for K. Middleton
2:10.0,A. Davis makes free throw 1 of 2,1,80-79,,
2:10.0,A. Davis makes free throw 2 of 2,1,81-79,,
1:50.0,Jump ball: G. Antetokounmpo vs. D. Cunningham (M. Carter-Williams gains possession),,,,Jump ball: G. Antetokounmpo vs. D. Cunningham (M. Carter-Williams gains possession)
1:45.0,,,81-79,,Shooting foul by A. Davis (drawn by M. Carter-Williams)
1:45.0,,,81-79,,M. Carter-Williams misses free throw 1 of 2
1:45.0,,,81-79,,Offensive rebound by Team
1:45.0,,,81-80,1,M. Carter-Williams makes free throw 2 of 2
1:27.0,D. Cunningham makes 2-pt shot from 19 ft (assist by N. Cole),2,83-80,,
1:23.0,Personal take foul by D. Cunningham (drawn by G. Antetokounmpo),,83-80,,
1:23.0,New Orleans full timeout,,83-80,,
1:23.0,E. Williams enters the game for T. Evans,,83-80,,
1:23.0,,,83-81,1,G. Antetokounmpo makes free throw 1 of 2
1:23.0,,,83-82,1,G. Antetokounmpo makes free throw 2 of 2
1:01.0,,,83-82,,Violation by J. Henson (def goaltending)
1:01.0,A. Ajinca makes 2-pt shot at rim (assist by N. Cole),2,85-82,,
0:46.0,,,85-82,,Shooting foul by E. Williams (drawn by M. Carter-Williams)
0:46.0,,,85-83,1,M. Carter-Williams makes free throw 1 of 2
0:46.0,,,85-84,1,M. Carter-Williams makes free throw 2 of 2
0:34.0,A. Davis misses 2-pt shot from 9 ft (block by J. Henson),,85-84,,
0:34.0,Offensive rebound by Team,,85-84,,
0:29.0,N. Cole makes 2-pt shot from 17 ft (assist by A. Davis),2,87-84,,
0:16.0,,,87-84,,M. Carter-Williams misses 2-pt shot from 14 ft
0:15.0,Defensive rebound by N. Cole,,87-84,,
0:04.0,,,87-84,,Violation by E. Ilyasova (kicked ball)
0:00.0,E. Williams misses 3-pt shot from 42 ft,,87-84,,
0:00.0,Offensive rebound by Team,,87-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Ajinca misses 2-pt shot from 3 ft,,87-84,,
11:38.0,,,87-84,,Defensive rebound by K. Middleton
11:19.0,,,87-84,,K. Middleton misses 2-pt shot from 9 ft
11:17.0,,,87-84,,Offensive rebound by J. Henson
11:15.0,,,87-86,2,J. Henson makes 2-pt shot from 7 ft
10:51.0,N. Cole makes 2-pt shot from 17 ft (assist by A. Davis),2,89-86,,
10:27.0,,,89-86,,Shooting foul by E. Williams (drawn by J. Henson)
10:27.0,,,89-87,1,J. Henson makes free throw 1 of 2
10:27.0,,,89-87,,J. Henson misses free throw 2 of 2
10:25.0,Defensive rebound by D. Cunningham,,89-87,,
10:08.0,E. Williams makes 3-pt shot from 25 ft,3,92-87,,
9:57.0,,,92-87,,Shooting foul by A. Ajinca (drawn by J. Henson)
9:57.0,,,92-88,1,J. Henson makes free throw 1 of 2
9:57.0,L. Babbitt enters the game for A. Davis,,92-88,,
9:57.0,,,92-89,1,J. Henson makes free throw 2 of 2
9:37.0,E. Williams makes 2-pt shot at rim,2,94-89,,
9:16.0,,,94-89,,C. Johnson misses 2-pt shot at rim
9:15.0,Defensive rebound by N. Cole,,94-89,,
8:57.0,N. Cole misses 2-pt shot at rim,,94-89,,
8:55.0,,,94-89,,Defensive rebound by J. Bayless
8:54.0,,,94-89,,Shooting foul by D. Cunningham (drawn by K. Middleton)
8:54.0,Official timeout,,94-89,,
8:54.0,,,94-89,,K. Middleton misses free throw 1 of 2
8:54.0,,,94-89,,Offensive rebound by Team
8:54.0,,,94-90,1,K. Middleton makes free throw 2 of 2
8:39.0,L. Babbitt makes 2-pt shot at rim,2,96-90,,
8:21.0,,,96-90,,Turnover by K. Middleton (bad pass; steal by A. Ajinca)
8:06.0,A. Ajinca misses 2-pt shot at rim,,96-90,,
8:04.0,,,96-90,,Defensive rebound by Team
7:52.0,,,96-90,,Turnover by J. Bayless (traveling)
7:52.0,A. Davis enters the game for A. Ajinca,,96-90,,
7:52.0,,,96-90,,G. Antetokounmpo enters the game for J. Dudley
7:30.0,A. Davis makes 2-pt shot from 9 ft (assist by L. Babbitt),2,98-90,,
7:05.0,,,98-90,,J. Bayless misses 3-pt shot from 26 ft
7:03.0,,,98-90,,Offensive rebound by C. Johnson
7:02.0,,,98-92,2,C. Johnson makes 2-pt shot from 1 ft
6:47.0,N. Cole misses 2-pt shot at rim,,98-92,,
6:45.0,,,98-92,,Defensive rebound by C. Johnson
6:41.0,,,98-94,2,C. Johnson makes 2-pt shot at rim
6:20.0,A. Davis misses 2-pt shot from 18 ft,,98-94,,
6:19.0,,,98-94,,Defensive rebound by G. Antetokounmpo
6:14.0,,,98-94,,Turnover by G. Antetokounmpo (palming)
6:14.0,,,98-94,,M. Carter-Williams enters the game for C. Johnson
6:14.0,E. Gordon enters the game for L. Babbitt,,98-94,,
6:02.0,E. Gordon misses 3-pt shot from 23 ft,,98-94,,
6:00.0,,,98-94,,Defensive rebound by J. Henson
5:51.0,,,98-94,,Shooting foul by A. Davis (drawn by J. Henson)
5:51.0,,,98-94,,Milwaukee full timeout
5:51.0,O. Asik enters the game for D. Cunningham,,98-94,,
5:51.0,Q. Pondexter enters the game for E. Williams,,98-94,,
5:51.0,,,98-95,1,J. Henson makes free throw 1 of 2
5:51.0,,,98-95,,J. Henson misses free throw 2 of 2
5:50.0,Defensive rebound by A. Davis,,98-95,,
5:29.0,E. Gordon misses 2-pt shot at rim,,98-95,,
5:28.0,Offensive rebound by E. Gordon,,98-95,,
5:26.0,Turnover by Team (shot clock),,98-95,,
5:19.0,Personal foul by E. Gordon (drawn by M. Carter-Williams),,98-95,,
5:19.0,,,98-96,1,M. Carter-Williams makes free throw 1 of 2
5:19.0,,,98-97,1,M. Carter-Williams makes free throw 2 of 2
5:08.0,,,98-97,,Shooting block foul by M. Carter-Williams (drawn by A. Davis)
5:08.0,A. Davis makes free throw 1 of 2,1,99-97,,
5:08.0,A. Davis misses free throw 2 of 2,,99-97,,
5:06.0,,,99-97,,Defensive rebound by J. Henson
4:52.0,,,99-97,,M. Carter-Williams misses 2-pt shot from 6 ft
4:50.0,Defensive rebound by O. Asik,,99-97,,
4:38.0,Shooting foul by J. Henson (drawn by E. Gordon),,99-97,,
4:38.0,E. Gordon makes free throw 1 of 2,1,100-97,,
4:38.0,E. Gordon misses free throw 2 of 2,,100-97,,
4:37.0,,,100-97,,Defensive rebound by K. Middleton
4:21.0,,,100-99,2,G. Antetokounmpo makes 2-pt shot at rim
4:00.0,E. Gordon misses 2-pt shot at rim (block by G. Antetokounmpo),,100-99,,
4:00.0,,,100-99,,Defensive rebound by Team
3:36.0,,,100-101,2,G. Antetokounmpo makes 2-pt shot from 8 ft
3:16.0,A. Davis makes 2-pt shot from 20 ft (assist by E. Gordon),2,102-101,,
2:53.0,,,102-101,,M. Carter-Williams misses 3-pt shot from 27 ft
2:51.0,Defensive rebound by E. Gordon,,102-101,,
2:33.0,A. Davis makes 2-pt shot from 8 ft,2,104-101,,
2:11.0,,,104-103,2,M. Carter-Williams makes 2-pt shot from 5 ft (assist by G. Antetokounmpo)
2:04.0,New Orleans full timeout,,104-103,,
1:52.0,Shooting foul by J. Henson (drawn by A. Davis),,104-103,,
1:52.0,A. Davis makes free throw 1 of 2,1,105-103,,
1:52.0,A. Davis makes free throw 2 of 2,1,106-103,,
1:36.0,,,106-103,,M. Carter-Williams misses 2-pt shot from 13 ft
1:35.0,Defensive rebound by O. Asik,,106-103,,
1:19.0,Turnover by E. Gordon (bad pass),,106-103,,
1:19.0,D. Cunningham enters the game for E. Gordon,,106-103,,
1:06.0,,,106-103,,Turnover by M. Carter-Williams (bad pass; steal by O. Asik)
0:51.0,A. Davis makes 2-pt shot from 19 ft (assist by D. Cunningham),2,108-103,,
0:43.0,,,108-103,,K. Middleton misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by Q. Pondexter,,108-103,,
0:39.0,New Orleans full timeout,,108-103,,
0:39.0,E. Gordon enters the game for D. Cunningham,,108-103,,
0:38.0,,,108-103,,Personal take foul by J. Bayless (drawn by N. Cole)
0:38.0,N. Cole makes free throw 1 of 2,1,109-103,,
0:38.0,D. Cunningham enters the game for E. Gordon,,109-103,,
0:38.0,N. Cole makes free throw 2 of 2,1,110-103,,
0:38.0,,,110-103,,Milwaukee full timeout
0:38.0,,,110-103,,J. Dudley enters the game for G. Antetokounmpo
0:38.0,,,110-103,,C. Johnson enters the game for M. Carter-Williams
0:32.0,,,110-103,,J. Dudley misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by A. Davis,,110-103,,
0:32.0,,,110-103,,Personal foul by J. Bayless (drawn by N. Cole)
0:32.0,N. Cole makes free throw 1 of 2,1,111-103,,
0:32.0,N. Cole makes free throw 2 of 2,1,112-103,,
0:25.0,,,112-103,,K. Middleton misses 3-pt shot from 25 ft
