time,New Orleans,pts.away,score,pts.home,Golden State
6:37.0,,,5-14,2,A. Bogut makes 2-pt shot from 1 ft
6:20.0,,,5-14,,Personal foul by S. Curry (drawn by Q. Pondexter)
6:20.0,,,5-14,,A. Iguodala enters the game for H. Barnes
6:06.0,E. Gordon makes 3-pt shot from 27 ft,3,8-14,,
5:46.0,Personal foul by Q. Pondexter (drawn by S. Curry),,8-14,,
5:37.0,,,8-14,,S. Curry misses 3-pt shot from 26 ft
5:36.0,Defensive rebound by O. Asik,,8-14,,
5:26.0,T. Evans misses 2-pt shot from 21 ft,,8-14,,
5:25.0,,,8-14,,Defensive rebound by Team
5:11.0,,,8-16,2,S. Curry makes 2-pt shot from 2 ft
4:46.0,E. Gordon misses 2-pt shot from 13 ft,,8-16,,
4:45.0,,,8-16,,Defensive rebound by A. Bogut
4:38.0,,,8-16,,Offensive foul by D. Green
4:38.0,,,8-16,,Turnover by D. Green (offensive foul)
4:38.0,,,8-16,,L. Barbosa enters the game for K. Thompson
4:38.0,J. Holiday enters the game for Q. Pondexter,,8-16,,
4:31.0,,,8-16,,Personal foul by L. Barbosa (drawn by E. Gordon)
4:19.0,A. Davis misses 2-pt shot from 17 ft,,8-16,,
4:18.0,,,8-16,,Defensive rebound by A. Iguodala
4:11.0,,,8-16,,A. Bogut misses 2-pt shot from 6 ft (block by A. Davis)
4:10.0,,,8-16,,Offensive rebound by Team
4:10.0,N. Cole enters the game for E. Gordon,,8-16,,
4:02.0,,,8-16,,D. Green misses 3-pt shot from 28 ft
4:01.0,,,8-16,,Offensive rebound by L. Barbosa
3:57.0,,,8-18,2,A. Iguodala makes 2-pt shot at rim (assist by A. Bogut)
3:50.0,J. Holiday misses 3-pt shot from 27 ft,,8-18,,
3:49.0,,,8-18,,Defensive rebound by Team
3:49.0,R. Anderson enters the game for O. Asik,,8-18,,
3:28.0,,,8-18,,S. Curry misses 2-pt shot from 17 ft
3:26.0,Defensive rebound by R. Anderson,,8-18,,
3:18.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Holiday),3,11-18,,
3:10.0,Personal foul by N. Cole (drawn by L. Barbosa),,11-18,,
3:10.0,,,11-18,,Golden State full timeout
3:10.0,,,11-18,,H. Barnes enters the game for A. Bogut
2:57.0,,,11-18,,D. Green misses 2-pt shot from 5 ft (block by A. Davis)
2:54.0,Defensive rebound by T. Evans,,11-18,,
2:49.0,N. Cole misses 3-pt shot from 23 ft,,11-18,,
2:48.0,,,11-18,,Defensive rebound by Team
2:48.0,Loose ball foul by A. Davis (drawn by A. Iguodala),,11-18,,
2:32.0,,,11-21,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Green)
2:06.0,R. Anderson misses 2-pt shot from 13 ft,,11-21,,
2:05.0,,,11-21,,Defensive rebound by L. Barbosa
1:48.0,,,11-21,,S. Curry misses 2-pt shot from 4 ft
1:46.0,,,11-21,,Offensive rebound by H. Barnes
1:46.0,,,11-23,2,H. Barnes makes 2-pt shot at rim
1:30.0,T. Evans misses 2-pt shot from 4 ft,,11-23,,
1:29.0,,,11-23,,Defensive rebound by A. Iguodala
1:27.0,,,11-23,,Shooting foul by R. Anderson (drawn by A. Iguodala)
1:27.0,,,11-24,1,A. Iguodala makes free throw 1 of 2
1:27.0,,,11-24,,F. Ezeli enters the game for D. Green
1:27.0,D. Cunningham enters the game for T. Evans,,11-24,,
1:27.0,A. Ajinca enters the game for A. Davis,,11-24,,
1:27.0,,,11-24,,A. Iguodala misses free throw 2 of 2
1:25.0,Defensive rebound by N. Cole,,11-24,,
1:11.0,J. Holiday misses 2-pt shot from 8 ft,,11-24,,
1:10.0,,,11-24,,Defensive rebound by H. Barnes
0:56.0,,,11-26,2,S. Curry makes 2-pt shot from 2 ft
0:41.0,D. Cunningham misses 2-pt shot from 20 ft,,11-26,,
0:39.0,,,11-26,,Defensive rebound by S. Curry
0:32.0,,,11-26,,S. Curry misses 3-pt shot from 29 ft
0:31.0,Defensive rebound by R. Anderson,,11-26,,
0:10.0,A. Ajinca makes 2-pt shot from 8 ft (assist by J. Holiday),2,13-26,,
0:01.0,,,13-26,,Shooting foul by A. Ajinca (drawn by F. Ezeli)
0:01.0,,,13-27,1,F. Ezeli makes free throw 1 of 2
0:01.0,,,13-28,1,F. Ezeli makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,13-28,,Turnover by F. Ezeli (lost ball; steal by A. Ajinca)
11:46.0,N. Cole makes 2-pt shot at rim (assist by A. Ajinca),2,15-28,,
11:24.0,,,15-28,,A. Iguodala misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by N. Cole,,15-28,,
11:08.0,A. Ajinca makes 2-pt shot from 4 ft (assist by J. Holiday),2,17-28,,
10:44.0,,,17-28,,H. Barnes misses 2-pt shot from 9 ft
10:42.0,Defensive rebound by A. Ajinca,,17-28,,
10:32.0,A. Ajinca makes 2-pt shot from 12 ft (assist by N. Cole),2,19-28,,
10:13.0,,,19-28,,Turnover by K. Thompson (lost ball)
10:13.0,,,19-28,,D. Green enters the game for F. Ezeli
10:01.0,N. Cole makes 2-pt shot from 2 ft,2,21-28,,
9:46.0,,,21-28,,Shooting foul by N. Cole (drawn by K. Thompson)
9:46.0,,,21-30,2,K. Thompson makes 2-pt shot from 2 ft
9:46.0,A. Davis enters the game for A. Ajinca,,21-30,,
9:46.0,E. Gordon enters the game for J. Holiday,,21-30,,
9:46.0,,,21-31,1,K. Thompson makes free throw 1 of 1
9:30.0,R. Anderson misses 2-pt shot from 12 ft,,21-31,,
9:29.0,,,21-31,,Defensive rebound by D. Green
9:22.0,,,21-34,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
9:05.0,N. Cole makes 2-pt shot from 19 ft,2,23-34,,
8:48.0,,,23-34,,K. Thompson misses 2-pt shot from 16 ft
8:46.0,Defensive rebound by D. Cunningham,,23-34,,
8:32.0,A. Davis makes 2-pt shot at rim (assist by N. Cole),2,25-34,,
8:24.0,,,25-34,,Golden State full timeout
8:24.0,,,25-34,,A. Bogut enters the game for H. Barnes
8:13.0,,,25-34,,S. Livingston misses 2-pt shot from 14 ft
8:11.0,Defensive rebound by A. Davis,,25-34,,
7:57.0,Shooting foul by K. Thompson (drawn by A. Davis),,25-34,,
7:57.0,A. Davis makes free throw 1 of 2,1,26-34,,
7:57.0,Q. Pondexter enters the game for D. Cunningham,,26-34,,
7:57.0,A. Davis misses free throw 2 of 2,,26-34,,
7:55.0,,,26-34,,Defensive rebound by A. Iguodala
7:41.0,,,26-36,2,K. Thompson makes 2-pt shot from 2 ft (assist by A. Iguodala)
7:26.0,E. Gordon makes 3-pt shot from 26 ft (assist by N. Cole),3,29-36,,
6:58.0,,,29-38,2,D. Green makes 2-pt shot from 6 ft (assist by A. Bogut)
6:35.0,A. Davis misses 2-pt shot from 13 ft,,29-38,,
6:34.0,,,29-38,,Defensive rebound by D. Green
6:30.0,,,29-40,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
6:18.0,Shooting foul by A. Bogut (drawn by A. Davis),,29-40,,
6:18.0,A. Davis makes free throw 1 of 2,1,30-40,,
6:18.0,O. Asik enters the game for R. Anderson,,30-40,,
6:18.0,T. Evans enters the game for N. Cole,,30-40,,
6:18.0,,,30-40,,S. Curry enters the game for A. Iguodala
6:18.0,A. Davis makes free throw 2 of 2,1,31-40,,
6:04.0,,,31-42,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut)
5:41.0,Q. Pondexter makes 3-pt shot from 26 ft (assist by E. Gordon),3,34-42,,
5:28.0,,,34-42,,D. Green misses 2-pt shot from 4 ft
5:26.0,Defensive rebound by O. Asik,,34-42,,
5:17.0,Turnover by E. Gordon (bad pass),,34-42,,
5:17.0,Official timeout,,34-42,,
5:17.0,N. Cole enters the game for T. Evans,,34-42,,
5:07.0,,,34-44,2,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson)
5:00.0,,,34-44,,Personal foul by A. Bogut (drawn by O. Asik)
4:47.0,A. Davis makes 2-pt shot at rim (assist by O. Asik),2,36-44,,
4:27.0,,,36-44,,Turnover by S. Livingston (lost ball; steal by O. Asik)
4:17.0,Q. Pondexter makes 3-pt shot from 25 ft (assist by E. Gordon),3,39-44,,
3:57.0,,,39-46,2,A. Bogut makes 2-pt shot from 5 ft
3:57.0,Technical foul by Q. Pondexter,,39-46,,
3:57.0,,,39-46,,S. Curry misses technical free throw
3:57.0,Offensive rebound by Team,,39-46,,
3:57.0,,,39-46,,H. Barnes enters the game for S. Livingston
3:42.0,E. Gordon misses 2-pt shot from 19 ft,,39-46,,
3:41.0,,,39-46,,Defensive rebound by D. Green
3:35.0,Personal foul by O. Asik (drawn by D. Green),,39-46,,
3:35.0,J. Holiday enters the game for N. Cole,,39-46,,
3:24.0,,,39-48,2,H. Barnes makes 2-pt shot from 7 ft (assist by S. Curry)
3:09.0,Turnover by A. Davis (lost ball),,39-48,,
2:56.0,,,39-48,,S. Curry misses 3-pt shot from 27 ft
2:56.0,Defensive rebound by O. Asik,,39-48,,
2:52.0,Turnover by J. Holiday (bad pass; steal by S. Curry),,39-48,,
2:46.0,,,39-48,,H. Barnes misses 2-pt shot from 17 ft
2:45.0,Defensive rebound by Q. Pondexter,,39-48,,
2:29.0,J. Holiday misses 2-pt shot from 10 ft,,39-48,,
2:28.0,Offensive rebound by J. Holiday,,39-48,,
2:19.0,Q. Pondexter misses 2-pt shot from 10 ft,,39-48,,
2:19.0,,,39-48,,Defensive rebound by Team
2:19.0,Loose ball foul by O. Asik (drawn by A. Bogut),,39-48,,
2:19.0,New Orleans full timeout,,39-48,,
2:06.0,,,39-51,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
1:51.0,,,39-51,,L. Barbosa enters the game for K. Thompson
1:51.0,R. Anderson enters the game for O. Asik,,39-51,,
1:42.0,Turnover by A. Davis (lost ball; steal by D. Green),,39-51,,
1:35.0,,,39-53,2,S. Curry makes 2-pt shot from 5 ft
1:35.0,,,39-53,,Shooting foul by R. Anderson (drawn by S. Curry)
1:35.0,,,39-54,1,S. Curry makes free throw 1 of 1
1:19.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday),2,41-54,,
1:06.0,,,41-54,,D. Green misses 2-pt shot from 2 ft
1:05.0,,,41-54,,Offensive rebound by A. Bogut
1:05.0,,,41-56,2,A. Bogut makes 2-pt shot at rim
0:56.0,A. Davis misses 2-pt shot from 7 ft,,41-56,,
0:55.0,,,41-56,,Defensive rebound by D. Green
0:50.0,,,41-56,,Turnover by D. Green (lost ball; steal by Q. Pondexter)
0:39.0,Turnover by J. Holiday (lost ball; steal by A. Bogut),,41-56,,
0:34.0,,,41-58,2,S. Curry makes 2-pt shot from 2 ft
0:34.0,,,41-58,,Shooting foul by A. Davis (drawn by S. Curry)
0:34.0,,,41-58,,A. Iguodala enters the game for A. Bogut
0:34.0,N. Cole enters the game for J. Holiday,,41-58,,
0:34.0,,,41-59,1,S. Curry makes free throw 1 of 1
0:19.0,N. Cole misses 2-pt shot from 18 ft,,41-59,,
0:18.0,,,41-59,,Defensive rebound by L. Barbosa
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Personal foul by Q. Pondexter (drawn by S. Curry),,41-59,,
11:34.0,,,41-59,,K. Thompson misses 2-pt shot from 18 ft
11:32.0,Defensive rebound by Team,,41-59,,
11:16.0,A. Davis makes 2-pt shot from 9 ft (assist by N. Cole),2,43-59,,
11:04.0,,,43-59,,H. Barnes misses 2-pt shot from 7 ft
11:03.0,,,43-59,,Offensive rebound by A. Bogut
11:03.0,,,43-61,2,A. Bogut makes 2-pt shot from 2 ft
10:45.0,,,43-61,,Personal foul by S. Curry (drawn by N. Cole)
10:38.0,E. Gordon misses 2-pt shot from 13 ft,,43-61,,
10:37.0,,,43-61,,Defensive rebound by A. Bogut
10:26.0,,,43-61,,K. Thompson misses 2-pt shot from 11 ft
10:24.0,Defensive rebound by O. Asik,,43-61,,
10:13.0,Offensive foul by A. Davis,,43-61,,
10:13.0,Turnover by A. Davis (offensive foul),,43-61,,
10:05.0,,,43-64,3,D. Green makes 3-pt shot from 28 ft (assist by S. Curry)
9:44.0,A. Davis misses 2-pt shot from 3 ft,,43-64,,
9:43.0,Offensive rebound by O. Asik,,43-64,,
9:43.0,Shooting foul by D. Green (drawn by O. Asik),,43-64,,
9:43.0,O. Asik makes free throw 1 of 2,1,44-64,,
9:43.0,O. Asik misses free throw 2 of 2,,44-64,,
9:42.0,,,44-64,,Defensive rebound by D. Green
9:23.0,,,44-64,,Turnover by S. Curry (bad pass; steal by E. Gordon)
9:05.0,Q. Pondexter makes 2-pt shot from 1 ft (assist by E. Gordon),2,46-64,,
8:56.0,,,46-64,,K. Thompson misses 2-pt shot from 6 ft (block by A. Davis)
8:54.0,Defensive rebound by E. Gordon,,46-64,,
8:50.0,Q. Pondexter misses 3-pt shot from 25 ft,,46-64,,
8:49.0,,,46-64,,Defensive rebound by S. Curry
8:37.0,,,46-64,,K. Thompson misses 3-pt shot from 25 ft
8:36.0,,,46-64,,Offensive rebound by A. Bogut
8:23.0,,,46-64,,Turnover by K. Thompson (bad pass; steal by A. Davis)
8:15.0,N. Cole misses 3-pt shot from 24 ft,,46-64,,
8:14.0,,,46-64,,Defensive rebound by A. Bogut
8:07.0,,,46-64,,Golden State full timeout
7:58.0,,,46-64,,Turnover by H. Barnes (lost ball)
7:44.0,A. Davis misses 2-pt shot from 3 ft,,46-64,,
7:42.0,,,46-64,,Defensive rebound by H. Barnes
7:29.0,,,46-64,,Turnover by K. Thompson (lost ball)
7:11.0,Turnover by E. Gordon (bad pass; steal by S. Curry),,46-64,,
7:08.0,Personal foul by E. Gordon (drawn by S. Curry),,46-64,,
7:01.0,,,46-64,,Shooting foul by A. Davis (drawn by A. Bogut)
7:01.0,,,46-64,,A. Bogut misses free throw 1 of 2
7:01.0,,,46-64,,Offensive rebound by Team
7:01.0,R. Anderson enters the game for A. Davis,,46-64,,
7:01.0,,,46-64,,A. Bogut misses free throw 2 of 2
7:01.0,Defensive rebound by Team,,46-64,,
6:50.0,R. Anderson misses 3-pt shot from 27 ft,,46-64,,
6:49.0,,,46-64,,Defensive rebound by A. Bogut
6:43.0,,,46-64,,S. Curry misses 3-pt shot from 28 ft
6:42.0,Defensive rebound by Team,,46-64,,
6:42.0,,,46-64,,A. Iguodala enters the game for A. Bogut
6:28.0,E. Gordon misses 3-pt shot from 27 ft,,46-64,,
6:27.0,,,46-64,,Defensive rebound by S. Curry
6:21.0,,,46-66,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
6:11.0,Turnover by O. Asik (lost ball; steal by H. Barnes),,46-66,,
6:01.0,,,46-69,3,A. Iguodala makes 3-pt shot from 23 ft (assist by K. Thompson)
6:01.0,New Orleans full timeout,,46-69,,
6:01.0,D. Cunningham enters the game for O. Asik,,46-69,,
5:52.0,Shooting foul by H. Barnes (drawn by E. Gordon),,46-69,,
5:52.0,E. Gordon makes free throw 1 of 2,1,47-69,,
5:52.0,E. Gordon makes free throw 2 of 2,1,48-69,,
5:43.0,,,48-71,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
5:29.0,E. Gordon makes 3-pt shot from 25 ft,3,51-71,,
5:13.0,,,51-71,,Shooting foul by R. Anderson (drawn by D. Green)
5:13.0,,,51-71,,D. Green misses free throw 1 of 2
5:13.0,,,51-71,,Offensive rebound by Team
5:13.0,J. Holiday enters the game for Q. Pondexter,,51-71,,
5:13.0,,,51-72,1,D. Green makes free throw 2 of 2
4:56.0,N. Cole misses 2-pt shot from 17 ft,,51-72,,
4:55.0,Offensive rebound by R. Anderson,,51-72,,
4:55.0,R. Anderson misses 2-pt shot from 1 ft,,51-72,,
4:54.0,Offensive rebound by D. Cunningham,,51-72,,
4:54.0,D. Cunningham makes 2-pt shot from 1 ft,2,53-72,,
4:54.0,Shooting foul by H. Barnes (drawn by D. Cunningham),,53-72,,
4:54.0,,,53-72,,L. Barbosa enters the game for K. Thompson
4:54.0,D. Cunningham makes free throw 1 of 1,1,54-72,,
4:42.0,,,54-72,,L. Barbosa misses 2-pt shot from 5 ft
4:41.0,Defensive rebound by D. Cunningham,,54-72,,
4:31.0,Turnover by E. Gordon (lost ball; steal by D. Green),,54-72,,
4:26.0,,,54-72,,L. Barbosa misses 2-pt shot from 1 ft
4:24.0,Defensive rebound by J. Holiday,,54-72,,
4:20.0,Shooting foul by A. Iguodala (drawn by N. Cole),,54-72,,
4:20.0,N. Cole makes free throw 1 of 2,1,55-72,,
4:20.0,N. Cole makes free throw 2 of 2,1,56-72,,
4:06.0,,,56-75,3,S. Curry makes 3-pt shot from 25 ft
3:55.0,N. Cole misses 3-pt shot from 27 ft,,56-75,,
3:54.0,,,56-75,,Defensive rebound by Team
3:39.0,,,56-78,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
3:17.0,E. Gordon misses 2-pt shot from 17 ft,,56-78,,
3:15.0,Offensive rebound by D. Cunningham,,56-78,,
3:05.0,Turnover by R. Anderson (bad pass; steal by S. Curry),,56-78,,
3:00.0,,,56-78,,S. Curry misses 3-pt shot from 27 ft
2:59.0,,,56-78,,Offensive rebound by L. Barbosa
2:48.0,,,56-78,,D. Green misses 2-pt shot from 5 ft
2:47.0,,,56-78,,Offensive rebound by D. Green
2:47.0,,,56-78,,Shooting foul by D. Cunningham (drawn by D. Green)
2:47.0,,,56-79,1,D. Green makes free throw 1 of 2
2:47.0,,,56-79,,S. Livingston enters the game for H. Barnes
2:47.0,A. Davis enters the game for R. Anderson,,56-79,,
2:47.0,Q. Pondexter enters the game for E. Gordon,,56-79,,
2:47.0,,,56-80,1,D. Green makes free throw 2 of 2
2:31.0,Shooting foul by S. Livingston (drawn by Q. Pondexter),,56-80,,
2:31.0,Q. Pondexter makes free throw 1 of 2,1,57-80,,
2:31.0,Q. Pondexter misses free throw 2 of 2,,57-80,,
2:30.0,,,57-80,,Defensive rebound by D. Green
2:16.0,,,57-82,2,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala)
2:01.0,J. Holiday misses 2-pt shot from 11 ft (block by D. Green),,57-82,,
2:00.0,,,57-82,,Defensive rebound by A. Iguodala
1:54.0,,,57-82,,A. Iguodala misses 2-pt shot from 2 ft
1:53.0,Defensive rebound by Q. Pondexter,,57-82,,
1:47.0,Q. Pondexter makes 2-pt shot from 2 ft (assist by J. Holiday),2,59-82,,
1:32.0,,,59-82,,L. Barbosa misses 2-pt shot from 2 ft
1:31.0,Defensive rebound by D. Cunningham,,59-82,,
1:21.0,Turnover by A. Davis (lost ball; steal by A. Iguodala),,59-82,,
1:04.0,,,59-84,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
0:41.0,Shooting foul by S. Livingston (drawn by Q. Pondexter),,59-84,,
0:41.0,Q. Pondexter makes free throw 1 of 2,1,60-84,,
0:41.0,,,60-84,,M. Speights enters the game for D. Green
0:41.0,Q. Pondexter makes free throw 2 of 2,1,61-84,,
0:34.0,,,61-84,,Turnover by S. Curry (bad pass; steal by D. Cunningham)
0:30.0,A. Davis makes 2-pt shot at rim,2,63-84,,
0:07.0,,,63-84,,S. Curry misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by Q. Pondexter,,63-84,,
0:02.0,Q. Pondexter makes 3-pt shot from 33 ft,3,66-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Holiday makes 2-pt shot from 11 ft (assist by Q. Pondexter),2,68-84,,
11:24.0,,,68-84,,K. Thompson misses 2-pt shot from 16 ft
11:23.0,,,68-84,,Offensive rebound by H. Barnes
11:13.0,,,68-84,,K. Thompson misses 2-pt shot from 2 ft (block by A. Davis)
11:11.0,Defensive rebound by Q. Pondexter,,68-84,,
11:02.0,J. Holiday makes 3-pt shot from 26 ft (assist by Q. Pondexter),3,71-84,,
10:44.0,,,71-84,,K. Thompson misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by Q. Pondexter,,71-84,,
10:30.0,A. Davis makes 2-pt shot from 15 ft (assist by Q. Pondexter),2,73-84,,
10:20.0,,,73-84,,Golden State full timeout
10:20.0,,,73-84,,D. Green enters the game for H. Barnes
10:04.0,,,73-84,,S. Livingston misses 2-pt shot from 12 ft (block by N. Cole)
10:03.0,,,73-84,,Offensive rebound by Team
10:00.0,,,73-84,,A. Bogut misses 2-pt shot from 17 ft
9:58.0,Defensive rebound by A. Davis,,73-84,,
9:48.0,,,73-84,,Personal foul by K. Thompson (drawn by J. Holiday)
9:48.0,,,73-84,,S. Curry enters the game for S. Livingston
9:37.0,A. Davis misses 2-pt shot from 3 ft (block by A. Bogut),,73-84,,
9:35.0,,,73-84,,Defensive rebound by A. Bogut
9:26.0,,,73-84,,K. Thompson misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by Team,,73-84,,
9:06.0,D. Cunningham misses 2-pt shot from 18 ft (block by A. Bogut),,73-84,,
9:04.0,,,73-84,,Defensive rebound by D. Green
8:55.0,,,73-87,3,S. Curry makes 3-pt shot from 25 ft
8:36.0,A. Davis misses 2-pt shot from 18 ft,,73-87,,
8:35.0,,,73-87,,Defensive rebound by A. Bogut
8:28.0,Personal foul by N. Cole (drawn by S. Curry),,73-87,,
8:28.0,E. Gordon enters the game for N. Cole,,73-87,,
8:13.0,,,73-90,3,K. Thompson makes 3-pt shot from 27 ft (assist by A. Bogut)
8:12.0,New Orleans full timeout,,73-90,,
8:12.0,O. Asik enters the game for D. Cunningham,,73-90,,
7:56.0,Q. Pondexter misses 2-pt shot from 17 ft,,73-90,,
7:55.0,,,73-90,,Defensive rebound by D. Green
7:42.0,,,73-90,,Turnover by K. Thompson (bad pass)
7:30.0,Turnover by E. Gordon (lost ball; steal by A. Bogut),,73-90,,
7:27.0,,,73-90,,Shooting foul by J. Holiday (drawn by S. Curry)
7:27.0,,,73-90,,S. Curry misses free throw 1 of 2
7:27.0,,,73-90,,Offensive rebound by Team
7:27.0,,,73-91,1,S. Curry makes free throw 2 of 2
7:15.0,Shooting foul by A. Bogut (drawn by O. Asik),,73-91,,
7:15.0,O. Asik misses free throw 1 of 2,,73-91,,
7:15.0,Offensive rebound by Team,,73-91,,
7:15.0,O. Asik makes free throw 2 of 2,1,74-91,,
7:06.0,,,74-91,,Offensive foul by D. Green
7:06.0,,,74-91,,Turnover by D. Green (offensive foul)
6:55.0,E. Gordon misses 3-pt shot from 27 ft,,74-91,,
6:54.0,,,74-91,,Defensive rebound by D. Green
6:47.0,,,74-91,,S. Curry misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by O. Asik,,74-91,,
6:32.0,Q. Pondexter makes 2-pt shot from 2 ft,2,76-91,,
6:11.0,,,76-91,,Turnover by A. Bogut (bad pass; steal by J. Holiday)
5:55.0,J. Holiday misses 2-pt shot from 18 ft,,76-91,,
5:55.0,,,76-91,,Defensive rebound by K. Thompson
5:55.0,Personal foul by O. Asik (drawn by K. Thompson),,76-91,,
5:55.0,N. Cole enters the game for J. Holiday,,76-91,,
5:33.0,,,76-91,,A. Iguodala misses 3-pt shot from 26 ft
5:32.0,Defensive rebound by Q. Pondexter,,76-91,,
5:19.0,A. Davis misses 2-pt shot from 7 ft,,76-91,,
5:18.0,,,76-91,,Defensive rebound by A. Bogut
5:14.0,,,76-91,,Shooting foul by E. Gordon (drawn by K. Thompson)
5:14.0,,,76-92,1,K. Thompson makes free throw 1 of 2
5:14.0,R. Anderson enters the game for O. Asik,,76-92,,
5:14.0,,,76-92,,H. Barnes enters the game for A. Bogut
5:14.0,,,76-93,1,K. Thompson makes free throw 2 of 2
5:09.0,,,76-93,,Personal foul by S. Curry (drawn by N. Cole)
5:05.0,A. Davis makes 2-pt shot at rim (assist by Q. Pondexter),2,78-93,,
4:43.0,,,78-93,,H. Barnes misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by Q. Pondexter,,78-93,,
4:29.0,Q. Pondexter misses 3-pt shot from 25 ft,,78-93,,
4:28.0,,,78-93,,Defensive rebound by H. Barnes
4:14.0,,,78-93,,A. Iguodala misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by N. Cole,,78-93,,
4:04.0,A. Davis makes 2-pt shot from 6 ft (assist by Q. Pondexter),2,80-93,,
3:56.0,,,80-93,,Golden State full timeout
3:46.0,,,80-93,,S. Curry misses 2-pt shot from 20 ft
3:45.0,Defensive rebound by A. Davis,,80-93,,
3:26.0,E. Gordon makes 3-pt shot from 25 ft (assist by R. Anderson),3,83-93,,
3:12.0,Personal foul by E. Gordon (drawn by K. Thompson),,83-93,,
3:12.0,,,83-94,1,K. Thompson makes free throw 1 of 2
3:12.0,,,83-95,1,K. Thompson makes free throw 2 of 2
