time,Milwaukee,pts.away,score,pts.home,Atlanta
8:13.0,,,10-12,,Turnover by J. Teague (bad pass; steal by Z. Pachulia)
8:09.0,Turnover by G. Antetokounmpo (traveling),,10-12,,
7:51.0,Personal foul by Z. Pachulia (drawn by P. Millsap),,10-12,,
7:43.0,,,10-15,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
7:24.0,J. O'Bryant makes 2-pt shot from 20 ft (assist by Z. Pachulia),2,12-15,,
7:07.0,,,12-15,,D. Carroll misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by J. O'Bryant,,12-15,,
6:50.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Carroll),,12-15,,
6:37.0,,,12-15,,Turnover by P. Millsap (traveling)
6:25.0,K. Marshall misses 3-pt shot from 25 ft,,12-15,,
6:24.0,,,12-15,,Defensive rebound by P. Millsap
6:09.0,,,12-15,,A. Horford misses 2-pt shot from 18 ft
6:08.0,Defensive rebound by B. Knight,,12-15,,
5:57.0,Z. Pachulia misses 2-pt shot from 4 ft,,12-15,,
5:56.0,,,12-15,,Defensive rebound by P. Millsap
5:53.0,,,12-15,,Shooting foul by K. Marshall (drawn by P. Millsap)
5:53.0,,,12-15,,Atlanta full timeout
5:53.0,,,12-15,,T. Sefolosha enters the game for K. Korver
5:53.0,,,12-15,,A. Payne enters the game for A. Horford
5:53.0,,,12-15,,P. Millsap misses free throw 1 of 2
5:53.0,,,12-15,,Offensive rebound by Team
5:53.0,,,12-16,1,P. Millsap makes free throw 2 of 2
5:41.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Marshall),2,14-16,,
5:22.0,,,14-16,,J. Teague misses 3-pt shot from 25 ft
5:21.0,,,14-16,,Offensive rebound by P. Millsap
5:18.0,,,14-18,2,P. Millsap makes 2-pt shot at rim
4:57.0,Shooting foul by D. Carroll (drawn by G. Antetokounmpo),,14-18,,
4:57.0,G. Antetokounmpo misses free throw 1 of 2,,14-18,,
4:57.0,Offensive rebound by Team,,14-18,,
4:57.0,J. Dudley enters the game for J. O'Bryant,,14-18,,
4:57.0,G. Antetokounmpo makes free throw 2 of 2,1,15-18,,
4:42.0,,,15-18,,Turnover by D. Carroll (bad pass; steal by K. Marshall)
4:26.0,J. Dudley makes 3-pt shot from 24 ft (assist by K. Marshall),3,18-18,,
4:05.0,,,18-18,,A. Payne misses 2-pt shot from 2 ft
4:03.0,Defensive rebound by G. Antetokounmpo,,18-18,,
3:53.0,,,18-18,,Personal foul by J. Teague (drawn by J. Dudley)
3:53.0,J. Henson enters the game for Z. Pachulia,,18-18,,
3:42.0,G. Antetokounmpo misses 2-pt shot from 4 ft (block by P. Millsap),,18-18,,
3:39.0,,,18-18,,Defensive rebound by D. Carroll
3:20.0,,,18-18,,D. Carroll misses 3-pt shot from 23 ft
3:18.0,,,18-18,,Offensive rebound by A. Payne
3:15.0,,,18-18,,D. Carroll misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by B. Knight,,18-18,,
3:04.0,,,18-18,,Personal foul by T. Sefolosha (drawn by B. Knight)
3:04.0,,,18-18,,D. Schroder enters the game for J. Teague
3:04.0,J. Bayless enters the game for B. Knight,,18-18,,
2:51.0,J. Dudley makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,21-18,,
2:27.0,,,21-18,,D. Schroder misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by J. Henson,,21-18,,
2:17.0,,,21-18,,Personal foul by D. Schroder (drawn by J. Bayless)
2:17.0,Milwaukee full timeout,,21-18,,
2:17.0,,,21-18,,A. Horford enters the game for D. Carroll
2:17.0,,,21-18,,K. Korver enters the game for A. Payne
2:09.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,21-18,,
2:07.0,,,21-18,,Defensive rebound by D. Schroder
1:49.0,,,21-18,,A. Horford misses 2-pt shot from 20 ft
1:47.0,Defensive rebound by J. Bayless,,21-18,,
1:35.0,Turnover by J. Dudley (bad pass; steal by P. Millsap),,21-18,,
1:21.0,,,21-20,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by A. Horford)
1:00.0,K. Marshall misses 2-pt shot from 18 ft,,21-20,,
0:59.0,,,21-20,,Defensive rebound by T. Sefolosha
0:45.0,,,21-22,2,D. Schroder makes 2-pt shot from 2 ft (assist by P. Millsap)
0:25.0,J. Bayless makes 3-pt shot from 23 ft (assist by J. Dudley),3,24-22,,
0:04.0,,,24-22,,Turnover by D. Schroder (bad pass; steal by K. Marshall)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-22,,Def 3 sec tech foul by A. Horford
11:46.0,J. Bayless makes technical free throw,1,25-22,,
11:37.0,K. Middleton misses 2-pt shot from 18 ft,,25-22,,
11:34.0,,,25-22,,Defensive rebound by T. Sefolosha
11:22.0,,,25-22,,Turnover by A. Horford (lost ball; steal by K. Middleton)
11:22.0,Turnover by K. Middleton (discontinued dribble),,25-22,,
11:13.0,,,25-22,,A. Horford misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by J. Henson,,25-22,,
11:02.0,,,25-22,,Personal foul by T. Sefolosha (drawn by J. Henson)
10:57.0,J. Bayless makes 2-pt shot from 6 ft,2,27-22,,
10:57.0,Shooting foul by D. Schroder (drawn by J. Bayless),,27-22,,
10:57.0,J. Bayless makes free throw 1 of 1,1,28-22,,
10:43.0,,,28-24,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder)
10:31.0,Offensive foul by J. Henson,,28-24,,
10:31.0,Turnover by J. Henson (offensive foul),,28-24,,
10:31.0,Z. Pachulia enters the game for J. Henson,,28-24,,
10:15.0,,,28-24,,K. Bazemore enters the game for T. Sefolosha
10:08.0,,,28-24,,K. Bazemore misses 2-pt shot from 1 ft
10:06.0,Defensive rebound by J. Dudley,,28-24,,
9:54.0,J. Dudley makes 2-pt shot from 17 ft,2,30-24,,
9:40.0,,,30-24,,Turnover by D. Schroder (bad pass; steal by J. Dudley)
9:36.0,J. Dudley makes 2-pt shot at rim,2,32-24,,
9:33.0,,,32-24,,Atlanta full timeout
9:24.0,,,32-24,,Turnover by K. Korver (traveling)
9:06.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Bayless),3,35-24,,
8:47.0,,,35-24,,Shooting foul by K. Middleton (drawn by D. Schroder)
8:47.0,,,35-24,,D. Schroder misses free throw 1 of 2
8:47.0,,,35-24,,Offensive rebound by Team
8:47.0,,,35-25,1,D. Schroder makes free throw 2 of 2
8:24.0,O. Mayo misses 3-pt shot from 24 ft,,35-25,,
8:23.0,,,35-25,,Defensive rebound by A. Horford
8:16.0,,,35-25,,K. Bazemore misses 2-pt shot from 1 ft
8:13.0,,,35-25,,Offensive rebound by M. Scott
8:12.0,,,35-25,,Turnover by M. Scott (bad pass; steal by J. Dudley)
8:07.0,Shooting foul by K. Korver (drawn by J. Bayless),,35-25,,
8:07.0,J. Bayless makes free throw 1 of 3,1,36-25,,
8:07.0,J. Bayless makes free throw 2 of 3,1,37-25,,
8:07.0,J. Bayless makes free throw 3 of 3,1,38-25,,
8:00.0,,,38-25,,Turnover by A. Horford (traveling)
7:52.0,,,38-25,,Personal foul by D. Schroder (drawn by J. Bayless)
7:52.0,,,38-25,,D. Carroll enters the game for A. Horford
7:52.0,,,38-25,,E. Brand enters the game for K. Korver
7:44.0,J. Bayless misses 2-pt shot from 10 ft,,38-25,,
7:42.0,,,38-25,,Defensive rebound by M. Scott
7:32.0,Personal foul by K. Middleton (drawn by D. Carroll),,38-25,,
7:32.0,,,38-25,,J. Teague enters the game for D. Schroder
7:32.0,B. Knight enters the game for K. Middleton,,38-25,,
7:24.0,Personal foul by O. Mayo (drawn by K. Bazemore),,38-25,,
7:16.0,,,38-25,,E. Brand misses 2-pt shot from 11 ft
7:14.0,Defensive rebound by O. Mayo,,38-25,,
7:02.0,Offensive charge foul by Z. Pachulia,,38-25,,
7:02.0,Turnover by Z. Pachulia (offensive foul),,38-25,,
7:02.0,J. Henson enters the game for Z. Pachulia,,38-25,,
6:46.0,,,38-25,,Turnover by D. Carroll (bad pass; steal by J. Dudley)
6:42.0,J. Dudley makes 2-pt shot at rim,2,40-25,,
6:23.0,,,40-25,,Shooting foul by J. Dudley (drawn by J. Teague)
6:23.0,,,40-26,1,J. Teague makes free throw 1 of 2
6:23.0,,,40-26,,P. Millsap enters the game for M. Scott
6:23.0,G. Antetokounmpo enters the game for J. Dudley,,40-26,,
6:23.0,,,40-27,1,J. Teague makes free throw 2 of 2
6:13.0,Turnover by B. Knight (bad pass),,40-27,,
5:59.0,,,40-27,,K. Bazemore misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by G. Antetokounmpo,,40-27,,
5:51.0,B. Knight misses 2-pt shot from 5 ft,,40-27,,
5:50.0,Offensive rebound by O. Mayo,,40-27,,
5:42.0,B. Knight makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,43-27,,
5:28.0,,,43-29,2,J. Teague makes 2-pt shot from 11 ft
5:21.0,O. Mayo misses 2-pt shot from 19 ft,,43-29,,
5:20.0,,,43-29,,Defensive rebound by P. Millsap
5:06.0,,,43-29,,D. Carroll misses 2-pt shot from 1 ft (block by J. Henson)
5:04.0,Defensive rebound by B. Knight,,43-29,,
5:00.0,J. Bayless misses 3-pt shot from 23 ft,,43-29,,
4:57.0,Offensive rebound by J. Henson,,43-29,,
4:56.0,Turnover by J. Henson (lost ball; steal by J. Teague),,43-29,,
4:51.0,,,43-31,2,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore)
4:46.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by J. Teague),,43-31,,
4:46.0,Offensive rebound by Team,,43-31,,
4:46.0,Official timeout,,43-31,,
4:42.0,O. Mayo makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,45-31,,
4:21.0,,,45-33,2,P. Millsap makes 2-pt shot from 3 ft
4:15.0,Shooting foul by J. Teague (drawn by B. Knight),,45-33,,
4:15.0,B. Knight makes free throw 1 of 2,1,46-33,,
4:15.0,B. Knight makes free throw 2 of 2,1,47-33,,
4:07.0,,,47-35,2,J. Teague makes 2-pt shot from 3 ft
3:51.0,J. Bayless misses 3-pt shot from 24 ft,,47-35,,
3:49.0,,,47-35,,Defensive rebound by D. Carroll
3:41.0,,,47-35,,J. Teague misses 2-pt shot from 6 ft (block by J. Henson)
3:34.0,Defensive rebound by O. Mayo,,47-35,,
3:24.0,,,47-35,,D. Carroll misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by J. Henson,,47-35,,
3:22.0,Turnover by O. Mayo (lost ball; steal by P. Millsap),,47-35,,
2:58.0,J. Henson makes 2-pt shot from 3 ft (assist by J. Bayless),2,49-35,,
2:51.0,,,49-35,,Turnover by J. Teague (bad pass; steal by J. Henson)
2:45.0,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo),2,51-35,,
2:42.0,,,51-35,,Atlanta full timeout
2:42.0,Milwaukee full timeout,,51-35,,
2:42.0,,,51-35,,A. Horford enters the game for K. Bazemore
2:42.0,,,51-35,,K. Korver enters the game for E. Brand
2:42.0,K. Marshall enters the game for J. Henson,,51-35,,
2:42.0,J. Dudley enters the game for J. Bayless,,51-35,,
2:28.0,,,51-35,,K. Korver misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by B. Knight,,51-35,,
2:16.0,,,51-35,,Personal foul by K. Korver (drawn by G. Antetokounmpo)
2:16.0,G. Antetokounmpo makes free throw 1 of 2,1,52-35,,
2:16.0,G. Antetokounmpo makes free throw 2 of 2,1,53-35,,
1:59.0,,,53-35,,S. Mack enters the game for D. Carroll
1:51.0,Jump ball: G. Antetokounmpo vs. A. Horford,,,,Jump ball: G. Antetokounmpo vs. A. Horford
1:46.0,,,53-37,2,A. Horford makes 2-pt shot from 6 ft
1:35.0,B. Knight misses 3-pt shot from 24 ft,,53-37,,
1:34.0,,,53-37,,Defensive rebound by K. Korver
1:24.0,,,53-40,3,P. Millsap makes 3-pt shot from 23 ft (assist by J. Teague)
1:10.0,K. Marshall makes 2-pt shot from 1 ft,2,55-40,,
0:56.0,,,55-40,,S. Mack misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by G. Antetokounmpo,,55-40,,
0:44.0,O. Mayo makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,58-40,,
0:32.0,,,58-42,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
0:11.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by A. Horford),,58-42,,
0:07.0,,,58-42,,Defensive rebound by A. Horford
0:03.0,,,58-42,,J. Teague misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by J. Dudley,,58-42,,
0:00.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,58-42,,
0:00.0,Offensive rebound by Team,,58-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,B. Knight misses 3-pt shot from 25 ft,,58-42,,
11:48.0,,,58-42,,Defensive rebound by Team
11:32.0,,,58-42,,J. Teague misses 3-pt shot from 24 ft
11:29.0,,,58-42,,Offensive rebound by Team
11:26.0,,,58-44,2,A. Horford makes 2-pt shot from 2 ft (assist by K. Korver)
11:06.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by K. Marshall),2,60-44,,
10:56.0,,,60-44,,K. Korver misses 3-pt shot from 23 ft
10:54.0,Defensive rebound by J. O'Bryant,,60-44,,
10:43.0,Z. Pachulia misses 2-pt shot from 15 ft,,60-44,,
10:42.0,,,60-44,,Defensive rebound by A. Horford
10:35.0,,,60-44,,D. Carroll misses 3-pt shot from 24 ft
10:33.0,,,60-44,,Offensive rebound by P. Millsap
10:32.0,,,60-44,,Turnover by P. Millsap (lost ball; steal by B. Knight)
10:30.0,Offensive charge foul by G. Antetokounmpo,,60-44,,
10:30.0,Turnover by G. Antetokounmpo (offensive foul),,60-44,,
10:18.0,,,60-44,,K. Korver misses 2-pt shot from 17 ft
10:16.0,Defensive rebound by Z. Pachulia,,60-44,,
9:56.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Marshall),2,62-44,,
9:40.0,,,62-44,,P. Millsap misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
9:38.0,,,62-44,,Offensive rebound by P. Millsap
9:32.0,,,62-46,2,A. Horford makes 2-pt shot from 1 ft (assist by P. Millsap)
9:10.0,K. Marshall misses 2-pt shot from 17 ft,,62-46,,
9:08.0,,,62-46,,Defensive rebound by D. Carroll
8:57.0,,,62-48,2,J. Teague makes 2-pt shot from 1 ft
8:41.0,Z. Pachulia makes 2-pt shot from 18 ft (assist by B. Knight),2,64-48,,
8:21.0,,,64-48,,J. Teague misses 2-pt shot from 2 ft
8:20.0,,,64-48,,Offensive rebound by D. Carroll
8:18.0,,,64-48,,Turnover by D. Carroll (bad pass; steal by B. Knight)
8:15.0,B. Knight makes 2-pt shot at rim,2,66-48,,
7:50.0,,,66-50,2,A. Horford makes 2-pt shot from 5 ft
7:39.0,B. Knight makes 2-pt shot from 21 ft,2,68-50,,
7:23.0,,,68-50,,K. Korver misses 2-pt shot at rim
7:20.0,Defensive rebound by Z. Pachulia,,68-50,,
7:09.0,B. Knight makes 3-pt shot from 27 ft (assist by G. Antetokounmpo),3,71-50,,
7:08.0,,,71-50,,Atlanta full timeout
6:48.0,,,71-50,,Turnover by P. Millsap (lost ball; steal by Z. Pachulia)
6:34.0,Turnover by Z. Pachulia (lost ball; steal by J. Teague),,71-50,,
6:30.0,,,71-52,2,J. Teague makes 2-pt shot from 1 ft
6:13.0,Shooting foul by D. Carroll (drawn by J. O'Bryant),,71-52,,
6:13.0,J. O'Bryant misses free throw 1 of 2,,71-52,,
6:13.0,Offensive rebound by Team,,71-52,,
6:13.0,J. O'Bryant makes free throw 2 of 2,1,72-52,,
5:55.0,,,72-52,,K. Korver misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by Team,,72-52,,
5:55.0,,,72-52,,Loose ball foul by D. Carroll (drawn by K. Marshall)
5:35.0,K. Marshall misses 3-pt shot from 26 ft,,72-52,,
5:33.0,Offensive rebound by B. Knight,,72-52,,
5:32.0,Shooting foul by J. Teague (drawn by B. Knight),,72-52,,
5:32.0,B. Knight makes free throw 1 of 2,1,73-52,,
5:32.0,B. Knight makes free throw 2 of 2,1,74-52,,
5:19.0,,,74-52,,A. Horford misses 2-pt shot from 16 ft
5:17.0,Defensive rebound by G. Antetokounmpo,,74-52,,
5:05.0,,,74-52,,Violation by A. Horford (kicked ball)
5:05.0,,,74-52,,E. Brand enters the game for A. Horford
5:05.0,,,74-52,,T. Sefolosha enters the game for K. Korver
5:01.0,,,74-52,,Personal foul by J. Teague (drawn by K. Marshall)
4:48.0,B. Knight misses 3-pt shot from 25 ft,,74-52,,
4:47.0,,,74-52,,Defensive rebound by P. Millsap
4:41.0,Personal foul by Z. Pachulia (drawn by J. Teague),,74-52,,
4:41.0,,,74-52,,D. Schroder enters the game for J. Teague
4:41.0,J. Dudley enters the game for Z. Pachulia,,74-52,,
4:38.0,,,74-52,,Atlanta full timeout
4:28.0,,,74-52,,P. Millsap misses 2-pt shot from 3 ft
4:27.0,,,74-52,,Offensive rebound by E. Brand
4:24.0,,,74-52,,T. Sefolosha misses 2-pt shot from 3 ft (block by B. Knight)
4:18.0,,,74-52,,Offensive rebound by Team
4:18.0,,,74-52,,Turnover by P. Millsap (lost ball)
4:01.0,Turnover by K. Marshall (bad pass; steal by E. Brand),,74-52,,
3:50.0,Personal foul by J. O'Bryant (drawn by D. Schroder),,74-52,,
3:50.0,,,74-52,,K. Korver enters the game for D. Carroll
3:50.0,J. Henson enters the game for J. O'Bryant,,74-52,,
3:50.0,J. Bayless enters the game for K. Marshall,,74-52,,
3:36.0,,,74-52,,Turnover by Team (shot clock)
3:25.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Bayless),3,77-52,,
3:10.0,,,77-52,,Turnover by D. Schroder (bad pass; steal by J. Dudley)
3:05.0,J. Bayless makes 2-pt shot at rim (assist by B. Knight),2,79-52,,
2:47.0,,,79-52,,Shooting foul by J. Henson (drawn by P. Millsap)
2:47.0,Milwaukee full timeout,,79-52,,
2:47.0,,,79-52,,S. Mack enters the game for D. Schroder
2:47.0,,,79-53,1,P. Millsap makes free throw 1 of 2
2:47.0,,,79-54,1,P. Millsap makes free throw 2 of 2
2:24.0,Shooting foul by E. Brand (drawn by J. Henson),,79-54,,
2:24.0,J. Henson makes free throw 1 of 2,1,80-54,,
2:24.0,J. Henson makes free throw 2 of 2,1,81-54,,
2:18.0,,,81-54,,Turnover by K. Korver (bad pass)
2:08.0,Turnover by B. Knight (bad pass; steal by S. Mack),,81-54,,
2:06.0,Personal foul by J. Dudley (drawn by S. Mack),,81-54,,
2:06.0,,,81-54,,M. Scott enters the game for E. Brand
1:56.0,,,81-56,2,M. Scott makes 2-pt shot from 22 ft (assist by S. Mack)
1:38.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,81-56,,
1:37.0,,,81-56,,Defensive rebound by P. Millsap
1:24.0,,,81-56,,M. Scott misses 2-pt shot from 20 ft
1:22.0,Defensive rebound by G. Antetokounmpo,,81-56,,
0:59.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,81-56,,
0:56.0,,,81-56,,Defensive rebound by K. Korver
0:51.0,,,81-56,,M. Scott misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
0:49.0,Defensive rebound by J. Dudley,,81-56,,
0:31.0,J. Bayless misses 2-pt shot from 11 ft,,81-56,,
0:30.0,,,81-56,,Defensive rebound by P. Millsap
0:29.0,Loose ball foul by J. Bayless (drawn by P. Millsap),,81-56,,
0:29.0,,,81-57,1,P. Millsap makes free throw 1 of 2
0:29.0,O. Mayo enters the game for B. Knight,,81-57,,
0:29.0,K. Middleton enters the game for G. Antetokounmpo,,81-57,,
0:29.0,,,81-58,1,P. Millsap makes free throw 2 of 2
0:05.0,K. Middleton misses 2-pt shot from 14 ft,,81-58,,
0:01.0,,,81-58,,Defensive rebound by K. Korver
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,81-58,,T. Sefolosha misses 2-pt shot from 5 ft
11:43.0,,,81-58,,Offensive rebound by T. Sefolosha
11:37.0,,,81-60,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by K. Korver)
11:17.0,K. Middleton makes 2-pt shot from 5 ft (assist by J. Dudley),2,83-60,,
11:09.0,,,83-60,,S. Mack misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by J. Henson,,83-60,,
10:54.0,O. Mayo misses 2-pt shot from 8 ft,,83-60,,
10:52.0,,,83-60,,Defensive rebound by A. Horford
10:50.0,,,83-60,,Turnover by A. Horford (bad pass)
10:29.0,J. Dudley makes 2-pt shot from 18 ft (assist by O. Mayo),2,85-60,,
10:15.0,,,85-60,,Shooting foul by J. Henson (drawn by A. Horford)
10:15.0,,,85-60,,A. Horford misses free throw 1 of 2
10:15.0,,,85-60,,Offensive rebound by Team
10:15.0,,,85-61,1,A. Horford makes free throw 2 of 2
10:02.0,Shooting foul by A. Horford (drawn by J. Henson),,85-61,,
10:02.0,J. Henson misses free throw 1 of 2,,85-61,,
10:02.0,Offensive rebound by Team,,85-61,,
10:02.0,,,85-61,,D. Schroder enters the game for K. Korver
10:02.0,J. Henson makes free throw 2 of 2,1,86-61,,
9:50.0,,,86-61,,D. Schroder misses 2-pt shot from 4 ft
9:49.0,Defensive rebound by O. Mayo,,86-61,,
9:36.0,J. Dudley makes 2-pt shot from 18 ft (assist by O. Mayo),2,88-61,,
9:22.0,Personal foul by O. Mayo (drawn by D. Schroder),,88-61,,
9:22.0,,,88-61,,A. Payne enters the game for A. Horford
9:07.0,,,88-63,2,S. Mack makes 2-pt shot from 8 ft
8:44.0,K. Middleton misses 3-pt shot from 22 ft,,88-63,,
8:43.0,,,88-63,,Defensive rebound by S. Mack
8:35.0,,,88-66,3,M. Scott makes 3-pt shot from 25 ft (assist by S. Mack)
8:20.0,O. Mayo makes 2-pt shot from 1 ft (assist by J. Henson),2,90-66,,
7:57.0,,,90-68,2,T. Sefolosha makes 2-pt shot from 2 ft
7:37.0,J. Henson misses 2-pt shot from 2 ft,,90-68,,
7:36.0,Offensive rebound by J. Dudley,,90-68,,
7:35.0,J. Dudley makes 2-pt shot at rim,2,92-68,,
7:14.0,,,92-68,,Turnover by S. Mack (bad pass; steal by J. Henson)
7:09.0,O. Mayo makes 2-pt shot at rim (assist by J. Henson),2,94-68,,
7:08.0,,,94-68,,Atlanta full timeout
7:08.0,,,94-68,,K. Bazemore enters the game for T. Sefolosha
7:08.0,Z. Pachulia enters the game for J. Henson,,94-68,,
6:52.0,,,94-68,,D. Schroder misses 2-pt shot from 10 ft (block by J. Bayless)
6:51.0,Defensive rebound by Z. Pachulia,,94-68,,
6:39.0,K. Middleton misses 2-pt shot from 12 ft,,94-68,,
6:38.0,,,94-68,,Defensive rebound by A. Payne
6:29.0,,,94-68,,Turnover by S. Mack (lost ball; steal by K. Middleton)
6:06.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Bayless),2,96-68,,
5:53.0,,,96-68,,D. Schroder misses 3-pt shot from 24 ft
5:51.0,Defensive rebound by Z. Pachulia,,96-68,,
5:33.0,K. Middleton misses 2-pt shot at rim,,96-68,,
5:31.0,,,96-68,,Defensive rebound by M. Scott
5:29.0,Personal foul by J. Dudley (drawn by K. Bazemore),,96-68,,
5:29.0,Official timeout,,96-68,,
5:29.0,J. O'Bryant enters the game for J. Dudley,,96-68,,
5:29.0,,,96-68,,M. Muscala enters the game for M. Scott
5:16.0,,,96-68,,D. Schroder misses 2-pt shot from 20 ft
5:09.0,Defensive rebound by O. Mayo,,96-68,,
5:08.0,O. Mayo makes 2-pt shot at rim,2,98-68,,
4:59.0,,,98-68,,A. Payne misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by J. O'Bryant,,98-68,,
4:44.0,K. Middleton misses 2-pt shot from 17 ft,,98-68,,
4:43.0,,,98-68,,Defensive rebound by M. Muscala
4:33.0,,,98-68,,D. Schroder misses 2-pt shot from 18 ft
4:32.0,Defensive rebound by K. Middleton,,98-68,,
4:14.0,Turnover by O. Mayo (lost ball),,98-68,,
4:14.0,N. Wolters enters the game for O. Mayo,,98-68,,
4:03.0,,,98-68,,D. Schroder misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by Z. Pachulia,,98-68,,
3:41.0,J. O'Bryant misses 2-pt shot from 20 ft,,98-68,,
3:40.0,,,98-68,,Defensive rebound by S. Mack
3:36.0,,,98-70,2,M. Muscala makes 2-pt shot from 1 ft (assist by S. Mack)
3:22.0,Z. Pachulia makes 2-pt shot from 17 ft (assist by N. Wolters),2,100-70,,
3:07.0,,,100-70,,D. Schroder misses 2-pt shot from 2 ft
3:04.0,Defensive rebound by N. Wolters,,100-70,,
2:55.0,J. O'Bryant misses 2-pt shot from 21 ft,,100-70,,
2:54.0,,,100-70,,Defensive rebound by A. Payne
2:36.0,,,100-70,,Turnover by S. Mack (lost ball; steal by Z. Pachulia)
2:34.0,Milwaukee full timeout,,100-70,,
2:34.0,K. Marshall enters the game for J. Bayless,,100-70,,
2:20.0,Shooting foul by A. Payne (drawn by Z. Pachulia),,100-70,,
2:20.0,Z. Pachulia makes free throw 1 of 2,1,101-70,,
