time,Denver,pts.away,score,pts.home,Boston
5:49.0,,,40-42,,Defensive rebound by M. Thornton
5:37.0,,,40-45,3,M. Thornton makes 3-pt shot from 24 ft (assist by M. Smart)
5:16.0,E. Green misses 2-pt shot from 19 ft,,40-45,,
5:15.0,,,40-45,,Defensive rebound by J. Crowder
5:00.0,,,40-45,,M. Thornton misses 2-pt shot from 19 ft
4:59.0,Defensive rebound by J. Nurkic,,40-45,,
4:49.0,D. Gallinari misses 3-pt shot from 23 ft,,40-45,,
4:48.0,,,40-45,,Defensive rebound by J. Sullinger
4:39.0,,,40-48,3,J. Young makes 3-pt shot from 24 ft (assist by J. Sullinger)
4:38.0,Denver full timeout,,40-48,,
4:38.0,Official timeout,,40-48,,
4:38.0,,,40-48,,A. Bradley enters the game for J. Crowder
4:38.0,,,40-48,,E. Turner enters the game for M. Thornton
4:38.0,T. Lawson enters the game for D. Arthur,,40-48,,
4:38.0,W. Chandler enters the game for D. Gallinari,,40-48,,
4:38.0,K. Faried enters the game for E. Green,,40-48,,
4:31.0,,,40-48,,Personal foul by M. Smart (drawn by J. Nurkic)
4:31.0,J. Nurkic makes free throw 1 of 2,1,41-48,,
4:31.0,J. Nurkic makes free throw 2 of 2,1,42-48,,
4:23.0,Personal foul by J. Nurkic (drawn by M. Smart),,42-48,,
4:10.0,,,42-50,2,J. Sullinger makes 2-pt shot from 6 ft (assist by J. Young)
3:45.0,W. Chandler misses 3-pt shot from 27 ft,,42-50,,
3:44.0,Offensive rebound by J. Nurkic,,42-50,,
3:43.0,,,42-50,,Personal foul by J. Sullinger (drawn by J. Nurkic)
3:43.0,J. Nurkic makes free throw 1 of 2,1,43-50,,
3:43.0,J. Nurkic makes free throw 2 of 2,1,44-50,,
3:32.0,,,44-52,2,J. Sullinger makes 2-pt shot from 20 ft (assist by M. Smart)
3:20.0,W. Chandler misses 3-pt shot from 24 ft (block by A. Bradley),,44-52,,
3:19.0,,,44-52,,Defensive rebound by A. Bradley
3:08.0,,,44-55,3,J. Sullinger makes 3-pt shot from 25 ft (assist by E. Turner)
2:48.0,A. Afflalo makes 3-pt shot from 22 ft (assist by W. Chandler),3,47-55,,
2:33.0,,,47-55,,E. Turner misses 2-pt shot at rim
2:32.0,Defensive rebound by W. Chandler,,47-55,,
2:24.0,A. Afflalo misses 3-pt shot from 22 ft,,47-55,,
2:23.0,,,47-55,,Defensive rebound by E. Turner
2:16.0,,,47-57,2,A. Bradley makes 2-pt shot from 11 ft
2:05.0,Turnover by T. Lawson (bad pass; steal by M. Smart),,47-57,,
2:04.0,Personal foul by A. Afflalo (drawn by M. Smart),,47-57,,
2:04.0,,,47-57,,Boston full timeout
2:04.0,,,47-57,,B. Bass enters the game for J. Young
2:04.0,D. Arthur enters the game for J. Nurkic,,47-57,,
1:47.0,,,47-57,,Turnover by A. Bradley (lost ball)
1:47.0,,,47-57,,T. Zeller enters the game for J. Sullinger
1:25.0,T. Lawson makes 2-pt shot from 15 ft,2,49-57,,
1:01.0,,,49-57,,A. Bradley misses 2-pt shot from 22 ft
1:00.0,Defensive rebound by K. Faried,,49-57,,
0:52.0,A. Afflalo misses 3-pt shot from 24 ft,,49-57,,
0:49.0,,,49-57,,Defensive rebound by A. Bradley
0:43.0,,,49-60,3,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner)
0:36.0,Offensive foul by D. Arthur,,49-60,,
0:36.0,Turnover by D. Arthur (offensive foul),,49-60,,
0:27.0,,,49-60,,Shooting foul by K. Faried (drawn by T. Zeller)
0:27.0,,,49-61,1,T. Zeller makes free throw 1 of 2
0:27.0,,,49-61,,T. Zeller misses free throw 2 of 2
0:27.0,Defensive rebound by A. Afflalo,,49-61,,
0:05.0,D. Arthur misses 2-pt shot from 17 ft,,49-61,,
0:04.0,Offensive rebound by W. Chandler,,49-61,,
0:03.0,W. Chandler makes 2-pt shot at rim,2,51-61,,
0:03.0,,,51-61,,Boston full timeout
0:03.0,,,51-61,,J. Sullinger enters the game for E. Turner
0:03.0,,,51-61,,J. Young enters the game for B. Bass
0:03.0,,,51-61,,P. Pressey enters the game for T. Zeller
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,51-63,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner)
11:25.0,J. Nurkic misses 2-pt shot from 5 ft,,51-63,,
11:24.0,,,51-63,,Defensive rebound by E. Turner
11:11.0,,,51-63,,E. Turner misses 2-pt shot from 16 ft
11:10.0,Defensive rebound by J. Nurkic,,51-63,,
10:57.0,K. Faried makes 2-pt shot from 5 ft (assist by W. Chandler),2,53-63,,
10:36.0,,,53-63,,M. Smart misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by W. Chandler,,53-63,,
10:18.0,A. Afflalo misses 3-pt shot from 23 ft,,53-63,,
10:17.0,,,53-63,,Defensive rebound by M. Smart
10:05.0,,,53-65,2,A. Bradley makes 2-pt shot from 16 ft
9:46.0,K. Faried makes 2-pt shot from 5 ft (assist by A. Afflalo),2,55-65,,
9:27.0,,,55-65,,B. Bass misses 2-pt shot from 14 ft
9:26.0,Defensive rebound by T. Lawson,,55-65,,
9:14.0,K. Faried misses 2-pt shot from 6 ft,,55-65,,
9:13.0,,,55-65,,Defensive rebound by T. Zeller
8:53.0,Personal foul by W. Chandler (drawn by E. Turner),,55-65,,
8:39.0,,,55-65,,T. Zeller misses 2-pt shot from 10 ft
8:38.0,Defensive rebound by K. Faried,,55-65,,
8:29.0,T. Lawson makes 2-pt shot from 12 ft,2,57-65,,
8:15.0,,,57-65,,B. Bass misses 2-pt shot from 4 ft (block by J. Nurkic)
8:12.0,,,57-65,,Offensive rebound by B. Bass
8:11.0,,,57-65,,B. Bass misses 2-pt shot from 1 ft
8:10.0,,,57-65,,Offensive rebound by T. Zeller
8:09.0,,,57-65,,T. Zeller misses 2-pt shot from 1 ft (block by J. Nurkic)
8:09.0,Defensive rebound by Team,,57-65,,
7:53.0,A. Afflalo misses 2-pt shot from 6 ft (block by E. Turner),,57-65,,
7:52.0,,,57-65,,Defensive rebound by M. Smart
7:50.0,,,57-65,,B. Bass misses 2-pt shot at rim
7:49.0,,,57-65,,Offensive rebound by B. Bass
7:48.0,,,57-67,2,B. Bass makes 2-pt shot from 2 ft
7:48.0,,,57-67,,Shooting foul by W. Chandler (drawn by B. Bass)
7:48.0,,,57-68,1,B. Bass makes free throw 1 of 1
7:38.0,T. Lawson makes 2-pt shot from 2 ft,2,59-68,,
7:23.0,,,59-68,,B. Bass misses 2-pt shot from 2 ft
7:21.0,Defensive rebound by K. Faried,,59-68,,
7:14.0,T. Lawson misses 2-pt shot from 14 ft,,59-68,,
7:13.0,,,59-68,,Defensive rebound by T. Zeller
7:07.0,,,59-68,,E. Turner misses 2-pt shot at rim
7:06.0,,,59-68,,Offensive rebound by M. Smart
7:05.0,,,59-70,2,M. Smart makes 2-pt shot at rim
6:45.0,J. Nurkic makes 2-pt shot at rim (assist by A. Afflalo),2,61-70,,
6:24.0,,,61-70,,Turnover by T. Zeller (lost ball)
6:24.0,D. Arthur enters the game for J. Nurkic,,61-70,,
6:18.0,T. Lawson misses 2-pt shot from 17 ft,,61-70,,
6:16.0,Offensive rebound by D. Arthur,,61-70,,
6:15.0,D. Arthur misses 2-pt shot at rim,,61-70,,
6:14.0,,,61-70,,Defensive rebound by Team
6:14.0,Loose ball foul by D. Arthur (drawn by T. Zeller),,61-70,,
6:14.0,,,61-70,,M. Thornton enters the game for B. Bass
6:14.0,,,61-70,,J. Crowder enters the game for M. Smart
6:14.0,A. Gee enters the game for W. Chandler,,61-70,,
6:14.0,D. Gallinari enters the game for A. Afflalo,,61-70,,
6:14.0,A. Afflalo enters the game for K. Faried,,61-70,,
5:59.0,,,61-70,,A. Bradley misses 2-pt shot from 17 ft
5:57.0,Defensive rebound by A. Gee,,61-70,,
5:50.0,Shooting foul by A. Bradley (drawn by T. Lawson),,61-70,,
5:50.0,,,61-70,,Boston full timeout
5:50.0,T. Lawson makes free throw 1 of 2,1,62-70,,
5:50.0,T. Lawson makes free throw 2 of 2,1,63-70,,
5:27.0,,,63-70,,T. Zeller misses 2-pt shot from 5 ft
5:26.0,,,63-70,,Offensive rebound by Team
5:26.0,Loose ball foul by D. Gallinari (drawn by J. Crowder),,63-70,,
5:17.0,,,63-70,,T. Zeller misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by D. Gallinari,,63-70,,
5:08.0,A. Afflalo misses 3-pt shot from 23 ft,,63-70,,
5:07.0,,,63-70,,Defensive rebound by E. Turner
5:01.0,,,63-70,,M. Thornton misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by D. Gallinari,,63-70,,
4:52.0,T. Lawson makes 2-pt shot from 1 ft (assist by D. Gallinari),2,65-70,,
4:38.0,,,65-72,2,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner)
4:38.0,,,65-72,,Shooting foul by D. Arthur (drawn by T. Zeller)
4:38.0,,,65-73,1,T. Zeller makes free throw 1 of 1
4:18.0,A. Gee makes 2-pt shot at rim (assist by T. Lawson),2,67-73,,
4:01.0,,,67-73,,Turnover by E. Turner (bad pass; steal by T. Lawson)
3:55.0,A. Afflalo makes 2-pt shot from 2 ft (assist by T. Lawson),2,69-73,,
3:32.0,,,69-73,,E. Turner misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by D. Arthur,,69-73,,
3:29.0,,,69-73,,Personal block foul by A. Bradley (drawn by T. Lawson)
3:29.0,,,69-73,,J. Sullinger enters the game for T. Zeller
3:29.0,,,69-73,,J. Young enters the game for A. Bradley
3:29.0,,,69-73,,M. Smart enters the game for E. Turner
3:19.0,Shooting foul by J. Young (drawn by A. Afflalo),,69-73,,
3:19.0,A. Afflalo misses free throw 1 of 2,,69-73,,
3:19.0,Offensive rebound by Team,,69-73,,
3:19.0,A. Afflalo makes free throw 2 of 2,1,70-73,,
3:00.0,,,70-73,,J. Crowder misses 2-pt shot from 19 ft
2:59.0,,,70-73,,Offensive rebound by J. Sullinger
2:57.0,,,70-73,,J. Sullinger misses 2-pt shot from 3 ft
2:55.0,,,70-73,,Offensive rebound by M. Smart
2:51.0,,,70-73,,J. Young misses 3-pt shot from 24 ft
2:50.0,,,70-73,,Offensive rebound by J. Crowder
2:32.0,,,70-76,3,M. Thornton makes 3-pt shot from 24 ft (assist by M. Smart)
2:21.0,T. Lawson makes 2-pt shot from 1 ft,2,72-76,,
2:15.0,,,72-76,,Shooting foul by A. Gee (drawn by J. Crowder)
2:15.0,Denver full timeout,,72-76,,
2:15.0,W. Chandler enters the game for A. Afflalo,,72-76,,
2:15.0,,,72-77,1,J. Crowder makes free throw 1 of 2
2:15.0,,,72-78,1,J. Crowder makes free throw 2 of 2
1:50.0,D. Gallinari misses 3-pt shot from 27 ft,,72-78,,
1:49.0,,,72-78,,Defensive rebound by J. Young
1:33.0,,,72-78,,M. Smart misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by A. Gee,,72-78,,
1:19.0,D. Arthur misses 2-pt shot from 18 ft,,72-78,,
1:17.0,,,72-78,,Defensive rebound by M. Thornton
1:05.0,,,72-78,,Turnover by M. Thornton (bad pass; steal by D. Arthur)
1:00.0,W. Chandler makes 2-pt shot at rim (assist by T. Lawson),2,74-78,,
0:40.0,,,74-78,,M. Thornton misses 2-pt shot from 5 ft
0:39.0,,,74-78,,Offensive rebound by J. Crowder
0:39.0,,,74-80,2,J. Crowder makes 2-pt shot from 1 ft
0:29.0,T. Lawson makes 2-pt shot from 9 ft,2,76-80,,
0:11.0,,,76-80,,J. Sullinger misses 2-pt shot from 2 ft (block by D. Arthur)
0:10.0,,,76-80,,Offensive rebound by Team
0:07.0,,,76-83,3,J. Sullinger makes 3-pt shot from 24 ft (assist by M. Smart)
0:02.0,Shooting foul by J. Young (drawn by A. Gee),,76-83,,
0:02.0,A. Gee makes free throw 1 of 2,1,77-83,,
0:02.0,E. Green enters the game for T. Lawson,,77-83,,
0:02.0,A. Gee makes free throw 2 of 2,1,78-83,,
0:01.0,,,78-83,,Turnover by J. Crowder (bad pass)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Gallinari misses 2-pt shot from 19 ft,,78-83,,
11:42.0,,,78-83,,Defensive rebound by M. Smart
11:25.0,,,78-83,,J. Young misses 2-pt shot from 5 ft
11:24.0,,,78-83,,Offensive rebound by J. Sullinger
11:20.0,,,78-86,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Sullinger)
11:12.0,Offensive foul by D. Gallinari,,78-86,,
11:12.0,Turnover by D. Gallinari (offensive foul),,78-86,,
11:12.0,T. Lawson enters the game for E. Green,,78-86,,
11:00.0,,,78-86,,J. Crowder misses 3-pt shot from 24 ft
10:59.0,,,78-86,,Offensive rebound by M. Thornton
10:59.0,,,78-86,,Shooting foul by D. Arthur (drawn by M. Thornton)
10:59.0,,,78-87,1,M. Thornton makes free throw 1 of 2
10:59.0,K. Faried enters the game for D. Arthur,,78-87,,
10:59.0,,,78-88,1,M. Thornton makes free throw 2 of 2
10:38.0,W. Chandler misses 3-pt shot from 24 ft,,78-88,,
10:37.0,,,78-88,,Defensive rebound by M. Thornton
10:27.0,,,78-88,,J. Young misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by Team,,78-88,,
10:09.0,D. Gallinari misses 2-pt shot from 15 ft,,78-88,,
10:08.0,Offensive rebound by A. Gee,,78-88,,
10:00.0,Shooting foul by M. Thornton (drawn by W. Chandler),,78-88,,
10:00.0,W. Chandler makes free throw 1 of 2,1,79-88,,
10:00.0,W. Chandler makes free throw 2 of 2,1,80-88,,
9:51.0,,,80-88,,Turnover by M. Smart (bad pass; steal by A. Gee)
9:46.0,A. Gee makes 2-pt shot at rim (assist by W. Chandler),2,82-88,,
9:33.0,Violation by W. Chandler (kicked ball),,82-88,,
9:26.0,,,82-88,,J. Young misses 3-pt shot from 22 ft
9:22.0,Defensive rebound by Team,,82-88,,
9:22.0,,,82-88,,Violation by Team (delay of game)
9:09.0,D. Gallinari makes 2-pt shot at rim,2,84-88,,
8:50.0,,,84-88,,J. Crowder misses 3-pt shot from 23 ft
8:49.0,,,84-88,,Offensive rebound by J. Sullinger
8:48.0,,,84-90,2,J. Sullinger makes 2-pt shot at rim
8:27.0,D. Gallinari misses 3-pt shot from 22 ft,,84-90,,
8:24.0,Offensive rebound by K. Faried,,84-90,,
8:19.0,W. Chandler misses 3-pt shot from 23 ft,,84-90,,
8:17.0,Offensive rebound by T. Lawson,,84-90,,
8:11.0,Shooting foul by M. Smart (drawn by D. Gallinari),,84-90,,
8:11.0,Official timeout,,84-90,,
8:11.0,,,84-90,,A. Bradley enters the game for M. Thornton
8:11.0,A. Afflalo enters the game for A. Gee,,84-90,,
8:11.0,D. Gallinari makes free throw 1 of 2,1,85-90,,
8:11.0,D. Gallinari makes free throw 2 of 2,1,86-90,,
7:55.0,,,86-92,2,J. Crowder makes 2-pt shot at rim (assist by J. Sullinger)
7:31.0,D. Gallinari misses 3-pt shot from 24 ft,,86-92,,
7:29.0,Offensive rebound by W. Chandler,,86-92,,
7:24.0,T. Lawson makes 3-pt shot from 25 ft (assist by W. Chandler),3,89-92,,
7:02.0,,,89-92,,J. Young misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by Team,,89-92,,
6:47.0,Shooting foul by J. Crowder (drawn by D. Gallinari),,89-92,,
6:47.0,D. Gallinari makes free throw 1 of 2,1,90-92,,
6:47.0,,,90-92,,E. Turner enters the game for J. Young
6:47.0,D. Gallinari misses free throw 2 of 2,,90-92,,
6:46.0,,,90-92,,Defensive rebound by E. Turner
6:33.0,,,90-92,,E. Turner misses 2-pt shot from 14 ft
6:31.0,Defensive rebound by D. Gallinari,,90-92,,
6:18.0,Turnover by T. Lawson (bad pass; steal by M. Smart),,90-92,,
6:10.0,,,90-92,,J. Crowder misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by W. Chandler,,90-92,,
5:55.0,W. Chandler misses 3-pt shot from 24 ft,,90-92,,
5:53.0,Offensive rebound by D. Gallinari,,90-92,,
