time,Chicago,pts.away,score,pts.home,Charlotte
1:41.0,P. Gasol makes free throw 1 of 1,1,42-40,,
1:20.0,,,42-40,,A. Jefferson misses 2-pt shot from 15 ft
1:19.0,Defensive rebound by N. Mirotic,,42-40,,
1:07.0,P. Gasol makes 2-pt shot from 16 ft (assist by J. Butler),2,44-40,,
0:52.0,,,44-40,,G. Henderson misses 2-pt shot from 17 ft
0:51.0,Defensive rebound by N. Mirotic,,44-40,,
0:41.0,P. Gasol misses 2-pt shot from 6 ft,,44-40,,
0:39.0,,,44-40,,Defensive rebound by L. Stephenson
0:32.0,,,44-40,,L. Stephenson misses 2-pt shot from 2 ft
0:30.0,Defensive rebound by P. Gasol,,44-40,,
0:23.0,Shooting foul by L. Stephenson (drawn by P. Gasol),,44-40,,
0:23.0,P. Gasol misses free throw 1 of 2,,44-40,,
0:23.0,Offensive rebound by Team,,44-40,,
0:23.0,P. Gasol makes free throw 2 of 2,1,45-40,,
0:04.0,,,45-40,,B. Roberts misses 2-pt shot from 1 ft
0:03.0,Defensive rebound by D. Rose,,45-40,,
0:00.0,D. Rose misses 3-pt shot from 34 ft,,45-40,,
0:00.0,Offensive rebound by Team,,45-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol),3,48-40,,
11:19.0,,,48-40,,L. Stephenson misses 2-pt shot from 5 ft
11:17.0,Defensive rebound by P. Gasol,,48-40,,
11:04.0,J. Butler makes 3-pt shot from 25 ft (assist by D. Rose),3,51-40,,
10:49.0,,,51-40,,Shooting foul by P. Gasol (drawn by A. Jefferson)
10:49.0,,,51-41,1,A. Jefferson makes free throw 1 of 2
10:49.0,,,51-42,1,A. Jefferson makes free throw 2 of 2
10:27.0,P. Gasol misses 2-pt shot from 3 ft,,51-42,,
10:26.0,,,51-42,,Defensive rebound by A. Jefferson
10:19.0,,,51-42,,K. Walker misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by P. Gasol,,51-42,,
10:09.0,D. Rose makes 2-pt shot from 1 ft,2,53-42,,
10:09.0,Technical foul by J. Noah,,53-42,,
10:09.0,,,53-43,1,K. Walker makes technical free throw
9:55.0,Personal foul by M. Dunleavy (drawn by C. Zeller),,53-43,,
9:44.0,,,53-43,,G. Henderson misses 2-pt shot from 17 ft
9:42.0,Defensive rebound by J. Noah,,53-43,,
9:36.0,D. Rose misses 3-pt shot from 26 ft,,53-43,,
9:33.0,,,53-43,,Defensive rebound by C. Zeller
9:24.0,,,53-43,,A. Jefferson misses 2-pt shot from 8 ft
9:22.0,Defensive rebound by P. Gasol,,53-43,,
9:20.0,D. Rose makes 2-pt shot from 5 ft,2,55-43,,
9:20.0,Shooting foul by K. Walker (drawn by D. Rose),,55-43,,
9:20.0,D. Rose makes free throw 1 of 1,1,56-43,,
9:09.0,,,56-43,,Shooting foul by D. Rose (drawn by K. Walker)
9:09.0,,,56-44,1,K. Walker makes free throw 1 of 2
9:09.0,,,56-45,1,K. Walker makes free throw 2 of 2
8:54.0,D. Rose misses 3-pt shot from 25 ft,,56-45,,
8:53.0,,,56-45,,Defensive rebound by C. Zeller
8:43.0,,,56-47,2,L. Stephenson makes 2-pt shot from 8 ft
8:26.0,P. Gasol misses 2-pt shot from 17 ft,,56-47,,
8:25.0,,,56-47,,Defensive rebound by G. Henderson
8:15.0,,,56-49,2,G. Henderson makes 2-pt shot from 1 ft (assist by K. Walker)
7:49.0,,,56-49,,Shooting block foul by C. Zeller (drawn by J. Noah)
7:49.0,J. Noah misses free throw 1 of 2,,56-49,,
7:49.0,Offensive rebound by Team,,56-49,,
7:49.0,J. Noah makes free throw 2 of 2,1,57-49,,
7:37.0,,,57-49,,Shooting foul by D. Rose (drawn by K. Walker)
7:37.0,Technical foul by D. Rose (drawn by K. Walker),,57-49,,
7:37.0,,,57-50,1,K. Walker makes technical free throw
7:37.0,,,57-51,1,K. Walker makes free throw 1 of 2
7:37.0,,,57-51,,K. Walker misses free throw 2 of 2
7:37.0,Defensive rebound by Team,,57-51,,
7:37.0,,,57-51,,Loose ball foul by G. Henderson (drawn by P. Gasol)
7:16.0,J. Butler misses 2-pt shot from 2 ft,,57-51,,
7:13.0,,,57-51,,Defensive rebound by A. Jefferson
7:06.0,,,57-53,2,C. Zeller makes 2-pt shot from 20 ft (assist by K. Walker)
6:49.0,P. Gasol misses 2-pt shot from 5 ft,,57-53,,
6:46.0,,,57-53,,Defensive rebound by K. Walker
6:41.0,,,57-53,,L. Stephenson misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by P. Gasol,,57-53,,
6:28.0,M. Dunleavy misses 3-pt shot from 23 ft,,57-53,,
6:27.0,,,57-53,,Defensive rebound by A. Jefferson
6:17.0,,,57-53,,K. Walker misses 2-pt shot from 13 ft
6:15.0,Defensive rebound by D. Rose,,57-53,,
6:09.0,,,57-53,,Personal foul by L. Stephenson (drawn by M. Dunleavy)
6:03.0,P. Gasol misses 2-pt shot from 16 ft,,57-53,,
6:02.0,,,57-53,,Defensive rebound by C. Zeller
5:55.0,,,57-55,2,L. Stephenson makes 2-pt shot from 1 ft
5:54.0,Chicago full timeout,,57-55,,
5:32.0,D. Rose makes 2-pt shot from 10 ft (assist by P. Gasol),2,59-55,,
5:11.0,,,59-55,,A. Jefferson misses 2-pt shot from 8 ft
5:09.0,,,59-55,,Offensive rebound by C. Zeller
5:06.0,,,59-55,,G. Henderson misses 3-pt shot from 26 ft
5:05.0,Defensive rebound by J. Noah,,59-55,,
4:48.0,J. Noah makes 2-pt shot from 17 ft (assist by J. Butler),2,61-55,,
4:31.0,,,61-57,2,K. Walker makes 2-pt shot from 9 ft (assist by L. Stephenson)
4:10.0,P. Gasol misses 2-pt shot from 8 ft,,61-57,,
4:10.0,,,61-57,,Defensive rebound by Team
4:10.0,Personal foul by J. Noah (drawn by C. Zeller),,61-57,,
4:10.0,,,61-58,1,C. Zeller makes free throw 1 of 2
4:10.0,N. Mirotic enters the game for J. Noah,,61-58,,
4:10.0,K. Hinrich enters the game for D. Rose,,61-58,,
4:10.0,,,61-58,,P. Hairston enters the game for G. Henderson
4:10.0,,,61-59,1,C. Zeller makes free throw 2 of 2
3:49.0,K. Hinrich makes 2-pt shot from 6 ft (assist by N. Mirotic),2,63-59,,
3:31.0,,,63-59,,Turnover by L. Stephenson (bad pass; steal by M. Dunleavy)
3:25.0,K. Hinrich misses 3-pt shot from 23 ft,,63-59,,
3:22.0,Offensive rebound by J. Butler,,63-59,,
3:22.0,J. Butler makes 2-pt shot from 1 ft,2,65-59,,
3:04.0,Personal foul by K. Hinrich (drawn by K. Walker),,65-59,,
3:04.0,,,65-60,1,K. Walker makes free throw 1 of 2
3:04.0,,,65-60,,B. Roberts enters the game for L. Stephenson
3:04.0,,,65-60,,M. Williams enters the game for C. Zeller
3:04.0,,,65-61,1,K. Walker makes free throw 2 of 2
2:56.0,,,65-61,,Personal foul by P. Hairston (drawn by J. Butler)
2:56.0,,,65-61,,Charlotte full timeout
2:56.0,,,65-61,,B. Biyombo enters the game for A. Jefferson
2:56.0,J. Butler makes free throw 1 of 2,1,66-61,,
2:56.0,J. Butler makes free throw 2 of 2,1,67-61,,
2:37.0,,,67-64,3,K. Walker makes 3-pt shot from 25 ft
2:16.0,J. Butler makes 2-pt shot at rim,2,69-64,,
2:05.0,Personal foul by N. Mirotic (drawn by M. Williams),,69-64,,
2:05.0,,,69-65,1,M. Williams makes free throw 1 of 2
2:05.0,A. Brooks enters the game for M. Dunleavy,,69-65,,
2:05.0,,,69-66,1,M. Williams makes free throw 2 of 2
1:48.0,Turnover by N. Mirotic (bad pass; steal by P. Hairston),,69-66,,
1:44.0,,,69-68,2,K. Walker makes 2-pt shot from 1 ft (assist by P. Hairston)
1:35.0,Shooting foul by B. Biyombo (drawn by P. Gasol),,69-68,,
1:35.0,P. Gasol misses free throw 1 of 2,,69-68,,
1:35.0,Offensive rebound by Team,,69-68,,
1:35.0,P. Gasol makes free throw 2 of 2,1,70-68,,
1:27.0,,,70-68,,Shooting foul by K. Hinrich (drawn by K. Walker)
1:27.0,,,70-70,2,K. Walker makes 2-pt shot from 2 ft
1:27.0,,,70-71,1,K. Walker makes free throw 1 of 1
1:08.0,P. Gasol misses 2-pt shot from 1 ft,,70-71,,
1:07.0,,,70-71,,Defensive rebound by K. Walker
1:03.0,,,70-71,,K. Walker misses 2-pt shot from 2 ft
1:01.0,Defensive rebound by N. Mirotic,,70-71,,
0:57.0,K. Hinrich misses 3-pt shot from 25 ft,,70-71,,
0:54.0,Offensive rebound by P. Gasol,,70-71,,
0:54.0,P. Gasol makes 2-pt shot from 1 ft,2,72-71,,
0:40.0,,,72-71,,K. Walker misses 2-pt shot from 5 ft (block by N. Mirotic)
0:38.0,Defensive rebound by P. Gasol,,72-71,,
0:22.0,Turnover by P. Gasol (lost ball),,72-71,,
0:22.0,J. Noah enters the game for P. Gasol,,72-71,,
0:04.0,,,72-71,,K. Walker misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by Team,,72-71,,
0:00.0,J. Butler misses 3-pt shot from 42 ft,,72-71,,
0:00.0,Offensive rebound by Team,,72-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,72-71,,B. Roberts misses 2-pt shot from 13 ft
11:45.0,,,72-71,,Offensive rebound by B. Biyombo
11:25.0,,,72-71,,K. Walker misses 2-pt shot from 2 ft
11:23.0,Defensive rebound by M. Dunleavy,,72-71,,
11:05.0,A. Brooks misses 2-pt shot from 12 ft,,72-71,,
11:02.0,,,72-71,,Defensive rebound by B. Roberts
10:58.0,,,72-73,2,B. Biyombo makes 2-pt shot at rim (assist by B. Roberts)
10:43.0,J. Noah makes 2-pt shot at rim (assist by A. Brooks),2,74-73,,
10:28.0,,,74-73,,B. Roberts misses 3-pt shot from 27 ft
10:25.0,Defensive rebound by N. Mirotic,,74-73,,
10:15.0,,,74-73,,Personal foul by M. Williams (drawn by K. Hinrich)
10:15.0,,,74-73,,L. Stephenson enters the game for K. Walker
10:07.0,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Noah),3,77-73,,
9:43.0,,,77-76,3,B. Roberts makes 3-pt shot from 22 ft (assist by L. Stephenson)
9:28.0,Turnover by J. Noah (bad pass; steal by M. Williams),,77-76,,
9:18.0,,,77-78,2,M. Williams makes 2-pt shot from 2 ft (assist by B. Roberts)
9:18.0,Chicago full timeout,,77-78,,
9:18.0,J. Butler enters the game for M. Dunleavy,,77-78,,
8:54.0,J. Butler makes 2-pt shot from 19 ft,2,79-78,,
8:33.0,,,79-78,,P. Hairston misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by A. Brooks,,79-78,,
8:28.0,,,79-78,,Violation by L. Stephenson (def goaltending)
8:28.0,N. Mirotic makes 2-pt shot from 1 ft,2,81-78,,
8:28.0,Shooting foul by P. Hairston (drawn by N. Mirotic),,81-78,,
8:28.0,N. Mirotic makes free throw 1 of 1,1,82-78,,
8:13.0,,,82-78,,L. Stephenson misses 2-pt shot from 11 ft
8:11.0,Defensive rebound by N. Mirotic,,82-78,,
8:04.0,J. Noah misses 2-pt shot from 18 ft,,82-78,,
7:57.0,,,82-78,,Defensive rebound by M. Williams
7:47.0,,,82-78,,P. Hairston misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by K. Hinrich,,82-78,,
7:32.0,K. Hinrich misses 3-pt shot from 23 ft,,82-78,,
7:31.0,,,82-78,,Defensive rebound by M. Williams
7:22.0,,,82-78,,B. Roberts misses 2-pt shot from 11 ft
7:21.0,Defensive rebound by J. Noah,,82-78,,
7:13.0,A. Brooks makes 3-pt shot from 26 ft (assist by J. Noah),3,85-78,,
7:13.0,,,85-78,,Charlotte full timeout
7:08.0,,,85-78,,G. Henderson enters the game for B. Biyombo
7:08.0,,,85-78,,A. Jefferson enters the game for P. Hairston
6:58.0,Personal foul by A. Brooks (drawn by B. Roberts),,85-78,,
6:50.0,,,85-78,,G. Henderson misses 2-pt shot from 2 ft
6:48.0,,,85-78,,Offensive rebound by G. Henderson
6:45.0,,,85-78,,A. Jefferson misses 2-pt shot from 15 ft
6:45.0,Defensive rebound by Team,,85-78,,
6:45.0,,,85-78,,Loose ball foul by M. Williams (drawn by N. Mirotic)
6:45.0,,,85-78,,K. Walker enters the game for B. Roberts
6:33.0,A. Brooks misses 2-pt shot from 13 ft,,85-78,,
6:32.0,,,85-78,,Defensive rebound by L. Stephenson
6:15.0,,,85-78,,Shooting foul by N. Mirotic (drawn by L. Stephenson)
6:15.0,,,85-79,1,L. Stephenson makes free throw 1 of 2
6:15.0,,,85-79,,C. Zeller enters the game for M. Williams
6:15.0,P. Gasol enters the game for J. Noah,,85-79,,
6:15.0,D. Rose enters the game for A. Brooks,,85-79,,
6:15.0,,,85-80,1,L. Stephenson makes free throw 2 of 2
6:03.0,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose),2,87-80,,
5:44.0,,,87-82,2,A. Jefferson makes 2-pt shot from 1 ft
5:26.0,D. Rose misses 3-pt shot from 26 ft,,87-82,,
5:25.0,,,87-82,,Defensive rebound by L. Stephenson
5:18.0,,,87-82,,L. Stephenson misses 2-pt shot from 1 ft
5:17.0,Defensive rebound by N. Mirotic,,87-82,,
5:03.0,N. Mirotic makes 3-pt shot from 22 ft (assist by P. Gasol),3,90-82,,
4:51.0,,,90-82,,K. Walker misses 2-pt shot from 8 ft
4:50.0,Defensive rebound by P. Gasol,,90-82,,
4:34.0,P. Gasol makes 2-pt shot from 18 ft (assist by K. Hinrich),2,92-82,,
4:34.0,,,92-82,,Charlotte full timeout
4:24.0,,,92-84,2,A. Jefferson makes 2-pt shot from 1 ft (assist by L. Stephenson)
4:24.0,,,92-84,,Shooting foul by P. Gasol (drawn by A. Jefferson)
4:24.0,,,92-85,1,A. Jefferson makes free throw 1 of 1
4:11.0,Offensive foul by J. Butler,,92-85,,
4:11.0,Turnover by J. Butler (offensive foul),,92-85,,
4:11.0,J. Noah enters the game for N. Mirotic,,92-85,,
3:52.0,,,92-87,2,L. Stephenson makes 2-pt shot from 10 ft
3:30.0,Turnover by D. Rose (lost ball; steal by K. Walker),,92-87,,
3:24.0,,,92-87,,K. Walker misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by J. Butler,,92-87,,
3:17.0,K. Hinrich makes 3-pt shot from 24 ft (assist by D. Rose),3,95-87,,
3:03.0,,,95-87,,Turnover by L. Stephenson (traveling)
2:49.0,D. Rose misses 2-pt shot from 1 ft,,95-87,,
2:48.0,,,95-87,,Defensive rebound by A. Jefferson
2:33.0,,,95-89,2,A. Jefferson makes 2-pt shot from 8 ft
2:33.0,,,95-89,,Shooting foul by J. Noah (drawn by A. Jefferson)
2:33.0,,,95-89,,A. Jefferson misses free throw 1 of 1
2:31.0,Defensive rebound by K. Hinrich,,95-89,,
2:17.0,K. Hinrich makes 3-pt shot from 23 ft (assist by D. Rose),3,98-89,,
2:01.0,,,98-91,2,K. Walker makes 2-pt shot from 1 ft
1:40.0,Turnover by K. Hinrich (step out of bounds),,98-91,,
1:27.0,,,98-91,,K. Walker misses 2-pt shot from 7 ft
1:25.0,Defensive rebound by P. Gasol,,98-91,,
1:08.0,P. Gasol misses 2-pt shot from 1 ft,,98-91,,
