time,Toronto,pts.away,score,pts.home,Dallas
7:28.0,T. Ross misses 3-pt shot from 22 ft,,40-36,,
7:27.0,,,40-36,,Defensive rebound by T. Chandler
7:19.0,,,40-36,,Turnover by R. Jefferson (bad pass; steal by L. Williams)
7:16.0,L. Williams makes 2-pt shot from 2 ft,2,42-36,,
6:58.0,,,42-36,,Turnover by M. Ellis (bad pass; steal by C. Hayes)
6:53.0,G. Vasquez makes 3-pt shot from 25 ft (assist by J. Johnson),3,45-36,,
6:42.0,,,45-36,,Turnover by M. Ellis (bad pass; steal by T. Ross)
6:37.0,K. Lowry enters the game for G. Vasquez,,45-36,,
6:37.0,D. DeRozan enters the game for L. Williams,,45-36,,
6:37.0,J. Valanciunas enters the game for C. Hayes,,45-36,,
6:21.0,J. Valanciunas misses 2-pt shot from 6 ft,,45-36,,
6:20.0,,,45-36,,Defensive rebound by T. Chandler
6:01.0,,,45-36,,Turnover by T. Chandler (3 sec)
5:49.0,D. DeRozan makes 2-pt shot from 12 ft,2,47-36,,
5:35.0,,,47-38,2,M. Ellis makes 2-pt shot from 18 ft (assist by R. Rondo)
5:11.0,D. DeRozan misses 2-pt shot from 20 ft,,47-38,,
5:10.0,,,47-38,,Defensive rebound by T. Chandler
4:59.0,,,47-38,,M. Ellis misses 2-pt shot from 17 ft
4:58.0,Defensive rebound by D. DeRozan,,47-38,,
4:44.0,K. Lowry makes 2-pt shot from 18 ft,2,49-38,,
4:43.0,,,49-38,,Dallas full timeout
4:43.0,,,49-38,,D. Harris enters the game for R. Jefferson
4:43.0,,,49-38,,D. Nowitzki enters the game for C. Villanueva
4:26.0,,,49-38,,D. Nowitzki misses 2-pt shot from 11 ft
4:25.0,Defensive rebound by K. Lowry,,49-38,,
4:15.0,D. DeRozan makes 2-pt shot from 14 ft,2,51-38,,
3:59.0,,,51-40,2,M. Ellis makes 2-pt shot from 16 ft
3:42.0,Offensive foul by T. Ross,,51-40,,
3:42.0,Turnover by T. Ross (offensive foul),,51-40,,
