time,LA Lakers,pts.away,score,pts.home,Houston
9:56.0,,,26-26,,Shooting foul by R. Sacre (drawn by T. Ariza)
9:56.0,,,26-27,1,T. Ariza makes free throw 1 of 2
9:56.0,,,26-27,,D. Motiejunas enters the game for K. Papanikolaou
9:56.0,J. Hill enters the game for E. Davis,,26-27,,
9:56.0,,,26-27,,J. Harden enters the game for F. Garcia
9:56.0,,,26-28,1,T. Ariza makes free throw 2 of 2
9:45.0,W. Johnson misses 2-pt shot from 20 ft,,26-28,,
9:44.0,,,26-28,,Defensive rebound by T. Black
9:39.0,,,26-28,,Turnover by J. Terry (lost ball; steal by R. Price)
9:39.0,,,26-28,,Personal foul by J. Terry (drawn by R. Price)
9:26.0,J. Hill makes 2-pt shot at rim,2,28-28,,
9:15.0,,,28-28,,T. Ariza misses 2-pt shot from 19 ft
9:14.0,Defensive rebound by R. Price,,28-28,,
9:08.0,Turnover by R. Price (lost ball; steal by T. Ariza),,28-28,,
9:08.0,Personal foul by R. Price (drawn by J. Harden),,28-28,,
8:57.0,,,28-28,,Turnover by D. Motiejunas (lost ball; steal by W. Johnson)
8:53.0,R. Price makes 2-pt shot at rim (assist by W. Johnson),2,30-28,,
8:33.0,,,30-30,2,D. Motiejunas makes 2-pt shot at rim (assist by T. Black)
8:20.0,R. Price misses 3-pt shot from 24 ft,,30-30,,
8:19.0,,,30-30,,Defensive rebound by D. Motiejunas
8:04.0,,,30-30,,T. Ariza misses 3-pt shot from 23 ft
8:01.0,,,30-30,,Offensive rebound by Team
8:01.0,Official timeout,,30-30,,
8:01.0,,,30-30,,P. Beverley enters the game for J. Terry
7:54.0,,,30-30,,Turnover by D. Motiejunas (bad pass; steal by N. Young)
7:37.0,J. Hill misses 2-pt shot from 2 ft,,30-30,,
7:36.0,,,30-30,,Defensive rebound by J. Harden
7:24.0,,,30-33,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
7:12.0,R. Sacre makes 2-pt shot from 5 ft,2,32-33,,
7:02.0,,,32-33,,Shooting foul by R. Sacre (drawn by P. Beverley)
7:02.0,,,32-34,1,P. Beverley makes free throw 1 of 2
7:02.0,C. Boozer enters the game for N. Young,,32-34,,
7:02.0,J. Lin enters the game for R. Price,,32-34,,
7:02.0,K. Bryant enters the game for R. Sacre,,32-34,,
7:02.0,,,32-35,1,P. Beverley makes free throw 2 of 2
6:48.0,J. Hill makes 2-pt shot from 17 ft (assist by J. Lin),2,34-35,,
6:37.0,,,34-38,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
6:21.0,K. Bryant makes 2-pt shot at rim (assist by J. Lin),2,36-38,,
6:11.0,,,36-38,,P. Beverley misses 2-pt shot at rim (block by J. Lin)
6:10.0,Defensive rebound by Team,,36-38,,
5:52.0,J. Lin misses 2-pt shot from 20 ft,,36-38,,
5:51.0,Offensive rebound by W. Johnson,,36-38,,
5:48.0,J. Hill makes 2-pt shot from 6 ft (assist by W. Johnson),2,38-38,,
5:38.0,,,38-38,,Shooting foul by W. Johnson (drawn by J. Harden)
5:38.0,,,38-38,,Houston full timeout
5:38.0,,,38-38,,K. Papanikolaou enters the game for T. Black
5:38.0,,,38-39,1,J. Harden makes free throw 1 of 2
5:38.0,,,38-40,1,J. Harden makes free throw 2 of 2
5:24.0,K. Bryant makes 2-pt shot from 16 ft,2,40-40,,
5:09.0,,,40-40,,D. Motiejunas misses 2-pt shot from 5 ft
5:08.0,Defensive rebound by K. Bryant,,40-40,,
5:00.0,W. Johnson misses 3-pt shot from 22 ft,,40-40,,
4:59.0,,,40-40,,Defensive rebound by J. Harden
4:54.0,,,40-40,,Turnover by J. Harden (bad pass)
4:36.0,K. Bryant makes 2-pt shot from 17 ft,2,42-40,,
4:10.0,,,42-40,,P. Beverley misses 3-pt shot from 23 ft
4:09.0,Defensive rebound by C. Boozer,,42-40,,
4:02.0,C. Boozer makes 2-pt shot from 1 ft (assist by K. Bryant),2,44-40,,
4:02.0,Shooting foul by J. Harden (drawn by C. Boozer),,44-40,,
4:02.0,,,44-40,,T. Black enters the game for D. Motiejunas
4:02.0,C. Boozer makes free throw 1 of 1,1,45-40,,
3:45.0,,,45-42,2,T. Black makes 2-pt shot at rim (assist by T. Ariza)
3:24.0,W. Johnson misses 2-pt shot at rim,,45-42,,
3:23.0,,,45-42,,Defensive rebound by T. Black
3:18.0,,,45-44,2,J. Harden makes 2-pt shot at rim (assist by P. Beverley)
3:10.0,,,45-44,,Personal foul by J. Harden (drawn by J. Lin)
3:10.0,,,45-44,,J. Terry enters the game for J. Harden
2:58.0,J. Lin misses 2-pt shot from 7 ft (block by P. Beverley),,45-44,,
2:56.0,,,45-44,,Defensive rebound by T. Black
2:55.0,Violation by W. Johnson (kicked ball),,45-44,,
2:55.0,LA Lakers full timeout,,45-44,,
2:43.0,,,45-47,3,K. Papanikolaou makes 3-pt shot from 24 ft (assist by T. Ariza)
2:19.0,K. Bryant makes 2-pt shot from 11 ft,2,47-47,,
2:07.0,,,47-47,,Turnover by J. Terry (bad pass; steal by J. Hill)
1:48.0,J. Hill misses 2-pt shot from 16 ft,,47-47,,
1:47.0,,,47-47,,Defensive rebound by P. Beverley
1:38.0,,,47-47,,K. Papanikolaou misses 2-pt shot at rim
1:37.0,Defensive rebound by C. Boozer,,47-47,,
1:32.0,Turnover by C. Boozer (traveling),,47-47,,
1:32.0,,,47-47,,J. Harden enters the game for P. Beverley
1:13.0,,,47-49,2,J. Terry makes 2-pt shot from 16 ft (assist by J. Harden)
0:56.0,Turnover by K. Bryant (bad pass; steal by T. Ariza),,47-49,,
0:52.0,,,47-49,,Shooting foul by C. Boozer (drawn by K. Papanikolaou)
0:52.0,,,47-50,1,K. Papanikolaou makes free throw 1 of 2
0:52.0,,,47-51,1,K. Papanikolaou makes free throw 2 of 2
0:39.0,Turnover by J. Lin (bad pass; steal by K. Papanikolaou),,47-51,,
0:32.0,,,47-51,,T. Ariza misses 3-pt shot from 25 ft
0:30.0,,,47-51,,Offensive rebound by T. Black
0:29.0,,,47-51,,T. Black misses 2-pt shot at rim
0:28.0,Defensive rebound by C. Boozer,,47-51,,
0:15.0,,,47-51,,Personal foul by T. Ariza (drawn by K. Bryant)
0:04.0,K. Bryant makes 2-pt shot from 1 ft,2,49-51,,
0:00.0,,,49-51,,J. Terry misses 3-pt shot from 27 ft
0:00.0,,,49-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,49-53,2,P. Beverley makes 2-pt shot from 18 ft
11:19.0,C. Boozer misses 2-pt shot from 6 ft,,49-53,,
11:19.0,Offensive rebound by Team,,49-53,,
11:10.0,K. Bryant makes 2-pt shot from 18 ft,2,51-53,,
10:50.0,,,51-53,,P. Beverley misses 2-pt shot from 14 ft
10:49.0,Defensive rebound by J. Hill,,51-53,,
10:47.0,Offensive foul by J. Lin,,51-53,,
10:47.0,Turnover by J. Lin (offensive foul),,51-53,,
10:33.0,,,51-53,,T. Black misses 2-pt shot from 4 ft (block by J. Hill)
10:32.0,Defensive rebound by C. Boozer,,51-53,,
10:22.0,J. Lin misses 2-pt shot from 4 ft (block by P. Beverley),,51-53,,
10:21.0,,,51-53,,Defensive rebound by T. Ariza
10:16.0,,,51-55,2,J. Harden makes 2-pt shot at rim
9:58.0,Shooting foul by D. Motiejunas (drawn by C. Boozer),,51-55,,
9:58.0,C. Boozer makes free throw 1 of 2,1,52-55,,
9:58.0,C. Boozer misses free throw 2 of 2,,52-55,,
9:58.0,,,52-55,,Defensive rebound by T. Ariza
9:42.0,,,52-58,3,D. Motiejunas makes 3-pt shot from 24 ft (assist by J. Harden)
9:30.0,,,52-58,,Personal foul by P. Beverley (drawn by J. Lin)
9:20.0,Turnover by K. Bryant (lost ball),,52-58,,
9:08.0,,,52-58,,D. Motiejunas misses 2-pt shot from 6 ft
9:07.0,Defensive rebound by C. Boozer,,52-58,,
8:59.0,K. Bryant misses 2-pt shot from 14 ft,,52-58,,
8:58.0,,,52-58,,Defensive rebound by D. Motiejunas
8:43.0,,,52-58,,J. Harden misses 2-pt shot from 8 ft
8:43.0,Defensive rebound by J. Hill,,52-58,,
8:35.0,W. Johnson makes 2-pt shot from 1 ft (assist by J. Lin),2,54-58,,
8:18.0,,,54-58,,D. Motiejunas misses 3-pt shot from 22 ft
8:17.0,Defensive rebound by C. Boozer,,54-58,,
8:00.0,C. Boozer misses 2-pt shot from 15 ft,,54-58,,
7:58.0,,,54-58,,Defensive rebound by D. Motiejunas
7:50.0,,,54-61,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
7:32.0,K. Bryant misses 2-pt shot from 19 ft,,54-61,,
7:31.0,,,54-61,,Defensive rebound by T. Ariza
7:26.0,,,54-61,,Shooting foul by W. Johnson (drawn by J. Harden)
7:26.0,,,54-62,1,J. Harden makes free throw 1 of 2
7:26.0,E. Davis enters the game for C. Boozer,,54-62,,
7:26.0,,,54-62,,K. Papanikolaou enters the game for D. Motiejunas
7:26.0,,,54-62,,J. Harden misses free throw 2 of 2
7:26.0,Defensive rebound by J. Hill,,54-62,,
7:07.0,J. Hill makes 2-pt shot from 17 ft (assist by K. Bryant),2,56-62,,
6:46.0,,,56-64,2,P. Beverley makes 2-pt shot from 21 ft
6:28.0,J. Hill makes 2-pt shot from 21 ft (assist by K. Bryant),2,58-64,,
6:16.0,,,58-64,,P. Beverley misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by E. Davis,,58-64,,
5:59.0,J. Hill makes 2-pt shot from 18 ft (assist by K. Bryant),2,60-64,,
5:45.0,,,60-67,3,J. Harden makes 3-pt shot from 25 ft
5:22.0,K. Bryant misses 2-pt shot from 17 ft,,60-67,,
5:22.0,Offensive rebound by Team,,60-67,,
5:22.0,,,60-67,,Loose ball foul by K. Papanikolaou (drawn by E. Davis)
5:22.0,,,60-67,,Houston full timeout
5:22.0,,,60-67,,J. Dorsey enters the game for T. Black
5:22.0,N. Young enters the game for J. Lin,,60-67,,
5:11.0,K. Bryant makes 2-pt shot from 18 ft,2,62-67,,
4:50.0,Personal foul by N. Young (drawn by T. Ariza),,62-67,,
4:40.0,,,62-67,,Shooting foul by E. Davis (drawn by J. Dorsey)
4:40.0,,,62-68,1,J. Dorsey makes free throw 1 of 2
4:40.0,,,62-68,,J. Terry enters the game for P. Beverley
4:40.0,,,62-68,,J. Dorsey misses free throw 2 of 2
4:38.0,Defensive rebound by Team,,62-68,,
4:22.0,J. Hill misses 2-pt shot from 16 ft,,62-68,,
4:20.0,Offensive rebound by W. Johnson,,62-68,,
4:13.0,K. Bryant misses 3-pt shot from 24 ft,,62-68,,
4:12.0,,,62-68,,Defensive rebound by T. Ariza
4:06.0,,,62-68,,Shooting foul by N. Young (drawn by J. Harden)
4:06.0,,,62-69,1,J. Harden makes free throw 1 of 2
4:06.0,,,62-69,,F. Garcia enters the game for T. Ariza
4:06.0,,,62-70,1,J. Harden makes free throw 2 of 2
3:46.0,N. Young makes 3-pt shot from 25 ft,3,65-70,,
3:26.0,,,65-70,,F. Garcia misses 3-pt shot from 23 ft
3:25.0,Defensive rebound by J. Hill,,65-70,,
3:13.0,N. Young misses 2-pt shot from 5 ft (block by J. Terry),,65-70,,
3:11.0,Offensive rebound by J. Hill,,65-70,,
3:08.0,K. Bryant misses 2-pt shot from 1 ft,,65-70,,
3:05.0,,,65-70,,Defensive rebound by K. Papanikolaou
2:52.0,,,65-70,,F. Garcia misses 3-pt shot from 23 ft
2:51.0,,,65-70,,Offensive rebound by J. Dorsey
2:46.0,,,65-73,3,J. Harden makes 3-pt shot from 24 ft (assist by J. Dorsey)
2:14.0,K. Bryant misses 3-pt shot from 49 ft,,65-73,,
2:14.0,Offensive rebound by Team,,65-73,,
2:14.0,Turnover by Team (shot clock),,65-73,,
2:14.0,LA Lakers full timeout,,65-73,,
2:14.0,R. Price enters the game for J. Hill,,65-73,,
2:03.0,,,65-73,,J. Terry misses 3-pt shot from 24 ft
2:01.0,,,65-73,,Offensive rebound by J. Dorsey
1:55.0,,,65-75,2,J. Harden makes 2-pt shot from 15 ft (assist by J. Terry)
1:38.0,K. Bryant misses 2-pt shot from 9 ft,,65-75,,
1:37.0,Offensive rebound by E. Davis,,65-75,,
1:36.0,E. Davis misses 2-pt shot at rim,,65-75,,
1:35.0,,,65-75,,Defensive rebound by F. Garcia
1:35.0,,,65-75,,Turnover by F. Garcia (discontinued dribble)
1:35.0,,,65-75,,P. Beverley enters the game for J. Harden
1:24.0,K. Bryant misses 2-pt shot from 2 ft (block by J. Dorsey),,65-75,,
1:23.0,Offensive rebound by Team,,65-75,,
1:22.0,Shooting foul by J. Dorsey (drawn by K. Bryant),,65-75,,
1:22.0,K. Bryant makes free throw 1 of 2,1,66-75,,
1:22.0,K. Bryant makes free throw 2 of 2,1,67-75,,
1:03.0,,,67-75,,J. Dorsey misses 2-pt shot from 2 ft
1:02.0,Defensive rebound by K. Bryant,,67-75,,
1:02.0,,,67-75,,Personal foul by J. Dorsey (drawn by K. Bryant)
1:02.0,K. Bryant misses free throw 1 of 2,,67-75,,
1:02.0,Offensive rebound by Team,,67-75,,
1:02.0,J. Lin enters the game for W. Johnson,,67-75,,
1:02.0,K. Bryant makes free throw 2 of 2,1,68-75,,
0:44.0,,,68-75,,Offensive charge foul by K. Papanikolaou
0:44.0,,,68-75,,Turnover by K. Papanikolaou (offensive foul)
0:31.0,K. Bryant misses 3-pt shot from 25 ft,,68-75,,
0:30.0,Offensive rebound by E. Davis,,68-75,,
0:28.0,E. Davis makes 2-pt shot at rim,2,70-75,,
0:28.0,Shooting foul by J. Dorsey (drawn by E. Davis),,70-75,,
0:28.0,,,70-75,,J. Harden enters the game for J. Dorsey
0:28.0,E. Davis misses free throw 1 of 1,,70-75,,
0:28.0,,,70-75,,Defensive rebound by P. Beverley
0:02.0,,,70-75,,J. Harden misses 2-pt shot from 23 ft
0:01.0,Defensive rebound by E. Davis,,70-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,N. Young makes 2-pt shot from 18 ft,2,72-75,,
11:22.0,,,72-75,,K. Papanikolaou misses 3-pt shot from 24 ft
11:20.0,,,72-75,,Offensive rebound by P. Beverley
11:08.0,Personal foul by N. Young (drawn by F. Garcia),,72-75,,
11:05.0,,,72-75,,P. Beverley misses 2-pt shot at rim
11:04.0,Defensive rebound by Team,,72-75,,
11:04.0,Jump ball: P. Beverley vs. E. Davis (C. Boozer gains possession),,,,Jump ball: P. Beverley vs. E. Davis (C. Boozer gains possession)
10:53.0,N. Young misses 3-pt shot from 24 ft (block by F. Garcia),,72-75,,
10:50.0,,,72-75,,Defensive rebound by K. Papanikolaou
10:46.0,,,72-75,,J. Terry misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by N. Young,,72-75,,
10:39.0,,,72-75,,Personal foul by F. Garcia (drawn by J. Lin)
10:39.0,,,72-75,,T. Ariza enters the game for F. Garcia
10:31.0,J. Lin misses 2-pt shot at rim,,72-75,,
10:30.0,Offensive rebound by E. Davis,,72-75,,
10:30.0,E. Davis makes 2-pt shot at rim,2,74-75,,
10:17.0,,,74-75,,T. Black enters the game for D. Motiejunas
10:05.0,,,74-78,3,P. Beverley makes 3-pt shot from 24 ft (assist by K. Papanikolaou)
9:46.0,C. Boozer misses 2-pt shot from 16 ft,,74-78,,
9:44.0,,,74-78,,Defensive rebound by T. Ariza
9:27.0,,,74-78,,T. Ariza misses 2-pt shot from 14 ft
9:26.0,Defensive rebound by E. Davis,,74-78,,
9:09.0,C. Boozer misses 2-pt shot from 13 ft,,74-78,,
9:06.0,,,74-78,,Defensive rebound by Team
9:06.0,J. Hill enters the game for E. Davis,,74-78,,
8:52.0,,,74-78,,J. Terry misses 2-pt shot from 6 ft
8:51.0,Defensive rebound by J. Hill,,74-78,,
8:36.0,C. Boozer misses 2-pt shot from 3 ft,,74-78,,
8:35.0,,,74-78,,Defensive rebound by T. Black
8:31.0,,,74-81,3,J. Terry makes 3-pt shot from 24 ft (assist by P. Beverley)
8:30.0,LA Lakers full timeout,,74-81,,
8:30.0,,,74-81,,J. Harden enters the game for K. Papanikolaou
8:30.0,,,74-81,,D. Motiejunas enters the game for J. Terry
8:30.0,K. Bryant enters the game for J. Lin,,74-81,,
8:14.0,Shooting foul by T. Black (drawn by J. Hill),,74-81,,
8:14.0,J. Hill makes free throw 1 of 2,1,75-81,,
8:14.0,J. Hill makes free throw 2 of 2,1,76-81,,
8:01.0,,,76-81,,Turnover by J. Harden (bad pass)
7:48.0,N. Young makes 2-pt shot from 21 ft,2,78-81,,
7:45.0,Technical foul by N. Young,,78-81,,
7:45.0,,,78-81,,J. Harden misses technical free throw
7:45.0,,,78-81,,Offensive rebound by Team
7:24.0,,,78-81,,P. Beverley misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by Team,,78-81,,
7:23.0,,,78-81,,Loose ball foul by D. Motiejunas (drawn by C. Boozer)
7:23.0,W. Johnson enters the game for R. Price,,78-81,,
7:05.0,K. Bryant misses 2-pt shot from 11 ft,,78-81,,
7:04.0,Offensive rebound by Team,,78-81,,
6:54.0,J. Hill makes 2-pt shot at rim,2,80-81,,
6:39.0,,,80-81,,P. Beverley misses 3-pt shot from 23 ft
6:36.0,,,80-81,,Offensive rebound by T. Black
6:32.0,,,80-81,,T. Ariza misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by N. Young,,80-81,,
6:29.0,,,80-81,,Personal foul by P. Beverley (drawn by N. Young)
6:29.0,,,80-81,,J. Terry enters the game for P. Beverley
6:29.0,,,80-81,,K. Papanikolaou enters the game for D. Motiejunas
6:19.0,N. Young makes 2-pt shot from 1 ft (assist by K. Bryant),2,82-81,,
6:09.0,,,82-81,,Shooting foul by C. Boozer (drawn by J. Harden)
6:09.0,,,82-82,1,J. Harden makes free throw 1 of 2
6:09.0,,,82-83,1,J. Harden makes free throw 2 of 2
5:58.0,N. Young misses 3-pt shot from 24 ft,,82-83,,
5:57.0,,,82-83,,Defensive rebound by J. Harden
5:50.0,,,82-83,,Turnover by J. Harden (lost ball)
5:50.0,Official timeout,,82-83,,
5:36.0,C. Boozer misses 2-pt shot from 15 ft,,82-83,,
5:35.0,,,82-83,,Defensive rebound by Team
5:35.0,Loose ball foul by J. Hill (drawn by K. Papanikolaou),,82-83,,
5:12.0,,,82-85,2,J. Harden makes 2-pt shot from 6 ft
5:12.0,,,82-85,,Shooting foul by J. Hill (drawn by J. Harden)
5:12.0,,,82-86,1,J. Harden makes free throw 1 of 1
5:00.0,K. Bryant makes 2-pt shot from 1 ft,2,84-86,,
4:43.0,,,84-86,,Turnover by T. Ariza (bad pass)
4:27.0,K. Bryant misses 2-pt shot from 22 ft,,84-86,,
4:26.0,Offensive rebound by C. Boozer,,84-86,,
4:24.0,Turnover by C. Boozer (lost ball; steal by J. Harden),,84-86,,
4:22.0,,,84-88,2,K. Papanikolaou makes 2-pt shot from 1 ft (assist by J. Harden)
4:22.0,,,84-88,,Shooting foul by J. Hill (drawn by K. Papanikolaou)
4:22.0,,,84-89,1,K. Papanikolaou makes free throw 1 of 1
4:05.0,N. Young misses 3-pt shot from 25 ft,,84-89,,
4:04.0,,,84-89,,Defensive rebound by K. Papanikolaou
3:45.0,,,84-89,,J. Terry misses 2-pt shot from 17 ft
3:44.0,Defensive rebound by W. Johnson,,84-89,,
3:37.0,,,84-89,,Shooting block foul by T. Ariza (drawn by K. Bryant)
3:37.0,K. Bryant makes free throw 1 of 2,1,85-89,,
3:37.0,,,85-89,,P. Beverley enters the game for J. Terry
3:37.0,J. Lin enters the game for C. Boozer,,85-89,,
