time,Portland,pts.away,score,pts.home,Indiana
3:59.0,D. Lillard misses 3-pt shot from 25 ft,,14-14,,
3:58.0,,,14-14,,Defensive rebound by R. Hibbert
3:44.0,,,14-14,,D. West misses 2-pt shot from 6 ft
3:43.0,Defensive rebound by S. Blake,,14-14,,
3:34.0,,,14-14,,Personal foul by C. Watson (drawn by R. Lopez)
3:34.0,C. Kaman enters the game for R. Lopez,,14-14,,
3:34.0,,,14-14,,L. Allen enters the game for R. Hibbert
3:34.0,,,14-14,,C. Copeland enters the game for S. Hill
3:34.0,,,14-14,,D. Sloan enters the game for C. Watson
3:30.0,N. Batum makes 2-pt shot from 19 ft (assist by D. Lillard),2,16-14,,
3:09.0,,,16-14,,Shooting foul by C. Kaman (drawn by R. Stuckey)
3:09.0,Portland full timeout,,16-14,,
3:09.0,,,16-15,1,R. Stuckey makes free throw 1 of 2
3:09.0,,,16-15,,R. Stuckey misses free throw 2 of 2
3:08.0,,,16-15,,Offensive rebound by D. West
2:50.0,,,16-17,2,D. West makes 2-pt shot from 16 ft (assist by R. Stuckey)
2:35.0,L. Aldridge misses 2-pt shot from 13 ft,,16-17,,
2:33.0,,,16-17,,Defensive rebound by L. Allen
2:19.0,,,16-17,,D. Sloan misses 2-pt shot from 19 ft
2:18.0,Defensive rebound by Team,,16-17,,
2:18.0,A. Crabbe enters the game for N. Batum,,16-17,,
2:18.0,W. Matthews enters the game for D. Lillard,,16-17,,
2:02.0,L. Aldridge misses 2-pt shot from 9 ft,,16-17,,
2:01.0,Offensive rebound by C. Kaman,,16-17,,
1:57.0,C. Kaman makes 2-pt shot from 1 ft,2,18-17,,
1:57.0,Shooting foul by L. Allen (drawn by C. Kaman),,18-17,,
1:57.0,C. Kaman misses free throw 1 of 1,,18-17,,
1:55.0,,,18-17,,Defensive rebound by R. Stuckey
1:38.0,,,18-17,,Turnover by C. Copeland (lost ball; steal by S. Blake)
1:33.0,A. Crabbe makes 2-pt shot from 2 ft (assist by S. Blake),2,20-17,,
1:17.0,,,20-19,2,R. Stuckey makes 2-pt shot from 4 ft (assist by D. West)
1:04.0,S. Blake makes 2-pt shot from 16 ft,2,22-19,,
0:44.0,,,22-19,,Shooting foul by S. Blake (drawn by D. Sloan)
0:44.0,,,22-20,1,D. Sloan makes free throw 1 of 2
0:44.0,,,22-21,1,D. Sloan makes free throw 2 of 2
0:35.0,C. Kaman misses 2-pt shot from 3 ft,,22-21,,
0:34.0,,,22-21,,Defensive rebound by L. Allen
0:29.0,,,22-23,2,R. Stuckey makes 2-pt shot from 5 ft
0:07.0,C. Kaman misses 2-pt shot from 12 ft,,22-23,,
0:05.0,Offensive rebound by C. Kaman,,22-23,,
0:02.0,C. Kaman misses 2-pt shot from 12 ft,,22-23,,
0:02.0,,,22-23,,Defensive rebound by R. Stuckey
0:01.0,,,22-23,,R. Stuckey misses 2-pt shot from 3 ft
0:00.0,,,22-23,,Offensive rebound by L. Allen
0:00.0,,,22-23,,L. Allen misses 2-pt shot from 2 ft
0:00.0,,,22-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,C. Kaman makes 2-pt shot from 4 ft,2,24-23,,
11:18.0,,,24-23,,D. Sloan misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by A. Crabbe,,24-23,,
10:58.0,S. Blake makes 3-pt shot from 25 ft,3,27-23,,
10:44.0,,,27-25,2,L. Scola makes 2-pt shot from 18 ft (assist by D. Sloan)
10:34.0,W. Matthews makes 3-pt shot from 25 ft (assist by S. Blake),3,30-25,,
10:14.0,,,30-25,,C. Copeland misses 3-pt shot from 26 ft
10:13.0,Defensive rebound by A. Crabbe,,30-25,,
10:06.0,W. Matthews makes 3-pt shot from 25 ft (assist by S. Blake),3,33-25,,
9:48.0,,,33-25,,Turnover by C. Copeland (lost ball; steal by J. Freeland)
9:41.0,W. Matthews misses 3-pt shot from 24 ft,,33-25,,
9:40.0,,,33-25,,Defensive rebound by C. Copeland
9:28.0,Personal foul by J. Freeland (drawn by L. Scola),,33-25,,
9:28.0,,,33-25,,S. Hill enters the game for C. Copeland
9:16.0,,,33-25,,Shooting foul by S. Blake (drawn by L. Scola)
9:16.0,,,33-26,1,L. Scola makes free throw 1 of 2
9:16.0,,,33-27,1,L. Scola makes free throw 2 of 2
9:03.0,S. Blake makes 2-pt shot from 4 ft,2,35-27,,
9:03.0,Shooting foul by L. Allen (drawn by S. Blake),,35-27,,
9:03.0,S. Blake makes free throw 1 of 1,1,36-27,,
8:51.0,,,36-29,2,D. Sloan makes 2-pt shot from 3 ft
8:37.0,Turnover by C. Kaman (lost ball; steal by L. Scola),,36-29,,
8:34.0,,,36-29,,Shooting foul by A. Crabbe (drawn by L. Scola)
8:34.0,Official timeout,,36-29,,
8:34.0,,,36-29,,L. Scola misses free throw 1 of 2
8:34.0,,,36-29,,Offensive rebound by Team
8:34.0,,,36-30,1,L. Scola makes free throw 2 of 2
8:17.0,Turnover by C. Kaman (lost ball; steal by L. Scola),,36-30,,
8:13.0,,,36-30,,D. Sloan misses 2-pt shot from 4 ft (block by S. Blake)
8:13.0,,,36-30,,Offensive rebound by Team
8:11.0,,,36-30,,D. Rudez misses 2-pt shot from 16 ft
8:10.0,Defensive rebound by C. Kaman,,36-30,,
7:55.0,Shooting foul by D. Sloan (drawn by W. Matthews),,36-30,,
7:55.0,W. Matthews makes free throw 1 of 2,1,37-30,,
7:55.0,D. Lillard enters the game for A. Crabbe,,37-30,,
7:55.0,W. Matthews makes free throw 2 of 2,1,38-30,,
7:36.0,,,38-30,,L. Scola misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by C. Kaman,,38-30,,
7:13.0,J. Freeland makes 2-pt shot from 18 ft (assist by C. Kaman),2,40-30,,
7:12.0,,,40-30,,Indiana full timeout
7:12.0,,,40-30,,R. Hibbert enters the game for L. Allen
7:12.0,A. Crabbe enters the game for W. Matthews,,40-30,,
6:56.0,,,40-30,,R. Hibbert misses 2-pt shot from 16 ft
6:55.0,Defensive rebound by A. Crabbe,,40-30,,
6:44.0,C. Kaman makes 2-pt shot from 3 ft (assist by S. Blake),2,42-30,,
6:27.0,,,42-30,,D. Sloan misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by C. Kaman,,42-30,,
6:15.0,J. Freeland makes 2-pt shot from 17 ft (assist by S. Blake),2,44-30,,
6:00.0,,,44-30,,S. Hill misses 2-pt shot from 16 ft
5:59.0,Defensive rebound by C. Kaman,,44-30,,
5:48.0,Turnover by S. Blake (bad pass; steal by D. Rudez),,44-30,,
5:48.0,Personal take foul by C. Kaman (drawn by D. Rudez),,44-30,,
5:48.0,,,44-30,,C. Watson enters the game for D. Sloan
5:48.0,,,44-30,,R. Stuckey enters the game for D. Rudez
5:48.0,R. Lopez enters the game for S. Blake,,44-30,,
5:48.0,N. Batum enters the game for C. Kaman,,44-30,,
5:30.0,,,44-32,2,S. Hill makes 2-pt shot from 7 ft
5:04.0,R. Lopez makes 2-pt shot from 5 ft,2,46-32,,
4:46.0,,,46-32,,R. Stuckey misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by D. Lillard,,46-32,,
4:37.0,D. Lillard misses 2-pt shot from 17 ft,,46-32,,
4:35.0,,,46-32,,Defensive rebound by R. Stuckey
4:26.0,,,46-32,,Turnover by R. Stuckey (bad pass)
4:26.0,L. Aldridge enters the game for J. Freeland,,46-32,,
4:12.0,N. Batum misses 3-pt shot from 23 ft,,46-32,,
4:11.0,,,46-32,,Defensive rebound by S. Hill
4:04.0,,,46-32,,S. Hill misses 2-pt shot from 2 ft
4:03.0,,,46-32,,Offensive rebound by L. Scola
4:03.0,,,46-34,2,L. Scola makes 2-pt shot from 2 ft
3:48.0,,,46-34,,Personal block foul by L. Scola (drawn by D. Lillard)
3:39.0,D. Lillard makes 2-pt shot from 4 ft,2,48-34,,
3:22.0,,,48-34,,Turnover by R. Stuckey (bad pass)
3:10.0,D. Lillard makes 2-pt shot from 1 ft,2,50-34,,
3:10.0,,,50-34,,Indiana full timeout
3:10.0,,,50-34,,D. West enters the game for L. Scola
2:52.0,,,50-34,,R. Stuckey misses 2-pt shot from 19 ft
2:51.0,Defensive rebound by N. Batum,,50-34,,
2:37.0,,,50-34,,Personal foul by D. West (drawn by D. Lillard)
2:37.0,Portland full timeout,,50-34,,
2:37.0,W. Matthews enters the game for A. Crabbe,,50-34,,
2:27.0,D. Lillard misses 2-pt shot from 11 ft,,50-34,,
2:26.0,,,50-34,,Defensive rebound by R. Stuckey
2:08.0,,,50-36,2,S. Hill makes 2-pt shot from 1 ft
1:46.0,N. Batum makes 2-pt shot from 15 ft (assist by R. Lopez),2,52-36,,
1:35.0,,,52-36,,C. Watson misses 2-pt shot from 17 ft
1:33.0,Defensive rebound by D. Lillard,,52-36,,
1:24.0,Offensive charge foul by L. Aldridge,,52-36,,
1:24.0,Turnover by L. Aldridge (offensive foul),,52-36,,
1:03.0,,,52-36,,Turnover by S. Hill (bad pass; steal by N. Batum)
1:03.0,,,52-36,,Personal take foul by R. Hibbert (drawn by D. Lillard)
1:03.0,D. Lillard makes free throw 1 of 2,1,53-36,,
1:03.0,D. Lillard makes free throw 2 of 2,1,54-36,,
0:52.0,,,54-36,,R. Stuckey misses 2-pt shot from 4 ft (block by R. Lopez)
0:51.0,,,54-36,,Offensive rebound by R. Stuckey
0:50.0,,,54-38,2,R. Stuckey makes 2-pt shot from 1 ft
0:34.0,L. Aldridge makes 2-pt shot from 12 ft (assist by N. Batum),2,56-38,,
0:24.0,,,56-38,,S. Hill misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by W. Matthews,,56-38,,
0:14.0,Portland full timeout,,56-38,,
0:14.0,,,56-38,,D. Sloan enters the game for C. Watson
0:14.0,S. Blake enters the game for R. Lopez,,56-38,,
0:14.0,,,56-38,,L. Allen enters the game for R. Hibbert
0:01.0,D. Lillard makes 2-pt shot from 2 ft,2,58-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,L. Aldridge makes 2-pt shot from 11 ft,2,60-38,,
11:14.0,,,60-38,,D. West misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by L. Aldridge,,60-38,,
11:02.0,L. Aldridge misses 2-pt shot from 19 ft,,60-38,,
11:01.0,,,60-38,,Defensive rebound by R. Stuckey
10:47.0,,,60-40,2,R. Hibbert makes 2-pt shot from 10 ft
10:31.0,N. Batum makes 2-pt shot from 17 ft,2,62-40,,
10:06.0,,,62-40,,R. Hibbert misses 2-pt shot from 3 ft
10:05.0,Defensive rebound by L. Aldridge,,62-40,,
9:55.0,L. Aldridge misses 2-pt shot from 3 ft,,62-40,,
9:54.0,,,62-40,,Defensive rebound by R. Hibbert
9:44.0,,,62-40,,Turnover by C. Watson (lost ball; steal by L. Aldridge)
9:39.0,L. Aldridge makes 2-pt shot from 2 ft (assist by N. Batum),2,64-40,,
9:39.0,Shooting foul by D. West (drawn by L. Aldridge),,64-40,,
9:39.0,L. Aldridge makes free throw 1 of 1,1,65-40,,
9:23.0,,,65-40,,S. Hill misses 2-pt shot from 3 ft
9:22.0,Defensive rebound by L. Aldridge,,65-40,,
9:08.0,N. Batum misses 3-pt shot from 24 ft,,65-40,,
9:08.0,,,65-40,,Defensive rebound by R. Stuckey
8:57.0,,,65-40,,R. Hibbert misses 2-pt shot from 4 ft
8:56.0,Defensive rebound by L. Aldridge,,65-40,,
8:45.0,D. Lillard misses 2-pt shot from 3 ft,,65-40,,
8:44.0,Offensive rebound by L. Aldridge,,65-40,,
8:43.0,L. Aldridge makes 2-pt shot from 1 ft,2,67-40,,
8:42.0,,,67-40,,Indiana full timeout
8:36.0,Violation by D. Lillard (kicked ball),,67-40,,
8:25.0,,,67-40,,D. West misses 2-pt shot from 17 ft
8:24.0,Defensive rebound by R. Lopez,,67-40,,
8:03.0,L. Aldridge makes 2-pt shot from 19 ft (assist by N. Batum),2,69-40,,
7:47.0,,,69-42,2,D. West makes 2-pt shot from 17 ft (assist by C. Watson)
7:30.0,D. Lillard misses 2-pt shot from 19 ft,,69-42,,
7:29.0,,,69-42,,Defensive rebound by D. West
7:18.0,,,69-42,,R. Stuckey misses 2-pt shot from 10 ft
7:18.0,,,69-42,,Offensive rebound by Team
7:18.0,Loose ball foul by N. Batum (drawn by R. Hibbert),,69-42,,
7:06.0,,,69-44,2,C. Watson makes 2-pt shot from 14 ft
6:46.0,L. Aldridge misses 2-pt shot from 16 ft,,69-44,,
6:45.0,,,69-44,,Defensive rebound by R. Hibbert
6:36.0,,,69-46,2,D. West makes 2-pt shot from 19 ft (assist by R. Stuckey)
6:14.0,D. Lillard misses 2-pt shot from 18 ft,,69-46,,
6:13.0,Offensive rebound by R. Lopez,,69-46,,
6:08.0,W. Matthews misses 2-pt shot from 8 ft,,69-46,,
6:06.0,Offensive rebound by Team,,69-46,,
5:59.0,D. Lillard makes 2-pt shot from 3 ft (assist by N. Batum),2,71-46,,
5:44.0,,,71-46,,R. Stuckey misses 2-pt shot from 11 ft
5:43.0,,,71-46,,Offensive rebound by S. Hill
5:42.0,,,71-48,2,S. Hill makes 2-pt shot from 1 ft
5:19.0,W. Matthews makes 2-pt shot from 15 ft,2,73-48,,
5:01.0,,,73-48,,R. Hibbert misses 2-pt shot from 15 ft
5:00.0,,,73-48,,Offensive rebound by D. West
4:54.0,,,73-50,2,C. Watson makes 2-pt shot from 15 ft (assist by D. West)
4:38.0,R. Lopez makes 2-pt shot from 11 ft (assist by D. Lillard),2,75-50,,
4:28.0,,,75-52,2,D. West makes 2-pt shot from 16 ft (assist by C. Watson)
4:15.0,,,75-52,,Personal foul by D. West (drawn by R. Lopez)
4:15.0,,,75-52,,L. Allen enters the game for R. Hibbert
4:15.0,C. Kaman enters the game for R. Lopez,,75-52,,
4:15.0,S. Blake enters the game for W. Matthews,,75-52,,
4:08.0,C. Kaman makes 2-pt shot from 7 ft (assist by N. Batum),2,77-52,,
3:57.0,,,77-55,3,C. Watson makes 3-pt shot from 24 ft
3:37.0,Turnover by N. Batum (bad pass; steal by R. Stuckey),,77-55,,
3:34.0,Violation by N. Batum (def goaltending),,77-55,,
3:34.0,,,77-57,2,R. Stuckey makes 2-pt shot from 2 ft
3:19.0,D. Lillard makes 2-pt shot from 1 ft,2,79-57,,
3:08.0,Personal foul by L. Aldridge (drawn by R. Stuckey),,79-57,,
3:02.0,,,79-59,2,C. Watson makes 2-pt shot from 18 ft
2:44.0,D. Lillard misses 2-pt shot from 16 ft,,79-59,,
2:42.0,Offensive rebound by L. Aldridge,,79-59,,
2:42.0,L. Aldridge makes 2-pt shot at rim,2,81-59,,
2:42.0,Shooting foul by L. Allen (drawn by L. Aldridge),,81-59,,
2:42.0,Portland full timeout,,81-59,,
2:42.0,,,81-59,,D. Sloan enters the game for R. Stuckey
2:42.0,A. Crabbe enters the game for D. Lillard,,81-59,,
2:42.0,L. Aldridge makes free throw 1 of 1,1,82-59,,
2:23.0,,,82-59,,L. Allen misses 2-pt shot from 17 ft
2:22.0,Defensive rebound by N. Batum,,82-59,,
2:14.0,L. Aldridge misses 2-pt shot from 18 ft,,82-59,,
2:13.0,,,82-59,,Defensive rebound by S. Hill
2:07.0,,,82-59,,S. Hill misses 2-pt shot from 1 ft
2:06.0,,,82-59,,Offensive rebound by L. Allen
2:04.0,,,82-61,2,L. Allen makes 2-pt shot at rim
1:46.0,Offensive charge foul by L. Aldridge,,82-61,,
1:46.0,Turnover by L. Aldridge (offensive foul),,82-61,,
1:34.0,,,82-61,,S. Hill misses 2-pt shot from 1 ft
1:33.0,,,82-61,,Offensive rebound by S. Hill
1:27.0,,,82-63,2,S. Hill makes 2-pt shot from 18 ft (assist by D. West)
1:03.0,S. Blake misses 3-pt shot from 25 ft,,82-63,,
1:00.0,,,82-63,,Defensive rebound by S. Hill
0:50.0,Personal foul by A. Crabbe (drawn by D. West),,82-63,,
0:50.0,W. Matthews enters the game for N. Batum,,82-63,,
0:42.0,,,82-63,,S. Hill misses 3-pt shot from 23 ft
0:40.0,,,82-63,,Offensive rebound by Team
0:38.0,,,82-63,,Shooting foul by C. Kaman (drawn by C. Watson)
0:38.0,,,82-64,1,C. Watson makes free throw 1 of 3
0:38.0,,,82-65,1,C. Watson makes free throw 2 of 3
0:38.0,,,82-66,1,C. Watson makes free throw 3 of 3
0:30.0,Turnover by L. Aldridge (lost ball),,82-66,,
0:10.0,,,82-66,,D. Sloan misses 2-pt shot from 2 ft
0:08.0,Defensive rebound by S. Blake,,82-66,,
0:02.0,S. Blake misses 2-pt shot from 18 ft,,82-66,,
0:01.0,,,82-66,,Defensive rebound by Team
0:01.0,D. Lillard enters the game for S. Blake,,82-66,,
0:00.0,,,82-66,,C. Watson misses 3-pt shot from 27 ft
0:00.0,,,82-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:55.0,Personal foul by S. Blake (drawn by D. Sloan),,82-66,,
11:46.0,,,82-68,2,L. Scola makes 2-pt shot from 2 ft
11:46.0,,,82-68,,Shooting foul by J. Freeland (drawn by L. Scola)
11:46.0,,,82-69,1,L. Scola makes free throw 1 of 1
11:30.0,W. Matthews misses 2-pt shot from 16 ft,,82-69,,
11:29.0,,,82-69,,Defensive rebound by L. Scola
11:14.0,,,82-69,,R. Stuckey misses 2-pt shot from 13 ft
11:12.0,Defensive rebound by W. Matthews,,82-69,,
10:55.0,C. Kaman misses 2-pt shot from 5 ft,,82-69,,
10:53.0,,,82-69,,Defensive rebound by R. Stuckey
10:41.0,,,82-69,,L. Scola misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by W. Matthews,,82-69,,
10:29.0,C. Kaman misses 2-pt shot from 16 ft,,82-69,,
10:28.0,,,82-69,,Defensive rebound by L. Scola
10:21.0,,,82-69,,D. Sloan misses 2-pt shot from 4 ft (block by J. Freeland)
10:20.0,Defensive rebound by A. Crabbe,,82-69,,
10:06.0,W. Matthews misses 3-pt shot from 25 ft,,82-69,,
10:05.0,,,82-69,,Defensive rebound by L. Allen
9:43.0,,,82-71,2,D. Sloan makes 2-pt shot from 3 ft
9:42.0,Portland full timeout,,82-71,,
9:42.0,N. Batum enters the game for A. Crabbe,,82-71,,
9:42.0,D. Lillard enters the game for S. Blake,,82-71,,
9:22.0,C. Kaman misses 2-pt shot from 16 ft,,82-71,,
9:22.0,Offensive rebound by J. Freeland,,82-71,,
9:22.0,,,82-71,,Loose ball foul by L. Scola (drawn by J. Freeland)
9:10.0,C. Kaman makes 2-pt shot from 1 ft,2,84-71,,
8:44.0,,,84-71,,D. Sloan misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by Team,,84-71,,
8:29.0,Turnover by D. Lillard (bad pass; steal by D. Sloan),,84-71,,
8:24.0,,,84-71,,R. Stuckey misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by Team,,84-71,,
8:09.0,,,84-71,,Personal foul by D. Rudez (drawn by N. Batum)
8:09.0,R. Lopez enters the game for C. Kaman,,84-71,,
8:04.0,D. Lillard misses 2-pt shot from 20 ft,,84-71,,
8:03.0,,,84-71,,Defensive rebound by L. Scola
7:43.0,,,84-71,,Turnover by L. Allen (bad pass; steal by R. Lopez)
7:27.0,Turnover by N. Batum (traveling),,84-71,,
7:27.0,L. Aldridge enters the game for J. Freeland,,84-71,,
7:09.0,,,84-71,,D. Sloan misses 2-pt shot from 10 ft
7:08.0,,,84-71,,Offensive rebound by L. Allen
7:06.0,,,84-71,,Turnover by D. Sloan (bad pass)
6:51.0,W. Matthews misses 3-pt shot from 25 ft,,84-71,,
6:50.0,,,84-71,,Defensive rebound by L. Allen
6:45.0,,,84-71,,Turnover by D. Sloan (lost ball; steal by D. Lillard)
6:41.0,Turnover by W. Matthews (lost ball; steal by D. Rudez),,84-71,,
6:39.0,,,84-71,,Indiana full timeout
6:39.0,,,84-71,,R. Hibbert enters the game for R. Stuckey
6:39.0,,,84-71,,S. Hill enters the game for L. Allen
6:39.0,,,84-71,,C. Watson enters the game for D. Sloan
6:39.0,S. Blake enters the game for W. Matthews,,84-71,,
6:23.0,,,84-71,,D. Rudez misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by L. Aldridge,,84-71,,
6:20.0,Turnover by L. Aldridge (lost ball; steal by L. Scola),,84-71,,
6:14.0,,,84-71,,Turnover by D. Rudez (back court)
6:14.0,,,84-71,,R. Stuckey enters the game for D. Rudez
6:06.0,L. Aldridge misses 2-pt shot from 3 ft,,84-71,,
6:05.0,,,84-71,,Defensive rebound by L. Scola
5:56.0,,,84-73,2,C. Watson makes 2-pt shot from 17 ft
5:42.0,,,84-73,,Personal foul by L. Scola (drawn by L. Aldridge)
5:42.0,,,84-73,,D. West enters the game for L. Scola
5:39.0,D. Lillard misses 2-pt shot from 8 ft,,84-73,,
5:38.0,,,84-73,,Defensive rebound by R. Stuckey
5:29.0,,,84-73,,R. Stuckey misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by L. Aldridge,,84-73,,
5:07.0,L. Aldridge misses 2-pt shot from 3 ft (block by D. West),,84-73,,
5:07.0,Offensive rebound by L. Aldridge,,84-73,,
5:07.0,L. Aldridge misses 2-pt shot from 3 ft (block by R. Hibbert),,84-73,,
5:07.0,,,84-73,,Defensive rebound by R. Hibbert
5:07.0,Jump ball: L. Aldridge vs. R. Hibbert (D. West gains possession),,,,Jump ball: L. Aldridge vs. R. Hibbert (D. West gains possession)
4:49.0,,,84-76,3,C. Watson makes 3-pt shot from 23 ft (assist by D. West)
4:32.0,N. Batum misses 3-pt shot from 26 ft,,84-76,,
4:29.0,Offensive rebound by R. Lopez,,84-76,,
4:28.0,R. Lopez makes 2-pt shot from 1 ft,2,86-76,,
4:18.0,,,86-78,2,D. West makes 2-pt shot from 19 ft (assist by C. Watson)
3:57.0,L. Aldridge makes 2-pt shot from 19 ft (assist by S. Blake),2,88-78,,
3:49.0,Personal block foul by D. Lillard (drawn by C. Watson),,88-78,,
3:49.0,W. Matthews enters the game for S. Blake,,88-78,,
3:34.0,,,88-78,,R. Hibbert misses 2-pt shot from 19 ft
3:33.0,Defensive rebound by R. Lopez,,88-78,,
3:32.0,,,88-78,,Personal foul by S. Hill (drawn by R. Lopez)
3:20.0,D. Lillard makes 2-pt shot from 19 ft,2,90-78,,
3:06.0,Personal foul by D. Lillard (drawn by D. West),,90-78,,
3:00.0,,,90-78,,S. Hill misses 2-pt shot from 4 ft (block by R. Lopez)
2:59.0,Defensive rebound by Team,,90-78,,
2:59.0,Official timeout,,90-78,,
