time,Denver,pts.away,score,pts.home,Washington
8:13.0,,,8-2,,Shooting foul by W. Chandler (drawn by P. Pierce)
8:13.0,,,8-3,1,P. Pierce makes free throw 1 of 2
8:13.0,,,8-4,1,P. Pierce makes free throw 2 of 2
7:58.0,Turnover by K. Faried (lost ball),,8-4,,
7:46.0,,,8-4,,Shooting foul by T. Mozgov (drawn by M. Gortat)
7:46.0,,,8-5,1,M. Gortat makes free throw 1 of 2
7:46.0,J. Hickson enters the game for T. Mozgov,,8-5,,
7:46.0,,,8-6,1,M. Gortat makes free throw 2 of 2
7:36.0,A. Afflalo misses 3-pt shot from 25 ft,,8-6,,
7:36.0,Offensive rebound by Team,,8-6,,
7:29.0,Shooting foul by K. Humphries (drawn by K. Faried),,8-6,,
7:29.0,K. Faried misses free throw 1 of 2,,8-6,,
7:29.0,Offensive rebound by Team,,8-6,,
7:29.0,K. Faried makes free throw 2 of 2,1,9-6,,
7:20.0,,,9-8,2,P. Pierce makes 2-pt shot from 1 ft (assist by B. Beal)
7:15.0,Offensive foul by K. Faried,,9-8,,
7:15.0,Turnover by K. Faried (offensive foul),,9-8,,
7:01.0,,,9-10,2,P. Pierce makes 2-pt shot from 10 ft
6:48.0,Turnover by J. Hickson (bad pass; steal by P. Pierce),,9-10,,
6:41.0,,,9-10,,Shooting foul by J. Hickson (drawn by K. Humphries)
6:41.0,,,9-11,1,K. Humphries makes free throw 1 of 2
6:41.0,,,9-11,,K. Humphries misses free throw 2 of 2
6:38.0,Defensive rebound by K. Faried,,9-11,,
6:18.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Hickson),3,12-11,,
6:03.0,,,12-13,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
5:44.0,Shooting foul by J. Wall (drawn by T. Lawson),,12-13,,
5:44.0,,,12-13,,Washington full timeout
5:44.0,T. Lawson makes free throw 1 of 2,1,13-13,,
5:44.0,T. Lawson makes free throw 2 of 2,1,14-13,,
5:25.0,,,14-13,,Turnover by M. Gortat (bad pass)
5:05.0,T. Lawson misses 2-pt shot from 20 ft,,14-13,,
5:03.0,,,14-13,,Defensive rebound by B. Beal
4:51.0,,,14-15,2,P. Pierce makes 2-pt shot from 1 ft (assist by B. Beal)
4:42.0,Shooting foul by B. Beal (drawn by T. Lawson),,14-15,,
4:42.0,T. Lawson makes free throw 1 of 2,1,15-15,,
4:42.0,T. Lawson makes free throw 2 of 2,1,16-15,,
4:30.0,,,16-15,,P. Pierce misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by W. Chandler,,16-15,,
4:25.0,W. Chandler makes 2-pt shot from 3 ft,2,18-15,,
4:25.0,Shooting foul by M. Gortat (drawn by W. Chandler),,18-15,,
4:25.0,,,18-15,,R. Butler enters the game for P. Pierce
4:25.0,W. Chandler makes free throw 1 of 1,1,19-15,,
4:16.0,,,19-18,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
4:04.0,K. Faried makes 2-pt shot at rim,2,21-18,,
3:50.0,,,21-21,3,B. Beal makes 3-pt shot from 22 ft (assist by J. Wall)
3:38.0,Turnover by K. Faried (bad pass; steal by B. Beal),,21-21,,
3:31.0,,,21-24,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
3:30.0,Denver full timeout,,21-24,,
3:30.0,,,21-24,,N. Hilario enters the game for K. Humphries
3:30.0,D. Arthur enters the game for K. Faried,,21-24,,
3:15.0,J. Hickson misses 2-pt shot from 17 ft,,21-24,,
3:13.0,,,21-24,,Defensive rebound by J. Wall
3:06.0,,,21-26,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
2:52.0,Turnover by A. Afflalo (bad pass; steal by R. Butler),,21-26,,
2:38.0,,,21-26,,Turnover by J. Wall (step out of bounds)
2:26.0,J. Hickson misses 2-pt shot from 4 ft,,21-26,,
2:25.0,,,21-26,,Defensive rebound by M. Gortat
2:10.0,,,21-28,2,B. Beal makes 2-pt shot from 16 ft (assist by R. Butler)
1:53.0,W. Chandler misses 2-pt shot from 3 ft,,21-28,,
1:53.0,Offensive rebound by J. Hickson,,21-28,,
1:50.0,J. Hickson misses 2-pt shot from 1 ft,,21-28,,
1:49.0,Offensive rebound by W. Chandler,,21-28,,
1:47.0,W. Chandler misses 2-pt shot from 17 ft,,21-28,,
1:46.0,Offensive rebound by J. Hickson,,21-28,,
1:44.0,D. Arthur misses 2-pt shot from 21 ft,,21-28,,
1:42.0,,,21-28,,Defensive rebound by N. Hilario
1:27.0,,,21-28,,B. Beal misses 2-pt shot at rim (block by D. Arthur)
1:25.0,,,21-28,,Offensive rebound by M. Gortat
1:23.0,,,21-28,,M. Gortat misses 2-pt shot at rim (block by W. Chandler)
1:22.0,Defensive rebound by W. Chandler,,21-28,,
1:17.0,W. Chandler misses 2-pt shot from 1 ft (block by J. Wall),,21-28,,
1:17.0,Offensive rebound by Team,,21-28,,
1:17.0,,,21-28,,O. Porter enters the game for B. Beal
1:17.0,D. Gallinari enters the game for W. Chandler,,21-28,,
1:02.0,A. Afflalo makes 2-pt shot at rim,2,23-28,,
0:48.0,Personal foul by T. Lawson (drawn by J. Wall),,23-28,,
0:48.0,,,23-29,1,J. Wall makes free throw 1 of 2
0:48.0,,,23-29,,K. Seraphin enters the game for M. Gortat
0:48.0,G. Harris enters the game for A. Afflalo,,23-29,,
0:48.0,,,23-30,1,J. Wall makes free throw 2 of 2
0:39.0,,,23-30,,Shooting block foul by K. Seraphin (drawn by T. Lawson)
0:39.0,T. Lawson makes free throw 1 of 2,1,24-30,,
0:39.0,T. Lawson makes free throw 2 of 2,1,25-30,,
0:30.0,,,25-30,,O. Porter misses 2-pt shot from 19 ft
0:28.0,Defensive rebound by J. Hickson,,25-30,,
0:08.0,J. Hickson makes 2-pt shot at rim (assist by T. Lawson),2,27-30,,
0:08.0,Shooting foul by K. Seraphin (drawn by J. Hickson),,27-30,,
0:08.0,J. Hickson makes free throw 1 of 1,1,28-30,,
0:05.0,,,28-30,,Turnover by J. Wall (lost ball)
0:03.0,D. Arthur misses 2-pt shot from 18 ft,,28-30,,
0:02.0,,,28-30,,Defensive rebound by O. Porter
0:01.0,,,28-30,,O. Porter misses 3-pt shot from 64 ft
0:00.0,,,28-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by J. Hickson (bad pass; steal by N. Hilario),,28-30,,
11:46.0,,,28-30,,Turnover by O. Porter (lost ball; steal by J. Hickson)
11:40.0,G. Harris misses 2-pt shot from 21 ft,,28-30,,
11:37.0,,,28-30,,Defensive rebound by K. Seraphin
11:20.0,,,28-32,2,R. Butler makes 2-pt shot from 17 ft (assist by A. Miller)
11:05.0,D. Gallinari misses 3-pt shot from 27 ft,,28-32,,
11:03.0,,,28-32,,Defensive rebound by O. Porter
10:50.0,Personal foul by G. Harris (drawn by O. Porter),,28-32,,
10:36.0,,,28-32,,R. Butler misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by G. Harris,,28-32,,
10:32.0,Turnover by G. Harris (bad pass; steal by R. Butler),,28-32,,
10:19.0,Violation by J. Hickson (def goaltending),,28-32,,
10:19.0,,,28-34,2,R. Butler makes 2-pt shot from 2 ft
10:00.0,D. Gallinari makes 2-pt shot from 2 ft,2,30-34,,
9:41.0,,,30-34,,N. Hilario misses 2-pt shot from 16 ft
9:40.0,Defensive rebound by D. Arthur,,30-34,,
9:32.0,J. Hickson misses 2-pt shot from 4 ft (block by K. Seraphin),,30-34,,
9:30.0,,,30-34,,Defensive rebound by O. Porter
9:19.0,,,30-36,2,R. Butler makes 2-pt shot from 15 ft
9:07.0,,,30-36,,Personal foul by A. Miller (drawn by D. Arthur)
8:58.0,N. Robinson misses 2-pt shot from 19 ft (block by N. Hilario),,30-36,,
8:56.0,,,30-36,,Defensive rebound by N. Hilario
8:48.0,,,30-38,2,K. Seraphin makes 2-pt shot from 17 ft (assist by A. Miller)
8:34.0,G. Harris misses 2-pt shot from 5 ft (block by O. Porter),,30-38,,
8:32.0,Offensive rebound by D. Arthur,,30-38,,
8:32.0,Offensive foul by D. Arthur,,30-38,,
8:32.0,Turnover by D. Arthur (offensive foul),,30-38,,
8:32.0,Official timeout,,30-38,,
8:32.0,,,30-38,,K. Humphries enters the game for N. Hilario
8:32.0,T. Mozgov enters the game for J. Hickson,,30-38,,
8:17.0,,,30-40,2,K. Humphries makes 2-pt shot from 15 ft (assist by K. Seraphin)
7:54.0,T. Mozgov makes 2-pt shot from 7 ft (assist by D. Arthur),2,32-40,,
7:44.0,,,32-42,2,A. Miller makes 2-pt shot from 1 ft
7:25.0,D. Gallinari misses 2-pt shot from 19 ft,,32-42,,
7:24.0,Offensive rebound by D. Arthur,,32-42,,
7:20.0,N. Robinson makes 3-pt shot from 27 ft (assist by D. Arthur),3,35-42,,
7:04.0,,,35-42,,K. Humphries misses 2-pt shot from 2 ft (block by T. Mozgov)
7:03.0,Defensive rebound by D. Gallinari,,35-42,,
6:54.0,T. Mozgov misses 2-pt shot at rim (block by R. Butler),,35-42,,
6:53.0,,,35-42,,Defensive rebound by A. Miller
6:51.0,,,35-42,,Shooting foul by D. Arthur (drawn by O. Porter)
6:51.0,,,35-43,1,O. Porter makes free throw 1 of 2
6:51.0,,,35-44,1,O. Porter makes free throw 2 of 2
6:35.0,D. Arthur misses 3-pt shot from 26 ft,,35-44,,
6:34.0,,,35-44,,Defensive rebound by O. Porter
6:27.0,,,35-44,,Turnover by A. Miller (bad pass; steal by T. Mozgov)
6:26.0,K. Faried enters the game for D. Arthur,,35-44,,
6:16.0,N. Robinson makes 2-pt shot from 21 ft,2,37-44,,
6:02.0,,,37-47,3,R. Butler makes 3-pt shot from 25 ft (assist by O. Porter)
5:57.0,,,37-47,,Personal foul by A. Miller (drawn by N. Robinson)
5:57.0,,,37-47,,Washington full timeout
5:57.0,A. Afflalo enters the game for G. Harris,,37-47,,
5:57.0,W. Chandler enters the game for D. Gallinari,,37-47,,
5:48.0,A. Afflalo misses 2-pt shot from 4 ft (block by R. Butler),,37-47,,
5:48.0,Offensive rebound by Team,,37-47,,
5:38.0,N. Robinson misses 3-pt shot from 23 ft,,37-47,,
5:36.0,,,37-47,,Defensive rebound by A. Miller
5:30.0,,,37-49,2,K. Humphries makes 2-pt shot from 18 ft (assist by A. Miller)
5:08.0,K. Faried makes 2-pt shot from 5 ft,2,39-49,,
4:49.0,,,39-49,,R. Butler misses 2-pt shot from 21 ft
4:48.0,,,39-49,,Offensive rebound by K. Humphries
4:34.0,,,39-49,,O. Porter misses 3-pt shot from 24 ft
4:32.0,Defensive rebound by T. Mozgov,,39-49,,
4:16.0,Turnover by N. Robinson (bad pass; steal by O. Porter),,39-49,,
4:12.0,,,39-51,2,K. Humphries makes 2-pt shot at rim (assist by O. Porter)
4:11.0,Denver full timeout,,39-51,,
4:11.0,,,39-51,,J. Wall enters the game for R. Butler
4:11.0,,,39-51,,B. Beal enters the game for O. Porter
4:11.0,,,39-51,,P. Pierce enters the game for A. Miller
4:11.0,T. Lawson enters the game for N. Robinson,,39-51,,
3:58.0,K. Faried makes 2-pt shot from 4 ft (assist by T. Lawson),2,41-51,,
3:42.0,,,41-53,2,K. Humphries makes 2-pt shot from 17 ft (assist by B. Beal)
3:24.0,W. Chandler misses 2-pt shot from 5 ft,,41-53,,
3:23.0,,,41-53,,Defensive rebound by J. Wall
3:13.0,,,41-55,2,K. Seraphin makes 2-pt shot at rim (assist by J. Wall)
3:00.0,Turnover by A. Afflalo (lost ball; steal by J. Wall),,41-55,,
2:57.0,,,41-55,,Shooting foul by W. Chandler (drawn by K. Humphries)
2:57.0,Denver full timeout,,41-55,,
2:57.0,D. Gallinari enters the game for K. Faried,,41-55,,
2:57.0,,,41-56,1,K. Humphries makes free throw 1 of 2
2:57.0,,,41-57,1,K. Humphries makes free throw 2 of 2
2:34.0,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson),3,44-57,,
2:18.0,,,44-57,,K. Seraphin misses 2-pt shot from 5 ft (block by T. Mozgov)
2:18.0,,,44-57,,Offensive rebound by K. Seraphin
2:18.0,,,44-57,,Turnover by K. Seraphin (traveling)
2:18.0,,,44-57,,M. Gortat enters the game for K. Seraphin
2:09.0,T. Mozgov misses 2-pt shot from 1 ft (block by M. Gortat),,44-57,,
2:07.0,,,44-57,,Defensive rebound by P. Pierce
2:02.0,,,44-57,,B. Beal misses 3-pt shot from 24 ft
2:00.0,,,44-57,,Offensive rebound by P. Pierce
1:53.0,,,44-59,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
1:43.0,A. Afflalo misses 3-pt shot from 25 ft,,44-59,,
1:42.0,,,44-59,,Defensive rebound by B. Beal
1:22.0,,,44-59,,K. Humphries misses 2-pt shot from 17 ft
1:21.0,,,44-59,,Offensive rebound by P. Pierce
1:19.0,,,44-61,2,P. Pierce makes 2-pt shot at rim
1:07.0,T. Lawson misses 2-pt shot from 16 ft,,44-61,,
1:06.0,,,44-61,,Defensive rebound by P. Pierce
1:02.0,,,44-63,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
1:02.0,,,44-63,,Shooting foul by W. Chandler (drawn by M. Gortat)
1:02.0,A. Gee enters the game for W. Chandler,,44-63,,
1:02.0,,,44-64,1,M. Gortat makes free throw 1 of 1
0:47.0,A. Gee makes 2-pt shot from 1 ft (assist by T. Lawson),2,46-64,,
0:37.0,,,46-64,,K. Humphries misses 2-pt shot at rim
0:36.0,Defensive rebound by T. Mozgov,,46-64,,
0:27.0,T. Lawson misses 2-pt shot from 7 ft (block by K. Humphries),,46-64,,
0:26.0,,,46-64,,Defensive rebound by P. Pierce
0:03.0,,,46-64,,P. Pierce misses 2-pt shot from 13 ft
0:02.0,,,46-64,,Offensive rebound by K. Humphries
0:01.0,Personal foul by D. Gallinari (drawn by K. Humphries),,46-64,,
0:01.0,,,46-65,1,K. Humphries makes free throw 1 of 2
0:01.0,,,46-65,,K. Humphries misses free throw 2 of 2
0:00.0,Defensive rebound by T. Mozgov,,46-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Shooting foul by M. Gortat (drawn by T. Mozgov),,46-65,,
11:41.0,T. Mozgov makes free throw 1 of 2,1,47-65,,
11:41.0,T. Mozgov makes free throw 2 of 2,1,48-65,,
11:18.0,,,48-67,2,K. Humphries makes 2-pt shot from 17 ft (assist by M. Gortat)
11:07.0,K. Faried misses 2-pt shot from 15 ft,,48-67,,
11:06.0,,,48-67,,Defensive rebound by M. Gortat
10:55.0,,,48-69,2,M. Gortat makes 2-pt shot from 12 ft (assist by J. Wall)
10:32.0,A. Afflalo misses 3-pt shot from 28 ft,,48-69,,
10:31.0,,,48-69,,Defensive rebound by J. Wall
10:18.0,,,48-69,,J. Wall misses 2-pt shot from 19 ft
10:17.0,Defensive rebound by T. Mozgov,,48-69,,
10:13.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,50-69,,
9:51.0,,,50-69,,Turnover by K. Humphries (bad pass; steal by K. Faried)
9:47.0,Turnover by K. Faried (bad pass; steal by P. Pierce),,50-69,,
9:44.0,,,50-69,,P. Pierce misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by T. Lawson,,50-69,,
9:38.0,W. Chandler misses 2-pt shot at rim (block by J. Wall),,50-69,,
9:35.0,,,50-69,,Defensive rebound by J. Wall
9:32.0,,,50-72,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
9:09.0,T. Lawson misses 3-pt shot from 26 ft,,50-72,,
9:08.0,Offensive rebound by K. Faried,,50-72,,
8:54.0,W. Chandler misses 2-pt shot from 13 ft,,50-72,,
8:53.0,,,50-72,,Defensive rebound by J. Wall
8:46.0,,,50-72,,B. Beal misses 3-pt shot from 27 ft
8:45.0,,,50-72,,Offensive rebound by M. Gortat
8:37.0,,,50-72,,Shooting foul by T. Lawson (drawn by M. Gortat)
8:37.0,,,50-73,1,M. Gortat makes free throw 1 of 2
8:37.0,,,50-74,1,M. Gortat makes free throw 2 of 2
8:23.0,W. Chandler misses 2-pt shot from 4 ft,,50-74,,
8:23.0,,,50-74,,Defensive rebound by Team
8:23.0,Loose ball foul by T. Mozgov (drawn by K. Humphries),,50-74,,
8:13.0,,,50-74,,Turnover by J. Wall (bad pass; steal by K. Faried)
8:10.0,Shooting foul by K. Humphries (drawn by W. Chandler),,50-74,,
8:10.0,W. Chandler makes free throw 1 of 2,1,51-74,,
8:10.0,W. Chandler makes free throw 2 of 2,1,52-74,,
7:55.0,,,52-74,,P. Pierce misses 2-pt shot from 12 ft
7:54.0,,,52-74,,Offensive rebound by K. Humphries
7:42.0,,,52-74,,K. Humphries misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by K. Faried,,52-74,,
7:32.0,T. Mozgov misses 2-pt shot from 16 ft,,52-74,,
7:31.0,,,52-74,,Defensive rebound by J. Wall
7:22.0,,,52-74,,M. Gortat misses 2-pt shot from 17 ft
7:21.0,Defensive rebound by W. Chandler,,52-74,,
7:06.0,W. Chandler makes 3-pt shot from 30 ft (assist by K. Faried),3,55-74,,
6:47.0,,,55-74,,P. Pierce misses 3-pt shot from 23 ft
6:46.0,,,55-74,,Offensive rebound by M. Gortat
6:44.0,,,55-74,,Shooting foul by W. Chandler (drawn by P. Pierce)
6:44.0,,,55-74,,P. Pierce misses free throw 1 of 2
6:44.0,,,55-74,,Offensive rebound by Team
6:44.0,,,55-75,1,P. Pierce makes free throw 2 of 2
6:33.0,Shooting foul by P. Pierce (drawn by W. Chandler),,55-75,,
6:33.0,W. Chandler makes free throw 1 of 2,1,56-75,,
6:33.0,W. Chandler makes free throw 2 of 2,1,57-75,,
6:21.0,,,57-77,2,K. Humphries makes 2-pt shot from 8 ft (assist by J. Wall)
6:07.0,W. Chandler makes 3-pt shot from 30 ft (assist by T. Lawson),3,60-77,,
5:49.0,,,60-79,2,K. Humphries makes 2-pt shot from 16 ft (assist by J. Wall)
5:36.0,,,60-79,,Washington full timeout
5:36.0,A. Gee enters the game for W. Chandler,,60-79,,
5:36.0,D. Arthur enters the game for K. Faried,,60-79,,
5:29.0,Turnover by D. Arthur (lost ball; steal by K. Humphries),,60-79,,
5:09.0,,,60-79,,Turnover by B. Beal (bad pass; steal by T. Lawson)
5:05.0,Shooting foul by J. Wall (drawn by A. Gee),,60-79,,
5:05.0,A. Gee makes free throw 1 of 2,1,61-79,,
5:05.0,A. Gee makes free throw 2 of 2,1,62-79,,
4:43.0,,,62-82,3,J. Wall makes 3-pt shot from 27 ft (assist by M. Gortat)
4:31.0,A. Afflalo misses 3-pt shot from 26 ft,,62-82,,
4:30.0,,,62-82,,Defensive rebound by K. Humphries
4:07.0,,,62-84,2,J. Wall makes 2-pt shot from 21 ft
3:52.0,D. Arthur makes 2-pt shot from 18 ft (assist by T. Lawson),2,64-84,,
3:31.0,,,64-84,,J. Wall misses 3-pt shot from 26 ft
3:30.0,Defensive rebound by A. Gee,,64-84,,
3:21.0,Shooting foul by J. Wall (drawn by A. Gee),,64-84,,
3:21.0,A. Gee misses free throw 1 of 2,,64-84,,
3:21.0,Offensive rebound by Team,,64-84,,
3:21.0,J. Hickson enters the game for T. Mozgov,,64-84,,
3:21.0,,,64-84,,R. Butler enters the game for P. Pierce
3:21.0,,,64-84,,N. Hilario enters the game for K. Humphries
3:21.0,A. Gee misses free throw 2 of 2,,64-84,,
3:19.0,,,64-84,,Defensive rebound by N. Hilario
2:59.0,,,64-84,,R. Butler misses 2-pt shot from 13 ft
2:57.0,,,64-84,,Offensive rebound by N. Hilario
2:57.0,,,64-84,,Shooting foul by J. Hickson (drawn by N. Hilario)
2:57.0,Denver full timeout,,64-84,,
2:57.0,D. Gallinari enters the game for A. Afflalo,,64-84,,
2:57.0,,,64-85,1,N. Hilario makes free throw 1 of 2
2:57.0,,,64-86,1,N. Hilario makes free throw 2 of 2
2:47.0,D. Gallinari misses 3-pt shot from 25 ft,,64-86,,
2:46.0,,,64-86,,Defensive rebound by N. Hilario
2:29.0,,,64-86,,M. Gortat misses 2-pt shot from 1 ft (block by J. Hickson)
2:26.0,Defensive rebound by D. Gallinari,,64-86,,
2:20.0,D. Gallinari makes 2-pt shot at rim,2,66-86,,
2:02.0,,,66-88,2,M. Gortat makes 2-pt shot from 15 ft (assist by J. Wall)
1:50.0,D. Arthur misses 3-pt shot from 28 ft,,66-88,,
1:49.0,,,66-88,,Defensive rebound by J. Wall
1:35.0,,,66-88,,Shooting foul by J. Hickson (drawn by N. Hilario)
1:35.0,,,66-89,1,N. Hilario makes free throw 1 of 2
1:35.0,,,66-89,,O. Porter enters the game for B. Beal
1:35.0,,,66-90,1,N. Hilario makes free throw 2 of 2
1:19.0,Shooting foul by M. Gortat (drawn by T. Lawson),,66-90,,
1:19.0,T. Lawson makes 2-pt shot from 3 ft,2,68-90,,
1:19.0,T. Lawson makes free throw 1 of 1,1,69-90,,
1:04.0,,,69-90,,J. Wall misses 2-pt shot from 15 ft
1:03.0,Defensive rebound by D. Arthur,,69-90,,
0:55.0,Turnover by D. Arthur (lost ball; steal by N. Hilario),,69-90,,
0:45.0,,,69-90,,J. Wall misses 3-pt shot from 26 ft
0:44.0,Defensive rebound by J. Hickson,,69-90,,
0:34.0,Offensive foul by D. Arthur,,69-90,,
0:34.0,Turnover by D. Arthur (offensive foul),,69-90,,
0:11.0,,,69-90,,M. Gortat misses 2-pt shot from 15 ft
0:10.0,,,69-90,,Offensive rebound by N. Hilario
0:02.0,,,69-90,,Turnover by J. Wall (lost ball; steal by T. Lawson)
0:01.0,T. Lawson misses 3-pt shot from 62 ft,,69-90,,
0:00.0,Offensive rebound by Team,,69-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,69-92,2,N. Hilario makes 2-pt shot at rim (assist by A. Miller)
11:28.0,N. Robinson misses 3-pt shot from 27 ft,,69-92,,
11:26.0,,,69-92,,Defensive rebound by O. Porter
11:09.0,,,69-92,,N. Hilario misses 2-pt shot from 3 ft (block by J. McGee)
11:07.0,Defensive rebound by T. Lawson,,69-92,,
11:06.0,T. Lawson makes 2-pt shot from 1 ft,2,71-92,,
11:06.0,Shooting foul by R. Butler (drawn by T. Lawson),,71-92,,
11:06.0,T. Lawson makes free throw 1 of 1,1,72-92,,
10:49.0,,,72-94,2,K. Seraphin makes 2-pt shot at rim (assist by A. Miller)
10:39.0,J. McGee makes 2-pt shot at rim (assist by T. Lawson),2,74-94,,
10:25.0,,,74-94,,Shooting foul by D. Gallinari (drawn by N. Hilario)
10:25.0,,,74-94,,N. Hilario misses free throw 1 of 2
10:25.0,,,74-94,,Offensive rebound by Team
10:25.0,,,74-94,,N. Hilario misses free throw 2 of 2
10:23.0,Defensive rebound by J. McGee,,74-94,,
10:09.0,Shooting foul by R. Butler (drawn by N. Robinson),,74-94,,
10:09.0,N. Robinson misses free throw 1 of 2,,74-94,,
10:09.0,Offensive rebound by Team,,74-94,,
10:09.0,N. Robinson makes free throw 2 of 2,1,75-94,,
9:52.0,,,75-96,2,K. Seraphin makes 2-pt shot from 5 ft (assist by R. Butler)
9:38.0,D. Gallinari misses 3-pt shot from 26 ft,,75-96,,
9:37.0,,,75-96,,Defensive rebound by R. Butler
9:28.0,,,75-98,2,N. Hilario makes 2-pt shot at rim (assist by O. Porter)
9:17.0,T. Lawson makes 2-pt shot from 10 ft,2,77-98,,
9:04.0,Personal foul by G. Harris (drawn by O. Porter),,77-98,,
9:04.0,W. Chandler enters the game for D. Gallinari,,77-98,,
8:49.0,,,77-98,,R. Butler misses 3-pt shot from 28 ft
8:48.0,,,77-98,,Offensive rebound by K. Seraphin
8:46.0,,,77-100,2,K. Seraphin makes 2-pt shot at rim
8:41.0,Denver full timeout,,77-100,,
8:41.0,Official timeout,,77-100,,
8:41.0,E. Green enters the game for N. Robinson,,77-100,,
8:29.0,E. Green makes 2-pt shot from 21 ft,2,79-100,,
8:10.0,,,79-100,,R. Butler misses 3-pt shot from 26 ft
8:10.0,,,79-100,,Offensive rebound by Team
8:10.0,Loose ball foul by W. Chandler (drawn by N. Hilario),,79-100,,
7:57.0,,,79-102,2,A. Miller makes 2-pt shot at rim
7:54.0,Turnover by T. Lawson (bad pass),,79-102,,
7:38.0,,,79-102,,K. Seraphin misses 2-pt shot from 3 ft (block by J. McGee)
7:36.0,,,79-102,,Offensive rebound by N. Hilario
7:32.0,,,79-102,,K. Seraphin misses 2-pt shot from 13 ft
7:31.0,Defensive rebound by J. McGee,,79-102,,
7:26.0,E. Green misses 2-pt shot from 9 ft,,79-102,,
7:24.0,Offensive rebound by W. Chandler,,79-102,,
7:22.0,Turnover by W. Chandler (lost ball; steal by R. Butler),,79-102,,
7:10.0,,,79-104,2,O. Porter makes 2-pt shot at rim (assist by A. Miller)
6:52.0,T. Lawson misses 2-pt shot from 15 ft,,79-104,,
6:51.0,,,79-104,,Defensive rebound by R. Butler
6:36.0,,,79-106,2,K. Seraphin makes 2-pt shot from 5 ft
6:30.0,G. Harris misses 3-pt shot from 25 ft (block by O. Porter),,79-106,,
6:26.0,,,79-106,,Defensive rebound by A. Miller
6:16.0,,,79-108,2,R. Butler makes 2-pt shot from 3 ft (assist by A. Miller)
5:54.0,J. McGee misses 2-pt shot from 1 ft (block by K. Seraphin),,79-108,,
5:53.0,,,79-108,,Defensive rebound by O. Porter
5:44.0,,,79-110,2,K. Seraphin makes 2-pt shot at rim (assist by O. Porter)
5:39.0,Denver full timeout,,79-110,,
5:39.0,A. Gee enters the game for W. Chandler,,79-110,,
5:39.0,J. Hickson enters the game for T. Lawson,,79-110,,
