time,Orlando,pts.away,score,pts.home,Phoenix
0:00.0,,,27-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,27-23,,M. Morris misses 2-pt shot from 9 ft
11:36.0,,,27-23,,Offensive rebound by Team
11:28.0,,,27-25,2,G. Green makes 2-pt shot from 18 ft (assist by M. Morris)
11:03.0,C. Frye misses 3-pt shot from 25 ft,,27-25,,
11:01.0,,,27-25,,Defensive rebound by G. Dragic
10:57.0,,,27-27,2,G. Dragic makes 2-pt shot from 1 ft
10:51.0,Offensive foul by K. O'Quinn,,27-27,,
10:51.0,Turnover by K. O'Quinn (offensive foul),,27-27,,
10:51.0,,,27-27,,A. Tolliver enters the game for M. Morris
10:32.0,,,27-27,,A. Tolliver misses 3-pt shot from 23 ft
10:30.0,Defensive rebound by V. Oladipo,,27-27,,
10:15.0,K. O'Quinn misses 2-pt shot from 14 ft,,27-27,,
10:13.0,,,27-27,,Defensive rebound by P. Tucker
10:01.0,,,27-29,2,G. Green makes 2-pt shot from 6 ft
9:40.0,B. Gordon makes 3-pt shot from 25 ft (assist by C. Frye),3,30-29,,
9:29.0,Violation by C. Frye (def goaltending),,30-29,,
9:29.0,,,30-31,2,G. Dragic makes 2-pt shot at rim
9:18.0,W. Green makes 2-pt shot from 6 ft,2,32-31,,
9:00.0,,,32-31,,A. Len misses 2-pt shot from 14 ft (block by K. O'Quinn)
8:57.0,,,32-31,,Offensive rebound by A. Len
8:55.0,,,32-31,,A. Len misses 2-pt shot from 5 ft
8:51.0,Defensive rebound by V. Oladipo,,32-31,,
8:40.0,,,32-31,,Personal block foul by A. Len (drawn by B. Gordon)
8:40.0,Official timeout,,32-31,,
8:40.0,,,32-31,,E. Bledsoe enters the game for G. Dragic
8:40.0,,,32-31,,M. Plumlee enters the game for A. Len
8:40.0,E. Payton enters the game for V. Oladipo,,32-31,,
8:33.0,B. Gordon misses 2-pt shot from 5 ft,,32-31,,
8:32.0,Offensive rebound by K. O'Quinn,,32-31,,
8:32.0,K. O'Quinn misses 2-pt shot from 1 ft,,32-31,,
8:31.0,Offensive rebound by B. Gordon,,32-31,,
8:23.0,C. Frye misses 3-pt shot from 25 ft,,32-31,,
8:22.0,,,32-31,,Defensive rebound by P. Tucker
8:11.0,Personal foul by B. Gordon (drawn by P. Tucker),,32-31,,
8:11.0,E. Fournier enters the game for B. Gordon,,32-31,,
8:11.0,V. Oladipo enters the game for W. Green,,32-31,,
8:07.0,,,32-31,,G. Green misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by C. Frye,,32-31,,
7:56.0,E. Payton misses 2-pt shot from 1 ft,,32-31,,
7:52.0,Offensive rebound by K. O'Quinn,,32-31,,
7:52.0,K. O'Quinn makes 2-pt shot at rim,2,34-31,,
7:35.0,,,34-34,3,A. Tolliver makes 3-pt shot from 23 ft (assist by E. Bledsoe)
7:15.0,Turnover by K. O'Quinn (traveling),,34-34,,
7:15.0,T. Harris enters the game for C. Frye,,34-34,,
7:15.0,N. Vucevic enters the game for K. O'Quinn,,34-34,,
6:58.0,,,34-36,2,G. Green makes 2-pt shot at rim
6:44.0,Orlando full timeout,,34-36,,
6:33.0,V. Oladipo misses 2-pt shot from 2 ft,,34-36,,
6:31.0,,,34-36,,Defensive rebound by M. Plumlee
6:15.0,,,34-36,,Turnover by E. Bledsoe (bad pass)
5:57.0,N. Vucevic misses 2-pt shot from 12 ft,,34-36,,
5:52.0,,,34-36,,Defensive rebound by E. Bledsoe
5:50.0,,,34-36,,Turnover by E. Bledsoe (bad pass; steal by T. Harris)
5:45.0,E. Fournier makes 3-pt shot from 24 ft,3,37-36,,
5:27.0,,,37-36,,G. Green misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by T. Harris,,37-36,,
5:09.0,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,39-36,,
4:44.0,,,39-36,,E. Bledsoe misses 2-pt shot from 8 ft
4:42.0,Defensive rebound by E. Payton,,39-36,,
4:39.0,Turnover by V. Oladipo (bad pass; steal by A. Tolliver),,39-36,,
4:39.0,Loose ball foul by V. Oladipo (drawn by P. Tucker),,39-36,,
4:39.0,,,39-36,,M. Morris enters the game for A. Tolliver
4:29.0,,,39-36,,G. Green misses 3-pt shot from 23 ft
4:27.0,Defensive rebound by E. Fournier,,39-36,,
4:14.0,T. Harris misses 2-pt shot from 14 ft,,39-36,,
4:12.0,,,39-36,,Defensive rebound by G. Green
4:02.0,,,39-36,,Turnover by M. Plumlee (bad pass; steal by V. Oladipo)
3:57.0,Orlando full timeout,,39-36,,
3:42.0,V. Oladipo misses 2-pt shot from 2 ft,,39-36,,
3:40.0,,,39-36,,Defensive rebound by M. Plumlee
3:19.0,,,39-36,,M. Morris misses 2-pt shot from 16 ft
3:17.0,,,39-36,,Offensive rebound by M. Plumlee
3:13.0,,,39-38,2,M. Plumlee makes 2-pt shot from 2 ft
2:54.0,T. Harris makes 2-pt shot from 1 ft,2,41-38,,
2:54.0,Shooting foul by M. Plumlee (drawn by T. Harris),,41-38,,
2:54.0,,,41-38,,M. Morris enters the game for G. Green
2:54.0,,,41-38,,G. Dragic enters the game for P. Tucker
2:54.0,T. Harris makes free throw 1 of 1,1,42-38,,
2:33.0,,,42-38,,E. Bledsoe misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by N. Vucevic,,42-38,,
2:21.0,Turnover by E. Fournier (bad pass; steal by M. Plumlee),,42-38,,
2:15.0,,,42-38,,Turnover by M. Plumlee (lost ball; steal by T. Harris)
2:13.0,Turnover by T. Harris (offensive foul),,42-38,,
2:13.0,Offensive charge foul by T. Harris,,42-38,,
1:56.0,,,42-38,,E. Bledsoe misses 2-pt shot from 16 ft
1:55.0,,,42-38,,Offensive rebound by Team
1:48.0,,,42-38,,Turnover by E. Bledsoe (bad pass; steal by E. Payton)
1:45.0,Shooting foul by M. Plumlee (drawn by T. Harris),,42-38,,
1:45.0,T. Harris makes free throw 1 of 2,1,43-38,,
1:45.0,,,43-38,,A. Len enters the game for M. Plumlee
1:45.0,T. Harris makes free throw 2 of 2,1,44-38,,
1:32.0,,,44-38,,Turnover by M. Morris (bad pass; steal by N. Vucevic)
1:30.0,E. Payton makes flagrant free throw 1 of 2,1,45-38,,
1:30.0,E. Payton makes flagrant free throw 2 of 2,1,46-38,,
1:24.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,48-38,,
1:10.0,Def 3 sec tech foul by T. Harris,,48-38,,
1:10.0,,,48-39,1,G. Dragic makes technical free throw
1:10.0,,,48-39,,A. Goodwin enters the game for E. Bledsoe
1:04.0,,,48-39,,A. Goodwin misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by N. Vucevic,,48-39,,
0:59.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,50-39,,
0:41.0,Personal foul by E. Payton (drawn by M. Morris),,50-39,,
0:35.0,,,50-39,,A. Goodwin misses 2-pt shot from 3 ft (block by N. Vucevic)
0:33.0,,,50-39,,Offensive rebound by A. Goodwin
0:27.0,,,50-39,,G. Dragic misses 3-pt shot from 31 ft
0:26.0,,,50-39,,Offensive rebound by M. Morris
0:26.0,Personal foul by E. Fournier (drawn by M. Morris),,50-39,,
0:26.0,,,50-39,,M. Morris misses free throw 1 of 2
0:26.0,,,50-39,,Offensive rebound by Team
0:26.0,Orlando full timeout,,50-39,,
0:26.0,,,50-39,,M. Morris misses free throw 2 of 2
0:25.0,Defensive rebound by T. Harris,,50-39,,
0:05.0,E. Payton makes 2-pt shot from 2 ft,2,52-39,,
0:03.0,,,52-39,,Turnover by M. Morris (bad pass; steal by E. Fournier)
0:03.0,E. Fournier misses 3-pt shot from 26 ft,,52-39,,
0:01.0,,,52-39,,Defensive rebound by M. Morris
0:00.0,,,52-39,,M. Morris misses 3-pt shot from 75 ft
0:00.0,,,52-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,52-39,,G. Dragic misses 2-pt shot from 17 ft
11:35.0,Defensive rebound by T. Harris,,52-39,,
11:21.0,T. Harris makes 2-pt shot from 17 ft,2,54-39,,
11:01.0,,,54-39,,Shooting foul by N. Vucevic (drawn by M. Morris)
11:01.0,,,54-40,1,M. Morris makes free throw 1 of 2
11:01.0,,,54-41,1,M. Morris makes free throw 2 of 2
10:44.0,N. Vucevic misses 2-pt shot from 17 ft,,54-41,,
10:42.0,,,54-41,,Defensive rebound by M. Morris
10:36.0,,,54-43,2,M. Morris makes 2-pt shot from 16 ft (assist by E. Bledsoe)
10:13.0,T. Harris misses 2-pt shot from 5 ft,,54-43,,
10:11.0,,,54-43,,Defensive rebound by M. Morris
10:04.0,,,54-45,2,M. Plumlee makes 2-pt shot at rim (assist by E. Bledsoe)
10:03.0,Orlando full timeout,,54-45,,
9:47.0,Offensive foul by N. Vucevic,,54-45,,
9:47.0,Turnover by N. Vucevic (offensive foul),,54-45,,
9:27.0,,,54-47,2,M. Morris makes 2-pt shot from 10 ft
9:14.0,Turnover by E. Fournier (traveling),,54-47,,
8:52.0,,,54-47,,M. Morris misses 2-pt shot from 15 ft
8:50.0,Defensive rebound by T. Harris,,54-47,,
8:48.0,Offensive charge foul by V. Oladipo,,54-47,,
8:48.0,Turnover by V. Oladipo (offensive foul),,54-47,,
8:25.0,,,54-49,2,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Morris)
8:06.0,V. Oladipo misses 3-pt shot from 24 ft,,54-49,,
8:04.0,,,54-49,,Defensive rebound by M. Morris
7:57.0,,,54-49,,M. Morris misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by N. Vucevic,,54-49,,
7:43.0,T. Harris misses 3-pt shot from 25 ft,,54-49,,
7:41.0,Offensive rebound by N. Vucevic,,54-49,,
7:37.0,V. Oladipo makes 2-pt shot at rim (assist by T. Harris),2,56-49,,
7:12.0,,,56-49,,E. Bledsoe misses 2-pt shot from 21 ft
7:10.0,,,56-49,,Offensive rebound by M. Morris
7:07.0,,,56-49,,M. Morris misses 2-pt shot from 3 ft
7:06.0,Defensive rebound by T. Harris,,56-49,,
7:01.0,T. Harris misses 2-pt shot from 3 ft (block by M. Morris),,56-49,,
6:58.0,,,56-49,,Defensive rebound by G. Dragic
6:52.0,,,56-51,2,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Morris)
6:34.0,N. Vucevic makes 2-pt shot from 15 ft (assist by V. Oladipo),2,58-51,,
6:15.0,,,58-51,,E. Bledsoe misses 2-pt shot from 1 ft
6:13.0,Defensive rebound by N. Vucevic,,58-51,,
6:04.0,E. Fournier makes 2-pt shot from 1 ft (assist by V. Oladipo),2,60-51,,
5:44.0,,,60-54,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Morris)
5:19.0,N. Vucevic makes 2-pt shot from 11 ft,2,62-54,,
5:03.0,,,62-54,,E. Bledsoe misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by C. Frye,,62-54,,
4:48.0,V. Oladipo misses 2-pt shot from 2 ft,,62-54,,
4:45.0,,,62-54,,Defensive rebound by M. Morris
4:40.0,,,62-54,,M. Morris misses 2-pt shot from 1 ft
4:36.0,Defensive rebound by C. Frye,,62-54,,
4:35.0,Offensive charge foul by E. Fournier,,62-54,,
4:35.0,Turnover by E. Fournier (offensive foul),,62-54,,
4:35.0,,,62-54,,Phoenix full timeout
4:35.0,,,62-54,,P. Tucker enters the game for M. Morris
4:35.0,,,62-54,,G. Green enters the game for M. Plumlee
4:35.0,,,62-54,,A. Len enters the game for E. Bledsoe
4:35.0,W. Green enters the game for C. Frye,,62-54,,
4:35.0,E. Payton enters the game for V. Oladipo,,62-54,,
4:23.0,,,62-54,,M. Morris misses 2-pt shot from 2 ft
4:21.0,Defensive rebound by T. Harris,,62-54,,
3:58.0,W. Green misses 2-pt shot from 19 ft,,62-54,,
3:58.0,Offensive rebound by Team,,62-54,,
3:58.0,Turnover by Team (shot clock),,62-54,,
3:38.0,,,62-54,,G. Dragic misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by E. Payton,,62-54,,
3:32.0,Turnover by E. Payton (offensive foul),,62-54,,
3:32.0,Offensive charge foul by E. Payton,,62-54,,
3:19.0,,,62-54,,Offensive foul by P. Tucker
3:19.0,,,62-54,,Turnover by P. Tucker (offensive foul)
3:09.0,T. Harris misses 2-pt shot from 4 ft (block by A. Len),,62-54,,
3:06.0,,,62-54,,Defensive rebound by M. Morris
3:03.0,,,62-54,,G. Dragic misses 2-pt shot from 2 ft
3:01.0,,,62-54,,Offensive rebound by M. Morris
3:01.0,,,62-56,2,M. Morris makes 2-pt shot at rim
2:41.0,N. Vucevic misses 2-pt shot from 16 ft,,62-56,,
2:40.0,,,62-56,,Defensive rebound by A. Len
2:34.0,,,62-56,,G. Green misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by E. Payton,,62-56,,
2:13.0,E. Fournier misses 3-pt shot from 24 ft,,62-56,,
2:11.0,,,62-56,,Defensive rebound by A. Len
1:49.0,,,62-56,,A. Len misses 2-pt shot from 13 ft
1:48.0,Defensive rebound by E. Payton,,62-56,,
1:42.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,64-56,,
1:28.0,Personal foul by E. Fournier (drawn by P. Tucker),,64-56,,
1:28.0,K. O'Quinn enters the game for N. Vucevic,,64-56,,
1:28.0,C. Frye enters the game for T. Harris,,64-56,,
1:17.0,,,64-56,,G. Green misses 2-pt shot from 15 ft
1:15.0,Defensive rebound by E. Fournier,,64-56,,
1:06.0,K. O'Quinn makes 2-pt shot at rim (assist by E. Payton),2,66-56,,
0:46.0,,,66-56,,M. Morris misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by E. Payton,,66-56,,
0:33.0,C. Frye makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,69-56,,
0:14.0,Shooting block foul by C. Frye (drawn by G. Dragic),,69-56,,
0:14.0,,,69-57,1,G. Dragic makes free throw 1 of 2
0:14.0,,,69-58,1,G. Dragic makes free throw 2 of 2
0:02.0,K. O'Quinn misses 2-pt shot from 11 ft,,69-58,,
0:00.0,,,69-58,,Defensive rebound by M. Morris
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,C. Frye misses 3-pt shot from 24 ft,,69-58,,
11:48.0,,,69-58,,Defensive rebound by P. Tucker
11:28.0,,,69-58,,A. Tolliver misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by W. Green,,69-58,,
11:21.0,W. Green makes 2-pt shot from 1 ft,2,71-58,,
11:06.0,,,71-58,,Turnover by G. Green (bad pass; steal by E. Payton)
11:04.0,Shooting foul by G. Green (drawn by E. Payton),,71-58,,
11:04.0,E. Payton misses free throw 1 of 2,,71-58,,
11:04.0,Offensive rebound by Team,,71-58,,
11:04.0,E. Payton makes free throw 2 of 2,1,72-58,,
10:49.0,,,72-58,,P. Tucker misses 2-pt shot from 5 ft
10:46.0,Defensive rebound by K. O'Quinn,,72-58,,
10:41.0,,,72-58,,Shooting block foul by A. Len (drawn by E. Payton)
10:41.0,E. Payton makes free throw 1 of 2,1,73-58,,
10:41.0,,,73-58,,M. Morris enters the game for A. Tolliver
10:41.0,,,73-58,,G. Dragic enters the game for G. Green
10:41.0,,,73-58,,M. Plumlee enters the game for A. Len
10:41.0,E. Payton makes free throw 2 of 2,1,74-58,,
10:24.0,,,74-58,,Shooting foul by E. Payton (drawn by E. Bledsoe)
10:24.0,,,74-59,1,E. Bledsoe makes free throw 1 of 2
10:24.0,,,74-60,1,E. Bledsoe makes free throw 2 of 2
10:07.0,C. Frye misses 3-pt shot from 25 ft,,74-60,,
10:06.0,,,74-60,,Defensive rebound by M. Plumlee
9:59.0,,,74-60,,Offensive foul by M. Plumlee
9:59.0,,,74-60,,Turnover by M. Plumlee (offensive foul)
9:43.0,Turnover by E. Payton (discontinued dribble),,74-60,,
9:25.0,Personal foul by E. Payton (drawn by M. Plumlee),,74-60,,
9:19.0,,,74-60,,E. Bledsoe misses 2-pt shot from 9 ft
9:17.0,,,74-60,,Offensive rebound by M. Plumlee
9:06.0,,,74-60,,Turnover by G. Dragic (bad pass; steal by W. Green)
9:00.0,B. Gordon misses 3-pt shot from 24 ft,,74-60,,
8:58.0,,,74-60,,Defensive rebound by G. Dragic
8:46.0,,,74-60,,M. Morris misses 3-pt shot from 23 ft
8:45.0,Defensive rebound by K. O'Quinn,,74-60,,
8:45.0,,,74-60,,Personal foul by G. Dragic (drawn by K. O'Quinn)
8:45.0,Official timeout,,74-60,,
8:34.0,Turnover by E. Payton (step out of bounds),,74-60,,
8:17.0,,,74-60,,Shooting foul by E. Payton (drawn by P. Tucker)
8:17.0,,,74-61,1,P. Tucker makes free throw 1 of 2
8:17.0,V. Oladipo enters the game for E. Payton,,74-61,,
8:17.0,,,74-62,1,P. Tucker makes free throw 2 of 2
8:08.0,,,74-62,,Personal foul by M. Morris (drawn by B. Gordon)
7:56.0,W. Green misses 2-pt shot from 22 ft,,74-62,,
7:55.0,,,74-62,,Defensive rebound by Team
7:45.0,,,74-62,,E. Bledsoe misses 2-pt shot from 2 ft
7:42.0,Defensive rebound by V. Oladipo,,74-62,,
7:27.0,B. Gordon makes 2-pt shot from 1 ft,2,76-62,,
7:09.0,,,76-62,,G. Dragic misses 2-pt shot from 11 ft
7:06.0,Defensive rebound by C. Frye,,76-62,,
6:57.0,K. O'Quinn misses 2-pt shot from 4 ft,,76-62,,
6:55.0,Offensive rebound by K. O'Quinn,,76-62,,
6:55.0,Shooting foul by E. Bledsoe (drawn by K. O'Quinn),,76-62,,
6:55.0,K. O'Quinn misses free throw 1 of 2,,76-62,,
6:55.0,Offensive rebound by Team,,76-62,,
6:55.0,N. Vucevic enters the game for C. Frye,,76-62,,
6:55.0,,,76-62,,G. Green enters the game for M. Plumlee
6:55.0,K. O'Quinn makes free throw 2 of 2,1,77-62,,
6:42.0,,,77-64,2,P. Tucker makes 2-pt shot from 1 ft
6:36.0,Turnover by W. Green (bad pass),,77-64,,
6:36.0,T. Harris enters the game for K. O'Quinn,,77-64,,
6:25.0,,,77-66,2,M. Morris makes 2-pt shot from 1 ft (assist by G. Dragic)
6:19.0,Orlando full timeout,,77-66,,
6:19.0,E. Fournier enters the game for B. Gordon,,77-66,,
6:19.0,E. Payton enters the game for W. Green,,77-66,,
6:02.0,N. Vucevic misses 2-pt shot from 21 ft,,77-66,,
6:00.0,Offensive rebound by E. Payton,,77-66,,
5:47.0,Shooting foul by M. Morris (drawn by E. Payton),,77-66,,
5:47.0,E. Payton misses free throw 1 of 2,,77-66,,
5:47.0,Offensive rebound by Team,,77-66,,
5:47.0,E. Payton misses free throw 2 of 2,,77-66,,
5:47.0,,,77-66,,Defensive rebound by G. Green
5:33.0,,,77-68,2,M. Morris makes 2-pt shot at rim (assist by G. Dragic)
5:10.0,V. Oladipo makes 2-pt shot from 1 ft,2,79-68,,
4:56.0,,,79-68,,P. Tucker misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by E. Fournier,,79-68,,
4:36.0,Turnover by N. Vucevic (bad pass; steal by P. Tucker),,79-68,,
4:31.0,,,79-70,2,G. Dragic makes 2-pt shot from 1 ft (assist by P. Tucker)
4:14.0,V. Oladipo misses 2-pt shot from 16 ft,,79-70,,
4:12.0,,,79-70,,Defensive rebound by G. Green
4:07.0,,,79-70,,G. Green misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by E. Payton,,79-70,,
3:50.0,T. Harris misses 2-pt shot from 13 ft,,79-70,,
3:48.0,Offensive rebound by N. Vucevic,,79-70,,
3:44.0,T. Harris makes 2-pt shot from 15 ft,2,81-70,,
3:32.0,,,81-73,3,P. Tucker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
3:13.0,Turnover by N. Vucevic (3 sec),,81-73,,
2:58.0,,,81-73,,Turnover by E. Bledsoe (bad pass)
2:58.0,,,81-73,,Phoenix full timeout
2:49.0,Turnover by V. Oladipo (lost ball; steal by E. Bledsoe),,81-73,,
2:45.0,,,81-75,2,E. Bledsoe makes 2-pt shot from 1 ft
2:24.0,T. Harris makes 2-pt shot from 17 ft,2,83-75,,
2:04.0,,,83-75,,Turnover by E. Bledsoe (bad pass)
1:48.0,N. Vucevic misses 2-pt shot from 14 ft,,83-75,,
1:45.0,Offensive rebound by E. Payton,,83-75,,
1:39.0,Turnover by E. Payton (lost ball; steal by G. Green),,83-75,,
1:37.0,,,83-77,2,G. Green makes 2-pt shot at rim
1:20.0,Turnover by E. Payton (traveling),,83-77,,
1:12.0,,,83-77,,Shooting foul by N. Vucevic (drawn by M. Morris)
1:12.0,,,83-78,1,M. Morris makes free throw 1 of 2
1:12.0,,,83-78,,M. Morris misses free throw 2 of 2
1:10.0,,,83-78,,Offensive rebound by G. Dragic
1:03.0,,,83-78,,G. Green misses 3-pt shot from 25 ft
1:02.0,,,83-78,,Offensive rebound by M. Morris
