time,Boston,pts.away,score,pts.home,Dallas
4:20.0,Defensive rebound by E. Turner,,15-27,,
4:04.0,M. Smart misses 3-pt shot from 24 ft,,15-27,,
4:02.0,,,15-27,,Defensive rebound by Team
3:52.0,,,15-27,,M. Ellis misses 2-pt shot from 14 ft
3:51.0,Defensive rebound by M. Smart,,15-27,,
3:45.0,Turnover by B. Bass (3 sec),,15-27,,
3:26.0,,,15-29,2,D. Harris makes 2-pt shot from 9 ft
3:11.0,Turnover by E. Turner (bad pass),,15-29,,
3:04.0,,,15-29,,Shooting foul by T. Zeller (drawn by C. Parsons)
3:04.0,,,15-30,1,C. Parsons makes free throw 1 of 3
3:04.0,,,15-30,,C. Parsons misses free throw 2 of 3
3:04.0,,,15-30,,Offensive rebound by Team
3:04.0,,,15-30,,A. Aminu enters the game for J. Nelson
3:04.0,,,15-31,1,C. Parsons makes free throw 3 of 3
2:53.0,Turnover by E. Turner (bad pass; steal by B. Wright),,15-31,,
2:48.0,,,15-33,2,C. Parsons makes 2-pt shot from 1 ft
2:44.0,Boston full timeout,,15-33,,
2:44.0,,,15-33,,Dallas full timeout
2:33.0,Shooting foul by C. Parsons (drawn by B. Bass),,15-33,,
2:33.0,B. Bass makes free throw 1 of 2,1,16-33,,
2:33.0,B. Bass makes free throw 2 of 2,1,17-33,,
2:16.0,,,17-36,3,D. Harris makes 3-pt shot from 23 ft (assist by C. Parsons)
1:55.0,B. Bass misses 2-pt shot from 4 ft (block by A. Aminu),,17-36,,
1:55.0,Offensive rebound by Team,,17-36,,
1:55.0,,,17-36,,D. Nowitzki enters the game for C. Parsons
1:55.0,,,17-36,,J. Barea enters the game for M. Ellis
1:55.0,J. Sullinger enters the game for T. Zeller,,17-36,,
1:55.0,J. Green enters the game for M. Smart,,17-36,,
1:55.0,,,17-36,,Personal foul by J. Barea (drawn by M. Thornton)
1:48.0,M. Thornton misses 2-pt shot from 17 ft,,17-36,,
1:47.0,,,17-36,,Defensive rebound by D. Harris
1:42.0,,,17-36,,D. Harris misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by E. Turner,,17-36,,
1:16.0,E. Turner misses 3-pt shot from 26 ft,,17-36,,
1:15.0,Offensive rebound by J. Sullinger,,17-36,,
1:08.0,J. Green makes 2-pt shot from 17 ft (assist by J. Sullinger),2,19-36,,
0:58.0,,,19-38,2,A. Aminu makes 2-pt shot at rim (assist by J. Barea)
0:43.0,E. Turner misses 2-pt shot from 18 ft,,19-38,,
0:42.0,,,19-38,,Defensive rebound by D. Nowitzki
0:33.0,,,19-40,2,D. Harris makes 2-pt shot from 22 ft
0:20.0,B. Bass misses 2-pt shot from 21 ft,,19-40,,
0:19.0,,,19-40,,Defensive rebound by B. Wright
0:02.0,,,19-40,,J. Barea misses 2-pt shot from 6 ft
0:01.0,Defensive rebound by E. Turner,,19-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Sullinger),2,21-40,,
11:23.0,,,21-42,2,D. Nowitzki makes 2-pt shot from 6 ft
11:11.0,J. Sullinger misses 3-pt shot from 24 ft,,21-42,,
11:10.0,,,21-42,,Defensive rebound by A. Aminu
11:00.0,,,21-45,3,A. Aminu makes 3-pt shot from 22 ft (assist by D. Harris)
10:43.0,A. Bradley misses 2-pt shot from 20 ft,,21-45,,
10:42.0,Offensive rebound by J. Sullinger,,21-45,,
10:42.0,J. Sullinger makes 2-pt shot at rim,2,23-45,,
10:23.0,,,23-48,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
10:12.0,,,23-48,,R. Jefferson enters the game for D. Nowitzki
10:00.0,R. Rondo makes 2-pt shot from 18 ft (assist by J. Green),2,25-48,,
9:50.0,,,25-48,,T. Chandler misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by A. Bradley,,25-48,,
9:38.0,J. Sullinger misses 2-pt shot from 12 ft,,25-48,,
9:37.0,,,25-48,,Defensive rebound by T. Chandler
9:20.0,,,25-50,2,T. Chandler makes 2-pt shot from 3 ft (assist by D. Harris)
8:54.0,J. Sullinger misses 2-pt shot from 16 ft,,25-50,,
8:50.0,Offensive rebound by J. Green,,25-50,,
8:50.0,J. Green misses 2-pt shot at rim,,25-50,,
8:49.0,Offensive rebound by J. Green,,25-50,,
8:49.0,J. Green misses 2-pt shot at rim,,25-50,,
8:48.0,,,25-50,,Defensive rebound by R. Jefferson
8:31.0,,,25-50,,A. Aminu misses 3-pt shot from 22 ft
8:30.0,Defensive rebound by R. Rondo,,25-50,,
8:20.0,Offensive foul by J. Green,,25-50,,
8:20.0,Turnover by J. Green (offensive foul),,25-50,,
8:20.0,Official timeout,,25-50,,
8:20.0,M. Smart enters the game for E. Turner,,25-50,,
8:12.0,,,25-50,,R. Jefferson misses 2-pt shot from 16 ft
8:11.0,Defensive rebound by A. Bradley,,25-50,,
8:02.0,Turnover by R. Rondo (bad pass),,25-50,,
7:54.0,,,25-52,2,J. Barea makes 2-pt shot from 19 ft
7:38.0,J. Green misses 3-pt shot from 24 ft,,25-52,,
7:36.0,,,25-52,,Defensive rebound by T. Chandler
7:17.0,,,25-52,,D. Harris misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by A. Bradley,,25-52,,
7:01.0,J. Green makes 2-pt shot from 4 ft,2,27-52,,
6:38.0,,,27-55,3,J. Barea makes 3-pt shot from 25 ft
6:16.0,,,27-55,,Personal block foul by A. Aminu (drawn by A. Bradley)
6:16.0,K. Olynyk enters the game for J. Sullinger,,27-55,,
6:16.0,,,27-55,,J. Nelson enters the game for J. Barea
6:16.0,,,27-55,,M. Ellis enters the game for D. Harris
6:10.0,M. Smart misses 3-pt shot from 24 ft,,27-55,,
6:09.0,,,27-55,,Defensive rebound by T. Chandler
5:59.0,,,27-57,2,R. Jefferson makes 2-pt shot at rim (assist by J. Nelson)
5:43.0,R. Rondo misses 2-pt shot from 21 ft,,27-57,,
5:42.0,,,27-57,,Defensive rebound by T. Chandler
5:35.0,,,27-57,,Turnover by R. Jefferson (bad pass; steal by A. Bradley)
5:29.0,A. Bradley makes 3-pt shot from 24 ft (assist by R. Rondo),3,30-57,,
5:28.0,,,30-57,,Dallas full timeout
5:28.0,,,30-57,,C. Parsons enters the game for T. Chandler
5:28.0,,,30-57,,B. Wright enters the game for A. Aminu
5:28.0,,,30-57,,D. Nowitzki enters the game for R. Jefferson
5:06.0,,,30-60,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis)
4:46.0,J. Green makes 2-pt shot from 19 ft (assist by A. Bradley),2,32-60,,
4:32.0,,,32-60,,Turnover by M. Ellis (lost ball; steal by M. Smart)
4:26.0,A. Bradley misses 3-pt shot from 23 ft,,32-60,,
4:25.0,,,32-60,,Defensive rebound by D. Nowitzki
4:07.0,,,32-63,3,J. Nelson makes 3-pt shot from 24 ft
3:49.0,J. Green misses 2-pt shot from 1 ft,,32-63,,
3:48.0,Offensive rebound by J. Green,,32-63,,
3:48.0,J. Green misses 2-pt shot from 1 ft (block by B. Wright),,32-63,,
3:46.0,Offensive rebound by A. Bradley,,32-63,,
3:43.0,R. Rondo misses 3-pt shot from 24 ft,,32-63,,
3:42.0,,,32-63,,Defensive rebound by B. Wright
3:23.0,,,32-63,,M. Ellis misses 2-pt shot from 1 ft
3:22.0,Defensive rebound by R. Rondo,,32-63,,
3:14.0,J. Green makes 3-pt shot from 24 ft (assist by R. Rondo),3,35-63,,
2:56.0,,,35-63,,Shooting foul by K. Olynyk (drawn by D. Nowitzki)
2:56.0,Boston full timeout,,35-63,,
2:56.0,G. Wallace enters the game for A. Bradley,,35-63,,
2:56.0,M. Thornton enters the game for R. Rondo,,35-63,,
2:56.0,,,35-64,1,D. Nowitzki makes free throw 1 of 2
2:56.0,,,35-65,1,D. Nowitzki makes free throw 2 of 2
2:42.0,J. Green misses 3-pt shot from 22 ft,,35-65,,
2:41.0,,,35-65,,Defensive rebound by J. Nelson
2:38.0,,,35-65,,Turnover by J. Nelson (bad pass; steal by M. Thornton)
2:34.0,,,35-65,,Shooting block foul by J. Nelson (drawn by M. Thornton)
2:34.0,M. Thornton misses free throw 1 of 2,,35-65,,
2:34.0,Offensive rebound by Team,,35-65,,
2:34.0,,,35-65,,J. Crowder enters the game for D. Nowitzki
2:34.0,M. Thornton makes free throw 2 of 2,1,36-65,,
2:30.0,,,36-65,,Turnover by J. Nelson (offensive foul)
2:30.0,,,36-65,,Offensive foul by J. Nelson
2:30.0,,,36-65,,D. Harris enters the game for J. Nelson
2:19.0,J. Green makes 2-pt shot from 1 ft,2,38-65,,
1:55.0,,,38-65,,C. Parsons misses 2-pt shot from 22 ft
1:54.0,,,38-65,,Offensive rebound by Team
1:37.0,,,38-67,2,M. Ellis makes 2-pt shot from 19 ft (assist by J. Crowder)
1:17.0,J. Green misses 3-pt shot from 25 ft,,38-67,,
1:16.0,,,38-67,,Defensive rebound by B. Wright
1:03.0,,,38-67,,M. Ellis misses 2-pt shot from 1 ft
1:01.0,Defensive rebound by M. Thornton,,38-67,,
0:57.0,M. Thornton misses 2-pt shot from 19 ft,,38-67,,
0:57.0,Offensive rebound by M. Smart,,38-67,,
0:57.0,,,38-67,,Personal foul by J. Crowder (drawn by M. Smart)
0:57.0,E. Turner enters the game for J. Green,,38-67,,
0:55.0,K. Olynyk makes 3-pt shot from 24 ft (assist by E. Turner),3,41-67,,
0:35.0,,,41-67,,D. Harris misses 2-pt shot from 19 ft
0:34.0,Defensive rebound by M. Thornton,,41-67,,
0:27.0,E. Turner misses 3-pt shot from 22 ft,,41-67,,
0:25.0,,,41-67,,Defensive rebound by Team
0:05.0,,,41-67,,M. Ellis misses 2-pt shot from 3 ft
0:04.0,Defensive rebound by Team,,41-67,,
0:04.0,Boston full timeout,,41-67,,
0:04.0,J. Green enters the game for M. Smart,,41-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:53.0,R. Rondo makes 2-pt shot from 5 ft (assist by J. Sullinger),2,43-67,,
11:38.0,Personal foul by A. Bradley (drawn by J. Nelson),,43-67,,
11:28.0,,,43-67,,D. Nowitzki misses 2-pt shot from 9 ft (block by J. Green)
11:27.0,Defensive rebound by J. Green,,43-67,,
11:21.0,J. Green makes 2-pt shot from 2 ft,2,45-67,,
11:20.0,,,45-67,,Dallas full timeout
11:08.0,,,45-67,,J. Nelson misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by J. Green,,45-67,,
10:54.0,A. Bradley makes 2-pt shot from 20 ft,2,47-67,,
10:39.0,,,47-67,,D. Nowitzki misses 2-pt shot from 20 ft
10:38.0,Defensive rebound by A. Bradley,,47-67,,
10:29.0,J. Green makes 3-pt shot from 26 ft (assist by R. Rondo),3,50-67,,
10:15.0,,,50-69,2,M. Ellis makes 2-pt shot from 15 ft
10:01.0,R. Rondo makes 2-pt shot from 8 ft,2,52-69,,
9:52.0,Shooting block foul by K. Olynyk (drawn by C. Parsons),,52-69,,
9:52.0,,,52-70,1,C. Parsons makes free throw 1 of 2
9:52.0,,,52-71,1,C. Parsons makes free throw 2 of 2
9:36.0,A. Bradley misses 3-pt shot from 24 ft,,52-71,,
9:35.0,Offensive rebound by J. Sullinger,,52-71,,
9:34.0,J. Sullinger makes 2-pt shot from 2 ft,2,54-71,,
9:20.0,,,54-73,2,D. Nowitzki makes 2-pt shot from 21 ft
9:08.0,J. Green makes 3-pt shot from 23 ft (assist by R. Rondo),3,57-73,,
8:53.0,,,57-73,,C. Parsons misses 2-pt shot from 6 ft (block by J. Green)
8:52.0,,,57-73,,Offensive rebound by T. Chandler
8:52.0,,,57-75,2,T. Chandler makes 2-pt shot at rim
8:47.0,Turnover by A. Bradley (step out of bounds),,57-75,,
8:39.0,Personal foul by R. Rondo (drawn by M. Ellis),,57-75,,
8:25.0,,,57-75,,D. Nowitzki misses 2-pt shot from 19 ft
8:24.0,Defensive rebound by J. Green,,57-75,,
8:13.0,A. Bradley makes 2-pt shot at rim,2,59-75,,
7:56.0,,,59-75,,C. Parsons misses 2-pt shot from 4 ft
7:55.0,Defensive rebound by R. Rondo,,59-75,,
7:49.0,R. Rondo misses 2-pt shot from 4 ft,,59-75,,
7:48.0,Offensive rebound by J. Sullinger,,59-75,,
7:46.0,J. Sullinger misses 2-pt shot from 3 ft,,59-75,,
7:44.0,Offensive rebound by R. Rondo,,59-75,,
7:37.0,K. Olynyk misses 3-pt shot from 22 ft,,59-75,,
7:36.0,Offensive rebound by J. Sullinger,,59-75,,
7:32.0,J. Sullinger makes 2-pt shot from 1 ft (assist by K. Olynyk),2,61-75,,
7:32.0,,,61-75,,Dallas full timeout
7:21.0,Personal foul by J. Sullinger (drawn by M. Ellis),,61-75,,
7:17.0,,,61-75,,Offensive foul by D. Nowitzki
7:17.0,,,61-75,,Turnover by D. Nowitzki (offensive foul)
7:02.0,J. Green misses 2-pt shot from 15 ft,,61-75,,
7:01.0,,,61-75,,Defensive rebound by T. Chandler
7:00.0,,,61-75,,Turnover by T. Chandler (traveling)
6:56.0,A. Bradley makes 2-pt shot from 19 ft (assist by K. Olynyk),2,63-75,,
6:41.0,,,63-75,,C. Parsons misses 2-pt shot from 15 ft
6:40.0,Defensive rebound by K. Olynyk,,63-75,,
6:35.0,Shooting foul by J. Nelson (drawn by R. Rondo),,63-75,,
6:35.0,R. Rondo makes free throw 1 of 2,1,64-75,,
6:35.0,,,64-75,,D. Harris enters the game for D. Nowitzki
6:35.0,M. Smart enters the game for K. Olynyk,,64-75,,
6:35.0,R. Rondo misses free throw 2 of 2,,64-75,,
6:34.0,,,64-75,,Defensive rebound by J. Nelson
6:13.0,,,64-75,,J. Nelson misses 3-pt shot from 22 ft
6:12.0,Defensive rebound by R. Rondo,,64-75,,
6:07.0,R. Rondo misses 2-pt shot from 2 ft,,64-75,,
6:05.0,,,64-75,,Defensive rebound by T. Chandler
6:00.0,,,64-77,2,C. Parsons makes 2-pt shot from 1 ft (assist by D. Harris)
5:50.0,A. Bradley makes 3-pt shot from 24 ft (assist by R. Rondo),3,67-77,,
5:28.0,,,67-77,,C. Parsons misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by R. Rondo,,67-77,,
5:16.0,A. Bradley misses 2-pt shot from 1 ft,,67-77,,
5:14.0,,,67-77,,Defensive rebound by T. Chandler
5:04.0,,,67-77,,Turnover by J. Nelson (lost ball)
5:04.0,E. Turner enters the game for J. Green,,67-77,,
5:04.0,T. Zeller enters the game for J. Sullinger,,67-77,,
4:51.0,T. Zeller makes 2-pt shot at rim (assist by R. Rondo),2,69-77,,
4:42.0,Personal block foul by M. Smart (drawn by D. Harris),,69-77,,
4:42.0,,,69-78,1,D. Harris makes free throw 1 of 2
4:42.0,M. Thornton enters the game for A. Bradley,,69-78,,
4:42.0,,,69-78,,B. Wright enters the game for T. Chandler
4:42.0,,,69-78,,R. Jefferson enters the game for J. Nelson
4:42.0,,,69-79,1,D. Harris makes free throw 2 of 2
4:29.0,R. Rondo misses 2-pt shot from 19 ft,,69-79,,
4:28.0,,,69-79,,Defensive rebound by R. Jefferson
4:19.0,,,69-81,2,B. Wright makes 2-pt shot at rim (assist by D. Harris)
4:19.0,,,69-81,,Shooting foul by R. Rondo (drawn by B. Wright)
4:19.0,,,69-82,1,B. Wright makes free throw 1 of 1
4:11.0,Turnover by M. Thornton (lost ball),,69-82,,
3:59.0,,,69-82,,M. Ellis misses 2-pt shot from 14 ft
3:57.0,,,69-82,,Offensive rebound by B. Wright
3:55.0,,,69-84,2,B. Wright makes 2-pt shot at rim
3:49.0,Boston full timeout,,69-84,,
3:49.0,B. Bass enters the game for R. Rondo,,69-84,,
3:38.0,E. Turner misses 2-pt shot from 10 ft,,69-84,,
3:37.0,Offensive rebound by T. Zeller,,69-84,,
3:35.0,Shooting foul by B. Wright (drawn by T. Zeller),,69-84,,
3:35.0,T. Zeller makes free throw 1 of 2,1,70-84,,
3:35.0,T. Zeller makes free throw 2 of 2,1,71-84,,
3:22.0,,,71-86,2,M. Ellis makes 2-pt shot from 1 ft
3:03.0,M. Thornton misses 2-pt shot at rim,,71-86,,
3:02.0,,,71-86,,Defensive rebound by C. Parsons
2:56.0,,,71-86,,D. Harris misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by Team,,71-86,,
2:40.0,B. Bass misses 2-pt shot from 13 ft,,71-86,,
2:39.0,Offensive rebound by Team,,71-86,,
2:39.0,J. Green enters the game for M. Smart,,71-86,,
2:22.0,E. Turner makes 2-pt shot from 17 ft,2,73-86,,
1:56.0,,,73-86,,M. Ellis misses 2-pt shot from 3 ft (block by M. Thornton)
1:55.0,Defensive rebound by E. Turner,,73-86,,
1:50.0,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner),2,75-86,,
1:36.0,Personal block foul by B. Bass (drawn by C. Parsons),,75-86,,
1:36.0,,,75-87,1,C. Parsons makes free throw 1 of 2
1:36.0,,,75-87,,D. Nowitzki enters the game for R. Jefferson
1:36.0,,,75-87,,J. Barea enters the game for M. Ellis
1:36.0,,,75-87,,C. Parsons misses free throw 2 of 2
1:35.0,Defensive rebound by B. Bass,,75-87,,
1:23.0,M. Thornton misses 2-pt shot from 7 ft (block by B. Wright),,75-87,,
1:22.0,,,75-87,,Defensive rebound by B. Wright
1:00.0,,,75-90,3,C. Parsons makes 3-pt shot from 22 ft (assist by D. Harris)
0:47.0,J. Green makes 2-pt shot from 1 ft,2,77-90,,
0:32.0,,,77-90,,D. Harris misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by Team,,77-90,,
0:31.0,,,77-90,,R. Jefferson enters the game for C. Parsons
0:31.0,A. Bradley enters the game for B. Bass,,77-90,,
0:16.0,E. Turner makes 2-pt shot from 12 ft,2,79-90,,
0:03.0,Personal foul by A. Bradley (drawn by D. Nowitzki),,79-90,,
0:03.0,,,79-90,,D. Nowitzki misses free throw 1 of 2
0:03.0,,,79-90,,Offensive rebound by Team
0:03.0,G. Wallace enters the game for M. Thornton,,79-90,,
0:03.0,J. Sullinger enters the game for T. Zeller,,79-90,,
0:03.0,,,79-91,1,D. Nowitzki makes free throw 2 of 2
0:00.0,J. Green misses 3-pt shot from 49 ft,,79-91,,
0:00.0,Offensive rebound by Team,,79-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,79-93,2,D. Nowitzki makes 2-pt shot from 11 ft
11:19.0,J. Sullinger makes 2-pt shot at rim (assist by J. Green),2,81-93,,
11:05.0,,,81-95,2,J. Barea makes 2-pt shot from 4 ft
11:01.0,Shooting foul by B. Wright (drawn by J. Green),,81-95,,
11:01.0,J. Green makes free throw 1 of 2,1,82-95,,
11:01.0,J. Green makes free throw 2 of 2,1,83-95,,
10:35.0,,,83-95,,R. Jefferson misses 2-pt shot from 1 ft
10:35.0,,,83-95,,Offensive rebound by Team
10:28.0,,,83-95,,R. Jefferson misses 3-pt shot from 22 ft
10:27.0,Defensive rebound by A. Bradley,,83-95,,
10:19.0,Shooting foul by D. Nowitzki (drawn by J. Sullinger),,83-95,,
10:19.0,J. Sullinger makes free throw 1 of 2,1,84-95,,
10:19.0,,,84-95,,T. Chandler enters the game for B. Wright
10:19.0,J. Sullinger makes free throw 2 of 2,1,85-95,,
10:01.0,,,85-95,,T. Chandler misses 2-pt shot from 2 ft (block by J. Sullinger)
9:58.0,,,85-95,,Offensive rebound by R. Jefferson
9:57.0,,,85-95,,R. Jefferson misses 2-pt shot from 1 ft
9:56.0,,,85-95,,Offensive rebound by T. Chandler
9:52.0,,,85-95,,Turnover by T. Chandler (lost ball; steal by R. Rondo)
9:45.0,A. Bradley misses 2-pt shot at rim (block by T. Chandler),,85-95,,
9:42.0,Offensive rebound by J. Sullinger,,85-95,,
9:42.0,J. Sullinger misses 2-pt shot from 2 ft,,85-95,,
9:41.0,Offensive rebound by A. Bradley,,85-95,,
9:38.0,Turnover by A. Bradley (lost ball; steal by J. Barea),,85-95,,
9:29.0,,,85-98,3,D. Harris makes 3-pt shot from 23 ft (assist by J. Barea)
9:12.0,R. Rondo misses 2-pt shot from 9 ft,,85-98,,
9:11.0,Offensive rebound by R. Rondo,,85-98,,
9:11.0,,,85-98,,Personal foul by J. Barea (drawn by R. Rondo)
9:05.0,J. Sullinger misses 3-pt shot from 24 ft,,85-98,,
9:03.0,Offensive rebound by J. Sullinger,,85-98,,
9:01.0,J. Sullinger misses 2-pt shot at rim (block by T. Chandler),,85-98,,
9:00.0,,,85-98,,Defensive rebound by D. Nowitzki
9:00.0,Personal foul by J. Sullinger (drawn by D. Nowitzki),,85-98,,
9:00.0,M. Smart enters the game for E. Turner,,85-98,,
8:50.0,,,85-98,,J. Barea misses 2-pt shot from 1 ft
8:48.0,Defensive rebound by M. Smart,,85-98,,
8:40.0,A. Bradley makes 3-pt shot from 23 ft (assist by R. Rondo),3,88-98,,
8:26.0,Personal foul by J. Green (drawn by D. Nowitzki),,88-98,,
8:26.0,Official timeout,,88-98,,
8:26.0,K. Olynyk enters the game for J. Green,,88-98,,
8:15.0,,,88-98,,Turnover by J. Barea (lost ball)
8:02.0,A. Bradley makes 2-pt shot from 20 ft (assist by R. Rondo),2,90-98,,
7:48.0,Personal foul by K. Olynyk (drawn by D. Nowitzki),,90-98,,
7:48.0,,,90-98,,J. Nelson enters the game for D. Harris
7:48.0,,,90-98,,M. Ellis enters the game for J. Barea
7:48.0,,,90-98,,C. Parsons enters the game for R. Jefferson
7:46.0,Personal foul by M. Smart (drawn by D. Nowitzki),,90-98,,
7:33.0,,,90-101,3,J. Nelson makes 3-pt shot from 24 ft (assist by D. Nowitzki)
7:21.0,A. Bradley makes 3-pt shot from 24 ft (assist by R. Rondo),3,93-101,,
7:00.0,,,93-103,2,C. Parsons makes 2-pt shot from 2 ft (assist by D. Nowitzki)
6:47.0,J. Sullinger makes 2-pt shot from 18 ft (assist by R. Rondo),2,95-103,,
6:22.0,,,95-103,,J. Nelson misses 3-pt shot from 25 ft
6:21.0,,,95-103,,Offensive rebound by D. Nowitzki
6:17.0,,,95-105,2,D. Nowitzki makes 2-pt shot from 16 ft
6:08.0,Boston full timeout,,95-105,,
6:08.0,,,95-105,,R. Jefferson enters the game for D. Nowitzki
6:08.0,J. Green enters the game for J. Sullinger,,95-105,,
6:03.0,K. Olynyk misses 3-pt shot from 24 ft,,95-105,,
6:01.0,Offensive rebound by J. Green,,95-105,,
5:51.0,J. Green misses 2-pt shot from 14 ft,,95-105,,
5:50.0,Offensive rebound by M. Smart,,95-105,,
5:48.0,M. Smart makes 2-pt shot from 4 ft,2,97-105,,
5:35.0,,,97-105,,Turnover by J. Nelson (bad pass; steal by K. Olynyk)
5:31.0,Offensive charge foul by R. Rondo,,97-105,,
5:31.0,Turnover by R. Rondo (offensive foul),,97-105,,
