time,Toronto,pts.away,score,pts.home,LA Clippers
4:36.0,Personal foul by J. Valanciunas (drawn by C. Paul),,35-42,,
4:36.0,,,35-43,1,C. Paul makes free throw 1 of 2
4:36.0,,,35-43,,C. Paul misses free throw 2 of 2
4:35.0,Defensive rebound by A. Johnson,,35-43,,
4:18.0,Shooting foul by D. Jordan (drawn by J. Valanciunas),,35-43,,
4:18.0,J. Valanciunas makes free throw 1 of 2,1,36-43,,
4:18.0,L. Williams enters the game for G. Vasquez,,36-43,,
4:18.0,P. Patterson enters the game for A. Johnson,,36-43,,
4:18.0,J. Valanciunas makes free throw 2 of 2,1,37-43,,
3:54.0,,,37-43,,M. Barnes misses 2-pt shot from 9 ft
3:54.0,,,37-43,,Offensive rebound by D. Jordan
3:54.0,,,37-43,,Turnover by Team (shot clock)
3:46.0,Turnover by K. Lowry (bad pass; steal by M. Barnes),,37-43,,
3:39.0,,,37-43,,Offensive foul by B. Griffin
3:39.0,,,37-43,,Turnover by B. Griffin (offensive foul)
3:35.0,,,37-43,,Personal foul by M. Barnes (drawn by L. Williams)
3:24.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,39-43,,
3:17.0,Personal foul by T. Ross (drawn by C. Paul),,39-43,,
3:17.0,,,39-44,1,C. Paul makes free throw 1 of 2
3:17.0,,,39-44,,J. Crawford enters the game for M. Barnes
3:17.0,G. Vasquez enters the game for T. Ross,,39-44,,
3:17.0,,,39-45,1,C. Paul makes free throw 2 of 2
3:03.0,L. Williams misses 2-pt shot from 15 ft,,39-45,,
3:01.0,,,39-45,,Defensive rebound by C. Paul
2:52.0,,,39-45,,Turnover by J. Redick (lost ball; steal by K. Lowry)
2:49.0,K. Lowry makes 2-pt shot from 1 ft,2,41-45,,
2:35.0,,,41-47,2,C. Paul makes 2-pt shot from 8 ft
2:15.0,J. Valanciunas makes 2-pt shot at rim (assist by L. Williams),2,43-47,,
1:49.0,,,43-47,,J. Redick misses 2-pt shot from 8 ft
1:48.0,Defensive rebound by G. Vasquez,,43-47,,
1:42.0,L. Williams misses 3-pt shot from 23 ft,,43-47,,
1:41.0,,,43-47,,Defensive rebound by D. Jordan
1:33.0,,,43-47,,Shooting foul by P. Patterson (drawn by J. Crawford)
1:33.0,Official timeout,,43-47,,
1:33.0,,,43-48,1,J. Crawford makes free throw 1 of 2
1:33.0,,,43-49,1,J. Crawford makes free throw 2 of 2
1:16.0,G. Vasquez makes 3-pt shot from 26 ft (assist by P. Patterson),3,46-49,,
0:56.0,,,46-49,,B. Griffin misses 2-pt shot from 18 ft
0:54.0,Defensive rebound by Team,,46-49,,
0:54.0,,,46-49,,J. Farmar enters the game for C. Paul
0:37.0,K. Lowry misses 2-pt shot from 7 ft (block by J. Farmar),,46-49,,
0:36.0,,,46-49,,Defensive rebound by D. Jordan
0:31.0,,,46-49,,B. Griffin misses 2-pt shot from 2 ft
0:30.0,Defensive rebound by G. Vasquez,,46-49,,
0:26.0,Shooting foul by J. Farmar (drawn by J. Valanciunas),,46-49,,
0:26.0,J. Valanciunas makes free throw 1 of 2,1,47-49,,
0:26.0,A. Johnson enters the game for P. Patterson,,47-49,,
0:26.0,,,47-49,,M. Barnes enters the game for D. Jordan
0:26.0,J. Valanciunas misses free throw 2 of 2,,47-49,,
0:26.0,,,47-49,,Defensive rebound by M. Barnes
0:23.0,,,47-49,,LA Clippers full timeout
0:23.0,T. Ross enters the game for J. Valanciunas,,47-49,,
0:15.0,,,47-49,,Turnover by J. Farmar (lost ball; steal by K. Lowry)
0:13.0,Shooting foul by J. Farmar (drawn by K. Lowry),,47-49,,
0:13.0,K. Lowry makes free throw 1 of 2,1,48-49,,
0:13.0,,,48-49,,C. Paul enters the game for M. Barnes
0:13.0,K. Lowry makes free throw 2 of 2,1,49-49,,
0:01.0,,,49-49,,C. Paul misses 2-pt shot from 17 ft (block by T. Ross)
0:00.0,,,49-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,49-49,,B. Griffin misses 2-pt shot from 4 ft
11:45.0,,,49-49,,Offensive rebound by Team
11:45.0,Loose ball foul by A. Johnson (drawn by D. Jordan),,49-49,,
11:38.0,,,49-52,3,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul)
11:12.0,J. Valanciunas makes 2-pt shot from 12 ft,2,51-52,,
10:57.0,,,51-54,2,B. Griffin makes 2-pt shot from 16 ft (assist by J. Redick)
10:39.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by T. Ross),2,53-54,,
10:19.0,,,53-54,,J. Redick misses 2-pt shot from 18 ft
10:18.0,Defensive rebound by K. Lowry,,53-54,,
10:15.0,K. Lowry makes 3-pt shot from 25 ft,3,56-54,,
10:15.0,Shooting foul by J. Redick (drawn by K. Lowry),,56-54,,
10:15.0,K. Lowry makes free throw 1 of 1,1,57-54,,
10:00.0,,,57-57,3,C. Paul makes 3-pt shot from 22 ft
9:39.0,T. Ross makes 2-pt shot from 18 ft,2,59-57,,
9:33.0,,,59-57,,C. Paul misses 2-pt shot from 16 ft
9:32.0,Defensive rebound by J. Johnson,,59-57,,
9:18.0,T. Ross makes 3-pt shot from 26 ft (assist by J. Valanciunas),3,62-57,,
8:58.0,,,62-59,2,B. Griffin makes 2-pt shot from 5 ft
8:31.0,T. Ross misses 3-pt shot from 26 ft,,62-59,,
8:30.0,Offensive rebound by J. Valanciunas,,62-59,,
8:27.0,J. Valanciunas misses 2-pt shot from 3 ft,,62-59,,
8:25.0,,,62-59,,Defensive rebound by D. Jordan
8:16.0,,,62-59,,J. Redick misses 3-pt shot from 25 ft
8:16.0,,,62-59,,Offensive rebound by D. Jordan
8:11.0,,,62-62,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin)
7:43.0,A. Johnson makes 2-pt shot from 2 ft,2,64-62,,
7:31.0,Personal foul by T. Ross (drawn by J. Redick),,64-62,,
7:22.0,,,64-62,,M. Barnes misses 2-pt shot from 5 ft
7:20.0,Defensive rebound by J. Valanciunas,,64-62,,
7:13.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,66-62,,
6:47.0,,,66-64,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
6:25.0,J. Johnson makes 3-pt shot from 23 ft (assist by K. Lowry),3,69-64,,
6:11.0,,,69-64,,Turnover by J. Redick (traveling)
5:52.0,J. Johnson misses 2-pt shot from 14 ft,,69-64,,
5:51.0,,,69-64,,Defensive rebound by D. Jordan
5:37.0,,,69-64,,B. Griffin misses 2-pt shot from 5 ft
5:35.0,,,69-64,,Offensive rebound by D. Jordan
5:35.0,,,69-66,2,D. Jordan makes 2-pt shot at rim
5:15.0,J. Valanciunas misses 2-pt shot from 8 ft,,69-66,,
5:13.0,Offensive rebound by J. Johnson,,69-66,,
5:13.0,J. Johnson misses 2-pt shot from 1 ft,,69-66,,
5:11.0,,,69-66,,Defensive rebound by M. Barnes
4:57.0,,,69-66,,C. Paul misses 3-pt shot from 23 ft
4:56.0,Defensive rebound by J. Johnson,,69-66,,
4:52.0,Toronto full timeout,,69-66,,
4:41.0,Turnover by K. Lowry (lost ball; steal by C. Paul),,69-66,,
4:41.0,Jump ball: K. Lowry vs. C. Paul (B. Griffin gains possession),,,,Jump ball: K. Lowry vs. C. Paul (B. Griffin gains possession)
4:23.0,,,69-66,,B. Griffin misses 2-pt shot from 21 ft
4:22.0,Defensive rebound by T. Ross,,69-66,,
4:12.0,J. Johnson misses 3-pt shot from 23 ft,,69-66,,
4:10.0,,,69-66,,Defensive rebound by D. Jordan
4:03.0,,,69-66,,Turnover by C. Paul (bad pass; steal by T. Ross)
3:58.0,T. Ross misses 2-pt shot from 2 ft,,69-66,,
3:56.0,,,69-66,,Defensive rebound by C. Paul
3:56.0,Personal foul by T. Ross (drawn by C. Paul),,69-66,,
3:56.0,,,69-66,,J. Crawford enters the game for M. Barnes
3:56.0,P. Patterson enters the game for A. Johnson,,69-66,,
3:56.0,L. Williams enters the game for T. Ross,,69-66,,
3:41.0,,,69-68,2,C. Paul makes 2-pt shot from 17 ft
3:24.0,K. Lowry makes 3-pt shot from 27 ft (assist by L. Williams),3,72-68,,
3:08.0,,,72-68,,B. Griffin misses 2-pt shot from 1 ft
3:07.0,Defensive rebound by J. Valanciunas,,72-68,,
2:53.0,K. Lowry makes 2-pt shot from 2 ft,2,74-68,,
2:44.0,,,74-68,,J. Crawford misses 3-pt shot from 26 ft
2:43.0,Defensive rebound by J. Johnson,,74-68,,
2:34.0,K. Lowry makes 2-pt shot from 18 ft,2,76-68,,
2:33.0,,,76-68,,LA Clippers full timeout
2:33.0,G. Vasquez enters the game for J. Johnson,,76-68,,
2:33.0,,,76-68,,J. Farmar enters the game for C. Paul
2:19.0,,,76-70,2,J. Redick makes 2-pt shot from 17 ft (assist by J. Crawford)
1:59.0,K. Lowry misses 3-pt shot from 26 ft,,76-70,,
1:58.0,,,76-70,,Defensive rebound by J. Crawford
1:50.0,,,76-70,,J. Crawford misses 2-pt shot from 19 ft
1:49.0,,,76-70,,Offensive rebound by D. Jordan
1:44.0,,,76-72,2,J. Redick makes 2-pt shot from 17 ft (assist by D. Jordan)
1:33.0,,,76-72,,Personal foul by D. Jordan (drawn by K. Lowry)
1:33.0,T. Ross enters the game for K. Lowry,,76-72,,
1:33.0,Technical foul by K. Lowry,,76-72,,
1:33.0,,,76-73,1,J. Crawford makes technical free throw
1:18.0,L. Williams misses 3-pt shot from 27 ft,,76-73,,
1:18.0,,,76-73,,Defensive rebound by D. Jordan
1:11.0,Personal foul by G. Vasquez (drawn by B. Griffin),,76-73,,
0:57.0,,,76-75,2,B. Griffin makes 2-pt shot from 6 ft
0:41.0,P. Patterson makes 2-pt shot from 15 ft (assist by G. Vasquez),2,78-75,,
0:34.0,,,78-75,,J. Crawford misses 3-pt shot from 25 ft
0:33.0,,,78-75,,Offensive rebound by D. Jordan
0:28.0,,,78-78,3,J. Redick makes 3-pt shot from 23 ft (assist by J. Crawford)
0:06.0,J. Valanciunas makes 2-pt shot at rim (assist by G. Vasquez),2,80-78,,
0:00.0,,,80-78,,J. Farmar misses 3-pt shot from 25 ft
0:00.0,,,80-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,A. Johnson misses 2-pt shot from 1 ft (block by B. Griffin),,80-78,,
11:39.0,Offensive rebound by A. Johnson,,80-78,,
11:39.0,A. Johnson makes 2-pt shot at rim,2,82-78,,
11:27.0,,,82-78,,Offensive foul by D. Jordan
11:27.0,,,82-78,,Turnover by D. Jordan (offensive foul)
11:27.0,,,82-78,,G. Davis enters the game for D. Jordan
11:27.0,,,82-78,,R. Bullock enters the game for J. Redick
11:17.0,P. Patterson makes 3-pt shot from 26 ft (assist by G. Vasquez),3,85-78,,
10:57.0,,,85-78,,J. Crawford misses 3-pt shot from 27 ft
10:56.0,Defensive rebound by P. Patterson,,85-78,,
10:50.0,,,85-78,,Personal foul by B. Griffin (drawn by L. Williams)
10:50.0,,,85-78,,H. Turkoglu enters the game for B. Griffin
10:36.0,L. Williams misses 2-pt shot from 16 ft (block by G. Davis),,85-78,,
10:34.0,,,85-78,,Defensive rebound by G. Davis
10:32.0,,,85-80,2,J. Crawford makes 2-pt shot from 2 ft (assist by G. Davis)
10:20.0,G. Vasquez makes 3-pt shot from 25 ft (assist by T. Ross),3,88-80,,
10:03.0,,,88-80,,Turnover by R. Bullock (bad pass; steal by L. Williams)
9:57.0,G. Vasquez misses 3-pt shot from 25 ft,,88-80,,
9:54.0,,,88-80,,Defensive rebound by G. Davis
9:34.0,,,88-80,,R. Bullock misses 3-pt shot from 23 ft
9:34.0,Defensive rebound by Team,,88-80,,
9:23.0,G. Vasquez makes 2-pt shot from 16 ft,2,90-80,,
9:09.0,,,90-80,,J. Crawford misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by G. Vasquez,,90-80,,
9:03.0,G. Vasquez makes 3-pt shot from 25 ft,3,93-80,,
9:00.0,,,93-80,,LA Clippers full timeout
9:00.0,,,93-80,,C. Paul enters the game for J. Farmar
9:00.0,,,93-80,,J. Redick enters the game for R. Bullock
8:49.0,,,93-82,2,G. Davis makes 2-pt shot from 2 ft (assist by C. Paul)
8:31.0,T. Ross misses 3-pt shot from 25 ft,,93-82,,
8:30.0,,,93-82,,Defensive rebound by H. Turkoglu
8:11.0,,,93-82,,J. Crawford misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by T. Ross,,93-82,,
7:52.0,G. Vasquez misses 2-pt shot from 6 ft,,93-82,,
7:51.0,,,93-82,,Defensive rebound by G. Davis
7:41.0,Personal foul by G. Vasquez (drawn by C. Paul),,93-82,,
7:34.0,,,93-82,,C. Paul misses 2-pt shot from 17 ft
7:33.0,Defensive rebound by A. Johnson,,93-82,,
7:24.0,,,93-82,,Personal foul by C. Paul (drawn by G. Vasquez)
7:19.0,A. Johnson makes 2-pt shot from 1 ft (assist by G. Vasquez),2,95-82,,
7:19.0,Shooting foul by G. Davis (drawn by A. Johnson),,95-82,,
7:19.0,,,95-82,,D. Jordan enters the game for G. Davis
7:19.0,,,95-82,,B. Griffin enters the game for H. Turkoglu
7:19.0,K. Lowry enters the game for T. Ross,,95-82,,
7:19.0,A. Johnson misses free throw 1 of 1,,95-82,,
7:18.0,,,95-82,,Defensive rebound by D. Jordan
7:05.0,,,95-82,,D. Jordan misses 2-pt shot at rim
7:02.0,Defensive rebound by A. Johnson,,95-82,,
6:53.0,G. Vasquez misses 3-pt shot from 25 ft,,95-82,,
6:52.0,,,95-82,,Defensive rebound by D. Jordan
6:45.0,,,95-82,,J. Crawford misses 2-pt shot from 2 ft
6:44.0,Defensive rebound by A. Johnson,,95-82,,
6:26.0,Turnover by P. Patterson (offensive foul),,95-82,,
6:26.0,Offensive foul by P. Patterson,,95-82,,
6:26.0,J. Valanciunas enters the game for P. Patterson,,95-82,,
6:08.0,,,95-84,2,J. Redick makes 2-pt shot from 16 ft (assist by J. Crawford)
5:55.0,,,95-84,,Personal foul by J. Crawford (drawn by L. Williams)
5:55.0,Official timeout,,95-84,,
5:55.0,T. Ross enters the game for G. Vasquez,,95-84,,
5:49.0,L. Williams makes 3-pt shot from 28 ft (assist by K. Lowry),3,98-84,,
5:33.0,,,98-86,2,J. Redick makes 2-pt shot from 7 ft (assist by C. Paul)
5:18.0,L. Williams makes 3-pt shot from 25 ft (assist by K. Lowry),3,101-86,,
5:01.0,,,101-86,,C. Paul misses 2-pt shot from 6 ft
4:58.0,Defensive rebound by A. Johnson,,101-86,,
4:55.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,103-86,,
4:32.0,,,103-89,3,J. Crawford makes 3-pt shot from 23 ft (assist by C. Paul)
4:08.0,Turnover by K. Lowry (bad pass),,103-89,,
3:59.0,,,103-89,,J. Redick misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by J. Valanciunas,,103-89,,
3:55.0,,,103-89,,Technical foul by B. Griffin
3:55.0,L. Williams makes technical free throw,1,104-89,,
3:39.0,K. Lowry misses 3-pt shot from 26 ft,,104-89,,
3:39.0,Offensive rebound by A. Johnson,,104-89,,
3:21.0,A. Johnson misses 2-pt shot from 2 ft (block by J. Redick),,104-89,,
3:19.0,,,104-89,,Defensive rebound by C. Paul
3:15.0,,,104-91,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
3:12.0,Toronto full timeout,,104-91,,
2:55.0,L. Williams misses 2-pt shot from 6 ft,,104-91,,
2:54.0,Offensive rebound by J. Valanciunas,,104-91,,
2:54.0,Shooting foul by B. Griffin (drawn by J. Valanciunas),,104-91,,
2:54.0,J. Valanciunas makes free throw 1 of 2,1,105-91,,
