time,Golden State,pts.away,score,pts.home,Philadelphia
3:59.0,,,14-16,,Defensive rebound by R. Covington
3:40.0,,,14-16,,L. Mbah a Moute misses 2-pt shot from 3 ft (block by D. Green)
3:38.0,,,14-16,,Offensive rebound by T. Frazier
3:36.0,,,14-16,,T. Frazier misses 2-pt shot from 2 ft
3:34.0,Defensive rebound by M. Speights,,14-16,,
3:29.0,Shooting foul by H. Sims (drawn by K. Thompson),,14-16,,
3:29.0,K. Thompson makes free throw 1 of 2,1,15-16,,
3:29.0,,,15-16,,K. McDaniels enters the game for L. Mbah a Moute
3:29.0,,,15-16,,J. Grant enters the game for R. Covington
3:29.0,K. Thompson makes free throw 2 of 2,1,16-16,,
3:18.0,,,16-16,,H. Thompson misses 3-pt shot from 26 ft
3:16.0,Defensive rebound by A. Iguodala,,16-16,,
3:09.0,S. Curry misses 3-pt shot from 26 ft,,16-16,,
3:08.0,Offensive rebound by Team,,16-16,,
3:08.0,S. Livingston enters the game for S. Curry,,16-16,,
3:04.0,Turnover by K. Thompson (bad pass; steal by H. Sims),,16-16,,
2:57.0,,,16-16,,Offensive foul by J. Grant
2:57.0,,,16-16,,Turnover by J. Grant (offensive foul)
2:57.0,,,16-16,,J. Sampson enters the game for T. Frazier
2:47.0,K. Thompson makes 2-pt shot at rim,2,18-16,,
2:30.0,,,18-16,,H. Thompson misses 2-pt shot from 1 ft
2:28.0,,,18-16,,Offensive rebound by J. Grant
2:27.0,,,18-18,2,J. Grant makes 2-pt shot at rim
2:17.0,,,18-18,,Personal foul by H. Thompson (drawn by M. Speights)
2:11.0,Turnover by A. Iguodala (bad pass; steal by J. Sampson),,18-18,,
2:07.0,Violation by A. Iguodala (def goaltending),,18-18,,
2:07.0,,,18-20,2,J. Sampson makes 2-pt shot from 4 ft
1:52.0,M. Speights makes 2-pt shot from 1 ft (assist by K. Thompson),2,20-20,,
1:29.0,,,20-20,,K. McDaniels misses 2-pt shot from 5 ft
1:28.0,,,20-20,,Offensive rebound by K. McDaniels
1:26.0,,,20-22,2,K. McDaniels makes 2-pt shot at rim
1:24.0,Turnover by M. Speights (lost ball),,20-22,,
1:08.0,,,20-22,,Turnover by H. Sims (lost ball)
0:53.0,A. Iguodala misses 3-pt shot from 23 ft,,20-22,,
0:51.0,,,20-22,,Defensive rebound by H. Sims
0:44.0,,,20-24,2,J. Sampson makes 2-pt shot at rim
0:37.0,S. Livingston misses 2-pt shot from 16 ft,,20-24,,
0:37.0,,,20-24,,Defensive rebound by Team
0:37.0,Loose ball foul by M. Speights (drawn by H. Thompson),,20-24,,
0:36.0,D. Lee enters the game for D. Green,,20-24,,
0:26.0,,,20-24,,J. Grant misses 2-pt shot from 21 ft
0:24.0,Defensive rebound by S. Livingston,,20-24,,
0:08.0,K. Thompson misses 2-pt shot from 12 ft (block by J. Grant),,20-24,,
0:06.0,,,20-24,,Defensive rebound by H. Thompson
0:01.0,,,20-24,,Turnover by H. Thompson (bad pass; steal by A. Iguodala)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,20-26,2,H. Sims makes 2-pt shot at rim (assist by J. Sampson)
11:23.0,D. Lee misses 2-pt shot from 5 ft,,20-26,,
11:22.0,,,20-26,,Defensive rebound by H. Sims
11:16.0,,,20-26,,Shooting foul by M. Speights (drawn by J. Grant)
11:16.0,,,20-27,1,J. Grant makes free throw 1 of 2
11:16.0,,,20-28,1,J. Grant makes free throw 2 of 2
11:09.0,Turnover by D. Lee (lost ball; steal by K. McDaniels),,20-28,,
11:02.0,,,20-28,,K. McDaniels misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by L. Barbosa,,20-28,,
10:55.0,,,20-28,,Violation by K. McDaniels (def goaltending)
10:55.0,L. Barbosa makes 2-pt shot from 1 ft,2,22-28,,
10:55.0,,,22-28,,Technical foul by K. McDaniels
10:55.0,L. Barbosa makes technical free throw,1,23-28,,
10:39.0,,,23-28,,J. Sampson misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by A. Iguodala,,23-28,,
10:24.0,L. Barbosa makes 3-pt shot from 25 ft (assist by D. Lee),3,26-28,,
10:14.0,,,26-28,,Turnover by J. Sampson (bad pass; steal by S. Livingston)
10:10.0,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston),2,28-28,,
9:50.0,,,28-30,2,H. Sims makes 2-pt shot from 16 ft (assist by K. McDaniels)
9:38.0,M. Speights makes 2-pt shot from 18 ft (assist by D. Lee),2,30-30,,
9:26.0,,,30-30,,Turnover by K. McDaniels (bad pass; steal by D. Lee)
9:22.0,D. Lee misses 2-pt shot from 3 ft (block by K. McDaniels),,30-30,,
9:19.0,,,30-30,,Defensive rebound by H. Sims
9:17.0,,,30-30,,Philadelphia full timeout
9:17.0,,,30-30,,L. Mbah a Moute enters the game for J. Sampson
9:17.0,,,30-30,,T. Frazier enters the game for H. Sims
9:17.0,,,30-30,,N. Noel enters the game for J. Grant
9:03.0,,,30-30,,H. Thompson misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by L. Barbosa,,30-30,,
8:45.0,M. Speights misses 2-pt shot from 15 ft,,30-30,,
8:43.0,,,30-30,,Defensive rebound by L. Mbah a Moute
8:30.0,,,30-30,,N. Noel misses 2-pt shot from 8 ft
8:29.0,,,30-30,,Offensive rebound by Team
8:26.0,,,30-30,,L. Mbah a Moute misses 3-pt shot from 23 ft
8:24.0,,,30-30,,Offensive rebound by T. Frazier
8:18.0,,,30-30,,T. Frazier misses 2-pt shot from 7 ft
8:16.0,Defensive rebound by S. Livingston,,30-30,,
8:05.0,D. Lee misses 2-pt shot from 1 ft,,30-30,,
8:05.0,Offensive rebound by Team,,30-30,,
8:05.0,,,30-30,,Loose ball foul by H. Thompson (drawn by M. Speights)
8:05.0,Golden State full timeout,,30-30,,
8:05.0,A. Bogut enters the game for M. Speights,,30-30,,
7:50.0,S. Livingston misses 2-pt shot from 5 ft,,30-30,,
7:49.0,,,30-30,,Defensive rebound by N. Noel
7:37.0,,,30-32,2,K. McDaniels makes 2-pt shot from 1 ft (assist by N. Noel)
7:37.0,,,30-32,,Shooting foul by L. Barbosa (drawn by K. McDaniels)
7:37.0,,,30-32,,R. Covington enters the game for H. Thompson
7:37.0,,,30-33,1,K. McDaniels makes free throw 1 of 1
7:28.0,D. Lee misses 2-pt shot from 4 ft,,30-33,,
7:26.0,,,30-33,,Defensive rebound by R. Covington
7:21.0,,,30-33,,R. Covington misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by L. Barbosa,,30-33,,
7:01.0,Turnover by A. Iguodala (bad pass; steal by R. Covington),,30-33,,
6:53.0,,,30-33,,Turnover by T. Frazier (bad pass; steal by A. Iguodala)
6:43.0,A. Iguodala makes 3-pt shot from 24 ft (assist by L. Barbosa),3,33-33,,
6:26.0,,,33-33,,L. Mbah a Moute misses 2-pt shot from 19 ft
6:25.0,Defensive rebound by S. Livingston,,33-33,,
6:19.0,Shooting foul by T. Frazier (drawn by A. Iguodala),,33-33,,
6:19.0,A. Iguodala makes free throw 1 of 2,1,34-33,,
6:19.0,,,34-33,,J. Grant enters the game for K. McDaniels
6:19.0,A. Iguodala makes free throw 2 of 2,1,35-33,,
6:04.0,,,35-33,,Turnover by R. Covington (bad pass; steal by D. Lee)
6:02.0,,,35-33,,Personal foul by R. Covington (drawn by L. Barbosa)
5:51.0,A. Bogut makes 2-pt shot from 3 ft (assist by L. Barbosa),2,37-33,,
5:28.0,,,37-36,3,R. Covington makes 3-pt shot from 25 ft (assist by T. Frazier)
5:11.0,L. Barbosa makes 2-pt shot from 17 ft (assist by D. Lee),2,39-36,,
4:59.0,Personal foul by D. Lee (drawn by J. Grant),,39-36,,
4:59.0,Official timeout,,39-36,,
4:59.0,S. Curry enters the game for A. Iguodala,,39-36,,
4:59.0,H. Barnes enters the game for S. Livingston,,39-36,,
4:47.0,,,39-36,,Turnover by L. Mbah a Moute (bad pass; steal by S. Curry)
4:20.0,A. Bogut makes 2-pt shot from 7 ft (assist by S. Curry),2,41-36,,
4:09.0,,,41-36,,J. Grant misses 2-pt shot from 12 ft
4:08.0,Defensive rebound by Team,,41-36,,
3:51.0,H. Barnes misses 3-pt shot from 25 ft,,41-36,,
3:49.0,Offensive rebound by L. Barbosa,,41-36,,
3:46.0,S. Curry misses 3-pt shot from 25 ft,,41-36,,
3:44.0,,,41-36,,Defensive rebound by R. Covington
3:32.0,,,41-38,2,T. Frazier makes 2-pt shot from 1 ft (assist by N. Noel)
3:23.0,Shooting foul by N. Noel (drawn by A. Bogut),,41-38,,
3:23.0,A. Bogut misses free throw 1 of 2,,41-38,,
3:23.0,,,41-38,,Defensive rebound by Team
3:23.0,A. Bogut misses free throw 2 of 2,,41-38,,
3:22.0,,,41-38,,Offensive rebound by N. Noel
3:00.0,,,41-41,3,L. Mbah a Moute makes 3-pt shot from 22 ft (assist by T. Frazier)
2:40.0,H. Barnes misses 2-pt shot from 5 ft,,41-41,,
2:38.0,Offensive rebound by L. Barbosa,,41-41,,
2:38.0,Turnover by L. Barbosa (traveling),,41-41,,
2:38.0,Golden State full timeout,,41-41,,
2:38.0,K. Thompson enters the game for D. Lee,,41-41,,
2:38.0,D. Green enters the game for L. Barbosa,,41-41,,
2:38.0,,,41-41,,H. Thompson enters the game for J. Grant
2:18.0,,,41-41,,Turnover by T. Frazier (bad pass)
2:01.0,S. Curry misses 3-pt shot from 25 ft,,41-41,,
1:58.0,Offensive rebound by A. Bogut,,41-41,,
1:55.0,K. Thompson misses 3-pt shot from 26 ft,,41-41,,
1:52.0,,,41-41,,Defensive rebound by H. Thompson
1:36.0,,,41-41,,Turnover by L. Mbah a Moute (lost ball)
1:21.0,Turnover by K. Thompson (bad pass; steal by R. Covington),,41-41,,
1:17.0,Personal foul by D. Green (drawn by T. Frazier),,41-41,,
1:17.0,,,41-41,,J. Grant enters the game for L. Mbah a Moute
1:00.0,,,41-41,,J. Grant misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by A. Bogut,,41-41,,
0:55.0,K. Thompson misses 3-pt shot from 24 ft,,41-41,,
0:53.0,Offensive rebound by D. Green,,41-41,,
0:50.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,44-41,,
0:26.0,,,44-41,,Shooting foul by S. Curry (drawn by J. Grant)
0:26.0,,,44-42,1,J. Grant makes free throw 1 of 2
0:26.0,,,44-42,,J. Sampson enters the game for T. Frazier
0:26.0,,,44-42,,K. McDaniels enters the game for H. Thompson
0:26.0,,,44-43,1,J. Grant makes free throw 2 of 2
0:09.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,46-43,,
0:05.0,,,46-43,,Philadelphia full timeout
0:05.0,A. Iguodala enters the game for A. Bogut,,46-43,,
0:05.0,L. Barbosa enters the game for S. Curry,,46-43,,
0:03.0,,,46-43,,Shooting foul by D. Green (drawn by N. Noel)
0:03.0,,,46-44,1,N. Noel makes free throw 1 of 2
0:03.0,,,46-44,,N. Noel misses free throw 2 of 2
0:02.0,Defensive rebound by A. Iguodala,,46-44,,
0:00.0,A. Iguodala misses 3-pt shot from 52 ft,,46-44,,
0:00.0,Offensive rebound by Team,,46-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-44,,R. Covington misses 2-pt shot at rim
11:41.0,Defensive rebound by H. Barnes,,46-44,,
11:29.0,,,46-44,,Personal foul by N. Noel (drawn by A. Bogut)
11:23.0,H. Barnes misses 2-pt shot from 2 ft,,46-44,,
11:22.0,,,46-44,,Defensive rebound by N. Noel
11:22.0,Personal foul by A. Bogut (drawn by N. Noel),,46-44,,
11:12.0,,,46-44,,T. Frazier misses 2-pt shot from 4 ft
11:11.0,,,46-44,,Offensive rebound by N. Noel
11:10.0,,,46-46,2,N. Noel makes 2-pt shot at rim
10:51.0,S. Curry misses 3-pt shot from 25 ft,,46-46,,
10:50.0,Offensive rebound by A. Bogut,,46-46,,
10:43.0,H. Barnes misses 3-pt shot from 23 ft,,46-46,,
10:42.0,,,46-46,,Defensive rebound by J. Sampson
10:27.0,,,46-46,,L. Mbah a Moute misses 2-pt shot from 16 ft
10:25.0,Defensive rebound by S. Curry,,46-46,,
10:22.0,Offensive foul by D. Green,,46-46,,
10:22.0,Turnover by D. Green (offensive foul),,46-46,,
10:08.0,,,46-46,,Turnover by R. Covington (bad pass; steal by D. Green)
9:56.0,Shooting foul by N. Noel (drawn by K. Thompson),,46-46,,
9:56.0,K. Thompson makes free throw 1 of 2,1,47-46,,
9:56.0,K. Thompson makes free throw 2 of 2,1,48-46,,
9:35.0,,,48-46,,Offensive charge foul by R. Covington
9:35.0,,,48-46,,Turnover by R. Covington (offensive foul)
9:15.0,K. Thompson misses 3-pt shot from 25 ft,,48-46,,
9:13.0,,,48-46,,Defensive rebound by R. Covington
9:09.0,,,48-46,,Turnover by T. Frazier (bad pass)
8:55.0,S. Curry makes 3-pt shot from 22 ft (assist by K. Thompson),3,51-46,,
8:33.0,,,51-46,,R. Covington misses 3-pt shot from 23 ft
8:31.0,Defensive rebound by H. Barnes,,51-46,,
8:23.0,H. Barnes makes 2-pt shot from 14 ft (assist by S. Curry),2,53-46,,
8:17.0,,,53-46,,Philadelphia full timeout
8:17.0,,,53-46,,H. Thompson enters the game for J. Sampson
8:08.0,,,53-46,,H. Thompson misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by D. Green,,53-46,,
7:57.0,S. Curry misses 3-pt shot from 25 ft,,53-46,,
7:53.0,,,53-46,,Defensive rebound by R. Covington
7:42.0,,,53-46,,Turnover by T. Frazier (bad pass; steal by K. Thompson)
7:38.0,K. Thompson makes 2-pt shot at rim,2,55-46,,
7:20.0,,,55-49,3,R. Covington makes 3-pt shot from 23 ft (assist by N. Noel)
7:07.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,57-49,,
6:52.0,,,57-52,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by T. Frazier)
6:39.0,H. Barnes misses 2-pt shot from 1 ft,,57-52,,
6:38.0,,,57-52,,Defensive rebound by T. Frazier
6:28.0,,,57-52,,T. Frazier misses 2-pt shot from 5 ft
6:27.0,,,57-52,,Offensive rebound by T. Frazier
6:26.0,,,57-52,,T. Frazier misses 2-pt shot from 2 ft
6:24.0,Defensive rebound by A. Bogut,,57-52,,
6:19.0,D. Green misses 2-pt shot from 4 ft (block by L. Mbah a Moute),,57-52,,
6:17.0,,,57-52,,Defensive rebound by R. Covington
6:14.0,,,57-52,,R. Covington misses 2-pt shot from 2 ft (block by H. Barnes)
6:14.0,,,57-52,,Offensive rebound by Team
5:59.0,,,57-52,,Shooting foul by A. Bogut (drawn by L. Mbah a Moute)
5:59.0,,,57-53,1,L. Mbah a Moute makes free throw 1 of 2
5:59.0,,,57-53,,J. Sampson enters the game for T. Frazier
5:59.0,,,57-53,,J. Grant enters the game for R. Covington
5:59.0,A. Iguodala enters the game for H. Barnes,,57-53,,
5:59.0,,,57-53,,L. Mbah a Moute misses free throw 2 of 2
5:58.0,Defensive rebound by A. Iguodala,,57-53,,
5:42.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala),3,60-53,,
5:18.0,,,60-53,,L. Mbah a Moute misses 2-pt shot from 3 ft (block by A. Bogut)
5:16.0,Defensive rebound by A. Bogut,,60-53,,
5:04.0,S. Curry misses 2-pt shot from 19 ft,,60-53,,
5:02.0,,,60-53,,Defensive rebound by L. Mbah a Moute
4:52.0,,,60-53,,Turnover by N. Noel (bad pass; steal by A. Iguodala)
4:35.0,D. Green misses 2-pt shot from 2 ft (block by N. Noel),,60-53,,
4:32.0,,,60-53,,Defensive rebound by H. Thompson
4:23.0,,,60-53,,Turnover by H. Thompson (offensive foul)
4:23.0,,,60-53,,Offensive charge foul by H. Thompson
4:23.0,,,60-53,,K. McDaniels enters the game for N. Noel
4:10.0,S. Curry makes 2-pt shot at rim (assist by A. Bogut),2,62-53,,
3:45.0,,,62-53,,Turnover by J. Sampson (lost ball; steal by S. Curry)
3:39.0,K. Thompson misses 2-pt shot from 14 ft,,62-53,,
3:36.0,,,62-53,,Defensive rebound by J. Grant
3:29.0,,,62-53,,H. Thompson misses 2-pt shot from 2 ft
3:28.0,,,62-53,,Offensive rebound by Team
3:28.0,L. Barbosa enters the game for K. Thompson,,62-53,,
3:16.0,,,62-55,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Grant)
2:56.0,A. Iguodala misses 3-pt shot from 23 ft,,62-55,,
2:54.0,,,62-55,,Defensive rebound by K. McDaniels
2:42.0,,,62-55,,Turnover by H. Thompson (bad pass; steal by A. Iguodala)
2:38.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,64-55,,
2:14.0,,,64-55,,Turnover by K. McDaniels (lost ball)
2:14.0,Golden State full timeout,,64-55,,
2:14.0,D. Lee enters the game for A. Bogut,,64-55,,
2:14.0,,,64-55,,H. Sims enters the game for L. Mbah a Moute
2:00.0,S. Curry misses 3-pt shot from 26 ft,,64-55,,
1:58.0,,,64-55,,Defensive rebound by H. Thompson
1:48.0,,,64-57,2,J. Sampson makes 2-pt shot from 1 ft (assist by J. Grant)
1:32.0,D. Lee misses 2-pt shot from 19 ft,,64-57,,
1:30.0,,,64-57,,Defensive rebound by J. Grant
1:20.0,,,64-59,2,H. Sims makes 2-pt shot from 3 ft
1:16.0,Shooting foul by K. McDaniels (drawn by L. Barbosa),,64-59,,
1:16.0,L. Barbosa makes free throw 1 of 2,1,65-59,,
1:16.0,L. Barbosa misses free throw 2 of 2,,65-59,,
1:13.0,,,65-59,,Defensive rebound by J. Sampson
0:52.0,,,65-61,2,J. Sampson makes 2-pt shot from 4 ft (assist by H. Thompson)
0:35.0,D. Green makes 2-pt shot from 16 ft (assist by S. Curry),2,67-61,,
0:13.0,,,67-61,,K. McDaniels misses 2-pt shot from 20 ft (block by L. Barbosa)
0:09.0,Defensive rebound by D. Green,,67-61,,
0:01.0,S. Curry misses 3-pt shot from 24 ft,,67-61,,
0:00.0,,,67-61,,Defensive rebound by H. Thompson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Speights makes 2-pt shot from 12 ft,2,69-61,,
11:45.0,,,69-61,,Violation by K. McDaniels (def goaltending)
11:28.0,,,69-61,,Offensive charge foul by H. Thompson
11:28.0,,,69-61,,Turnover by H. Thompson (offensive foul)
11:13.0,M. Speights makes 2-pt shot from 20 ft (assist by D. Lee),2,71-61,,
10:58.0,,,71-63,2,H. Sims makes 2-pt shot from 17 ft (assist by J. Grant)
10:39.0,L. Barbosa makes 2-pt shot from 1 ft (assist by D. Lee),2,73-63,,
10:29.0,,,73-63,,T. Frazier misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by D. Lee,,73-63,,
10:12.0,M. Speights makes 2-pt shot from 16 ft (assist by A. Iguodala),2,75-63,,
10:12.0,,,75-63,,Philadelphia full timeout
10:12.0,,,75-63,,N. Noel enters the game for H. Sims
10:12.0,,,75-63,,L. Mbah a Moute enters the game for J. Grant
9:59.0,,,75-63,,K. McDaniels misses 2-pt shot from 17 ft
9:57.0,Defensive rebound by A. Iguodala,,75-63,,
9:44.0,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston),2,77-63,,
9:25.0,,,77-63,,Turnover by L. Mbah a Moute (lost ball; steal by D. Lee)
9:22.0,Shooting foul by T. Frazier (drawn by L. Barbosa),,77-63,,
9:22.0,L. Barbosa makes free throw 1 of 2,1,78-63,,
9:22.0,,,78-63,,R. Covington enters the game for K. McDaniels
9:22.0,L. Barbosa makes free throw 2 of 2,1,79-63,,
9:08.0,,,79-63,,Turnover by L. Mbah a Moute (bad pass; steal by S. Livingston)
9:05.0,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston),2,81-63,,
9:05.0,,,81-63,,Philadelphia full timeout
8:50.0,,,81-66,3,R. Covington makes 3-pt shot from 25 ft
8:36.0,Turnover by L. Barbosa (lost ball; steal by L. Mbah a Moute),,81-66,,
8:30.0,,,81-66,,Turnover by T. Frazier (palming)
8:18.0,Turnover by S. Livingston (bad pass; steal by L. Mbah a Moute),,81-66,,
8:13.0,,,81-66,,H. Thompson misses 2-pt shot from 2 ft
8:11.0,,,81-66,,Offensive rebound by L. Mbah a Moute
8:11.0,,,81-68,2,L. Mbah a Moute makes 2-pt shot from 1 ft
7:48.0,M. Speights misses 2-pt shot from 18 ft,,81-68,,
7:47.0,,,81-68,,Defensive rebound by H. Thompson
7:38.0,,,81-68,,L. Mbah a Moute misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by D. Lee,,81-68,,
7:18.0,,,81-68,,J. Sampson enters the game for H. Thompson
7:18.0,Golden State full timeout,,81-68,,
7:14.0,L. Barbosa misses 2-pt shot from 20 ft,,81-68,,
7:14.0,,,81-68,,Defensive rebound by J. Sampson
7:14.0,Loose ball foul by S. Livingston (drawn by J. Sampson),,81-68,,
6:51.0,,,81-70,2,R. Covington makes 2-pt shot from 3 ft (assist by J. Sampson)
6:34.0,Turnover by S. Livingston (step out of bounds),,81-70,,
6:21.0,,,81-72,2,T. Frazier makes 2-pt shot from 20 ft
6:07.0,L. Barbosa misses 2-pt shot from 7 ft,,81-72,,
6:05.0,,,81-72,,Defensive rebound by R. Covington
6:00.0,,,81-72,,R. Covington misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by D. Lee,,81-72,,
5:59.0,Golden State full timeout,,81-72,,
5:59.0,K. Thompson enters the game for M. Speights,,81-72,,
5:59.0,S. Curry enters the game for S. Livingston,,81-72,,
5:59.0,A. Bogut enters the game for L. Barbosa,,81-72,,
5:50.0,,,81-72,,Violation by L. Mbah a Moute (kicked ball)
5:49.0,Turnover by S. Curry (bad pass),,81-72,,
5:36.0,,,81-72,,N. Noel misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by K. Thompson,,81-72,,
5:14.0,A. Iguodala misses 3-pt shot from 26 ft,,81-72,,
5:13.0,,,81-72,,Defensive rebound by J. Sampson
5:06.0,,,81-72,,Shooting foul by K. Thompson (drawn by R. Covington)
5:06.0,,,81-73,1,R. Covington makes free throw 1 of 3
5:06.0,,,81-74,1,R. Covington makes free throw 2 of 3
5:06.0,D. Green enters the game for D. Lee,,81-74,,
5:06.0,,,81-74,,J. Grant enters the game for L. Mbah a Moute
5:06.0,,,81-75,1,R. Covington makes free throw 3 of 3
4:46.0,A. Iguodala misses 2-pt shot at rim,,81-75,,
4:44.0,,,81-75,,Defensive rebound by T. Frazier
4:26.0,,,81-75,,Turnover by T. Frazier (bad pass)
4:16.0,A. Iguodala makes 2-pt shot from 1 ft (assist by A. Bogut),2,83-75,,
3:51.0,,,83-75,,J. Grant misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by A. Bogut,,83-75,,
3:42.0,Golden State full timeout,,83-75,,
3:42.0,H. Barnes enters the game for D. Green,,83-75,,
3:42.0,,,83-75,,L. Mbah a Moute enters the game for J. Grant
3:29.0,S. Curry misses 3-pt shot from 25 ft,,83-75,,
3:28.0,,,83-75,,Defensive rebound by L. Mbah a Moute
3:14.0,,,83-75,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by A. Bogut)
3:12.0,Defensive rebound by K. Thompson,,83-75,,
