time,Golden State,pts.away,score,pts.home,Atlanta
0:21.0,A. Iguodala enters the game for A. Bogut,,50-50,,
0:05.0,,,50-50,,Shooting foul by H. Barnes (drawn by J. Teague)
0:05.0,,,50-51,1,J. Teague makes free throw 1 of 2
0:05.0,,,50-51,,M. Scott enters the game for A. Horford
0:05.0,,,50-51,,K. Bazemore enters the game for K. Korver
0:05.0,,,50-52,1,J. Teague makes free throw 2 of 2
0:00.0,Shooting foul by K. Bazemore (drawn by K. Thompson),,50-52,,
0:00.0,K. Thompson makes free throw 1 of 2,1,51-52,,
0:00.0,K. Thompson makes free throw 2 of 2,1,52-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,H. Barnes makes 2-pt shot from 5 ft (assist by S. Curry),2,54-52,,
11:21.0,,,54-54,2,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague)
11:05.0,D. Green misses 3-pt shot from 24 ft,,54-54,,
11:04.0,,,54-54,,Defensive rebound by A. Horford
10:54.0,,,54-56,2,P. Millsap makes 2-pt shot from 7 ft (assist by A. Horford)
10:28.0,H. Barnes misses 2-pt shot from 5 ft,,54-56,,
10:27.0,,,54-56,,Defensive rebound by A. Horford
10:20.0,Personal foul by S. Curry (drawn by J. Teague),,54-56,,
10:12.0,,,54-59,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
10:02.0,S. Curry misses 2-pt shot from 2 ft (block by J. Teague),,54-59,,
10:02.0,Offensive rebound by Team,,54-59,,
9:58.0,K. Thompson misses 3-pt shot from 23 ft,,54-59,,
9:57.0,,,54-59,,Defensive rebound by J. Teague
9:52.0,,,54-59,,J. Teague misses 2-pt shot from 9 ft
9:49.0,Defensive rebound by S. Curry,,54-59,,
9:46.0,Turnover by K. Thompson (lost ball; steal by J. Teague),,54-59,,
9:42.0,,,54-61,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
9:22.0,Shooting foul by P. Millsap (drawn by A. Bogut),,54-61,,
9:22.0,A. Bogut makes free throw 1 of 2,1,55-61,,
9:22.0,A. Bogut misses free throw 2 of 2,,55-61,,
9:20.0,Offensive rebound by D. Green,,55-61,,
9:19.0,D. Green misses 2-pt shot at rim,,55-61,,
9:18.0,Offensive rebound by D. Green,,55-61,,
9:17.0,Turnover by D. Green (bad pass; steal by K. Korver),,55-61,,
9:10.0,,,55-64,3,J. Teague makes 3-pt shot from 23 ft (assist by D. Carroll)
9:06.0,Golden State full timeout,,55-64,,
8:53.0,Shooting foul by A. Horford (drawn by S. Curry),,55-64,,
8:53.0,S. Curry makes free throw 1 of 3,1,56-64,,
8:53.0,S. Curry makes free throw 2 of 3,1,57-64,,
8:53.0,S. Curry makes free throw 3 of 3,1,58-64,,
8:42.0,,,58-64,,Shooting foul by A. Bogut (drawn by A. Horford)
8:42.0,,,58-65,1,A. Horford makes free throw 1 of 2
8:42.0,,,58-66,1,A. Horford makes free throw 2 of 2
8:32.0,D. Green misses 2-pt shot from 8 ft,,58-66,,
8:30.0,,,58-66,,Defensive rebound by A. Horford
8:21.0,,,58-66,,Offensive charge foul by A. Horford
8:21.0,,,58-66,,Turnover by A. Horford (offensive foul)
8:21.0,,,58-66,,P. Antic enters the game for A. Horford
8:08.0,H. Barnes makes 2-pt shot at rim,2,60-66,,
7:53.0,,,60-68,2,J. Teague makes 2-pt shot from 11 ft
7:31.0,Turnover by H. Barnes (lost ball; steal by P. Millsap),,60-68,,
7:14.0,,,60-70,2,P. Millsap makes 2-pt shot from 12 ft (assist by D. Carroll)
6:56.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,63-70,,
6:47.0,,,63-70,,Turnover by J. Teague (lost ball; steal by D. Green)
6:29.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,66-70,,
6:12.0,,,66-70,,Shooting foul by A. Bogut (drawn by P. Millsap)
6:12.0,,,66-71,1,P. Millsap makes free throw 1 of 2
6:12.0,M. Speights enters the game for A. Bogut,,66-71,,
6:12.0,,,66-72,1,P. Millsap makes free throw 2 of 2
6:04.0,S. Curry misses 2-pt shot from 6 ft,,66-72,,
6:02.0,,,66-72,,Defensive rebound by K. Korver
5:48.0,,,66-72,,Shooting foul by H. Barnes (drawn by P. Millsap)
5:48.0,,,66-72,,P. Millsap misses free throw 1 of 2
5:48.0,,,66-72,,Offensive rebound by Team
5:48.0,,,66-72,,P. Millsap misses free throw 2 of 2
5:46.0,Defensive rebound by D. Green,,66-72,,
5:41.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,69-72,,
5:39.0,,,69-72,,Atlanta full timeout
5:39.0,A. Iguodala enters the game for H. Barnes,,69-72,,
5:18.0,,,69-72,,Offensive foul by P. Antic
5:18.0,,,69-72,,Turnover by P. Antic (offensive foul)
5:18.0,,,69-72,,K. Bazemore enters the game for K. Korver
5:03.0,K. Thompson makes 2-pt shot from 12 ft (assist by S. Curry),2,71-72,,
4:34.0,,,71-72,,J. Teague misses 2-pt shot from 6 ft
4:34.0,,,71-72,,Offensive rebound by Team
4:34.0,Loose ball foul by M. Speights (drawn by P. Antic),,71-72,,
4:34.0,,,71-73,1,P. Antic makes free throw 1 of 2
4:34.0,,,71-74,1,P. Antic makes free throw 2 of 2
4:23.0,S. Curry makes 3-pt shot from 26 ft,3,74-74,,
3:58.0,,,74-77,3,D. Carroll makes 3-pt shot from 22 ft (assist by P. Millsap)
3:46.0,S. Curry makes 3-pt shot from 26 ft,3,77-77,,
3:22.0,,,77-79,2,K. Bazemore makes 2-pt shot from 1 ft
3:09.0,Shooting foul by K. Bazemore (drawn by S. Curry),,77-79,,
3:09.0,S. Curry misses free throw 1 of 2,,77-79,,
3:09.0,Offensive rebound by Team,,77-79,,
3:09.0,L. Barbosa enters the game for K. Thompson,,77-79,,
3:09.0,,,77-79,,D. Schroder enters the game for J. Teague
3:09.0,S. Curry makes free throw 2 of 2,1,78-79,,
2:59.0,,,78-81,2,D. Schroder makes 2-pt shot from 11 ft
2:44.0,S. Curry misses 2-pt shot from 1 ft,,78-81,,
2:44.0,,,78-81,,Defensive rebound by Team
2:37.0,,,78-81,,D. Schroder misses 2-pt shot from 2 ft (block by S. Curry)
2:35.0,Defensive rebound by M. Speights,,78-81,,
2:32.0,L. Barbosa misses 2-pt shot at rim,,78-81,,
2:30.0,Offensive rebound by D. Green,,78-81,,
2:30.0,D. Green makes 2-pt shot at rim,2,80-81,,
2:10.0,,,80-81,,Shooting foul by S. Curry (drawn by P. Millsap)
2:10.0,,,80-82,1,P. Millsap makes free throw 1 of 2
2:10.0,,,80-83,1,P. Millsap makes free throw 2 of 2
1:57.0,Shooting foul by P. Millsap (drawn by D. Green),,80-83,,
1:57.0,D. Green misses free throw 1 of 2,,80-83,,
1:57.0,Offensive rebound by Team,,80-83,,
1:57.0,,,80-83,,K. Korver enters the game for D. Carroll
1:57.0,D. Green misses free throw 2 of 2,,80-83,,
1:56.0,,,80-83,,Defensive rebound by K. Korver
1:47.0,,,80-83,,P. Antic misses 2-pt shot at rim
1:45.0,Defensive rebound by M. Speights,,80-83,,
1:39.0,M. Speights misses 2-pt shot from 17 ft,,80-83,,
1:37.0,,,80-83,,Defensive rebound by K. Korver
1:31.0,,,80-83,,M. Scott enters the game for P. Millsap
1:31.0,D. Lee enters the game for D. Green,,80-83,,
1:20.0,,,80-83,,Turnover by K. Korver (bad pass; steal by S. Curry)
1:05.0,L. Barbosa makes 3-pt shot from 24 ft (assist by A. Iguodala),3,83-83,,
0:43.0,,,83-86,3,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder)
0:33.0,L. Barbosa misses 3-pt shot from 24 ft,,83-86,,
0:31.0,,,83-86,,Defensive rebound by M. Scott
0:22.0,,,83-89,3,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder)
0:08.0,,,83-89,,Personal foul by K. Bazemore (drawn by S. Curry)
0:08.0,S. Curry makes free throw 1 of 2,1,84-89,,
0:08.0,H. Barnes enters the game for M. Speights,,84-89,,
0:08.0,S. Curry makes free throw 2 of 2,1,85-89,,
0:00.0,,,85-89,,P. Antic misses 2-pt shot from 15 ft
0:00.0,,,85-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,85-91,2,M. Scott makes 2-pt shot at rim (assist by A. Horford)
11:20.0,L. Barbosa misses 3-pt shot from 25 ft,,85-91,,
11:18.0,Offensive rebound by S. Livingston,,85-91,,
11:15.0,L. Barbosa misses 2-pt shot from 1 ft,,85-91,,
11:15.0,,,85-91,,Defensive rebound by Team
11:15.0,Loose ball foul by D. Lee (drawn by A. Horford),,85-91,,
10:52.0,,,85-91,,Turnover by M. Scott (lost ball; steal by A. Iguodala)
10:45.0,,,85-91,,Personal foul by D. Schroder (drawn by L. Barbosa)
10:45.0,K. Thompson enters the game for L. Barbosa,,85-91,,
10:39.0,D. Lee makes 2-pt shot from 1 ft (assist by K. Thompson),2,87-91,,
10:24.0,,,87-93,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
10:04.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Lee),3,90-93,,
9:53.0,,,90-96,3,D. Schroder makes 3-pt shot from 24 ft
9:35.0,K. Thompson misses 2-pt shot from 1 ft,,90-96,,
9:34.0,,,90-96,,Defensive rebound by A. Horford
9:14.0,,,90-98,2,D. Schroder makes 2-pt shot from 19 ft
9:12.0,Golden State full timeout,,90-98,,
9:12.0,D. Green enters the game for D. Lee,,90-98,,
8:55.0,K. Thompson misses 2-pt shot from 18 ft,,90-98,,
8:53.0,Offensive rebound by D. Green,,90-98,,
8:38.0,Turnover by K. Thompson (bad pass; steal by K. Korver),,90-98,,
8:32.0,,,90-98,,Shooting foul by A. Iguodala (drawn by M. Scott)
8:32.0,,,90-99,1,M. Scott makes free throw 1 of 2
8:32.0,,,90-100,1,M. Scott makes free throw 2 of 2
8:12.0,S. Livingston makes 2-pt shot from 17 ft,2,92-100,,
7:48.0,,,92-100,,Turnover by D. Schroder (bad pass; steal by H. Barnes)
7:44.0,D. Green makes 2-pt shot at rim (assist by S. Livingston),2,94-100,,
7:28.0,,,94-102,2,M. Scott makes 2-pt shot from 5 ft (assist by K. Korver)
7:14.0,H. Barnes makes 2-pt shot from 1 ft (assist by K. Thompson),2,96-102,,
7:04.0,,,96-102,,K. Korver misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by D. Green,,96-102,,
6:54.0,H. Barnes misses 2-pt shot from 2 ft (block by K. Korver),,96-102,,
6:53.0,,,96-102,,Defensive rebound by A. Horford
6:47.0,,,96-102,,Offensive charge foul by A. Horford
6:47.0,,,96-102,,Turnover by A. Horford (offensive foul)
6:47.0,,,96-102,,Technical foul by A. Horford
6:47.0,K. Thompson makes technical free throw,1,97-102,,
6:47.0,S. Curry enters the game for S. Livingston,,97-102,,
6:47.0,,,97-102,,P. Millsap enters the game for A. Horford
6:47.0,,,97-102,,D. Carroll enters the game for K. Korver
6:47.0,,,97-102,,J. Teague enters the game for D. Schroder
6:33.0,S. Curry misses 3-pt shot from 24 ft,,97-102,,
6:32.0,,,97-102,,Defensive rebound by K. Bazemore
6:13.0,,,97-102,,K. Bazemore misses 2-pt shot from 17 ft
6:10.0,Defensive rebound by H. Barnes,,97-102,,
6:06.0,K. Thompson misses 3-pt shot from 25 ft,,97-102,,
6:04.0,Offensive rebound by D. Green,,97-102,,
6:03.0,D. Green makes 2-pt shot at rim,2,99-102,,
5:50.0,,,99-102,,Shooting foul by D. Green (drawn by P. Millsap)
5:50.0,Technical foul by D. Green (drawn by P. Millsap),,99-102,,
5:50.0,Official timeout,,99-102,,
5:50.0,,,99-103,1,J. Teague makes technical free throw
5:50.0,,,99-104,1,P. Millsap makes free throw 1 of 2
5:50.0,,,99-104,,P. Millsap misses free throw 2 of 2
5:48.0,Defensive rebound by D. Green,,99-104,,
5:33.0,S. Curry misses 2-pt shot from 22 ft,,99-104,,
5:30.0,,,99-104,,Defensive rebound by J. Teague
5:18.0,,,99-104,,J. Teague misses 2-pt shot at rim (block by K. Thompson)
5:17.0,Defensive rebound by K. Thompson,,99-104,,
5:09.0,A. Iguodala misses 3-pt shot from 23 ft,,99-104,,
5:07.0,Offensive rebound by D. Green,,99-104,,
