time,New York,pts.away,score,pts.home,Detroit
5:22.0,,,33-43,,Defensive rebound by R. Jackson
5:17.0,,,33-43,,S. Williams misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by A. Bargnani,,33-43,,
5:01.0,T. Hardaway misses 3-pt shot from 26 ft,,33-43,,
4:59.0,,,33-43,,Defensive rebound by A. Drummond
4:35.0,,,33-46,3,J. Meeks makes 3-pt shot from 25 ft (assist by A. Drummond)
4:11.0,A. Bargnani misses 2-pt shot from 17 ft,,33-46,,
4:10.0,,,33-46,,Defensive rebound by J. Meeks
4:08.0,,,33-48,2,S. Williams makes 2-pt shot at rim (assist by J. Meeks)
4:08.0,,,33-48,,Shooting foul by L. Galloway (drawn by S. Williams)
4:08.0,,,33-48,,T. Prince enters the game for C. Butler
4:08.0,S. Larkin enters the game for L. Galloway,,33-48,,
4:08.0,,,33-49,1,S. Williams makes free throw 1 of 1
3:46.0,A. Bargnani misses 2-pt shot from 2 ft,,33-49,,
3:44.0,,,33-49,,Defensive rebound by A. Drummond
3:35.0,,,33-49,,R. Jackson misses 2-pt shot from 6 ft
3:34.0,,,33-49,,Offensive rebound by A. Drummond
3:33.0,,,33-51,2,A. Drummond makes 2-pt shot from 1 ft
3:24.0,New York full timeout,,33-51,,
3:24.0,J. Smith enters the game for A. Bargnani,,33-51,,
3:24.0,A. Shved enters the game for T. Hardaway,,33-51,,
3:24.0,,,33-51,,K. Caldwell-Pope enters the game for J. Meeks
3:08.0,L. Amundson misses 2-pt shot from 2 ft (block by A. Drummond),,33-51,,
3:07.0,Offensive rebound by L. Amundson,,33-51,,
3:06.0,L. Amundson misses 2-pt shot from 2 ft,,33-51,,
3:03.0,,,33-51,,Defensive rebound by S. Williams
2:45.0,,,33-51,,A. Drummond misses 2-pt shot from 2 ft
2:44.0,Defensive rebound by L. Amundson,,33-51,,
2:25.0,A. Shved makes 2-pt shot at rim,2,35-51,,
2:04.0,,,35-51,,S. Williams misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by T. Wear,,35-51,,
1:47.0,J. Smith makes 2-pt shot from 7 ft (assist by A. Shved),2,37-51,,
1:28.0,,,37-53,2,R. Jackson makes 2-pt shot from 11 ft
1:06.0,L. Amundson makes 2-pt shot from 9 ft,2,39-53,,
0:53.0,,,39-53,,R. Jackson misses 2-pt shot from 10 ft
0:52.0,Defensive rebound by A. Shved,,39-53,,
0:33.0,L. Amundson misses 2-pt shot from 9 ft,,39-53,,
0:33.0,Offensive rebound by Team,,39-53,,
0:33.0,,,39-53,,Loose ball foul by R. Jackson (drawn by A. Shved)
0:33.0,,,39-53,,G. Monroe enters the game for A. Drummond
0:22.0,T. Wear misses 2-pt shot from 14 ft,,39-53,,
0:22.0,Offensive rebound by A. Shved,,39-53,,
0:21.0,A. Shved makes 2-pt shot at rim,2,41-53,,
0:03.0,,,41-53,,R. Jackson misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by T. Wear,,41-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,41-53,,Shooting foul by A. Bargnani (drawn by G. Monroe)
11:43.0,,,41-54,1,G. Monroe makes free throw 1 of 2
11:43.0,,,41-55,1,G. Monroe makes free throw 2 of 2
11:25.0,T. Hardaway makes 2-pt shot from 15 ft (assist by A. Bargnani),2,43-55,,
11:10.0,,,43-55,,Turnover by G. Monroe (bad pass; steal by L. Galloway)
11:01.0,A. Bargnani makes 2-pt shot from 20 ft (assist by L. Galloway),2,45-55,,
10:43.0,,,45-55,,T. Prince misses 2-pt shot from 17 ft
10:41.0,Defensive rebound by A. Bargnani,,45-55,,
10:22.0,L. Galloway misses 3-pt shot from 26 ft,,45-55,,
10:20.0,,,45-55,,Defensive rebound by A. Drummond
10:07.0,,,45-55,,G. Monroe misses 2-pt shot from 6 ft (block by A. Bargnani)
10:06.0,Defensive rebound by L. Galloway,,45-55,,
10:04.0,Shooting foul by T. Prince (drawn by L. Galloway),,45-55,,
10:04.0,L. Galloway makes free throw 1 of 2,1,46-55,,
10:04.0,L. Galloway makes free throw 2 of 2,1,47-55,,
9:43.0,,,47-55,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by L. Galloway,,47-55,,
9:32.0,L. Amundson makes 2-pt shot from 11 ft (assist by L. Galloway),2,49-55,,
9:32.0,,,49-55,,Detroit full timeout
9:24.0,,,49-55,,Turnover by R. Jackson (lost ball)
9:00.0,T. Hardaway makes 3-pt shot from 26 ft (assist by A. Bargnani),3,52-55,,
8:35.0,,,52-55,,T. Prince misses 2-pt shot from 18 ft
8:34.0,,,52-55,,Offensive rebound by Team
8:18.0,,,52-55,,Turnover by A. Drummond (lost ball)
7:59.0,T. Hardaway misses 2-pt shot from 1 ft,,52-55,,
7:58.0,,,52-55,,Defensive rebound by G. Monroe
7:53.0,,,52-55,,Turnover by R. Jackson (bad pass; steal by L. Galloway)
7:48.0,T. Hardaway misses 2-pt shot from 2 ft (block by K. Caldwell-Pope),,52-55,,
7:44.0,,,52-55,,Defensive rebound by T. Prince
7:43.0,Personal foul by C. Early (drawn by G. Monroe),,52-55,,
7:43.0,,,52-56,1,G. Monroe makes free throw 1 of 2
7:43.0,,,52-56,,G. Monroe misses free throw 2 of 2
7:40.0,Defensive rebound by A. Bargnani,,52-56,,
7:16.0,L. Amundson misses 2-pt shot from 1 ft,,52-56,,
7:15.0,,,52-56,,Defensive rebound by A. Drummond
7:08.0,,,52-56,,Shooting foul by T. Hardaway (drawn by G. Monroe)
7:08.0,S. Larkin enters the game for T. Hardaway,,52-56,,
7:08.0,,,52-57,1,G. Monroe makes free throw 1 of 2
7:08.0,,,52-58,1,G. Monroe makes free throw 2 of 2
6:46.0,A. Bargnani makes 2-pt shot from 14 ft (assist by S. Larkin),2,54-58,,
6:28.0,,,54-58,,T. Prince misses 2-pt shot from 7 ft
6:27.0,,,54-58,,Offensive rebound by R. Jackson
6:16.0,,,54-58,,R. Jackson misses 3-pt shot from 25 ft
6:15.0,,,54-58,,Offensive rebound by Team
6:06.0,,,54-58,,K. Caldwell-Pope misses 3-pt shot from 25 ft
6:05.0,,,54-58,,Offensive rebound by G. Monroe
5:57.0,Personal foul by A. Bargnani (drawn by G. Monroe),,54-58,,
5:50.0,,,54-58,,R. Jackson misses 2-pt shot from 4 ft (block by L. Amundson)
5:47.0,,,54-58,,Offensive rebound by A. Drummond
5:45.0,,,54-60,2,A. Drummond makes 2-pt shot at rim
5:45.0,,,54-60,,Technical foul by R. Jackson
5:45.0,L. Galloway makes technical free throw,1,55-60,,
5:41.0,,,55-60,,Personal foul by R. Jackson (drawn by S. Larkin)
5:29.0,S. Larkin makes 3-pt shot from 25 ft (assist by L. Galloway),3,58-60,,
5:10.0,Personal foul by L. Amundson (drawn by A. Drummond),,58-60,,
5:10.0,,,58-60,,A. Drummond misses free throw 1 of 2
5:10.0,,,58-60,,Offensive rebound by Team
5:10.0,Q. Acy enters the game for C. Early,,58-60,,
5:10.0,,,58-60,,A. Drummond misses free throw 2 of 2
5:09.0,Defensive rebound by L. Amundson,,58-60,,
4:44.0,S. Larkin misses 2-pt shot from 2 ft,,58-60,,
4:42.0,,,58-60,,Defensive rebound by K. Caldwell-Pope
4:40.0,Personal foul by L. Galloway (drawn by K. Caldwell-Pope),,58-60,,
4:40.0,,,58-61,1,K. Caldwell-Pope makes free throw 1 of 2
4:40.0,,,58-61,,A. Tolliver enters the game for A. Drummond
4:40.0,,,58-61,,J. Lucas III enters the game for R. Jackson
4:40.0,A. Shved enters the game for L. Galloway,,58-61,,
4:40.0,,,58-62,1,K. Caldwell-Pope makes free throw 2 of 2
4:20.0,A. Bargnani misses 2-pt shot from 13 ft,,58-62,,
4:19.0,,,58-62,,Defensive rebound by G. Monroe
4:09.0,,,58-62,,K. Caldwell-Pope misses 2-pt shot from 14 ft
4:08.0,Defensive rebound by A. Bargnani,,58-62,,
3:52.0,A. Bargnani makes 2-pt shot from 12 ft (assist by A. Shved),2,60-62,,
3:52.0,Shooting foul by T. Prince (drawn by A. Bargnani),,60-62,,
3:52.0,J. Smith enters the game for L. Amundson,,60-62,,
3:52.0,,,60-62,,C. Butler enters the game for T. Prince
3:52.0,A. Bargnani makes free throw 1 of 1,1,61-62,,
3:28.0,,,61-62,,J. Lucas III misses 2-pt shot from 13 ft
3:26.0,,,61-62,,Offensive rebound by A. Tolliver
3:22.0,,,61-62,,A. Tolliver misses 2-pt shot from 2 ft
3:21.0,Defensive rebound by J. Smith,,61-62,,
3:14.0,A. Bargnani makes 2-pt shot at rim (assist by J. Smith),2,63-62,,
3:01.0,,,63-62,,C. Butler misses 2-pt shot from 19 ft
2:59.0,Defensive rebound by A. Bargnani,,63-62,,
2:44.0,Q. Acy misses 2-pt shot from 21 ft,,63-62,,
2:43.0,,,63-62,,Defensive rebound by G. Monroe
2:28.0,,,63-65,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Lucas III)
2:28.0,New York full timeout,,63-65,,
2:28.0,L. Thomas enters the game for A. Bargnani,,63-65,,
2:14.0,Q. Acy misses 3-pt shot from 26 ft,,63-65,,
2:12.0,Offensive rebound by J. Smith,,63-65,,
2:01.0,A. Shved misses 2-pt shot from 1 ft,,63-65,,
2:00.0,,,63-65,,Defensive rebound by K. Caldwell-Pope
1:47.0,,,63-65,,G. Monroe misses 2-pt shot from 5 ft
1:45.0,Defensive rebound by A. Shved,,63-65,,
1:41.0,Turnover by L. Thomas (traveling),,63-65,,
1:17.0,,,63-65,,K. Caldwell-Pope misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by Q. Acy,,63-65,,
1:02.0,A. Shved makes 3-pt shot from 25 ft (assist by Q. Acy),3,66-65,,
0:41.0,Personal foul by A. Shved (drawn by C. Butler),,66-65,,
0:41.0,,,66-66,1,C. Butler makes free throw 1 of 2
0:41.0,,,66-67,1,C. Butler makes free throw 2 of 2
0:27.0,J. Smith misses 2-pt shot from 2 ft (block by G. Monroe),,66-67,,
0:27.0,,,66-67,,Defensive rebound by Team
0:08.0,,,66-67,,Shooting foul by S. Larkin (drawn by J. Lucas III)
0:08.0,,,66-68,1,J. Lucas III makes free throw 1 of 2
0:08.0,A. Bargnani enters the game for Q. Acy,,66-68,,
0:08.0,,,66-69,1,J. Lucas III makes free throw 2 of 2
0:01.0,S. Larkin misses 2-pt shot from 16 ft,,66-69,,
0:00.0,,,66-69,,Defensive rebound by C. Butler
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,66-69,,Personal foul by A. Drummond (drawn by A. Shved)
11:41.0,A. Shved makes 2-pt shot at rim (assist by Q. Acy),2,68-69,,
11:24.0,,,68-69,,A. Tolliver misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by L. Thomas,,68-69,,
11:08.0,L. Thomas makes 2-pt shot from 10 ft (assist by J. Smith),2,70-69,,
10:47.0,,,70-72,3,J. Meeks makes 3-pt shot from 25 ft (assist by C. Butler)
10:32.0,Q. Acy makes 2-pt shot at rim (assist by A. Shved),2,72-72,,
10:16.0,Personal foul by J. Smith (drawn by A. Drummond),,72-72,,
10:08.0,Personal foul by Q. Acy (drawn by A. Tolliver),,72-72,,
9:58.0,,,72-74,2,J. Meeks makes 2-pt shot from 12 ft (assist by J. Lucas III)
9:44.0,,,72-74,,Personal foul by J. Lucas III (drawn by S. Larkin)
9:38.0,S. Larkin makes 2-pt shot from 9 ft,2,74-74,,
9:38.0,,,74-74,,Away from play foul by C. Butler (drawn by L. Thomas)
9:38.0,L. Thomas makes free throw 1 of 1,1,75-74,,
9:16.0,,,75-76,2,A. Drummond makes 2-pt shot from 1 ft (assist by J. Meeks)
9:11.0,Offensive charge foul by J. Smith,,75-76,,
9:11.0,Turnover by J. Smith (offensive foul),,75-76,,
9:01.0,,,75-76,,Turnover by J. Lucas III (bad pass; steal by A. Shved)
8:59.0,Shooting foul by J. Lucas III (drawn by A. Shved),,75-76,,
8:59.0,Official timeout,,75-76,,
8:59.0,A. Shved makes free throw 1 of 2,1,76-76,,
8:59.0,A. Shved makes free throw 2 of 2,1,77-76,,
8:38.0,,,77-76,,J. Lucas III misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by L. Thomas,,77-76,,
8:27.0,L. Thomas misses 2-pt shot from 22 ft,,77-76,,
8:26.0,,,77-76,,Defensive rebound by Team
8:08.0,,,77-78,2,A. Drummond makes 2-pt shot from 2 ft
8:08.0,,,77-78,,Shooting foul by Q. Acy (drawn by A. Drummond)
8:08.0,,,77-78,,R. Jackson enters the game for J. Lucas III
8:08.0,,,77-79,1,A. Drummond makes free throw 1 of 1
7:52.0,J. Smith makes 2-pt shot from 1 ft (assist by S. Larkin),2,79-79,,
7:52.0,Shooting foul by A. Tolliver (drawn by J. Smith),,79-79,,
7:52.0,J. Smith makes free throw 1 of 1,1,80-79,,
7:40.0,,,80-79,,Turnover by R. Jackson (lost ball; steal by S. Larkin)
7:35.0,Shooting foul by C. Butler (drawn by L. Thomas),,80-79,,
7:35.0,L. Thomas makes free throw 1 of 2,1,81-79,,
7:35.0,A. Bargnani enters the game for Q. Acy,,81-79,,
7:35.0,L. Thomas makes free throw 2 of 2,1,82-79,,
7:13.0,,,82-79,,R. Jackson misses 2-pt shot from 16 ft
7:10.0,Defensive rebound by A. Bargnani,,82-79,,
6:58.0,A. Shved misses 2-pt shot from 5 ft,,82-79,,
6:58.0,,,82-79,,Defensive rebound by Team
6:51.0,,,82-81,2,R. Jackson makes 2-pt shot from 10 ft
6:51.0,,,82-81,,Shooting foul by S. Larkin (drawn by R. Jackson)
6:51.0,,,82-81,,G. Monroe enters the game for A. Tolliver
6:51.0,,,82-81,,K. Caldwell-Pope enters the game for C. Butler
6:51.0,L. Galloway enters the game for S. Larkin,,82-81,,
6:51.0,T. Hardaway enters the game for A. Shved,,82-81,,
6:51.0,,,82-82,1,R. Jackson makes free throw 1 of 1
6:35.0,Turnover by L. Thomas (bad pass; steal by G. Monroe),,82-82,,
6:20.0,,,82-84,2,K. Caldwell-Pope makes 2-pt shot from 14 ft
6:06.0,J. Smith misses 2-pt shot from 12 ft,,82-84,,
6:05.0,,,82-84,,Defensive rebound by G. Monroe
5:56.0,,,82-86,2,R. Jackson makes 2-pt shot from 8 ft
5:56.0,New York full timeout,,82-86,,
5:56.0,C. Early enters the game for L. Thomas,,82-86,,
5:56.0,L. Amundson enters the game for J. Smith,,82-86,,
5:44.0,L. Amundson misses 2-pt shot from 1 ft (block by K. Caldwell-Pope),,82-86,,
5:42.0,Offensive rebound by L. Amundson,,82-86,,
5:40.0,L. Amundson makes 2-pt shot from 1 ft,2,84-86,,
5:28.0,,,84-86,,R. Jackson misses 2-pt shot from 12 ft
5:27.0,Defensive rebound by A. Bargnani,,84-86,,
5:04.0,Turnover by Team (shot clock),,84-86,,
4:52.0,Personal foul by A. Bargnani (drawn by R. Jackson),,84-86,,
4:52.0,,,84-87,1,R. Jackson makes free throw 1 of 2
4:52.0,,,84-88,1,R. Jackson makes free throw 2 of 2
4:42.0,L. Galloway misses 2-pt shot from 3 ft (block by A. Drummond),,84-88,,
4:39.0,,,84-88,,Defensive rebound by J. Meeks
4:35.0,,,84-88,,J. Meeks misses 3-pt shot from 26 ft
4:35.0,,,84-88,,Offensive rebound by A. Drummond
4:34.0,,,84-90,2,A. Drummond makes 2-pt shot at rim
4:34.0,New York full timeout,,84-90,,
4:34.0,Technical foul by Team,,84-90,,
4:34.0,,,84-91,1,J. Meeks makes technical free throw
4:20.0,A. Bargnani misses 2-pt shot from 2 ft,,84-91,,
