time,Brooklyn,pts.away,score,pts.home,Charlotte
0:00.0,D. Williams misses 3-pt shot from 33 ft,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,23-26,,M. Williams misses 3-pt shot from 25 ft
11:48.0,Defensive rebound by B. Lopez,,23-26,,
11:40.0,T. Young misses 2-pt shot from 16 ft,,23-26,,
11:39.0,,,23-26,,Defensive rebound by L. Stephenson
11:33.0,,,23-26,,Turnover by L. Stephenson (bad pass; steal by B. Bogdanovic)
11:31.0,Turnover by B. Bogdanovic (bad pass; steal by L. Stephenson),,23-26,,
11:14.0,,,23-28,2,L. Stephenson makes 2-pt shot from 20 ft
11:00.0,T. Young makes 2-pt shot at rim,2,25-28,,
10:56.0,,,25-28,,Offensive foul by M. Williams
10:56.0,,,25-28,,Turnover by M. Williams (offensive foul)
10:56.0,,,25-28,,Violation by Team (delay of game)
10:56.0,M. Plumlee enters the game for B. Lopez,,25-28,,
10:41.0,T. Young misses 2-pt shot from 4 ft,,25-28,,
10:39.0,,,25-28,,Defensive rebound by L. Stephenson
10:31.0,,,25-30,2,B. Biyombo makes 2-pt shot from 2 ft (assist by L. Stephenson)
10:06.0,J. Johnson misses 2-pt shot from 6 ft,,25-30,,
10:05.0,,,25-30,,Defensive rebound by M. Kidd-Gilchrist
9:56.0,,,25-30,,B. Biyombo misses 2-pt shot from 4 ft
9:55.0,Defensive rebound by M. Plumlee,,25-30,,
9:48.0,B. Bogdanovic misses 2-pt shot from 13 ft,,25-30,,
9:47.0,,,25-30,,Defensive rebound by B. Biyombo
9:38.0,,,25-30,,J. Maxiell misses 2-pt shot from 18 ft
9:37.0,,,25-30,,Offensive rebound by M. Kidd-Gilchrist
9:27.0,,,25-32,2,M. Williams makes 2-pt shot from 19 ft
9:07.0,M. Plumlee makes 2-pt shot from 2 ft,2,27-32,,
8:50.0,,,27-34,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by L. Stephenson)
8:37.0,J. Jack misses 2-pt shot from 18 ft,,27-34,,
8:36.0,,,27-34,,Defensive rebound by L. Stephenson
8:27.0,,,27-34,,M. Williams misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by T. Young,,27-34,,
8:16.0,J. Johnson misses 2-pt shot from 2 ft,,27-34,,
8:16.0,,,27-34,,Defensive rebound by Team
8:16.0,Official timeout,,27-34,,
8:16.0,C. Jefferson enters the game for J. Johnson,,27-34,,
8:16.0,A. Anderson enters the game for T. Young,,27-34,,
8:10.0,,,27-34,,G. Henderson enters the game for M. Kidd-Gilchrist
7:59.0,,,27-34,,M. Williams misses 3-pt shot from 25 ft
7:58.0,,,27-34,,Offensive rebound by B. Biyombo
7:52.0,,,27-36,2,B. Biyombo makes 2-pt shot at rim (assist by M. Williams)
7:52.0,,,27-36,,Shooting foul by C. Jefferson (drawn by B. Biyombo)
7:52.0,,,27-37,1,B. Biyombo makes free throw 1 of 1
7:38.0,,,27-37,,Personal foul by B. Biyombo (drawn by M. Plumlee)
7:31.0,J. Jack misses 2-pt shot from 17 ft,,27-37,,
7:30.0,,,27-37,,Defensive rebound by B. Biyombo
7:21.0,,,27-37,,L. Stephenson misses 2-pt shot from 2 ft (block by C. Jefferson)
7:20.0,,,27-37,,Offensive rebound by B. Biyombo
7:14.0,,,27-37,,B. Biyombo misses 2-pt shot at rim
7:13.0,Defensive rebound by B. Bogdanovic,,27-37,,
7:05.0,B. Bogdanovic misses 3-pt shot from 25 ft,,27-37,,
7:03.0,Offensive rebound by M. Plumlee,,27-37,,
6:57.0,A. Anderson makes 3-pt shot from 25 ft (assist by M. Plumlee),3,30-37,,
6:33.0,,,30-37,,L. Stephenson misses 2-pt shot from 10 ft
6:32.0,Defensive rebound by J. Jack,,30-37,,
6:20.0,C. Jefferson misses 2-pt shot from 7 ft,,30-37,,
6:19.0,,,30-37,,Defensive rebound by B. Biyombo
6:14.0,,,30-37,,Shooting foul by A. Anderson (drawn by L. Stephenson)
6:14.0,,,30-37,,L. Stephenson misses free throw 1 of 2
6:14.0,,,30-37,,Offensive rebound by Team
6:14.0,,,30-38,1,L. Stephenson makes free throw 2 of 2
6:02.0,M. Plumlee misses 2-pt shot from 2 ft (block by J. Maxiell),,30-38,,
6:01.0,Offensive rebound by Team,,30-38,,
5:53.0,J. Jack makes 2-pt shot from 2 ft (assist by M. Plumlee),2,32-38,,
5:37.0,,,32-38,,B. Biyombo misses 2-pt shot from 2 ft (block by C. Jefferson)
5:36.0,,,32-38,,Offensive rebound by B. Biyombo
5:27.0,,,32-38,,L. Stephenson misses 2-pt shot from 15 ft
5:21.0,,,32-38,,Offensive rebound by B. Biyombo
5:19.0,,,32-38,,L. Stephenson misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by M. Plumlee,,32-38,,
5:13.0,A. Anderson misses 3-pt shot from 25 ft,,32-38,,
5:11.0,,,32-38,,Defensive rebound by G. Henderson
5:03.0,,,32-40,2,G. Henderson makes 2-pt shot from 8 ft
4:40.0,M. Plumlee makes 2-pt shot from 5 ft (assist by J. Jack),2,34-40,,
4:33.0,,,34-40,,Charlotte full timeout
4:33.0,,,34-40,,A. Jefferson enters the game for J. Maxiell
4:33.0,,,34-40,,M. Williams enters the game for B. Biyombo
4:33.0,B. Lopez enters the game for C. Jefferson,,34-40,,
4:25.0,,,34-40,,M. Williams misses 3-pt shot from 22 ft
4:24.0,Defensive rebound by B. Bogdanovic,,34-40,,
4:09.0,J. Jack makes 2-pt shot from 11 ft,2,36-40,,
3:44.0,,,36-40,,M. Williams misses 2-pt shot from 11 ft
3:42.0,Defensive rebound by B. Bogdanovic,,36-40,,
3:35.0,J. Jack misses 2-pt shot from 20 ft,,36-40,,
3:33.0,,,36-40,,Defensive rebound by Team
3:33.0,Loose ball foul by M. Plumlee (drawn by A. Jefferson),,36-40,,
3:33.0,,,36-40,,K. Walker enters the game for M. Williams
3:33.0,,,36-40,,M. Kidd-Gilchrist enters the game for L. Stephenson
3:14.0,,,36-42,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
3:05.0,Offensive foul by A. Anderson,,36-42,,
3:05.0,Turnover by A. Anderson (offensive foul),,36-42,,
2:41.0,,,36-42,,A. Jefferson misses 2-pt shot from 4 ft (block by B. Lopez)
2:39.0,Defensive rebound by A. Anderson,,36-42,,
2:26.0,B. Bogdanovic misses 3-pt shot from 23 ft,,36-42,,
2:25.0,,,36-42,,Defensive rebound by M. Kidd-Gilchrist
2:20.0,,,36-42,,G. Henderson misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by B. Bogdanovic,,36-42,,
2:11.0,B. Lopez makes 2-pt shot from 4 ft (assist by A. Anderson),2,38-42,,
1:50.0,,,38-42,,Turnover by M. Williams (lost ball; steal by J. Jack)
1:40.0,B. Lopez misses 2-pt shot from 13 ft,,38-42,,
1:39.0,,,38-42,,Defensive rebound by M. Williams
1:30.0,,,38-42,,K. Walker misses 2-pt shot from 15 ft
1:27.0,Defensive rebound by M. Plumlee,,38-42,,
1:20.0,B. Lopez makes 2-pt shot from 9 ft (assist by J. Jack),2,40-42,,
1:00.0,,,40-44,2,A. Jefferson makes 2-pt shot from 2 ft
0:45.0,J. Jack misses 2-pt shot from 2 ft,,40-44,,
0:44.0,,,40-44,,Defensive rebound by M. Williams
0:40.0,,,40-46,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
0:26.0,B. Lopez makes 2-pt shot from 6 ft,2,42-46,,
0:03.0,,,42-46,,A. Jefferson misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by J. Jack,,42-46,,
0:00.0,J. Jack misses 3-pt shot from 55 ft,,42-46,,
0:00.0,Offensive rebound by Team,,42-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,42-48,2,G. Henderson makes 2-pt shot from 9 ft
11:17.0,B. Lopez makes 2-pt shot from 10 ft,2,44-48,,
11:00.0,,,44-50,2,G. Henderson makes 2-pt shot from 16 ft
10:43.0,B. Lopez misses 2-pt shot from 8 ft,,44-50,,
10:41.0,,,44-50,,Defensive rebound by M. Williams
10:31.0,,,44-52,2,A. Jefferson makes 2-pt shot from 13 ft (assist by K. Walker)
10:13.0,M. Brown misses 2-pt shot from 2 ft (block by A. Jefferson),,44-52,,
10:11.0,,,44-52,,Defensive rebound by M. Kidd-Gilchrist
10:08.0,,,44-52,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Young)
10:08.0,,,44-52,,Offensive rebound by Team
9:59.0,,,44-52,,A. Jefferson misses 2-pt shot from 10 ft
9:58.0,Defensive rebound by D. Williams,,44-52,,
9:54.0,T. Young makes 2-pt shot at rim (assist by D. Williams),2,46-52,,
9:54.0,Shooting foul by K. Walker (drawn by T. Young),,46-52,,
9:54.0,T. Young makes free throw 1 of 1,1,47-52,,
9:46.0,Personal foul by D. Williams (drawn by K. Walker),,47-52,,
9:41.0,,,47-52,,G. Henderson misses 2-pt shot from 2 ft (block by M. Brown)
9:41.0,,,47-52,,Offensive rebound by Team
9:38.0,,,47-54,2,G. Henderson makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist)
9:08.0,M. Brown misses 2-pt shot from 2 ft,,47-54,,
9:07.0,,,47-54,,Defensive rebound by A. Jefferson
9:07.0,Personal foul by T. Young (drawn by K. Walker),,47-54,,
8:57.0,,,47-54,,G. Henderson misses 2-pt shot from 20 ft
8:56.0,Defensive rebound by J. Johnson,,47-54,,
8:47.0,B. Lopez makes 2-pt shot from 8 ft (assist by D. Williams),2,49-54,,
8:27.0,,,49-54,,A. Jefferson misses 2-pt shot from 2 ft (block by B. Lopez)
8:26.0,Defensive rebound by Team,,49-54,,
8:08.0,T. Young misses 2-pt shot at rim,,49-54,,
8:07.0,,,49-54,,Defensive rebound by M. Kidd-Gilchrist
7:58.0,,,49-56,2,A. Jefferson makes 2-pt shot from 15 ft (assist by G. Henderson)
7:58.0,Brooklyn full timeout,,49-56,,
7:58.0,A. Anderson enters the game for M. Brown,,49-56,,
7:44.0,D. Williams makes 2-pt shot from 1 ft (assist by J. Johnson),2,51-56,,
7:44.0,Shooting foul by G. Henderson (drawn by D. Williams),,51-56,,
7:44.0,D. Williams makes free throw 1 of 1,1,52-56,,
7:28.0,,,52-56,,G. Henderson misses 2-pt shot from 18 ft
7:27.0,Defensive rebound by B. Lopez,,52-56,,
7:13.0,B. Lopez makes 2-pt shot from 19 ft (assist by D. Williams),2,54-56,,
6:56.0,,,54-58,2,A. Jefferson makes 2-pt shot from 16 ft (assist by M. Kidd-Gilchrist)
6:44.0,T. Young misses 3-pt shot from 25 ft,,54-58,,
6:43.0,,,54-58,,Defensive rebound by M. Kidd-Gilchrist
6:22.0,,,54-58,,K. Walker misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by T. Young,,54-58,,
6:22.0,,,54-58,,Technical foul by K. Walker
6:22.0,J. Johnson misses technical free throw,,54-58,,
6:22.0,Offensive rebound by Team,,54-58,,
6:06.0,A. Anderson makes 2-pt shot from 6 ft,2,56-58,,
5:58.0,,,56-58,,Offensive foul by A. Jefferson
5:58.0,,,56-58,,Turnover by A. Jefferson (offensive foul)
5:42.0,A. Anderson makes 2-pt shot from 2 ft (assist by J. Johnson),2,58-58,,
5:42.0,,,58-58,,Charlotte full timeout
5:16.0,,,58-58,,K. Walker misses 2-pt shot from 18 ft
5:14.0,Defensive rebound by A. Anderson,,58-58,,
5:05.0,A. Anderson makes 2-pt shot from 1 ft,2,60-58,,
4:58.0,Personal take foul by D. Williams (drawn by K. Walker),,60-58,,
4:58.0,Brooklyn full timeout,,60-58,,
4:58.0,,,60-58,,M. Williams enters the game for G. Henderson
4:58.0,M. Plumlee enters the game for T. Young,,60-58,,
4:33.0,,,60-58,,A. Jefferson misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by B. Lopez,,60-58,,
4:19.0,B. Lopez makes 2-pt shot from 10 ft (assist by D. Williams),2,62-58,,
4:05.0,,,62-58,,M. Williams misses 2-pt shot from 16 ft
4:03.0,Defensive rebound by J. Johnson,,62-58,,
3:50.0,A. Anderson misses 3-pt shot from 25 ft,,62-58,,
3:49.0,,,62-58,,Defensive rebound by A. Jefferson
3:35.0,,,62-58,,A. Jefferson misses 2-pt shot from 8 ft
3:34.0,Defensive rebound by M. Plumlee,,62-58,,
3:25.0,B. Lopez misses 2-pt shot from 19 ft,,62-58,,
3:24.0,,,62-58,,Defensive rebound by M. Kidd-Gilchrist
3:17.0,,,62-61,3,M. Williams makes 3-pt shot from 25 ft (assist by M. Williams)
3:06.0,,,62-61,,L. Stephenson enters the game for M. Kidd-Gilchrist
2:58.0,B. Lopez makes 2-pt shot from 18 ft (assist by D. Williams),2,64-61,,
2:42.0,,,64-61,,Turnover by M. Williams (lost ball; steal by A. Anderson)
2:35.0,A. Anderson misses 2-pt shot from 2 ft,,64-61,,
2:33.0,,,64-61,,Defensive rebound by L. Stephenson
2:27.0,,,64-61,,Shooting foul by M. Plumlee (drawn by A. Jefferson)
2:27.0,,,64-61,,A. Jefferson misses free throw 1 of 2
2:27.0,,,64-61,,Offensive rebound by Team
2:27.0,,,64-61,,G. Henderson enters the game for K. Walker
2:27.0,,,64-62,1,A. Jefferson makes free throw 2 of 2
2:19.0,,,64-62,,Personal foul by M. Williams (drawn by A. Anderson)
2:19.0,,,64-62,,B. Biyombo enters the game for A. Jefferson
2:10.0,Turnover by M. Plumlee (3 sec),,64-62,,
1:50.0,,,64-62,,M. Williams misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by Team,,64-62,,
1:36.0,B. Lopez makes 2-pt shot from 7 ft (assist by D. Williams),2,66-62,,
1:20.0,,,66-62,,G. Henderson misses 2-pt shot from 17 ft
1:19.0,Defensive rebound by M. Plumlee,,66-62,,
1:08.0,B. Lopez misses 2-pt shot from 12 ft,,66-62,,
1:07.0,,,66-62,,Defensive rebound by M. Williams
0:58.0,,,66-62,,L. Stephenson misses 2-pt shot from 17 ft
0:56.0,Defensive rebound by D. Williams,,66-62,,
0:33.0,J. Johnson misses 3-pt shot from 25 ft,,66-62,,
0:32.0,,,66-62,,Defensive rebound by M. Williams
0:15.0,,,66-62,,Shooting foul by D. Williams (drawn by M. Williams)
0:15.0,,,66-62,,M. Williams misses free throw 1 of 3
0:15.0,,,66-62,,Offensive rebound by Team
0:15.0,,,66-63,1,M. Williams makes free throw 2 of 3
0:15.0,C. Jefferson enters the game for B. Lopez,,66-63,,
0:15.0,B. Bogdanovic enters the game for M. Plumlee,,66-63,,
0:15.0,,,66-64,1,M. Williams makes free throw 3 of 3
0:07.0,,,66-64,,Personal foul by B. Biyombo (drawn by B. Bogdanovic)
0:00.0,B. Bogdanovic makes 2-pt shot from 15 ft (assist by D. Williams),2,68-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Plumlee misses 2-pt shot from 2 ft (block by J. Maxiell),,68-64,,
11:45.0,,,68-64,,Defensive rebound by J. Maxiell
11:37.0,,,68-64,,Turnover by M. Williams (bad pass)
11:12.0,C. Jefferson misses 2-pt shot from 17 ft,,68-64,,
11:11.0,,,68-64,,Defensive rebound by L. Stephenson
11:02.0,,,68-64,,Turnover by G. Henderson (lost ball; steal by J. Jack)
10:56.0,A. Anderson makes 2-pt shot from 1 ft (assist by M. Plumlee),2,70-64,,
10:33.0,,,70-64,,L. Stephenson misses 2-pt shot from 16 ft
10:33.0,,,70-64,,Offensive rebound by J. Maxiell
10:33.0,Personal foul by C. Jefferson (drawn by J. Maxiell),,70-64,,
10:20.0,,,70-64,,L. Stephenson misses 2-pt shot from 19 ft
10:19.0,Defensive rebound by C. Jefferson,,70-64,,
9:56.0,Turnover by C. Jefferson (lost ball; steal by G. Henderson),,70-64,,
9:52.0,,,70-64,,Shooting foul by A. Anderson (drawn by G. Henderson)
9:52.0,,,70-65,1,G. Henderson makes free throw 1 of 2
9:52.0,B. Lopez enters the game for C. Jefferson,,70-65,,
9:52.0,,,70-65,,M. Kidd-Gilchrist enters the game for L. Stephenson
9:52.0,,,70-66,1,G. Henderson makes free throw 2 of 2
9:35.0,Turnover by B. Lopez (step out of bounds),,70-66,,
9:16.0,,,70-66,,M. Williams misses 3-pt shot from 30 ft
9:14.0,,,70-66,,Offensive rebound by B. Biyombo
9:08.0,,,70-66,,Offensive charge foul by M. Kidd-Gilchrist
9:08.0,,,70-66,,Turnover by M. Kidd-Gilchrist (offensive foul)
8:56.0,B. Lopez makes 2-pt shot from 17 ft (assist by J. Jack),2,72-66,,
8:39.0,,,72-66,,Turnover by Team (back court)
8:39.0,Official timeout,,72-66,,
8:39.0,,,72-66,,A. Jefferson enters the game for B. Biyombo
8:26.0,B. Lopez misses 2-pt shot from 16 ft,,72-66,,
8:26.0,,,72-66,,Defensive rebound by Team
8:26.0,Loose ball foul by M. Plumlee (drawn by J. Maxiell),,72-66,,
8:11.0,,,72-66,,A. Jefferson misses 2-pt shot from 1 ft
8:10.0,Defensive rebound by B. Lopez,,72-66,,
8:02.0,Shooting foul by M. Williams (drawn by A. Anderson),,72-66,,
8:02.0,J. Jack makes free throw 1 of 2,1,73-66,,
8:02.0,J. Jack makes free throw 2 of 2,1,74-66,,
7:51.0,,,74-66,,M. Williams misses 2-pt shot from 17 ft
7:50.0,Defensive rebound by J. Jack,,74-66,,
7:40.0,B. Lopez misses 2-pt shot from 1 ft,,74-66,,
7:39.0,,,74-66,,Defensive rebound by A. Jefferson
7:29.0,,,74-66,,Shooting foul by B. Lopez (drawn by G. Henderson)
7:29.0,,,74-66,,G. Henderson misses free throw 1 of 2
7:29.0,,,74-66,,Offensive rebound by Team
7:29.0,,,74-66,,K. Walker enters the game for J. Maxiell
7:29.0,J. Johnson enters the game for A. Anderson,,74-66,,
7:29.0,,,74-67,1,G. Henderson makes free throw 2 of 2
7:05.0,J. Jack misses 2-pt shot from 18 ft,,74-67,,
7:03.0,,,74-67,,Defensive rebound by A. Jefferson
6:50.0,,,74-69,2,G. Henderson makes 2-pt shot from 18 ft (assist by A. Jefferson)
6:40.0,,,74-69,,Personal foul by M. Williams (drawn by J. Jack)
6:40.0,D. Williams enters the game for M. Plumlee,,74-69,,
6:28.0,B. Bogdanovic misses 2-pt shot from 15 ft (block by K. Walker),,74-69,,
6:26.0,,,74-69,,Defensive rebound by K. Walker
6:23.0,,,74-71,2,G. Henderson makes 2-pt shot from 16 ft (assist by K. Walker)
6:23.0,Brooklyn full timeout,,74-71,,
6:05.0,J. Johnson makes 3-pt shot from 26 ft (assist by D. Williams),3,77-71,,
5:52.0,Personal foul by D. Williams (drawn by K. Walker),,77-71,,
5:52.0,,,77-72,1,K. Walker makes free throw 1 of 2
5:52.0,,,77-73,1,K. Walker makes free throw 2 of 2
5:31.0,J. Johnson misses 3-pt shot from 25 ft,,77-73,,
5:30.0,,,77-73,,Defensive rebound by K. Walker
5:08.0,,,77-73,,G. Henderson misses 3-pt shot from 23 ft
5:06.0,,,77-73,,Offensive rebound by A. Jefferson
5:00.0,,,77-75,2,A. Jefferson makes 2-pt shot from 6 ft (assist by M. Williams)
4:31.0,D. Williams misses 2-pt shot from 2 ft,,77-75,,
4:30.0,,,77-75,,Defensive rebound by K. Walker
4:19.0,,,77-75,,K. Walker misses 2-pt shot from 10 ft
4:18.0,Defensive rebound by J. Johnson,,77-75,,
4:04.0,,,77-75,,Personal foul by A. Jefferson (drawn by B. Lopez)
4:04.0,A. Anderson enters the game for B. Bogdanovic,,77-75,,
3:58.0,B. Lopez makes 2-pt shot from 9 ft (assist by D. Williams),2,79-75,,
3:39.0,,,79-77,2,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Williams)
3:22.0,A. Anderson misses 3-pt shot from 23 ft,,79-77,,
3:21.0,,,79-77,,Defensive rebound by M. Williams
3:03.0,,,79-77,,G. Henderson misses 2-pt shot from 5 ft
3:02.0,Defensive rebound by B. Lopez,,79-77,,
3:02.0,Brooklyn full timeout,,79-77,,
2:42.0,D. Williams misses 2-pt shot from 16 ft,,79-77,,
2:40.0,,,79-77,,Defensive rebound by M. Williams
2:36.0,,,79-77,,Shooting foul by B. Lopez (drawn by M. Williams)
2:36.0,,,79-77,,Charlotte full timeout
2:36.0,,,79-78,1,M. Williams makes free throw 1 of 2
2:36.0,,,79-79,1,M. Williams makes free throw 2 of 2
2:17.0,B. Lopez makes 2-pt shot from 18 ft (assist by J. Johnson),2,81-79,,
2:00.0,,,81-79,,M. Williams misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by A. Anderson,,81-79,,
