time,Portland,pts.away,score,pts.home,Houston
6:01.0,L. Aldridge misses 2-pt shot from 2 ft,,11-11,,
6:01.0,Offensive rebound by L. Aldridge,,11-11,,
5:47.0,,,11-13,2,J. Harden makes 2-pt shot from 13 ft
5:35.0,N. Batum misses 3-pt shot from 22 ft,,11-13,,
5:34.0,,,11-13,,Defensive rebound by J. Dorsey
5:30.0,Clear path foul by R. Lopez,,11-13,,
5:30.0,,,11-13,,Houston full timeout
5:30.0,,,11-13,,J. Smith enters the game for J. Dorsey
5:30.0,C. Kaman enters the game for R. Lopez,,11-13,,
5:30.0,S. Blake enters the game for W. Matthews,,11-13,,
5:30.0,,,11-14,1,D. Motiejunas makes clear path free throw 1 of 2
5:30.0,,,11-14,,D. Motiejunas misses clear path free throw 2 of 2
5:30.0,,,11-14,,Offensive rebound by Team
5:19.0,,,11-14,,J. Harden misses 2-pt shot from 17 ft
5:15.0,,,11-14,,Offensive rebound by P. Beverley
5:12.0,,,11-17,3,J. Smith makes 3-pt shot from 24 ft (assist by T. Ariza)
4:57.0,,,11-17,,Personal foul by T. Ariza (drawn by N. Batum)
4:49.0,Turnover by S. Blake (bad pass; steal by J. Harden),,11-17,,
4:45.0,,,11-19,2,J. Smith makes 2-pt shot at rim (assist by J. Harden)
4:44.0,Portland full timeout,,11-19,,
4:44.0,W. Barton enters the game for N. Batum,,11-19,,
4:22.0,L. Aldridge misses 2-pt shot from 17 ft,,11-19,,
4:20.0,Offensive rebound by S. Blake,,11-19,,
4:03.0,,,11-19,,Personal foul by J. Smith (drawn by L. Aldridge)
4:03.0,,,11-19,,C. Brewer enters the game for T. Ariza
4:03.0,,,11-19,,T. Jones enters the game for D. Motiejunas
3:59.0,D. Lillard makes 2-pt shot at rim,2,13-19,,
3:59.0,Shooting foul by T. Jones (drawn by D. Lillard),,13-19,,
3:59.0,D. Lillard makes free throw 1 of 1,1,14-19,,
3:40.0,,,14-19,,J. Harden misses 2-pt shot from 8 ft
3:37.0,,,14-19,,Offensive rebound by P. Beverley
3:32.0,,,14-21,2,J. Harden makes 2-pt shot from 2 ft (assist by P. Beverley)
3:19.0,L. Aldridge misses 2-pt shot from 3 ft,,14-21,,
3:17.0,Offensive rebound by Team,,14-21,,
3:09.0,S. Blake makes 3-pt shot from 23 ft (assist by D. Lillard),3,17-21,,
2:56.0,,,17-23,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden)
2:37.0,S. Blake makes 2-pt shot from 3 ft,2,19-23,,
2:37.0,Shooting foul by T. Jones (drawn by S. Blake),,19-23,,
2:37.0,,,19-23,,J. Terry enters the game for P. Beverley
2:37.0,S. Blake misses free throw 1 of 1,,19-23,,
2:37.0,,,19-23,,Defensive rebound by J. Smith
2:22.0,,,19-23,,Shooting foul by C. Kaman (drawn by J. Harden)
2:22.0,,,19-24,1,J. Harden makes free throw 1 of 2
2:22.0,C. McCollum enters the game for D. Lillard,,19-24,,
2:22.0,,,19-25,1,J. Harden makes free throw 2 of 2
2:07.0,Shooting foul by C. Brewer (drawn by L. Aldridge),,19-25,,
2:07.0,L. Aldridge makes free throw 1 of 2,1,20-25,,
2:07.0,L. Aldridge makes free throw 2 of 2,1,21-25,,
1:45.0,,,21-25,,J. Harden misses 2-pt shot from 16 ft
1:43.0,Defensive rebound by C. Kaman,,21-25,,
1:28.0,L. Aldridge makes 2-pt shot from 4 ft (assist by W. Barton),2,23-25,,
1:07.0,Personal foul by W. Barton (drawn by J. Harden),,23-25,,
1:07.0,,,23-26,1,J. Harden makes free throw 1 of 2
1:07.0,,,23-27,1,J. Harden makes free throw 2 of 2
0:46.0,W. Barton misses 3-pt shot from 23 ft,,23-27,,
0:42.0,,,23-27,,Defensive rebound by J. Harden
0:37.0,,,23-27,,Turnover by J. Smith (traveling)
0:19.0,C. McCollum makes 3-pt shot from 26 ft (assist by L. Aldridge),3,26-27,,
0:03.0,,,26-27,,Turnover by J. Harden (lost ball; steal by L. Aldridge)
0:00.0,W. Barton misses 2-pt shot from 14 ft,,26-27,,
0:00.0,Offensive rebound by Team,,26-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-27,,Personal foul by J. Terry (drawn by S. Blake)
11:35.0,,,26-27,,Personal foul by J. Smith (drawn by C. Kaman)
11:26.0,C. Kaman makes 2-pt shot from 8 ft,2,28-27,,
11:13.0,,,28-27,,J. Smith misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by C. Kaman,,28-27,,
11:07.0,W. Barton misses 2-pt shot at rim (block by J. Terry),,28-27,,
11:04.0,,,28-27,,Defensive rebound by T. Jones
11:00.0,,,28-27,,J. Terry misses 3-pt shot from 24 ft
10:58.0,,,28-27,,Offensive rebound by J. Smith
10:56.0,,,28-27,,Shooting foul by M. Leonard (drawn by T. Jones)
10:56.0,,,28-27,,T. Jones misses free throw 1 of 2
10:56.0,,,28-27,,Offensive rebound by Team
10:56.0,,,28-28,1,T. Jones makes free throw 2 of 2
10:37.0,M. Leonard makes 3-pt shot from 23 ft (assist by C. Kaman),3,31-28,,
10:26.0,,,31-28,,C. Brewer misses 2-pt shot from 21 ft
10:24.0,Defensive rebound by M. Leonard,,31-28,,
10:13.0,S. Blake misses 2-pt shot from 1 ft,,31-28,,
10:11.0,,,31-28,,Defensive rebound by T. Jones
10:03.0,,,31-31,3,C. Brewer makes 3-pt shot from 23 ft (assist by J. Smith)
9:52.0,M. Leonard misses 3-pt shot from 25 ft,,31-31,,
9:50.0,,,31-31,,Defensive rebound by J. Terry
9:39.0,,,31-33,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Smith)
9:19.0,C. Kaman makes 2-pt shot from 2 ft,2,33-33,,
9:04.0,,,33-33,,T. Jones misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by W. Barton,,33-33,,
8:55.0,Turnover by C. Kaman (lost ball; steal by J. Terry),,33-33,,
8:50.0,,,33-33,,T. Ariza misses 2-pt shot from 1 ft (block by W. Barton)
8:46.0,Defensive rebound by S. Blake,,33-33,,
8:43.0,M. Leonard misses 3-pt shot from 23 ft,,33-33,,
8:41.0,Offensive rebound by C. Kaman,,33-33,,
8:38.0,W. Barton makes 2-pt shot at rim (assist by S. Blake),2,35-33,,
8:34.0,,,35-33,,Houston full timeout
8:34.0,,,35-33,,D. Motiejunas enters the game for J. Smith
8:34.0,W. Matthews enters the game for C. Kaman,,35-33,,
8:34.0,R. Lopez enters the game for W. Barton,,35-33,,
8:21.0,,,35-35,2,C. Brewer makes 2-pt shot from 11 ft (assist by T. Ariza)
8:03.0,C. McCollum makes 2-pt shot from 4 ft (assist by R. Lopez),2,37-35,,
7:49.0,,,37-35,,C. Brewer misses 2-pt shot from 15 ft
7:47.0,Defensive rebound by M. Leonard,,37-35,,
7:36.0,M. Leonard misses 2-pt shot from 19 ft,,37-35,,
7:35.0,,,37-35,,Defensive rebound by T. Ariza
7:29.0,D. Lillard enters the game for S. Blake,,37-35,,
7:28.0,Jump ball: W. Matthews vs. J. Terry (C. Brewer gains possession),,,,Jump ball: W. Matthews vs. J. Terry (C. Brewer gains possession)
7:17.0,,,37-35,,Turnover by C. Brewer (step out of bounds)
7:17.0,,,37-35,,P. Beverley enters the game for J. Terry
6:55.0,R. Lopez makes 2-pt shot at rim (assist by M. Leonard),2,39-35,,
6:40.0,,,39-37,2,T. Ariza makes 2-pt shot from 18 ft
6:27.0,C. McCollum makes 2-pt shot from 10 ft,2,41-37,,
6:07.0,,,41-37,,T. Jones misses 2-pt shot from 7 ft
6:06.0,Defensive rebound by R. Lopez,,41-37,,
5:51.0,Official timeout,,41-37,,
5:51.0,,,41-37,,J. Dorsey enters the game for C. Brewer
5:51.0,,,41-37,,J. Harden enters the game for T. Jones
5:51.0,L. Aldridge enters the game for M. Leonard,,41-37,,
5:45.0,D. Lillard makes 2-pt shot from 1 ft,2,43-37,,
5:25.0,,,43-37,,J. Dorsey misses 2-pt shot from 4 ft
5:23.0,Defensive rebound by D. Lillard,,43-37,,
5:04.0,C. McCollum makes 3-pt shot from 25 ft,3,46-37,,
4:46.0,,,46-37,,Turnover by T. Ariza (lost ball; steal by C. McCollum)
4:41.0,C. McCollum makes 2-pt shot from 1 ft,2,48-37,,
4:25.0,,,48-37,,J. Dorsey misses 2-pt shot from 4 ft
4:24.0,Defensive rebound by C. McCollum,,48-37,,
4:14.0,C. McCollum misses 3-pt shot from 23 ft,,48-37,,
4:13.0,,,48-37,,Defensive rebound by D. Motiejunas
4:00.0,,,48-40,3,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza)
3:40.0,D. Lillard makes 3-pt shot from 25 ft,3,51-40,,
3:30.0,,,51-40,,Turnover by J. Harden (lost ball; steal by W. Matthews)
3:30.0,,,51-40,,Personal foul by J. Harden (drawn by W. Matthews)
3:30.0,,,51-40,,J. Smith enters the game for J. Dorsey
3:19.0,Turnover by D. Lillard (bad pass; steal by T. Ariza),,51-40,,
3:09.0,,,51-43,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
3:07.0,Portland full timeout,,51-43,,
3:07.0,N. Batum enters the game for C. McCollum,,51-43,,
2:50.0,,,51-43,,Personal foul by D. Motiejunas (drawn by D. Lillard)
2:42.0,L. Aldridge misses 3-pt shot from 23 ft,,51-43,,
2:41.0,,,51-43,,Defensive rebound by T. Ariza
2:33.0,,,51-43,,J. Harden misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by Team,,51-43,,
2:32.0,,,51-43,,Loose ball foul by P. Beverley (drawn by L. Aldridge)
2:32.0,L. Aldridge makes free throw 1 of 2,1,52-43,,
2:32.0,L. Aldridge makes free throw 2 of 2,1,53-43,,
2:25.0,,,53-43,,Turnover by P. Beverley (lost ball; steal by D. Lillard)
2:23.0,Shooting foul by P. Beverley (drawn by D. Lillard),,53-43,,
2:23.0,D. Lillard makes free throw 1 of 2,1,54-43,,
2:23.0,,,54-43,,C. Brewer enters the game for P. Beverley
2:23.0,D. Lillard makes free throw 2 of 2,1,55-43,,
2:06.0,,,55-43,,C. Brewer misses 3-pt shot from 23 ft
2:05.0,Defensive rebound by N. Batum,,55-43,,
1:55.0,W. Matthews misses 2-pt shot from 20 ft,,55-43,,
1:53.0,,,55-43,,Defensive rebound by J. Harden
1:49.0,,,55-43,,Shooting foul by N. Batum (drawn by J. Harden)
1:49.0,,,55-44,1,J. Harden makes free throw 1 of 2
1:49.0,,,55-45,1,J. Harden makes free throw 2 of 2
1:33.0,R. Lopez makes 2-pt shot at rim (assist by N. Batum),2,57-45,,
1:20.0,,,57-45,,D. Motiejunas misses 2-pt shot from 11 ft
1:20.0,Defensive rebound by Team,,57-45,,
1:03.0,R. Lopez makes 2-pt shot from 4 ft (assist by N. Batum),2,59-45,,
0:41.0,,,59-45,,J. Smith misses 2-pt shot from 20 ft
0:40.0,Defensive rebound by N. Batum,,59-45,,
0:31.0,L. Aldridge makes 2-pt shot from 21 ft (assist by N. Batum),2,61-45,,
0:13.0,,,61-45,,Houston full timeout
0:10.0,,,61-48,3,J. Harden makes 3-pt shot from 23 ft (assist by T. Ariza)
0:00.0,L. Aldridge misses 3-pt shot from 23 ft,,61-48,,
0:00.0,Offensive rebound by Team,,61-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,N. Batum makes 2-pt shot from 15 ft,2,63-48,,
11:29.0,,,63-48,,Turnover by P. Beverley (bad pass; steal by N. Batum)
11:18.0,L. Aldridge makes 2-pt shot from 18 ft,2,65-48,,
11:05.0,,,65-48,,Turnover by J. Harden (lost ball; steal by D. Lillard)
10:52.0,N. Batum misses 3-pt shot from 25 ft,,65-48,,
10:50.0,,,65-48,,Defensive rebound by J. Harden
10:30.0,,,65-48,,Shooting foul by W. Matthews (drawn by J. Harden)
10:30.0,,,65-48,,J. Harden misses free throw 1 of 3
10:30.0,,,65-48,,Offensive rebound by Team
10:30.0,,,65-49,1,J. Harden makes free throw 2 of 3
10:30.0,,,65-50,1,J. Harden makes free throw 3 of 3
10:10.0,Offensive foul by L. Aldridge,,65-50,,
10:10.0,Turnover by L. Aldridge (offensive foul),,65-50,,
10:03.0,,,65-53,3,J. Harden makes 3-pt shot from 26 ft
9:46.0,R. Lopez misses 2-pt shot from 3 ft,,65-53,,
9:45.0,,,65-53,,Defensive rebound by J. Dorsey
9:34.0,,,65-53,,T. Ariza misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by N. Batum,,65-53,,
9:27.0,,,65-53,,Personal foul by J. Dorsey (drawn by D. Lillard)
9:21.0,Shooting foul by T. Ariza (drawn by D. Lillard),,65-53,,
9:21.0,D. Lillard makes free throw 1 of 2,1,66-53,,
9:21.0,D. Lillard makes free throw 2 of 2,1,67-53,,
9:06.0,,,67-53,,D. Motiejunas misses 3-pt shot from 24 ft
9:05.0,,,67-53,,Offensive rebound by J. Harden
9:00.0,,,67-53,,Shooting foul by D. Lillard (drawn by J. Harden)
9:00.0,,,67-54,1,J. Harden makes free throw 1 of 3
9:00.0,,,67-55,1,J. Harden makes free throw 2 of 3
9:00.0,,,67-56,1,J. Harden makes free throw 3 of 3
8:43.0,W. Matthews makes 3-pt shot from 25 ft (assist by N. Batum),3,70-56,,
8:26.0,,,70-56,,Shooting foul by L. Aldridge (drawn by T. Ariza)
8:26.0,,,70-57,1,T. Ariza makes free throw 1 of 2
8:26.0,,,70-58,1,T. Ariza makes free throw 2 of 2
8:09.0,Shooting foul by J. Dorsey (drawn by R. Lopez),,70-58,,
8:09.0,R. Lopez misses free throw 1 of 2,,70-58,,
8:09.0,Offensive rebound by Team,,70-58,,
8:09.0,,,70-58,,J. Smith enters the game for J. Dorsey
8:09.0,,,70-58,,J. Terry enters the game for P. Beverley
8:09.0,R. Lopez makes free throw 2 of 2,1,71-58,,
8:03.0,,,71-58,,Offensive foul by D. Motiejunas
8:03.0,,,71-58,,Turnover by D. Motiejunas (offensive foul)
7:46.0,L. Aldridge makes 2-pt shot from 3 ft,2,73-58,,
7:34.0,Violation by R. Lopez (kicked ball),,73-58,,
7:29.0,,,73-58,,Shooting foul by R. Lopez (drawn by D. Motiejunas)
7:29.0,,,73-58,,D. Motiejunas misses free throw 1 of 2
7:29.0,,,73-58,,Offensive rebound by Team
7:29.0,,,73-58,,D. Motiejunas misses free throw 2 of 2
7:29.0,Defensive rebound by N. Batum,,73-58,,
7:12.0,D. Lillard misses 3-pt shot from 25 ft,,73-58,,
7:10.0,,,73-58,,Defensive rebound by T. Ariza
6:54.0,,,73-61,3,J. Terry makes 3-pt shot from 22 ft (assist by J. Smith)
6:30.0,Turnover by L. Aldridge (bad pass; steal by T. Ariza),,73-61,,
6:26.0,,,73-63,2,J. Harden makes 2-pt shot at rim (assist by T. Ariza)
6:26.0,Portland full timeout,,73-63,,
6:26.0,C. Kaman enters the game for R. Lopez,,73-63,,
6:26.0,S. Blake enters the game for W. Matthews,,73-63,,
6:00.0,S. Blake makes 2-pt shot from 20 ft (assist by D. Lillard),2,75-63,,
5:49.0,,,75-66,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Terry)
5:23.0,S. Blake misses 3-pt shot from 26 ft,,75-66,,
5:21.0,,,75-66,,Defensive rebound by J. Terry
5:16.0,,,75-68,2,J. Harden makes 2-pt shot at rim (assist by J. Terry)
4:56.0,Shooting foul by J. Smith (drawn by L. Aldridge),,75-68,,
4:56.0,L. Aldridge makes free throw 1 of 2,1,76-68,,
4:56.0,L. Aldridge makes free throw 2 of 2,1,77-68,,
4:45.0,,,77-68,,J. Harden misses 3-pt shot from 24 ft
4:44.0,,,77-68,,Offensive rebound by J. Smith
4:40.0,,,77-68,,T. Ariza misses 3-pt shot from 25 ft
4:37.0,,,77-68,,Offensive rebound by J. Harden
4:33.0,,,77-71,3,J. Terry makes 3-pt shot from 22 ft (assist by J. Harden)
4:11.0,Turnover by L. Aldridge (bad pass; steal by T. Ariza),,77-71,,
4:06.0,,,77-71,,J. Terry misses 2-pt shot from 1 ft
4:05.0,,,77-71,,Offensive rebound by D. Motiejunas
4:05.0,,,77-73,2,D. Motiejunas makes 2-pt shot from 1 ft
3:40.0,Shooting foul by J. Terry (drawn by D. Lillard),,77-73,,
3:40.0,,,77-73,,Houston full timeout
3:40.0,D. Lillard makes free throw 1 of 2,1,78-73,,
3:40.0,D. Lillard makes free throw 2 of 2,1,79-73,,
3:24.0,,,79-73,,J. Harden misses 2-pt shot from 3 ft (block by C. Kaman)
3:23.0,Defensive rebound by Team,,79-73,,
3:09.0,D. Lillard misses 3-pt shot from 28 ft,,79-73,,
3:07.0,,,79-73,,Defensive rebound by Team
2:53.0,,,79-73,,J. Smith misses 3-pt shot from 25 ft
2:52.0,,,79-73,,Offensive rebound by Team
2:52.0,Loose ball foul by S. Blake (drawn by J. Harden),,79-73,,
2:52.0,,,79-74,1,J. Harden makes free throw 1 of 2
2:52.0,W. Matthews enters the game for N. Batum,,79-74,,
2:52.0,C. McCollum enters the game for D. Lillard,,79-74,,
2:52.0,,,79-74,,C. Brewer enters the game for T. Ariza
2:52.0,,,79-75,1,J. Harden makes free throw 2 of 2
2:33.0,C. McCollum misses 3-pt shot from 25 ft,,79-75,,
2:31.0,,,79-75,,Defensive rebound by D. Motiejunas
2:20.0,,,79-75,,J. Harden misses 2-pt shot from 16 ft
2:18.0,,,79-75,,Offensive rebound by J. Smith
2:15.0,,,79-75,,J. Harden misses 3-pt shot from 24 ft
2:13.0,,,79-75,,Offensive rebound by J. Harden
2:12.0,,,79-75,,Shooting foul by C. Kaman (drawn by J. Harden)
2:12.0,,,79-75,,J. Harden misses free throw 1 of 2
2:12.0,,,79-75,,Offensive rebound by Team
2:12.0,,,79-75,,T. Jones enters the game for D. Motiejunas
2:12.0,,,79-76,1,J. Harden makes free throw 2 of 2
2:03.0,W. Matthews misses 2-pt shot from 2 ft,,79-76,,
2:01.0,,,79-76,,Defensive rebound by J. Smith
1:52.0,,,79-76,,T. Jones misses 2-pt shot at rim
1:51.0,,,79-76,,Offensive rebound by Team
1:51.0,M. Leonard enters the game for C. Kaman,,79-76,,
1:44.0,,,79-76,,J. Harden misses 2-pt shot from 3 ft (block by M. Leonard)
1:42.0,,,79-76,,Offensive rebound by J. Harden
1:39.0,,,79-79,3,J. Smith makes 3-pt shot from 25 ft (assist by J. Harden)
1:14.0,L. Aldridge misses 2-pt shot from 6 ft,,79-79,,
1:11.0,Offensive rebound by L. Aldridge,,79-79,,
1:09.0,L. Aldridge makes 2-pt shot from 3 ft,2,81-79,,
0:52.0,,,81-79,,Shooting foul by M. Leonard (drawn by J. Harden)
0:52.0,,,81-79,,J. Harden misses free throw 1 of 2
0:52.0,,,81-79,,Offensive rebound by Team
0:52.0,,,81-80,1,J. Harden makes free throw 2 of 2
0:27.0,M. Leonard misses 2-pt shot from 13 ft,,81-80,,
0:26.0,,,81-80,,Defensive rebound by J. Terry
0:06.0,,,81-80,,J. Terry misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by C. McCollum,,81-80,,
0:01.0,Turnover by S. Blake (bad pass; steal by J. Harden),,81-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,81-80,,J. Smith misses 2-pt shot from 17 ft
11:41.0,Defensive rebound by M. Leonard,,81-80,,
11:23.0,Offensive charge foul by L. Aldridge,,81-80,,
11:23.0,Turnover by L. Aldridge (offensive foul),,81-80,,
11:07.0,,,81-83,3,J. Smith makes 3-pt shot from 24 ft (assist by C. Brewer)
10:53.0,M. Leonard makes 2-pt shot from 6 ft (assist by S. Blake),2,83-83,,
10:41.0,,,83-83,,T. Jones misses 2-pt shot at rim
10:39.0,Defensive rebound by M. Leonard,,83-83,,
10:30.0,R. Lopez enters the game for L. Aldridge,,83-83,,
10:30.0,D. Lillard enters the game for C. McCollum,,83-83,,
10:27.0,M. Leonard makes 2-pt shot from 18 ft (assist by W. Matthews),2,85-83,,
10:12.0,,,85-83,,J. Smith misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by D. Lillard,,85-83,,
10:01.0,W. Matthews misses 3-pt shot from 26 ft,,85-83,,
9:59.0,,,85-83,,Defensive rebound by Team
9:59.0,Personal foul by D. Lillard (drawn by T. Ariza),,85-83,,
9:59.0,,,85-83,,J. Harden enters the game for J. Smith
9:59.0,,,85-83,,D. Motiejunas enters the game for T. Jones
9:46.0,,,85-83,,J. Harden misses 2-pt shot from 7 ft
9:44.0,Defensive rebound by M. Leonard,,85-83,,
9:35.0,W. Matthews misses 3-pt shot from 24 ft,,85-83,,
9:33.0,,,85-83,,Defensive rebound by C. Brewer
9:28.0,,,85-83,,C. Brewer misses 2-pt shot at rim
9:26.0,,,85-83,,Offensive rebound by D. Motiejunas
9:23.0,,,85-83,,J. Terry misses 3-pt shot from 25 ft
9:22.0,,,85-83,,Offensive rebound by D. Motiejunas
9:17.0,,,85-85,2,J. Harden makes 2-pt shot from 1 ft (assist by D. Motiejunas)
9:16.0,Portland full timeout,,85-85,,
9:16.0,N. Batum enters the game for W. Matthews,,85-85,,
9:02.0,N. Batum misses 2-pt shot from 20 ft,,85-85,,
9:01.0,,,85-85,,Defensive rebound by C. Brewer
8:46.0,,,85-85,,C. Brewer misses 2-pt shot from 23 ft
8:45.0,Defensive rebound by S. Blake,,85-85,,
8:34.0,,,85-85,,Personal foul by C. Brewer (drawn by M. Leonard)
8:26.0,M. Leonard makes 3-pt shot from 23 ft (assist by D. Lillard),3,88-85,,
8:08.0,,,88-85,,C. Brewer misses 2-pt shot at rim
8:06.0,Defensive rebound by N. Batum,,88-85,,
7:50.0,,,88-85,,Personal foul by C. Brewer (drawn by D. Lillard)
7:46.0,D. Lillard misses 3-pt shot from 25 ft,,88-85,,
7:46.0,,,88-85,,Defensive rebound by Team
7:21.0,,,88-85,,C. Brewer misses 3-pt shot from 23 ft
7:20.0,Defensive rebound by S. Blake,,88-85,,
7:15.0,M. Leonard makes 2-pt shot from 2 ft (assist by S. Blake),2,90-85,,
7:10.0,,,90-85,,Houston full timeout
7:10.0,,,90-85,,P. Beverley enters the game for J. Terry
7:10.0,W. Matthews enters the game for S. Blake,,90-85,,
6:55.0,,,90-85,,D. Motiejunas misses 2-pt shot from 2 ft
6:53.0,Defensive rebound by M. Leonard,,90-85,,
6:31.0,R. Lopez makes 2-pt shot from 13 ft (assist by D. Lillard),2,92-85,,
6:20.0,,,92-85,,Shooting foul by W. Matthews (drawn by J. Harden)
6:20.0,,,92-86,1,J. Harden makes free throw 1 of 3
6:20.0,,,92-87,1,J. Harden makes free throw 2 of 3
6:20.0,,,92-87,,J. Smith enters the game for C. Brewer
6:20.0,,,92-87,,J. Harden misses free throw 3 of 3
6:20.0,Defensive rebound by N. Batum,,92-87,,
5:57.0,D. Lillard makes 2-pt shot at rim,2,94-87,,
5:46.0,,,94-87,,J. Smith misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by W. Matthews,,94-87,,
5:35.0,D. Lillard misses 3-pt shot from 27 ft,,94-87,,
5:33.0,,,94-87,,Defensive rebound by J. Harden
5:29.0,,,94-89,2,J. Smith makes 2-pt shot from 2 ft (assist by J. Harden)
5:08.0,R. Lopez makes 2-pt shot from 1 ft (assist by W. Matthews),2,96-89,,
5:08.0,Shooting foul by J. Harden (drawn by R. Lopez),,96-89,,
5:08.0,L. Aldridge enters the game for M. Leonard,,96-89,,
5:08.0,R. Lopez makes free throw 1 of 1,1,97-89,,
4:59.0,,,97-89,,J. Harden misses 3-pt shot from 25 ft
4:57.0,,,97-89,,Offensive rebound by T. Ariza
4:45.0,,,97-89,,Turnover by J. Smith (bad pass; steal by L. Aldridge)
4:28.0,Shooting foul by D. Motiejunas (drawn by D. Lillard),,97-89,,
4:28.0,D. Lillard makes free throw 1 of 2,1,98-89,,
4:28.0,D. Lillard misses free throw 2 of 2,,98-89,,
4:28.0,,,98-89,,Defensive rebound by D. Motiejunas
4:09.0,,,98-91,2,D. Motiejunas makes 2-pt shot from 9 ft (assist by T. Ariza)
3:48.0,Turnover by N. Batum (lost ball),,98-91,,
3:25.0,,,98-91,,P. Beverley misses 2-pt shot from 8 ft
3:23.0,Defensive rebound by L. Aldridge,,98-91,,
3:06.0,W. Matthews misses 3-pt shot from 22 ft,,98-91,,
