time,Detroit,pts.away,score,pts.home,Phoenix
1:40.0,,,97-97,,Phoenix full timeout
1:40.0,J. Meeks enters the game for B. Jennings,,97-97,,
1:40.0,,,97-97,,M. Morris enters the game for M. Plumlee
1:25.0,,,97-97,,Offensive foul by I. Thomas
1:25.0,,,97-97,,Turnover by I. Thomas (offensive foul)
1:13.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by J. Meeks),3,100-97,,
1:05.0,,,100-99,2,E. Bledsoe makes 2-pt shot from 16 ft
0:50.0,D. Augustin makes 2-pt shot from 1 ft,2,102-99,,
0:41.0,Jump ball: J. Meeks vs. P. Tucker (D. Augustin gains possession),,,,Jump ball: J. Meeks vs. P. Tucker (D. Augustin gains possession)
0:41.0,,,102-99,,Turnover by G. Dragic (lost ball; steal by K. Caldwell-Pope)
0:35.0,Detroit full timeout,,102-99,,
0:35.0,Detroit full timeout,,102-99,,
0:32.0,,,102-99,,Violation by M. Morris (kicked ball)
0:25.0,J. Meeks misses 2-pt shot from 18 ft,,102-99,,
0:24.0,Offensive rebound by Team,,102-99,,
0:22.0,G. Monroe enters the game for A. Drummond,,102-99,,
0:21.0,,,102-99,,Personal take foul by I. Thomas (drawn by D. Augustin)
0:20.0,,,102-99,,Personal take foul by P. Tucker (drawn by J. Smith)
0:20.0,J. Smith misses free throw 1 of 2,,102-99,,
0:20.0,Offensive rebound by Team,,102-99,,
0:20.0,,,102-99,,M. Plumlee enters the game for I. Thomas
0:20.0,J. Smith misses free throw 2 of 2,,102-99,,
0:20.0,,,102-99,,Defensive rebound by P. Tucker
0:20.0,,,102-99,,Phoenix full timeout
0:20.0,,,102-99,,I. Thomas enters the game for P. Tucker
0:20.0,,,102-99,,G. Green enters the game for M. Plumlee
0:20.0,K. Singler enters the game for G. Monroe,,102-99,,
0:16.0,,,102-101,2,G. Dragic makes 2-pt shot at rim
0:16.0,Detroit full timeout,,102-101,,
0:16.0,,,102-101,,P. Tucker enters the game for G. Green
0:16.0,B. Jennings enters the game for K. Caldwell-Pope,,102-101,,
0:16.0,G. Monroe enters the game for K. Singler,,102-101,,
0:09.0,,,102-101,,Personal foul by G. Dragic (drawn by J. Meeks)
0:09.0,J. Meeks makes free throw 1 of 2,1,103-101,,
0:09.0,K. Singler enters the game for G. Monroe,,103-101,,
0:09.0,K. Caldwell-Pope enters the game for B. Jennings,,103-101,,
0:09.0,,,103-101,,M. Plumlee enters the game for I. Thomas
0:09.0,J. Meeks makes free throw 2 of 2,1,104-101,,
0:09.0,,,104-101,,Phoenix full timeout
0:09.0,,,104-101,,I. Thomas enters the game for M. Plumlee
0:09.0,,,104-101,,G. Green enters the game for G. Dragic
0:05.0,,,104-101,,G. Green misses 3-pt shot from 25 ft
0:04.0,,,104-101,,Offensive rebound by P. Tucker
0:04.0,Personal foul by J. Meeks (drawn by P. Tucker),,104-101,,
0:04.0,,,104-102,1,P. Tucker makes free throw 1 of 2
0:04.0,G. Monroe enters the game for K. Singler,,104-102,,
0:04.0,A. Drummond enters the game for K. Caldwell-Pope,,104-102,,
0:04.0,,,104-103,1,P. Tucker makes free throw 2 of 2
0:03.0,,,104-103,,Personal take foul by G. Green (drawn by A. Drummond)
0:03.0,A. Drummond misses free throw 1 of 2,,104-103,,
0:03.0,Offensive rebound by Team,,104-103,,
0:03.0,K. Singler enters the game for G. Monroe,,104-103,,
0:03.0,K. Caldwell-Pope enters the game for J. Meeks,,104-103,,
0:03.0,A. Drummond makes free throw 2 of 2,1,105-103,,
0:00.0,,,105-103,,Turnover by M. Morris (bad pass; steal by A. Drummond)
0:00.0,End of 4th quarter,,,,End of 4th quarter
