time,Minnesota,pts.away,score,pts.home,Chicago
1:07.0,R. Rubio makes 2-pt shot from 22 ft,2,42-47,,
0:58.0,,,42-49,2,J. Butler makes 2-pt shot from 3 ft (assist by J. Noah)
0:52.0,K. Martin makes 2-pt shot from 21 ft (assist by R. Rubio),2,44-49,,
0:35.0,,,44-49,,M. Dunleavy misses 2-pt shot from 2 ft
0:34.0,,,44-49,,Offensive rebound by M. Dunleavy
0:33.0,,,44-51,2,M. Dunleavy makes 2-pt shot from 2 ft
0:21.0,C. Budinger misses 3-pt shot from 24 ft,,44-51,,
0:20.0,,,44-51,,Defensive rebound by J. Butler
0:01.0,,,44-51,,A. Brooks misses 3-pt shot from 24 ft
0:00.0,,,44-51,,Offensive rebound by J. Noah
0:00.0,,,44-51,,J. Noah misses 2-pt shot from 3 ft
0:00.0,,,44-51,,Offensive rebound by J. Butler
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Personal foul by A. Payne (drawn by N. Mirotic),,44-51,,
11:38.0,,,44-51,,A. Brooks misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by N. Pekovic,,44-51,,
11:26.0,K. Martin makes 2-pt shot from 17 ft (assist by R. Rubio),2,46-51,,
11:00.0,,,46-51,,A. Brooks misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by N. Pekovic,,46-51,,
10:54.0,K. Martin misses 3-pt shot from 24 ft,,46-51,,
10:53.0,,,46-51,,Defensive rebound by N. Mirotic
10:28.0,,,46-51,,J. Butler misses 2-pt shot from 21 ft
10:27.0,Defensive rebound by K. Martin,,46-51,,
10:16.0,K. Martin makes 2-pt shot from 22 ft (assist by R. Rubio),2,48-51,,
9:58.0,,,48-51,,M. Dunleavy misses 2-pt shot from 19 ft
9:57.0,,,48-51,,Offensive rebound by J. Noah
9:55.0,,,48-51,,N. Mirotic misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by R. Rubio,,48-51,,
9:40.0,A. Wiggins misses 2-pt shot from 15 ft,,48-51,,
9:39.0,Offensive rebound by N. Pekovic,,48-51,,
9:20.0,R. Rubio misses 2-pt shot from 3 ft (block by N. Mirotic),,48-51,,
9:19.0,Offensive rebound by R. Rubio,,48-51,,
9:15.0,R. Rubio misses 3-pt shot from 23 ft,,48-51,,
9:14.0,Offensive rebound by A. Payne,,48-51,,
9:00.0,R. Rubio makes 3-pt shot from 26 ft,3,51-51,,
8:59.0,,,51-51,,Chicago full timeout
8:40.0,,,51-51,,M. Dunleavy misses 2-pt shot from 19 ft
8:39.0,,,51-51,,Offensive rebound by J. Butler
8:39.0,,,51-51,,J. Butler misses 2-pt shot from 2 ft
8:38.0,,,51-51,,Offensive rebound by J. Butler
8:35.0,,,51-51,,Shooting foul by A. Wiggins (drawn by J. Butler)
8:35.0,,,51-52,1,J. Butler makes free throw 1 of 2
8:35.0,,,51-52,,J. Butler misses free throw 2 of 2
8:34.0,Defensive rebound by A. Payne,,51-52,,
8:11.0,N. Pekovic misses 2-pt shot from 9 ft,,51-52,,
8:11.0,Offensive rebound by Team,,51-52,,
8:11.0,Turnover by Team (shot clock),,51-52,,
7:51.0,,,51-52,,A. Brooks misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by A. Wiggins,,51-52,,
7:40.0,N. Pekovic makes 2-pt shot from 4 ft (assist by K. Martin),2,53-52,,
7:27.0,,,53-52,,M. Dunleavy misses 2-pt shot from 8 ft
7:26.0,Defensive rebound by N. Pekovic,,53-52,,
7:19.0,R. Rubio misses 3-pt shot from 24 ft,,53-52,,
7:18.0,,,53-52,,Defensive rebound by J. Butler
7:07.0,,,53-52,,Shooting foul by A. Payne (drawn by N. Mirotic)
7:07.0,,,53-53,1,N. Mirotic makes free throw 1 of 3
7:07.0,,,53-54,1,N. Mirotic makes free throw 2 of 3
7:07.0,G. Dieng enters the game for A. Payne,,53-54,,
7:07.0,,,53-55,1,N. Mirotic makes free throw 3 of 3
6:50.0,K. Martin misses 2-pt shot from 20 ft,,53-55,,
6:49.0,,,53-55,,Defensive rebound by N. Mirotic
6:41.0,,,53-55,,M. Dunleavy misses 3-pt shot from 24 ft
6:39.0,,,53-55,,Offensive rebound by N. Mirotic
6:39.0,,,53-55,,N. Mirotic misses 2-pt shot from 2 ft
6:37.0,Defensive rebound by G. Dieng,,53-55,,
6:32.0,Shooting foul by M. Dunleavy (drawn by N. Pekovic),,53-55,,
6:32.0,N. Pekovic makes free throw 1 of 2,1,54-55,,
6:32.0,N. Pekovic makes free throw 2 of 2,1,55-55,,
6:22.0,,,55-55,,Shooting foul by K. Martin (drawn by N. Mirotic)
6:22.0,,,55-56,1,N. Mirotic makes free throw 1 of 2
6:22.0,,,55-56,,N. Mirotic misses free throw 2 of 2
6:21.0,,,55-56,,Offensive rebound by J. Noah
6:21.0,,,55-58,2,J. Noah makes 2-pt shot from 2 ft
6:09.0,Shooting foul by A. Brooks (drawn by R. Rubio),,55-58,,
6:09.0,R. Rubio misses free throw 1 of 2,,55-58,,
6:09.0,Offensive rebound by Team,,55-58,,
6:09.0,R. Rubio makes free throw 2 of 2,1,56-58,,
5:56.0,,,56-60,2,J. Butler makes 2-pt shot from 1 ft (assist by N. Mirotic)
5:56.0,,,56-60,,Shooting foul by A. Wiggins (drawn by J. Butler)
5:56.0,Minnesota full timeout,,56-60,,
5:56.0,G. Neal enters the game for N. Pekovic,,56-60,,
5:56.0,,,56-61,1,J. Butler makes free throw 1 of 1
5:46.0,A. Payne enters the game for A. Wiggins,,56-61,,
5:37.0,Turnover by G. Dieng (3 sec),,56-61,,
5:20.0,,,56-61,,Turnover by A. Brooks (bad pass; steal by R. Rubio)
5:17.0,,,56-61,,Personal foul by M. Dunleavy (drawn by K. Martin)
5:11.0,Offensive charge foul by G. Neal,,56-61,,
5:11.0,Turnover by G. Neal (offensive foul),,56-61,,
4:52.0,,,56-61,,N. Mirotic misses 3-pt shot from 23 ft
4:51.0,,,56-61,,Offensive rebound by M. Dunleavy
4:51.0,,,56-63,2,M. Dunleavy makes 2-pt shot from 2 ft
4:33.0,G. Neal misses 2-pt shot from 20 ft,,56-63,,
4:33.0,Offensive rebound by Team,,56-63,,
4:33.0,,,56-63,,Loose ball foul by N. Mirotic (drawn by A. Payne)
4:33.0,,,56-63,,T. Snell enters the game for N. Mirotic
4:23.0,K. Martin makes 2-pt shot from 18 ft,2,58-63,,
4:00.0,,,58-65,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Noah)
3:40.0,K. Martin makes 2-pt shot from 13 ft,2,60-65,,
3:21.0,,,60-68,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by A. Brooks)
3:09.0,Shooting foul by A. Brooks (drawn by R. Rubio),,60-68,,
3:09.0,R. Rubio misses free throw 1 of 2,,60-68,,
3:09.0,Offensive rebound by Team,,60-68,,
3:09.0,,,60-68,,K. Hinrich enters the game for A. Brooks
3:09.0,G. Robinson enters the game for A. Payne,,60-68,,
3:09.0,R. Rubio makes free throw 2 of 2,1,61-68,,
3:00.0,,,61-71,3,T. Snell makes 3-pt shot from 23 ft (assist by K. Hinrich)
2:50.0,G. Neal misses 3-pt shot from 26 ft,,61-71,,
2:49.0,Offensive rebound by R. Rubio,,61-71,,
2:45.0,Offensive charge foul by G. Neal,,61-71,,
2:45.0,Turnover by G. Neal (offensive foul),,61-71,,
2:32.0,,,61-71,,Turnover by J. Noah (lost ball; steal by G. Dieng)
2:22.0,Shooting foul by J. Noah (drawn by G. Dieng),,61-71,,
2:22.0,G. Dieng makes free throw 1 of 2,1,62-71,,
2:22.0,,,62-71,,N. Mohammed enters the game for J. Noah
2:22.0,G. Dieng makes free throw 2 of 2,1,63-71,,
2:03.0,,,63-71,,T. Snell misses 2-pt shot from 2 ft
2:02.0,Defensive rebound by G. Dieng,,63-71,,
1:52.0,Shooting foul by M. Dunleavy (drawn by G. Robinson),,63-71,,
1:52.0,G. Robinson makes free throw 1 of 2,1,64-71,,
1:52.0,G. Robinson makes free throw 2 of 2,1,65-71,,
1:39.0,,,65-71,,Offensive charge foul by N. Mohammed
1:39.0,,,65-71,,Turnover by N. Mohammed (offensive foul)
1:23.0,K. Martin misses 2-pt shot from 22 ft,,65-71,,
1:22.0,,,65-71,,Defensive rebound by T. Snell
1:09.0,,,65-71,,K. Hinrich misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by G. Neal,,65-71,,
1:00.0,R. Rubio makes 2-pt shot from 21 ft,2,67-71,,
0:37.0,Shooting block foul by G. Neal (drawn by J. Butler),,67-71,,
0:37.0,,,67-72,1,J. Butler makes free throw 1 of 2
0:37.0,,,67-73,1,J. Butler makes free throw 2 of 2
0:19.0,Turnover by K. Martin (bad pass; steal by N. Mohammed),,67-73,,
0:02.0,,,67-73,,T. Snell misses 3-pt shot from 25 ft
0:01.0,,,67-73,,Offensive rebound by N. Mohammed
0:01.0,,,67-73,,N. Mohammed misses 2-pt shot from 1 ft
0:00.0,,,67-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,G. Neal makes 2-pt shot from 21 ft (assist by R. Rubio),2,69-73,,
11:30.0,,,69-73,,Turnover by T. Snell (traveling)
11:17.0,G. Neal misses 3-pt shot from 24 ft,,69-73,,
11:16.0,,,69-73,,Defensive rebound by J. Butler
11:07.0,,,69-75,2,J. Butler makes 2-pt shot from 2 ft
10:56.0,,,69-75,,Personal foul by A. Brooks (drawn by R. Rubio)
10:56.0,Z. LaVine enters the game for R. Rubio,,69-75,,
10:45.0,Z. LaVine makes 2-pt shot from 17 ft,2,71-75,,
10:27.0,,,71-75,,J. Butler misses 2-pt shot from 9 ft
10:25.0,,,71-75,,Offensive rebound by Team
10:22.0,,,71-75,,T. Snell misses 3-pt shot from 25 ft
10:21.0,,,71-75,,Offensive rebound by A. Brooks
10:03.0,,,71-75,,Turnover by N. Mohammed (bad pass; steal by Z. LaVine)
9:53.0,Shooting foul by T. Snell (drawn by Z. LaVine),,71-75,,
9:53.0,Z. LaVine makes free throw 1 of 2,1,72-75,,
9:53.0,,,72-75,,J. Noah enters the game for N. Mohammed
9:53.0,Z. LaVine makes free throw 2 of 2,1,73-75,,
9:38.0,,,73-75,,J. Noah misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by Z. LaVine,,73-75,,
9:28.0,Turnover by Z. LaVine (bad pass; steal by J. Butler),,73-75,,
9:25.0,,,73-77,2,J. Butler makes 2-pt shot from 2 ft
9:08.0,G. Dieng makes 2-pt shot from 12 ft,2,75-77,,
8:40.0,,,75-77,,A. Brooks misses 3-pt shot from 23 ft
8:39.0,Defensive rebound by Z. LaVine,,75-77,,
8:33.0,Z. LaVine misses 2-pt shot from 2 ft,,75-77,,
8:32.0,,,75-77,,Defensive rebound by Team
8:32.0,,,75-77,,Chicago full timeout
8:32.0,,,75-77,,N. Mirotic enters the game for J. Butler
8:32.0,N. Pekovic enters the game for K. Martin,,75-77,,
8:32.0,A. Wiggins enters the game for G. Dieng,,75-77,,
8:09.0,,,75-79,2,T. Snell makes 2-pt shot at rim
7:53.0,Z. LaVine makes 2-pt shot from 2 ft,2,77-79,,
7:40.0,,,77-79,,A. Brooks misses 2-pt shot from 2 ft (block by Z. LaVine)
7:38.0,Defensive rebound by Z. LaVine,,77-79,,
7:23.0,A. Wiggins makes 2-pt shot from 19 ft (assist by Z. LaVine),2,79-79,,
7:04.0,,,79-81,2,N. Mirotic makes 2-pt shot from 1 ft
6:37.0,G. Neal misses 3-pt shot from 25 ft,,79-81,,
6:35.0,,,79-81,,Defensive rebound by T. Snell
6:23.0,,,79-84,3,A. Brooks makes 3-pt shot from 24 ft (assist by N. Mirotic)
6:22.0,Minnesota full timeout,,79-84,,
6:22.0,,,79-84,,M. Dunleavy enters the game for A. Brooks
6:22.0,R. Rubio enters the game for Z. LaVine,,79-84,,
6:22.0,A. Payne enters the game for G. Robinson,,79-84,,
6:05.0,G. Neal makes 2-pt shot from 21 ft,2,81-84,,
5:44.0,,,81-84,,Turnover by T. Snell (lost ball; steal by G. Neal)
5:40.0,G. Neal misses 2-pt shot from 16 ft,,81-84,,
5:38.0,Offensive rebound by N. Pekovic,,81-84,,
5:31.0,Shooting foul by J. Noah (drawn by N. Pekovic),,81-84,,
5:31.0,N. Pekovic makes free throw 1 of 2,1,82-84,,
5:31.0,,,82-84,,J. Butler enters the game for N. Mirotic
5:31.0,N. Pekovic makes free throw 2 of 2,1,83-84,,
5:20.0,,,83-84,,T. Snell misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by N. Pekovic,,83-84,,
5:09.0,A. Wiggins makes 2-pt shot from 21 ft (assist by R. Rubio),2,85-84,,
4:49.0,,,85-84,,T. Snell misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by A. Wiggins,,85-84,,
4:38.0,R. Rubio misses 2-pt shot from 18 ft,,85-84,,
4:37.0,,,85-84,,Defensive rebound by J. Noah
4:29.0,,,85-86,2,K. Hinrich makes 2-pt shot from 2 ft
4:08.0,A. Wiggins misses 2-pt shot from 17 ft,,85-86,,
4:06.0,Offensive rebound by N. Pekovic,,85-86,,
4:06.0,N. Pekovic misses 2-pt shot from 1 ft,,85-86,,
