time,Philadelphia,pts.away,score,pts.home,Oklahoma City
5:10.0,L. Mbah a Moute makes 2-pt shot at rim,2,21-13,,
4:57.0,,,21-15,2,N. Collison makes 2-pt shot at rim (assist by D. Waiters)
4:57.0,,,21-15,,Shooting foul by N. Noel (drawn by N. Collison)
4:57.0,T. Robinson enters the game for N. Noel,,21-15,,
4:57.0,,,21-15,,Turnover by S. Ibaka (lane violation.)
4:44.0,I. Canaan makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,24-15,,
4:25.0,,,24-15,,N. Collison misses 2-pt shot from 1 ft (block by J. Grant)
4:23.0,Defensive rebound by L. Mbah a Moute,,24-15,,
4:20.0,H. Sims enters the game for L. Mbah a Moute,,24-15,,
4:20.0,,,24-15,,A. Morrow enters the game for K. Singler
4:20.0,,,24-15,,Inbound foul by A. Morrow
4:20.0,J. Grant makes free throw 1 of 2,1,25-15,,
4:20.0,J. Grant makes free throw 2 of 2,1,26-15,,
4:05.0,Shooting block foul by J. Grant (drawn by R. Westbrook),,26-15,,
4:05.0,,,26-16,1,R. Westbrook makes free throw 1 of 2
4:05.0,I. Smith enters the game for J. Grant,,26-16,,
4:05.0,,,26-17,1,R. Westbrook makes free throw 2 of 2
3:49.0,I. Canaan makes 3-pt shot from 25 ft (assist by T. Robinson),3,29-17,,
3:35.0,,,29-17,,Turnover by R. Westbrook (lost ball; steal by T. Robinson)
3:30.0,I. Canaan makes 3-pt shot from 25 ft,3,32-17,,
3:29.0,,,32-17,,Oklahoma City full timeout
3:24.0,,,32-19,2,R. Westbrook makes 2-pt shot at rim
3:04.0,H. Thompson misses 3-pt shot from 24 ft,,32-19,,
3:03.0,,,32-19,,Defensive rebound by D. Waiters
2:57.0,,,32-22,3,A. Morrow makes 3-pt shot from 23 ft (assist by D. Waiters)
2:36.0,I. Canaan misses 3-pt shot from 25 ft,,32-22,,
2:35.0,,,32-22,,Defensive rebound by S. Ibaka
2:29.0,,,32-22,,D. Waiters misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by I. Canaan,,32-22,,
2:13.0,H. Sims misses 2-pt shot from 14 ft,,32-22,,
2:12.0,,,32-22,,Defensive rebound by R. Westbrook
2:07.0,Personal foul by H. Sims (drawn by N. Collison),,32-22,,
2:07.0,,,32-23,1,N. Collison makes free throw 1 of 2
2:07.0,,,32-23,,M. McGary enters the game for S. Ibaka
2:07.0,,,32-24,1,N. Collison makes free throw 2 of 2
1:48.0,I. Smith misses 3-pt shot from 23 ft,,32-24,,
1:45.0,,,32-24,,Defensive rebound by N. Collison
1:40.0,,,32-27,3,A. Morrow makes 3-pt shot from 22 ft (assist by R. Westbrook)
1:24.0,Offensive charge foul by H. Thompson,,32-27,,
1:24.0,Turnover by H. Thompson (offensive foul),,32-27,,
1:05.0,,,32-27,,A. Morrow misses 2-pt shot from 8 ft
1:03.0,,,32-27,,Offensive rebound by R. Westbrook
1:00.0,,,32-30,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
0:48.0,I. Smith misses 2-pt shot from 11 ft,,32-30,,
0:47.0,,,32-30,,Defensive rebound by Team
0:46.0,Loose ball foul by H. Sims (drawn by A. Morrow),,32-30,,
0:46.0,,,32-31,1,A. Morrow makes free throw 1 of 2
0:46.0,,,32-32,1,A. Morrow makes free throw 2 of 2
0:33.0,H. Sims makes 2-pt shot from 17 ft (assist by I. Smith),2,34-32,,
0:29.0,,,34-35,3,R. Westbrook makes 3-pt shot from 25 ft
0:05.0,T. Robinson misses 2-pt shot from 2 ft,,34-35,,
0:04.0,,,34-35,,Defensive rebound by R. Westbrook
0:00.0,,,34-37,2,M. McGary makes 2-pt shot from 5 ft (assist by R. Westbrook)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,J. Richardson misses 2-pt shot from 17 ft,,34-37,,
11:34.0,,,34-37,,Defensive rebound by M. McGary
11:17.0,,,34-39,2,D. Waiters makes 2-pt shot from 11 ft (assist by A. Morrow)
10:56.0,J. Richardson misses 3-pt shot from 24 ft,,34-39,,
10:55.0,Offensive rebound by H. Sims,,34-39,,
10:53.0,Shooting foul by N. Collison (drawn by J. Grant),,34-39,,
10:53.0,J. Grant misses free throw 1 of 2,,34-39,,
10:53.0,Offensive rebound by Team,,34-39,,
10:53.0,N. Noel enters the game for H. Sims,,34-39,,
10:53.0,J. Grant makes free throw 2 of 2,1,35-39,,
10:40.0,,,35-39,,Shooting foul by J. Richardson (drawn by D. Waiters)
10:40.0,,,35-39,,D. Waiters misses free throw 1 of 2
10:40.0,,,35-39,,Offensive rebound by Team
10:40.0,,,35-39,,D. Waiters misses free throw 2 of 2
10:39.0,Defensive rebound by N. Noel,,35-39,,
10:31.0,,,35-39,,Def 3 sec tech foul by M. McGary
10:31.0,J. Richardson makes technical free throw,1,36-39,,
10:24.0,Shooting foul by N. Collison (drawn by J. Grant),,36-39,,
10:24.0,J. Grant makes free throw 1 of 2,1,37-39,,
10:24.0,J. Grant makes free throw 2 of 2,1,38-39,,
10:14.0,,,38-39,,A. Morrow misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by N. Noel,,38-39,,
9:59.0,J. Richardson misses 2-pt shot from 9 ft,,38-39,,
9:58.0,,,38-39,,Defensive rebound by N. Collison
9:56.0,Personal foul by J. Grant (drawn by D. Augustin),,38-39,,
9:56.0,J. Sampson enters the game for J. Grant,,38-39,,
9:56.0,L. Mbah a Moute enters the game for T. Robinson,,38-39,,
9:46.0,,,38-41,2,M. McGary makes 2-pt shot from 1 ft (assist by N. Collison)
9:34.0,Turnover by I. Smith (lost ball; steal by N. Collison),,38-41,,
9:26.0,,,38-41,,N. Collison misses 2-pt shot from 16 ft
9:25.0,Defensive rebound by J. Richardson,,38-41,,
9:10.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,38-41,,
9:09.0,,,38-41,,Defensive rebound by D. Augustin
9:01.0,,,38-41,,D. Augustin misses 2-pt shot from 16 ft
9:00.0,Defensive rebound by L. Mbah a Moute,,38-41,,
8:38.0,I. Smith misses 2-pt shot at rim,,38-41,,
8:37.0,,,38-41,,Defensive rebound by M. McGary
8:30.0,,,38-41,,Turnover by D. Augustin (traveling)
8:12.0,I. Smith makes 2-pt shot from 3 ft,2,40-41,,
7:58.0,,,40-43,2,D. Waiters makes 2-pt shot from 16 ft
7:50.0,I. Smith misses 2-pt shot from 6 ft,,40-43,,
7:48.0,,,40-43,,Defensive rebound by N. Collison
7:37.0,,,40-45,2,D. Waiters makes 2-pt shot from 1 ft
7:24.0,,,40-45,,Def 3 sec tech foul by N. Collison
7:24.0,J. Richardson makes technical free throw,1,41-45,,
7:24.0,,,41-45,,S. Ibaka enters the game for N. Collison
7:24.0,,,41-45,,E. Kanter enters the game for A. Morrow
7:24.0,,,41-45,,R. Westbrook enters the game for M. McGary
7:15.0,J. Sampson makes 2-pt shot from 2 ft,2,43-45,,
6:55.0,,,43-45,,D. Waiters misses 2-pt shot from 18 ft
6:54.0,Defensive rebound by J. Richardson,,43-45,,
6:49.0,,,43-45,,Violation by S. Ibaka (def goaltending)
6:49.0,J. Richardson makes 2-pt shot from 1 ft,2,45-45,,
6:34.0,,,45-45,,D. Augustin misses 2-pt shot from 3 ft (block by N. Noel)
6:32.0,Defensive rebound by I. Smith,,45-45,,
6:27.0,J. Sampson misses 3-pt shot from 22 ft,,45-45,,
6:26.0,,,45-45,,Defensive rebound by R. Westbrook
6:20.0,,,45-47,2,R. Westbrook makes 2-pt shot from 17 ft
6:02.0,,,45-47,,Personal foul by E. Kanter (drawn by N. Noel)
6:02.0,I. Canaan enters the game for I. Smith,,45-47,,
5:51.0,Shooting foul by S. Ibaka (drawn by L. Mbah a Moute),,45-47,,
5:51.0,,,45-47,,Oklahoma City full timeout
5:51.0,L. Mbah a Moute misses free throw 1 of 2,,45-47,,
5:51.0,Offensive rebound by Team,,45-47,,
5:51.0,L. Mbah a Moute misses free throw 2 of 2,,45-47,,
5:50.0,,,45-47,,Defensive rebound by D. Waiters
5:33.0,,,45-47,,D. Augustin misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by J. Richardson,,45-47,,
5:17.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by S. Ibaka),,45-47,,
5:16.0,,,45-47,,Defensive rebound by E. Kanter
5:04.0,,,45-47,,S. Ibaka misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by L. Mbah a Moute,,45-47,,
4:59.0,J. Sampson makes 2-pt shot from 3 ft,2,47-47,,
4:59.0,Shooting foul by D. Augustin (drawn by J. Sampson),,47-47,,
4:59.0,H. Thompson enters the game for J. Richardson,,47-47,,
4:59.0,J. Sampson makes free throw 1 of 1,1,48-47,,
4:46.0,,,48-49,2,D. Augustin makes 2-pt shot from 2 ft
4:34.0,N. Noel makes 2-pt shot from 4 ft,2,50-49,,
4:26.0,,,50-49,,K. Singler enters the game for D. Waiters
4:18.0,,,50-51,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:01.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,50-51,,
4:00.0,,,50-51,,Defensive rebound by K. Singler
3:55.0,,,50-51,,Shooting foul by J. Sampson (drawn by R. Westbrook)
3:55.0,,,50-52,1,R. Westbrook makes free throw 1 of 2
3:55.0,T. Robinson enters the game for J. Sampson,,50-52,,
3:55.0,,,50-52,,R. Westbrook misses free throw 2 of 2
3:55.0,Defensive rebound by I. Canaan,,50-52,,
3:40.0,T. Robinson misses 2-pt shot from 1 ft,,50-52,,
3:39.0,Offensive rebound by T. Robinson,,50-52,,
3:36.0,T. Robinson misses 2-pt shot from 2 ft,,50-52,,
3:35.0,Offensive rebound by L. Mbah a Moute,,50-52,,
3:35.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,50-52,,
3:35.0,Offensive rebound by L. Mbah a Moute,,50-52,,
3:35.0,Shooting foul by K. Singler (drawn by L. Mbah a Moute),,50-52,,
3:35.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,52-52,,
3:35.0,,,52-52,,M. McGary enters the game for S. Ibaka
3:35.0,L. Mbah a Moute makes free throw 1 of 1,1,53-52,,
3:19.0,,,53-52,,E. Kanter misses 2-pt shot at rim
3:18.0,Defensive rebound by T. Robinson,,53-52,,
3:07.0,I. Canaan misses 3-pt shot from 24 ft,,53-52,,
3:07.0,,,53-52,,Defensive rebound by K. Singler
3:01.0,,,53-52,,R. Westbrook misses 2-pt shot from 16 ft
3:00.0,Defensive rebound by L. Mbah a Moute,,53-52,,
2:46.0,Turnover by H. Thompson (lost ball; steal by R. Westbrook),,53-52,,
2:42.0,,,53-54,2,R. Westbrook makes 2-pt shot at rim (assist by D. Augustin)
2:41.0,Philadelphia full timeout,,53-54,,
2:27.0,N. Noel misses 2-pt shot from 16 ft,,53-54,,
2:26.0,,,53-54,,Defensive rebound by R. Westbrook
2:07.0,,,53-54,,Turnover by K. Singler (bad pass; steal by N. Noel)
2:02.0,I. Canaan makes 2-pt shot from 3 ft,2,55-54,,
1:39.0,,,55-54,,R. Westbrook misses 2-pt shot from 15 ft
1:38.0,Defensive rebound by N. Noel,,55-54,,
1:29.0,L. Mbah a Moute misses 2-pt shot from 23 ft,,55-54,,
1:28.0,,,55-54,,Defensive rebound by M. McGary
1:16.0,,,55-54,,D. Augustin misses 2-pt shot from 1 ft
1:14.0,,,55-54,,Offensive rebound by E. Kanter
1:14.0,,,55-56,2,E. Kanter makes 2-pt shot from 1 ft
0:57.0,N. Noel misses 2-pt shot at rim,,55-56,,
0:55.0,Offensive rebound by T. Robinson,,55-56,,
0:53.0,Shooting foul by R. Westbrook (drawn by N. Noel),,55-56,,
0:53.0,N. Noel makes free throw 1 of 2,1,56-56,,
0:53.0,,,56-56,,N. Collison enters the game for E. Kanter
0:53.0,N. Noel makes free throw 2 of 2,1,57-56,,
0:46.0,Personal foul by T. Robinson (drawn by N. Collison),,57-56,,
0:34.0,,,57-56,,M. McGary misses 2-pt shot from 5 ft
0:33.0,Defensive rebound by T. Robinson,,57-56,,
0:32.0,,,57-56,,Personal foul by M. McGary (drawn by T. Robinson)
0:32.0,T. Robinson makes free throw 1 of 2,1,58-56,,
0:32.0,T. Robinson makes free throw 2 of 2,1,59-56,,
0:13.0,,,59-56,,R. Westbrook misses 2-pt shot from 2 ft
0:12.0,Defensive rebound by I. Canaan,,59-56,,
0:03.0,Turnover by I. Canaan (lost ball),,59-56,,
0:00.0,,,59-56,,R. Westbrook misses 2-pt shot from 6 ft (block by N. Noel)
0:00.0,,,59-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,J. Richardson misses 3-pt shot from 23 ft,,59-56,,
11:49.0,,,59-56,,Defensive rebound by E. Kanter
11:36.0,,,59-56,,E. Kanter misses 2-pt shot from 3 ft
11:36.0,,,59-56,,Offensive rebound by Team
11:36.0,Loose ball foul by L. Mbah a Moute (drawn by S. Ibaka),,59-56,,
11:27.0,,,59-58,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
11:05.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,59-58,,
11:04.0,Offensive rebound by L. Mbah a Moute,,59-58,,
11:00.0,I. Canaan makes 3-pt shot from 25 ft (assist by L. Mbah a Moute),3,62-58,,
10:45.0,Personal foul by J. Sampson (drawn by R. Westbrook),,62-58,,
10:39.0,,,62-60,2,R. Westbrook makes 2-pt shot from 1 ft
10:16.0,N. Noel misses 2-pt shot from 9 ft,,62-60,,
10:15.0,,,62-60,,Defensive rebound by K. Singler
10:07.0,,,62-60,,Offensive foul by S. Ibaka
10:07.0,,,62-60,,Turnover by S. Ibaka (offensive foul)
10:07.0,J. Grant enters the game for J. Sampson,,62-60,,
9:56.0,,,62-60,,Personal foul by A. Roberson (drawn by J. Richardson)
9:49.0,Shooting foul by S. Ibaka (drawn by L. Mbah a Moute),,62-60,,
9:49.0,L. Mbah a Moute makes free throw 1 of 2,1,63-60,,
9:49.0,L. Mbah a Moute makes free throw 2 of 2,1,64-60,,
9:32.0,,,64-60,,Turnover by S. Ibaka (bad pass)
9:18.0,J. Richardson misses 3-pt shot from 23 ft,,64-60,,
9:17.0,,,64-60,,Defensive rebound by R. Westbrook
9:09.0,,,64-60,,R. Westbrook misses 2-pt shot from 11 ft
9:07.0,,,64-60,,Offensive rebound by E. Kanter
9:07.0,,,64-60,,E. Kanter misses 2-pt shot from 1 ft
9:06.0,Defensive rebound by J. Grant,,64-60,,
8:49.0,L. Mbah a Moute makes 2-pt shot at rim,2,66-60,,
8:35.0,,,66-60,,K. Singler misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by L. Mbah a Moute,,66-60,,
8:28.0,Shooting foul by R. Westbrook (drawn by I. Canaan),,66-60,,
8:28.0,I. Canaan makes free throw 1 of 3,1,67-60,,
8:28.0,I. Canaan makes free throw 2 of 3,1,68-60,,
8:28.0,T. Robinson enters the game for L. Mbah a Moute,,68-60,,
8:28.0,I. Canaan makes free throw 3 of 3,1,69-60,,
8:07.0,,,69-60,,K. Singler misses 3-pt shot from 22 ft
8:06.0,Defensive rebound by N. Noel,,69-60,,
7:58.0,I. Canaan makes 3-pt shot from 24 ft,3,72-60,,
7:58.0,,,72-60,,Oklahoma City full timeout
7:58.0,,,72-60,,D. Augustin enters the game for K. Singler
7:58.0,,,72-60,,D. Waiters enters the game for A. Roberson
7:42.0,,,72-60,,D. Augustin misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by T. Robinson,,72-60,,
7:20.0,I. Canaan makes 3-pt shot from 24 ft (assist by N. Noel),3,75-60,,
7:06.0,,,75-62,2,R. Westbrook makes 2-pt shot from 17 ft
6:50.0,,,75-62,,Personal foul by E. Kanter (drawn by N. Noel)
6:42.0,T. Robinson misses 2-pt shot from 16 ft,,75-62,,
6:42.0,,,75-62,,Defensive rebound by E. Kanter
6:34.0,,,75-64,2,R. Westbrook makes 2-pt shot from 14 ft (assist by D. Waiters)
6:21.0,J. Richardson makes 2-pt shot from 19 ft (assist by T. Robinson),2,77-64,,
6:06.0,,,77-64,,R. Westbrook misses 2-pt shot from 2 ft (block by N. Noel)
6:05.0,Defensive rebound by T. Robinson,,77-64,,
5:59.0,J. Grant misses 2-pt shot from 2 ft (block by S. Ibaka),,77-64,,
5:57.0,Offensive rebound by T. Robinson,,77-64,,
5:52.0,T. Robinson misses 2-pt shot from 15 ft,,77-64,,
5:49.0,,,77-64,,Defensive rebound by R. Westbrook
5:47.0,Violation by T. Robinson (def goaltending),,77-64,,
5:47.0,,,77-66,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
5:33.0,J. Richardson makes 3-pt shot from 24 ft (assist by I. Canaan),3,80-66,,
5:15.0,,,80-66,,R. Westbrook misses 2-pt shot from 5 ft (block by N. Noel)
5:13.0,Defensive rebound by I. Canaan,,80-66,,
5:09.0,J. Richardson makes 2-pt shot from 6 ft (assist by I. Canaan),2,82-66,,
4:54.0,,,82-68,2,D. Waiters makes 2-pt shot from 15 ft
4:33.0,Turnover by J. Grant (lost ball; steal by E. Kanter),,82-68,,
4:31.0,,,82-68,,Shooting foul by J. Richardson (drawn by R. Westbrook)
4:31.0,,,82-69,1,R. Westbrook makes free throw 1 of 2
4:31.0,,,82-69,,M. McGary enters the game for S. Ibaka
4:31.0,,,82-70,1,R. Westbrook makes free throw 2 of 2
4:16.0,Shooting foul by D. Waiters (drawn by J. Richardson),,82-70,,
4:16.0,J. Richardson makes free throw 1 of 2,1,83-70,,
4:16.0,J. Richardson makes free throw 2 of 2,1,84-70,,
4:04.0,,,84-70,,R. Westbrook misses 3-pt shot from 23 ft
4:03.0,Defensive rebound by T. Robinson,,84-70,,
3:58.0,N. Noel makes 2-pt shot at rim (assist by J. Richardson),2,86-70,,
3:38.0,,,86-72,2,D. Waiters makes 2-pt shot from 14 ft (assist by R. Westbrook)
3:37.0,Philadelphia full timeout,,86-72,,
3:37.0,,,86-72,,N. Collison enters the game for E. Kanter
3:37.0,L. Mbah a Moute enters the game for J. Richardson,,86-72,,
3:16.0,L. Mbah a Moute makes 2-pt shot from 13 ft,2,88-72,,
3:01.0,,,88-74,2,D. Waiters makes 2-pt shot from 14 ft
2:53.0,Turnover by J. Grant (traveling),,88-74,,
2:53.0,I. Smith enters the game for I. Canaan,,88-74,,
2:53.0,H. Sims enters the game for N. Noel,,88-74,,
2:40.0,,,88-74,,R. Westbrook misses 3-pt shot from 24 ft
2:39.0,,,88-74,,Offensive rebound by R. Westbrook
2:39.0,,,88-74,,Shooting foul by T. Robinson (drawn by R. Westbrook)
2:39.0,,,88-75,1,R. Westbrook makes free throw 1 of 2
2:39.0,,,88-76,1,R. Westbrook makes free throw 2 of 2
2:27.0,J. Grant misses 3-pt shot from 22 ft,,88-76,,
2:27.0,Offensive rebound by Team,,88-76,,
2:27.0,,,88-76,,Loose ball foul by N. Collison (drawn by H. Sims)
2:27.0,H. Sims makes free throw 1 of 2,1,89-76,,
2:27.0,H. Thompson enters the game for J. Grant,,89-76,,
2:27.0,,,89-76,,A. Morrow enters the game for R. Westbrook
2:27.0,H. Sims makes free throw 2 of 2,1,90-76,,
2:14.0,,,90-78,2,D. Waiters makes 2-pt shot from 1 ft
2:14.0,,,90-78,,Shooting foul by L. Mbah a Moute (drawn by D. Waiters)
2:14.0,,,90-79,1,D. Waiters makes free throw 1 of 1
1:54.0,H. Thompson misses 2-pt shot from 2 ft (block by M. McGary),,90-79,,
1:52.0,Offensive rebound by H. Thompson,,90-79,,
1:49.0,L. Mbah a Moute misses 2-pt shot from 16 ft,,90-79,,
1:48.0,,,90-79,,Defensive rebound by D. Waiters
1:42.0,,,90-79,,A. Morrow misses 3-pt shot from 23 ft
1:39.0,,,90-79,,Offensive rebound by N. Collison
1:26.0,,,90-82,3,D. Waiters makes 3-pt shot from 24 ft (assist by D. Augustin)
0:58.0,H. Thompson misses 2-pt shot from 15 ft,,90-82,,
0:57.0,,,90-82,,Defensive rebound by N. Collison
0:52.0,,,90-82,,A. Morrow misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by L. Mbah a Moute,,90-82,,
0:35.0,,,90-82,,Personal foul by N. Collison (drawn by I. Smith)
0:35.0,I. Smith misses free throw 1 of 2,,90-82,,
0:35.0,Offensive rebound by Team,,90-82,,
0:35.0,N. Noel enters the game for T. Robinson,,90-82,,
0:35.0,I. Smith misses free throw 2 of 2,,90-82,,
0:34.0,,,90-82,,Defensive rebound by D. Augustin
0:28.0,,,90-84,2,D. Augustin makes 2-pt shot from 1 ft
0:07.0,Turnover by N. Noel (lost ball),,90-84,,
0:02.0,,,90-84,,D. Waiters misses 2-pt shot from 16 ft
0:01.0,Defensive rebound by N. Noel,,90-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,90-84,,Shooting foul by I. Smith (drawn by D. Augustin)
11:50.0,,,90-85,1,D. Augustin makes free throw 1 of 2
11:50.0,,,90-86,1,D. Augustin makes free throw 2 of 2
11:38.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by M. McGary),,90-86,,
11:36.0,,,90-86,,Defensive rebound by N. Collison
11:23.0,,,90-88,2,D. Augustin makes 2-pt shot from 6 ft
10:55.0,H. Thompson misses 3-pt shot from 23 ft,,90-88,,
10:54.0,Offensive rebound by H. Sims,,90-88,,
10:51.0,H. Sims misses 2-pt shot from 2 ft,,90-88,,
10:50.0,,,90-88,,Defensive rebound by D. Waiters
10:45.0,,,90-88,,D. Waiters misses 2-pt shot from 3 ft
10:44.0,,,90-88,,Offensive rebound by M. McGary
10:41.0,,,90-88,,A. Morrow misses 3-pt shot from 22 ft
10:40.0,Defensive rebound by J. Sampson,,90-88,,
10:31.0,Turnover by J. Sampson (bad pass; steal by D. Augustin),,90-88,,
10:28.0,,,90-88,,D. Augustin misses 2-pt shot from 3 ft (block by I. Smith)
10:26.0,,,90-88,,Offensive rebound by D. Waiters
10:18.0,,,90-90,2,N. Collison makes 2-pt shot at rim (assist by A. Morrow)
10:18.0,Philadelphia full timeout,,90-90,,
10:18.0,I. Canaan enters the game for J. Sampson,,90-90,,
10:18.0,J. Richardson enters the game for H. Thompson,,90-90,,
10:18.0,J. Grant enters the game for H. Sims,,90-90,,
10:18.0,N. Noel enters the game for I. Smith,,90-90,,
10:01.0,I. Canaan misses 3-pt shot from 23 ft,,90-90,,
10:00.0,,,90-90,,Defensive rebound by D. Augustin
9:57.0,,,90-90,,Offensive foul by D. Augustin
9:57.0,,,90-90,,Turnover by D. Augustin (offensive foul)
9:40.0,J. Richardson misses 2-pt shot from 10 ft,,90-90,,
9:39.0,,,90-90,,Defensive rebound by D. Augustin
