time,New Orleans,pts.away,score,pts.home,Philadelphia
10:55.0,,,25-34,,H. Sims misses free throw 2 of 2
10:53.0,Defensive rebound by A. Ajinca,,25-34,,
10:32.0,Q. Pondexter misses 2-pt shot from 2 ft,,25-34,,
10:30.0,,,25-34,,Defensive rebound by H. Thompson
10:21.0,,,25-34,,H. Sims misses 2-pt shot from 13 ft
10:19.0,Defensive rebound by A. Ajinca,,25-34,,
10:15.0,Shooting foul by J. Sampson (drawn by E. Gordon),,25-34,,
10:15.0,E. Gordon makes free throw 1 of 2,1,26-34,,
10:15.0,,,26-34,,L. Mbah a Moute enters the game for J. Grant
10:15.0,E. Gordon makes free throw 2 of 2,1,27-34,,
9:53.0,,,27-34,,H. Sims misses 2-pt shot from 1 ft
9:51.0,,,27-34,,Offensive rebound by H. Thompson
9:51.0,,,27-36,2,H. Thompson makes 2-pt shot from 1 ft
9:31.0,A. Ajinca makes 2-pt shot from 8 ft (assist by J. Fredette),2,29-36,,
9:07.0,,,29-38,2,L. Drew makes 2-pt shot from 21 ft (assist by H. Sims)
8:49.0,E. Gordon makes 3-pt shot from 25 ft,3,32-38,,
8:48.0,,,32-38,,Philadelphia full timeout
8:48.0,,,32-38,,M. Carter-Williams enters the game for J. Sampson
8:48.0,,,32-38,,K. McDaniels enters the game for H. Sims
8:48.0,,,32-38,,N. Noel enters the game for L. Drew
8:32.0,,,32-38,,K. McDaniels misses 2-pt shot from 2 ft
8:30.0,Defensive rebound by A. Ajinca,,32-38,,
8:10.0,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Fredette),2,34-38,,
7:58.0,Violation by D. Cunningham (kicked ball),,34-38,,
7:58.0,,,34-38,,R. Covington enters the game for H. Thompson
7:47.0,,,34-38,,M. Carter-Williams misses 2-pt shot from 21 ft
7:46.0,Defensive rebound by D. Cunningham,,34-38,,
7:33.0,A. Ajinca makes 2-pt shot from 4 ft (assist by E. Gordon),2,36-38,,
7:17.0,,,36-38,,Shooting foul by Q. Pondexter (drawn by M. Carter-Williams)
7:17.0,,,36-38,,M. Carter-Williams misses free throw 1 of 2
7:17.0,,,36-38,,Offensive rebound by Team
7:17.0,,,36-39,1,M. Carter-Williams makes free throw 2 of 2
7:07.0,Shooting foul by L. Mbah a Moute (drawn by A. Ajinca),,36-39,,
7:07.0,A. Ajinca makes free throw 1 of 2,1,37-39,,
7:07.0,R. Anderson enters the game for J. Fredette,,37-39,,
7:07.0,A. Ajinca makes free throw 2 of 2,1,38-39,,
6:55.0,,,38-39,,L. Mbah a Moute misses 3-pt shot from 26 ft
6:54.0,Defensive rebound by R. Anderson,,38-39,,
6:40.0,Shooting foul by N. Noel (drawn by E. Gordon),,38-39,,
6:40.0,E. Gordon misses free throw 1 of 2,,38-39,,
6:40.0,Offensive rebound by Team,,38-39,,
6:40.0,T. Evans enters the game for Q. Pondexter,,38-39,,
6:40.0,E. Gordon misses free throw 2 of 2,,38-39,,
6:38.0,,,38-39,,Defensive rebound by N. Noel
6:28.0,,,38-41,2,M. Carter-Williams makes 2-pt shot from 1 ft
6:09.0,E. Gordon misses 3-pt shot from 25 ft,,38-41,,
6:07.0,,,38-41,,Defensive rebound by N. Noel
5:59.0,,,38-41,,R. Covington misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by D. Cunningham,,38-41,,
5:44.0,R. Anderson misses 3-pt shot from 25 ft,,38-41,,
5:42.0,,,38-41,,Defensive rebound by R. Covington
5:26.0,,,38-43,2,M. Carter-Williams makes 2-pt shot at rim (assist by R. Covington)
5:26.0,,,38-43,,Shooting foul by A. Ajinca (drawn by M. Carter-Williams)
5:26.0,Official timeout,,38-43,,
5:26.0,O. Asik enters the game for A. Ajinca,,38-43,,
5:26.0,,,38-44,1,M. Carter-Williams makes free throw 1 of 1
5:11.0,Turnover by T. Evans (bad pass),,38-44,,
4:51.0,,,38-44,,N. Noel misses 2-pt shot from 12 ft
4:50.0,Defensive rebound by E. Gordon,,38-44,,
4:32.0,D. Cunningham misses 2-pt shot from 20 ft,,38-44,,
4:30.0,Offensive rebound by O. Asik,,38-44,,
4:25.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans),3,41-44,,
4:07.0,,,41-44,,Shooting foul by O. Asik (drawn by K. McDaniels)
4:07.0,,,41-44,,K. McDaniels misses free throw 1 of 2
4:07.0,,,41-44,,Offensive rebound by Team
4:07.0,,,41-45,1,K. McDaniels makes free throw 2 of 2
3:53.0,Turnover by T. Evans (bad pass; steal by M. Carter-Williams),,41-45,,
3:46.0,,,41-45,,K. McDaniels misses 3-pt shot from 23 ft
3:43.0,Defensive rebound by D. Cunningham,,41-45,,
3:37.0,E. Gordon misses 2-pt shot from 1 ft,,41-45,,
3:37.0,Offensive rebound by D. Cunningham,,41-45,,
3:35.0,D. Cunningham misses 2-pt shot from 1 ft,,41-45,,
3:33.0,,,41-45,,Defensive rebound by L. Mbah a Moute
3:18.0,,,41-45,,Shooting foul by D. Cunningham (drawn by N. Noel)
3:18.0,,,41-46,1,N. Noel makes free throw 1 of 2
3:18.0,Q. Pondexter enters the game for D. Cunningham,,41-46,,
3:18.0,,,41-46,,N. Noel misses free throw 2 of 2
3:17.0,Defensive rebound by O. Asik,,41-46,,
2:58.0,O. Asik misses 2-pt shot at rim,,41-46,,
2:56.0,,,41-46,,Defensive rebound by N. Noel
2:49.0,,,41-48,2,R. Covington makes 2-pt shot at rim (assist by K. McDaniels)
2:28.0,T. Evans misses 3-pt shot from 24 ft,,41-48,,
2:25.0,,,41-48,,Defensive rebound by N. Noel
2:13.0,New Orleans full timeout,,41-48,,
2:13.0,,,41-48,,H. Thompson enters the game for R. Covington
2:13.0,,,41-48,,J. Grant enters the game for K. McDaniels
2:07.0,,,41-48,,L. Mbah a Moute misses 2-pt shot from 19 ft
2:06.0,Defensive rebound by O. Asik,,41-48,,
1:47.0,E. Gordon makes 2-pt shot from 3 ft,2,43-48,,
1:25.0,,,43-48,,M. Carter-Williams misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by E. Gordon,,43-48,,
1:08.0,T. Evans misses 2-pt shot from 5 ft (block by N. Noel),,43-48,,
1:06.0,Offensive rebound by O. Asik,,43-48,,
1:06.0,,,43-48,,Personal foul by J. Grant (drawn by O. Asik)
1:06.0,O. Asik misses free throw 1 of 2,,43-48,,
1:06.0,Offensive rebound by Team,,43-48,,
1:06.0,,,43-48,,J. Sampson enters the game for J. Grant
1:06.0,O. Asik makes free throw 2 of 2,1,44-48,,
0:55.0,,,44-48,,M. Carter-Williams misses 2-pt shot from 4 ft
0:53.0,Defensive rebound by O. Asik,,44-48,,
0:49.0,Shooting foul by J. Sampson (drawn by O. Asik),,44-48,,
0:49.0,O. Asik makes free throw 1 of 2,1,45-48,,
0:49.0,O. Asik misses free throw 2 of 2,,45-48,,
0:48.0,,,45-48,,Defensive rebound by Team
0:47.0,,,45-48,,Philadelphia full timeout
0:47.0,,,45-48,,R. Covington enters the game for J. Sampson
0:41.0,,,45-48,,R. Covington misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by R. Anderson,,45-48,,
0:26.0,E. Gordon misses 2-pt shot from 5 ft,,45-48,,
0:24.0,Offensive rebound by O. Asik,,45-48,,
0:24.0,O. Asik misses 2-pt shot from 1 ft (block by N. Noel),,45-48,,
0:21.0,,,45-48,,Defensive rebound by M. Carter-Williams
0:06.0,Personal foul by R. Anderson (drawn by N. Noel),,45-48,,
0:06.0,,,45-49,1,N. Noel makes free throw 1 of 2
0:06.0,,,45-49,,J. Sampson enters the game for R. Covington
0:06.0,,,45-49,,K. McDaniels enters the game for H. Thompson
0:06.0,,,45-50,1,N. Noel makes free throw 2 of 2
0:01.0,Q. Pondexter misses 2-pt shot from 3 ft,,45-50,,
0:00.0,Offensive rebound by O. Asik,,45-50,,
0:00.0,O. Asik makes 2-pt shot from 1 ft,2,47-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,O. Asik misses 2-pt shot from 4 ft (block by N. Noel),,47-50,,
11:43.0,,,47-50,,Defensive rebound by L. Mbah a Moute
11:37.0,,,47-50,,R. Covington misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by E. Gordon,,47-50,,
11:25.0,Turnover by T. Evans (bad pass; steal by N. Noel),,47-50,,
11:20.0,,,47-50,,Shooting foul by D. Cunningham (drawn by R. Covington)
11:20.0,,,47-51,1,R. Covington makes free throw 1 of 2
11:20.0,,,47-52,1,R. Covington makes free throw 2 of 2
10:57.0,E. Gordon makes 2-pt shot from 1 ft,2,49-52,,
10:46.0,,,49-52,,N. Noel misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by R. Anderson,,49-52,,
10:40.0,D. Cunningham misses 2-pt shot at rim (block by K. McDaniels),,49-52,,
10:38.0,,,49-52,,Defensive rebound by R. Covington
10:32.0,,,49-52,,K. McDaniels misses 3-pt shot from 23 ft
10:28.0,Defensive rebound by R. Anderson,,49-52,,
10:21.0,E. Gordon misses 2-pt shot from 1 ft (block by R. Covington),,49-52,,
10:19.0,Offensive rebound by O. Asik,,49-52,,
10:18.0,O. Asik makes 2-pt shot from 1 ft,2,51-52,,
10:14.0,,,51-52,,Philadelphia full timeout
10:02.0,,,51-54,2,K. McDaniels makes 2-pt shot from 3 ft (assist by N. Noel)
9:49.0,Turnover by T. Evans (lost ball; steal by M. Carter-Williams),,51-54,,
9:48.0,Personal foul by O. Asik (drawn by R. Covington),,51-54,,
9:38.0,,,51-56,2,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams)
9:11.0,Turnover by Team (shot clock),,51-56,,
8:55.0,,,51-58,2,K. McDaniels makes 2-pt shot from 15 ft
8:32.0,E. Gordon misses 3-pt shot from 24 ft,,51-58,,
8:31.0,,,51-58,,Defensive rebound by M. Carter-Williams
8:22.0,,,51-58,,R. Covington misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by O. Asik,,51-58,,
7:58.0,R. Anderson misses 2-pt shot from 2 ft,,51-58,,
7:56.0,Offensive rebound by O. Asik,,51-58,,
7:56.0,Turnover by Team (shot clock),,51-58,,
7:45.0,,,51-58,,Shooting foul by E. Gordon (drawn by M. Carter-Williams)
7:45.0,,,51-58,,M. Carter-Williams misses free throw 1 of 2
7:45.0,,,51-58,,Offensive rebound by Team
7:45.0,,,51-58,,M. Carter-Williams misses free throw 2 of 2
7:44.0,Defensive rebound by O. Asik,,51-58,,
7:22.0,Shooting foul by K. McDaniels (drawn by O. Asik),,51-58,,
7:22.0,O. Asik misses free throw 1 of 2,,51-58,,
7:22.0,Offensive rebound by Team,,51-58,,
7:22.0,O. Asik misses free throw 2 of 2,,51-58,,
7:22.0,,,51-58,,Defensive rebound by N. Noel
6:57.0,,,51-61,3,M. Carter-Williams makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
6:38.0,R. Anderson misses 2-pt shot from 1 ft (block by N. Noel),,51-61,,
6:37.0,Offensive rebound by Team,,51-61,,
6:37.0,,,51-61,,J. Grant enters the game for K. McDaniels
6:37.0,Q. Pondexter enters the game for D. Cunningham,,51-61,,
6:37.0,A. Ajinca enters the game for O. Asik,,51-61,,
6:28.0,Turnover by T. Evans (bad pass; steal by M. Carter-Williams),,51-61,,
6:24.0,,,51-61,,M. Carter-Williams misses 2-pt shot from 9 ft
6:23.0,Defensive rebound by A. Ajinca,,51-61,,
6:09.0,,,51-61,,Personal block foul by N. Noel (drawn by T. Evans)
5:56.0,Turnover by T. Evans (bad pass; steal by J. Grant),,51-61,,
5:43.0,,,51-64,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
5:42.0,New Orleans full timeout,,51-64,,
5:42.0,J. Fredette enters the game for T. Evans,,51-64,,
5:42.0,,,51-64,,H. Thompson enters the game for L. Mbah a Moute
5:17.0,R. Anderson misses 2-pt shot from 16 ft,,51-64,,
5:15.0,,,51-64,,Defensive rebound by M. Carter-Williams
5:03.0,,,51-64,,R. Covington misses 2-pt shot from 2 ft
5:02.0,,,51-64,,Offensive rebound by N. Noel
5:02.0,,,51-66,2,N. Noel makes 2-pt shot from 1 ft
4:47.0,Shooting foul by M. Carter-Williams (drawn by E. Gordon),,51-66,,
4:47.0,E. Gordon makes free throw 1 of 2,1,52-66,,
4:47.0,E. Gordon makes free throw 2 of 2,1,53-66,,
4:36.0,,,53-68,2,R. Covington makes 2-pt shot at rim (assist by M. Carter-Williams)
4:24.0,Turnover by E. Gordon (bad pass),,53-68,,
4:24.0,,,53-68,,K. McDaniels enters the game for R. Covington
4:01.0,,,53-68,,M. Carter-Williams misses 2-pt shot from 16 ft
3:59.0,Defensive rebound by A. Ajinca,,53-68,,
3:43.0,Turnover by A. Ajinca (lost ball; steal by J. Grant),,53-68,,
3:40.0,,,53-68,,Turnover by K. McDaniels (traveling)
3:40.0,,,53-68,,H. Sims enters the game for N. Noel
3:40.0,D. Cunningham enters the game for R. Anderson,,53-68,,
3:23.0,E. Gordon makes 2-pt shot from 22 ft (assist by D. Cunningham),2,55-68,,
3:18.0,,,55-68,,Philadelphia full timeout
3:00.0,,,55-70,2,M. Carter-Williams makes 2-pt shot at rim
2:40.0,E. Gordon misses 2-pt shot from 5 ft,,55-70,,
2:38.0,Offensive rebound by A. Ajinca,,55-70,,
2:38.0,A. Ajinca misses 2-pt shot from 2 ft,,55-70,,
2:36.0,,,55-70,,Defensive rebound by M. Carter-Williams
2:35.0,,,55-70,,Turnover by M. Carter-Williams (lost ball; steal by D. Cunningham)
2:32.0,Q. Pondexter misses 3-pt shot from 25 ft,,55-70,,
2:32.0,,,55-70,,Defensive rebound by Team
2:32.0,Personal foul by A. Ajinca (drawn by H. Sims),,55-70,,
2:32.0,,,55-70,,L. Drew enters the game for M. Carter-Williams
2:28.0,,,55-70,,Turnover by H. Sims (lost ball; steal by E. Gordon)
2:16.0,J. Fredette misses 3-pt shot from 23 ft,,55-70,,
2:14.0,,,55-70,,Defensive rebound by K. McDaniels
2:07.0,,,55-72,2,H. Sims makes 2-pt shot from 1 ft (assist by K. McDaniels)
1:43.0,A. Ajinca makes 2-pt shot from 7 ft (assist by Q. Pondexter),2,57-72,,
1:30.0,Personal foul by A. Ajinca (drawn by H. Thompson),,57-72,,
1:30.0,,,57-73,1,H. Thompson makes free throw 1 of 2
1:30.0,,,57-73,,H. Thompson misses free throw 2 of 2
1:29.0,Defensive rebound by E. Gordon,,57-73,,
1:13.0,Turnover by D. Cunningham (lost ball; steal by H. Sims),,57-73,,
1:06.0,,,57-73,,K. McDaniels misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by A. Ajinca,,57-73,,
0:57.0,Shooting foul by H. Sims (drawn by J. Fredette),,57-73,,
0:57.0,J. Fredette makes free throw 1 of 2,1,58-73,,
0:57.0,J. Fredette makes free throw 2 of 2,1,59-73,,
0:45.0,,,59-73,,K. McDaniels misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by E. Gordon,,59-73,,
0:37.0,E. Gordon misses 2-pt shot from 3 ft,,59-73,,
0:36.0,Offensive rebound by E. Gordon,,59-73,,
0:27.0,J. Fredette misses 2-pt shot from 2 ft (block by H. Thompson),,59-73,,
0:25.0,Offensive rebound by J. Fredette,,59-73,,
0:22.0,Jump ball: J. Fredette vs. K. McDaniels (L. Drew gains possession),,,,Jump ball: J. Fredette vs. K. McDaniels (L. Drew gains possession)
0:22.0,Turnover by J. Fredette (lost ball; steal by K. McDaniels),,59-73,,
0:04.0,,,59-73,,H. Thompson misses 3-pt shot from 28 ft
0:02.0,Defensive rebound by Q. Pondexter,,59-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,59-76,3,H. Thompson makes 3-pt shot from 25 ft (assist by R. Covington)
11:28.0,Shooting foul by H. Thompson (drawn by T. Evans),,59-76,,
11:28.0,T. Evans misses free throw 1 of 2,,59-76,,
11:28.0,Offensive rebound by Team,,59-76,,
11:28.0,,,59-76,,L. Mbah a Moute enters the game for H. Sims
11:28.0,T. Evans makes free throw 2 of 2,1,60-76,,
11:18.0,,,60-76,,Shooting foul by Q. Pondexter (drawn by R. Covington)
11:18.0,,,60-77,1,R. Covington makes free throw 1 of 2
11:18.0,,,60-78,1,R. Covington makes free throw 2 of 2
11:00.0,J. Fredette makes 2-pt shot from 1 ft (assist by T. Evans),2,62-78,,
10:37.0,,,62-78,,J. Grant misses 2-pt shot from 4 ft
10:35.0,,,62-78,,Offensive rebound by L. Mbah a Moute
10:35.0,,,62-80,2,L. Mbah a Moute makes 2-pt shot from 1 ft
10:19.0,Q. Pondexter misses 3-pt shot from 25 ft,,62-80,,
10:16.0,,,62-80,,Defensive rebound by H. Thompson
10:01.0,,,62-80,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by D. Cunningham)
10:00.0,Defensive rebound by T. Evans,,62-80,,
9:57.0,Q. Pondexter makes 2-pt shot at rim (assist by T. Evans),2,64-80,,
9:45.0,,,64-82,2,R. Covington makes 2-pt shot from 3 ft (assist by H. Thompson)
9:45.0,,,64-82,,Shooting foul by D. Cunningham (drawn by R. Covington)
9:45.0,,,64-83,1,R. Covington makes free throw 1 of 1
9:28.0,J. Fredette makes 2-pt shot from 13 ft,2,66-83,,
9:23.0,,,66-83,,Turnover by L. Drew (bad pass)
9:23.0,O. Asik enters the game for D. Cunningham,,66-83,,
9:11.0,Shooting foul by J. Grant (drawn by R. Anderson),,66-83,,
9:11.0,R. Anderson misses free throw 1 of 2,,66-83,,
9:11.0,Offensive rebound by Team,,66-83,,
9:11.0,,,66-83,,N. Noel enters the game for H. Thompson
9:11.0,R. Anderson makes free throw 2 of 2,1,67-83,,
9:11.0,,,67-83,,Philadelphia full timeout
9:11.0,,,67-83,,M. Carter-Williams enters the game for L. Drew
8:57.0,,,67-85,2,M. Carter-Williams makes 2-pt shot from 2 ft
8:38.0,Shooting foul by L. Mbah a Moute (drawn by R. Anderson),,67-85,,
8:38.0,R. Anderson makes free throw 1 of 2,1,68-85,,
8:38.0,E. Gordon enters the game for J. Fredette,,68-85,,
8:38.0,R. Anderson makes free throw 2 of 2,1,69-85,,
8:16.0,,,69-85,,N. Noel misses 2-pt shot from 3 ft
8:14.0,,,69-85,,Offensive rebound by L. Mbah a Moute
7:54.0,,,69-87,2,M. Carter-Williams makes 2-pt shot at rim
7:33.0,R. Anderson misses 3-pt shot from 28 ft,,69-87,,
7:31.0,,,69-87,,Defensive rebound by Team
7:24.0,Personal foul by O. Asik (drawn by N. Noel),,69-87,,
7:10.0,,,69-87,,L. Mbah a Moute misses 2-pt shot from 3 ft
7:09.0,Defensive rebound by O. Asik,,69-87,,
7:08.0,Turnover by O. Asik (bad pass; steal by R. Covington),,69-87,,
7:04.0,,,69-87,,R. Covington misses 2-pt shot from 4 ft (block by O. Asik)
7:02.0,,,69-87,,Offensive rebound by R. Covington
6:48.0,,,69-87,,Turnover by M. Carter-Williams (lost ball; steal by Q. Pondexter)
6:34.0,T. Evans misses 3-pt shot from 25 ft,,69-87,,
6:32.0,Offensive rebound by R. Anderson,,69-87,,
6:30.0,R. Anderson misses 2-pt shot from 2 ft (block by R. Covington),,69-87,,
6:29.0,,,69-87,,Defensive rebound by R. Covington
6:21.0,,,69-87,,R. Covington misses 3-pt shot from 26 ft
6:20.0,,,69-87,,Offensive rebound by Team
6:20.0,L. Babbitt enters the game for Q. Pondexter,,69-87,,
6:03.0,,,69-87,,R. Covington misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by O. Asik,,69-87,,
5:53.0,E. Gordon misses 3-pt shot from 26 ft,,69-87,,
5:52.0,,,69-87,,Defensive rebound by J. Grant
5:46.0,,,69-87,,Shooting foul by O. Asik (drawn by R. Covington)
5:46.0,Official timeout,,69-87,,
5:46.0,N. Wolters enters the game for R. Anderson,,69-87,,
5:46.0,J. Fredette enters the game for O. Asik,,69-87,,
5:46.0,D. Cunningham enters the game for E. Gordon,,69-87,,
5:46.0,A. Ajinca enters the game for T. Evans,,69-87,,
