time,LA Clippers,pts.away,score,pts.home,Miami
2:41.0,,,31-11,,Personal foul by J. McRoberts (drawn by B. Griffin)
2:31.0,B. Griffin misses 2-pt shot from 15 ft,,31-11,,
2:30.0,,,31-11,,Defensive rebound by J. Ennis
2:11.0,,,31-11,,J. Ennis misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by D. Jordan,,31-11,,
2:01.0,C. Paul makes 3-pt shot from 24 ft (assist by J. Crawford),3,34-11,,
1:48.0,Personal foul by D. Jordan (drawn by S. Napier),,34-11,,
1:48.0,S. Hawes enters the game for D. Jordan,,34-11,,
1:37.0,,,34-11,,M. Chalmers misses 3-pt shot from 27 ft
1:36.0,Defensive rebound by S. Hawes,,34-11,,
1:27.0,Turnover by J. Crawford (bad pass; steal by M. Chalmers),,34-11,,
1:16.0,,,34-13,2,M. Chalmers makes 2-pt shot from 1 ft
1:00.0,C. Paul makes 2-pt shot from 18 ft,2,36-13,,
0:46.0,,,36-15,2,M. Chalmers makes 2-pt shot from 2 ft
0:31.0,H. Turkoglu makes 3-pt shot from 23 ft (assist by C. Paul),3,39-15,,
0:07.0,,,39-15,,J. McRoberts misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by B. Griffin,,39-15,,
0:02.0,C. Paul misses 3-pt shot from 25 ft,,39-15,,
0:00.0,Offensive rebound by Team,,39-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by J. Farmar (bad pass; steal by M. Chalmers),,39-15,,
11:44.0,,,39-15,,Turnover by J. McRoberts (offensive goaltending)
11:22.0,J. Crawford misses 3-pt shot from 26 ft,,39-15,,
11:20.0,,,39-15,,Defensive rebound by J. McRoberts
11:06.0,,,39-17,2,C. Bosh makes 2-pt shot from 16 ft (assist by S. Napier)
10:44.0,Turnover by J. Farmar (lost ball; steal by J. McRoberts),,39-17,,
10:41.0,,,39-17,,S. Napier misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by J. Crawford,,39-17,,
10:30.0,S. Hawes makes 2-pt shot at rim (assist by J. Crawford),2,41-17,,
10:07.0,,,41-17,,J. McRoberts misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by G. Davis,,41-17,,
9:43.0,J. Crawford misses 2-pt shot from 7 ft,,41-17,,
9:42.0,,,41-17,,Defensive rebound by C. Bosh
9:33.0,Personal foul by J. Crawford (drawn by C. Bosh),,41-17,,
9:21.0,,,41-17,,L. Deng misses 3-pt shot from 23 ft
9:21.0,,,41-17,,Offensive rebound by Team
9:21.0,Loose ball foul by G. Davis (drawn by S. Napier),,41-17,,
9:04.0,,,41-19,2,C. Bosh makes 2-pt shot from 11 ft
8:48.0,Shooting foul by M. Chalmers (drawn by S. Hawes),,41-19,,
8:48.0,Official timeout,,41-19,,
8:48.0,S. Hawes misses free throw 1 of 2,,41-19,,
8:48.0,Offensive rebound by Team,,41-19,,
8:48.0,S. Hawes makes free throw 2 of 2,1,42-19,,
8:29.0,,,42-19,,Shooting foul by H. Turkoglu (drawn by L. Deng)
8:29.0,,,42-20,1,L. Deng makes free throw 1 of 2
8:29.0,,,42-20,,S. Williams enters the game for J. McRoberts
8:29.0,,,42-20,,N. Cole enters the game for M. Chalmers
8:29.0,,,42-21,1,L. Deng makes free throw 2 of 2
8:14.0,J. Crawford misses 3-pt shot from 22 ft,,42-21,,
8:13.0,,,42-21,,Defensive rebound by C. Bosh
8:00.0,,,42-21,,Shooting foul by S. Hawes (drawn by C. Bosh)
8:00.0,,,42-22,1,C. Bosh makes free throw 1 of 2
8:00.0,D. Jordan enters the game for G. Davis,,42-22,,
8:00.0,,,42-23,1,C. Bosh makes free throw 2 of 2
7:49.0,S. Hawes misses 3-pt shot from 23 ft,,42-23,,
7:48.0,,,42-23,,Defensive rebound by S. Napier
7:32.0,,,42-23,,C. Bosh misses 2-pt shot from 19 ft
7:31.0,Defensive rebound by J. Crawford,,42-23,,
7:21.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,44-23,,
6:58.0,,,44-25,2,S. Napier makes 2-pt shot from 18 ft
6:43.0,J. Farmar makes 3-pt shot from 24 ft (assist by J. Crawford),3,47-25,,
6:36.0,,,47-25,,Miami full timeout
6:36.0,M. Barnes enters the game for H. Turkoglu,,47-25,,
6:36.0,C. Paul enters the game for J. Farmar,,47-25,,
6:36.0,,,47-25,,C. Andersen enters the game for C. Bosh
6:36.0,,,47-25,,M. Chalmers enters the game for N. Cole
6:31.0,Personal foul by M. Barnes (drawn by M. Chalmers),,47-25,,
6:31.0,,,47-26,1,M. Chalmers makes free throw 1 of 2
6:31.0,,,47-27,1,M. Chalmers makes free throw 2 of 2
6:06.0,J. Crawford misses 3-pt shot from 27 ft,,47-27,,
6:05.0,,,47-27,,Defensive rebound by S. Napier
5:56.0,,,47-27,,S. Napier misses 3-pt shot from 23 ft
5:55.0,Defensive rebound by C. Paul,,47-27,,
5:47.0,C. Paul misses 2-pt shot from 2 ft (block by C. Andersen),,47-27,,
5:46.0,,,47-27,,Defensive rebound by S. Napier
5:24.0,,,47-27,,S. Napier misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by S. Hawes,,47-27,,
5:13.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,49-27,,
4:46.0,,,49-29,2,S. Napier makes 2-pt shot from 2 ft
4:38.0,LA Clippers full timeout,,49-29,,
4:38.0,J. Redick enters the game for J. Crawford,,49-29,,
4:38.0,B. Griffin enters the game for S. Hawes,,49-29,,
4:38.0,,,49-29,,C. Bosh enters the game for C. Andersen
4:25.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,51-29,,
4:13.0,Personal foul by M. Barnes (drawn by L. Deng),,51-29,,
4:13.0,,,51-30,1,L. Deng makes free throw 1 of 2
4:13.0,,,51-30,,L. Deng misses free throw 2 of 2
4:12.0,Defensive rebound by D. Jordan,,51-30,,
3:50.0,C. Paul makes 3-pt shot from 25 ft,3,54-30,,
3:29.0,,,54-30,,S. Williams misses 3-pt shot from 23 ft
3:28.0,,,54-30,,Offensive rebound by C. Bosh
3:19.0,,,54-33,3,S. Williams makes 3-pt shot from 23 ft (assist by S. Napier)
3:10.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,56-33,,
2:50.0,,,56-33,,S. Williams misses 2-pt shot from 19 ft
2:49.0,,,56-33,,Offensive rebound by L. Deng
2:43.0,,,56-36,3,C. Bosh makes 3-pt shot from 25 ft (assist by M. Chalmers)
2:17.0,M. Barnes makes 2-pt shot from 1 ft (assist by B. Griffin),2,58-36,,
1:48.0,,,58-36,,L. Deng misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by C. Paul,,58-36,,
1:24.0,B. Griffin misses 2-pt shot from 22 ft,,58-36,,
1:23.0,,,58-36,,Defensive rebound by S. Napier
1:09.0,Personal foul by B. Griffin (drawn by C. Bosh),,58-36,,
1:09.0,,,58-37,1,C. Bosh makes free throw 1 of 2
1:09.0,,,58-37,,S. Brown enters the game for M. Chalmers
1:09.0,,,58-38,1,C. Bosh makes free throw 2 of 2
0:56.0,J. Redick misses 3-pt shot from 24 ft,,58-38,,
0:55.0,,,58-38,,Defensive rebound by L. Deng
0:48.0,,,58-38,,C. Bosh misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by D. Jordan,,58-38,,
0:33.0,Turnover by C. Paul (bad pass; steal by S. Brown),,58-38,,
0:30.0,,,58-40,2,S. Brown makes 2-pt shot at rim
0:28.0,,,58-40,,Personal foul by S. Williams (drawn by B. Griffin)
0:28.0,J. Crawford enters the game for M. Barnes,,58-40,,
0:28.0,,,58-40,,J. McRoberts enters the game for S. Williams
0:28.0,LA Clippers full timeout,,58-40,,
0:28.0,S. Hawes enters the game for D. Jordan,,58-40,,
0:10.0,C. Paul misses 3-pt shot from 25 ft,,58-40,,
0:09.0,,,58-40,,Defensive rebound by C. Bosh
0:01.0,,,58-40,,Turnover by J. McRoberts (bad pass; steal by J. Crawford)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Redick misses 2-pt shot from 1 ft,,58-40,,
11:39.0,,,58-40,,Defensive rebound by C. Bosh
11:23.0,,,58-40,,C. Bosh misses 2-pt shot from 9 ft
11:22.0,,,58-40,,Offensive rebound by L. Deng
11:21.0,,,58-42,2,L. Deng makes 2-pt shot from 2 ft
11:03.0,B. Griffin makes 2-pt shot from 1 ft,2,60-42,,
10:49.0,,,60-42,,Shooting foul by J. Redick (drawn by C. Bosh)
10:49.0,,,60-43,1,C. Bosh makes free throw 1 of 2
10:49.0,,,60-44,1,C. Bosh makes free throw 2 of 2
10:24.0,B. Griffin makes 2-pt shot from 19 ft,2,62-44,,
10:04.0,,,62-47,3,S. Brown makes 3-pt shot from 24 ft
9:41.0,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick),3,65-47,,
9:18.0,,,65-49,2,C. Bosh makes 2-pt shot from 16 ft
9:07.0,J. Redick misses 3-pt shot from 25 ft,,65-49,,
9:06.0,Offensive rebound by J. Redick,,65-49,,
9:02.0,M. Barnes misses 3-pt shot from 24 ft,,65-49,,
9:01.0,,,65-49,,Defensive rebound by M. Chalmers
8:49.0,,,65-49,,Shooting foul by J. Redick (drawn by M. Chalmers)
8:49.0,,,65-50,1,M. Chalmers makes free throw 1 of 2
8:49.0,,,65-51,1,M. Chalmers makes free throw 2 of 2
8:37.0,LA Clippers full timeout,,65-51,,
8:25.0,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul),2,67-51,,
8:08.0,,,67-51,,C. Bosh misses 2-pt shot from 20 ft
8:07.0,Defensive rebound by D. Jordan,,67-51,,
7:55.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,69-51,,
7:29.0,,,69-53,2,C. Bosh makes 2-pt shot from 19 ft (assist by M. Chalmers)
7:21.0,C. Paul makes 2-pt shot from 1 ft,2,71-53,,
7:21.0,Shooting foul by M. Chalmers (drawn by C. Paul),,71-53,,
7:21.0,C. Paul makes free throw 1 of 1,1,72-53,,
7:13.0,,,72-53,,C. Bosh misses 2-pt shot from 21 ft
7:12.0,Defensive rebound by B. Griffin,,72-53,,
7:01.0,Turnover by M. Barnes (bad pass; steal by M. Chalmers),,72-53,,
6:55.0,,,72-53,,L. Deng misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by B. Griffin,,72-53,,
6:43.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,75-53,,
6:43.0,,,75-53,,Miami full timeout
6:43.0,,,75-53,,C. Andersen enters the game for S. Williams
6:43.0,,,75-53,,S. Napier enters the game for S. Brown
6:26.0,,,75-55,2,L. Deng makes 2-pt shot from 17 ft (assist by S. Napier)
6:03.0,B. Griffin misses 3-pt shot from 31 ft,,75-55,,
6:01.0,Offensive rebound by Team,,75-55,,
6:01.0,Turnover by Team (shot clock),,75-55,,
5:42.0,,,75-55,,Shooting foul by B. Griffin (drawn by C. Bosh)
5:42.0,,,75-56,1,C. Bosh makes free throw 1 of 2
5:42.0,,,75-57,1,C. Bosh makes free throw 2 of 2
5:29.0,Turnover by J. Redick (bad pass),,75-57,,
5:29.0,J. Crawford enters the game for J. Redick,,75-57,,
5:16.0,,,75-59,2,C. Bosh makes 2-pt shot from 19 ft (assist by M. Chalmers)
5:00.0,B. Griffin misses 2-pt shot from 19 ft,,75-59,,
4:59.0,Offensive rebound by Team,,75-59,,
4:50.0,Shooting foul by C. Bosh (drawn by D. Jordan),,75-59,,
4:50.0,D. Jordan misses free throw 1 of 2,,75-59,,
4:50.0,Offensive rebound by Team,,75-59,,
4:50.0,D. Jordan misses free throw 2 of 2,,75-59,,
4:49.0,,,75-59,,Defensive rebound by L. Deng
4:32.0,,,75-61,2,L. Deng makes 2-pt shot from 19 ft
4:14.0,Shooting foul by C. Andersen (drawn by B. Griffin),,75-61,,
4:14.0,B. Griffin makes free throw 1 of 2,1,76-61,,
4:14.0,,,76-61,,S. Brown enters the game for M. Chalmers
4:14.0,B. Griffin misses free throw 2 of 2,,76-61,,
4:13.0,,,76-61,,Defensive rebound by C. Andersen
3:57.0,,,76-61,,L. Deng misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by D. Jordan,,76-61,,
3:47.0,Shooting foul by C. Andersen (drawn by C. Paul),,76-61,,
3:47.0,C. Paul makes free throw 1 of 2,1,77-61,,
3:47.0,,,77-61,,D. Granger enters the game for L. Deng
3:47.0,C. Paul makes free throw 2 of 2,1,78-61,,
3:33.0,,,78-61,,Turnover by S. Napier (bad pass; steal by B. Griffin)
3:15.0,C. Paul makes 2-pt shot from 17 ft,2,80-61,,
2:49.0,,,80-61,,Turnover by S. Napier (lost ball; steal by B. Griffin)
2:46.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,82-61,,
2:46.0,,,82-61,,Miami full timeout
2:46.0,,,82-61,,J. McRoberts enters the game for C. Bosh
2:46.0,H. Turkoglu enters the game for M. Barnes,,82-61,,
2:28.0,,,82-61,,S. Brown misses 2-pt shot at rim
2:27.0,Defensive rebound by H. Turkoglu,,82-61,,
2:04.0,C. Paul misses 2-pt shot from 19 ft,,82-61,,
2:03.0,,,82-61,,Defensive rebound by J. McRoberts
1:57.0,,,82-61,,D. Granger misses 3-pt shot from 22 ft
1:56.0,Defensive rebound by D. Jordan,,82-61,,
1:37.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,84-61,,
1:14.0,,,84-64,3,S. Napier makes 3-pt shot from 24 ft
1:01.0,,,84-64,,Personal foul by S. Napier (drawn by C. Paul)
1:01.0,C. Paul makes free throw 1 of 2,1,85-64,,
1:01.0,S. Hawes enters the game for B. Griffin,,85-64,,
1:01.0,G. Davis enters the game for D. Jordan,,85-64,,
1:01.0,C. Paul makes free throw 2 of 2,1,86-64,,
0:42.0,,,86-66,2,J. McRoberts makes 2-pt shot at rim
0:32.0,C. Paul misses 2-pt shot from 10 ft,,86-66,,
0:31.0,,,86-66,,Defensive rebound by D. Granger
0:10.0,,,86-66,,Turnover by J. McRoberts (lost ball)
0:10.0,J. Farmar enters the game for G. Davis,,86-66,,
0:10.0,J. Redick enters the game for S. Hawes,,86-66,,
0:01.0,Shooting foul by S. Brown (drawn by J. Crawford),,86-66,,
0:01.0,J. Crawford makes free throw 1 of 2,1,87-66,,
0:01.0,S. Hawes enters the game for J. Redick,,87-66,,
0:01.0,G. Davis enters the game for C. Paul,,87-66,,
0:01.0,J. Crawford makes free throw 2 of 2,1,88-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,88-66,,D. Granger misses 3-pt shot from 22 ft
11:37.0,Defensive rebound by J. Farmar,,88-66,,
11:22.0,S. Hawes makes 3-pt shot from 24 ft (assist by J. Crawford),3,91-66,,
11:10.0,,,91-68,2,M. Chalmers makes 2-pt shot from 8 ft
10:57.0,J. Crawford makes 3-pt shot from 24 ft,3,94-68,,
10:41.0,,,94-68,,C. Andersen misses 2-pt shot from 19 ft
10:40.0,Defensive rebound by S. Hawes,,94-68,,
10:28.0,Turnover by J. Crawford (lost ball; steal by S. Brown),,94-68,,
10:23.0,,,94-70,2,S. Brown makes 2-pt shot at rim
10:04.0,Turnover by J. Farmar (bad pass; steal by D. Granger),,94-70,,
10:01.0,,,94-70,,S. Brown misses 2-pt shot from 1 ft
10:00.0,,,94-70,,Offensive rebound by D. Granger
9:59.0,,,94-72,2,D. Granger makes 2-pt shot at rim
9:39.0,,,94-72,,Personal foul by C. Andersen (drawn by H. Turkoglu)
9:39.0,,,94-72,,S. Napier enters the game for D. Granger
9:20.0,J. Crawford misses 3-pt shot from 26 ft,,94-72,,
9:19.0,,,94-72,,Defensive rebound by C. Andersen
9:13.0,,,94-72,,Turnover by C. Andersen (lost ball)
8:57.0,J. Farmar misses 3-pt shot from 23 ft,,94-72,,
8:56.0,,,94-72,,Defensive rebound by C. Andersen
8:42.0,,,94-75,3,S. Napier makes 3-pt shot from 25 ft (assist by J. McRoberts)
8:24.0,G. Davis makes 2-pt shot from 3 ft (assist by J. Farmar),2,96-75,,
8:16.0,Personal foul by J. Farmar (drawn by S. Napier),,96-75,,
8:16.0,Official timeout,,96-75,,
8:16.0,J. Redick enters the game for H. Turkoglu,,96-75,,
8:16.0,,,96-75,,C. Bosh enters the game for J. McRoberts
8:00.0,,,96-75,,S. Brown misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by G. Davis,,96-75,,
7:40.0,Turnover by J. Farmar (lost ball; steal by S. Napier),,96-75,,
7:37.0,,,96-75,,Shooting foul by J. Crawford (drawn by S. Napier)
7:37.0,,,96-76,1,S. Napier makes free throw 1 of 2
7:37.0,,,96-77,1,S. Napier makes free throw 2 of 2
7:18.0,Turnover by G. Davis (traveling),,96-77,,
7:03.0,,,96-77,,Shooting foul by S. Hawes (drawn by S. Napier)
7:03.0,,,96-77,,S. Napier misses free throw 1 of 2
7:03.0,,,96-77,,Offensive rebound by Team
7:03.0,,,96-78,1,S. Napier makes free throw 2 of 2
6:47.0,Turnover by J. Farmar (bad pass),,96-78,,
6:36.0,Shooting block foul by G. Davis (drawn by C. Andersen),,96-78,,
6:36.0,,,96-78,,C. Andersen misses free throw 1 of 2
6:36.0,,,96-78,,Offensive rebound by Team
6:36.0,D. Jordan enters the game for S. Hawes,,96-78,,
6:36.0,C. Paul enters the game for J. Farmar,,96-78,,
6:36.0,B. Griffin enters the game for G. Davis,,96-78,,
6:36.0,,,96-78,,C. Andersen misses free throw 2 of 2
6:35.0,Defensive rebound by J. Crawford,,96-78,,
6:09.0,B. Griffin makes 3-pt shot from 24 ft (assist by J. Crawford),3,99-78,,
5:46.0,,,99-78,,M. Chalmers misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by D. Jordan,,99-78,,
5:33.0,Shooting foul by C. Bosh (drawn by C. Paul),,99-78,,
5:33.0,,,99-78,,Miami full timeout
5:33.0,,,99-78,,J. Ennis enters the game for C. Andersen
5:33.0,,,99-78,,S. Williams enters the game for S. Brown
5:33.0,C. Paul misses free throw 1 of 3,,99-78,,
5:33.0,Offensive rebound by Team,,99-78,,
5:33.0,C. Paul makes free throw 2 of 3,1,100-78,,
5:33.0,C. Paul makes free throw 3 of 3,1,101-78,,
5:19.0,,,101-78,,C. Bosh misses 2-pt shot from 13 ft
5:18.0,,,101-78,,Offensive rebound by Team
5:11.0,,,101-81,3,M. Chalmers makes 3-pt shot from 24 ft (assist by C. Bosh)
4:55.0,B. Griffin makes 2-pt shot from 2 ft (assist by J. Crawford),2,103-81,,
4:55.0,Shooting foul by J. Ennis (drawn by B. Griffin),,103-81,,
4:55.0,B. Griffin misses free throw 1 of 1,,103-81,,
4:54.0,,,103-81,,Defensive rebound by S. Williams
4:42.0,Personal foul by D. Jordan (drawn by J. Ennis),,103-81,,
4:42.0,,,103-82,1,J. Ennis makes free throw 1 of 2
4:42.0,,,103-83,1,J. Ennis makes free throw 2 of 2
4:28.0,J. Redick makes 3-pt shot from 23 ft (assist by J. Crawford),3,106-83,,
4:14.0,,,106-83,,Turnover by M. Chalmers (lost ball)
4:14.0,LA Clippers full timeout,,106-83,,
4:14.0,R. Bullock enters the game for B. Griffin,,106-83,,
4:14.0,S. Hawes enters the game for D. Jordan,,106-83,,
4:14.0,G. Davis enters the game for J. Redick,,106-83,,
4:14.0,J. Cunningham enters the game for C. Paul,,106-83,,
4:14.0,J. Farmar enters the game for J. Crawford,,106-83,,
4:14.0,,,106-83,,S. Brown enters the game for C. Bosh
4:14.0,,,106-83,,J. Hamilton enters the game for M. Chalmers
4:09.0,Turnover by J. Cunningham (bad pass; steal by J. Ennis),,106-83,,
4:01.0,,,106-83,,Shooting foul by J. Cunningham (drawn by S. Napier)
4:01.0,,,106-84,1,S. Napier makes free throw 1 of 2
4:01.0,,,106-85,1,S. Napier makes free throw 2 of 2
3:46.0,J. Cunningham misses 3-pt shot from 24 ft,,106-85,,
3:45.0,,,106-85,,Defensive rebound by S. Williams
3:42.0,Personal foul by G. Davis (drawn by S. Williams),,106-85,,
3:42.0,,,106-86,1,S. Williams makes free throw 1 of 2
3:42.0,,,106-87,1,S. Williams makes free throw 2 of 2
3:24.0,J. Cunningham makes 2-pt shot from 20 ft (assist by S. Hawes),2,108-87,,
3:08.0,,,108-87,,Turnover by S. Brown (lost ball; steal by J. Farmar)
2:59.0,S. Hawes misses 2-pt shot from 2 ft,,108-87,,
2:58.0,,,108-87,,Defensive rebound by J. Hamilton
2:41.0,,,108-89,2,S. Napier makes 2-pt shot from 19 ft
2:22.0,J. Cunningham misses 2-pt shot at rim,,108-89,,
2:21.0,,,108-89,,Defensive rebound by S. Napier
2:12.0,,,108-91,2,S. Brown makes 2-pt shot from 1 ft
1:59.0,,,108-91,,Personal foul by J. Ennis (drawn by R. Bullock)
1:59.0,LA Clippers full timeout,,108-91,,
1:53.0,G. Davis makes 2-pt shot at rim (assist by S. Hawes),2,110-91,,
1:32.0,,,110-91,,J. Ennis misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by S. Hawes,,110-91,,
1:08.0,J. Cunningham misses 2-pt shot from 20 ft,,110-91,,
1:07.0,Offensive rebound by Team,,110-91,,
1:03.0,S. Hawes misses 3-pt shot from 24 ft,,110-91,,
1:02.0,Offensive rebound by J. Farmar,,110-91,,
0:54.0,G. Davis misses 2-pt shot from 1 ft (block by J. Ennis),,110-91,,
0:53.0,Offensive rebound by Team,,110-91,,
0:51.0,J. Cunningham misses 3-pt shot from 23 ft,,110-91,,
0:50.0,,,110-91,,Defensive rebound by S. Williams
0:40.0,,,110-91,,S. Williams misses 2-pt shot from 16 ft
0:39.0,Defensive rebound by S. Hawes,,110-91,,
0:24.0,R. Bullock misses 3-pt shot from 24 ft,,110-91,,
0:23.0,Offensive rebound by Team,,110-91,,
0:21.0,Turnover by R. Bullock (bad pass; steal by J. Hamilton),,110-91,,
0:18.0,,,110-91,,Shooting foul by S. Hawes (drawn by S. Williams)
0:18.0,,,110-92,1,S. Williams makes free throw 1 of 2
0:18.0,,,110-93,1,S. Williams makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
