time,Detroit,pts.away,score,pts.home,Chicago
10:51.0,,,22-32,3,A. Brooks makes 3-pt shot from 25 ft (assist by T. Gibson)
10:34.0,K. Singler makes 2-pt shot from 12 ft (assist by G. Monroe),2,24-32,,
10:15.0,,,24-32,,T. Gibson misses 2-pt shot from 5 ft
10:14.0,Defensive rebound by A. Drummond,,24-32,,
10:07.0,Turnover by D. Augustin (bad pass; steal by N. Mirotic),,24-32,,
10:04.0,,,24-34,2,T. Gibson makes 2-pt shot at rim (assist by A. Brooks)
9:52.0,D. Augustin makes 2-pt shot from 1 ft,2,26-34,,
9:52.0,Shooting foul by N. Mirotic (drawn by D. Augustin),,26-34,,
9:52.0,D. Augustin makes free throw 1 of 1,1,27-34,,
9:39.0,,,27-34,,D. McDermott misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by D. Augustin,,27-34,,
9:35.0,,,27-34,,Shooting block foul by A. Brooks (drawn by D. Augustin)
9:35.0,D. Augustin misses free throw 1 of 2,,27-34,,
9:35.0,Offensive rebound by Team,,27-34,,
9:35.0,D. Augustin makes free throw 2 of 2,1,28-34,,
9:21.0,,,28-34,,A. Brooks misses 2-pt shot from 6 ft
9:20.0,,,28-34,,Offensive rebound by T. Gibson
9:20.0,,,28-36,2,T. Gibson makes 2-pt shot from 2 ft
9:08.0,D. Augustin makes 2-pt shot from 21 ft,2,30-36,,
8:58.0,,,30-38,2,A. Brooks makes 2-pt shot from 2 ft
8:51.0,Detroit full timeout,,30-38,,
8:45.0,,,30-38,,Personal foul by A. Brooks (drawn by G. Monroe)
8:33.0,G. Monroe makes 2-pt shot from 2 ft (assist by C. Butler),2,32-38,,
8:12.0,,,32-38,,Turnover by A. Brooks (bad pass; steal by A. Drummond)
8:01.0,C. Butler makes 2-pt shot from 20 ft (assist by D. Augustin),2,34-38,,
8:01.0,Shooting foul by D. McDermott (drawn by C. Butler),,34-38,,
8:01.0,C. Butler makes free throw 1 of 1,1,35-38,,
7:42.0,,,35-38,,A. Brooks misses 2-pt shot from 18 ft
7:41.0,Defensive rebound by G. Monroe,,35-38,,
7:31.0,G. Monroe misses 2-pt shot from 9 ft (block by N. Mirotic),,35-38,,
7:29.0,,,35-38,,Defensive rebound by T. Gibson
7:23.0,,,35-40,2,K. Hinrich makes 2-pt shot from 2 ft
6:58.0,A. Drummond misses 2-pt shot from 3 ft,,35-40,,
6:57.0,Offensive rebound by C. Butler,,35-40,,
6:53.0,C. Butler misses 2-pt shot from 14 ft,,35-40,,
6:49.0,,,35-40,,Defensive rebound by K. Hinrich
6:47.0,,,35-40,,J. Butler enters the game for K. Hinrich
6:47.0,,,35-40,,J. Noah enters the game for N. Mirotic
6:47.0,,,35-40,,D. Rose enters the game for A. Brooks
6:47.0,J. Smith enters the game for A. Drummond,,35-40,,
6:47.0,,,35-40,,M. Dunleavy enters the game for D. McDermott
6:47.0,Jump ball: C. Butler vs. T. Gibson (J. Noah gains possession),,,,Jump ball: C. Butler vs. T. Gibson (J. Noah gains possession)
6:33.0,,,35-40,,M. Dunleavy misses 2-pt shot from 19 ft
6:31.0,,,35-40,,Offensive rebound by T. Gibson
6:31.0,,,35-42,2,T. Gibson makes 2-pt shot from 2 ft
6:20.0,,,35-42,,Personal foul by D. Rose (drawn by D. Augustin)
6:20.0,D. Augustin makes free throw 1 of 2,1,36-42,,
6:20.0,,,36-42,,P. Gasol enters the game for T. Gibson
6:20.0,K. Caldwell-Pope enters the game for C. Butler,,36-42,,
6:20.0,D. Augustin makes free throw 2 of 2,1,37-42,,
5:58.0,,,37-42,,J. Noah misses 2-pt shot from 2 ft
5:56.0,Defensive rebound by J. Smith,,37-42,,
5:46.0,,,37-42,,Violation by D. Rose (kicked ball)
5:46.0,Detroit full timeout,,37-42,,
5:37.0,J. Smith misses 2-pt shot from 22 ft,,37-42,,
5:35.0,,,37-42,,Defensive rebound by P. Gasol
5:16.0,,,37-45,3,J. Butler makes 3-pt shot from 23 ft (assist by D. Rose)
5:01.0,D. Augustin misses 2-pt shot from 9 ft,,37-45,,
5:00.0,,,37-45,,Defensive rebound by J. Noah
4:51.0,,,37-45,,P. Gasol misses 2-pt shot from 18 ft
4:50.0,Defensive rebound by J. Smith,,37-45,,
4:32.0,J. Smith misses 2-pt shot from 5 ft,,37-45,,
4:31.0,,,37-45,,Defensive rebound by P. Gasol
4:22.0,,,37-47,2,M. Dunleavy makes 2-pt shot from 2 ft (assist by J. Noah)
4:03.0,Turnover by J. Smith (traveling),,37-47,,
4:03.0,A. Drummond enters the game for G. Monroe,,37-47,,
3:42.0,,,37-49,2,D. Rose makes 2-pt shot from 7 ft (assist by J. Noah)
3:37.0,Detroit full timeout,,37-49,,
3:29.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,37-49,,
3:28.0,,,37-49,,Defensive rebound by J. Noah
3:24.0,,,37-51,2,P. Gasol makes 2-pt shot at rim (assist by D. Rose)
3:17.0,Detroit full timeout,,37-51,,
3:17.0,B. Jennings enters the game for D. Augustin,,37-51,,
3:00.0,A. Drummond misses 2-pt shot from 1 ft,,37-51,,
2:59.0,Offensive rebound by Team,,37-51,,
2:47.0,B. Jennings misses 2-pt shot from 2 ft,,37-51,,
2:45.0,Offensive rebound by A. Drummond,,37-51,,
2:45.0,A. Drummond misses 2-pt shot from 1 ft,,37-51,,
2:45.0,,,37-51,,Defensive rebound by P. Gasol
2:45.0,Personal foul by J. Smith (drawn by P. Gasol),,37-51,,
2:35.0,Personal foul by B. Jennings (drawn by D. Rose),,37-51,,
2:26.0,,,37-53,2,P. Gasol makes 2-pt shot from 8 ft (assist by D. Rose)
2:16.0,J. Smith makes 2-pt shot from 3 ft (assist by B. Jennings),2,39-53,,
1:58.0,,,39-53,,D. Rose misses 2-pt shot from 3 ft
1:56.0,Defensive rebound by J. Smith,,39-53,,
1:47.0,K. Singler misses 3-pt shot from 25 ft,,39-53,,
1:46.0,,,39-53,,Defensive rebound by M. Dunleavy
1:29.0,,,39-55,2,P. Gasol makes 2-pt shot from 14 ft
1:12.0,K. Singler makes 2-pt shot from 20 ft,2,41-55,,
0:59.0,,,41-58,3,D. Rose makes 3-pt shot from 26 ft (assist by P. Gasol)
0:53.0,Offensive foul by A. Drummond,,41-58,,
0:53.0,Turnover by A. Drummond (offensive foul),,41-58,,
0:53.0,G. Monroe enters the game for A. Drummond,,41-58,,
0:37.0,,,41-58,,J. Noah misses 2-pt shot from 4 ft
0:36.0,Defensive rebound by J. Smith,,41-58,,
0:30.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,41-58,,
0:27.0,,,41-58,,Defensive rebound by P. Gasol
0:10.0,,,41-60,2,J. Noah makes 2-pt shot from 3 ft (assist by D. Rose)
0:01.0,J. Smith makes 3-pt shot from 25 ft (assist by B. Jennings),3,44-60,,
0:01.0,,,44-60,,Turnover by M. Dunleavy (bad pass)
0:00.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,44-60,,
0:00.0,Offensive rebound by Team,,44-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,44-60,,
11:34.0,,,44-60,,Defensive rebound by J. Butler
11:17.0,,,44-60,,J. Butler misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by A. Drummond,,44-60,,
11:08.0,K. Caldwell-Pope misses 2-pt shot from 6 ft (block by M. Dunleavy),,44-60,,
11:06.0,,,44-60,,Defensive rebound by J. Noah
11:01.0,,,44-60,,Chicago full timeout
11:01.0,,,44-60,,Shooting foul by A. Drummond (drawn by D. Rose)
11:01.0,,,44-60,,D. Rose misses free throw 1 of 2
11:01.0,,,44-60,,Offensive rebound by Team
11:01.0,,,44-61,1,D. Rose makes free throw 2 of 2
10:41.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by J. Smith),2,46-61,,
10:22.0,,,46-63,2,D. Rose makes 2-pt shot from 2 ft (assist by J. Noah)
9:58.0,B. Jennings misses 2-pt shot from 12 ft,,46-63,,
9:56.0,Offensive rebound by B. Jennings,,46-63,,
9:49.0,Offensive charge foul by G. Monroe,,46-63,,
9:49.0,Turnover by G. Monroe (offensive foul),,46-63,,
9:32.0,,,46-63,,P. Gasol misses 2-pt shot from 6 ft
9:30.0,Defensive rebound by B. Jennings,,46-63,,
9:20.0,G. Monroe makes 2-pt shot from 2 ft,2,48-63,,
9:00.0,,,48-63,,J. Butler misses 3-pt shot from 23 ft
8:59.0,Defensive rebound by G. Monroe,,48-63,,
8:54.0,Turnover by B. Jennings (bad pass; steal by D. Rose),,48-63,,
8:42.0,,,48-63,,D. Rose misses 3-pt shot from 24 ft
8:41.0,,,48-63,,Offensive rebound by J. Noah
8:41.0,,,48-65,2,J. Noah makes 2-pt shot from 2 ft
8:33.0,Turnover by A. Drummond (offensive foul),,48-65,,
8:33.0,Offensive foul by A. Drummond,,48-65,,
8:18.0,,,48-65,,D. Rose misses 2-pt shot from 16 ft
8:17.0,Defensive rebound by G. Monroe,,48-65,,
8:05.0,J. Smith makes 2-pt shot from 5 ft,2,50-65,,
7:39.0,,,50-65,,P. Gasol misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by A. Drummond,,50-65,,
7:27.0,G. Monroe makes 2-pt shot from 11 ft,2,52-65,,
7:07.0,,,52-65,,J. Noah misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by K. Caldwell-Pope,,52-65,,
6:54.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Smith),3,55-65,,
6:33.0,,,55-65,,Turnover by J. Butler (bad pass)
6:14.0,Shooting foul by M. Dunleavy (drawn by K. Caldwell-Pope),,55-65,,
6:14.0,K. Caldwell-Pope makes free throw 1 of 2,1,56-65,,
6:14.0,K. Caldwell-Pope misses free throw 2 of 2,,56-65,,
6:12.0,,,56-65,,Defensive rebound by J. Noah
5:57.0,,,56-65,,Shooting foul by K. Caldwell-Pope (drawn by M. Dunleavy)
5:57.0,,,56-66,1,M. Dunleavy makes free throw 1 of 3
5:57.0,,,56-67,1,M. Dunleavy makes free throw 2 of 3
5:57.0,,,56-68,1,M. Dunleavy makes free throw 3 of 3
5:43.0,J. Smith misses 2-pt shot from 6 ft,,56-68,,
5:43.0,Offensive rebound by G. Monroe,,56-68,,
5:43.0,,,56-68,,Personal foul by J. Noah (drawn by G. Monroe)
5:28.0,B. Jennings makes 3-pt shot from 26 ft (assist by G. Monroe),3,59-68,,
5:07.0,,,59-71,3,J. Butler makes 3-pt shot from 23 ft (assist by J. Noah)
4:40.0,G. Monroe misses 2-pt shot from 5 ft,,59-71,,
4:39.0,,,59-71,,Defensive rebound by J. Noah
4:27.0,,,59-71,,Turnover by D. Rose (lost ball; steal by B. Jennings)
4:22.0,,,59-71,,Personal foul by M. Dunleavy (drawn by G. Monroe)
4:22.0,,,59-71,,T. Gibson enters the game for J. Noah
4:22.0,,,59-71,,K. Hinrich enters the game for D. Rose
4:14.0,B. Jennings misses 3-pt shot from 24 ft,,59-71,,
4:13.0,,,59-71,,Defensive rebound by T. Gibson
3:53.0,Personal foul by J. Smith (drawn by P. Gasol),,59-71,,
3:53.0,C. Butler enters the game for A. Drummond,,59-71,,
3:47.0,Personal foul by J. Smith (drawn by P. Gasol),,59-71,,
3:43.0,,,59-71,,K. Hinrich misses 2-pt shot from 3 ft (block by B. Jennings)
3:43.0,,,59-71,,Offensive rebound by Team
3:37.0,,,59-73,2,J. Butler makes 2-pt shot from 21 ft (assist by P. Gasol)
3:23.0,Shooting foul by M. Dunleavy (drawn by K. Caldwell-Pope),,59-73,,
3:23.0,K. Caldwell-Pope misses free throw 1 of 2,,59-73,,
3:23.0,Offensive rebound by Team,,59-73,,
3:23.0,,,59-73,,A. Brooks enters the game for M. Dunleavy
3:23.0,K. Caldwell-Pope makes free throw 2 of 2,1,60-73,,
3:06.0,,,60-75,2,P. Gasol makes 2-pt shot from 5 ft
2:53.0,J. Smith misses 2-pt shot from 6 ft,,60-75,,
2:50.0,Offensive rebound by J. Smith,,60-75,,
2:50.0,J. Smith makes 2-pt shot from 3 ft,2,62-75,,
2:37.0,,,62-75,,Turnover by A. Brooks (lost ball; steal by B. Jennings)
2:34.0,Shooting foul by A. Brooks (drawn by B. Jennings),,62-75,,
2:34.0,Detroit full timeout,,62-75,,
2:34.0,A. Drummond enters the game for G. Monroe,,62-75,,
2:34.0,B. Jennings makes free throw 1 of 2,1,63-75,,
2:34.0,B. Jennings misses free throw 2 of 2,,63-75,,
2:33.0,,,63-75,,Defensive rebound by P. Gasol
2:22.0,Def 3 sec tech foul by A. Drummond,,63-75,,
2:22.0,,,63-76,1,A. Brooks makes technical free throw
2:08.0,,,63-76,,P. Gasol misses 2-pt shot from 5 ft (block by J. Smith)
2:06.0,Defensive rebound by B. Jennings,,63-76,,
1:56.0,J. Smith makes 2-pt shot from 22 ft (assist by B. Jennings),2,65-76,,
1:37.0,,,65-76,,Turnover by T. Gibson (traveling)
1:28.0,Turnover by B. Jennings (lost ball; steal by A. Brooks),,65-76,,
1:17.0,,,65-76,,P. Gasol misses 2-pt shot from 13 ft
1:16.0,Defensive rebound by B. Jennings,,65-76,,
1:09.0,K. Caldwell-Pope makes 2-pt shot from 15 ft (assist by B. Jennings),2,67-76,,
0:43.0,,,67-76,,J. Butler misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by A. Drummond,,67-76,,
0:33.0,J. Smith makes 2-pt shot from 3 ft (assist by B. Jennings),2,69-76,,
0:22.0,Personal foul by B. Jennings (drawn by A. Brooks),,69-76,,
0:22.0,,,69-77,1,A. Brooks makes free throw 1 of 2
0:22.0,,,69-78,1,A. Brooks makes free throw 2 of 2
0:04.0,B. Jennings misses 2-pt shot from 2 ft (block by P. Gasol),,69-78,,
0:03.0,Offensive rebound by A. Drummond,,69-78,,
0:03.0,Shooting foul by K. Hinrich (drawn by A. Drummond),,69-78,,
0:03.0,A. Drummond makes free throw 1 of 2,1,70-78,,
0:03.0,A. Drummond misses free throw 2 of 2,,70-78,,
0:01.0,,,70-78,,Defensive rebound by P. Gasol
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by D. Augustin (drawn by A. Brooks),,70-78,,
11:39.0,,,70-80,2,K. Hinrich makes 2-pt shot from 21 ft
11:19.0,Turnover by G. Monroe (bad pass; steal by A. Brooks),,70-80,,
11:11.0,,,70-80,,A. Brooks misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by G. Monroe,,70-80,,
11:02.0,Turnover by A. Drummond (3 sec),,70-80,,
10:45.0,,,70-80,,Shooting foul by C. Butler (drawn by J. Butler)
10:45.0,,,70-81,1,J. Butler makes free throw 1 of 2
10:45.0,,,70-82,1,J. Butler makes free throw 2 of 2
10:34.0,G. Monroe misses 2-pt shot from 6 ft,,70-82,,
10:31.0,,,70-82,,Defensive rebound by A. Brooks
10:25.0,,,70-82,,J. Noah misses 2-pt shot from 3 ft (block by K. Singler)
10:23.0,Defensive rebound by G. Monroe,,70-82,,
10:17.0,K. Singler makes 3-pt shot from 26 ft (assist by C. Butler),3,73-82,,
9:50.0,,,73-82,,J. Noah misses 2-pt shot from 16 ft
9:48.0,,,73-82,,Offensive rebound by T. Gibson
9:36.0,,,73-82,,K. Hinrich misses 2-pt shot from 7 ft
9:33.0,Defensive rebound by C. Butler,,73-82,,
9:31.0,Shooting foul by A. Brooks (drawn by D. Augustin),,73-82,,
9:31.0,D. Augustin misses free throw 1 of 2,,73-82,,
9:31.0,Offensive rebound by Team,,73-82,,
9:31.0,,,73-82,,D. Rose enters the game for A. Brooks
9:31.0,D. Augustin misses free throw 2 of 2,,73-82,,
9:29.0,,,73-82,,Defensive rebound by T. Gibson
9:10.0,,,73-82,,T. Gibson misses 2-pt shot from 10 ft
9:09.0,Defensive rebound by C. Butler,,73-82,,
8:52.0,G. Monroe makes 2-pt shot from 2 ft,2,75-82,,
8:38.0,,,75-82,,D. Rose misses 2-pt shot from 18 ft
8:37.0,Defensive rebound by G. Monroe,,75-82,,
8:13.0,G. Monroe makes 2-pt shot from 2 ft (assist by D. Augustin),2,77-82,,
7:57.0,,,77-82,,K. Hinrich misses 3-pt shot from 24 ft
7:56.0,,,77-82,,Offensive rebound by J. Butler
7:48.0,Personal foul by A. Drummond (drawn by J. Noah),,77-82,,
7:48.0,,,77-82,,Chicago full timeout
7:48.0,,,77-82,,M. Dunleavy enters the game for K. Hinrich
7:48.0,J. Smith enters the game for A. Drummond,,77-82,,
7:38.0,,,77-82,,J. Butler misses 2-pt shot from 19 ft
7:37.0,Defensive rebound by C. Butler,,77-82,,
7:21.0,Turnover by G. Monroe (bad pass),,77-82,,
7:09.0,,,77-84,2,D. Rose makes 2-pt shot from 2 ft
6:56.0,Shooting foul by D. Rose (drawn by D. Augustin),,77-84,,
6:56.0,D. Augustin makes free throw 1 of 2,1,78-84,,
6:56.0,D. Augustin makes free throw 2 of 2,1,79-84,,
6:46.0,,,79-84,,Shooting foul by G. Monroe (drawn by J. Noah)
6:46.0,,,79-84,,J. Noah misses free throw 1 of 2
6:46.0,,,79-84,,Offensive rebound by Team
6:46.0,,,79-85,1,J. Noah makes free throw 2 of 2
6:35.0,K. Singler misses 2-pt shot from 3 ft,,79-85,,
6:34.0,,,79-85,,Defensive rebound by J. Noah
6:27.0,,,79-85,,M. Dunleavy misses 3-pt shot from 24 ft
6:26.0,Defensive rebound by J. Smith,,79-85,,
6:23.0,D. Augustin makes 2-pt shot from 2 ft,2,81-85,,
6:03.0,,,81-85,,J. Noah misses 2-pt shot from 7 ft
6:02.0,Defensive rebound by J. Smith,,81-85,,
5:50.0,G. Monroe misses 2-pt shot from 5 ft,,81-85,,
5:49.0,,,81-85,,Defensive rebound by J. Noah
5:39.0,,,81-87,2,D. Rose makes 2-pt shot from 2 ft
5:14.0,J. Smith misses 2-pt shot from 18 ft,,81-87,,
5:11.0,,,81-87,,Defensive rebound by M. Dunleavy
4:58.0,,,81-87,,D. Rose misses 2-pt shot from 3 ft
4:58.0,Defensive rebound by Team,,81-87,,
4:58.0,,,81-87,,Chicago full timeout
4:58.0,,,81-87,,P. Gasol enters the game for J. Noah
4:58.0,A. Drummond enters the game for G. Monroe,,81-87,,
4:41.0,C. Butler makes 3-pt shot from 23 ft (assist by J. Smith),3,84-87,,
4:27.0,,,84-89,2,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose)
4:27.0,,,84-89,,Shooting foul by C. Butler (drawn by J. Butler)
4:27.0,,,84-90,1,J. Butler makes free throw 1 of 1
4:13.0,J. Smith misses 2-pt shot from 7 ft,,84-90,,
4:11.0,,,84-90,,Defensive rebound by P. Gasol
4:00.0,,,84-90,,D. Rose misses 2-pt shot from 10 ft
3:59.0,Defensive rebound by J. Smith,,84-90,,
3:52.0,Turnover by J. Smith (lost ball; steal by T. Gibson),,84-90,,
3:38.0,,,84-90,,Turnover by D. Rose (bad pass; steal by K. Singler)
3:34.0,K. Singler makes 2-pt shot from 1 ft,2,86-90,,
3:31.0,Violation by Team (delay of game),,86-90,,
3:07.0,,,86-90,,M. Dunleavy misses 2-pt shot from 19 ft
3:07.0,,,86-90,,Offensive rebound by Team
2:52.0,,,86-90,,D. Rose misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by C. Butler,,86-90,,
2:43.0,D. Augustin makes 2-pt shot from 16 ft,2,88-90,,
2:26.0,,,88-92,2,P. Gasol makes 2-pt shot from 17 ft (assist by M. Dunleavy)
2:12.0,J. Smith misses 3-pt shot from 25 ft,,88-92,,
2:10.0,,,88-92,,Defensive rebound by P. Gasol
1:56.0,,,88-95,3,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose)
1:56.0,Detroit full timeout,,88-95,,
1:56.0,,,88-95,,J. Noah enters the game for T. Gibson
