time,Brooklyn,pts.away,score,pts.home,LA Clippers
9:34.0,J. Johnson misses 2-pt shot from 1 ft,,41-75,,
9:33.0,,,41-75,,Defensive rebound by C. Paul
9:28.0,,,41-77,2,M. Barnes makes 2-pt shot at rim (assist by C. Paul)
8:59.0,Shooting foul by B. Griffin (drawn by M. Plumlee),,41-77,,
8:59.0,M. Plumlee misses free throw 1 of 2,,41-77,,
8:59.0,Offensive rebound by Team,,41-77,,
8:59.0,M. Plumlee misses free throw 2 of 2,,41-77,,
8:57.0,,,41-77,,Defensive rebound by D. Jordan
8:46.0,,,41-80,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
8:19.0,J. Johnson makes 2-pt shot from 1 ft,2,43-80,,
8:09.0,,,43-80,,Turnover by D. Jordan (lost ball; steal by J. Jack)
8:02.0,Turnover by J. Jack (bad pass; steal by C. Paul),,43-80,,
7:54.0,,,43-80,,C. Paul misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by J. Johnson,,43-80,,
7:52.0,Brooklyn full timeout,,43-80,,
7:33.0,J. Johnson misses 2-pt shot from 22 ft,,43-80,,
7:29.0,Offensive rebound by M. Plumlee,,43-80,,
7:28.0,Offensive foul by M. Plumlee,,43-80,,
7:28.0,Turnover by M. Plumlee (offensive foul),,43-80,,
7:12.0,Personal foul by J. Johnson (drawn by D. Jordan),,43-80,,
7:04.0,,,43-83,3,J. Redick makes 3-pt shot from 23 ft (assist by M. Barnes)
6:48.0,J. Jack misses 2-pt shot from 19 ft,,43-83,,
6:45.0,,,43-83,,Defensive rebound by B. Griffin
6:30.0,,,43-85,2,C. Paul makes 2-pt shot from 1 ft
6:14.0,Shooting foul by J. Redick (drawn by M. Plumlee),,43-85,,
6:14.0,M. Plumlee misses free throw 1 of 2,,43-85,,
6:14.0,Offensive rebound by Team,,43-85,,
6:14.0,J. Jordan enters the game for B. Lopez,,43-85,,
6:14.0,A. Anderson enters the game for J. Johnson,,43-85,,
6:14.0,M. Plumlee makes free throw 2 of 2,1,44-85,,
5:58.0,,,44-87,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:44.0,M. Brown misses 2-pt shot from 1 ft,,44-87,,
5:43.0,Offensive rebound by J. Jordan,,44-87,,
5:42.0,J. Jordan misses 2-pt shot from 1 ft (block by M. Barnes),,44-87,,
5:41.0,,,44-87,,Defensive rebound by C. Paul
5:36.0,,,44-89,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
5:36.0,Brooklyn full timeout,,44-89,,
5:36.0,,,44-89,,H. Turkoglu enters the game for M. Barnes
5:36.0,,,44-89,,S. Hawes enters the game for B. Griffin
5:35.0,C. Jefferson enters the game for M. Plumlee,,44-89,,
5:28.0,D. Morris enters the game for J. Jack,,44-89,,
5:19.0,D. Morris misses 2-pt shot from 21 ft,,44-89,,
5:19.0,Offensive rebound by J. Jordan,,44-89,,
5:19.0,,,44-89,,Loose ball foul by H. Turkoglu (drawn by J. Jordan)
5:19.0,J. Jordan makes free throw 1 of 2,1,45-89,,
5:19.0,J. Jordan makes free throw 2 of 2,1,46-89,,
5:05.0,Violation by C. Jefferson (kicked ball),,46-89,,
5:05.0,,,46-89,,A. Rivers enters the game for C. Paul
5:05.0,,,46-89,,J. Crawford enters the game for J. Redick
5:05.0,,,46-89,,G. Davis enters the game for D. Jordan
4:54.0,,,46-89,,G. Davis misses 2-pt shot from 13 ft
4:52.0,Defensive rebound by C. Jefferson,,46-89,,
4:42.0,C. Jefferson misses 3-pt shot from 25 ft,,46-89,,
4:41.0,,,46-89,,Defensive rebound by H. Turkoglu
4:39.0,,,46-89,,Turnover by H. Turkoglu (lost ball; steal by A. Anderson)
4:37.0,D. Morris misses 2-pt shot from 1 ft (block by G. Davis),,46-89,,
4:37.0,Offensive rebound by Team,,46-89,,
4:22.0,A. Anderson makes 2-pt shot from 11 ft,2,48-89,,
3:56.0,,,48-89,,S. Hawes misses 2-pt shot from 7 ft
3:54.0,Defensive rebound by J. Jordan,,48-89,,
3:44.0,C. Jefferson makes 2-pt shot from 13 ft (assist by D. Morris),2,50-89,,
3:26.0,,,50-91,2,S. Hawes makes 2-pt shot from 2 ft (assist by H. Turkoglu)
3:08.0,J. Jordan misses 2-pt shot from 12 ft,,50-91,,
3:06.0,,,50-91,,Defensive rebound by S. Hawes
2:52.0,,,50-91,,J. Crawford misses 2-pt shot from 17 ft
2:50.0,Defensive rebound by A. Anderson,,50-91,,
2:39.0,A. Anderson misses 3-pt shot from 25 ft,,50-91,,
2:39.0,,,50-91,,Defensive rebound by Team
2:39.0,B. Bogdanovic enters the game for A. Anderson,,50-91,,
2:23.0,,,50-91,,S. Hawes misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by J. Jordan,,50-91,,
2:15.0,D. Morris misses 2-pt shot from 1 ft (block by S. Hawes),,50-91,,
2:13.0,,,50-91,,Defensive rebound by S. Hawes
2:02.0,,,50-93,2,H. Turkoglu makes 2-pt shot from 19 ft (assist by S. Hawes)
1:46.0,J. Jordan makes 2-pt shot at rim,2,52-93,,
1:27.0,,,52-95,2,S. Hawes makes 2-pt shot from 18 ft (assist by A. Rivers)
1:14.0,J. Jordan makes 2-pt shot from 13 ft (assist by D. Morris),2,54-95,,
1:00.0,,,54-95,,Shooting foul by D. Morris (drawn by A. Rivers)
1:00.0,,,54-95,,A. Rivers misses free throw 1 of 2
1:00.0,,,54-95,,Offensive rebound by Team
1:00.0,,,54-95,,A. Rivers misses free throw 2 of 2
0:59.0,Defensive rebound by C. Jefferson,,54-95,,
0:52.0,,,54-95,,Personal foul by S. Hawes (drawn by M. Brown)
0:52.0,M. Brown makes free throw 1 of 2,1,55-95,,
0:52.0,M. Brown makes free throw 2 of 2,1,56-95,,
0:33.0,,,56-95,,G. Davis misses 2-pt shot from 1 ft (block by J. Jordan)
0:33.0,Defensive rebound by Team,,56-95,,
0:26.0,M. Brown misses 3-pt shot from 25 ft,,56-95,,
0:25.0,Offensive rebound by J. Jordan,,56-95,,
0:21.0,J. Jordan misses 2-pt shot from 2 ft (block by S. Hawes),,56-95,,
0:21.0,,,56-95,,Defensive rebound by Team
0:05.0,,,56-95,,Shooting foul by M. Brown (drawn by J. Crawford)
0:05.0,,,56-96,1,J. Crawford makes free throw 1 of 2
0:05.0,,,56-97,1,J. Crawford makes free throw 2 of 2
0:01.0,D. Morris misses 3-pt shot from 24 ft,,56-97,,
0:00.0,,,56-97,,Defensive rebound by H. Turkoglu
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,56-97,,S. Hawes misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by M. Brown,,56-97,,
11:37.0,D. Morris makes 2-pt shot from 1 ft (assist by M. Brown),2,58-97,,
11:22.0,,,58-99,2,G. Davis makes 2-pt shot from 1 ft (assist by J. Crawford)
11:10.0,M. Brown makes 2-pt shot from 1 ft (assist by C. Jefferson),2,60-99,,
10:56.0,,,60-99,,Shooting foul by M. Brown (drawn by J. Crawford)
10:56.0,,,60-100,1,J. Crawford makes free throw 1 of 3
10:56.0,,,60-101,1,J. Crawford makes free throw 2 of 3
10:56.0,,,60-102,1,J. Crawford makes free throw 3 of 3
10:38.0,C. Jefferson makes 2-pt shot from 9 ft,2,62-102,,
10:19.0,,,62-104,2,A. Rivers makes 2-pt shot from 18 ft (assist by S. Hawes)
10:02.0,,,62-104,,Personal foul by S. Hawes (drawn by M. Brown)
10:02.0,,,62-104,,C. Wilcox enters the game for J. Crawford
9:57.0,D. Morris misses 3-pt shot from 24 ft,,62-104,,
9:56.0,Offensive rebound by J. Jordan,,62-104,,
9:56.0,,,62-104,,Personal foul by G. Davis (drawn by J. Jordan)
9:56.0,J. Jordan makes free throw 1 of 2,1,63-104,,
9:56.0,J. Jordan misses free throw 2 of 2,,63-104,,
9:55.0,Offensive rebound by C. Jefferson,,63-104,,
9:51.0,C. Jefferson misses 2-pt shot from 2 ft (block by H. Turkoglu),,63-104,,
9:48.0,Offensive rebound by S. Karasev,,63-104,,
9:48.0,S. Karasev misses 2-pt shot from 1 ft,,63-104,,
