time,LA Lakers,pts.away,score,pts.home,Dallas
5:40.0,,,10-16,,Shooting foul by W. Ellington (drawn by T. Chandler)
5:40.0,,,10-17,1,T. Chandler makes free throw 1 of 2
5:40.0,,,10-17,,T. Chandler misses free throw 2 of 2
5:39.0,Defensive rebound by J. Hill,,10-17,,
5:17.0,R. Price misses 2-pt shot from 6 ft,,10-17,,
5:16.0,Offensive rebound by J. Hill,,10-17,,
5:15.0,J. Hill makes 2-pt shot from 7 ft,2,12-17,,
5:00.0,,,12-17,,C. Villanueva misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by J. Hill,,12-17,,
4:53.0,Shooting foul by T. Chandler (drawn by E. Davis),,12-17,,
4:53.0,E. Davis misses free throw 1 of 2,,12-17,,
4:53.0,Offensive rebound by Team,,12-17,,
4:53.0,,,12-17,,G. Smith enters the game for T. Chandler
4:53.0,N. Young enters the game for W. Johnson,,12-17,,
4:53.0,E. Davis makes free throw 2 of 2,1,13-17,,
4:41.0,,,13-19,2,M. Ellis makes 2-pt shot from 16 ft
4:24.0,N. Young misses 2-pt shot from 10 ft,,13-19,,
4:23.0,Offensive rebound by E. Davis,,13-19,,
4:22.0,Shooting foul by C. Villanueva (drawn by E. Davis),,13-19,,
4:22.0,E. Davis makes free throw 1 of 2,1,14-19,,
4:22.0,C. Boozer enters the game for J. Hill,,14-19,,
4:22.0,E. Davis makes free throw 2 of 2,1,15-19,,
4:07.0,,,15-19,,Offensive foul by G. Smith
4:07.0,,,15-19,,Turnover by G. Smith (offensive foul)
3:52.0,W. Ellington misses 2-pt shot from 21 ft,,15-19,,
3:52.0,,,15-19,,Defensive rebound by G. Smith
3:44.0,,,15-19,,G. Smith misses 2-pt shot from 1 ft (block by E. Davis)
3:41.0,Defensive rebound by N. Young,,15-19,,
3:33.0,W. Ellington misses 3-pt shot from 23 ft,,15-19,,
3:32.0,Offensive rebound by E. Davis,,15-19,,
3:28.0,R. Price misses 3-pt shot from 24 ft,,15-19,,
3:27.0,,,15-19,,Defensive rebound by C. Villanueva
3:20.0,,,15-19,,C. Villanueva misses 2-pt shot from 1 ft
3:18.0,Defensive rebound by C. Boozer,,15-19,,
3:08.0,C. Boozer misses 2-pt shot from 15 ft,,15-19,,
3:07.0,Offensive rebound by E. Davis,,15-19,,
3:04.0,Turnover by N. Young (palming),,15-19,,
3:04.0,,,15-19,,Dallas full timeout
3:04.0,J. Lin enters the game for E. Davis,,15-19,,
3:04.0,R. Sacre enters the game for R. Price,,15-19,,
2:52.0,,,15-19,,C. Villanueva misses 3-pt shot from 23 ft
2:51.0,,,15-19,,Offensive rebound by C. Villanueva
2:48.0,,,15-19,,M. Ellis misses 2-pt shot from 6 ft
2:47.0,Defensive rebound by N. Young,,15-19,,
2:33.0,Turnover by N. Young (lost ball; steal by D. Harris),,15-19,,
2:30.0,,,15-21,2,D. Harris makes 2-pt shot at rim (assist by C. Villanueva)
2:05.0,C. Boozer misses 2-pt shot from 5 ft,,15-21,,
2:04.0,Offensive rebound by C. Boozer,,15-21,,
2:03.0,C. Boozer makes 2-pt shot from 3 ft,2,17-21,,
1:42.0,,,17-21,,D. Harris misses 2-pt shot from 6 ft (block by J. Lin)
1:42.0,,,17-21,,Offensive rebound by Team
1:42.0,,,17-21,,D. Nowitzki enters the game for C. Parsons
1:42.0,,,17-21,,R. Rondo enters the game for M. Ellis
1:42.0,,,17-21,,R. Jefferson enters the game for C. Villanueva
1:37.0,,,17-23,2,R. Jefferson makes 2-pt shot at rim
1:18.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,19-23,,
0:53.0,,,19-26,3,R. Jefferson makes 3-pt shot from 24 ft
0:34.0,J. Lin misses 2-pt shot from 8 ft,,19-26,,
0:33.0,,,19-26,,Defensive rebound by G. Smith
0:21.0,Personal foul by C. Boozer (drawn by D. Nowitzki),,19-26,,
0:21.0,J. Clarkson enters the game for W. Ellington,,19-26,,
0:12.0,,,19-26,,Turnover by R. Rondo (bad pass; steal by J. Clarkson)
0:01.0,J. Clarkson misses 2-pt shot from 15 ft,,19-26,,
0:00.0,,,19-26,,Defensive rebound by R. Jefferson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-26,,R. Rondo misses 2-pt shot from 8 ft
11:44.0,,,19-26,,Offensive rebound by R. Rondo
11:42.0,,,19-28,2,R. Rondo makes 2-pt shot from 2 ft
11:16.0,C. Boozer makes 2-pt shot from 12 ft,2,21-28,,
11:00.0,,,21-30,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea)
10:46.0,N. Young misses 3-pt shot from 23 ft,,21-30,,
10:45.0,,,21-30,,Defensive rebound by D. Nowitzki
10:35.0,,,21-30,,D. Nowitzki misses 2-pt shot from 14 ft
10:35.0,Defensive rebound by J. Lin,,21-30,,
10:35.0,,,21-30,,Loose ball foul by G. Smith (drawn by J. Lin)
10:18.0,N. Young misses 2-pt shot from 18 ft,,21-30,,
10:17.0,,,21-30,,Defensive rebound by G. Smith
10:01.0,,,21-30,,J. Barea misses 2-pt shot from 9 ft
10:00.0,Defensive rebound by J. Lin,,21-30,,
9:53.0,C. Boozer misses 2-pt shot from 4 ft,,21-30,,
9:51.0,Offensive rebound by J. Clarkson,,21-30,,
9:50.0,J. Clarkson makes 2-pt shot at rim,2,23-30,,
9:37.0,,,23-30,,Shooting foul by N. Young (drawn by R. Jefferson)
9:37.0,,,23-30,,R. Jefferson misses free throw 1 of 2
9:37.0,,,23-30,,Offensive rebound by Team
9:37.0,,,23-30,,R. Jefferson misses free throw 2 of 2
9:36.0,Defensive rebound by C. Boozer,,23-30,,
9:27.0,C. Boozer makes 2-pt shot at rim (assist by N. Young),2,25-30,,
9:27.0,Shooting foul by D. Nowitzki (drawn by C. Boozer),,25-30,,
9:27.0,C. Boozer misses free throw 1 of 1,,25-30,,
9:27.0,,,25-30,,Defensive rebound by R. Jefferson
9:06.0,,,25-30,,Turnover by R. Jefferson (lost ball; steal by N. Young)
9:00.0,N. Young makes 3-pt shot from 24 ft,3,28-30,,
8:46.0,,,28-30,,R. Rondo misses 2-pt shot from 20 ft
8:45.0,Defensive rebound by C. Boozer,,28-30,,
8:36.0,N. Young misses 2-pt shot from 11 ft,,28-30,,
8:35.0,Offensive rebound by J. Clarkson,,28-30,,
8:24.0,J. Lin makes 2-pt shot from 12 ft,2,30-30,,
8:22.0,,,30-30,,Dallas full timeout
8:22.0,,,30-30,,T. Chandler enters the game for D. Nowitzki
8:22.0,,,30-30,,C. Villanueva enters the game for G. Smith
8:06.0,,,30-32,2,R. Rondo makes 2-pt shot from 5 ft
7:35.0,C. Boozer misses 2-pt shot from 16 ft,,30-32,,
7:34.0,,,30-32,,Defensive rebound by R. Rondo
7:27.0,,,30-34,2,R. Rondo makes 2-pt shot from 1 ft
7:05.0,N. Young misses 3-pt shot from 24 ft,,30-34,,
7:03.0,Offensive rebound by J. Clarkson,,30-34,,
6:55.0,C. Boozer misses 2-pt shot from 1 ft (block by C. Villanueva),,30-34,,
6:54.0,,,30-34,,Defensive rebound by Team
6:42.0,,,30-34,,T. Chandler misses 2-pt shot at rim
6:41.0,Defensive rebound by N. Young,,30-34,,
6:35.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,32-34,,
6:22.0,,,32-34,,Turnover by R. Rondo (lost ball; steal by J. Lin)
6:07.0,,,32-34,,Personal foul by J. Barea (drawn by N. Young)
6:07.0,J. Hill enters the game for R. Sacre,,32-34,,
6:07.0,E. Davis enters the game for C. Boozer,,32-34,,
6:07.0,,,32-34,,D. Harris enters the game for R. Rondo
6:07.0,,,32-34,,C. Parsons enters the game for R. Jefferson
6:07.0,,,32-34,,M. Ellis enters the game for J. Barea
6:00.0,,,32-34,,Violation by M. Ellis (kicked ball)
5:44.0,J. Clarkson misses 3-pt shot from 22 ft,,32-34,,
5:43.0,,,32-34,,Defensive rebound by Team
5:37.0,,,32-36,2,C. Parsons makes 2-pt shot from 2 ft
5:33.0,Turnover by N. Young (lost ball; steal by D. Harris),,32-36,,
5:28.0,,,32-38,2,D. Harris makes 2-pt shot from 1 ft
5:19.0,LA Lakers full timeout,,32-38,,
5:19.0,Technical foul by N. Young,,32-38,,
5:19.0,W. Johnson enters the game for N. Young,,32-38,,
5:19.0,W. Ellington enters the game for J. Clarkson,,32-38,,
5:19.0,,,32-39,1,M. Ellis makes technical free throw
5:06.0,J. Lin makes 3-pt shot from 24 ft,3,35-39,,
4:51.0,,,35-39,,Turnover by M. Ellis (step out of bounds)
4:35.0,Turnover by E. Davis (3 sec),,35-39,,
4:14.0,,,35-42,3,C. Villanueva makes 3-pt shot from 24 ft (assist by M. Ellis)
4:05.0,R. Price enters the game for J. Lin,,35-42,,
3:58.0,,,35-42,,Personal foul by T. Chandler (drawn by J. Hill)
3:58.0,,,35-42,,G. Smith enters the game for T. Chandler
3:50.0,Offensive foul by J. Hill,,35-42,,
3:50.0,Turnover by J. Hill (offensive foul),,35-42,,
3:35.0,,,35-44,2,C. Parsons makes 2-pt shot from 1 ft (assist by M. Ellis)
3:27.0,,,35-44,,Personal foul by C. Villanueva (drawn by E. Davis)
3:27.0,E. Davis makes free throw 1 of 2,1,36-44,,
3:27.0,,,36-44,,R. Rondo enters the game for D. Harris
3:27.0,,,36-44,,D. Nowitzki enters the game for C. Villanueva
3:27.0,E. Davis makes free throw 2 of 2,1,37-44,,
3:06.0,,,37-44,,Turnover by R. Rondo (bad pass; steal by W. Ellington)
2:53.0,Turnover by J. Hill (lost ball; steal by G. Smith),,37-44,,
2:42.0,,,37-46,2,R. Rondo makes 2-pt shot from 9 ft
2:28.0,W. Johnson misses 2-pt shot from 18 ft,,37-46,,
2:27.0,Offensive rebound by E. Davis,,37-46,,
2:27.0,Shooting foul by G. Smith (drawn by E. Davis),,37-46,,
2:27.0,Official timeout,,37-46,,
2:27.0,,,37-46,,T. Chandler enters the game for G. Smith
2:27.0,E. Davis misses free throw 1 of 2,,37-46,,
2:27.0,Offensive rebound by Team,,37-46,,
2:27.0,E. Davis makes free throw 2 of 2,1,38-46,,
2:09.0,,,38-46,,C. Parsons misses 2-pt shot from 10 ft
2:08.0,Defensive rebound by J. Hill,,38-46,,
1:56.0,J. Hill misses 2-pt shot from 19 ft,,38-46,,
1:55.0,,,38-46,,Defensive rebound by R. Rondo
1:49.0,,,38-46,,D. Nowitzki misses 2-pt shot from 17 ft
1:48.0,Defensive rebound by W. Ellington,,38-46,,
1:31.0,W. Johnson misses 2-pt shot from 16 ft,,38-46,,
1:30.0,Offensive rebound by Team,,38-46,,
1:26.0,W. Ellington misses 2-pt shot from 20 ft,,38-46,,
1:25.0,,,38-46,,Defensive rebound by T. Chandler
1:20.0,,,38-46,,R. Rondo misses 2-pt shot from 22 ft
1:18.0,Defensive rebound by W. Johnson,,38-46,,
1:08.0,Shooting foul by M. Ellis (drawn by W. Ellington),,38-46,,
1:08.0,W. Ellington makes free throw 1 of 2,1,39-46,,
1:08.0,W. Ellington makes free throw 2 of 2,1,40-46,,
0:56.0,Violation by E. Davis (kicked ball),,40-46,,
0:49.0,,,40-48,2,M. Ellis makes 2-pt shot from 1 ft
0:36.0,J. Hill makes 2-pt shot at rim,2,42-48,,
0:31.0,Personal foul by R. Price (drawn by T. Chandler),,42-48,,
0:25.0,,,42-48,,Turnover by M. Ellis (traveling)
0:25.0,,,42-48,,G. Smith enters the game for T. Chandler
0:02.0,J. Hill misses 2-pt shot from 12 ft,,42-48,,
0:01.0,Offensive rebound by W. Ellington,,42-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,42-50,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by M. Ellis)
11:33.0,Offensive foul by R. Price,,42-50,,
11:33.0,Turnover by R. Price (offensive foul),,42-50,,
11:21.0,,,42-50,,D. Nowitzki misses 2-pt shot from 17 ft
11:21.0,Defensive rebound by W. Ellington,,42-50,,
11:11.0,W. Ellington misses 3-pt shot from 24 ft,,42-50,,
11:10.0,,,42-50,,Defensive rebound by T. Chandler
11:00.0,,,42-50,,D. Nowitzki misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by E. Davis,,42-50,,
10:51.0,Shooting foul by C. Parsons (drawn by W. Johnson),,42-50,,
10:51.0,W. Johnson misses free throw 1 of 2,,42-50,,
10:51.0,Offensive rebound by Team,,42-50,,
10:51.0,W. Johnson makes free throw 2 of 2,1,43-50,,
10:28.0,,,43-52,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by M. Ellis)
10:12.0,Turnover by W. Johnson (bad pass; steal by M. Ellis),,43-52,,
10:08.0,,,43-54,2,R. Rondo makes 2-pt shot from 1 ft (assist by M. Ellis)
9:46.0,W. Johnson misses 3-pt shot from 24 ft,,43-54,,
9:45.0,,,43-54,,Defensive rebound by T. Chandler
9:40.0,Personal foul by R. Price (drawn by C. Parsons),,43-54,,
9:29.0,,,43-56,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
9:10.0,Turnover by W. Ellington (bad pass; steal by M. Ellis),,43-56,,
9:01.0,,,43-56,,D. Nowitzki misses 2-pt shot from 12 ft
9:00.0,,,43-56,,Offensive rebound by R. Rondo
8:54.0,,,43-56,,D. Nowitzki misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by W. Johnson,,43-56,,
8:41.0,W. Johnson misses 2-pt shot from 18 ft,,43-56,,
8:40.0,,,43-56,,Defensive rebound by D. Nowitzki
8:28.0,,,43-56,,D. Nowitzki misses 2-pt shot from 19 ft
8:27.0,Defensive rebound by E. Davis,,43-56,,
8:09.0,J. Hill misses 2-pt shot from 18 ft,,43-56,,
8:09.0,,,43-56,,Defensive rebound by Team
8:09.0,Loose ball foul by E. Davis (drawn by D. Nowitzki),,43-56,,
8:09.0,,,43-56,,C. Villanueva enters the game for D. Nowitzki
7:58.0,,,43-58,2,C. Parsons makes 2-pt shot from 1 ft
7:46.0,R. Price makes 2-pt shot from 15 ft,2,45-58,,
7:38.0,,,45-58,,Turnover by R. Rondo (lost ball; steal by W. Ellington)
7:37.0,,,45-58,,Personal foul by R. Rondo (drawn by W. Ellington)
7:24.0,J. Hill misses 2-pt shot at rim,,45-58,,
7:22.0,Offensive rebound by E. Davis,,45-58,,
7:22.0,E. Davis misses 2-pt shot at rim,,45-58,,
7:19.0,Offensive rebound by W. Johnson,,45-58,,
7:15.0,W. Ellington misses 3-pt shot from 24 ft,,45-58,,
7:14.0,Offensive rebound by W. Johnson,,45-58,,
7:10.0,J. Hill makes 2-pt shot at rim (assist by W. Johnson),2,47-58,,
7:09.0,,,47-58,,Dallas full timeout
6:47.0,,,47-58,,C. Villanueva misses 3-pt shot from 24 ft
6:47.0,,,47-58,,Offensive rebound by T. Chandler
6:47.0,Loose ball foul by W. Johnson (drawn by T. Chandler),,47-58,,
6:42.0,Violation by J. Hill (def goaltending),,47-58,,
6:42.0,,,47-60,2,R. Rondo makes 2-pt shot from 4 ft
6:30.0,W. Johnson makes 2-pt shot from 21 ft (assist by E. Davis),2,49-60,,
6:20.0,,,49-62,2,C. Parsons makes 2-pt shot from 5 ft (assist by M. Ellis)
6:04.0,W. Johnson misses 2-pt shot from 11 ft (block by C. Villanueva),,49-62,,
6:03.0,Offensive rebound by Team,,49-62,,
6:03.0,,,49-62,,D. Harris enters the game for R. Rondo
6:03.0,C. Boozer enters the game for J. Hill,,49-62,,
5:58.0,C. Boozer makes 2-pt shot from 19 ft (assist by W. Ellington),2,51-62,,
5:45.0,,,51-62,,M. Ellis misses 2-pt shot from 13 ft
5:44.0,,,51-62,,Offensive rebound by T. Chandler
5:41.0,,,51-62,,D. Harris misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by W. Johnson,,51-62,,
5:28.0,E. Davis misses 2-pt shot from 1 ft (block by C. Villanueva),,51-62,,
5:26.0,,,51-62,,Defensive rebound by T. Chandler
5:15.0,,,51-64,2,C. Parsons makes 2-pt shot from 6 ft
5:04.0,,,51-64,,Personal foul by D. Harris (drawn by R. Price)
5:04.0,N. Young enters the game for W. Ellington,,51-64,,
4:56.0,W. Johnson misses 2-pt shot from 11 ft,,51-64,,
4:55.0,Offensive rebound by E. Davis,,51-64,,
4:53.0,E. Davis misses 2-pt shot from 2 ft,,51-64,,
4:52.0,,,51-64,,Defensive rebound by T. Chandler
4:42.0,,,51-64,,Turnover by C. Parsons (lost ball; steal by C. Boozer)
4:37.0,W. Johnson misses 2-pt shot at rim,,51-64,,
4:35.0,Offensive rebound by E. Davis,,51-64,,
4:35.0,E. Davis makes 2-pt shot at rim,2,53-64,,
4:31.0,,,53-64,,Dallas full timeout
4:31.0,,,53-64,,R. Jefferson enters the game for C. Parsons
4:19.0,,,53-66,2,M. Ellis makes 2-pt shot from 6 ft
3:57.0,C. Boozer makes 2-pt shot from 16 ft (assist by N. Young),2,55-66,,
3:47.0,,,55-68,2,D. Harris makes 2-pt shot from 3 ft
3:29.0,R. Price makes 2-pt shot from 19 ft (assist by W. Johnson),2,57-68,,
3:21.0,Personal foul by E. Davis (drawn by T. Chandler),,57-68,,
3:21.0,R. Sacre enters the game for E. Davis,,57-68,,
3:21.0,J. Lin enters the game for R. Price,,57-68,,
3:21.0,,,57-68,,G. Smith enters the game for T. Chandler
3:21.0,,,57-68,,D. Nowitzki enters the game for C. Villanueva
3:21.0,,,57-68,,J. Barea enters the game for M. Ellis
3:06.0,,,57-68,,D. Harris misses 2-pt shot from 18 ft
3:05.0,Defensive rebound by C. Boozer,,57-68,,
2:59.0,W. Johnson misses 2-pt shot from 1 ft,,57-68,,
2:58.0,,,57-68,,Defensive rebound by D. Nowitzki
2:49.0,,,57-68,,D. Nowitzki misses 2-pt shot from 17 ft
2:48.0,Defensive rebound by W. Johnson,,57-68,,
2:30.0,R. Sacre makes 2-pt shot from 9 ft (assist by J. Lin),2,59-68,,
2:14.0,,,59-70,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea)
1:56.0,C. Boozer makes 2-pt shot from 13 ft (assist by J. Lin),2,61-70,,
1:39.0,,,61-70,,G. Smith misses 2-pt shot at rim (block by J. Lin)
1:38.0,Defensive rebound by N. Young,,61-70,,
1:33.0,N. Young misses 2-pt shot at rim,,61-70,,
1:32.0,Offensive rebound by C. Boozer,,61-70,,
1:32.0,C. Boozer misses 2-pt shot from 2 ft (block by G. Smith),,61-70,,
1:32.0,Offensive rebound by W. Johnson,,61-70,,
1:32.0,Shooting foul by G. Smith (drawn by W. Johnson),,61-70,,
1:32.0,LA Lakers full timeout,,61-70,,
1:32.0,W. Johnson makes free throw 1 of 2,1,62-70,,
1:32.0,W. Johnson misses free throw 2 of 2,,62-70,,
1:31.0,,,62-70,,Defensive rebound by D. Nowitzki
1:10.0,,,62-70,,D. Harris misses 3-pt shot from 22 ft
1:09.0,Defensive rebound by C. Boozer,,62-70,,
0:55.0,N. Young misses 2-pt shot from 18 ft,,62-70,,
0:54.0,Offensive rebound by W. Johnson,,62-70,,
0:52.0,W. Johnson misses 2-pt shot at rim,,62-70,,
0:50.0,Offensive rebound by R. Sacre,,62-70,,
0:49.0,R. Sacre misses 2-pt shot from 2 ft,,62-70,,
0:48.0,,,62-70,,Defensive rebound by D. Nowitzki
0:41.0,,,62-70,,Shooting foul by J. Lin (drawn by G. Smith)
0:41.0,,,62-70,,G. Smith misses free throw 1 of 2
0:41.0,,,62-70,,Offensive rebound by Team
0:41.0,,,62-70,,R. Rondo enters the game for D. Harris
0:41.0,,,62-70,,G. Smith misses free throw 2 of 2
0:40.0,Defensive rebound by J. Lin,,62-70,,
0:30.0,J. Lin misses 3-pt shot from 25 ft,,62-70,,
0:29.0,Offensive rebound by R. Sacre,,62-70,,
0:25.0,C. Boozer misses 2-pt shot from 7 ft,,62-70,,
0:24.0,,,62-70,,Defensive rebound by G. Smith
0:09.0,,,62-72,2,R. Rondo makes 2-pt shot from 7 ft
0:01.0,Turnover by J. Lin (lost ball),,62-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,N. Young misses 2-pt shot from 15 ft,,62-72,,
11:47.0,,,62-72,,Defensive rebound by G. Smith
11:27.0,,,62-72,,R. Rondo misses 2-pt shot from 5 ft (block by J. Lin)
11:26.0,Defensive rebound by J. Lin,,62-72,,
11:21.0,Turnover by J. Lin (lost ball; steal by R. Rondo),,62-72,,
11:19.0,Personal foul by J. Lin (drawn by J. Barea),,62-72,,
11:12.0,,,62-72,,Shooting foul by J. Lin (drawn by R. Rondo)
11:12.0,,,62-72,,R. Rondo misses free throw 1 of 2
11:12.0,,,62-72,,Offensive rebound by Team
11:12.0,,,62-72,,R. Rondo misses free throw 2 of 2
11:10.0,Defensive rebound by R. Sacre,,62-72,,
10:54.0,Turnover by R. Sacre (3 sec),,62-72,,
10:45.0,,,62-72,,J. Barea misses 3-pt shot from 24 ft
10:44.0,,,62-72,,Offensive rebound by Team
10:37.0,,,62-72,,R. Jefferson misses 3-pt shot from 22 ft
10:36.0,Defensive rebound by J. Lin,,62-72,,
10:27.0,J. Clarkson makes 2-pt shot from 15 ft,2,64-72,,
10:14.0,Personal foul by J. Clarkson (drawn by D. Nowitzki),,64-72,,
10:10.0,Personal foul by J. Clarkson (drawn by J. Barea),,64-72,,
10:00.0,,,64-72,,J. Barea misses 2-pt shot from 3 ft
9:59.0,Defensive rebound by R. Sacre,,64-72,,
9:48.0,J. Lin misses 2-pt shot from 21 ft,,64-72,,
9:46.0,,,64-72,,Defensive rebound by J. Barea
9:34.0,,,64-72,,R. Rondo misses 2-pt shot from 19 ft
9:33.0,Defensive rebound by R. Sacre,,64-72,,
9:23.0,N. Young misses 2-pt shot from 13 ft,,64-72,,
9:23.0,,,64-72,,Defensive rebound by D. Nowitzki
9:23.0,Loose ball foul by C. Boozer (drawn by D. Nowitzki),,64-72,,
9:23.0,,,64-73,1,D. Nowitzki makes free throw 1 of 2
9:23.0,,,64-73,,T. Chandler enters the game for G. Smith
9:23.0,,,64-74,1,D. Nowitzki makes free throw 2 of 2
9:01.0,J. Clarkson misses 2-pt shot from 22 ft,,64-74,,
8:59.0,,,64-74,,Defensive rebound by R. Rondo
8:50.0,,,64-74,,T. Chandler misses 2-pt shot from 2 ft
8:48.0,,,64-74,,Offensive rebound by T. Chandler
8:42.0,Personal foul by R. Sacre (drawn by D. Nowitzki),,64-74,,
8:42.0,Official timeout,,64-74,,
8:42.0,,,64-74,,M. Ellis enters the game for R. Jefferson
8:42.0,,,64-74,,C. Parsons enters the game for J. Barea
8:42.0,E. Davis enters the game for R. Sacre,,64-74,,
8:42.0,,,64-75,1,D. Nowitzki makes free throw 1 of 2
8:42.0,,,64-76,1,D. Nowitzki makes free throw 2 of 2
8:38.0,,,64-76,,Personal take foul by R. Rondo (drawn by J. Lin)
8:38.0,,,64-76,,C. Villanueva enters the game for D. Nowitzki
8:20.0,N. Young makes 3-pt shot from 23 ft (assist by J. Lin),3,67-76,,
7:57.0,,,67-76,,Offensive foul by T. Chandler
7:57.0,,,67-76,,Turnover by T. Chandler (offensive foul)
7:46.0,N. Young makes 3-pt shot from 25 ft,3,70-76,,
7:31.0,,,70-78,2,C. Villanueva makes 2-pt shot from 10 ft
7:16.0,J. Lin misses 2-pt shot from 2 ft (block by T. Chandler),,70-78,,
7:13.0,Offensive rebound by C. Boozer,,70-78,,
7:13.0,C. Boozer makes 2-pt shot at rim,2,72-78,,
7:07.0,,,72-80,2,C. Villanueva makes 2-pt shot from 1 ft (assist by R. Rondo)
6:57.0,,,72-80,,Violation by C. Parsons (kicked ball)
6:57.0,J. Hill enters the game for C. Boozer,,72-80,,
6:51.0,N. Young makes 3-pt shot from 25 ft,3,75-80,,
6:41.0,,,75-80,,C. Parsons misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by J. Hill,,75-80,,
6:29.0,N. Young misses 2-pt shot from 2 ft (block by C. Villanueva),,75-80,,
6:27.0,,,75-80,,Defensive rebound by T. Chandler
6:17.0,,,75-83,3,C. Villanueva makes 3-pt shot from 23 ft (assist by R. Rondo)
6:02.0,,,75-83,,Shooting block foul by C. Parsons (drawn by J. Clarkson)
6:02.0,J. Clarkson makes free throw 1 of 2,1,76-83,,
6:02.0,J. Clarkson makes free throw 2 of 2,1,77-83,,
5:46.0,,,77-86,3,C. Villanueva makes 3-pt shot from 22 ft (assist by R. Rondo)
