time,Miami,pts.away,score,pts.home,Sacramento
10:12.0,,,30-24,,N. Stauskas misses 2-pt shot from 19 ft
10:11.0,Defensive rebound by S. Williams,,30-24,,
9:57.0,Shooting foul by R. Evans (drawn by C. Bosh),,30-24,,
9:57.0,C. Bosh makes free throw 1 of 2,1,31-24,,
9:57.0,,,31-24,,B. McLemore enters the game for D. Williams
9:57.0,,,31-24,,D. Cousins enters the game for D. Collison
9:57.0,C. Bosh misses free throw 2 of 2,,31-24,,
9:55.0,,,31-24,,Defensive rebound by Team
9:54.0,Personal foul by N. Cole (drawn by R. McCallum),,31-24,,
9:34.0,,,31-26,2,D. Cousins makes 2-pt shot at rim (assist by N. Stauskas)
9:13.0,D. Granger misses 3-pt shot from 24 ft,,31-26,,
9:12.0,,,31-26,,Defensive rebound by R. Evans
9:01.0,,,31-28,2,D. Cousins makes 2-pt shot at rim (assist by R. Evans)
8:43.0,Turnover by S. Williams (bad pass),,31-28,,
8:43.0,Official timeout,,31-28,,
8:43.0,H. Whiteside enters the game for S. Williams,,31-28,,
8:33.0,,,31-28,,D. Cousins misses 2-pt shot from 17 ft
8:32.0,Defensive rebound by J. Ennis,,31-28,,
8:21.0,D. Granger makes 2-pt shot from 4 ft,2,33-28,,
8:21.0,Shooting foul by N. Stauskas (drawn by D. Granger),,33-28,,
8:21.0,,,33-28,,O. Casspi enters the game for N. Stauskas
8:21.0,D. Granger makes free throw 1 of 1,1,34-28,,
8:08.0,Personal foul by J. Ennis (drawn by O. Casspi),,34-28,,
8:03.0,,,34-28,,B. McLemore misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by C. Bosh,,34-28,,
7:48.0,C. Bosh misses 2-pt shot from 20 ft,,34-28,,
7:48.0,,,34-28,,Defensive rebound by Team
7:48.0,Loose ball foul by H. Whiteside (drawn by D. Cousins),,34-28,,
7:48.0,,,34-29,1,D. Cousins makes free throw 1 of 2
7:48.0,U. Haslem enters the game for H. Whiteside,,34-29,,
7:48.0,,,34-30,1,D. Cousins makes free throw 2 of 2
7:31.0,C. Bosh misses 2-pt shot from 16 ft,,34-30,,
7:31.0,Offensive rebound by Team,,34-30,,
7:31.0,L. Deng enters the game for J. Ennis,,34-30,,
7:31.0,M. Chalmers enters the game for D. Granger,,34-30,,
7:31.0,Jump ball: C. Bosh vs. D. Cousins (M. Chalmers gains possession),,,,Jump ball: C. Bosh vs. D. Cousins (M. Chalmers gains possession)
7:10.0,M. Chalmers misses 2-pt shot from 8 ft,,34-30,,
7:09.0,,,34-30,,Defensive rebound by R. Evans
7:02.0,,,34-32,2,O. Casspi makes 2-pt shot from 5 ft (assist by R. McCallum)
6:53.0,Miami full timeout,,34-32,,
6:53.0,S. Napier enters the game for N. Cole,,34-32,,
6:38.0,C. Bosh makes 3-pt shot from 25 ft (assist by L. Deng),3,37-32,,
6:24.0,Personal foul by S. Napier (drawn by D. Cousins),,37-32,,
6:24.0,,,37-33,1,D. Cousins makes free throw 1 of 2
6:24.0,,,37-34,1,D. Cousins makes free throw 2 of 2
6:09.0,M. Chalmers makes 2-pt shot from 8 ft (assist by L. Deng),2,39-34,,
5:47.0,,,39-37,3,R. McCallum makes 3-pt shot from 25 ft (assist by D. Cousins)
5:29.0,L. Deng makes 2-pt shot from 3 ft (assist by U. Haslem),2,41-37,,
5:17.0,,,41-37,,D. Cousins misses 2-pt shot from 17 ft
5:16.0,Defensive rebound by L. Deng,,41-37,,
5:00.0,C. Bosh misses 2-pt shot from 21 ft,,41-37,,
4:59.0,,,41-37,,Defensive rebound by R. McCallum
4:55.0,,,41-37,,Offensive charge foul by R. McCallum
4:55.0,,,41-37,,Turnover by R. McCallum (offensive foul)
4:55.0,S. Williams enters the game for C. Bosh,,41-37,,
4:46.0,L. Deng misses 2-pt shot from 2 ft,,41-37,,
4:43.0,,,41-37,,Defensive rebound by R. Evans
4:41.0,,,41-37,,Turnover by R. McCallum (traveling)
4:29.0,L. Deng misses 3-pt shot from 23 ft,,41-37,,
4:28.0,,,41-37,,Defensive rebound by B. McLemore
4:23.0,,,41-37,,B. McLemore misses 2-pt shot from 5 ft
4:22.0,Defensive rebound by Team,,41-37,,
4:21.0,,,41-37,,D. Collison enters the game for O. Casspi
4:21.0,,,41-37,,D. Williams enters the game for R. McCallum
4:02.0,S. Williams makes 2-pt shot from 3 ft (assist by M. Chalmers),2,43-37,,
3:36.0,,,43-37,,Shooting foul by U. Haslem (drawn by D. Cousins)
3:36.0,,,43-38,1,D. Cousins makes free throw 1 of 2
3:36.0,C. Bosh enters the game for U. Haslem,,43-38,,
3:36.0,,,43-39,1,D. Cousins makes free throw 2 of 2
3:13.0,Turnover by C. Bosh (lost ball),,43-39,,
3:02.0,,,43-41,2,R. Evans makes 2-pt shot from 1 ft (assist by D. Collison)
2:44.0,S. Napier makes 2-pt shot from 19 ft,2,45-41,,
2:27.0,,,45-44,3,B. McLemore makes 3-pt shot from 23 ft (assist by D. Cousins)
2:12.0,,,45-44,,Sacramento full timeout
2:01.0,Turnover by Team (shot clock),,45-44,,
1:40.0,,,45-44,,B. McLemore misses 2-pt shot from 20 ft
1:40.0,Defensive rebound by Team,,45-44,,
1:27.0,L. Deng makes 2-pt shot from 18 ft (assist by S. Napier),2,47-44,,
1:15.0,,,47-44,,R. Evans misses 2-pt shot from 2 ft (block by L. Deng)
1:15.0,Defensive rebound by Team,,47-44,,
1:14.0,Jump ball: L. Deng vs. R. Evans (S. Williams gains possession),,,,Jump ball: L. Deng vs. R. Evans (S. Williams gains possession)
0:58.0,C. Bosh makes 3-pt shot from 25 ft (assist by S. Napier),3,50-44,,
0:40.0,,,50-44,,D. Cousins misses 2-pt shot from 9 ft (block by L. Deng)
0:39.0,Defensive rebound by M. Chalmers,,50-44,,
0:36.0,L. Deng makes 2-pt shot from 2 ft (assist by M. Chalmers),2,52-44,,
0:19.0,,,52-44,,D. Cousins misses 2-pt shot from 6 ft
0:17.0,Defensive rebound by C. Bosh,,52-44,,
0:00.0,S. Napier misses 3-pt shot from 24 ft,,52-44,,
0:00.0,Offensive rebound by Team,,52-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,52-44,,Turnover by D. Cousins (bad pass; steal by L. Deng)
11:17.0,H. Whiteside misses 2-pt shot from 8 ft,,52-44,,
11:16.0,,,52-44,,Defensive rebound by J. Thompson
11:06.0,,,52-44,,J. Thompson misses 2-pt shot from 3 ft (block by C. Bosh)
11:04.0,Defensive rebound by S. Napier,,52-44,,
10:57.0,M. Chalmers misses 3-pt shot from 24 ft,,52-44,,
10:56.0,,,52-44,,Defensive rebound by D. Collison
10:49.0,,,52-44,,Turnover by D. Collison (lost ball; steal by C. Bosh)
10:34.0,L. Deng makes 2-pt shot from 13 ft (assist by S. Napier),2,54-44,,
10:18.0,,,54-44,,B. McLemore misses 2-pt shot from 18 ft (block by H. Whiteside)
10:17.0,Defensive rebound by C. Bosh,,54-44,,
10:09.0,C. Bosh makes 3-pt shot from 24 ft (assist by M. Chalmers),3,57-44,,
10:08.0,,,57-44,,Sacramento full timeout
9:42.0,,,57-46,2,D. Williams makes 2-pt shot from 22 ft
9:29.0,Turnover by S. Napier (bad pass; steal by D. Williams),,57-46,,
9:27.0,,,57-46,,Turnover by B. McLemore (lost ball; steal by S. Napier)
9:13.0,Shooting foul by D. Collison (drawn by H. Whiteside),,57-46,,
9:13.0,H. Whiteside makes free throw 1 of 2,1,58-46,,
9:13.0,H. Whiteside makes free throw 2 of 2,1,59-46,,
9:02.0,,,59-46,,D. Williams misses 2-pt shot from 19 ft
9:02.0,Defensive rebound by S. Napier,,59-46,,
8:51.0,Turnover by S. Napier (back court),,59-46,,
8:36.0,,,59-46,,J. Thompson misses 2-pt shot from 21 ft
8:35.0,Defensive rebound by L. Deng,,59-46,,
8:25.0,M. Chalmers makes 2-pt shot from 1 ft,2,61-46,,
8:00.0,,,61-49,3,B. McLemore makes 3-pt shot from 22 ft (assist by D. Collison)
7:35.0,C. Bosh misses 2-pt shot from 6 ft,,61-49,,
7:34.0,,,61-49,,Defensive rebound by D. Cousins
7:27.0,,,61-49,,Turnover by D. Cousins (lost ball; steal by H. Whiteside)
7:22.0,C. Bosh makes 2-pt shot from 1 ft (assist by H. Whiteside),2,63-49,,
7:08.0,,,63-51,2,D. Cousins makes 2-pt shot from 2 ft (assist by J. Thompson)
6:44.0,M. Chalmers misses 2-pt shot from 20 ft,,63-51,,
6:44.0,,,63-51,,Defensive rebound by D. Cousins
6:35.0,,,63-51,,D. Collison misses 3-pt shot from 26 ft
6:34.0,,,63-51,,Offensive rebound by D. Williams
6:32.0,,,63-53,2,D. Williams makes 2-pt shot from 1 ft
6:32.0,Miami full timeout,,63-53,,
6:12.0,C. Bosh misses 2-pt shot from 2 ft,,63-53,,
6:11.0,,,63-53,,Defensive rebound by D. Cousins
5:52.0,,,63-53,,D. Williams misses 3-pt shot from 24 ft
5:51.0,Defensive rebound by S. Napier,,63-53,,
5:38.0,S. Napier misses 2-pt shot from 2 ft,,63-53,,
5:37.0,,,63-53,,Defensive rebound by D. Cousins
5:35.0,,,63-53,,Turnover by D. Cousins (bad pass; steal by C. Bosh)
5:28.0,L. Deng makes 3-pt shot from 24 ft (assist by C. Bosh),3,66-53,,
5:13.0,,,66-53,,B. McLemore misses 2-pt shot from 10 ft
5:12.0,Defensive rebound by H. Whiteside,,66-53,,
4:55.0,H. Whiteside makes 2-pt shot at rim (assist by C. Bosh),2,68-53,,
4:26.0,Def 3 sec tech foul by H. Whiteside,,68-53,,
4:26.0,,,68-54,1,D. Cousins makes technical free throw
4:26.0,N. Cole enters the game for C. Bosh,,68-54,,
4:26.0,S. Williams enters the game for S. Napier,,68-54,,
4:26.0,,,68-54,,N. Stauskas enters the game for J. Thompson
4:26.0,,,68-54,,R. Evans enters the game for B. McLemore
4:14.0,,,68-54,,D. Williams misses 2-pt shot from 6 ft
4:12.0,,,68-54,,Offensive rebound by R. Evans
4:09.0,,,68-54,,D. Collison misses 3-pt shot from 22 ft
4:08.0,Defensive rebound by L. Deng,,68-54,,
3:48.0,H. Whiteside misses 2-pt shot from 3 ft,,68-54,,
3:48.0,,,68-54,,Defensive rebound by D. Williams
3:40.0,,,68-54,,Shooting foul by N. Cole (drawn by D. Collison)
3:40.0,,,68-55,1,D. Collison makes free throw 1 of 2
3:40.0,,,68-55,,O. Casspi enters the game for D. Williams
3:40.0,,,68-56,1,D. Collison makes free throw 2 of 2
3:22.0,Turnover by M. Chalmers (bad pass; steal by D. Cousins),,68-56,,
3:08.0,,,68-56,,O. Casspi misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by L. Deng,,68-56,,
3:01.0,L. Deng makes 2-pt shot from 9 ft,2,70-56,,
2:51.0,,,70-56,,Turnover by D. Cousins (traveling)
2:51.0,,,70-56,,R. McCallum enters the game for D. Cousins
2:39.0,Turnover by H. Whiteside (lost ball),,70-56,,
2:38.0,Jump ball: R. Evans vs. H. Whiteside (R. McCallum gains possession),,,,Jump ball: R. Evans vs. H. Whiteside (R. McCallum gains possession)
2:20.0,,,70-58,2,N. Stauskas makes 2-pt shot from 15 ft
2:04.0,L. Deng makes 2-pt shot from 6 ft (assist by N. Cole),2,72-58,,
1:46.0,,,72-58,,N. Stauskas misses 2-pt shot from 2 ft
1:45.0,Defensive rebound by M. Chalmers,,72-58,,
1:26.0,L. Deng makes 3-pt shot from 23 ft (assist by N. Cole),3,75-58,,
1:07.0,,,75-58,,D. Collison misses 2-pt shot from 16 ft
1:07.0,Defensive rebound by S. Williams,,75-58,,
0:57.0,N. Cole misses 3-pt shot from 23 ft,,75-58,,
0:56.0,,,75-58,,Defensive rebound by R. McCallum
0:43.0,,,75-58,,R. Evans misses 2-pt shot from 5 ft (block by H. Whiteside)
0:41.0,Defensive rebound by S. Williams,,75-58,,
0:19.0,L. Deng misses 2-pt shot from 14 ft,,75-58,,
0:19.0,,,75-58,,Defensive rebound by R. Evans
0:01.0,,,75-61,3,R. McCallum makes 3-pt shot from 24 ft (assist by D. Collison)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,S. Napier makes 2-pt shot from 20 ft (assist by N. Cole),2,77-61,,
11:25.0,Personal foul by U. Haslem (drawn by D. Cousins),,77-61,,
11:16.0,,,77-61,,O. Casspi misses 2-pt shot from 10 ft
11:15.0,,,77-61,,Offensive rebound by R. Evans
11:11.0,,,77-61,,Turnover by D. Cousins (lost ball)
10:59.0,,,77-61,,Personal foul by R. McCallum (drawn by S. Napier)
10:50.0,N. Cole misses 2-pt shot from 4 ft,,77-61,,
10:49.0,,,77-61,,Defensive rebound by D. Cousins
10:39.0,,,77-61,,N. Stauskas misses 2-pt shot from 20 ft
10:38.0,Defensive rebound by D. Granger,,77-61,,
10:30.0,D. Granger misses 2-pt shot from 20 ft,,77-61,,
10:28.0,,,77-61,,Defensive rebound by R. Evans
10:09.0,,,77-61,,Offensive charge foul by D. Cousins
10:09.0,,,77-61,,Turnover by D. Cousins (offensive foul)
9:53.0,C. Bosh makes 2-pt shot from 15 ft (assist by N. Cole),2,79-61,,
9:34.0,Personal foul by D. Granger (drawn by O. Casspi),,79-61,,
9:34.0,,,79-61,,D. Collison enters the game for N. Stauskas
9:34.0,,,79-61,,B. McLemore enters the game for R. McCallum
9:26.0,,,79-64,3,B. McLemore makes 3-pt shot from 24 ft (assist by O. Casspi)
8:59.0,S. Napier misses 2-pt shot from 4 ft,,79-64,,
8:57.0,Offensive rebound by U. Haslem,,79-64,,
8:54.0,U. Haslem makes 2-pt shot at rim,2,81-64,,
8:42.0,,,81-64,,O. Casspi misses 2-pt shot from 7 ft
8:41.0,Defensive rebound by D. Granger,,81-64,,
8:34.0,C. Bosh misses 2-pt shot from 2 ft,,81-64,,
8:34.0,Offensive rebound by C. Bosh,,81-64,,
8:34.0,,,81-64,,Personal foul by R. Evans (drawn by C. Bosh)
8:34.0,Official timeout,,81-64,,
8:34.0,,,81-64,,D. Williams enters the game for O. Casspi
8:34.0,,,81-64,,J. Thompson enters the game for R. Evans
8:24.0,C. Bosh makes 2-pt shot from 14 ft,2,83-64,,
8:09.0,,,83-64,,D. Cousins misses 2-pt shot from 5 ft
8:08.0,Defensive rebound by U. Haslem,,83-64,,
7:55.0,Turnover by D. Granger (3 sec),,83-64,,
7:44.0,,,83-66,2,D. Williams makes 2-pt shot at rim (assist by D. Cousins)
7:19.0,C. Bosh misses 2-pt shot from 20 ft,,83-66,,
7:19.0,,,83-66,,Defensive rebound by B. McLemore
7:04.0,,,83-66,,J. Thompson misses 2-pt shot from 6 ft
7:03.0,Defensive rebound by S. Napier,,83-66,,
6:41.0,S. Napier makes 3-pt shot from 23 ft,3,86-66,,
6:23.0,,,86-68,2,D. Collison makes 2-pt shot from 14 ft
5:56.0,D. Granger misses 2-pt shot from 21 ft,,86-68,,
5:56.0,,,86-68,,Defensive rebound by J. Thompson
5:48.0,,,86-68,,D. Williams misses 2-pt shot at rim
5:47.0,,,86-68,,Offensive rebound by D. Williams
5:47.0,,,86-70,2,D. Williams makes 2-pt shot at rim
5:47.0,Miami full timeout,,86-70,,
5:47.0,L. Deng enters the game for N. Cole,,86-70,,
5:47.0,M. Chalmers enters the game for D. Granger,,86-70,,
5:32.0,,,86-70,,Personal foul by J. Thompson (drawn by U. Haslem)
5:29.0,,,86-70,,Personal foul by D. Collison (drawn by S. Napier)
5:16.0,Shooting foul by D. Collison (drawn by S. Napier),,86-70,,
5:16.0,S. Napier misses free throw 1 of 2,,86-70,,
5:16.0,Offensive rebound by Team,,86-70,,
5:16.0,S. Napier makes free throw 2 of 2,1,87-70,,
4:56.0,,,87-72,2,B. McLemore makes 2-pt shot from 15 ft
4:29.0,Shooting foul by J. Thompson (drawn by C. Bosh),,87-72,,
4:29.0,C. Bosh makes free throw 1 of 2,1,88-72,,
4:29.0,C. Bosh makes free throw 2 of 2,1,89-72,,
4:14.0,Violation by L. Deng (kicked ball),,89-72,,
4:05.0,,,89-72,,D. Williams misses 2-pt shot from 8 ft
4:04.0,Defensive rebound by M. Chalmers,,89-72,,
3:56.0,S. Napier misses 3-pt shot from 24 ft,,89-72,,
3:55.0,,,89-72,,Defensive rebound by D. Williams
3:38.0,,,89-74,2,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins)
3:38.0,,,89-74,,Violation by Team (delay of game)
3:14.0,C. Bosh makes 2-pt shot from 16 ft (assist by L. Deng),2,91-74,,
3:00.0,,,91-74,,D. Cousins misses 2-pt shot from 5 ft
2:59.0,Defensive rebound by U. Haslem,,91-74,,
2:38.0,Turnover by U. Haslem (bad pass; steal by J. Thompson),,91-74,,
2:31.0,,,91-76,2,D. Collison makes 2-pt shot from 21 ft
2:05.0,U. Haslem makes 2-pt shot from 17 ft (assist by L. Deng),2,93-76,,
2:04.0,,,93-76,,Sacramento full timeout
2:04.0,,,93-76,,R. McCallum enters the game for D. Williams
2:04.0,,,93-76,,R. Hollins enters the game for J. Thompson
2:04.0,,,93-76,,N. Stauskas enters the game for D. Cousins
2:04.0,,,93-76,,O. Casspi enters the game for B. McLemore
2:04.0,,,93-76,,R. Evans enters the game for D. Collison
1:49.0,,,93-78,2,R. Hollins makes 2-pt shot from 2 ft (assist by N. Stauskas)
1:27.0,L. Deng misses 3-pt shot from 24 ft,,93-78,,
1:27.0,,,93-78,,Defensive rebound by R. McCallum
1:15.0,,,93-80,2,N. Stauskas makes 2-pt shot from 15 ft (assist by R. McCallum)
0:52.0,M. Chalmers misses 3-pt shot from 24 ft,,93-80,,
0:51.0,,,93-80,,Defensive rebound by R. Hollins
0:42.0,,,93-80,,O. Casspi misses 2-pt shot from 5 ft
0:41.0,Defensive rebound by S. Napier,,93-80,,
0:21.0,U. Haslem makes 2-pt shot from 2 ft (assist by S. Napier),2,95-80,,
0:05.0,,,95-83,3,R. McCallum makes 3-pt shot from 25 ft (assist by O. Casspi)
0:00.0,End of 4th quarter,,,,End of 4th quarter
