time,Portland,pts.away,score,pts.home,Milwaukee
6:04.0,L. Aldridge misses 2-pt shot from 19 ft,,8-11,,
6:03.0,,,8-11,,Defensive rebound by G. Antetokounmpo
5:53.0,,,8-11,,K. Middleton misses 3-pt shot from 23 ft
5:52.0,,,8-11,,Offensive rebound by J. Dudley
5:46.0,,,8-13,2,K. Middleton makes 2-pt shot from 15 ft (assist by J. Dudley)
5:40.0,Portland full timeout,,8-13,,
5:40.0,C. McCollum enters the game for W. Matthews,,8-13,,
5:30.0,D. Lillard makes 2-pt shot from 1 ft,2,10-13,,
5:10.0,,,10-16,3,B. Knight makes 3-pt shot from 25 ft
4:59.0,Turnover by N. Batum (traveling),,10-16,,
4:55.0,C. Kaman enters the game for M. Leonard,,10-16,,
4:53.0,Personal foul by C. McCollum (drawn by K. Middleton),,10-16,,
4:43.0,,,10-19,3,J. Dudley makes 3-pt shot from 27 ft (assist by K. Middleton)
4:28.0,,,10-19,,Personal foul by B. Knight (drawn by D. Lillard)
4:15.0,Turnover by L. Aldridge (lost ball; steal by B. Knight),,10-19,,
3:57.0,,,10-21,2,K. Middleton makes 2-pt shot from 16 ft
3:36.0,D. Lillard makes 3-pt shot from 23 ft (assist by N. Batum),3,13-21,,
3:23.0,,,13-21,,B. Knight misses 2-pt shot from 15 ft
3:22.0,Defensive rebound by C. Kaman,,13-21,,
3:13.0,D. Lillard misses 3-pt shot from 27 ft,,13-21,,
3:11.0,,,13-21,,Defensive rebound by B. Knight
3:01.0,Shooting block foul by C. Kaman (drawn by J. Henson),,13-21,,
3:01.0,,,13-22,1,J. Henson makes free throw 1 of 2
3:01.0,D. Wright enters the game for N. Batum,,13-22,,
3:01.0,,,13-22,,Milwaukee full timeout
3:01.0,S. Blake enters the game for D. Lillard,,13-22,,
3:01.0,,,13-23,1,J. Henson makes free throw 2 of 2
2:49.0,,,13-23,,Def 3 sec tech foul by J. Henson
2:49.0,S. Blake misses technical free throw,,13-23,,
2:49.0,Offensive rebound by Team,,13-23,,
2:39.0,C. Kaman misses 2-pt shot from 7 ft (block by J. Henson),,13-23,,
2:37.0,,,13-23,,Defensive rebound by J. Dudley
2:17.0,,,13-25,2,K. Middleton makes 2-pt shot from 15 ft
2:00.0,C. Kaman misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,13-25,,
1:58.0,Offensive rebound by L. Aldridge,,13-25,,
1:56.0,L. Aldridge makes 2-pt shot at rim,2,15-25,,
1:41.0,,,15-27,2,J. Dudley makes 2-pt shot from 12 ft (assist by B. Knight)
1:28.0,C. McCollum misses 2-pt shot from 15 ft,,15-27,,
1:27.0,,,15-27,,Defensive rebound by B. Knight
1:23.0,,,15-27,,Turnover by B. Knight (bad pass)
1:23.0,W. Matthews enters the game for C. McCollum,,15-27,,
1:01.0,D. Wright misses 3-pt shot from 24 ft,,15-27,,
1:00.0,,,15-27,,Defensive rebound by J. Henson
0:45.0,,,15-27,,J. Dudley misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by L. Aldridge,,15-27,,
0:31.0,W. Matthews misses 3-pt shot from 23 ft,,15-27,,
0:30.0,,,15-27,,Defensive rebound by J. Henson
0:09.0,,,15-27,,Milwaukee full timeout
0:09.0,,,15-27,,K. Martin enters the game for J. Henson
0:06.0,,,15-27,,Turnover by Team (shot clock)
0:00.0,D. Wright misses 2-pt shot from 20 ft,,15-27,,
0:00.0,Offensive rebound by Team,,15-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,15-27,,Personal foul by J. Gutierrez (drawn by S. Blake)
11:42.0,C. Kaman makes 2-pt shot from 16 ft (assist by W. Matthews),2,17-27,,
11:28.0,Shooting block foul by D. Wright (drawn by G. Antetokounmpo),,17-27,,
11:28.0,,,17-28,1,G. Antetokounmpo makes free throw 1 of 2
11:28.0,,,17-29,1,G. Antetokounmpo makes free throw 2 of 2
11:08.0,W. Matthews misses 2-pt shot from 7 ft,,17-29,,
11:06.0,,,17-29,,Defensive rebound by K. Martin
10:59.0,,,17-29,,Turnover by G. Antetokounmpo (lost ball)
10:45.0,W. Matthews makes 2-pt shot at rim (assist by S. Blake),2,19-29,,
10:45.0,Shooting foul by G. Antetokounmpo (drawn by W. Matthews),,19-29,,
10:45.0,W. Matthews misses free throw 1 of 1,,19-29,,
10:44.0,,,19-29,,Defensive rebound by G. Antetokounmpo
10:24.0,,,19-29,,J. Bayless misses 2-pt shot from 16 ft
10:23.0,Defensive rebound by C. Kaman,,19-29,,
10:14.0,Shooting foul by O. Mayo (drawn by C. Kaman),,19-29,,
10:14.0,C. Kaman makes free throw 1 of 2,1,20-29,,
10:14.0,C. Kaman misses free throw 2 of 2,,20-29,,
10:13.0,,,20-29,,Defensive rebound by G. Antetokounmpo
9:57.0,,,20-29,,O. Mayo misses 2-pt shot from 12 ft
9:56.0,,,20-29,,Offensive rebound by K. Martin
9:48.0,,,20-32,3,O. Mayo makes 3-pt shot from 25 ft (assist by K. Martin)
9:35.0,D. Wright misses 3-pt shot from 25 ft,,20-32,,
9:34.0,,,20-32,,Defensive rebound by J. Gutierrez
9:21.0,,,20-32,,J. Bayless misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by D. Wright,,20-32,,
9:07.0,D. Wright misses 2-pt shot from 3 ft,,20-32,,
9:06.0,,,20-32,,Defensive rebound by G. Antetokounmpo
8:56.0,,,20-32,,G. Antetokounmpo misses 2-pt shot from 19 ft
8:55.0,Defensive rebound by S. Blake,,20-32,,
8:49.0,,,20-32,,Personal foul by J. Gutierrez (drawn by W. Matthews)
8:49.0,Official timeout,,20-32,,
8:49.0,D. Lillard enters the game for D. Wright,,20-32,,
8:49.0,N. Batum enters the game for W. Matthews,,20-32,,
8:49.0,,,20-32,,K. Middleton enters the game for G. Antetokounmpo
8:39.0,S. Blake misses 3-pt shot from 23 ft,,20-32,,
8:38.0,,,20-32,,Defensive rebound by J. Gutierrez
8:27.0,,,20-32,,O. Mayo misses 2-pt shot at rim
8:25.0,Defensive rebound by D. Lillard,,20-32,,
8:21.0,W. Barton makes 2-pt shot at rim (assist by D. Lillard),2,22-32,,
8:06.0,,,22-32,,O. Mayo misses 2-pt shot from 5 ft
8:05.0,Defensive rebound by D. Lillard,,22-32,,
7:59.0,Turnover by N. Batum (bad pass),,22-32,,
7:50.0,,,22-32,,O. Mayo misses 2-pt shot from 1 ft
7:49.0,,,22-32,,Offensive rebound by Team
7:44.0,,,22-34,2,O. Mayo makes 2-pt shot from 15 ft (assist by J. Bayless)
7:39.0,W. Barton misses 2-pt shot at rim (block by K. Martin),,22-34,,
7:39.0,Offensive rebound by Team,,22-34,,
7:32.0,N. Batum misses 3-pt shot from 24 ft,,22-34,,
7:30.0,,,22-34,,Defensive rebound by O. Mayo
7:25.0,,,22-34,,Turnover by O. Mayo (bad pass)
7:03.0,W. Barton misses 2-pt shot from 18 ft,,22-34,,
7:02.0,,,22-34,,Defensive rebound by J. Gutierrez
6:51.0,,,22-36,2,K. Martin makes 2-pt shot at rim (assist by J. Bayless)
6:50.0,Portland full timeout,,22-36,,
6:50.0,,,22-36,,J. O'Bryant enters the game for K. Martin
6:50.0,W. Matthews enters the game for C. Kaman,,22-36,,
6:50.0,L. Aldridge enters the game for S. Blake,,22-36,,
6:50.0,T. Robinson enters the game for W. Barton,,22-36,,
6:33.0,L. Aldridge makes 2-pt shot from 16 ft (assist by W. Matthews),2,24-36,,
6:18.0,,,24-38,2,J. Gutierrez makes 2-pt shot at rim (assist by K. Middleton)
6:01.0,,,24-38,,Personal block foul by J. O'Bryant (drawn by W. Matthews)
6:01.0,W. Matthews misses free throw 1 of 2,,24-38,,
6:01.0,Offensive rebound by Team,,24-38,,
6:01.0,W. Matthews makes free throw 2 of 2,1,25-38,,
5:50.0,,,25-38,,O. Mayo misses 2-pt shot at rim
5:50.0,,,25-38,,Offensive rebound by Team
5:28.0,,,25-38,,Turnover by J. Bayless (bad pass; steal by D. Lillard)
5:23.0,D. Lillard misses 2-pt shot at rim,,25-38,,
5:21.0,,,25-38,,Defensive rebound by J. Gutierrez
5:14.0,,,25-38,,O. Mayo misses 3-pt shot from 24 ft
5:12.0,,,25-38,,Offensive rebound by J. O'Bryant
5:10.0,,,25-38,,J. O'Bryant misses 2-pt shot at rim
5:08.0,,,25-38,,Offensive rebound by J. O'Bryant
5:06.0,,,25-40,2,J. O'Bryant makes 2-pt shot from 1 ft
4:50.0,N. Batum misses 2-pt shot from 6 ft,,25-40,,
4:48.0,Offensive rebound by L. Aldridge,,25-40,,
4:48.0,L. Aldridge makes 2-pt shot at rim,2,27-40,,
4:35.0,,,27-40,,Turnover by J. Bayless (bad pass; steal by W. Matthews)
4:28.0,L. Aldridge misses 3-pt shot from 24 ft,,27-40,,
4:25.0,,,27-40,,Defensive rebound by O. Mayo
4:06.0,,,27-40,,O. Mayo misses 2-pt shot from 14 ft
4:04.0,Defensive rebound by D. Lillard,,27-40,,
3:56.0,D. Lillard makes 2-pt shot at rim,2,29-40,,
3:42.0,Personal foul by T. Robinson (drawn by J. Bayless),,29-40,,
3:42.0,,,29-40,,B. Knight enters the game for J. Gutierrez
3:37.0,,,29-40,,K. Middleton misses 2-pt shot from 18 ft
3:36.0,Defensive rebound by N. Batum,,29-40,,
3:27.0,W. Matthews misses 2-pt shot at rim,,29-40,,
3:26.0,Offensive rebound by W. Matthews,,29-40,,
3:26.0,W. Matthews misses 2-pt shot at rim,,29-40,,
3:24.0,Offensive rebound by D. Lillard,,29-40,,
3:23.0,D. Lillard makes 2-pt shot at rim,2,31-40,,
3:22.0,,,31-40,,Milwaukee full timeout
3:22.0,,,31-40,,J. Henson enters the game for J. Bayless
3:22.0,,,31-40,,G. Antetokounmpo enters the game for O. Mayo
3:22.0,,,31-40,,J. Dudley enters the game for J. O'Bryant
3:11.0,,,31-42,2,J. Henson makes 2-pt shot from 9 ft (assist by K. Middleton)
2:58.0,L. Aldridge misses 2-pt shot from 4 ft,,31-42,,
2:58.0,Offensive rebound by Team,,31-42,,
2:58.0,Shooting foul by J. Henson (drawn by L. Aldridge),,31-42,,
2:58.0,L. Aldridge makes free throw 1 of 2,1,32-42,,
2:58.0,L. Aldridge makes free throw 2 of 2,1,33-42,,
2:36.0,Violation by W. Matthews (kicked ball),,33-42,,
2:33.0,,,33-42,,Turnover by J. Dudley (bad pass)
2:23.0,W. Matthews makes 2-pt shot at rim (assist by D. Lillard),2,35-42,,
2:00.0,,,35-42,,Turnover by G. Antetokounmpo (lost ball; steal by T. Robinson)
1:54.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard),3,38-42,,
1:36.0,,,38-42,,Turnover by J. Henson (lost ball; steal by T. Robinson)
1:30.0,T. Robinson makes 2-pt shot at rim (assist by W. Matthews),2,40-42,,
1:13.0,,,40-42,,Turnover by B. Knight (bad pass; steal by T. Robinson)
1:10.0,Turnover by N. Batum (bad pass; steal by G. Antetokounmpo),,40-42,,
1:05.0,,,40-42,,B. Knight misses 3-pt shot from 24 ft
1:04.0,Defensive rebound by T. Robinson,,40-42,,
0:53.0,Turnover by D. Lillard (lost ball; steal by J. Dudley),,40-42,,
0:52.0,Personal foul by W. Matthews (drawn by B. Knight),,40-42,,
0:37.0,,,40-42,,Turnover by J. Dudley (lost ball; steal by N. Batum)
0:32.0,D. Lillard misses 2-pt shot at rim,,40-42,,
0:31.0,Offensive rebound by T. Robinson,,40-42,,
0:31.0,T. Robinson misses 2-pt shot at rim,,40-42,,
0:30.0,Offensive rebound by L. Aldridge,,40-42,,
0:29.0,L. Aldridge makes 2-pt shot from 17 ft,2,42-42,,
0:08.0,,,42-44,2,B. Knight makes 2-pt shot at rim
0:08.0,,,42-44,,Shooting foul by L. Aldridge (drawn by B. Knight)
0:08.0,,,42-45,1,B. Knight makes free throw 1 of 1
0:08.0,Portland full timeout,,42-45,,
0:08.0,S. Blake enters the game for T. Robinson,,42-45,,
0:01.0,Turnover by D. Lillard (lost ball; steal by J. Dudley),,42-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,N. Batum makes 3-pt shot from 25 ft (assist by D. Lillard),3,45-45,,
11:31.0,,,45-47,2,G. Antetokounmpo makes 2-pt shot from 18 ft
11:16.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,48-47,,
11:03.0,,,48-49,2,J. Henson makes 2-pt shot from 6 ft (assist by B. Knight)
10:39.0,W. Matthews misses 3-pt shot from 25 ft,,48-49,,
10:38.0,,,48-49,,Defensive rebound by J. Henson
10:38.0,Loose ball foul by T. Robinson (drawn by J. Henson),,48-49,,
10:26.0,,,48-49,,J. Henson misses 2-pt shot from 5 ft
10:26.0,Defensive rebound by T. Robinson,,48-49,,
10:26.0,,,48-49,,Loose ball foul by J. Henson (drawn by T. Robinson)
10:11.0,L. Aldridge misses 2-pt shot from 13 ft,,48-49,,
10:10.0,,,48-49,,Defensive rebound by B. Knight
10:02.0,,,48-51,2,B. Knight makes 2-pt shot from 16 ft
10:02.0,,,48-51,,Shooting foul by W. Matthews (drawn by B. Knight)
10:02.0,,,48-52,1,B. Knight makes free throw 1 of 1
9:41.0,Shooting foul by J. Henson (drawn by L. Aldridge),,48-52,,
9:41.0,L. Aldridge makes free throw 1 of 2,1,49-52,,
9:41.0,L. Aldridge makes free throw 2 of 2,1,50-52,,
9:23.0,,,50-52,,G. Antetokounmpo misses 2-pt shot at rim (block by T. Robinson)
9:21.0,,,50-52,,Offensive rebound by J. Henson
9:17.0,,,50-52,,B. Knight misses 3-pt shot from 26 ft
9:16.0,,,50-52,,Offensive rebound by G. Antetokounmpo
9:14.0,,,50-52,,Shooting foul by T. Robinson (drawn by G. Antetokounmpo)
9:14.0,,,50-53,1,G. Antetokounmpo makes free throw 1 of 2
9:14.0,,,50-54,1,G. Antetokounmpo makes free throw 2 of 2
9:01.0,W. Matthews makes 3-pt shot from 25 ft (assist by N. Batum),3,53-54,,
8:48.0,,,53-54,,B. Knight misses 2-pt shot from 17 ft
8:46.0,Defensive rebound by T. Robinson,,53-54,,
8:32.0,N. Batum misses 2-pt shot from 2 ft (block by J. Henson),,53-54,,
8:29.0,,,53-54,,Defensive rebound by J. Dudley
8:21.0,,,53-54,,B. Knight misses 2-pt shot from 3 ft
8:20.0,Defensive rebound by L. Aldridge,,53-54,,
8:14.0,W. Matthews misses 2-pt shot at rim,,53-54,,
8:13.0,,,53-54,,Defensive rebound by G. Antetokounmpo
7:52.0,,,53-56,2,J. Henson makes 2-pt shot at rim (assist by B. Knight)
7:38.0,Turnover by D. Lillard (bad pass; steal by K. Middleton),,53-56,,
7:34.0,,,53-58,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
7:12.0,L. Aldridge misses 2-pt shot from 17 ft,,53-58,,
7:10.0,,,53-58,,Defensive rebound by J. Henson
6:54.0,,,53-60,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
6:54.0,Portland full timeout,,53-60,,
6:35.0,D. Lillard misses 3-pt shot from 29 ft,,53-60,,
6:35.0,,,53-60,,Defensive rebound by Team
6:21.0,,,53-60,,B. Knight misses 2-pt shot from 12 ft
6:20.0,Defensive rebound by N. Batum,,53-60,,
6:13.0,Turnover by D. Lillard (lost ball; steal by G. Antetokounmpo),,53-60,,
6:05.0,,,53-60,,J. Dudley misses 3-pt shot from 23 ft
6:03.0,Defensive rebound by L. Aldridge,,53-60,,
5:51.0,Turnover by D. Lillard (lost ball; steal by J. Dudley),,53-60,,
5:48.0,,,53-60,,Turnover by J. Dudley (lost ball; steal by N. Batum)
5:41.0,D. Lillard misses 3-pt shot from 23 ft,,53-60,,
5:40.0,,,53-60,,Defensive rebound by J. Henson
5:24.0,,,53-60,,J. Henson misses 2-pt shot from 10 ft
5:23.0,Defensive rebound by T. Robinson,,53-60,,
5:14.0,T. Robinson makes 2-pt shot at rim (assist by N. Batum),2,55-60,,
5:00.0,,,55-60,,Shooting foul by T. Robinson (drawn by J. Dudley)
5:00.0,,,55-61,1,J. Dudley makes free throw 1 of 2
5:00.0,D. Wright enters the game for W. Matthews,,55-61,,
5:00.0,W. Barton enters the game for T. Robinson,,55-61,,
5:00.0,,,55-61,,K. Martin enters the game for J. Henson
5:00.0,,,55-61,,O. Mayo enters the game for K. Middleton
5:00.0,,,55-61,,J. Dudley misses free throw 2 of 2
4:59.0,Defensive rebound by N. Batum,,55-61,,
4:48.0,L. Aldridge misses 2-pt shot from 7 ft,,55-61,,
4:47.0,,,55-61,,Defensive rebound by O. Mayo
4:39.0,,,55-63,2,J. Dudley makes 2-pt shot at rim (assist by B. Knight)
4:22.0,Shooting foul by J. Dudley (drawn by D. Lillard),,55-63,,
4:22.0,D. Lillard makes free throw 1 of 2,1,56-63,,
4:22.0,D. Lillard makes free throw 2 of 2,1,57-63,,
4:13.0,Personal foul by D. Lillard (drawn by B. Knight),,57-63,,
4:13.0,,,57-64,1,B. Knight makes free throw 1 of 2
4:13.0,,,57-65,1,B. Knight makes free throw 2 of 2
3:59.0,N. Batum misses 3-pt shot from 23 ft,,57-65,,
3:58.0,,,57-65,,Defensive rebound by K. Martin
3:43.0,,,57-65,,B. Knight misses 2-pt shot from 5 ft
3:42.0,Defensive rebound by L. Aldridge,,57-65,,
3:36.0,D. Lillard misses 3-pt shot from 25 ft,,57-65,,
3:35.0,,,57-65,,Defensive rebound by G. Antetokounmpo
3:14.0,,,57-67,2,O. Mayo makes 2-pt shot at rim
3:04.0,D. Wright makes 3-pt shot from 23 ft (assist by W. Barton),3,60-67,,
2:42.0,,,60-67,,O. Mayo misses 3-pt shot from 26 ft
2:41.0,Defensive rebound by D. Wright,,60-67,,
2:30.0,D. Wright makes 3-pt shot from 27 ft (assist by D. Lillard),3,63-67,,
2:28.0,,,63-67,,Milwaukee full timeout
2:28.0,,,63-67,,J. Bayless enters the game for B. Knight
2:28.0,,,63-67,,K. Middleton enters the game for J. Dudley
2:28.0,S. Blake enters the game for D. Lillard,,63-67,,
2:18.0,,,63-67,,O. Mayo misses 3-pt shot from 23 ft
2:17.0,,,63-67,,Offensive rebound by K. Martin
2:07.0,Personal foul by W. Barton (drawn by O. Mayo),,63-67,,
2:07.0,,,63-68,1,O. Mayo makes free throw 1 of 2
2:07.0,,,63-69,1,O. Mayo makes free throw 2 of 2
1:47.0,L. Aldridge misses 2-pt shot from 19 ft,,63-69,,
1:44.0,Offensive rebound by N. Batum,,63-69,,
1:42.0,N. Batum misses 2-pt shot from 12 ft,,63-69,,
1:41.0,Offensive rebound by L. Aldridge,,63-69,,
1:40.0,L. Aldridge makes 2-pt shot at rim,2,65-69,,
1:27.0,,,65-69,,Offensive foul by G. Antetokounmpo
1:27.0,,,65-69,,Turnover by G. Antetokounmpo (offensive foul)
1:27.0,W. Matthews enters the game for N. Batum,,65-69,,
1:06.0,D. Wright misses 2-pt shot from 1 ft,,65-69,,
1:05.0,,,65-69,,Defensive rebound by O. Mayo
0:58.0,,,65-72,3,O. Mayo makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
0:41.0,W. Matthews misses 3-pt shot from 25 ft,,65-72,,
0:40.0,,,65-72,,Defensive rebound by G. Antetokounmpo
0:32.0,,,65-74,2,J. Bayless makes 2-pt shot from 14 ft
0:16.0,S. Blake misses 3-pt shot from 25 ft,,65-74,,
0:14.0,,,65-74,,Defensive rebound by G. Antetokounmpo
0:02.0,,,65-76,2,J. Bayless makes 2-pt shot from 20 ft
0:00.0,W. Barton misses 3-pt shot from 38 ft,,65-76,,
0:00.0,Offensive rebound by Team,,65-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,65-78,2,O. Mayo makes 2-pt shot at rim (assist by J. Bayless)
11:33.0,S. Blake misses 2-pt shot from 14 ft,,65-78,,
11:32.0,,,65-78,,Defensive rebound by J. Bayless
11:14.0,,,65-81,3,O. Mayo makes 3-pt shot from 24 ft
10:55.0,Shooting foul by K. Martin (drawn by D. Lillard),,65-81,,
10:55.0,D. Lillard makes free throw 1 of 2,1,66-81,,
10:55.0,C. McCollum enters the game for S. Blake,,66-81,,
10:55.0,D. Lillard makes free throw 2 of 2,1,67-81,,
10:40.0,,,67-81,,O. Mayo misses 2-pt shot from 7 ft
10:39.0,Defensive rebound by W. Matthews,,67-81,,
10:24.0,D. Lillard makes 2-pt shot from 17 ft,2,69-81,,
10:09.0,,,69-81,,J. Bayless misses 2-pt shot from 15 ft
10:08.0,Defensive rebound by D. Wright,,69-81,,
9:56.0,D. Wright misses 2-pt shot from 20 ft,,69-81,,
9:52.0,,,69-81,,Defensive rebound by O. Mayo
9:38.0,,,69-81,,Turnover by J. Dudley (lost ball; steal by W. Matthews)
9:38.0,,,69-81,,Personal foul by K. Middleton (drawn by D. Wright)
9:38.0,N. Batum enters the game for D. Wright,,69-81,,
9:31.0,D. Lillard misses 3-pt shot from 27 ft,,69-81,,
9:30.0,Offensive rebound by C. McCollum,,69-81,,
9:24.0,D. Lillard misses 2-pt shot from 2 ft (block by K. Martin),,69-81,,
9:22.0,,,69-81,,Defensive rebound by O. Mayo
9:16.0,,,69-84,3,J. Bayless makes 3-pt shot from 24 ft (assist by J. Dudley)
9:15.0,Portland full timeout,,69-84,,
9:15.0,L. Aldridge enters the game for W. Matthews,,69-84,,
9:01.0,C. McCollum misses 2-pt shot from 6 ft (block by J. Dudley),,69-84,,
8:59.0,,,69-84,,Defensive rebound by K. Middleton
8:44.0,,,69-84,,O. Mayo misses 3-pt shot from 27 ft
8:43.0,Defensive rebound by L. Aldridge,,69-84,,
8:33.0,Turnover by T. Robinson (lost ball),,69-84,,
8:22.0,,,69-87,3,J. Dudley makes 3-pt shot from 24 ft (assist by O. Mayo)
8:05.0,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Lillard),2,71-87,,
7:45.0,,,71-89,2,J. Dudley makes 2-pt shot from 14 ft
7:34.0,L. Aldridge misses 2-pt shot from 20 ft,,71-89,,
7:33.0,,,71-89,,Defensive rebound by J. Bayless
7:16.0,,,71-91,2,J. Bayless makes 2-pt shot from 14 ft
6:58.0,D. Lillard misses 3-pt shot from 23 ft,,71-91,,
6:57.0,,,71-91,,Defensive rebound by K. Middleton
6:44.0,,,71-91,,J. Bayless misses 2-pt shot from 17 ft
6:43.0,Defensive rebound by L. Aldridge,,71-91,,
6:26.0,,,71-91,,Personal foul by O. Mayo (drawn by L. Aldridge)
6:26.0,W. Matthews enters the game for C. McCollum,,71-91,,
6:14.0,Turnover by L. Aldridge (lost ball; steal by K. Martin),,71-91,,
6:00.0,,,71-91,,Turnover by K. Martin (offensive goaltending)
5:48.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,74-91,,
5:46.0,,,74-91,,Milwaukee full timeout
5:46.0,,,74-91,,J. Henson enters the game for K. Martin
5:25.0,,,74-91,,K. Middleton misses 2-pt shot from 13 ft
5:23.0,Defensive rebound by T. Robinson,,74-91,,
5:19.0,D. Lillard makes 2-pt shot at rim,2,76-91,,
5:19.0,Shooting foul by K. Middleton (drawn by D. Lillard),,76-91,,
5:19.0,D. Lillard misses free throw 1 of 1,,76-91,,
5:17.0,,,76-91,,Defensive rebound by J. Dudley
4:55.0,,,76-91,,O. Mayo misses 3-pt shot from 26 ft (block by W. Matthews)
4:55.0,,,76-91,,Offensive rebound by Team
4:55.0,,,76-91,,Turnover by Team (shot clock)
4:41.0,W. Matthews makes 2-pt shot at rim,2,78-91,,
4:32.0,Personal foul by W. Matthews (drawn by J. Bayless),,78-91,,
4:19.0,,,78-93,2,J. Bayless makes 2-pt shot from 18 ft (assist by J. Henson)
4:11.0,,,78-93,,Personal block foul by O. Mayo (drawn by D. Lillard)
4:11.0,D. Lillard makes free throw 1 of 2,1,79-93,,
4:11.0,D. Lillard makes free throw 2 of 2,1,80-93,,
3:58.0,,,80-93,,J. Bayless misses 2-pt shot from 15 ft
3:57.0,Defensive rebound by W. Matthews,,80-93,,
3:45.0,D. Lillard misses 3-pt shot from 28 ft,,80-93,,
3:44.0,,,80-93,,Defensive rebound by J. Henson
3:22.0,,,80-95,2,J. Dudley makes 2-pt shot at rim
3:01.0,L. Aldridge misses 2-pt shot from 5 ft,,80-95,,
2:59.0,,,80-95,,Defensive rebound by K. Middleton
2:38.0,,,80-95,,K. Middleton misses 2-pt shot from 6 ft (block by D. Lillard)
2:36.0,,,80-95,,Offensive rebound by K. Middleton
2:36.0,,,80-95,,Turnover by Team (shot clock)
2:36.0,Official timeout,,80-95,,
