time,Charlotte,pts.away,score,pts.home,Brooklyn
6:24.0,,,44-28,1,B. Bogdanovic makes free throw 2 of 2
6:00.0,Turnover by A. Jefferson (lost ball),,44-28,,
5:49.0,,,44-31,3,T. Young makes 3-pt shot from 25 ft (assist by D. Williams)
5:42.0,Charlotte full timeout,,44-31,,
5:25.0,,,44-31,,Personal foul by J. Johnson (drawn by G. Henderson)
5:25.0,G. Henderson makes free throw 1 of 2,1,45-31,,
5:25.0,G. Henderson makes free throw 2 of 2,1,46-31,,
5:12.0,,,46-33,2,M. Plumlee makes 2-pt shot from 4 ft (assist by D. Williams)
4:58.0,,,46-33,,Personal foul by M. Plumlee (drawn by A. Jefferson)
4:58.0,A. Jefferson misses free throw 1 of 2,,46-33,,
4:58.0,Offensive rebound by Team,,46-33,,
4:58.0,A. Jefferson makes free throw 2 of 2,1,47-33,,
4:41.0,,,47-35,2,T. Young makes 2-pt shot from 9 ft
4:32.0,,,47-35,,Personal foul by D. Williams (drawn by M. Williams)
4:32.0,M. Williams makes free throw 1 of 2,1,48-35,,
4:32.0,M. Williams makes free throw 2 of 2,1,49-35,,
4:20.0,,,49-35,,D. Williams misses 2-pt shot from 15 ft
4:19.0,Defensive rebound by M. Williams,,49-35,,
4:09.0,M. Williams makes 3-pt shot from 24 ft (assist by M. Williams),3,52-35,,
3:59.0,,,52-37,2,M. Plumlee makes 2-pt shot from 4 ft (assist by D. Williams)
3:46.0,A. Jefferson makes 2-pt shot from 17 ft (assist by M. Williams),2,54-37,,
3:35.0,,,54-39,2,M. Plumlee makes 2-pt shot from 6 ft (assist by D. Williams)
3:20.0,A. Jefferson misses 2-pt shot from 2 ft,,54-39,,
3:19.0,,,54-39,,Defensive rebound by B. Bogdanovic
3:16.0,,,54-39,,Shooting foul by M. Williams (drawn by B. Bogdanovic)
3:16.0,Technical foul by M. Williams (drawn by B. Bogdanovic),,54-39,,
3:16.0,,,54-40,1,B. Bogdanovic makes technical free throw
3:16.0,M. Kidd-Gilchrist enters the game for L. Stephenson,,54-40,,
3:16.0,,,54-40,,B. Bogdanovic misses free throw 1 of 2
3:16.0,,,54-40,,Offensive rebound by Team
3:16.0,,,54-40,,B. Lopez enters the game for M. Plumlee
3:16.0,,,54-40,,B. Bogdanovic misses free throw 2 of 2
3:16.0,Defensive rebound by A. Jefferson,,54-40,,
2:52.0,A. Jefferson misses 2-pt shot from 16 ft,,54-40,,
2:51.0,Offensive rebound by Team,,54-40,,
2:51.0,Turnover by Team (shot clock),,54-40,,
2:51.0,,,54-40,,Brooklyn full timeout
2:41.0,,,54-40,,D. Williams misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by M. Williams,,54-40,,
2:24.0,G. Henderson makes 2-pt shot from 17 ft (assist by M. Williams),2,56-40,,
2:06.0,,,56-40,,B. Lopez misses 2-pt shot from 17 ft
2:05.0,Defensive rebound by M. Williams,,56-40,,
1:55.0,Turnover by M. Williams (bad pass; steal by T. Young),,56-40,,
1:47.0,,,56-40,,B. Bogdanovic misses 3-pt shot from 22 ft
1:46.0,Defensive rebound by M. Williams,,56-40,,
1:21.0,G. Henderson misses 2-pt shot from 19 ft,,56-40,,
1:20.0,,,56-40,,Defensive rebound by T. Young
1:11.0,,,56-40,,Shooting foul by M. Williams (drawn by B. Lopez)
1:11.0,,,56-41,1,B. Lopez makes free throw 1 of 2
1:11.0,,,56-42,1,B. Lopez makes free throw 2 of 2
0:58.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,56-42,,
0:56.0,,,56-42,,Defensive rebound by B. Lopez
0:42.0,,,56-42,,J. Johnson misses 2-pt shot from 5 ft
0:41.0,,,56-42,,Offensive rebound by T. Young
0:40.0,,,56-44,2,T. Young makes 2-pt shot from 3 ft
0:31.0,M. Williams misses 2-pt shot from 3 ft,,56-44,,
0:30.0,Offensive rebound by M. Williams,,56-44,,
0:28.0,M. Williams misses 2-pt shot from 1 ft (block by B. Lopez),,56-44,,
0:25.0,,,56-44,,Defensive rebound by D. Williams
0:04.0,,,56-44,,J. Johnson misses 2-pt shot from 18 ft
0:03.0,Defensive rebound by M. Kidd-Gilchrist,,56-44,,
0:00.0,M. Williams misses 3-pt shot from 35 ft,,56-44,,
0:00.0,Offensive rebound by Team,,56-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,A. Jefferson misses 2-pt shot from 10 ft,,56-44,,
11:39.0,Offensive rebound by Team,,56-44,,
11:39.0,,,56-44,,Loose ball foul by J. Johnson (drawn by M. Williams)
11:32.0,G. Henderson makes 2-pt shot from 18 ft,2,58-44,,
11:10.0,,,58-46,2,J. Johnson makes 2-pt shot from 9 ft (assist by D. Williams)
10:57.0,A. Jefferson makes 2-pt shot from 7 ft (assist by G. Henderson),2,60-46,,
10:39.0,,,60-46,,D. Williams misses 3-pt shot from 23 ft
10:38.0,Defensive rebound by A. Jefferson,,60-46,,
10:28.0,A. Jefferson misses 2-pt shot from 12 ft,,60-46,,
10:27.0,Offensive rebound by M. Kidd-Gilchrist,,60-46,,
10:23.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,60-46,,
10:22.0,,,60-46,,Defensive rebound by T. Young
10:21.0,,,60-46,,D. Williams misses 2-pt shot from 3 ft
10:20.0,,,60-46,,Offensive rebound by M. Plumlee
10:19.0,,,60-46,,M. Plumlee misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by M. Kidd-Gilchrist,,60-46,,
10:13.0,M. Williams makes 2-pt shot from 20 ft,2,62-46,,
9:55.0,,,62-46,,Turnover by D. Williams (bad pass; steal by G. Henderson)
9:54.0,,,62-46,,Personal foul by A. Anderson (drawn by M. Williams)
9:50.0,G. Henderson makes 2-pt shot at rim (assist by M. Williams),2,64-46,,
9:31.0,,,64-46,,Turnover by T. Young (bad pass; steal by A. Jefferson)
9:26.0,M. Williams makes 2-pt shot from 19 ft,2,66-46,,
9:26.0,,,66-46,,Brooklyn full timeout
9:26.0,,,66-46,,B. Lopez enters the game for M. Plumlee
9:26.0,,,66-46,,B. Bogdanovic enters the game for A. Anderson
9:14.0,,,66-46,,D. Williams misses 2-pt shot from 2 ft
9:13.0,Defensive rebound by Team,,66-46,,
9:13.0,,,66-46,,Loose ball foul by B. Lopez (drawn by M. Kidd-Gilchrist)
8:54.0,A. Jefferson misses 2-pt shot from 17 ft,,66-46,,
8:52.0,,,66-46,,Defensive rebound by J. Johnson
8:34.0,,,66-46,,J. Johnson misses 2-pt shot from 12 ft
8:33.0,Defensive rebound by Team,,66-46,,
8:17.0,Shooting foul by B. Lopez (drawn by A. Jefferson),,66-46,,
8:17.0,A. Jefferson makes free throw 1 of 2,1,67-46,,
8:17.0,A. Jefferson makes free throw 2 of 2,1,68-46,,
7:59.0,,,68-46,,B. Lopez misses 2-pt shot from 7 ft
7:58.0,Defensive rebound by G. Henderson,,68-46,,
7:49.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by T. Young),,68-46,,
7:41.0,,,68-46,,Shooting foul by M. Williams (drawn by D. Williams)
7:41.0,,,68-46,,D. Williams misses free throw 1 of 2
7:41.0,,,68-46,,Offensive rebound by Team
7:41.0,,,68-47,1,D. Williams makes free throw 2 of 2
7:24.0,A. Jefferson makes 2-pt shot from 2 ft,2,70-47,,
7:00.0,,,70-47,,B. Bogdanovic misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by M. Kidd-Gilchrist,,70-47,,
6:53.0,M. Williams misses 2-pt shot from 17 ft,,70-47,,
6:52.0,,,70-47,,Defensive rebound by B. Lopez
6:36.0,,,70-49,2,B. Bogdanovic makes 2-pt shot from 6 ft
6:22.0,A. Jefferson misses 2-pt shot from 19 ft,,70-49,,
6:20.0,,,70-49,,Defensive rebound by B. Bogdanovic
6:13.0,,,70-49,,Shooting foul by G. Henderson (drawn by D. Williams)
6:13.0,,,70-50,1,D. Williams makes free throw 1 of 2
6:13.0,,,70-51,1,D. Williams makes free throw 2 of 2
6:02.0,M. Williams makes 2-pt shot from 20 ft,2,72-51,,
5:46.0,,,72-51,,B. Bogdanovic misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by Team,,72-51,,
5:45.0,,,72-51,,Brooklyn full timeout
5:45.0,,,72-51,,J. Jack enters the game for J. Johnson
5:31.0,M. Williams misses 3-pt shot from 24 ft,,72-51,,
5:30.0,,,72-51,,Defensive rebound by B. Lopez
5:12.0,,,72-53,2,B. Bogdanovic makes 2-pt shot at rim (assist by B. Lopez)
4:57.0,,,72-53,,Personal foul by D. Williams (drawn by G. Henderson)
4:57.0,G. Henderson misses free throw 1 of 2,,72-53,,
4:57.0,Offensive rebound by Team,,72-53,,
4:57.0,C. Zeller enters the game for M. Williams,,72-53,,
4:57.0,G. Henderson misses free throw 2 of 2,,72-53,,
4:56.0,,,72-53,,Defensive rebound by B. Bogdanovic
4:41.0,,,72-53,,Turnover by B. Lopez (lost ball; steal by A. Jefferson)
4:37.0,G. Henderson makes 2-pt shot from 2 ft,2,74-53,,
4:22.0,,,74-53,,J. Jack misses 2-pt shot from 19 ft
4:21.0,Defensive rebound by M. Kidd-Gilchrist,,74-53,,
4:07.0,Shooting foul by D. Williams (drawn by G. Henderson),,74-53,,
4:07.0,G. Henderson makes free throw 1 of 2,1,75-53,,
4:07.0,B. Biyombo enters the game for A. Jefferson,,75-53,,
4:07.0,,,75-53,,A. Anderson enters the game for D. Williams
4:07.0,,,75-53,,M. Plumlee enters the game for B. Lopez
4:07.0,G. Henderson makes free throw 2 of 2,1,76-53,,
3:51.0,,,76-55,2,A. Anderson makes 2-pt shot from 7 ft
3:36.0,G. Henderson makes 3-pt shot from 23 ft (assist by M. Williams),3,79-55,,
3:28.0,,,79-55,,Offensive foul by M. Plumlee
3:28.0,,,79-55,,Turnover by M. Plumlee (offensive foul)
3:17.0,M. Williams makes 3-pt shot from 26 ft,3,82-55,,
3:09.0,,,82-57,2,J. Jack makes 2-pt shot from 3 ft
3:09.0,,,82-57,,Shooting foul by M. Williams (drawn by J. Jack)
3:09.0,,,82-58,1,J. Jack makes free throw 1 of 1
2:53.0,C. Zeller misses 2-pt shot from 2 ft,,82-58,,
2:52.0,Offensive rebound by B. Biyombo,,82-58,,
2:51.0,B. Biyombo makes 2-pt shot from 2 ft,2,84-58,,
2:38.0,,,84-60,2,J. Jack makes 2-pt shot from 14 ft
2:19.0,C. Zeller makes 2-pt shot from 6 ft (assist by M. Williams),2,86-60,,
2:05.0,,,86-62,2,J. Jack makes 2-pt shot from 17 ft
1:54.0,M. Williams misses 3-pt shot from 27 ft,,86-62,,
1:53.0,Offensive rebound by M. Kidd-Gilchrist,,86-62,,
1:47.0,G. Henderson misses 2-pt shot from 21 ft,,86-62,,
1:46.0,Offensive rebound by M. Kidd-Gilchrist,,86-62,,
1:46.0,,,86-62,,Personal foul by A. Anderson (drawn by M. Kidd-Gilchrist)
1:46.0,Charlotte full timeout,,86-62,,
1:46.0,B. Roberts enters the game for G. Henderson,,86-62,,
1:46.0,,,86-62,,M. Brown enters the game for T. Young
1:46.0,,,86-62,,C. Jefferson enters the game for B. Bogdanovic
1:46.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,87-62,,
1:46.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,88-62,,
1:33.0,,,88-62,,M. Brown misses 3-pt shot from 24 ft
1:32.0,,,88-62,,Offensive rebound by C. Jefferson
1:23.0,,,88-64,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Jack)
1:04.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,88-64,,
1:03.0,,,88-64,,Defensive rebound by J. Jack
1:00.0,,,88-64,,Offensive foul by M. Plumlee
1:00.0,,,88-64,,Turnover by M. Plumlee (offensive foul)
0:47.0,C. Zeller misses 2-pt shot at rim,,88-64,,
0:46.0,,,88-64,,Defensive rebound by M. Plumlee
0:36.0,,,88-64,,J. Jack misses 3-pt shot from 25 ft
0:35.0,,,88-64,,Offensive rebound by C. Jefferson
0:35.0,,,88-66,2,C. Jefferson makes 2-pt shot from 6 ft
0:17.0,Turnover by M. Kidd-Gilchrist (lost ball),,88-66,,
0:17.0,,,88-66,,J. Jordan enters the game for M. Plumlee
0:01.0,,,88-66,,J. Jordan misses 2-pt shot from 17 ft
0:00.0,,,88-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,88-66,,A. Anderson misses 2-pt shot from 17 ft
11:40.0,Defensive rebound by C. Zeller,,88-66,,
11:32.0,Shooting foul by C. Jefferson (drawn by C. Zeller),,88-66,,
11:32.0,C. Zeller makes free throw 1 of 2,1,89-66,,
11:32.0,C. Zeller makes free throw 2 of 2,1,90-66,,
11:05.0,,,90-66,,C. Jefferson misses 2-pt shot from 20 ft
11:04.0,Defensive rebound by B. Biyombo,,90-66,,
10:55.0,L. Stephenson misses 2-pt shot from 19 ft,,90-66,,
10:54.0,,,90-66,,Defensive rebound by J. Jack
10:43.0,,,90-66,,J. Jack misses 2-pt shot from 8 ft
10:42.0,Defensive rebound by B. Biyombo,,90-66,,
10:36.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Jack),,90-66,,
10:23.0,,,90-66,,M. Brown misses 2-pt shot from 1 ft
10:22.0,,,90-66,,Offensive rebound by C. Jefferson
10:21.0,,,90-68,2,C. Jefferson makes 2-pt shot at rim
10:14.0,B. Roberts misses 2-pt shot from 19 ft,,90-68,,
10:13.0,Offensive rebound by C. Zeller,,90-68,,
10:12.0,C. Zeller makes 2-pt shot at rim,2,92-68,,
10:12.0,Violation by Team (delay of game),,92-68,,
9:59.0,,,92-68,,C. Jefferson misses 2-pt shot from 4 ft
9:58.0,,,92-68,,Offensive rebound by J. Jordan
9:57.0,,,92-68,,J. Jordan misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by C. Zeller,,92-68,,
9:51.0,Shooting foul by J. Jordan (drawn by B. Biyombo),,92-68,,
9:51.0,B. Biyombo makes free throw 1 of 2,1,93-68,,
9:51.0,B. Biyombo misses free throw 2 of 2,,93-68,,
9:47.0,,,93-68,,Defensive rebound by M. Brown
9:39.0,,,93-68,,J. Jack misses 2-pt shot from 9 ft
9:39.0,Defensive rebound by B. Biyombo,,93-68,,
9:28.0,Turnover by L. Stephenson (bad pass; steal by J. Jack),,93-68,,
9:23.0,,,93-68,,M. Brown misses 2-pt shot from 3 ft
9:21.0,Defensive rebound by B. Roberts,,93-68,,
9:06.0,C. Zeller makes 2-pt shot from 19 ft (assist by B. Roberts),2,95-68,,
8:55.0,,,95-68,,Turnover by A. Anderson (bad pass)
8:55.0,Official timeout,,95-68,,
8:55.0,G. Henderson enters the game for M. Kidd-Gilchrist,,95-68,,
8:55.0,,,95-68,,M. Plumlee enters the game for J. Jordan
8:55.0,,,95-68,,B. Bogdanovic enters the game for A. Anderson
8:49.0,,,95-68,,Personal foul by C. Jefferson (drawn by C. Zeller)
8:45.0,G. Henderson makes 2-pt shot from 2 ft (assist by L. Stephenson),2,97-68,,
8:35.0,Personal foul by L. Stephenson (drawn by B. Bogdanovic),,97-68,,
8:21.0,,,97-70,2,C. Jefferson makes 2-pt shot from 11 ft
7:58.0,B. Roberts makes 2-pt shot from 2 ft (assist by C. Zeller),2,99-70,,
7:46.0,Personal foul by C. Zeller (drawn by M. Brown),,99-70,,
7:41.0,,,99-70,,M. Brown misses 2-pt shot from 18 ft
7:40.0,,,99-70,,Offensive rebound by M. Plumlee
7:35.0,,,99-72,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
7:24.0,C. Zeller makes 2-pt shot at rim (assist by B. Roberts),2,101-72,,
7:24.0,Shooting foul by C. Jefferson (drawn by C. Zeller),,101-72,,
7:24.0,C. Zeller makes free throw 1 of 1,1,102-72,,
7:15.0,,,102-72,,M. Plumlee misses 2-pt shot from 4 ft (block by B. Biyombo)
7:12.0,,,102-72,,Offensive rebound by M. Brown
7:09.0,,,102-72,,C. Jefferson misses 2-pt shot from 3 ft
7:08.0,Defensive rebound by B. Biyombo,,102-72,,
6:54.0,G. Henderson makes 2-pt shot from 19 ft,2,104-72,,
6:35.0,,,104-74,2,M. Brown makes 2-pt shot from 1 ft (assist by J. Jack)
6:21.0,Shooting foul by C. Jefferson (drawn by B. Biyombo),,104-74,,
6:21.0,B. Biyombo makes free throw 1 of 2,1,105-74,,
6:21.0,,,105-74,,S. Karasev enters the game for J. Jack
6:21.0,,,105-74,,D. Morris enters the game for B. Bogdanovic
6:21.0,J. Taylor enters the game for G. Henderson,,105-74,,
6:21.0,J. Maxiell enters the game for C. Zeller,,105-74,,
