time,New York,pts.away,score,pts.home,Sacramento
7:48.0,C. Anthony makes 2-pt shot from 17 ft,2,6-9,,
7:31.0,,,6-11,2,D. Cousins makes 2-pt shot from 11 ft (assist by D. Collison)
7:24.0,,,6-11,,Personal foul by D. Collison (drawn by C. Anthony)
7:16.0,Turnover by T. Hardaway (lost ball),,6-11,,
7:03.0,,,6-13,2,D. Cousins makes 2-pt shot from 7 ft (assist by D. Collison)
6:47.0,J. Calderon misses 2-pt shot from 1 ft (block by D. Cousins),,6-13,,
6:45.0,,,6-13,,Defensive rebound by D. Cousins
6:30.0,,,6-15,2,R. Gay makes 2-pt shot from 6 ft
6:26.0,New York full timeout,,6-15,,
6:26.0,P. Prigioni enters the game for T. Hardaway,,6-15,,
6:21.0,S. Dalembert misses 2-pt shot from 10 ft,,6-15,,
6:20.0,,,6-15,,Defensive rebound by D. Cousins
6:01.0,,,6-17,2,D. Cousins makes 2-pt shot at rim
5:49.0,C. Anthony makes 2-pt shot from 4 ft (assist by P. Prigioni),2,8-17,,
5:38.0,,,8-20,3,D. Cousins makes 3-pt shot from 24 ft (assist by D. Collison)
5:22.0,J. Calderon makes 2-pt shot from 1 ft (assist by C. Anthony),2,10-20,,
5:06.0,,,10-22,2,D. Cousins makes 2-pt shot from 17 ft (assist by D. Collison)
4:45.0,J. Calderon misses 2-pt shot from 15 ft (block by B. McLemore),,10-22,,
4:45.0,Offensive rebound by Team,,10-22,,
4:38.0,P. Prigioni misses 2-pt shot from 20 ft,,10-22,,
4:37.0,,,10-22,,Defensive rebound by D. Cousins
4:31.0,,,10-22,,D. Cousins misses 2-pt shot from 8 ft
4:30.0,,,10-22,,Offensive rebound by D. Cousins
4:29.0,,,10-22,,D. Cousins misses 2-pt shot from 2 ft (block by S. Dalembert)
4:27.0,Defensive rebound by S. Dalembert,,10-22,,
4:09.0,J. Smith makes 2-pt shot from 7 ft (assist by C. Anthony),2,12-22,,
3:49.0,,,12-24,2,J. Thompson makes 2-pt shot from 18 ft (assist by D. Collison)
3:39.0,C. Anthony makes 2-pt shot from 3 ft,2,14-24,,
3:34.0,,,14-24,,Offensive charge foul by B. McLemore
3:34.0,,,14-24,,Turnover by B. McLemore (offensive foul)
3:34.0,,,14-24,,R. Evans enters the game for D. Cousins
3:34.0,,,14-24,,R. McCallum enters the game for B. McLemore
3:19.0,C. Anthony makes 2-pt shot from 14 ft (assist by J. Calderon),2,16-24,,
2:53.0,,,16-26,2,R. Gay makes 2-pt shot from 9 ft
2:34.0,Turnover by J. Calderon (bad pass; steal by R. Gay),,16-26,,
2:31.0,,,16-28,2,R. Gay makes 2-pt shot at rim
2:18.0,C. Anthony misses 2-pt shot from 20 ft,,16-28,,
2:18.0,,,16-28,,Defensive rebound by R. McCallum
2:07.0,Personal foul by J. Calderon (drawn by D. Collison),,16-28,,
2:07.0,,,16-28,,Sacramento full timeout
2:07.0,T. Hardaway enters the game for J. Smith,,16-28,,
2:07.0,S. Larkin enters the game for J. Calderon,,16-28,,
2:07.0,,,16-29,1,D. Collison makes free throw 1 of 2
2:07.0,,,16-29,,D. Williams enters the game for J. Thompson
2:07.0,,,16-30,1,D. Collison makes free throw 2 of 2
1:52.0,T. Hardaway makes 3-pt shot from 23 ft (assist by C. Anthony),3,19-30,,
1:27.0,,,19-33,3,R. Gay makes 3-pt shot from 24 ft
1:05.0,S. Dalembert makes 2-pt shot from 9 ft (assist by P. Prigioni),2,21-33,,
0:54.0,Violation by S. Dalembert (def goaltending),,21-33,,
0:54.0,,,21-35,2,D. Collison makes 2-pt shot from 2 ft
0:44.0,S. Dalembert makes 2-pt shot from 16 ft (assist by T. Hardaway),2,23-35,,
0:32.0,,,23-38,3,R. Gay makes 3-pt shot from 24 ft (assist by D. Collison)
0:24.0,C. Anthony misses 3-pt shot from 23 ft,,23-38,,
0:23.0,Offensive rebound by T. Hardaway,,23-38,,
0:22.0,T. Hardaway makes 2-pt shot from 3 ft,2,25-38,,
0:05.0,,,25-38,,Turnover by D. Collison (bad pass)
0:00.0,C. Anthony makes 2-pt shot from 6 ft (assist by P. Prigioni),2,27-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Wear misses 2-pt shot from 14 ft,,27-38,,
11:42.0,,,27-38,,Defensive rebound by O. Casspi
11:32.0,,,27-38,,Turnover by R. McCallum (bad pass; steal by S. Larkin)
11:29.0,S. Larkin makes 2-pt shot from 1 ft,2,29-38,,
11:05.0,,,29-40,2,D. Cousins makes 2-pt shot from 4 ft
10:53.0,T. Hardaway misses 2-pt shot from 17 ft,,29-40,,
10:52.0,,,29-40,,Defensive rebound by R. McCallum
10:41.0,,,29-40,,Shooting foul by S. Larkin (drawn by D. Collison)
10:41.0,,,29-41,1,D. Collison makes free throw 1 of 2
10:41.0,,,29-42,1,D. Collison makes free throw 2 of 2
10:28.0,Offensive charge foul by T. Hardaway,,29-42,,
10:28.0,Turnover by T. Hardaway (offensive foul),,29-42,,
10:12.0,,,29-44,2,R. McCallum makes 2-pt shot from 1 ft (assist by D. Cousins)
10:05.0,T. Hardaway misses 3-pt shot from 24 ft,,29-44,,
10:04.0,,,29-44,,Defensive rebound by D. Cousins
9:53.0,,,29-44,,D. Williams misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by T. Wear,,29-44,,
9:45.0,C. Aldrich makes 2-pt shot at rim (assist by T. Hardaway),2,31-44,,
9:45.0,Shooting foul by O. Casspi (drawn by C. Aldrich),,31-44,,
9:45.0,,,31-44,,N. Stauskas enters the game for D. Collison
9:45.0,C. Aldrich makes free throw 1 of 1,1,32-44,,
9:30.0,,,32-44,,O. Casspi misses 2-pt shot from 5 ft
9:29.0,Defensive rebound by C. Aldrich,,32-44,,
9:24.0,Turnover by P. Prigioni (lost ball; steal by N. Stauskas),,32-44,,
9:20.0,,,32-44,,Shooting foul by C. Aldrich (drawn by D. Williams)
9:20.0,Technical foul by Team,,32-44,,
9:20.0,,,32-44,,O. Casspi misses technical free throw
9:20.0,,,32-44,,Offensive rebound by Team
9:20.0,,,32-45,1,D. Williams makes free throw 1 of 2
9:20.0,,,32-46,1,D. Williams makes free throw 2 of 2
9:02.0,C. Aldrich makes 2-pt shot from 2 ft (assist by P. Prigioni),2,34-46,,
8:46.0,,,34-46,,D. Cousins misses 2-pt shot from 21 ft
8:45.0,Defensive rebound by S. Larkin,,34-46,,
8:29.0,T. Wear makes 2-pt shot from 18 ft (assist by P. Prigioni),2,36-46,,
8:16.0,,,36-46,,Shooting foul by T. Hardaway (drawn by O. Casspi)
8:16.0,Official timeout,,36-46,,
8:16.0,J. Calderon enters the game for C. Aldrich,,36-46,,
8:16.0,C. Anthony enters the game for T. Hardaway,,36-46,,
8:16.0,S. Dalembert enters the game for T. Wear,,36-46,,
8:16.0,,,36-46,,O. Casspi misses free throw 1 of 2
8:16.0,,,36-46,,Offensive rebound by Team
8:16.0,,,36-47,1,O. Casspi makes free throw 2 of 2
7:56.0,Shooting foul by D. Williams (drawn by C. Anthony),,36-47,,
7:56.0,C. Anthony makes free throw 1 of 2,1,37-47,,
7:56.0,,,37-47,,B. McLemore enters the game for O. Casspi
7:56.0,C. Anthony misses free throw 2 of 2,,37-47,,
7:55.0,,,37-47,,Defensive rebound by B. McLemore
7:43.0,,,37-47,,Turnover by B. McLemore (lost ball)
7:35.0,S. Larkin misses 3-pt shot from 24 ft,,37-47,,
7:34.0,Offensive rebound by S. Dalembert,,37-47,,
7:30.0,S. Dalembert makes 2-pt shot from 10 ft,2,39-47,,
7:08.0,,,39-47,,D. Cousins misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by C. Anthony,,39-47,,
6:49.0,C. Anthony misses 2-pt shot from 12 ft,,39-47,,
6:48.0,Offensive rebound by S. Dalembert,,39-47,,
6:48.0,S. Dalembert misses 2-pt shot from 2 ft,,39-47,,
6:47.0,,,39-47,,Defensive rebound by D. Cousins
6:43.0,,,39-49,2,N. Stauskas makes 2-pt shot at rim (assist by B. McLemore)
6:23.0,P. Prigioni misses 3-pt shot from 28 ft,,39-49,,
6:23.0,,,39-49,,Defensive rebound by D. Cousins
6:15.0,,,39-49,,Turnover by D. Cousins (back court)
6:15.0,T. Wear enters the game for P. Prigioni,,39-49,,
6:15.0,,,39-49,,D. Collison enters the game for R. McCallum
6:15.0,,,39-49,,R. Gay enters the game for D. Williams
5:52.0,,,39-49,,Personal foul by D. Cousins (drawn by S. Dalembert)
5:52.0,,,39-49,,Sacramento full timeout
5:42.0,S. Dalembert misses 2-pt shot from 9 ft,,39-49,,
5:42.0,,,39-49,,Defensive rebound by D. Collison
5:25.0,,,39-49,,Shooting foul by S. Dalembert (drawn by D. Cousins)
5:25.0,,,39-50,1,D. Cousins makes free throw 1 of 2
5:25.0,,,39-51,1,D. Cousins makes free throw 2 of 2
5:16.0,,,39-51,,Personal foul by D. Cousins (drawn by C. Anthony)
5:16.0,,,39-51,,R. Evans enters the game for D. Cousins
5:16.0,J. Smith enters the game for S. Dalembert,,39-51,,
5:06.0,Shooting foul by N. Stauskas (drawn by S. Larkin),,39-51,,
5:06.0,S. Larkin makes free throw 1 of 2,1,40-51,,
5:06.0,S. Larkin makes free throw 2 of 2,1,41-51,,
4:51.0,,,41-51,,Turnover by R. Gay (lost ball; steal by J. Smith)
4:38.0,C. Anthony makes 2-pt shot from 18 ft,2,43-51,,
4:22.0,Personal foul by J. Calderon (drawn by N. Stauskas),,43-51,,
4:22.0,,,43-52,1,N. Stauskas makes free throw 1 of 2
4:22.0,,,43-53,1,N. Stauskas makes free throw 2 of 2
4:06.0,S. Larkin misses 3-pt shot from 24 ft,,43-53,,
4:05.0,,,43-53,,Defensive rebound by R. Evans
3:54.0,,,43-55,2,R. Gay makes 2-pt shot from 14 ft
3:37.0,,,43-55,,Personal foul by R. Gay (drawn by C. Anthony)
3:37.0,C. Anthony makes free throw 1 of 2,1,44-55,,
3:37.0,C. Anthony makes free throw 2 of 2,1,45-55,,
3:19.0,,,45-58,3,N. Stauskas makes 3-pt shot from 23 ft (assist by B. McLemore)
2:59.0,Shooting foul by R. Gay (drawn by C. Anthony),,45-58,,
2:59.0,New York full timeout,,45-58,,
2:59.0,C. Anthony makes free throw 1 of 2,1,46-58,,
2:59.0,C. Anthony makes free throw 2 of 2,1,47-58,,
2:43.0,,,47-58,,R. Gay misses 2-pt shot from 19 ft
2:41.0,Defensive rebound by S. Larkin,,47-58,,
2:36.0,J. Calderon makes 3-pt shot from 25 ft (assist by S. Larkin),3,50-58,,
2:14.0,,,50-60,2,D. Collison makes 2-pt shot from 1 ft
2:08.0,S. Larkin makes 2-pt shot from 3 ft (assist by J. Calderon),2,52-60,,
2:00.0,,,52-62,2,D. Collison makes 2-pt shot from 1 ft
1:40.0,J. Smith makes 2-pt shot from 19 ft (assist by J. Calderon),2,54-62,,
1:39.0,Violation by Team (jump ball),,54-62,,
1:22.0,,,54-62,,Turnover by R. Gay (lost ball)
1:07.0,C. Anthony makes 2-pt shot from 2 ft (assist by S. Larkin),2,56-62,,
0:51.0,Personal foul by J. Smith (drawn by R. Evans),,56-62,,
0:51.0,,,56-63,1,R. Evans makes free throw 1 of 2
0:51.0,,,56-63,,D. Williams enters the game for R. Gay
0:51.0,,,56-63,,R. McCallum enters the game for B. McLemore
0:51.0,,,56-64,1,R. Evans makes free throw 2 of 2
0:39.0,J. Smith misses 2-pt shot from 17 ft,,56-64,,
0:38.0,,,56-64,,Defensive rebound by N. Stauskas
0:31.0,,,56-64,,Turnover by D. Collison (lost ball; steal by S. Larkin)
0:28.0,Turnover by S. Larkin (bad pass; steal by D. Williams),,56-64,,
0:06.0,,,56-64,,D. Collison misses 2-pt shot from 7 ft
0:06.0,Defensive rebound by Team,,56-64,,
0:06.0,,,56-64,,Loose ball foul by R. Evans (drawn by J. Smith)
0:06.0,J. Smith makes free throw 1 of 2,1,57-64,,
0:06.0,P. Prigioni enters the game for C. Anthony,,57-64,,
0:06.0,J. Smith makes free throw 2 of 2,1,58-64,,
0:00.0,,,58-67,3,D. Collison makes 3-pt shot from 32 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,C. Aldrich makes 2-pt shot from 6 ft (assist by J. Calderon),2,60-67,,
11:21.0,,,60-67,,R. Gay misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by C. Aldrich,,60-67,,
11:09.0,Turnover by C. Anthony (bad pass; steal by J. Thompson),,60-67,,
10:56.0,,,60-67,,D. Cousins misses 2-pt shot from 3 ft
10:54.0,Defensive rebound by C. Anthony,,60-67,,
10:54.0,,,60-67,,Personal foul by D. Cousins (drawn by C. Anthony)
10:42.0,T. Hardaway misses 2-pt shot from 18 ft,,60-67,,
10:42.0,,,60-67,,Defensive rebound by J. Thompson
10:32.0,,,60-67,,Shooting foul by T. Hardaway (drawn by J. Thompson)
10:32.0,,,60-67,,J. Thompson misses free throw 1 of 2
10:32.0,,,60-67,,Offensive rebound by Team
10:32.0,P. Prigioni enters the game for T. Hardaway,,60-67,,
10:32.0,,,60-68,1,J. Thompson makes free throw 2 of 2
10:13.0,C. Aldrich makes 2-pt shot from 6 ft (assist by J. Calderon),2,62-68,,
9:57.0,,,62-71,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Gay)
9:44.0,P. Prigioni makes 2-pt shot from 4 ft (assist by C. Anthony),2,64-71,,
9:22.0,,,64-71,,Shooting foul by C. Anthony (drawn by R. Gay)
9:22.0,,,64-72,1,R. Gay makes free throw 1 of 2
9:22.0,,,64-73,1,R. Gay makes free throw 2 of 2
9:06.0,C. Anthony misses 3-pt shot from 25 ft,,64-73,,
9:06.0,Offensive rebound by Team,,64-73,,
9:06.0,,,64-73,,Loose ball foul by J. Thompson (drawn by J. Smith)
9:02.0,,,64-73,,Personal foul by D. Cousins (drawn by C. Anthony)
9:02.0,,,64-73,,C. Landry enters the game for D. Cousins
8:55.0,C. Anthony makes 2-pt shot from 17 ft (assist by J. Smith),2,66-73,,
8:35.0,,,66-73,,J. Thompson misses 2-pt shot from 17 ft
8:34.0,Defensive rebound by J. Calderon,,66-73,,
8:21.0,C. Anthony misses 3-pt shot from 24 ft,,66-73,,
8:19.0,,,66-73,,Defensive rebound by C. Landry
8:04.0,,,66-73,,Turnover by C. Landry (lost ball; steal by C. Aldrich)
7:58.0,J. Smith makes 2-pt shot from 2 ft (assist by C. Anthony),2,68-73,,
7:57.0,,,68-73,,Sacramento full timeout
7:46.0,,,68-73,,Turnover by B. McLemore (bad pass)
7:32.0,Turnover by C. Anthony (bad pass),,68-73,,
7:22.0,Personal foul by C. Anthony (drawn by R. Gay),,68-73,,
7:15.0,,,68-75,2,B. McLemore makes 2-pt shot from 14 ft (assist by R. Gay)
7:08.0,Turnover by C. Aldrich (offensive foul),,68-75,,
7:08.0,Offensive foul by C. Aldrich,,68-75,,
6:48.0,,,68-77,2,R. Gay makes 2-pt shot from 7 ft
6:27.0,C. Aldrich misses 2-pt shot from 6 ft,,68-77,,
6:26.0,Offensive rebound by J. Smith,,68-77,,
6:26.0,J. Smith misses 2-pt shot from 2 ft,,68-77,,
6:25.0,Offensive rebound by C. Aldrich,,68-77,,
6:22.0,C. Anthony misses 3-pt shot from 24 ft,,68-77,,
6:20.0,Offensive rebound by P. Prigioni,,68-77,,
6:03.0,C. Anthony makes 2-pt shot from 16 ft,2,70-77,,
5:52.0,,,70-77,,C. Landry misses 2-pt shot from 5 ft (block by C. Aldrich)
5:50.0,,,70-77,,Offensive rebound by C. Landry
5:48.0,,,70-77,,C. Landry misses 2-pt shot from 2 ft
5:47.0,Defensive rebound by J. Calderon,,70-77,,
5:40.0,J. Smith misses 2-pt shot from 8 ft,,70-77,,
5:40.0,,,70-77,,Defensive rebound by B. McLemore
5:31.0,,,70-77,,J. Thompson misses 2-pt shot from 13 ft
5:30.0,Defensive rebound by J. Calderon,,70-77,,
5:13.0,J. Calderon misses 2-pt shot from 13 ft,,70-77,,
5:13.0,,,70-77,,Defensive rebound by C. Landry
5:02.0,,,70-77,,R. Gay misses 2-pt shot from 5 ft (block by C. Aldrich)
5:01.0,,,70-77,,Offensive rebound by Team
5:01.0,T. Wear enters the game for C. Aldrich,,70-77,,
5:01.0,,,70-77,,N. Stauskas enters the game for B. McLemore
4:58.0,,,70-77,,R. Gay misses 3-pt shot from 23 ft
4:57.0,Defensive rebound by T. Wear,,70-77,,
4:43.0,C. Anthony misses 2-pt shot from 4 ft (block by N. Stauskas),,70-77,,
4:42.0,Offensive rebound by C. Anthony,,70-77,,
4:42.0,Shooting foul by J. Thompson (drawn by C. Anthony),,70-77,,
4:42.0,C. Anthony makes free throw 1 of 2,1,71-77,,
4:42.0,,,71-77,,R. Evans enters the game for J. Thompson
4:42.0,C. Anthony makes free throw 2 of 2,1,72-77,,
4:17.0,,,72-79,2,R. Gay makes 2-pt shot from 7 ft
3:58.0,T. Wear misses 2-pt shot from 16 ft,,72-79,,
3:57.0,Offensive rebound by J. Smith,,72-79,,
3:44.0,J. Calderon misses 3-pt shot from 24 ft,,72-79,,
3:42.0,,,72-79,,Defensive rebound by R. Gay
3:39.0,,,72-81,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Gay)
3:39.0,New York full timeout,,72-81,,
3:39.0,,,72-81,,R. McCallum enters the game for D. Collison
3:39.0,S. Larkin enters the game for J. Smith,,72-81,,
3:39.0,C. Aldrich enters the game for J. Calderon,,72-81,,
3:30.0,Turnover by P. Prigioni (bad pass),,72-81,,
3:29.0,Loose ball foul by P. Prigioni (drawn by N. Stauskas),,72-81,,
3:13.0,,,72-81,,C. Landry misses 2-pt shot from 10 ft
3:12.0,Defensive rebound by C. Aldrich,,72-81,,
3:00.0,Shooting foul by R. Evans (drawn by P. Prigioni),,72-81,,
3:00.0,P. Prigioni makes free throw 1 of 2,1,73-81,,
3:00.0,P. Prigioni makes free throw 2 of 2,1,74-81,,
2:42.0,,,74-83,2,R. Gay makes 2-pt shot from 18 ft
2:35.0,,,74-83,,Personal foul by N. Stauskas (drawn by P. Prigioni)
2:35.0,P. Prigioni makes free throw 1 of 2,1,75-83,,
2:35.0,P. Prigioni makes free throw 2 of 2,1,76-83,,
2:14.0,,,76-83,,R. Gay misses 3-pt shot from 24 ft
2:13.0,,,76-83,,Offensive rebound by C. Landry
2:12.0,,,76-85,2,C. Landry makes 2-pt shot from 2 ft
1:55.0,J. Smith enters the game for T. Wear,,76-85,,
1:48.0,Turnover by C. Anthony (traveling),,76-85,,
1:48.0,T. Wear enters the game for C. Anthony,,76-85,,
1:31.0,,,76-85,,R. Gay misses 2-pt shot from 16 ft
1:31.0,Defensive rebound by C. Aldrich,,76-85,,
1:18.0,J. Smith misses 2-pt shot from 19 ft,,76-85,,
1:18.0,,,76-85,,Defensive rebound by N. Stauskas
1:17.0,Personal foul by P. Prigioni (drawn by N. Stauskas),,76-85,,
1:17.0,,,76-86,1,N. Stauskas makes free throw 1 of 2
1:17.0,,,76-86,,D. Williams enters the game for R. Gay
1:17.0,,,76-87,1,N. Stauskas makes free throw 2 of 2
1:00.0,T. Wear makes 2-pt shot from 3 ft (assist by P. Prigioni),2,78-87,,
0:44.0,,,78-87,,Turnover by R. McCallum (bad pass; steal by P. Prigioni)
0:38.0,,,78-87,,Personal foul by D. Williams (drawn by J. Smith)
0:38.0,J. Smith makes free throw 1 of 2,1,79-87,,
0:38.0,S. Dalembert enters the game for C. Aldrich,,79-87,,
0:38.0,J. Smith makes free throw 2 of 2,1,80-87,,
0:24.0,,,80-87,,D. Williams misses 2-pt shot from 6 ft (block by T. Wear)
0:22.0,,,80-87,,Offensive rebound by C. Landry
0:21.0,,,80-87,,C. Landry misses 2-pt shot from 3 ft
0:19.0,,,80-87,,Offensive rebound by R. Evans
0:17.0,,,80-87,,R. Evans misses 2-pt shot from 5 ft (block by S. Dalembert)
0:17.0,,,80-87,,Offensive rebound by Team
0:17.0,,,80-87,,B. McLemore enters the game for R. Evans
0:17.0,J. Calderon enters the game for J. Smith,,80-87,,
0:03.0,,,80-89,2,R. McCallum makes 2-pt shot from 8 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,80-89,,C. Landry misses 2-pt shot from 15 ft
11:40.0,,,80-89,,Offensive rebound by R. Evans
11:38.0,,,80-91,2,R. Evans makes 2-pt shot from 4 ft
11:23.0,Shooting foul by C. Landry (drawn by S. Dalembert),,80-91,,
11:23.0,S. Dalembert makes free throw 1 of 2,1,81-91,,
11:23.0,S. Dalembert misses free throw 2 of 2,,81-91,,
11:22.0,,,81-91,,Defensive rebound by Team
11:00.0,,,81-91,,N. Stauskas misses 3-pt shot from 23 ft (block by S. Larkin)
10:59.0,Defensive rebound by J. Smith,,81-91,,
10:56.0,T. Hardaway makes 2-pt shot from 3 ft,2,83-91,,
10:56.0,Shooting foul by D. Williams (drawn by T. Hardaway),,83-91,,
10:56.0,T. Hardaway misses free throw 1 of 1,,83-91,,
10:55.0,,,83-91,,Defensive rebound by D. Williams
10:38.0,,,83-93,2,R. McCallum makes 2-pt shot from 15 ft (assist by C. Landry)
10:23.0,Turnover by T. Hardaway (lost ball; steal by R. Evans),,83-93,,
10:18.0,,,83-95,2,N. Stauskas makes 2-pt shot from 1 ft (assist by R. McCallum)
10:18.0,New York full timeout,,83-95,,
10:18.0,C. Anthony enters the game for J. Smith,,83-95,,
10:18.0,,,83-95,,R. Gay enters the game for C. Landry
9:59.0,S. Dalembert makes 2-pt shot at rim (assist by S. Larkin),2,85-95,,
9:27.0,,,85-97,2,R. Gay makes 2-pt shot from 13 ft
9:07.0,S. Larkin misses 3-pt shot from 24 ft,,85-97,,
9:06.0,,,85-97,,Defensive rebound by Team
9:06.0,,,85-97,,D. Collison enters the game for R. Evans
9:06.0,,,85-97,,D. Cousins enters the game for N. Stauskas
8:50.0,,,85-99,2,D. Williams makes 2-pt shot from 1 ft (assist by D. Cousins)
8:43.0,S. Larkin makes 2-pt shot from 2 ft (assist by J. Calderon),2,87-99,,
8:29.0,Personal foul by S. Dalembert (drawn by R. McCallum),,87-99,,
8:17.0,,,87-99,,Turnover by D. Cousins (lost ball; steal by J. Calderon)
8:12.0,T. Hardaway misses 2-pt shot from 1 ft,,87-99,,
8:12.0,Offensive rebound by J. Calderon,,87-99,,
8:12.0,J. Calderon makes 2-pt shot from 1 ft,2,89-99,,
8:00.0,,,89-99,,R. McCallum misses 2-pt shot from 3 ft (block by S. Dalembert)
8:00.0,,,89-99,,Offensive rebound by Team
8:00.0,,,89-99,,B. McLemore enters the game for R. McCallum
7:58.0,,,89-99,,B. McLemore misses 2-pt shot from 2 ft (block by T. Hardaway)
7:56.0,Defensive rebound by S. Larkin,,89-99,,
7:49.0,S. Dalembert misses 2-pt shot from 2 ft,,89-99,,
7:49.0,Offensive rebound by S. Dalembert,,89-99,,
7:49.0,Shooting foul by R. Gay (drawn by S. Dalembert),,89-99,,
7:49.0,S. Dalembert misses free throw 1 of 2,,89-99,,
7:49.0,Offensive rebound by Team,,89-99,,
7:49.0,S. Dalembert misses free throw 2 of 2,,89-99,,
7:47.0,,,89-99,,Defensive rebound by B. McLemore
7:40.0,,,89-99,,D. Cousins misses 2-pt shot from 1 ft (block by T. Hardaway)
7:39.0,Defensive rebound by T. Hardaway,,89-99,,
7:34.0,T. Hardaway makes 2-pt shot from 13 ft,2,91-99,,
7:15.0,,,91-99,,D. Cousins misses 2-pt shot from 7 ft
7:14.0,Defensive rebound by S. Larkin,,91-99,,
7:08.0,Shooting foul by B. McLemore (drawn by S. Larkin),,91-99,,
7:08.0,S. Larkin makes free throw 1 of 2,1,92-99,,
7:08.0,C. Aldrich enters the game for S. Dalembert,,92-99,,
7:08.0,S. Larkin makes free throw 2 of 2,1,93-99,,
6:54.0,,,93-99,,Shooting foul by J. Calderon (drawn by D. Collison)
6:54.0,,,93-100,1,D. Collison makes free throw 1 of 2
6:54.0,,,93-100,,R. McCallum enters the game for D. Williams
6:54.0,,,93-101,1,D. Collison makes free throw 2 of 2
6:36.0,Turnover by T. Hardaway (lost ball; steal by R. Gay),,93-101,,
6:32.0,,,93-103,2,R. Gay makes 2-pt shot at rim
6:09.0,C. Anthony misses 2-pt shot from 2 ft (block by R. Gay),,93-103,,
6:07.0,Offensive rebound by C. Anthony,,93-103,,
6:07.0,C. Anthony makes 2-pt shot from 2 ft,2,95-103,,
6:07.0,Shooting foul by B. McLemore (drawn by C. Anthony),,95-103,,
6:07.0,C. Anthony makes free throw 1 of 1,1,96-103,,
5:49.0,,,96-105,2,D. Cousins makes 2-pt shot from 2 ft
5:39.0,C. Anthony makes 2-pt shot from 17 ft (assist by S. Larkin),2,98-105,,
5:19.0,,,98-105,,D. Cousins misses 2-pt shot from 18 ft
5:18.0,Defensive rebound by C. Anthony,,98-105,,
5:00.0,C. Anthony misses 2-pt shot from 19 ft,,98-105,,
4:58.0,Offensive rebound by C. Aldrich,,98-105,,
4:58.0,C. Aldrich makes 2-pt shot from 1 ft,2,100-105,,
4:35.0,,,100-105,,R. McCallum misses 2-pt shot from 18 ft
