time,LA Lakers,pts.away,score,pts.home,Philadelphia
6:55.0,,,9-15,2,N. Noel makes 2-pt shot from 4 ft (assist by R. Covington)
6:44.0,R. Sacre misses 2-pt shot from 13 ft,,9-15,,
6:42.0,,,9-15,,Defensive rebound by I. Smith
6:33.0,,,9-17,2,I. Smith makes 2-pt shot from 2 ft
6:16.0,R. Sacre makes 2-pt shot from 15 ft (assist by W. Ellington),2,11-17,,
5:59.0,,,11-20,3,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel)
5:40.0,R. Kelly misses 2-pt shot from 16 ft,,11-20,,
5:38.0,,,11-20,,Defensive rebound by R. Covington
5:30.0,,,11-20,,I. Smith misses 2-pt shot from 4 ft
5:27.0,,,11-20,,Offensive rebound by N. Noel
5:25.0,,,11-22,2,F. Aldemir makes 2-pt shot at rim (assist by N. Noel)
5:16.0,LA Lakers full timeout,,11-22,,
5:16.0,,,11-22,,I. Canaan enters the game for R. Covington
5:16.0,,,11-22,,G. Robinson enters the game for F. Aldemir
5:16.0,,,11-22,,H. Thompson enters the game for J. Sampson
5:16.0,,,11-22,,T. Robinson enters the game for I. Smith
5:16.0,J. Brown enters the game for J. Clarkson,,11-22,,
5:16.0,,,11-22,,Personal foul by H. Thompson (drawn by J. Brown)
5:02.0,W. Ellington misses 3-pt shot from 26 ft,,11-22,,
5:00.0,,,11-22,,Defensive rebound by N. Noel
4:39.0,,,11-22,,N. Noel misses 2-pt shot from 6 ft
4:37.0,,,11-22,,Offensive rebound by G. Robinson
4:37.0,,,11-22,,G. Robinson misses 2-pt shot from 1 ft
4:34.0,Defensive rebound by W. Johnson,,11-22,,
4:26.0,R. Kelly misses 3-pt shot from 25 ft,,11-22,,
4:24.0,,,11-22,,Defensive rebound by H. Thompson
4:17.0,,,11-22,,Turnover by I. Canaan (bad pass)
4:17.0,,,11-22,,H. Sims enters the game for N. Noel
4:05.0,W. Johnson misses 2-pt shot from 17 ft,,11-22,,
4:03.0,,,11-22,,Defensive rebound by T. Robinson
3:54.0,,,11-22,,Shooting foul by W. Johnson (drawn by G. Robinson)
3:54.0,,,11-22,,G. Robinson misses free throw 1 of 2
3:54.0,,,11-22,,Offensive rebound by Team
3:54.0,J. Hill enters the game for R. Kelly,,11-22,,
3:54.0,,,11-22,,G. Robinson misses free throw 2 of 2
3:53.0,,,11-22,,Offensive rebound by T. Robinson
3:44.0,,,11-24,2,H. Sims makes 2-pt shot from 16 ft (assist by H. Thompson)
3:25.0,Shooting foul by H. Thompson (drawn by W. Ellington),,11-24,,
3:25.0,W. Ellington makes free throw 1 of 2,1,12-24,,
3:25.0,W. Ellington makes free throw 2 of 2,1,13-24,,
3:07.0,,,13-24,,G. Robinson misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by J. Hill,,13-24,,
2:56.0,W. Johnson misses 2-pt shot from 6 ft,,13-24,,
2:55.0,,,13-24,,Defensive rebound by H. Sims
2:32.0,,,13-24,,H. Sims misses 2-pt shot from 5 ft
2:31.0,,,13-24,,Offensive rebound by G. Robinson
2:31.0,,,13-24,,G. Robinson misses 2-pt shot from 5 ft (block by R. Sacre)
2:31.0,,,13-24,,Offensive rebound by Team
2:17.0,,,13-24,,H. Thompson misses 2-pt shot from 4 ft (block by R. Sacre)
2:15.0,Defensive rebound by J. Hill,,13-24,,
2:07.0,J. Brown misses 2-pt shot from 15 ft,,13-24,,
2:04.0,Offensive rebound by R. Sacre,,13-24,,
2:04.0,R. Sacre makes 2-pt shot from 1 ft,2,15-24,,
1:37.0,,,15-24,,H. Thompson misses 2-pt shot from 21 ft
1:36.0,Defensive rebound by R. Sacre,,15-24,,
1:31.0,W. Johnson makes 2-pt shot from 15 ft (assist by J. Brown),2,17-24,,
1:09.0,,,17-26,2,T. Robinson makes 2-pt shot from 3 ft (assist by H. Thompson)
1:09.0,,,17-26,,Shooting foul by J. Hill (drawn by T. Robinson)
1:09.0,,,17-26,,T. Robinson misses free throw 1 of 1
1:08.0,Defensive rebound by W. Johnson,,17-26,,
0:55.0,Turnover by W. Ellington (bad pass; steal by I. Canaan),,17-26,,
0:51.0,,,17-28,2,T. Robinson makes 2-pt shot from 1 ft (assist by I. Canaan)
0:51.0,,,17-28,,Shooting foul by J. Hill (drawn by T. Robinson)
0:51.0,,,17-28,,T. Robinson misses free throw 1 of 1
0:50.0,Defensive rebound by W. Johnson,,17-28,,
0:38.0,,,17-28,,Personal foul by T. Robinson (drawn by J. Hill)
0:35.0,Offensive foul by W. Johnson,,17-28,,
0:35.0,Turnover by W. Johnson (offensive foul),,17-28,,
0:32.0,,,17-28,,Turnover by I. Canaan (palming)
0:21.0,Offensive foul by J. Hill,,17-28,,
0:21.0,Turnover by J. Hill (offensive foul),,17-28,,
0:21.0,Violation by Team (delay of game),,17-28,,
0:21.0,R. Kelly enters the game for J. Hill,,17-28,,
0:03.0,,,17-28,,Turnover by T. Robinson (bad pass)
0:00.0,J. Brown misses 3-pt shot from 31 ft,,17-28,,
0:00.0,Offensive rebound by Team,,17-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,17-28,,Violation by Team (delay of game)
11:46.0,,,17-28,,Personal foul by H. Thompson (drawn by J. Brown)
11:46.0,,,17-28,,J. Sampson enters the game for H. Thompson
11:44.0,J. Clarkson makes 2-pt shot at rim (assist by W. Johnson),2,19-28,,
11:37.0,,,19-28,,Shooting foul by R. Kelly (drawn by T. Robinson)
11:37.0,,,19-29,1,T. Robinson makes free throw 1 of 2
11:37.0,,,19-30,1,T. Robinson makes free throw 2 of 2
11:15.0,R. Kelly misses 3-pt shot from 26 ft,,19-30,,
11:13.0,,,19-30,,Defensive rebound by G. Robinson
10:59.0,,,19-32,2,I. Canaan makes 2-pt shot from 18 ft (assist by T. Robinson)
10:42.0,R. Sacre misses 2-pt shot from 4 ft,,19-32,,
10:40.0,,,19-32,,Defensive rebound by H. Sims
10:31.0,,,19-32,,H. Sims misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by W. Johnson,,19-32,,
10:21.0,J. Clarkson makes 2-pt shot from 15 ft,2,21-32,,
10:07.0,,,21-32,,G. Robinson misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by W. Johnson,,21-32,,
9:53.0,R. Sacre makes 2-pt shot from 4 ft (assist by W. Johnson),2,23-32,,
9:42.0,,,23-35,3,I. Canaan makes 3-pt shot from 25 ft
9:28.0,J. Brown makes 3-pt shot from 25 ft (assist by J. Clarkson),3,26-35,,
9:10.0,,,26-35,,Turnover by H. Sims (bad pass)
9:10.0,,,26-35,,N. Noel enters the game for H. Sims
9:10.0,,,26-35,,F. Aldemir enters the game for T. Robinson
9:10.0,T. Black enters the game for R. Sacre,,26-35,,
8:49.0,Turnover by W. Johnson (bad pass),,26-35,,
8:49.0,Official timeout,,26-35,,
8:49.0,W. Ellington enters the game for W. Johnson,,26-35,,
8:28.0,,,26-35,,N. Noel misses 2-pt shot from 5 ft
8:27.0,Defensive rebound by T. Black,,26-35,,
8:16.0,W. Ellington misses 2-pt shot from 2 ft,,26-35,,
8:14.0,Offensive rebound by T. Black,,26-35,,
8:14.0,T. Black makes 2-pt shot at rim,2,28-35,,
8:04.0,,,28-35,,I. Canaan misses 3-pt shot from 23 ft
8:04.0,,,28-35,,Offensive rebound by N. Noel
8:04.0,,,28-35,,Shooting foul by W. Ellington (drawn by N. Noel)
8:04.0,,,28-36,1,N. Noel makes free throw 1 of 2
8:04.0,,,28-36,,R. Covington enters the game for G. Robinson
8:04.0,,,28-36,,N. Noel misses free throw 2 of 2
8:01.0,Defensive rebound by T. Black,,28-36,,
7:41.0,Shooting foul by F. Aldemir (drawn by T. Black),,28-36,,
7:41.0,T. Black makes free throw 1 of 2,1,29-36,,
7:41.0,T. Black makes free throw 2 of 2,1,30-36,,
7:17.0,,,30-36,,F. Aldemir misses 2-pt shot from 4 ft (block by R. Kelly)
7:15.0,Defensive rebound by R. Kelly,,30-36,,
7:07.0,R. Kelly makes 3-pt shot from 23 ft (assist by J. Brown),3,33-36,,
6:54.0,,,33-36,,Turnover by I. Canaan (bad pass; steal by J. Clarkson)
6:51.0,J. Brown makes 2-pt shot from 1 ft,2,35-36,,
6:51.0,Shooting foul by J. Sampson (drawn by J. Brown),,35-36,,
6:51.0,J. Brown makes free throw 1 of 1,1,36-36,,
6:34.0,,,36-36,,N. Noel misses 2-pt shot from 5 ft
6:32.0,,,36-36,,Offensive rebound by F. Aldemir
6:32.0,,,36-38,2,F. Aldemir makes 2-pt shot from 1 ft
6:15.0,J. Clarkson misses 3-pt shot from 26 ft,,36-38,,
6:13.0,,,36-38,,Defensive rebound by N. Noel
6:00.0,,,36-38,,Shooting foul by T. Black (drawn by F. Aldemir)
6:00.0,,,36-38,,F. Aldemir misses free throw 1 of 2
6:00.0,,,36-38,,Offensive rebound by Team
6:00.0,R. Sacre enters the game for T. Black,,36-38,,
6:00.0,,,36-38,,I. Smith enters the game for I. Canaan
6:00.0,,,36-39,1,F. Aldemir makes free throw 2 of 2
5:46.0,W. Ellington misses 2-pt shot from 20 ft,,36-39,,
5:45.0,,,36-39,,Defensive rebound by N. Noel
5:39.0,,,36-39,,R. Covington misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by J. Clarkson,,36-39,,
5:28.0,J. Clarkson misses 2-pt shot from 3 ft,,36-39,,
5:27.0,,,36-39,,Defensive rebound by F. Aldemir
5:21.0,,,36-39,,Philadelphia full timeout
5:12.0,,,36-39,,Offensive charge foul by R. Covington
5:12.0,,,36-39,,Turnover by R. Covington (offensive foul)
4:58.0,R. Kelly makes 3-pt shot from 23 ft (assist by J. Clarkson),3,39-39,,
4:46.0,,,39-42,3,R. Covington makes 3-pt shot from 24 ft (assist by F. Aldemir)
4:30.0,R. Kelly makes 2-pt shot from 1 ft (assist by J. Clarkson),2,41-42,,
4:30.0,Shooting foul by N. Noel (drawn by R. Kelly),,41-42,,
4:30.0,R. Kelly makes free throw 1 of 1,1,42-42,,
4:17.0,,,42-44,2,N. Noel makes 2-pt shot at rim (assist by J. Sampson)
4:05.0,J. Clarkson misses 2-pt shot from 3 ft,,42-44,,
4:03.0,,,42-44,,Defensive rebound by N. Noel
3:59.0,Personal foul by J. Clarkson (drawn by F. Aldemir),,42-44,,
3:59.0,,,42-44,,G. Robinson enters the game for J. Sampson
3:59.0,W. Johnson enters the game for J. Brown,,42-44,,
3:45.0,,,42-46,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
3:31.0,Shooting foul by F. Aldemir (drawn by J. Clarkson),,42-46,,
3:31.0,J. Clarkson misses free throw 1 of 2,,42-46,,
3:31.0,Offensive rebound by Team,,42-46,,
3:31.0,J. Clarkson makes free throw 2 of 2,1,43-46,,
3:11.0,,,43-46,,I. Smith misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by Team,,43-46,,
3:11.0,,,43-46,,Loose ball foul by F. Aldemir (drawn by R. Kelly)
3:11.0,R. Kelly makes free throw 1 of 2,1,44-46,,
3:11.0,,,44-46,,H. Sims enters the game for F. Aldemir
3:11.0,R. Kelly makes free throw 2 of 2,1,45-46,,
3:00.0,,,45-46,,Turnover by R. Covington (bad pass; steal by J. Clarkson)
2:54.0,W. Johnson makes 2-pt shot from 12 ft (assist by J. Clarkson),2,47-46,,
2:26.0,,,47-48,2,G. Robinson makes 2-pt shot from 1 ft (assist by H. Sims)
2:12.0,J. Clarkson makes 2-pt shot from 14 ft,2,49-48,,
1:51.0,,,49-50,2,I. Smith makes 2-pt shot from 4 ft
1:38.0,LA Lakers full timeout,,49-50,,
1:32.0,W. Ellington misses 2-pt shot from 6 ft (block by N. Noel),,49-50,,
1:30.0,,,49-50,,Defensive rebound by G. Robinson
1:24.0,,,49-50,,Turnover by H. Sims (bad pass; steal by J. Clarkson)
1:18.0,J. Clarkson misses 2-pt shot from 13 ft,,49-50,,
1:14.0,Offensive rebound by J. Clarkson,,49-50,,
1:11.0,W. Johnson makes 2-pt shot at rim (assist by W. Ellington),2,51-50,,
0:51.0,,,51-50,,R. Covington misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by W. Ellington,,51-50,,
0:41.0,W. Ellington misses 2-pt shot from 10 ft,,51-50,,
0:39.0,Offensive rebound by R. Sacre,,51-50,,
0:36.0,W. Johnson misses 2-pt shot from 20 ft,,51-50,,
0:34.0,,,51-50,,Defensive rebound by I. Smith
0:28.0,,,51-50,,I. Smith misses 2-pt shot from 10 ft
0:25.0,,,51-50,,Offensive rebound by H. Sims
0:17.0,,,51-50,,Philadelphia full timeout
0:03.0,,,51-50,,H. Sims misses 2-pt shot from 16 ft
0:02.0,Defensive rebound by W. Johnson,,51-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,W. Johnson makes 2-pt shot from 5 ft (assist by R. Kelly),2,53-50,,
11:22.0,,,53-50,,Turnover by R. Covington (bad pass; steal by W. Johnson)
11:13.0,,,53-50,,Personal foul by R. Covington (drawn by W. Ellington)
11:03.0,Turnover by J. Clarkson (bad pass),,53-50,,
10:43.0,,,53-50,,J. Sampson misses 3-pt shot from 25 ft
10:41.0,,,53-50,,Offensive rebound by H. Sims
10:40.0,,,53-50,,H. Sims misses 2-pt shot from 2 ft (block by R. Kelly)
10:40.0,,,53-50,,Offensive rebound by Team
10:35.0,,,53-50,,H. Sims misses 2-pt shot from 18 ft
10:34.0,,,53-50,,Offensive rebound by R. Covington
10:23.0,,,53-50,,I. Smith misses 2-pt shot from 18 ft
10:21.0,Defensive rebound by W. Ellington,,53-50,,
10:15.0,Turnover by W. Ellington (bad pass; steal by N. Noel),,53-50,,
10:11.0,,,53-50,,N. Noel misses 2-pt shot from 1 ft (block by W. Johnson)
10:11.0,Jump ball: W. Johnson vs. N. Noel (H. Sims gains possession),,,,Jump ball: W. Johnson vs. N. Noel (H. Sims gains possession)
10:11.0,,,53-50,,Offensive rebound by Team
9:58.0,,,53-52,2,I. Smith makes 2-pt shot from 1 ft
9:42.0,W. Ellington makes 2-pt shot from 19 ft (assist by T. Black),2,55-52,,
9:30.0,,,55-52,,N. Noel misses 2-pt shot from 6 ft (block by T. Black)
9:28.0,,,55-52,,Offensive rebound by Team
9:28.0,Loose ball foul by T. Black (drawn by H. Sims),,55-52,,
9:18.0,,,55-52,,R. Covington misses 3-pt shot from 27 ft
9:16.0,Defensive rebound by R. Kelly,,55-52,,
8:59.0,W. Johnson misses 2-pt shot from 16 ft,,55-52,,
8:57.0,,,55-52,,Defensive rebound by N. Noel
8:48.0,,,55-52,,N. Noel misses 2-pt shot from 13 ft
8:46.0,Defensive rebound by W. Johnson,,55-52,,
8:36.0,W. Ellington makes 3-pt shot from 23 ft (assist by J. Clarkson),3,58-52,,
8:21.0,,,58-52,,J. Sampson misses 3-pt shot from 25 ft
8:18.0,,,58-52,,Offensive rebound by N. Noel
8:16.0,,,58-52,,N. Noel misses 2-pt shot from 3 ft
8:15.0,,,58-52,,Offensive rebound by R. Covington
8:15.0,,,58-52,,Shooting foul by W. Ellington (drawn by R. Covington)
8:15.0,,,58-52,,R. Covington misses free throw 1 of 2
8:15.0,,,58-52,,Offensive rebound by Team
8:15.0,,,58-53,1,R. Covington makes free throw 2 of 2
8:04.0,W. Ellington misses 2-pt shot from 18 ft,,58-53,,
8:02.0,,,58-53,,Defensive rebound by R. Covington
7:56.0,,,58-53,,Turnover by R. Covington (lost ball; steal by W. Johnson)
7:51.0,W. Johnson makes 2-pt shot at rim (assist by J. Clarkson),2,60-53,,
7:51.0,,,60-53,,Philadelphia full timeout
7:32.0,,,60-55,2,I. Smith makes 2-pt shot from 4 ft
7:19.0,Shooting foul by I. Smith (drawn by J. Clarkson),,60-55,,
7:19.0,J. Clarkson makes free throw 1 of 2,1,61-55,,
7:19.0,J. Clarkson makes free throw 2 of 2,1,62-55,,
7:08.0,,,62-57,2,I. Smith makes 2-pt shot from 3 ft
6:44.0,W. Johnson misses 2-pt shot from 15 ft,,62-57,,
6:44.0,,,62-57,,Defensive rebound by Team
6:44.0,Loose ball foul by T. Black (drawn by I. Smith),,62-57,,
6:21.0,,,62-57,,Turnover by R. Covington (traveling)
6:21.0,J. Hill enters the game for T. Black,,62-57,,
6:06.0,J. Hill misses 2-pt shot from 15 ft,,62-57,,
6:05.0,,,62-57,,Defensive rebound by N. Noel
5:55.0,,,62-57,,I. Smith misses 2-pt shot from 4 ft (block by R. Kelly)
5:55.0,,,62-57,,Offensive rebound by Team
5:55.0,,,62-57,,G. Robinson enters the game for R. Covington
5:55.0,,,62-57,,H. Thompson enters the game for J. Sampson
5:45.0,,,62-59,2,H. Sims makes 2-pt shot from 7 ft
5:34.0,W. Ellington misses 3-pt shot from 25 ft,,62-59,,
5:33.0,,,62-59,,Defensive rebound by H. Thompson
5:20.0,,,62-59,,I. Smith misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by W. Johnson,,62-59,,
5:13.0,J. Clarkson makes 2-pt shot from 1 ft (assist by R. Kelly),2,64-59,,
4:50.0,,,64-61,2,N. Noel makes 2-pt shot from 1 ft (assist by I. Smith)
4:28.0,R. Kelly misses 3-pt shot from 25 ft,,64-61,,
4:25.0,,,64-61,,Defensive rebound by H. Sims
4:16.0,,,64-61,,I. Smith misses 2-pt shot from 4 ft
4:13.0,Defensive rebound by J. Hill,,64-61,,
3:50.0,J. Clarkson misses 3-pt shot from 25 ft,,64-61,,
3:49.0,,,64-61,,Defensive rebound by N. Noel
3:39.0,,,64-61,,Shooting foul by R. Kelly (drawn by H. Thompson)
3:39.0,,,64-62,1,H. Thompson makes free throw 1 of 2
3:39.0,J. Brown enters the game for W. Ellington,,64-62,,
3:39.0,,,64-62,,F. Aldemir enters the game for N. Noel
3:39.0,,,64-62,,T. Robinson enters the game for I. Smith
3:39.0,,,64-62,,I. Canaan enters the game for H. Sims
3:39.0,,,64-62,,H. Thompson misses free throw 2 of 2
3:38.0,Defensive rebound by W. Johnson,,64-62,,
3:24.0,Shooting foul by G. Robinson (drawn by J. Brown),,64-62,,
3:24.0,J. Brown makes free throw 1 of 2,1,65-62,,
3:24.0,J. Brown makes free throw 2 of 2,1,66-62,,
3:14.0,,,66-65,3,G. Robinson makes 3-pt shot from 23 ft (assist by I. Canaan)
2:53.0,W. Johnson misses 2-pt shot from 3 ft,,66-65,,
2:51.0,Offensive rebound by J. Hill,,66-65,,
2:48.0,J. Brown makes 3-pt shot from 25 ft (assist by J. Hill),3,69-65,,
2:37.0,,,69-65,,T. Robinson misses 2-pt shot from 18 ft
2:36.0,Defensive rebound by R. Kelly,,69-65,,
2:17.0,J. Hill makes 2-pt shot from 7 ft,2,71-65,,
1:59.0,,,71-67,2,G. Robinson makes 2-pt shot from 14 ft (assist by H. Thompson)
1:42.0,Turnover by J. Hill (bad pass; steal by H. Thompson),,71-67,,
1:31.0,,,71-67,,G. Robinson misses 3-pt shot from 22 ft
1:30.0,,,71-67,,Offensive rebound by G. Robinson
1:29.0,,,71-67,,Shooting foul by W. Johnson (drawn by G. Robinson)
1:29.0,LA Lakers full timeout,,71-67,,
1:29.0,,,71-67,,G. Robinson misses free throw 1 of 2
1:29.0,,,71-67,,Offensive rebound by Team
1:29.0,,,71-68,1,G. Robinson makes free throw 2 of 2
1:22.0,R. Kelly makes 2-pt shot at rim,2,73-68,,
1:10.0,,,73-68,,H. Thompson misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by J. Hill,,73-68,,
0:51.0,W. Johnson misses 3-pt shot from 25 ft,,73-68,,
0:50.0,Offensive rebound by J. Clarkson,,73-68,,
0:37.0,W. Johnson misses 2-pt shot from 1 ft,,73-68,,
0:34.0,Offensive rebound by J. Clarkson,,73-68,,
0:34.0,J. Clarkson misses 2-pt shot from 1 ft,,73-68,,
0:32.0,,,73-68,,Defensive rebound by F. Aldemir
0:28.0,,,73-71,3,I. Canaan makes 3-pt shot from 24 ft
0:12.0,,,73-71,,Personal foul by F. Aldemir (drawn by J. Clarkson)
0:12.0,,,73-71,,J. Sampson enters the game for F. Aldemir
0:04.0,J. Brown makes 3-pt shot from 25 ft,3,76-71,,
0:00.0,,,76-71,,I. Canaan misses 3-pt shot from 25 ft
0:00.0,,,76-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,76-71,,H. Thompson misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by J. Clarkson,,76-71,,
11:33.0,Shooting foul by T. Robinson (drawn by J. Clarkson),,76-71,,
11:33.0,J. Clarkson makes free throw 1 of 2,1,77-71,,
11:33.0,J. Clarkson misses free throw 2 of 2,,77-71,,
11:32.0,Offensive rebound by W. Johnson,,77-71,,
11:32.0,Shooting foul by T. Robinson (drawn by J. Clarkson),,77-71,,
11:32.0,W. Johnson makes free throw 1 of 2,1,78-71,,
11:32.0,W. Johnson makes free throw 2 of 2,1,79-71,,
11:11.0,,,79-71,,Shooting foul by T. Black (drawn by I. Canaan)
11:11.0,R. Sacre enters the game for T. Black,,79-71,,
11:11.0,,,79-72,1,I. Canaan makes free throw 1 of 3
11:11.0,,,79-73,1,I. Canaan makes free throw 2 of 3
11:11.0,,,79-74,1,I. Canaan makes free throw 3 of 3
10:57.0,R. Sacre misses 2-pt shot from 18 ft,,79-74,,
10:56.0,Offensive rebound by J. Hill,,79-74,,
10:54.0,Turnover by J. Hill (lost ball; steal by I. Canaan),,79-74,,
10:51.0,,,79-74,,Shooting foul by J. Brown (drawn by I. Canaan)
10:51.0,,,79-75,1,I. Canaan makes free throw 1 of 2
10:51.0,,,79-76,1,I. Canaan makes free throw 2 of 2
10:27.0,J. Brown makes 2-pt shot from 17 ft (assist by J. Hill),2,81-76,,
10:11.0,,,81-78,2,T. Robinson makes 2-pt shot from 5 ft (assist by H. Sims)
9:52.0,W. Johnson misses 2-pt shot from 16 ft,,81-78,,
9:50.0,,,81-78,,Defensive rebound by H. Sims
9:42.0,,,81-78,,I. Canaan misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by J. Clarkson,,81-78,,
9:28.0,J. Brown misses 2-pt shot from 11 ft,,81-78,,
9:27.0,Offensive rebound by J. Hill,,81-78,,
9:25.0,J. Hill misses 2-pt shot from 11 ft,,81-78,,
9:23.0,,,81-78,,Defensive rebound by H. Sims
9:03.0,,,81-78,,I. Canaan misses 2-pt shot from 16 ft
9:02.0,Defensive rebound by W. Johnson,,81-78,,
8:46.0,J. Hill misses 2-pt shot from 6 ft,,81-78,,
8:43.0,Offensive rebound by J. Hill,,81-78,,
8:41.0,J. Hill misses 2-pt shot from 8 ft,,81-78,,
8:41.0,Offensive rebound by Team,,81-78,,
8:41.0,,,81-78,,Loose ball foul by H. Thompson (drawn by R. Sacre)
8:41.0,Official timeout,,81-78,,
8:41.0,W. Ellington enters the game for J. Clarkson,,81-78,,
8:40.0,Turnover by W. Johnson (bad pass; steal by H. Sims),,81-78,,
8:36.0,,,81-80,2,T. Robinson makes 2-pt shot at rim (assist by G. Robinson)
8:36.0,,,81-80,,Shooting foul by R. Sacre (drawn by T. Robinson)
8:36.0,,,81-81,1,T. Robinson makes free throw 1 of 1
8:17.0,Turnover by R. Sacre (bad pass; steal by T. Robinson),,81-81,,
8:13.0,,,81-83,2,H. Sims makes 2-pt shot from 1 ft (assist by T. Robinson)
7:53.0,Turnover by W. Johnson (bad pass; steal by I. Canaan),,81-83,,
7:51.0,,,81-83,,Shooting foul by J. Brown (drawn by I. Canaan)
7:51.0,,,81-84,1,I. Canaan makes free throw 1 of 2
7:51.0,,,81-85,1,I. Canaan makes free throw 2 of 2
7:34.0,J. Hill misses 2-pt shot from 18 ft,,81-85,,
7:32.0,,,81-85,,Defensive rebound by G. Robinson
7:10.0,,,81-85,,T. Robinson misses 2-pt shot from 14 ft
7:08.0,Defensive rebound by W. Ellington,,81-85,,
6:55.0,J. Brown makes 2-pt shot from 12 ft,2,83-85,,
6:33.0,,,83-87,2,H. Sims makes 2-pt shot from 17 ft (assist by H. Thompson)
6:09.0,Turnover by J. Brown (lost ball; steal by G. Robinson),,83-87,,
5:55.0,,,83-87,,I. Canaan misses 3-pt shot from 27 ft
5:54.0,,,83-87,,Offensive rebound by T. Robinson
5:54.0,,,83-87,,Shooting foul by J. Hill (drawn by T. Robinson)
5:54.0,,,83-87,,Philadelphia full timeout
5:54.0,,,83-88,1,T. Robinson makes free throw 1 of 2
5:54.0,R. Kelly enters the game for R. Sacre,,83-88,,
5:54.0,,,83-88,,R. Covington enters the game for G. Robinson
5:54.0,,,83-88,,N. Noel enters the game for H. Thompson
5:54.0,,,83-88,,I. Smith enters the game for H. Sims
