time,Dallas,pts.away,score,pts.home,Charlotte
2:08.0,M. Ellis makes free throw 2 of 2,1,30-22,,
1:50.0,,,30-24,2,K. Walker makes 2-pt shot from 1 ft
1:35.0,M. Ellis misses 2-pt shot from 1 ft,,30-24,,
1:33.0,Offensive rebound by B. Wright,,30-24,,
1:33.0,B. Wright makes 2-pt shot at rim,2,32-24,,
1:21.0,,,32-24,,P. Hairston misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by A. Aminu,,32-24,,
1:10.0,A. Aminu misses 3-pt shot from 24 ft,,32-24,,
1:09.0,,,32-24,,Defensive rebound by B. Biyombo
0:58.0,,,32-24,,K. Walker misses 2-pt shot from 6 ft
0:57.0,Defensive rebound by C. Parsons,,32-24,,
0:36.0,D. Harris misses 3-pt shot from 23 ft,,32-24,,
0:35.0,,,32-24,,Defensive rebound by K. Walker
0:22.0,,,32-24,,Shooting foul by B. Wright (drawn by B. Biyombo)
0:22.0,,,32-24,,B. Biyombo misses free throw 1 of 2
0:22.0,,,32-24,,Offensive rebound by Team
0:22.0,D. Nowitzki enters the game for C. Parsons,,32-24,,
0:22.0,J. Barea enters the game for M. Ellis,,32-24,,
0:22.0,,,32-24,,B. Biyombo misses free throw 2 of 2
0:20.0,Defensive rebound by A. Aminu,,32-24,,
0:02.0,B. Wright misses 2-pt shot from 2 ft (block by C. Zeller),,32-24,,
0:00.0,,,32-24,,Defensive rebound by B. Biyombo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,B. Wright makes 2-pt shot from 1 ft (assist by J. Barea),2,34-24,,
11:26.0,,,34-26,2,L. Stephenson makes 2-pt shot from 18 ft
11:14.0,B. Wright misses 2-pt shot from 2 ft (block by B. Biyombo),,34-26,,
11:12.0,Offensive rebound by J. Barea,,34-26,,
11:09.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris),3,37-26,,
10:50.0,,,37-26,,L. Stephenson misses 2-pt shot from 2 ft
10:49.0,Defensive rebound by A. Aminu,,37-26,,
10:43.0,D. Nowitzki misses 3-pt shot from 25 ft,,37-26,,
10:41.0,,,37-26,,Defensive rebound by L. Stephenson
10:34.0,,,37-26,,L. Stephenson misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by D. Nowitzki,,37-26,,
10:23.0,A. Aminu makes 3-pt shot from 23 ft (assist by D. Harris),3,40-26,,
10:17.0,,,40-26,,Charlotte full timeout
10:11.0,,,40-26,,B. Roberts misses 3-pt shot from 25 ft
10:10.0,,,40-26,,Offensive rebound by L. Stephenson
10:03.0,,,40-26,,C. Zeller misses 2-pt shot from 19 ft
10:02.0,Defensive rebound by A. Aminu,,40-26,,
9:42.0,Turnover by D. Nowitzki (bad pass; steal by B. Roberts),,40-26,,
9:32.0,,,40-28,2,L. Stephenson makes 2-pt shot from 1 ft
9:32.0,,,40-28,,Shooting foul by B. Wright (drawn by L. Stephenson)
9:32.0,T. Chandler enters the game for B. Wright,,40-28,,
9:32.0,,,40-28,,L. Stephenson misses free throw 1 of 1
9:31.0,Defensive rebound by A. Aminu,,40-28,,
9:21.0,T. Chandler makes 2-pt shot at rim (assist by J. Barea),2,42-28,,
9:02.0,Personal foul by D. Nowitzki (drawn by C. Zeller),,42-28,,
8:48.0,,,42-31,3,J. Pargo makes 3-pt shot from 23 ft (assist by L. Stephenson)
8:39.0,,,42-31,,M. Williams enters the game for C. Zeller
8:27.0,J. Barea misses 2-pt shot from 1 ft,,42-31,,
8:25.0,,,42-31,,Defensive rebound by B. Biyombo
8:15.0,,,42-31,,J. Pargo misses 2-pt shot from 16 ft
8:13.0,,,42-31,,Offensive rebound by B. Biyombo
8:06.0,,,42-31,,B. Biyombo misses 2-pt shot from 8 ft
8:03.0,Defensive rebound by T. Chandler,,42-31,,
7:46.0,T. Chandler makes 2-pt shot from 1 ft (assist by J. Barea),2,44-31,,
7:33.0,,,44-31,,B. Roberts misses 2-pt shot from 20 ft
7:32.0,Defensive rebound by D. Nowitzki,,44-31,,
7:24.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,46-31,,
7:15.0,,,46-31,,Charlotte full timeout
7:15.0,,,46-31,,A. Jefferson enters the game for L. Stephenson
7:15.0,,,46-31,,P. Hairston enters the game for B. Biyombo
7:15.0,,,46-31,,G. Henderson enters the game for J. Pargo
7:07.0,,,46-33,2,G. Henderson makes 2-pt shot at rim (assist by A. Jefferson)
6:45.0,J. Barea makes 2-pt shot from 8 ft,2,48-33,,
6:29.0,,,48-36,3,P. Hairston makes 3-pt shot from 22 ft (assist by G. Henderson)
6:21.0,Dallas full timeout,,48-36,,
6:21.0,M. Ellis enters the game for D. Nowitzki,,48-36,,
6:21.0,C. Parsons enters the game for J. Barea,,48-36,,
6:06.0,T. Chandler makes 2-pt shot from 1 ft (assist by D. Harris),2,50-36,,
5:53.0,,,50-36,,Turnover by B. Roberts (bad pass; steal by C. Parsons)
5:45.0,C. Parsons makes 3-pt shot from 27 ft (assist by D. Harris),3,53-36,,
5:34.0,J. Nelson enters the game for D. Harris,,53-36,,
5:34.0,,,53-36,,K. Walker enters the game for B. Roberts
5:17.0,,,53-36,,G. Henderson misses 2-pt shot from 17 ft (block by A. Aminu)
5:17.0,,,53-36,,Offensive rebound by Team
5:17.0,,,53-36,,Turnover by Team (shot clock)
4:58.0,C. Parsons misses 3-pt shot from 25 ft,,53-36,,
4:58.0,,,53-36,,Defensive rebound by Team
4:49.0,Personal foul by J. Nelson (drawn by K. Walker),,53-36,,
4:33.0,,,53-36,,P. Hairston misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by C. Parsons,,53-36,,
4:26.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,55-36,,
4:04.0,Personal foul by C. Parsons (drawn by G. Henderson),,55-36,,
3:51.0,,,55-36,,A. Jefferson misses 2-pt shot from 16 ft
3:50.0,Defensive rebound by C. Parsons,,55-36,,
3:44.0,Shooting foul by P. Hairston (drawn by A. Aminu),,55-36,,
3:44.0,A. Aminu makes free throw 1 of 2,1,56-36,,
3:44.0,B. Wright enters the game for T. Chandler,,56-36,,
3:44.0,,,56-36,,C. Zeller enters the game for M. Williams
3:44.0,A. Aminu makes free throw 2 of 2,1,57-36,,
3:25.0,,,57-36,,Turnover by A. Jefferson (bad pass; steal by B. Wright)
3:23.0,,,57-36,,Shooting block foul by P. Hairston (drawn by M. Ellis)
3:23.0,M. Ellis makes free throw 1 of 2,1,58-36,,
3:23.0,,,58-36,,J. Pargo enters the game for P. Hairston
3:23.0,M. Ellis makes free throw 2 of 2,1,59-36,,
3:12.0,,,59-38,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
3:00.0,C. Parsons misses 3-pt shot from 23 ft,,59-38,,
2:59.0,,,59-38,,Defensive rebound by K. Walker
2:46.0,,,59-38,,A. Jefferson misses 2-pt shot from 1 ft
2:45.0,,,59-38,,Offensive rebound by G. Henderson
2:34.0,,,59-38,,J. Pargo misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by A. Aminu,,59-38,,
2:30.0,Dallas full timeout,,59-38,,
2:30.0,Official timeout,,59-38,,
2:30.0,D. Nowitzki enters the game for A. Aminu,,59-38,,
2:16.0,M. Ellis misses 2-pt shot from 1 ft,,59-38,,
2:15.0,,,59-38,,Defensive rebound by C. Zeller
2:03.0,,,59-41,3,J. Pargo makes 3-pt shot from 26 ft (assist by A. Jefferson)
1:48.0,,,59-41,,Personal foul by J. Pargo (drawn by M. Ellis)
1:36.0,D. Nowitzki misses 2-pt shot from 17 ft,,59-41,,
1:35.0,Offensive rebound by B. Wright,,59-41,,
1:22.0,M. Ellis makes 2-pt shot at rim,2,61-41,,
1:06.0,,,61-41,,Shooting foul by D. Nowitzki (drawn by C. Zeller)
1:06.0,,,61-41,,C. Zeller misses free throw 1 of 2
1:06.0,,,61-41,,Offensive rebound by Team
1:06.0,,,61-41,,C. Zeller misses free throw 2 of 2
1:04.0,Defensive rebound by C. Parsons,,61-41,,
0:58.0,,,61-41,,Personal foul by K. Walker (drawn by B. Wright)
0:58.0,B. Wright makes free throw 1 of 2,1,62-41,,
0:58.0,B. Wright misses free throw 2 of 2,,62-41,,
0:57.0,,,62-41,,Defensive rebound by G. Henderson
0:43.0,,,62-43,2,G. Henderson makes 2-pt shot from 17 ft
0:33.0,J. Nelson makes 3-pt shot from 25 ft,3,65-43,,
0:14.0,,,65-43,,A. Jefferson misses 2-pt shot from 1 ft
0:13.0,Defensive rebound by C. Parsons,,65-43,,
0:02.0,B. Wright makes 2-pt shot at rim (assist by J. Nelson),2,67-43,,
0:00.0,,,67-43,,J. Pargo misses 3-pt shot from 45 ft
0:00.0,,,67-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,T. Chandler makes 2-pt shot from 17 ft (assist by C. Parsons),2,69-43,,
11:27.0,,,69-43,,M. Williams misses 2-pt shot from 4 ft
11:26.0,Defensive rebound by D. Nowitzki,,69-43,,
11:11.0,,,69-43,,Personal foul by M. Williams (drawn by T. Chandler)
10:57.0,C. Parsons misses 3-pt shot from 26 ft,,69-43,,
10:56.0,,,69-43,,Defensive rebound by A. Jefferson
10:45.0,,,69-46,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
10:23.0,D. Nowitzki misses 2-pt shot from 9 ft,,69-46,,
10:22.0,,,69-46,,Defensive rebound by A. Jefferson
10:11.0,,,69-46,,A. Jefferson misses 2-pt shot from 10 ft
10:10.0,Defensive rebound by T. Chandler,,69-46,,
10:01.0,J. Nelson misses 3-pt shot from 25 ft,,69-46,,
10:00.0,,,69-46,,Defensive rebound by G. Henderson
9:51.0,,,69-46,,A. Jefferson misses 2-pt shot from 5 ft
9:50.0,Defensive rebound by C. Parsons,,69-46,,
9:42.0,M. Ellis misses 3-pt shot from 23 ft,,69-46,,
9:41.0,,,69-46,,Defensive rebound by Team
9:22.0,,,69-46,,A. Jefferson misses 2-pt shot from 10 ft
9:20.0,Defensive rebound by T. Chandler,,69-46,,
9:10.0,M. Ellis misses 2-pt shot from 19 ft,,69-46,,
9:08.0,Offensive rebound by T. Chandler,,69-46,,
8:51.0,C. Parsons misses 3-pt shot from 25 ft,,69-46,,
8:50.0,,,69-46,,Defensive rebound by A. Jefferson
8:41.0,,,69-48,2,K. Walker makes 2-pt shot from 16 ft
8:21.0,D. Nowitzki misses 2-pt shot from 19 ft,,69-48,,
8:20.0,,,69-48,,Defensive rebound by A. Jefferson
8:08.0,,,69-50,2,L. Stephenson makes 2-pt shot from 2 ft (assist by M. Williams)
8:08.0,,,69-50,,Shooting foul by M. Ellis (drawn by L. Stephenson)
8:08.0,,,69-50,,L. Stephenson misses free throw 1 of 1
8:06.0,Defensive rebound by D. Nowitzki,,69-50,,
7:55.0,,,69-50,,Personal foul by L. Stephenson (drawn by T. Chandler)
7:50.0,M. Ellis misses 2-pt shot from 1 ft,,69-50,,
7:48.0,,,69-50,,Defensive rebound by M. Williams
7:32.0,,,69-52,2,G. Henderson makes 2-pt shot from 15 ft
7:27.0,Dallas full timeout,,69-52,,
7:22.0,,,69-52,,Personal foul by M. Williams (drawn by M. Ellis)
7:06.0,D. Nowitzki makes 2-pt shot from 15 ft,2,71-52,,
6:46.0,,,71-52,,K. Walker misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by C. Parsons,,71-52,,
6:34.0,Offensive foul by M. Ellis,,71-52,,
6:34.0,Turnover by M. Ellis (offensive foul),,71-52,,
6:21.0,,,71-52,,M. Williams misses 3-pt shot from 26 ft
6:20.0,Defensive rebound by T. Chandler,,71-52,,
6:07.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by C. Parsons),2,73-52,,
5:48.0,,,73-52,,A. Jefferson misses 2-pt shot from 7 ft
5:47.0,Defensive rebound by T. Chandler,,73-52,,
5:37.0,C. Parsons makes 3-pt shot from 23 ft (assist by J. Nelson),3,76-52,,
5:30.0,,,76-52,,Charlotte full timeout
5:30.0,,,76-52,,P. Hairston enters the game for G. Henderson
5:30.0,A. Aminu enters the game for D. Nowitzki,,76-52,,
5:21.0,,,76-52,,K. Walker misses 2-pt shot from 16 ft
5:20.0,Defensive rebound by T. Chandler,,76-52,,
5:07.0,M. Ellis makes 2-pt shot from 18 ft (assist by T. Chandler),2,78-52,,
4:58.0,Personal foul by A. Aminu (drawn by K. Walker),,78-52,,
4:58.0,,,78-52,,C. Zeller enters the game for M. Williams
4:48.0,,,78-52,,Turnover by A. Jefferson (bad pass; steal by J. Nelson)
4:43.0,J. Nelson makes 2-pt shot from 1 ft (assist by C. Parsons),2,80-52,,
4:35.0,,,80-52,,Charlotte full timeout
4:35.0,,,80-52,,G. Henderson enters the game for P. Hairston
4:19.0,,,80-52,,A. Jefferson misses 2-pt shot from 2 ft (block by A. Aminu)
4:17.0,Defensive rebound by C. Parsons,,80-52,,
4:17.0,Shooting foul by L. Stephenson (drawn by C. Parsons),,80-52,,
4:17.0,C. Parsons makes free throw 1 of 2,1,81-52,,
4:17.0,C. Parsons makes free throw 2 of 2,1,82-52,,
4:04.0,,,82-54,2,G. Henderson makes 2-pt shot from 19 ft (assist by L. Stephenson)
3:47.0,M. Ellis misses 2-pt shot from 19 ft,,82-54,,
3:46.0,,,82-54,,Defensive rebound by C. Zeller
3:36.0,,,82-57,3,K. Walker makes 3-pt shot from 23 ft (assist by L. Stephenson)
3:20.0,A. Aminu misses 2-pt shot from 18 ft,,82-57,,
3:19.0,,,82-57,,Defensive rebound by A. Jefferson
3:08.0,,,82-59,2,C. Zeller makes 2-pt shot from 19 ft (assist by L. Stephenson)
3:07.0,Dallas full timeout,,82-59,,
3:07.0,,,82-59,,B. Biyombo enters the game for A. Jefferson
3:07.0,D. Nowitzki enters the game for C. Parsons,,82-59,,
3:07.0,B. Wright enters the game for T. Chandler,,82-59,,
2:51.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Nelson),2,84-59,,
2:38.0,Personal foul by D. Nowitzki (drawn by B. Biyombo),,84-59,,
2:33.0,,,84-59,,Turnover by L. Stephenson (bad pass)
2:17.0,D. Nowitzki misses 2-pt shot from 19 ft (block by B. Biyombo),,84-59,,
2:15.0,,,84-59,,Defensive rebound by K. Walker
2:07.0,,,84-59,,K. Walker misses 3-pt shot from 25 ft
2:05.0,,,84-59,,Offensive rebound by B. Biyombo
2:05.0,,,84-61,2,B. Biyombo makes 2-pt shot at rim
1:40.0,D. Nowitzki misses 3-pt shot from 26 ft,,84-61,,
1:38.0,Offensive rebound by B. Wright,,84-61,,
1:24.0,M. Ellis misses 3-pt shot from 25 ft,,84-61,,
1:22.0,Offensive rebound by J. Nelson,,84-61,,
1:07.0,M. Ellis makes 2-pt shot from 1 ft,2,86-61,,
0:56.0,,,86-61,,K. Walker misses 2-pt shot from 5 ft (block by D. Nowitzki)
0:54.0,Defensive rebound by A. Aminu,,86-61,,
0:51.0,Shooting foul by G. Henderson (drawn by M. Ellis),,86-61,,
0:51.0,M. Ellis misses free throw 1 of 2,,86-61,,
0:51.0,Offensive rebound by Team,,86-61,,
0:51.0,,,86-61,,B. Roberts enters the game for L. Stephenson
0:51.0,J. Barea enters the game for J. Nelson,,86-61,,
0:51.0,M. Ellis makes free throw 2 of 2,1,87-61,,
0:34.0,,,87-61,,G. Henderson misses 2-pt shot from 14 ft
0:33.0,Defensive rebound by M. Ellis,,87-61,,
0:16.0,M. Ellis misses 2-pt shot from 2 ft,,87-61,,
0:16.0,Offensive rebound by Team,,87-61,,
0:16.0,,,87-61,,Loose ball foul by G. Henderson (drawn by B. Wright)
0:16.0,B. Wright makes free throw 1 of 2,1,88-61,,
0:16.0,J. Crowder enters the game for M. Ellis,,88-61,,
0:16.0,C. Parsons enters the game for D. Nowitzki,,88-61,,
0:16.0,B. Wright misses free throw 2 of 2,,88-61,,
0:14.0,Offensive rebound by A. Aminu,,88-61,,
0:00.0,A. Aminu misses 2-pt shot from 20 ft,,88-61,,
0:00.0,Offensive rebound by Team,,88-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:32.0,,,88-61,,G. Henderson misses 2-pt shot from 12 ft
11:31.0,,,88-61,,Offensive rebound by B. Biyombo
11:31.0,,,88-63,2,B. Biyombo makes 2-pt shot at rim
11:21.0,,,88-63,,Personal foul by C. Zeller (drawn by A. Aminu)
11:14.0,Turnover by J. Barea (traveling),,88-63,,
10:53.0,,,88-63,,Turnover by C. Zeller (bad pass; steal by B. Wright)
10:42.0,B. Wright misses 2-pt shot from 2 ft,,88-63,,
10:41.0,,,88-63,,Defensive rebound by L. Stephenson
10:34.0,,,88-63,,B. Biyombo misses 2-pt shot at rim (block by B. Wright)
10:32.0,,,88-63,,Offensive rebound by B. Biyombo
10:32.0,,,88-63,,B. Biyombo misses 2-pt shot from 1 ft
10:30.0,,,88-63,,Offensive rebound by B. Biyombo
10:30.0,,,88-63,,B. Biyombo misses 2-pt shot at rim
10:28.0,Defensive rebound by A. Aminu,,88-63,,
10:11.0,B. Wright makes 2-pt shot from 5 ft (assist by J. Barea),2,90-63,,
10:00.0,,,90-63,,Turnover by B. Roberts (dbl dribble)
9:56.0,A. Aminu makes 2-pt shot at rim (assist by C. Parsons),2,92-63,,
9:56.0,,,92-63,,Charlotte full timeout
9:32.0,,,92-63,,Turnover by Team (shot clock)
9:20.0,J. Crowder misses 2-pt shot from 18 ft,,92-63,,
9:19.0,,,92-63,,Defensive rebound by B. Roberts
9:11.0,,,92-63,,Turnover by B. Roberts (bad pass)
9:11.0,G. Smith enters the game for B. Wright,,92-63,,
8:57.0,J. Barea makes 2-pt shot from 18 ft,2,94-63,,
8:41.0,,,94-63,,Turnover by G. Henderson (lost ball; steal by J. Crowder)
8:34.0,C. Parsons misses 3-pt shot from 24 ft,,94-63,,
8:31.0,Offensive rebound by G. Smith,,94-63,,
8:31.0,G. Smith makes 2-pt shot from 3 ft,2,96-63,,
8:10.0,,,96-66,3,G. Henderson makes 3-pt shot from 23 ft (assist by L. Stephenson)
7:44.0,J. Barea misses 3-pt shot from 26 ft,,96-66,,
7:42.0,,,96-66,,Defensive rebound by Team
7:42.0,Personal foul by C. Parsons (drawn by G. Henderson),,96-66,,
7:42.0,,,96-66,,J. Pargo enters the game for L. Stephenson
7:42.0,C. Villanueva enters the game for C. Parsons,,96-66,,
7:25.0,,,96-68,2,J. Pargo makes 2-pt shot from 15 ft (assist by B. Roberts)
7:03.0,A. Aminu misses 2-pt shot from 10 ft,,96-68,,
7:01.0,Offensive rebound by G. Smith,,96-68,,
6:53.0,J. Barea makes 2-pt shot from 8 ft,2,98-68,,
6:30.0,,,98-68,,Shooting foul by G. Smith (drawn by G. Henderson)
6:30.0,,,98-70,2,G. Henderson makes 2-pt shot from 1 ft
6:30.0,,,98-70,,J. Maxiell enters the game for B. Biyombo
6:30.0,,,98-70,,N. Vonleh enters the game for C. Zeller
6:30.0,,,98-71,1,G. Henderson makes free throw 1 of 1
6:30.0,,,98-71,,Technical foul by N. Vonleh
6:30.0,Technical foul by C. Villanueva,,98-71,,
6:10.0,J. Barea makes 2-pt shot from 18 ft,2,100-71,,
5:54.0,,,100-71,,J. Pargo misses 2-pt shot from 16 ft
5:54.0,Defensive rebound by Team,,100-71,,
5:54.0,,,100-71,,Loose ball foul by N. Vonleh (drawn by J. Crowder)
5:54.0,Official timeout,,100-71,,
5:40.0,C. Villanueva misses 3-pt shot from 24 ft,,100-71,,
5:38.0,,,100-71,,Defensive rebound by G. Henderson
5:21.0,,,100-73,2,N. Vonleh makes 2-pt shot from 14 ft
5:02.0,A. Aminu makes 2-pt shot from 10 ft (assist by J. Barea),2,102-73,,
4:46.0,,,102-73,,J. Maxiell misses 2-pt shot from 11 ft
4:46.0,,,102-73,,Offensive rebound by Team
4:46.0,Loose ball foul by C. Villanueva (drawn by N. Vonleh),,102-73,,
4:36.0,,,102-73,,B. Roberts misses 2-pt shot from 20 ft
4:35.0,Defensive rebound by A. Aminu,,102-73,,
4:11.0,C. Villanueva misses 3-pt shot from 23 ft,,102-73,,
4:09.0,,,102-73,,Defensive rebound by J. Maxiell
3:54.0,,,102-73,,N. Vonleh misses 2-pt shot from 13 ft
3:53.0,Defensive rebound by A. Aminu,,102-73,,
3:49.0,Offensive charge foul by J. Crowder,,102-73,,
3:49.0,Turnover by J. Crowder (offensive foul),,102-73,,
3:36.0,,,102-73,,J. Pargo misses 3-pt shot from 26 ft
3:36.0,,,102-73,,Offensive rebound by Team
3:10.0,,,102-73,,B. Roberts misses 3-pt shot from 32 ft
3:09.0,Defensive rebound by J. Barea,,102-73,,
2:54.0,J. Crowder misses 3-pt shot from 25 ft,,102-73,,
2:52.0,,,102-73,,Defensive rebound by N. Vonleh
2:43.0,,,102-73,,Shooting foul by G. Smith (drawn by N. Vonleh)
2:43.0,Dallas full timeout,,102-73,,
2:43.0,,,102-74,1,N. Vonleh makes free throw 1 of 2
2:43.0,,,102-74,,N. Vonleh misses free throw 2 of 2
2:41.0,Defensive rebound by C. Villanueva,,102-74,,
2:24.0,C. Villanueva misses 2-pt shot from 8 ft,,102-74,,
2:23.0,,,102-74,,Defensive rebound by N. Vonleh
2:01.0,,,102-74,,N. Vonleh misses 2-pt shot from 15 ft
1:59.0,Defensive rebound by G. Smith,,102-74,,
1:46.0,C. Villanueva makes 2-pt shot from 8 ft (assist by J. Barea),2,104-74,,
1:36.0,,,104-77,3,J. Pargo makes 3-pt shot from 26 ft (assist by G. Henderson)
1:24.0,C. Villanueva makes 3-pt shot from 27 ft (assist by J. Barea),3,107-77,,
1:12.0,,,107-77,,G. Henderson misses 2-pt shot from 20 ft
1:10.0,Defensive rebound by J. Crowder,,107-77,,
1:00.0,Turnover by G. Smith (traveling),,107-77,,
0:47.0,,,107-80,3,N. Vonleh makes 3-pt shot from 26 ft (assist by B. Roberts)
0:34.0,A. Aminu misses 2-pt shot from 18 ft,,107-80,,
0:33.0,,,107-80,,Defensive rebound by J. Maxiell
