time,Philadelphia,pts.away,score,pts.home,Portland
5:29.0,Official timeout,,37-48,,
5:23.0,J. Grant misses 2-pt shot from 6 ft,,37-48,,
5:20.0,,,37-48,,Defensive rebound by V. Claver
5:08.0,,,37-50,2,V. Claver makes 2-pt shot at rim (assist by J. Freeland)
4:55.0,Offensive charge foul by M. Carter-Williams,,37-50,,
4:55.0,Turnover by M. Carter-Williams (offensive foul),,37-50,,
4:55.0,K. McDaniels enters the game for T. Wroten,,37-50,,
4:37.0,,,37-52,2,D. Lillard makes 2-pt shot at rim
4:27.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,39-52,,
4:13.0,,,39-52,,D. Lillard misses 2-pt shot from 19 ft
4:11.0,,,39-52,,Offensive rebound by J. Freeland
4:11.0,,,39-52,,J. Freeland misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by M. Carter-Williams,,39-52,,
3:59.0,K. McDaniels misses 2-pt shot from 3 ft,,39-52,,
3:57.0,,,39-52,,Defensive rebound by J. Freeland
3:44.0,,,39-52,,N. Batum misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by N. Noel,,39-52,,
3:31.0,M. Carter-Williams misses 3-pt shot from 25 ft,,39-52,,
3:30.0,,,39-52,,Defensive rebound by V. Claver
3:30.0,Personal foul by J. Grant (drawn by V. Claver),,39-52,,
3:30.0,,,39-52,,M. Leonard enters the game for J. Freeland
3:30.0,,,39-52,,W. Matthews enters the game for C. McCollum
3:13.0,,,39-52,,Turnover by V. Claver (bad pass)
2:59.0,N. Noel misses 2-pt shot at rim,,39-52,,
2:57.0,,,39-52,,Defensive rebound by M. Leonard
2:51.0,,,39-55,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Lillard)
2:36.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,41-55,,
2:17.0,,,41-55,,D. Lillard misses 3-pt shot from 24 ft
2:16.0,Defensive rebound by N. Noel,,41-55,,
2:09.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,43-55,,
2:09.0,Shooting foul by V. Claver (drawn by L. Mbah a Moute),,43-55,,
2:09.0,,,43-55,,Portland full timeout
2:09.0,,,43-55,,D. Wright enters the game for V. Claver
2:09.0,R. Covington enters the game for J. Grant,,43-55,,
2:09.0,L. Mbah a Moute makes free throw 1 of 1,1,44-55,,
2:02.0,,,44-55,,W. Matthews misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by N. Noel,,44-55,,
1:45.0,R. Covington makes 2-pt shot from 19 ft (assist by N. Noel),2,46-55,,
1:27.0,,,46-57,2,D. Lillard makes 2-pt shot at rim
1:14.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,48-57,,
1:14.0,Shooting foul by M. Leonard (drawn by L. Mbah a Moute),,48-57,,
1:14.0,,,48-57,,J. Freeland enters the game for M. Leonard
1:14.0,L. Mbah a Moute makes free throw 1 of 1,1,49-57,,
0:54.0,,,49-57,,D. Wright misses 3-pt shot from 22 ft
0:53.0,Defensive rebound by M. Carter-Williams,,49-57,,
0:48.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by N. Noel),2,51-57,,
0:34.0,Def 3 sec tech foul by K. McDaniels,,51-57,,
0:34.0,,,51-58,1,D. Lillard makes technical free throw
0:25.0,,,51-58,,Turnover by J. Freeland (lost ball; steal by N. Noel)
0:21.0,R. Covington misses 2-pt shot from 1 ft,,51-58,,
0:19.0,,,51-58,,Defensive rebound by J. Freeland
0:02.0,,,51-61,3,D. Wright makes 3-pt shot from 22 ft (assist by D. Lillard)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,51-61,,Turnover by D. Lillard (bad pass; steal by N. Noel)
11:43.0,Shooting foul by J. Freeland (drawn by M. Carter-Williams),,51-61,,
11:43.0,M. Carter-Williams misses free throw 1 of 2,,51-61,,
11:43.0,Offensive rebound by Team,,51-61,,
11:43.0,M. Carter-Williams makes free throw 2 of 2,1,52-61,,
11:19.0,,,52-64,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard)
10:56.0,N. Noel misses 2-pt shot from 18 ft,,52-64,,
10:55.0,Offensive rebound by J. Sampson,,52-64,,
10:39.0,Turnover by M. Carter-Williams (bad pass; steal by D. Lillard),,52-64,,
10:31.0,,,52-64,,T. Robinson misses 2-pt shot from 9 ft
10:30.0,Defensive rebound by N. Noel,,52-64,,
10:14.0,R. Covington misses 2-pt shot from 8 ft,,52-64,,
10:12.0,,,52-64,,Defensive rebound by T. Robinson
10:05.0,,,52-67,3,W. Matthews makes 3-pt shot from 24 ft
10:04.0,Philadelphia full timeout,,52-67,,
9:49.0,M. Carter-Williams misses 2-pt shot from 22 ft,,52-67,,
9:48.0,,,52-67,,Defensive rebound by D. Lillard
9:32.0,,,52-67,,W. Matthews misses 3-pt shot from 24 ft
9:30.0,,,52-67,,Offensive rebound by Team
9:30.0,Loose ball foul by R. Covington (drawn by J. Freeland),,52-67,,
9:28.0,,,52-67,,Turnover by N. Batum (bad pass; steal by J. Sampson)
9:17.0,Turnover by M. Carter-Williams (bad pass; steal by T. Robinson),,52-67,,
9:07.0,,,52-69,2,N. Batum makes 2-pt shot from 20 ft (assist by D. Lillard)
8:50.0,R. Covington makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,55-69,,
8:34.0,,,55-69,,Turnover by J. Freeland (bad pass; steal by M. Carter-Williams)
8:27.0,J. Sampson makes 2-pt shot at rim (assist by M. Carter-Williams),2,57-69,,
8:01.0,,,57-71,2,D. Lillard makes 2-pt shot from 7 ft
7:44.0,N. Noel misses 2-pt shot from 8 ft,,57-71,,
7:43.0,,,57-71,,Defensive rebound by N. Batum
7:37.0,,,57-71,,J. Freeland misses 2-pt shot from 19 ft
7:36.0,Defensive rebound by N. Noel,,57-71,,
7:27.0,M. Carter-Williams misses 2-pt shot from 2 ft,,57-71,,
7:26.0,,,57-71,,Defensive rebound by T. Robinson
7:20.0,,,57-71,,D. Lillard misses 3-pt shot from 27 ft
7:20.0,Defensive rebound by L. Mbah a Moute,,57-71,,
7:09.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by R. Covington),2,59-71,,
6:53.0,,,59-73,2,W. Matthews makes 2-pt shot from 18 ft
6:34.0,R. Covington misses 3-pt shot from 22 ft,,59-73,,
6:33.0,,,59-73,,Defensive rebound by J. Freeland
6:27.0,,,59-73,,W. Matthews misses 3-pt shot from 22 ft
6:26.0,Defensive rebound by Team,,59-73,,
6:26.0,H. Sims enters the game for N. Noel,,59-73,,
6:26.0,T. Wroten enters the game for M. Carter-Williams,,59-73,,
6:26.0,,,59-73,,V. Claver enters the game for J. Freeland
6:14.0,Shooting foul by V. Claver (drawn by T. Wroten),,59-73,,
6:14.0,T. Wroten makes 2-pt shot from 2 ft (assist by L. Mbah a Moute),2,61-73,,
6:14.0,T. Wroten makes free throw 1 of 1,1,62-73,,
5:56.0,,,62-76,3,D. Lillard makes 3-pt shot from 26 ft (assist by N. Batum)
5:31.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,62-76,,
5:30.0,Offensive rebound by H. Sims,,62-76,,
5:24.0,H. Sims makes 2-pt shot from 7 ft (assist by T. Wroten),2,64-76,,
5:14.0,,,64-79,3,D. Lillard makes 3-pt shot from 24 ft
5:14.0,,,64-79,,Shooting foul by J. Sampson (drawn by D. Lillard)
5:14.0,,,64-79,,M. Leonard enters the game for T. Robinson
5:14.0,,,64-79,,S. Blake enters the game for W. Matthews
5:14.0,,,64-80,1,D. Lillard makes free throw 1 of 1
5:03.0,Shooting foul by V. Claver (drawn by L. Mbah a Moute),,64-80,,
5:03.0,L. Mbah a Moute misses free throw 1 of 2,,64-80,,
5:03.0,Offensive rebound by Team,,64-80,,
5:03.0,K. McDaniels enters the game for J. Sampson,,64-80,,
5:03.0,L. Mbah a Moute makes free throw 2 of 2,1,65-80,,
4:50.0,,,65-80,,Shooting foul by T. Wroten (drawn by D. Lillard)
4:50.0,,,65-81,1,D. Lillard makes free throw 1 of 2
4:50.0,,,65-81,,A. Crabbe enters the game for N. Batum
4:50.0,,,65-82,1,D. Lillard makes free throw 2 of 2
4:43.0,R. Covington makes 3-pt shot from 24 ft (assist by T. Wroten),3,68-82,,
4:30.0,Personal foul by K. McDaniels (drawn by V. Claver),,68-82,,
4:22.0,,,68-84,2,D. Lillard makes 2-pt shot from 17 ft
4:09.0,Turnover by R. Covington (lost ball; steal by V. Claver),,68-84,,
4:00.0,,,68-84,,D. Lillard misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by L. Mbah a Moute,,68-84,,
3:50.0,Turnover by R. Covington (traveling),,68-84,,
3:50.0,J. Grant enters the game for L. Mbah a Moute,,68-84,,
3:50.0,Technical foul by Team,,68-84,,
3:50.0,,,68-85,1,D. Lillard makes technical free throw
3:50.0,M. Carter-Williams enters the game for R. Covington,,68-85,,
3:33.0,,,68-85,,D. Lillard misses 2-pt shot from 6 ft
3:32.0,,,68-85,,Offensive rebound by M. Leonard
3:26.0,,,68-85,,V. Claver misses 2-pt shot from 2 ft (block by H. Sims)
3:24.0,Defensive rebound by T. Wroten,,68-85,,
3:19.0,J. Grant misses 2-pt shot from 2 ft (block by A. Crabbe),,68-85,,
3:16.0,Offensive rebound by T. Wroten,,68-85,,
3:10.0,K. McDaniels makes 2-pt shot at rim,2,70-85,,
2:54.0,,,70-85,,M. Leonard misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by T. Wroten,,70-85,,
2:38.0,Shooting foul by V. Claver (drawn by T. Wroten),,70-85,,
2:38.0,,,70-85,,Portland full timeout
2:38.0,,,70-85,,D. Wright enters the game for D. Lillard
2:38.0,,,70-85,,W. Matthews enters the game for V. Claver
2:38.0,T. Wroten makes free throw 1 of 2,1,71-85,,
2:38.0,T. Wroten makes free throw 2 of 2,1,72-85,,
2:14.0,,,72-85,,A. Crabbe misses 2-pt shot from 22 ft
2:13.0,Defensive rebound by J. Grant,,72-85,,
2:04.0,K. McDaniels misses 2-pt shot from 2 ft (block by M. Leonard),,72-85,,
2:02.0,Offensive rebound by K. McDaniels,,72-85,,
2:01.0,K. McDaniels misses 2-pt shot from 1 ft,,72-85,,
1:59.0,,,72-85,,Defensive rebound by D. Wright
1:43.0,,,72-88,3,A. Crabbe makes 3-pt shot from 22 ft (assist by D. Wright)
1:31.0,,,72-88,,Personal foul by D. Wright (drawn by J. Grant)
1:31.0,J. Grant misses free throw 1 of 2,,72-88,,
1:31.0,Offensive rebound by Team,,72-88,,
1:31.0,J. Grant misses free throw 2 of 2,,72-88,,
1:30.0,,,72-88,,Defensive rebound by M. Leonard
1:15.0,,,72-88,,Turnover by W. Matthews (step out of bounds)
1:00.0,T. Wroten misses 2-pt shot from 2 ft,,72-88,,
1:00.0,,,72-88,,Defensive rebound by M. Leonard
0:43.0,,,72-88,,W. Matthews misses 2-pt shot from 1 ft (block by K. McDaniels)
0:42.0,Defensive rebound by H. Sims,,72-88,,
0:32.0,H. Sims misses 2-pt shot from 9 ft,,72-88,,
0:31.0,Offensive rebound by H. Sims,,72-88,,
0:30.0,H. Sims makes 2-pt shot from 6 ft,2,74-88,,
0:16.0,Violation by M. Carter-Williams (kicked ball),,74-88,,
0:16.0,,,74-88,,D. Lillard enters the game for M. Leonard
0:04.0,,,74-88,,S. Blake misses 3-pt shot from 23 ft
0:03.0,,,74-88,,Offensive rebound by S. Blake
0:02.0,,,74-88,,Turnover by Team (shot clock)
0:00.0,Turnover by M. Carter-Williams (lost ball; steal by W. Matthews),,74-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Grant misses 2-pt shot from 1 ft,,74-88,,
11:47.0,,,74-88,,Defensive rebound by J. Freeland
11:39.0,,,74-91,3,C. McCollum makes 3-pt shot from 22 ft (assist by D. Wright)
11:23.0,M. Carter-Williams misses 2-pt shot from 2 ft,,74-91,,
11:22.0,Offensive rebound by H. Sims,,74-91,,
11:22.0,H. Sims misses 2-pt shot at rim (block by D. Wright),,74-91,,
11:19.0,,,74-91,,Defensive rebound by S. Blake
11:14.0,,,74-91,,C. McCollum misses 3-pt shot from 22 ft
11:11.0,,,74-91,,Offensive rebound by J. Freeland
11:09.0,,,74-93,2,J. Freeland makes 2-pt shot from 2 ft
10:59.0,,,74-93,,Personal foul by A. Crabbe (drawn by H. Sims)
10:59.0,N. Noel enters the game for H. Sims,,74-93,,
10:51.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,76-93,,
10:29.0,,,76-93,,A. Crabbe misses 3-pt shot from 23 ft
10:28.0,,,76-93,,Offensive rebound by J. Freeland
10:21.0,,,76-93,,S. Blake misses 3-pt shot from 23 ft
10:21.0,,,76-93,,Offensive rebound by Team
10:21.0,Loose ball foul by M. Carter-Williams (drawn by J. Freeland),,76-93,,
10:13.0,,,76-93,,C. McCollum misses 2-pt shot at rim (block by N. Noel)
10:11.0,Defensive rebound by J. Grant,,76-93,,
10:06.0,N. Noel makes 2-pt shot at rim (assist by T. Wroten),2,78-93,,
9:48.0,,,78-93,,J. Freeland misses 2-pt shot from 11 ft
9:48.0,Defensive rebound by R. Covington,,78-93,,
9:38.0,N. Noel makes 2-pt shot from 4 ft,2,80-93,,
9:38.0,Shooting foul by J. Freeland (drawn by N. Noel),,80-93,,
9:38.0,N. Noel misses free throw 1 of 1,,80-93,,
9:37.0,,,80-93,,Defensive rebound by A. Crabbe
9:26.0,,,80-93,,C. McCollum misses 2-pt shot from 3 ft
9:25.0,Defensive rebound by N. Noel,,80-93,,
9:18.0,Turnover by T. Wroten (bad pass; steal by D. Wright),,80-93,,
9:10.0,,,80-96,3,D. Wright makes 3-pt shot from 23 ft (assist by S. Blake)
9:10.0,Philadelphia full timeout,,80-96,,
8:57.0,T. Wroten makes 2-pt shot from 3 ft (assist by R. Covington),2,82-96,,
8:35.0,,,82-96,,Turnover by C. McCollum (bad pass; steal by N. Noel)
8:29.0,J. Grant misses 2-pt shot from 1 ft (block by A. Crabbe),,82-96,,
8:27.0,,,82-96,,Defensive rebound by A. Crabbe
8:09.0,,,82-96,,N. Batum enters the game for A. Crabbe
8:09.0,,,82-96,,D. Lillard enters the game for S. Blake
8:09.0,J. Sampson enters the game for J. Grant,,82-96,,
8:06.0,,,82-96,,J. Freeland misses 2-pt shot from 2 ft (block by N. Noel)
8:05.0,,,82-96,,Offensive rebound by Team
8:05.0,,,82-96,,Turnover by Team (shot clock)
7:54.0,N. Noel misses 2-pt shot from 8 ft,,82-96,,
7:53.0,,,82-96,,Defensive rebound by J. Freeland
7:41.0,,,82-98,2,D. Wright makes 2-pt shot from 8 ft
7:23.0,M. Carter-Williams misses 2-pt shot from 13 ft,,82-98,,
7:22.0,,,82-98,,Defensive rebound by J. Freeland
7:13.0,,,82-98,,D. Lillard misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by T. Wroten,,82-98,,
7:06.0,Shooting foul by J. Freeland (drawn by T. Wroten),,82-98,,
7:06.0,T. Wroten makes free throw 1 of 2,1,83-98,,
7:06.0,,,83-98,,W. Matthews enters the game for C. McCollum
7:06.0,,,83-98,,T. Robinson enters the game for J. Freeland
7:06.0,T. Wroten makes free throw 2 of 2,1,84-98,,
6:57.0,,,84-98,,Turnover by D. Lillard (bad pass)
6:44.0,T. Wroten makes 2-pt shot from 1 ft (assist by J. Sampson),2,86-98,,
6:23.0,,,86-98,,Turnover by T. Robinson (lost ball; steal by R. Covington)
6:09.0,M. Carter-Williams misses 2-pt shot from 4 ft,,86-98,,
6:08.0,,,86-98,,Defensive rebound by D. Lillard
5:57.0,,,86-101,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Wright)
5:36.0,T. Wroten misses 3-pt shot from 24 ft,,86-101,,
5:35.0,,,86-101,,Defensive rebound by W. Matthews
