time,Minnesota,pts.away,score,pts.home,Brooklyn
2:43.0,,,41-43,,B. Bogdanovic misses 2-pt shot from 2 ft (block by T. Young)
2:41.0,Defensive rebound by T. Young,,41-43,,
2:40.0,,,41-43,,Loose ball foul by D. Williams (drawn by R. Rubio)
2:40.0,,,41-43,,Brooklyn full timeout
2:40.0,R. Rubio makes free throw 1 of 2,1,42-43,,
2:40.0,R. Rubio misses free throw 2 of 2,,42-43,,
2:39.0,,,42-43,,Defensive rebound by K. Garnett
2:19.0,,,42-43,,Turnover by B. Lopez (bad pass; steal by A. Wiggins)
2:14.0,,,42-43,,Loose ball foul by B. Bogdanovic (drawn by K. Martin)
2:14.0,K. Martin makes free throw 1 of 2,1,43-43,,
2:14.0,K. Martin makes free throw 2 of 2,1,44-43,,
2:01.0,,,44-43,,B. Bogdanovic misses 2-pt shot from 18 ft
2:00.0,Defensive rebound by R. Rubio,,44-43,,
1:47.0,A. Wiggins misses 2-pt shot from 16 ft,,44-43,,
1:46.0,,,44-43,,Defensive rebound by K. Garnett
1:36.0,,,44-43,,K. Garnett misses 2-pt shot from 17 ft
1:35.0,Defensive rebound by N. Pekovic,,44-43,,
1:26.0,N. Pekovic misses 2-pt shot from 7 ft,,44-43,,
1:25.0,,,44-43,,Defensive rebound by K. Garnett
1:10.0,,,44-43,,K. Garnett misses 2-pt shot from 18 ft
1:09.0,,,44-43,,Offensive rebound by B. Bogdanovic
1:08.0,,,44-45,2,B. Bogdanovic makes 2-pt shot from 1 ft
1:06.0,Minnesota full timeout,,44-45,,
0:54.0,T. Young misses 2-pt shot from 3 ft,,44-45,,
0:54.0,Offensive rebound by N. Pekovic,,44-45,,
0:51.0,Shooting foul by K. Garnett (drawn by N. Pekovic),,44-45,,
0:51.0,N. Pekovic misses free throw 1 of 2,,44-45,,
0:51.0,Offensive rebound by Team,,44-45,,
0:51.0,,,44-45,,M. Teletovic enters the game for K. Garnett
0:51.0,N. Pekovic makes free throw 2 of 2,1,45-45,,
0:38.0,,,45-45,,Turnover by D. Williams (bad pass; steal by T. Young)
0:36.0,K. Martin misses 2-pt shot from 2 ft,,45-45,,
0:34.0,Offensive rebound by K. Martin,,45-45,,
0:34.0,K. Martin makes 2-pt shot from 2 ft,2,47-45,,
0:14.0,,,47-48,3,M. Teletovic makes 3-pt shot from 23 ft (assist by D. Williams)
0:03.0,K. Martin misses 2-pt shot from 23 ft,,47-48,,
0:01.0,Offensive rebound by T. Young,,47-48,,
0:00.0,T. Young misses 2-pt shot from 9 ft,,47-48,,
0:00.0,Offensive rebound by Team,,47-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,47-48,,K. Garnett misses 2-pt shot from 11 ft
11:40.0,Defensive rebound by R. Rubio,,47-48,,
11:31.0,K. Martin makes 3-pt shot from 25 ft (assist by R. Rubio),3,50-48,,
11:04.0,,,50-50,2,J. Johnson makes 2-pt shot from 6 ft
10:47.0,N. Pekovic misses 2-pt shot from 5 ft (block by B. Lopez),,50-50,,
10:46.0,,,50-50,,Defensive rebound by Team
10:30.0,,,50-52,2,D. Williams makes 2-pt shot from 7 ft
10:10.0,R. Rubio misses 2-pt shot from 18 ft,,50-52,,
10:09.0,,,50-52,,Defensive rebound by B. Bogdanovic
10:04.0,,,50-54,2,D. Williams makes 2-pt shot from 2 ft
10:04.0,,,50-54,,Shooting foul by R. Rubio (drawn by D. Williams)
10:04.0,Minnesota full timeout,,50-54,,
10:04.0,,,50-54,,D. Williams misses free throw 1 of 1
10:02.0,Defensive rebound by N. Pekovic,,50-54,,
9:45.0,T. Young misses 2-pt shot from 1 ft (block by B. Lopez),,50-54,,
9:43.0,,,50-54,,Defensive rebound by K. Garnett
9:30.0,,,50-54,,B. Lopez misses 2-pt shot from 6 ft
9:29.0,Defensive rebound by A. Wiggins,,50-54,,
9:17.0,R. Rubio misses 2-pt shot from 10 ft,,50-54,,
9:16.0,Offensive rebound by R. Rubio,,50-54,,
9:08.0,N. Pekovic makes 2-pt shot from 1 ft (assist by R. Rubio),2,52-54,,
8:56.0,,,52-54,,Turnover by J. Johnson (step out of bounds)
8:39.0,K. Martin misses 3-pt shot from 24 ft,,52-54,,
8:38.0,Offensive rebound by Team,,52-54,,
8:38.0,,,52-54,,Loose ball foul by B. Lopez (drawn by N. Pekovic)
8:20.0,K. Martin misses 3-pt shot from 25 ft,,52-54,,
8:19.0,,,52-54,,Defensive rebound by B. Lopez
8:00.0,,,52-54,,K. Garnett misses 2-pt shot from 2 ft (block by T. Young)
7:57.0,Defensive rebound by N. Pekovic,,52-54,,
7:44.0,Shooting foul by B. Bogdanovic (drawn by K. Martin),,52-54,,
7:44.0,K. Martin makes free throw 1 of 2,1,53-54,,
7:44.0,K. Martin makes free throw 2 of 2,1,54-54,,
7:33.0,,,54-54,,Offensive charge foul by D. Williams
7:33.0,,,54-54,,Turnover by D. Williams (offensive foul)
7:17.0,K. Martin makes 2-pt shot at rim (assist by R. Rubio),2,56-54,,
7:02.0,,,56-54,,Shooting foul by A. Wiggins (drawn by J. Johnson)
7:02.0,,,56-55,1,J. Johnson makes free throw 1 of 2
7:02.0,,,56-55,,A. Anderson enters the game for B. Bogdanovic
7:02.0,,,56-55,,M. Teletovic enters the game for K. Garnett
7:02.0,,,56-56,1,J. Johnson makes free throw 2 of 2
6:47.0,R. Rubio misses 3-pt shot from 25 ft,,56-56,,
6:46.0,,,56-56,,Defensive rebound by M. Teletovic
6:39.0,,,56-56,,Turnover by B. Lopez (lost ball; steal by N. Pekovic)
6:39.0,,,56-56,,Loose ball foul by J. Johnson (drawn by A. Wiggins)
6:39.0,,,56-56,,J. Jack enters the game for J. Johnson
6:29.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,58-56,,
6:29.0,Shooting foul by D. Williams (drawn by A. Wiggins),,58-56,,
6:29.0,A. Wiggins misses free throw 1 of 1,,58-56,,
6:28.0,Offensive rebound by T. Young,,58-56,,
6:26.0,T. Young makes 2-pt shot from 3 ft,2,60-56,,
6:11.0,,,60-56,,M. Teletovic misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by R. Rubio,,60-56,,
6:06.0,T. Young misses 2-pt shot from 1 ft,,60-56,,
6:04.0,,,60-56,,Defensive rebound by D. Williams
5:58.0,,,60-58,2,B. Lopez makes 2-pt shot at rim (assist by J. Jack)
5:41.0,R. Rubio makes 2-pt shot from 18 ft (assist by A. Wiggins),2,62-58,,
5:24.0,,,62-60,2,B. Lopez makes 2-pt shot from 6 ft (assist by D. Williams)
5:05.0,A. Wiggins makes 2-pt shot from 19 ft,2,64-60,,
4:54.0,,,64-60,,D. Williams misses 2-pt shot from 5 ft
4:52.0,Defensive rebound by T. Young,,64-60,,
4:40.0,T. Young makes 2-pt shot from 15 ft (assist by R. Rubio),2,66-60,,
4:40.0,,,66-60,,Brooklyn full timeout
4:40.0,,,66-60,,A. Kirilenko enters the game for M. Teletovic
4:22.0,,,66-60,,Turnover by A. Kirilenko (lost ball)
4:04.0,Turnover by A. Wiggins (lost ball; steal by A. Anderson),,66-60,,
3:57.0,,,66-60,,J. Jack misses 2-pt shot from 14 ft
3:56.0,Defensive rebound by N. Pekovic,,66-60,,
3:48.0,K. Martin misses 2-pt shot from 16 ft,,66-60,,
3:46.0,Offensive rebound by N. Pekovic,,66-60,,
3:45.0,N. Pekovic misses 2-pt shot from 1 ft,,66-60,,
3:44.0,,,66-60,,Defensive rebound by J. Jack
3:36.0,,,66-60,,Turnover by A. Anderson (bad pass; steal by K. Martin)
3:30.0,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Martin),3,69-60,,
3:12.0,Personal foul by N. Pekovic (drawn by B. Lopez),,69-60,,
3:12.0,,,69-60,,J. Jordan enters the game for B. Lopez
3:12.0,M. Williams enters the game for K. Martin,,69-60,,
3:01.0,,,69-62,2,J. Jack makes 2-pt shot from 17 ft
2:36.0,A. Wiggins misses 2-pt shot from 18 ft,,69-62,,
2:35.0,,,69-62,,Defensive rebound by J. Jack
2:23.0,,,69-62,,Turnover by J. Jack (bad pass; steal by T. Young)
2:20.0,Shooting foul by J. Jack (drawn by A. Wiggins),,69-62,,
2:20.0,Minnesota full timeout,,69-62,,
2:20.0,G. Dieng enters the game for N. Pekovic,,69-62,,
2:20.0,,,69-62,,M. Teletovic enters the game for D. Williams
2:20.0,A. Wiggins misses free throw 1 of 2,,69-62,,
2:20.0,Offensive rebound by Team,,69-62,,
2:20.0,A. Wiggins makes free throw 2 of 2,1,70-62,,
2:05.0,,,70-62,,Turnover by J. Jack (bad pass; steal by M. Williams)
1:56.0,T. Young misses 2-pt shot from 20 ft,,70-62,,
1:54.0,,,70-62,,Defensive rebound by J. Jordan
1:47.0,,,70-62,,Shooting foul by M. Williams (drawn by J. Jack)
1:47.0,,,70-63,1,J. Jack makes free throw 1 of 2
1:47.0,,,70-63,,M. Plumlee enters the game for J. Jordan
1:47.0,,,70-64,1,J. Jack makes free throw 2 of 2
1:31.0,M. Williams misses 2-pt shot from 19 ft,,70-64,,
1:30.0,,,70-64,,Defensive rebound by J. Jack
1:17.0,,,70-64,,A. Kirilenko misses 2-pt shot from 3 ft (block by G. Dieng)
1:15.0,,,70-64,,Offensive rebound by A. Anderson
1:13.0,,,70-64,,Shooting foul by R. Rubio (drawn by A. Anderson)
1:13.0,,,70-65,1,A. Anderson makes free throw 1 of 3
1:13.0,,,70-66,1,A. Anderson makes free throw 2 of 3
1:13.0,C. Brewer enters the game for A. Wiggins,,70-66,,
1:13.0,,,70-66,,A. Anderson misses free throw 3 of 3
1:12.0,Defensive rebound by G. Dieng,,70-66,,
0:56.0,R. Rubio misses 2-pt shot from 20 ft,,70-66,,
0:55.0,Offensive rebound by C. Brewer,,70-66,,
0:54.0,C. Brewer misses 2-pt shot from 2 ft,,70-66,,
0:53.0,,,70-66,,Defensive rebound by A. Kirilenko
0:42.0,,,70-66,,M. Teletovic misses 3-pt shot from 25 ft
0:41.0,,,70-66,,Offensive rebound by M. Plumlee
0:39.0,,,70-66,,M. Plumlee misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by T. Young,,70-66,,
0:31.0,M. Williams makes 2-pt shot from 14 ft,2,72-66,,
0:07.0,,,72-66,,Turnover by M. Teletovic (lost ball)
0:01.0,M. Williams misses 3-pt shot from 28 ft,,72-66,,
0:00.0,Offensive rebound by Team,,72-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,G. Dieng misses 2-pt shot from 10 ft (block by A. Anderson),,72-66,,
11:37.0,Offensive rebound by Team,,72-66,,
11:36.0,Turnover by Team (shot clock),,72-66,,
11:30.0,Personal foul by K. Martin (drawn by A. Anderson),,72-66,,
11:23.0,,,72-66,,Turnover by A. Anderson (step out of bounds)
11:16.0,Offensive foul by K. Martin,,72-66,,
11:16.0,Turnover by K. Martin (offensive foul),,72-66,,
10:58.0,,,72-68,2,J. Jack makes 2-pt shot from 19 ft (assist by M. Plumlee)
10:48.0,,,72-68,,Personal foul by M. Plumlee (drawn by C. Brewer)
10:43.0,Turnover by K. Martin (bad pass; steal by M. Plumlee),,72-68,,
10:37.0,,,72-68,,D. Williams misses 3-pt shot from 26 ft
10:36.0,,,72-68,,Offensive rebound by Team
10:29.0,,,72-68,,M. Teletovic misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by G. Dieng,,72-68,,
10:15.0,A. Bennett misses 2-pt shot from 17 ft,,72-68,,
10:14.0,,,72-68,,Defensive rebound by D. Williams
10:06.0,,,72-68,,Shooting foul by M. Williams (drawn by J. Jack)
10:06.0,,,72-69,1,J. Jack makes free throw 1 of 2
10:06.0,,,72-69,,J. Johnson enters the game for A. Anderson
10:06.0,,,72-70,1,J. Jack makes free throw 2 of 2
9:47.0,M. Williams misses 3-pt shot from 27 ft,,72-70,,
9:46.0,,,72-70,,Defensive rebound by M. Teletovic
9:39.0,,,72-70,,Shooting foul by A. Bennett (drawn by M. Plumlee)
9:39.0,,,72-70,,M. Plumlee misses free throw 1 of 2
9:39.0,,,72-70,,Offensive rebound by Team
9:39.0,Minnesota full timeout,,72-70,,
9:39.0,,,72-70,,M. Plumlee misses free throw 2 of 2
9:38.0,Defensive rebound by A. Bennett,,72-70,,
9:21.0,A. Bennett misses 2-pt shot from 4 ft,,72-70,,
9:20.0,,,72-70,,Defensive rebound by M. Teletovic
9:04.0,,,72-73,3,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Jack)
8:45.0,K. Martin misses 2-pt shot from 12 ft,,72-73,,
8:44.0,,,72-73,,Defensive rebound by M. Plumlee
8:37.0,,,72-73,,D. Williams misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by G. Dieng,,72-73,,
8:32.0,C. Brewer misses 2-pt shot from 2 ft,,72-73,,
8:31.0,,,72-73,,Defensive rebound by M. Teletovic
8:25.0,,,72-76,3,D. Williams makes 3-pt shot from 23 ft (assist by J. Johnson)
8:07.0,N. Pekovic enters the game for A. Bennett,,72-76,,
8:07.0,A. Wiggins enters the game for C. Brewer,,72-76,,
8:07.0,T. Young enters the game for G. Dieng,,72-76,,
8:07.0,,,72-76,,B. Lopez enters the game for M. Plumlee
8:03.0,T. Young misses 2-pt shot from 20 ft,,72-76,,
7:59.0,,,72-76,,Defensive rebound by B. Lopez
7:53.0,,,72-76,,D. Williams misses 2-pt shot from 1 ft
7:52.0,Defensive rebound by A. Wiggins,,72-76,,
7:46.0,K. Martin makes 2-pt shot from 2 ft,2,74-76,,
7:23.0,,,74-78,2,J. Jack makes 2-pt shot from 9 ft (assist by D. Williams)
7:05.0,T. Young misses 2-pt shot from 2 ft,,74-78,,
7:04.0,Offensive rebound by N. Pekovic,,74-78,,
7:03.0,N. Pekovic makes 2-pt shot from 2 ft,2,76-78,,
6:45.0,,,76-78,,M. Teletovic misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by K. Martin,,76-78,,
6:41.0,Turnover by M. Williams (lost ball; steal by J. Jack),,76-78,,
6:39.0,,,76-80,2,J. Jack makes 2-pt shot from 1 ft
6:19.0,A. Wiggins misses 2-pt shot from 1 ft,,76-80,,
6:17.0,,,76-80,,Defensive rebound by M. Teletovic
6:07.0,,,76-82,2,J. Johnson makes 2-pt shot from 7 ft
6:04.0,Minnesota full timeout,,76-82,,
6:04.0,R. Rubio enters the game for M. Williams,,76-82,,
6:04.0,,,76-82,,K. Garnett enters the game for M. Teletovic
6:02.0,,,76-82,,Personal foul by J. Jack (drawn by A. Wiggins)
5:34.0,T. Young makes 2-pt shot from 16 ft,2,78-82,,
5:17.0,,,78-84,2,J. Johnson makes 2-pt shot from 17 ft
4:57.0,N. Pekovic makes 2-pt shot from 1 ft (assist by R. Rubio),2,80-84,,
4:44.0,,,80-86,2,J. Johnson makes 2-pt shot from 2 ft (assist by D. Williams)
4:31.0,K. Martin makes 2-pt shot from 18 ft (assist by R. Rubio),2,82-86,,
4:17.0,,,82-86,,J. Johnson misses 2-pt shot from 18 ft
4:16.0,,,82-86,,Offensive rebound by K. Garnett
4:04.0,,,82-86,,B. Lopez misses 2-pt shot from 7 ft
4:03.0,Defensive rebound by T. Young,,82-86,,
3:46.0,R. Rubio makes 2-pt shot from 2 ft (assist by N. Pekovic),2,84-86,,
3:36.0,,,84-86,,Brooklyn full timeout
3:27.0,,,84-86,,D. Williams misses 2-pt shot from 16 ft
