time,Memphis,pts.away,score,pts.home,Phoenix
1:22.0,,,20-21,,Offensive rebound by Team
1:22.0,,,20-21,,G. Green enters the game for E. Bledsoe
1:22.0,B. Udrih enters the game for M. Conley,,20-21,,
1:22.0,J. Leuer enters the game for Z. Randolph,,20-21,,
1:22.0,,,20-21,,B. Wright enters the game for M. Morris
1:09.0,,,20-21,,Turnover by G. Green (lost ball; steal by J. Green)
1:05.0,J. Green misses flagrant free throw 1 of 2,,20-21,,
1:05.0,Offensive rebound by Team,,20-21,,
1:05.0,J. Green makes flagrant free throw 2 of 2,1,21-21,,
0:56.0,M. Gasol makes 2-pt shot from 2 ft,2,23-21,,
0:46.0,,,23-23,2,B. Wright makes 2-pt shot from 8 ft
0:36.0,T. Allen misses 2-pt shot at rim,,23-23,,
0:33.0,,,23-23,,Defensive rebound by B. Wright
0:29.0,,,23-23,,I. Thomas misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by J. Leuer,,23-23,,
0:14.0,T. Allen makes 2-pt shot at rim (assist by J. Leuer),2,25-23,,
0:05.0,Personal foul by B. Udrih (drawn by I. Thomas),,25-23,,
0:02.0,,,25-23,,I. Thomas misses 2-pt shot from 10 ft
0:00.0,,,25-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,25-23,,Shooting foul by T. Allen (drawn by M. Morris)
11:40.0,,,25-23,,M. Morris misses free throw 1 of 2
11:40.0,,,25-23,,Offensive rebound by Team
11:40.0,,,25-23,,M. Morris misses free throw 2 of 2
11:39.0,Defensive rebound by K. Koufos,,25-23,,
11:25.0,K. Koufos misses 2-pt shot from 10 ft,,25-23,,
11:23.0,Offensive rebound by K. Koufos,,25-23,,
11:21.0,Turnover by K. Koufos (lost ball; steal by M. Morris),,25-23,,
11:16.0,,,25-23,,B. Wright misses 2-pt shot from 1 ft
11:13.0,Defensive rebound by J. Leuer,,25-23,,
11:07.0,B. Udrih makes 2-pt shot from 1 ft (assist by N. Calathes),2,27-23,,
10:52.0,,,27-23,,Turnover by G. Green (bad pass)
10:39.0,,,27-23,,Personal foul by I. Thomas (drawn by B. Udrih)
10:32.0,N. Calathes makes 2-pt shot from 2 ft,2,29-23,,
10:22.0,,,29-23,,I. Thomas misses 2-pt shot from 16 ft
10:19.0,Defensive rebound by N. Calathes,,29-23,,
10:06.0,J. Leuer misses 2-pt shot from 4 ft,,29-23,,
10:05.0,,,29-23,,Defensive rebound by B. Wright
9:56.0,,,29-23,,Turnover by M. Morris (traveling)
9:56.0,,,29-23,,G. Dragic enters the game for G. Green
9:41.0,J. Leuer misses 2-pt shot from 16 ft,,29-23,,
9:40.0,Offensive rebound by K. Koufos,,29-23,,
9:34.0,K. Koufos makes 2-pt shot from 5 ft,2,31-23,,
9:18.0,,,31-23,,Turnover by G. Dragic (bad pass; steal by T. Allen)
9:15.0,T. Allen misses 2-pt shot from 2 ft,,31-23,,
9:14.0,Offensive rebound by J. Leuer,,31-23,,
9:14.0,J. Leuer misses 2-pt shot from 2 ft,,31-23,,
9:13.0,Offensive rebound by T. Allen,,31-23,,
9:12.0,T. Allen makes 2-pt shot from 2 ft,2,33-23,,
9:09.0,,,33-23,,Phoenix full timeout
9:09.0,,,33-23,,E. Bledsoe enters the game for M. Morris
9:09.0,,,33-23,,A. Len enters the game for I. Thomas
9:09.0,,,33-23,,P. Tucker enters the game for B. Wright
8:56.0,,,33-26,3,G. Dragic makes 3-pt shot from 23 ft (assist by E. Bledsoe)
8:33.0,N. Calathes misses 2-pt shot from 15 ft,,33-26,,
8:31.0,,,33-26,,Defensive rebound by G. Dragic
8:26.0,,,33-28,2,M. Morris makes 2-pt shot at rim (assist by G. Dragic)
8:08.0,Turnover by T. Allen (lost ball; steal by G. Dragic),,33-28,,
7:55.0,,,33-28,,G. Dragic misses 2-pt shot from 3 ft
7:54.0,Defensive rebound by K. Koufos,,33-28,,
7:54.0,,,33-28,,Personal foul by G. Dragic (drawn by K. Koufos)
7:31.0,J. Leuer misses 2-pt shot from 19 ft,,33-28,,
7:29.0,,,33-28,,Defensive rebound by A. Len
7:12.0,,,33-30,2,M. Morris makes 2-pt shot from 2 ft
6:54.0,T. Allen misses 2-pt shot from 3 ft,,33-30,,
6:52.0,,,33-30,,Defensive rebound by G. Dragic
6:47.0,,,33-30,,G. Dragic misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by J. Leuer,,33-30,,
6:42.0,Turnover by T. Allen (bad pass; steal by M. Morris),,33-30,,
6:39.0,,,33-32,2,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris)
6:38.0,Memphis full timeout,,33-32,,
6:27.0,J. Leuer makes 2-pt shot from 16 ft (assist by B. Udrih),2,35-32,,
6:09.0,,,35-32,,P. Tucker misses 2-pt shot from 5 ft
6:07.0,,,35-32,,Offensive rebound by P. Tucker
6:04.0,,,35-32,,P. Tucker misses 2-pt shot from 19 ft
6:02.0,,,35-32,,Offensive rebound by A. Len
5:57.0,,,35-32,,G. Dragic misses 3-pt shot from 23 ft
5:55.0,,,35-32,,Offensive rebound by A. Len
5:55.0,,,35-32,,Shooting foul by K. Koufos (drawn by A. Len)
5:55.0,Violation by K. Koufos (lane),,35-32,,
5:55.0,,,35-32,,A. Len misses free throw 1 of 2
5:55.0,,,35-32,,Offensive rebound by Team
5:55.0,,,35-32,,A. Len misses free throw 2 of 2
5:54.0,Defensive rebound by K. Koufos,,35-32,,
5:39.0,T. Allen misses 2-pt shot from 15 ft,,35-32,,
5:37.0,Offensive rebound by K. Koufos,,35-32,,
5:34.0,N. Calathes makes 3-pt shot from 24 ft (assist by K. Koufos),3,38-32,,
5:19.0,,,38-32,,M. Morris misses 2-pt shot from 4 ft
5:18.0,,,38-32,,Offensive rebound by P. Tucker
5:15.0,,,38-32,,Turnover by P. Tucker (bad pass; steal by J. Leuer)
5:12.0,Turnover by B. Udrih (bad pass),,38-32,,
5:12.0,,,38-32,,B. Wright enters the game for A. Len
4:52.0,,,38-32,,G. Dragic misses 2-pt shot from 18 ft
4:49.0,Defensive rebound by J. Leuer,,38-32,,
4:40.0,T. Allen makes 2-pt shot from 3 ft (assist by B. Udrih),2,40-32,,
4:21.0,,,40-34,2,E. Bledsoe makes 2-pt shot from 18 ft
4:01.0,T. Allen misses 3-pt shot from 24 ft,,40-34,,
3:59.0,,,40-34,,Defensive rebound by Team
3:59.0,C. Lee enters the game for T. Allen,,40-34,,
3:59.0,J. Green enters the game for N. Calathes,,40-34,,
3:45.0,,,40-34,,E. Bledsoe misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by K. Koufos,,40-34,,
3:34.0,B. Udrih misses 3-pt shot from 25 ft,,40-34,,
3:32.0,Offensive rebound by K. Koufos,,40-34,,
3:23.0,J. Green misses 2-pt shot from 10 ft,,40-34,,
3:20.0,Offensive rebound by J. Green,,40-34,,
3:20.0,J. Green misses 2-pt shot from 9 ft (block by M. Morris),,40-34,,
3:18.0,Offensive rebound by J. Leuer,,40-34,,
3:18.0,J. Leuer makes 2-pt shot from 1 ft,2,42-34,,
3:18.0,Violation by Team (delay of game),,42-34,,
3:05.0,,,42-36,2,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe)
2:48.0,J. Green misses 2-pt shot from 15 ft,,42-36,,
2:46.0,,,42-36,,Defensive rebound by E. Bledsoe
2:36.0,,,42-38,2,E. Bledsoe makes 2-pt shot from 2 ft
2:26.0,Memphis full timeout,,42-38,,
2:26.0,Official timeout,,42-38,,
2:26.0,,,42-38,,M. Plumlee enters the game for M. Morris
2:26.0,M. Gasol enters the game for B. Udrih,,42-38,,
2:26.0,Z. Randolph enters the game for J. Leuer,,42-38,,
2:26.0,M. Conley enters the game for K. Koufos,,42-38,,
2:13.0,M. Gasol misses 2-pt shot from 11 ft,,42-38,,
2:11.0,,,42-38,,Defensive rebound by E. Bledsoe
2:06.0,,,42-38,,P. Tucker misses 2-pt shot from 3 ft
2:04.0,,,42-38,,Offensive rebound by B. Wright
2:04.0,,,42-40,2,B. Wright makes 2-pt shot from 2 ft
1:44.0,M. Conley makes 2-pt shot from 7 ft (assist by Z. Randolph),2,44-40,,
1:26.0,,,44-40,,P. Tucker misses 2-pt shot from 14 ft
1:24.0,Defensive rebound by Z. Randolph,,44-40,,
1:15.0,J. Green makes 3-pt shot from 24 ft (assist by M. Gasol),3,47-40,,
0:54.0,,,47-42,2,G. Dragic makes 2-pt shot from 1 ft (assist by P. Tucker)
0:54.0,,,47-42,,Shooting foul by M. Gasol (drawn by G. Dragic)
0:54.0,,,47-42,,G. Dragic misses free throw 1 of 1
0:53.0,Defensive rebound by Z. Randolph,,47-42,,
0:34.0,Z. Randolph misses 2-pt shot from 2 ft,,47-42,,
0:32.0,,,47-42,,Defensive rebound by B. Wright
0:26.0,,,47-44,2,E. Bledsoe makes 2-pt shot from 1 ft
0:08.0,,,47-44,,Personal take foul by E. Bledsoe (drawn by M. Conley)
0:01.0,M. Conley makes 2-pt shot from 22 ft,2,49-44,,
0:00.0,,,49-44,,E. Bledsoe misses 3-pt shot from 53 ft
0:00.0,,,49-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,49-44,,M. Morris misses 2-pt shot from 15 ft
11:41.0,,,49-44,,Offensive rebound by E. Bledsoe
11:41.0,Personal foul by M. Gasol (drawn by E. Bledsoe),,49-44,,
11:31.0,,,49-47,3,E. Bledsoe makes 3-pt shot from 24 ft
11:31.0,,,49-47,,Loose ball foul by M. Morris (drawn by M. Conley)
11:13.0,,,49-47,,Personal foul by P. Tucker (drawn by Z. Randolph)
11:07.0,M. Conley makes 2-pt shot from 17 ft (assist by M. Gasol),2,51-47,,
10:49.0,,,51-49,2,P. Tucker makes 2-pt shot from 1 ft
10:37.0,Shooting foul by E. Bledsoe (drawn by M. Conley),,51-49,,
10:37.0,M. Conley makes free throw 1 of 2,1,52-49,,
10:37.0,M. Conley makes free throw 2 of 2,1,53-49,,
10:29.0,,,53-51,2,E. Bledsoe makes 2-pt shot from 1 ft
10:29.0,Shooting block foul by M. Conley (drawn by E. Bledsoe),,53-51,,
10:29.0,,,53-51,,E. Bledsoe misses free throw 1 of 1
10:27.0,Defensive rebound by J. Green,,53-51,,
10:06.0,M. Gasol misses 2-pt shot from 11 ft,,53-51,,
10:03.0,,,53-51,,Defensive rebound by P. Tucker
9:52.0,,,53-53,2,M. Morris makes 2-pt shot from 1 ft
9:37.0,M. Conley makes 2-pt shot from 19 ft,2,55-53,,
9:30.0,,,55-53,,Turnover by E. Bledsoe (lost ball; steal by J. Green)
9:23.0,Turnover by M. Conley (lost ball; steal by E. Bledsoe),,55-53,,
9:22.0,Personal foul by Z. Randolph (drawn by G. Dragic),,55-53,,
9:12.0,,,55-53,,Turnover by G. Dragic (lost ball; steal by C. Lee)
8:52.0,J. Green misses 3-pt shot from 24 ft,,55-53,,
8:51.0,,,55-53,,Defensive rebound by Team
8:34.0,,,55-55,2,M. Morris makes 2-pt shot from 18 ft (assist by G. Dragic)
8:16.0,Z. Randolph makes 2-pt shot from 18 ft (assist by C. Lee),2,57-55,,
8:02.0,,,57-55,,M. Morris misses 2-pt shot from 1 ft
8:02.0,Defensive rebound by M. Gasol,,57-55,,
8:02.0,,,57-55,,Loose ball foul by A. Len (drawn by M. Gasol)
7:41.0,Turnover by M. Gasol (lost ball; steal by E. Bledsoe),,57-55,,
7:35.0,,,57-55,,G. Dragic misses 2-pt shot from 1 ft (block by M. Gasol)
7:33.0,,,57-55,,Offensive rebound by Team
7:31.0,Personal foul by J. Green (drawn by P. Tucker),,57-55,,
7:21.0,,,57-55,,Shooting foul by C. Lee (drawn by P. Tucker)
7:21.0,,,57-56,1,P. Tucker makes free throw 1 of 2
7:21.0,,,57-57,1,P. Tucker makes free throw 2 of 2
7:07.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley),2,59-57,,
6:58.0,,,59-57,,Turnover by A. Len (bad pass)
6:44.0,M. Conley misses 2-pt shot from 10 ft,,59-57,,
6:41.0,,,59-57,,Defensive rebound by G. Dragic
6:34.0,,,59-57,,A. Len misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by M. Gasol,,59-57,,
6:18.0,Z. Randolph makes 2-pt shot from 19 ft (assist by J. Green),2,61-57,,
5:59.0,,,61-57,,G. Dragic misses 3-pt shot from 23 ft
5:57.0,Defensive rebound by Z. Randolph,,61-57,,
5:49.0,Shooting foul by G. Dragic (drawn by M. Gasol),,61-57,,
5:49.0,,,61-57,,Phoenix full timeout
5:49.0,,,61-57,,I. Thomas enters the game for A. Len
5:49.0,,,61-57,,M. Plumlee enters the game for G. Dragic
5:49.0,M. Gasol makes free throw 1 of 2,1,62-57,,
5:49.0,M. Gasol makes free throw 2 of 2,1,63-57,,
5:36.0,,,63-57,,E. Bledsoe misses 2-pt shot from 11 ft
5:34.0,,,63-57,,Offensive rebound by M. Plumlee
5:31.0,,,63-57,,M. Morris misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by Z. Randolph,,63-57,,
5:12.0,,,63-57,,Personal foul by M. Morris (drawn by Z. Randolph)
5:12.0,Z. Randolph makes free throw 1 of 2,1,64-57,,
5:12.0,T. Allen enters the game for C. Lee,,64-57,,
5:12.0,Z. Randolph makes free throw 2 of 2,1,65-57,,
4:51.0,,,65-57,,I. Thomas misses 2-pt shot from 21 ft
4:50.0,,,65-57,,Offensive rebound by Team
4:47.0,,,65-57,,Shooting foul by M. Conley (drawn by I. Thomas)
4:47.0,,,65-58,1,I. Thomas makes free throw 1 of 2
4:47.0,,,65-59,1,I. Thomas makes free throw 2 of 2
4:26.0,Turnover by M. Conley (bad pass; steal by M. Morris),,65-59,,
4:17.0,,,65-59,,E. Bledsoe misses 2-pt shot from 22 ft
4:14.0,Defensive rebound by J. Green,,65-59,,
3:57.0,M. Gasol makes 2-pt shot from 15 ft (assist by T. Allen),2,67-59,,
3:40.0,,,67-59,,E. Bledsoe misses 2-pt shot from 7 ft
3:37.0,Defensive rebound by T. Allen,,67-59,,
3:34.0,Shooting foul by M. Plumlee (drawn by M. Gasol),,67-59,,
3:34.0,M. Gasol makes free throw 1 of 2,1,68-59,,
3:34.0,,,68-59,,G. Dragic enters the game for E. Bledsoe
3:34.0,,,68-59,,B. Wright enters the game for M. Morris
3:34.0,M. Gasol makes free throw 2 of 2,1,69-59,,
3:24.0,,,69-59,,I. Thomas misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by M. Gasol,,69-59,,
3:07.0,T. Allen misses 2-pt shot from 5 ft (block by B. Wright),,69-59,,
3:05.0,,,69-59,,Defensive rebound by I. Thomas
3:03.0,,,69-61,2,I. Thomas makes 2-pt shot from 1 ft
3:03.0,Shooting block foul by M. Conley (drawn by I. Thomas),,69-61,,
3:03.0,,,69-61,,M. Morris enters the game for P. Tucker
3:03.0,B. Udrih enters the game for M. Conley,,69-61,,
3:03.0,,,69-62,1,I. Thomas makes free throw 1 of 1
2:48.0,Shooting foul by M. Plumlee (drawn by Z. Randolph),,69-62,,
2:48.0,Memphis full timeout,,69-62,,
2:48.0,Z. Randolph makes free throw 1 of 2,1,70-62,,
2:48.0,Z. Randolph makes free throw 2 of 2,1,71-62,,
2:40.0,,,71-64,2,B. Wright makes 2-pt shot at rim (assist by I. Thomas)
2:16.0,T. Allen makes 2-pt shot from 3 ft,2,73-64,,
2:02.0,,,73-64,,I. Thomas misses 2-pt shot from 4 ft
2:00.0,,,73-64,,Offensive rebound by G. Dragic
1:56.0,,,73-64,,Turnover by G. Dragic (bad pass; steal by B. Udrih)
1:50.0,J. Green misses 2-pt shot from 2 ft,,73-64,,
1:45.0,Offensive rebound by T. Allen,,73-64,,
1:44.0,Shooting foul by M. Morris (drawn by J. Green),,73-64,,
1:44.0,J. Green misses free throw 1 of 2,,73-64,,
1:44.0,Offensive rebound by Team,,73-64,,
1:44.0,K. Koufos enters the game for M. Gasol,,73-64,,
1:44.0,J. Green makes free throw 2 of 2,1,74-64,,
1:29.0,,,74-64,,M. Morris misses 2-pt shot from 2 ft
1:27.0,,,74-64,,Offensive rebound by M. Plumlee
1:27.0,,,74-66,2,M. Plumlee makes 2-pt shot at rim
1:04.0,Z. Randolph misses 2-pt shot from 5 ft,,74-66,,
1:02.0,Offensive rebound by Z. Randolph,,74-66,,
1:02.0,Z. Randolph misses 2-pt shot from 1 ft,,74-66,,
1:00.0,,,74-66,,Defensive rebound by M. Morris
0:56.0,,,74-68,2,I. Thomas makes 2-pt shot from 2 ft
0:56.0,,,74-68,,Shooting foul by B. Udrih (drawn by I. Thomas)
0:56.0,,,74-69,1,I. Thomas makes free throw 1 of 1
0:43.0,Turnover by Z. Randolph (bad pass; steal by M. Morris),,74-69,,
0:39.0,,,74-69,,Shooting foul by B. Udrih (drawn by B. Wright)
0:39.0,,,74-71,2,B. Wright makes 2-pt shot at rim (assist by M. Morris)
0:39.0,,,74-72,1,B. Wright makes free throw 1 of 1
0:35.0,,,74-72,,Personal foul by I. Thomas (drawn by B. Udrih)
0:35.0,B. Udrih makes free throw 1 of 2,1,75-72,,
0:35.0,B. Udrih misses free throw 2 of 2,,75-72,,
0:35.0,Offensive rebound by K. Koufos,,75-72,,
0:16.0,,,75-72,,Violation by M. Plumlee (def goaltending)
0:16.0,Z. Randolph makes 2-pt shot from 4 ft,2,77-72,,
0:03.0,,,77-72,,I. Thomas misses 3-pt shot from 24 ft
0:00.0,,,77-72,,Offensive rebound by M. Plumlee
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Z. Randolph misses 2-pt shot from 16 ft,,77-72,,
11:38.0,,,77-72,,Defensive rebound by B. Wright
11:34.0,,,77-72,,I. Thomas misses 2-pt shot at rim
11:32.0,Defensive rebound by K. Koufos,,77-72,,
11:23.0,B. Udrih misses 2-pt shot from 2 ft,,77-72,,
11:21.0,Offensive rebound by Z. Randolph,,77-72,,
11:21.0,Z. Randolph makes 2-pt shot from 1 ft,2,79-72,,
11:00.0,,,79-72,,Turnover by G. Dragic (lost ball; steal by K. Koufos)
10:58.0,C. Lee makes 2-pt shot from 1 ft (assist by T. Allen),2,81-72,,
10:31.0,,,81-72,,I. Thomas misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by K. Koufos,,81-72,,
10:16.0,Z. Randolph misses 2-pt shot from 18 ft,,81-72,,
10:14.0,,,81-72,,Defensive rebound by B. Wright
10:07.0,,,81-74,2,I. Thomas makes 2-pt shot from 1 ft
9:45.0,Shooting foul by I. Thomas (drawn by B. Udrih),,81-74,,
9:45.0,B. Udrih misses free throw 1 of 2,,81-74,,
9:45.0,Offensive rebound by Team,,81-74,,
9:45.0,,,81-74,,E. Bledsoe enters the game for M. Plumlee
9:45.0,M. Gasol enters the game for Z. Randolph,,81-74,,
9:45.0,B. Udrih makes free throw 2 of 2,1,82-74,,
9:24.0,,,82-76,2,M. Morris makes 2-pt shot from 18 ft
9:03.0,T. Allen misses 2-pt shot from 19 ft,,82-76,,
9:02.0,,,82-76,,Defensive rebound by I. Thomas
8:56.0,,,82-78,2,I. Thomas makes 2-pt shot from 1 ft
8:54.0,Memphis full timeout,,82-78,,
8:54.0,M. Conley enters the game for B. Udrih,,82-78,,
8:41.0,Shooting foul by I. Thomas (drawn by K. Koufos),,82-78,,
8:41.0,K. Koufos makes free throw 1 of 2,1,83-78,,
8:41.0,K. Koufos makes free throw 2 of 2,1,84-78,,
8:28.0,,,84-81,3,M. Morris makes 3-pt shot from 24 ft (assist by I. Thomas)
8:10.0,,,84-81,,Personal foul by B. Wright (drawn by M. Gasol)
8:10.0,J. Green enters the game for K. Koufos,,84-81,,
8:04.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,87-81,,
7:47.0,,,87-83,2,I. Thomas makes 2-pt shot from 1 ft
7:30.0,M. Gasol misses 2-pt shot from 15 ft,,87-83,,
7:28.0,,,87-83,,Defensive rebound by I. Thomas
7:21.0,,,87-86,3,I. Thomas makes 3-pt shot from 24 ft (assist by E. Bledsoe)
7:02.0,M. Conley misses 3-pt shot from 25 ft,,87-86,,
7:00.0,,,87-86,,Defensive rebound by G. Dragic
6:56.0,,,87-86,,Turnover by I. Thomas (bad pass; steal by M. Conley)
6:52.0,M. Conley makes 2-pt shot from 1 ft,2,89-86,,
6:34.0,Personal foul by M. Conley (drawn by M. Morris),,89-86,,
6:28.0,,,89-88,2,I. Thomas makes 2-pt shot from 6 ft
6:10.0,M. Conley misses 3-pt shot from 23 ft,,89-88,,
6:08.0,Offensive rebound by J. Green,,89-88,,
5:54.0,M. Gasol misses 2-pt shot from 9 ft,,89-88,,
5:51.0,,,89-88,,Defensive rebound by E. Bledsoe
5:42.0,,,89-90,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Dragic)
5:20.0,Shooting foul by G. Dragic (drawn by C. Lee),,89-90,,
5:20.0,Official timeout,,89-90,,
5:20.0,C. Lee makes free throw 1 of 2,1,90-90,,
5:20.0,C. Lee makes free throw 2 of 2,1,91-90,,
5:04.0,,,91-92,2,M. Morris makes 2-pt shot from 17 ft
4:42.0,Turnover by M. Gasol (bad pass; steal by E. Bledsoe),,91-92,,
4:37.0,,,91-94,2,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:37.0,Memphis full timeout,,91-94,,
4:37.0,Z. Randolph enters the game for T. Allen,,91-94,,
4:18.0,Offensive foul by M. Gasol,,91-94,,
4:18.0,Turnover by M. Gasol (offensive foul),,91-94,,
4:05.0,,,91-94,,Turnover by I. Thomas (lost ball; steal by M. Conley)
3:55.0,Turnover by C. Lee (bad pass; steal by G. Dragic),,91-94,,
3:51.0,,,91-94,,Shooting foul by M. Conley (drawn by I. Thomas)
3:51.0,,,91-95,1,I. Thomas makes free throw 1 of 2
3:51.0,N. Calathes enters the game for M. Conley,,91-95,,
3:51.0,,,91-96,1,I. Thomas makes free throw 2 of 2
3:33.0,Turnover by Z. Randolph (bad pass; steal by E. Bledsoe),,91-96,,
3:31.0,,,91-96,,Shooting foul by Z. Randolph (drawn by E. Bledsoe)
3:31.0,,,91-97,1,E. Bledsoe makes free throw 1 of 2
3:31.0,,,91-98,1,E. Bledsoe makes free throw 2 of 2
3:09.0,J. Green makes 2-pt shot from 15 ft (assist by M. Gasol),2,93-98,,
