time,LA Lakers,pts.away,score,pts.home,Charlotte
8:06.0,,,9-6,2,G. Henderson makes 2-pt shot from 21 ft (assist by M. Williams)
7:54.0,J. Clarkson makes 2-pt shot from 15 ft,2,11-6,,
7:40.0,,,11-8,2,A. Jefferson makes 2-pt shot from 11 ft (assist by C. Zeller)
7:24.0,W. Ellington misses 3-pt shot from 25 ft,,11-8,,
7:23.0,,,11-8,,Defensive rebound by M. Kidd-Gilchrist
7:08.0,,,11-10,2,C. Zeller makes 2-pt shot from 20 ft (assist by M. Williams)
6:40.0,R. Kelly makes 3-pt shot from 25 ft (assist by J. Clarkson),3,14-10,,
6:20.0,,,14-12,2,M. Williams makes 2-pt shot from 20 ft (assist by G. Henderson)
6:05.0,,,14-12,,Personal foul by M. Williams (drawn by J. Clarkson)
6:05.0,J. Lin enters the game for W. Ellington,,14-12,,
5:58.0,J. Clarkson misses 3-pt shot from 27 ft,,14-12,,
5:57.0,,,14-12,,Defensive rebound by C. Zeller
5:47.0,,,14-14,2,C. Zeller makes 2-pt shot from 1 ft (assist by G. Henderson)
5:47.0,,,14-14,,Shooting foul by C. Boozer (drawn by C. Zeller)
5:47.0,,,14-14,,Charlotte full timeout
5:47.0,,,14-15,1,C. Zeller makes free throw 1 of 1
5:35.0,R. Sacre makes 2-pt shot from 15 ft (assist by J. Lin),2,16-15,,
5:19.0,,,16-15,,M. Williams misses 2-pt shot from 14 ft
5:17.0,Defensive rebound by R. Sacre,,16-15,,
5:04.0,J. Lin makes 3-pt shot from 26 ft,3,19-15,,
4:47.0,,,19-15,,A. Jefferson misses 2-pt shot from 15 ft
4:44.0,,,19-15,,Offensive rebound by C. Zeller
4:42.0,,,19-17,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller)
4:28.0,C. Boozer makes 2-pt shot from 11 ft (assist by J. Lin),2,21-17,,
4:14.0,,,21-17,,Offensive foul by M. Kidd-Gilchrist
4:14.0,,,21-17,,Turnover by M. Kidd-Gilchrist (offensive foul)
4:14.0,W. Johnson enters the game for C. Boozer,,21-17,,
4:14.0,E. Davis enters the game for R. Kelly,,21-17,,
4:14.0,J. Hill enters the game for R. Sacre,,21-17,,
4:14.0,,,21-17,,M. Williams enters the game for C. Zeller
4:03.0,J. Clarkson misses 2-pt shot from 16 ft,,21-17,,
4:02.0,,,21-17,,Defensive rebound by A. Jefferson
3:58.0,,,21-19,2,M. Williams makes 2-pt shot from 14 ft
3:58.0,,,21-19,,Shooting foul by W. Johnson (drawn by M. Williams)
3:58.0,,,21-20,1,M. Williams makes free throw 1 of 1
3:43.0,J. Hill misses 2-pt shot from 16 ft,,21-20,,
3:42.0,,,21-20,,Defensive rebound by A. Jefferson
3:36.0,,,21-22,2,M. Williams makes 2-pt shot from 2 ft
3:21.0,Turnover by E. Davis (lost ball; steal by M. Kidd-Gilchrist),,21-22,,
3:16.0,,,21-24,2,M. Kidd-Gilchrist makes 2-pt shot at rim
2:58.0,J. Hill misses 2-pt shot from 19 ft,,21-24,,
2:56.0,,,21-24,,Defensive rebound by A. Jefferson
2:48.0,,,21-24,,Turnover by M. Williams (bad pass; steal by J. Clarkson)
2:34.0,J. Lin makes 2-pt shot from 17 ft,2,23-24,,
2:17.0,,,23-24,,M. Williams misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by J. Hill,,23-24,,
2:04.0,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Lin),3,26-24,,
1:58.0,,,26-24,,Charlotte full timeout
1:58.0,LA Lakers full timeout,,26-24,,
1:55.0,,,26-24,,B. Biyombo enters the game for A. Jefferson
1:55.0,,,26-24,,B. Roberts enters the game for G. Henderson
1:43.0,,,26-24,,M. Williams misses 2-pt shot from 17 ft
1:42.0,Defensive rebound by E. Davis,,26-24,,
1:27.0,J. Clarkson makes 2-pt shot from 18 ft,2,28-24,,
1:02.0,,,28-24,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Lin)
1:00.0,Defensive rebound by J. Hill,,28-24,,
0:59.0,W. Johnson makes 2-pt shot at rim (assist by J. Clarkson),2,30-24,,
0:38.0,,,30-27,3,M. Williams makes 3-pt shot from 23 ft (assist by B. Roberts)
0:31.0,J. Lin misses 2-pt shot from 19 ft,,30-27,,
0:29.0,,,30-27,,Defensive rebound by B. Biyombo
0:06.0,,,30-27,,Turnover by Team (shot clock)
0:01.0,J. Clarkson misses 3-pt shot from 26 ft,,30-27,,
0:00.0,Offensive rebound by Team,,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,30-27,,Turnover by L. Stephenson (bad pass; steal by J. Lin)
11:37.0,J. Lin misses 2-pt shot from 2 ft (block by L. Stephenson),,30-27,,
11:35.0,,,30-27,,Defensive rebound by M. Kidd-Gilchrist
11:30.0,,,30-27,,B. Roberts misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by W. Johnson,,30-27,,
11:13.0,J. Hill misses 2-pt shot from 16 ft,,30-27,,
11:12.0,,,30-27,,Defensive rebound by M. Kidd-Gilchrist
11:01.0,,,30-29,2,L. Stephenson makes 2-pt shot from 11 ft (assist by B. Roberts)
10:37.0,J. Hill misses 2-pt shot from 11 ft,,30-29,,
10:37.0,,,30-29,,Defensive rebound by Team
10:26.0,,,30-29,,L. Stephenson misses 2-pt shot from 16 ft
10:24.0,Defensive rebound by J. Lin,,30-29,,
10:19.0,J. Lin misses 2-pt shot from 2 ft (block by M. Williams),,30-29,,
10:17.0,,,30-29,,Defensive rebound by L. Stephenson
10:12.0,,,30-29,,Shooting foul by J. Hill (drawn by L. Stephenson)
10:12.0,,,30-29,,L. Stephenson misses free throw 1 of 2
10:12.0,,,30-29,,Offensive rebound by Team
10:12.0,,,30-30,1,L. Stephenson makes free throw 2 of 2
9:52.0,J. Hill misses 2-pt shot from 17 ft (block by M. Williams),,30-30,,
9:50.0,,,30-30,,Defensive rebound by L. Stephenson
9:47.0,,,30-32,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by L. Stephenson)
9:31.0,Turnover by E. Davis (bad pass),,30-32,,
9:31.0,C. Boozer enters the game for J. Hill,,30-32,,
9:20.0,,,30-32,,Shooting foul by E. Davis (drawn by L. Stephenson)
9:20.0,,,30-33,1,L. Stephenson makes free throw 1 of 2
9:20.0,,,30-33,,G. Henderson enters the game for M. Kidd-Gilchrist
9:20.0,,,30-34,1,L. Stephenson makes free throw 2 of 2
9:06.0,C. Boozer makes 2-pt shot from 1 ft (assist by E. Davis),2,32-34,,
8:52.0,,,32-36,2,M. Williams makes 2-pt shot from 22 ft (assist by G. Henderson)
8:40.0,C. Boozer makes 2-pt shot from 18 ft (assist by J. Lin),2,34-36,,
8:20.0,,,34-38,2,M. Williams makes 2-pt shot from 8 ft (assist by L. Stephenson)
8:06.0,C. Boozer misses 2-pt shot from 17 ft,,34-38,,
8:05.0,,,34-38,,Defensive rebound by G. Henderson
7:59.0,Official timeout,,34-38,,
7:56.0,,,34-38,,G. Henderson misses 2-pt shot from 5 ft (block by W. Johnson)
7:53.0,Defensive rebound by W. Johnson,,34-38,,
7:50.0,E. Davis makes 2-pt shot at rim (assist by J. Lin),2,36-38,,
7:26.0,,,36-38,,M. Williams misses 2-pt shot from 7 ft
7:25.0,Defensive rebound by C. Boozer,,36-38,,
7:11.0,W. Johnson misses 2-pt shot from 22 ft,,36-38,,
7:10.0,,,36-38,,Defensive rebound by L. Stephenson
7:06.0,,,36-38,,Turnover by L. Stephenson (bad pass; steal by J. Lin)
7:03.0,Shooting foul by M. Williams (drawn by W. Johnson),,36-38,,
7:03.0,W. Johnson makes free throw 1 of 2,1,37-38,,
7:03.0,,,37-38,,A. Jefferson enters the game for B. Biyombo
7:03.0,W. Johnson makes free throw 2 of 2,1,38-38,,
6:49.0,,,38-38,,Turnover by L. Stephenson (lost ball)
6:38.0,E. Davis makes 2-pt shot from 2 ft (assist by J. Lin),2,40-38,,
6:38.0,Shooting foul by A. Jefferson (drawn by E. Davis),,40-38,,
6:38.0,E. Davis misses free throw 1 of 1,,40-38,,
6:36.0,,,40-38,,Defensive rebound by A. Jefferson
6:28.0,,,40-38,,B. Roberts misses 3-pt shot from 26 ft
6:26.0,Defensive rebound by C. Boozer,,40-38,,
6:21.0,Shooting foul by G. Henderson (drawn by W. Ellington),,40-38,,
6:21.0,W. Ellington makes free throw 1 of 2,1,41-38,,
6:21.0,,,41-38,,C. Zeller enters the game for M. Williams
6:21.0,R. Sacre enters the game for E. Davis,,41-38,,
6:21.0,W. Ellington makes free throw 2 of 2,1,42-38,,
5:58.0,,,42-38,,A. Jefferson misses 2-pt shot from 15 ft
5:56.0,Defensive rebound by C. Boozer,,42-38,,
5:48.0,J. Lin misses 2-pt shot from 18 ft,,42-38,,
5:45.0,,,42-38,,Defensive rebound by C. Zeller
5:35.0,,,42-40,2,G. Henderson makes 2-pt shot from 20 ft (assist by B. Roberts)
5:18.0,Turnover by W. Johnson (bad pass; steal by A. Jefferson),,42-40,,
5:08.0,,,42-40,,G. Henderson misses 2-pt shot from 2 ft
5:08.0,,,42-40,,Offensive rebound by A. Jefferson
5:08.0,,,42-40,,Shooting foul by W. Johnson (drawn by A. Jefferson)
5:08.0,,,42-40,,Charlotte full timeout
5:08.0,J. Clarkson enters the game for J. Lin,,42-40,,
5:08.0,,,42-40,,M. Williams enters the game for B. Roberts
5:08.0,,,42-40,,A. Jefferson misses free throw 1 of 2
5:08.0,,,42-40,,Offensive rebound by Team
5:08.0,,,42-40,,A. Jefferson misses free throw 2 of 2
5:06.0,Defensive rebound by W. Johnson,,42-40,,
5:04.0,Turnover by W. Johnson (lost ball; steal by G. Henderson),,42-40,,
4:50.0,,,42-40,,A. Jefferson misses 2-pt shot from 7 ft
4:49.0,Defensive rebound by C. Boozer,,42-40,,
4:32.0,W. Ellington misses 2-pt shot from 18 ft,,42-40,,
4:31.0,,,42-40,,Defensive rebound by A. Jefferson
4:15.0,,,42-40,,G. Henderson misses 2-pt shot from 16 ft
4:12.0,Defensive rebound by J. Clarkson,,42-40,,
3:57.0,C. Boozer misses 2-pt shot from 17 ft,,42-40,,
3:56.0,,,42-40,,Defensive rebound by A. Jefferson
3:39.0,,,42-40,,Turnover by M. Williams (bad pass; steal by R. Sacre)
3:32.0,C. Boozer makes 2-pt shot from 1 ft (assist by J. Clarkson),2,44-40,,
3:15.0,,,44-42,2,A. Jefferson makes 2-pt shot from 3 ft
2:51.0,R. Sacre misses 2-pt shot from 16 ft,,44-42,,
2:48.0,Offensive rebound by W. Johnson,,44-42,,
2:48.0,W. Johnson misses 2-pt shot from 2 ft,,44-42,,
2:47.0,Offensive rebound by W. Johnson,,44-42,,
2:47.0,W. Johnson makes 2-pt shot from 2 ft,2,46-42,,
2:32.0,,,46-42,,A. Jefferson misses 2-pt shot from 1 ft
2:31.0,Defensive rebound by C. Boozer,,46-42,,
2:27.0,W. Johnson misses 3-pt shot from 25 ft,,46-42,,
2:27.0,,,46-42,,Defensive rebound by Team
2:27.0,Loose ball foul by C. Boozer (drawn by C. Zeller),,46-42,,
2:27.0,LA Lakers full timeout,,46-42,,
2:27.0,R. Kelly enters the game for W. Johnson,,46-42,,
2:27.0,,,46-42,,M. Kidd-Gilchrist enters the game for L. Stephenson
2:07.0,,,46-42,,A. Jefferson misses 2-pt shot from 1 ft
2:06.0,Defensive rebound by R. Kelly,,46-42,,
1:53.0,Turnover by W. Ellington (bad pass; steal by A. Jefferson),,46-42,,
1:47.0,,,46-45,3,G. Henderson makes 3-pt shot from 23 ft (assist by M. Williams)
1:28.0,Shooting foul by C. Zeller (drawn by C. Boozer),,46-45,,
1:28.0,C. Boozer makes free throw 1 of 2,1,47-45,,
1:28.0,C. Boozer makes free throw 2 of 2,1,48-45,,
1:13.0,,,48-47,2,A. Jefferson makes 2-pt shot from 5 ft (assist by G. Henderson)
1:13.0,,,48-47,,Shooting foul by R. Sacre (drawn by A. Jefferson)
1:13.0,,,48-48,1,A. Jefferson makes free throw 1 of 1
0:54.0,J. Clarkson misses 3-pt shot from 27 ft,,48-48,,
0:52.0,,,48-48,,Defensive rebound by M. Williams
0:47.0,,,48-48,,Turnover by M. Williams (bad pass; steal by R. Kelly)
0:41.0,W. Ellington misses 2-pt shot from 17 ft,,48-48,,
0:39.0,,,48-48,,Defensive rebound by A. Jefferson
0:27.0,,,48-50,2,A. Jefferson makes 2-pt shot from 16 ft (assist by M. Williams)
0:06.0,J. Clarkson makes 2-pt shot from 8 ft,2,50-50,,
0:01.0,,,50-50,,G. Henderson misses 3-pt shot from 31 ft
0:00.0,,,50-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,50-52,2,C. Zeller makes 2-pt shot at rim (assist by M. Williams)
11:19.0,J. Clarkson misses 2-pt shot from 1 ft,,50-52,,
11:17.0,,,50-52,,Defensive rebound by C. Zeller
11:13.0,,,50-52,,M. Williams misses 2-pt shot from 5 ft
11:11.0,,,50-52,,Offensive rebound by M. Kidd-Gilchrist
11:11.0,,,50-52,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
11:09.0,Defensive rebound by R. Sacre,,50-52,,
10:58.0,Shooting foul by A. Jefferson (drawn by R. Sacre),,50-52,,
10:58.0,R. Sacre makes free throw 1 of 2,1,51-52,,
10:58.0,R. Sacre makes free throw 2 of 2,1,52-52,,
10:42.0,,,52-52,,G. Henderson misses 2-pt shot from 16 ft
10:41.0,Defensive rebound by C. Boozer,,52-52,,
10:23.0,Turnover by R. Kelly (bad pass; steal by A. Jefferson),,52-52,,
10:17.0,,,52-54,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
9:52.0,R. Kelly misses 2-pt shot from 18 ft,,52-54,,
9:51.0,,,52-54,,Defensive rebound by C. Zeller
9:39.0,,,52-54,,C. Zeller misses 2-pt shot from 18 ft
9:38.0,Defensive rebound by R. Kelly,,52-54,,
9:27.0,J. Clarkson misses 2-pt shot from 20 ft,,52-54,,
9:26.0,,,52-54,,Defensive rebound by C. Zeller
9:13.0,,,52-57,3,M. Williams makes 3-pt shot from 27 ft (assist by G. Henderson)
8:49.0,R. Sacre misses 2-pt shot from 13 ft,,52-57,,
8:48.0,,,52-57,,Defensive rebound by C. Zeller
8:42.0,,,52-59,2,G. Henderson makes 2-pt shot from 1 ft (assist by M. Williams)
8:28.0,Shooting foul by C. Zeller (drawn by C. Boozer),,52-59,,
8:28.0,C. Boozer makes free throw 1 of 2,1,53-59,,
8:28.0,C. Boozer misses free throw 2 of 2,,53-59,,
8:27.0,,,53-59,,Defensive rebound by Team
8:16.0,,,53-59,,M. Williams misses 2-pt shot from 19 ft
8:15.0,Defensive rebound by C. Boozer,,53-59,,
8:08.0,W. Ellington misses 2-pt shot from 16 ft,,53-59,,
8:07.0,,,53-59,,Defensive rebound by C. Zeller
7:57.0,,,53-61,2,G. Henderson makes 2-pt shot at rim (assist by M. Williams)
7:42.0,Turnover by W. Ellington (bad pass; steal by G. Henderson),,53-61,,
7:39.0,,,53-63,2,C. Zeller makes 2-pt shot from 1 ft
7:39.0,,,53-63,,Shooting foul by J. Clarkson (drawn by C. Zeller)
7:39.0,,,53-64,1,C. Zeller makes free throw 1 of 1
7:39.0,LA Lakers full timeout,,53-64,,
7:27.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Kelly),,53-64,,
7:27.0,R. Kelly makes free throw 1 of 2,1,54-64,,
7:27.0,R. Kelly makes free throw 2 of 2,1,55-64,,
7:15.0,Personal foul by R. Sacre (drawn by A. Jefferson),,55-64,,
7:08.0,,,55-66,2,G. Henderson makes 2-pt shot from 2 ft
6:44.0,W. Ellington misses 2-pt shot from 2 ft,,55-66,,
6:44.0,Offensive rebound by Team,,55-66,,
6:35.0,,,55-66,,Personal foul by G. Henderson (drawn by W. Ellington)
6:21.0,J. Clarkson misses 2-pt shot from 20 ft,,55-66,,
6:20.0,,,55-66,,Defensive rebound by M. Kidd-Gilchrist
6:04.0,,,55-66,,C. Zeller misses 2-pt shot from 20 ft
6:03.0,Defensive rebound by R. Kelly,,55-66,,
5:58.0,C. Boozer makes 2-pt shot at rim (assist by R. Kelly),2,57-66,,
5:33.0,,,57-66,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by R. Sacre)
5:31.0,Defensive rebound by R. Kelly,,57-66,,
5:18.0,J. Clarkson makes 2-pt shot from 7 ft (assist by C. Boozer),2,59-66,,
5:18.0,,,59-66,,Charlotte full timeout
5:18.0,J. Lin enters the game for W. Ellington,,59-66,,
5:18.0,,,59-66,,M. Williams enters the game for C. Zeller
5:01.0,,,59-66,,M. Williams misses 2-pt shot from 22 ft
5:00.0,Defensive rebound by R. Sacre,,59-66,,
4:37.0,R. Sacre misses 2-pt shot from 19 ft,,59-66,,
4:35.0,,,59-66,,Defensive rebound by M. Kidd-Gilchrist
4:21.0,Personal foul by J. Lin (drawn by M. Williams),,59-66,,
4:17.0,,,59-66,,Shooting foul by R. Sacre (drawn by G. Henderson)
4:17.0,,,59-67,1,G. Henderson makes free throw 1 of 2
4:17.0,E. Davis enters the game for R. Sacre,,59-67,,
4:17.0,,,59-68,1,G. Henderson makes free throw 2 of 2
4:01.0,R. Kelly misses 3-pt shot from 26 ft,,59-68,,
3:59.0,Offensive rebound by C. Boozer,,59-68,,
3:59.0,Shooting foul by M. Williams (drawn by C. Boozer),,59-68,,
3:59.0,C. Boozer makes free throw 1 of 2,1,60-68,,
3:59.0,,,60-68,,B. Roberts enters the game for G. Henderson
3:59.0,C. Boozer makes free throw 2 of 2,1,61-68,,
3:51.0,Personal foul by J. Clarkson (drawn by A. Jefferson),,61-68,,
3:51.0,,,61-68,,A. Jefferson misses free throw 1 of 2
3:51.0,,,61-68,,Offensive rebound by Team
3:51.0,J. Hill enters the game for C. Boozer,,61-68,,
3:51.0,,,61-68,,A. Jefferson misses free throw 2 of 2
3:50.0,Defensive rebound by J. Hill,,61-68,,
3:28.0,J. Lin makes 2-pt shot from 16 ft,2,63-68,,
3:05.0,,,63-70,2,A. Jefferson makes 2-pt shot at rim (assist by M. Williams)
2:46.0,J. Hill misses 2-pt shot from 18 ft,,63-70,,
2:45.0,,,63-70,,Defensive rebound by A. Jefferson
2:38.0,,,63-70,,Turnover by B. Roberts (dbl dribble)
2:23.0,Shooting foul by B. Roberts (drawn by R. Kelly),,63-70,,
2:23.0,R. Kelly makes free throw 1 of 2,1,64-70,,
2:23.0,R. Kelly makes free throw 2 of 2,1,65-70,,
2:05.0,,,65-70,,M. Williams misses 3-pt shot from 27 ft
2:05.0,Defensive rebound by Team,,65-70,,
1:53.0,J. Lin misses 2-pt shot from 8 ft,,65-70,,
1:52.0,,,65-70,,Defensive rebound by A. Jefferson
1:37.0,,,65-70,,A. Jefferson misses 2-pt shot from 8 ft
1:36.0,Defensive rebound by J. Hill,,65-70,,
1:28.0,J. Clarkson makes 2-pt shot from 13 ft,2,67-70,,
1:10.0,,,67-72,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by M. Williams)
0:50.0,R. Kelly misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,67-72,,
0:48.0,Offensive rebound by J. Lin,,67-72,,
0:42.0,R. Kelly misses 3-pt shot from 24 ft,,67-72,,
0:40.0,,,67-72,,Defensive rebound by A. Jefferson
0:31.0,,,67-74,2,A. Jefferson makes 2-pt shot from 15 ft
0:11.0,J. Lin makes 3-pt shot from 26 ft (assist by J. Clarkson),3,70-74,,
0:00.0,,,70-74,,Turnover by M. Williams (traveling)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Hill makes 2-pt shot from 13 ft (assist by J. Lin),2,72-74,,
11:29.0,,,72-76,2,B. Roberts makes 2-pt shot from 15 ft
11:06.0,J. Hill makes 2-pt shot from 3 ft,2,74-76,,
10:54.0,,,74-76,,Turnover by B. Roberts (bad pass; steal by W. Johnson)
10:41.0,E. Davis misses 2-pt shot from 12 ft,,74-76,,
10:41.0,Offensive rebound by Team,,74-76,,
10:41.0,,,74-76,,Loose ball foul by B. Roberts (drawn by W. Johnson)
10:36.0,J. Lin makes 2-pt shot from 1 ft (assist by W. Johnson),2,76-76,,
10:18.0,,,76-78,2,J. Taylor makes 2-pt shot at rim (assist by M. Williams)
10:18.0,,,76-78,,Shooting foul by J. Hill (drawn by J. Taylor)
10:18.0,,,76-79,1,J. Taylor makes free throw 1 of 1
10:08.0,Turnover by W. Ellington (bad pass; steal by M. Williams),,76-79,,
10:06.0,,,76-79,,Shooting foul by J. Hill (drawn by M. Williams)
10:06.0,,,76-80,1,M. Williams makes free throw 1 of 2
10:06.0,,,76-80,,G. Henderson enters the game for M. Kidd-Gilchrist
10:06.0,,,76-80,,M. Williams misses free throw 2 of 2
10:04.0,Defensive rebound by W. Ellington,,76-80,,
9:57.0,,,76-80,,Personal foul by J. Taylor (drawn by J. Lin)
9:51.0,J. Hill makes 2-pt shot from 18 ft (assist by E. Davis),2,78-80,,
9:31.0,,,78-80,,Turnover by B. Biyombo (offensive goaltending)
9:19.0,J. Lin makes 2-pt shot from 2 ft,2,80-80,,
8:52.0,,,80-82,2,B. Roberts makes 2-pt shot from 2 ft (assist by M. Williams)
8:38.0,Turnover by J. Lin (bad pass; steal by J. Taylor),,80-82,,
8:23.0,,,80-82,,B. Biyombo misses 2-pt shot from 8 ft
8:23.0,Defensive rebound by Team,,80-82,,
8:23.0,Official timeout,,80-82,,
8:23.0,,,80-82,,M. Williams enters the game for B. Biyombo
8:23.0,,,80-82,,A. Jefferson enters the game for B. Roberts
8:12.0,W. Ellington misses 2-pt shot from 3 ft,,80-82,,
8:11.0,,,80-82,,Defensive rebound by A. Jefferson
7:53.0,,,80-82,,M. Williams misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by J. Lin,,80-82,,
7:32.0,Turnover by J. Lin (bad pass; steal by G. Henderson),,80-82,,
7:10.0,,,80-84,2,A. Jefferson makes 2-pt shot from 15 ft (assist by M. Williams)
6:47.0,W. Johnson makes 2-pt shot from 21 ft (assist by J. Hill),2,82-84,,
6:25.0,,,82-84,,A. Jefferson misses 2-pt shot from 2 ft (block by J. Hill)
6:24.0,Defensive rebound by J. Hill,,82-84,,
6:19.0,W. Johnson makes 2-pt shot at rim (assist by J. Lin),2,84-84,,
6:17.0,,,84-84,,Charlotte full timeout
6:17.0,,,84-84,,M. Kidd-Gilchrist enters the game for J. Taylor
6:04.0,,,84-84,,Shooting foul by J. Lin (drawn by M. Williams)
6:04.0,,,84-85,1,M. Williams makes free throw 1 of 2
6:04.0,,,84-86,1,M. Williams makes free throw 2 of 2
5:54.0,J. Lin misses 3-pt shot from 26 ft,,84-86,,
5:53.0,,,84-86,,Defensive rebound by A. Jefferson
5:42.0,,,84-86,,M. Williams misses 3-pt shot from 25 ft
5:40.0,,,84-86,,Offensive rebound by M. Williams
5:36.0,,,84-86,,M. Williams misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by J. Lin,,84-86,,
5:14.0,J. Hill misses 2-pt shot from 17 ft,,84-86,,
5:12.0,Offensive rebound by E. Davis,,84-86,,
4:59.0,J. Lin makes 2-pt shot from 1 ft,2,86-86,,
4:44.0,,,86-89,3,G. Henderson makes 3-pt shot from 23 ft (assist by M. Williams)
4:23.0,J. Hill makes 2-pt shot from 17 ft (assist by W. Johnson),2,88-89,,
4:06.0,,,88-91,2,A. Jefferson makes 2-pt shot from 1 ft (assist by M. Williams)
3:53.0,,,88-91,,Personal foul by M. Kidd-Gilchrist (drawn by J. Lin)
3:53.0,J. Clarkson enters the game for W. Johnson,,88-91,,
3:45.0,,,88-91,,Shooting block foul by M. Williams (drawn by E. Davis)
3:45.0,E. Davis makes free throw 1 of 2,1,89-91,,
3:45.0,E. Davis makes free throw 2 of 2,1,90-91,,
3:29.0,,,90-93,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams)
3:10.0,J. Lin misses 2-pt shot from 17 ft,,90-93,,
3:09.0,,,90-93,,Defensive rebound by A. Jefferson
2:54.0,,,90-95,2,G. Henderson makes 2-pt shot from 18 ft (assist by M. Williams)
2:54.0,LA Lakers full timeout,,90-95,,
2:54.0,W. Johnson enters the game for E. Davis,,90-95,,
2:37.0,J. Clarkson misses 3-pt shot from 26 ft,,90-95,,
2:35.0,,,90-95,,Defensive rebound by A. Jefferson
2:16.0,,,90-95,,A. Jefferson misses 2-pt shot from 11 ft
2:15.0,Defensive rebound by J. Lin,,90-95,,
2:05.0,J. Clarkson makes 2-pt shot from 3 ft,2,92-95,,
1:46.0,,,92-95,,A. Jefferson misses 2-pt shot from 4 ft
1:45.0,Defensive rebound by J. Lin,,92-95,,
1:40.0,Turnover by J. Lin (bad pass; steal by M. Williams),,92-95,,
1:37.0,,,92-95,,Shooting foul by J. Lin (drawn by M. Kidd-Gilchrist)
1:37.0,,,92-95,,M. Kidd-Gilchrist misses free throw 1 of 2
1:37.0,,,92-95,,Offensive rebound by Team
1:37.0,,,92-95,,M. Kidd-Gilchrist misses free throw 2 of 2
1:36.0,Defensive rebound by Team,,92-95,,
1:19.0,J. Clarkson misses 3-pt shot from 25 ft,,92-95,,
1:19.0,,,92-95,,Defensive rebound by G. Henderson
1:00.0,,,92-98,3,M. Williams makes 3-pt shot from 26 ft (assist by A. Jefferson)
0:55.0,J. Lin makes 2-pt shot from 16 ft,2,94-98,,
0:41.0,,,94-98,,Charlotte full timeout
0:32.0,,,94-98,,G. Henderson misses 2-pt shot from 17 ft
