time,Miami,pts.away,score,pts.home,Washington
4:06.0,,,37-50,,Shooting foul by S. Williams (drawn by K. Humphries)
4:06.0,,,37-51,1,K. Humphries makes free throw 1 of 2
4:06.0,L. Deng enters the game for M. Chalmers,,37-51,,
4:06.0,,,37-51,,P. Pierce enters the game for O. Porter
4:06.0,N. Cole enters the game for S. Napier,,37-51,,
4:06.0,,,37-52,1,K. Humphries makes free throw 2 of 2
3:56.0,N. Cole misses 2-pt shot from 14 ft,,37-52,,
3:54.0,,,37-52,,Defensive rebound by M. Gortat
3:47.0,,,37-54,2,J. Wall makes 2-pt shot from 15 ft
3:46.0,Miami full timeout,,37-54,,
3:23.0,C. Bosh makes 2-pt shot from 14 ft,2,39-54,,
3:09.0,,,39-56,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:47.0,D. Wade misses 2-pt shot from 5 ft (block by M. Gortat),,39-56,,
2:46.0,,,39-56,,Defensive rebound by M. Gortat
2:39.0,,,39-56,,K. Humphries misses 2-pt shot at rim (block by C. Bosh)
2:38.0,Defensive rebound by N. Cole,,39-56,,
2:28.0,Turnover by L. Deng (lost ball; steal by K. Humphries),,39-56,,
2:20.0,,,39-56,,M. Gortat misses 2-pt shot from 2 ft
2:18.0,Defensive rebound by D. Wade,,39-56,,
2:14.0,,,39-56,,Personal foul by P. Pierce (drawn by L. Deng)
2:14.0,L. Deng makes free throw 1 of 2,1,40-56,,
2:14.0,M. Chalmers enters the game for D. Wade,,40-56,,
2:14.0,L. Deng misses free throw 2 of 2,,40-56,,
2:13.0,,,40-56,,Defensive rebound by K. Humphries
1:59.0,,,40-59,3,R. Butler makes 3-pt shot from 25 ft (assist by P. Pierce)
1:41.0,M. Chalmers makes 2-pt shot from 3 ft (assist by S. Williams),2,42-59,,
1:30.0,,,42-59,,Shooting foul by S. Williams (drawn by M. Gortat)
1:30.0,,,42-59,,M. Gortat misses free throw 1 of 2
1:30.0,,,42-59,,Offensive rebound by Team
1:30.0,J. McRoberts enters the game for S. Williams,,42-59,,
1:30.0,,,42-59,,O. Porter enters the game for P. Pierce
1:30.0,,,42-59,,G. Temple enters the game for R. Butler
1:30.0,,,42-60,1,M. Gortat makes free throw 2 of 2
1:09.0,C. Bosh makes 2-pt shot from 17 ft,2,44-60,,
1:04.0,,,44-60,,Turnover by J. Wall (lost ball; steal by L. Deng)
0:49.0,C. Bosh makes 2-pt shot at rim (assist by J. McRoberts),2,46-60,,
0:31.0,,,46-62,2,M. Gortat makes 2-pt shot from 8 ft (assist by J. Wall)
0:11.0,N. Cole makes 3-pt shot from 26 ft (assist by M. Chalmers),3,49-62,,
0:00.0,,,49-64,2,J. Wall makes 2-pt shot from 20 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-64,,K. Humphries misses 2-pt shot from 16 ft
11:42.0,,,49-64,,Offensive rebound by Team
11:31.0,,,49-64,,Offensive foul by K. Humphries
11:31.0,,,49-64,,Turnover by K. Humphries (offensive foul)
11:06.0,C. Bosh misses 2-pt shot from 16 ft,,49-64,,
11:06.0,,,49-64,,Defensive rebound by Team
10:48.0,,,49-64,,Turnover by P. Pierce (bad pass; steal by N. Cole)
10:39.0,D. Wade misses 2-pt shot from 18 ft,,49-64,,
10:38.0,,,49-64,,Defensive rebound by B. Beal
10:28.0,,,49-64,,B. Beal misses 2-pt shot from 1 ft (block by C. Bosh)
10:25.0,Defensive rebound by L. Deng,,49-64,,
10:20.0,L. Deng makes 2-pt shot from 2 ft,2,51-64,,
10:11.0,,,51-64,,Shooting foul by D. Wade (drawn by J. Wall)
10:11.0,,,51-65,1,J. Wall makes free throw 1 of 2
10:11.0,,,51-66,1,J. Wall makes free throw 2 of 2
9:59.0,N. Cole misses 2-pt shot at rim,,51-66,,
9:58.0,,,51-66,,Defensive rebound by M. Gortat
9:38.0,,,51-68,2,J. Wall makes 2-pt shot from 18 ft
9:25.0,L. Deng misses 2-pt shot from 20 ft,,51-68,,
9:24.0,,,51-68,,Defensive rebound by M. Gortat
9:12.0,,,51-68,,Shooting foul by S. Williams (drawn by M. Gortat)
9:12.0,,,51-69,1,M. Gortat makes free throw 1 of 2
9:12.0,,,51-70,1,M. Gortat makes free throw 2 of 2
8:48.0,S. Williams misses 3-pt shot from 22 ft,,51-70,,
8:47.0,,,51-70,,Defensive rebound by J. Wall
8:44.0,,,51-72,2,K. Humphries makes 2-pt shot at rim (assist by J. Wall)
8:43.0,Miami full timeout,,51-72,,
8:30.0,Shooting foul by J. Wall (drawn by L. Deng),,51-72,,
8:30.0,L. Deng makes free throw 1 of 2,1,52-72,,
8:30.0,L. Deng makes free throw 2 of 2,1,53-72,,
8:10.0,,,53-72,,J. Wall misses 2-pt shot from 20 ft
8:09.0,Defensive rebound by C. Bosh,,53-72,,
7:59.0,D. Wade makes 2-pt shot from 5 ft,2,55-72,,
7:41.0,,,55-72,,B. Beal misses 2-pt shot from 15 ft
7:40.0,,,55-72,,Offensive rebound by B. Beal
7:23.0,,,55-72,,Turnover by M. Gortat (3 sec)
7:09.0,,,55-72,,Personal foul by M. Gortat (drawn by C. Bosh)
6:57.0,Turnover by C. Bosh (lost ball; steal by J. Wall),,55-72,,
6:51.0,,,55-72,,Turnover by J. Wall (lost ball; steal by N. Cole)
6:44.0,D. Wade makes 2-pt shot from 4 ft,2,57-72,,
6:26.0,,,57-72,,M. Gortat misses 2-pt shot from 9 ft
6:25.0,Defensive rebound by L. Deng,,57-72,,
6:15.0,N. Cole makes 2-pt shot at rim,2,59-72,,
6:15.0,,,59-72,,Washington full timeout
5:59.0,,,59-72,,B. Beal misses 3-pt shot from 23 ft
5:58.0,,,59-72,,Offensive rebound by K. Humphries
5:48.0,,,59-74,2,K. Humphries makes 2-pt shot at rim (assist by J. Wall)
5:31.0,Offensive foul by D. Wade,,59-74,,
5:31.0,Turnover by D. Wade (offensive foul),,59-74,,
5:31.0,Violation by Team (delay of game),,59-74,,
5:18.0,,,59-74,,P. Pierce misses 3-pt shot from 22 ft
5:17.0,,,59-74,,Offensive rebound by Team
5:09.0,,,59-74,,J. Wall misses 3-pt shot from 29 ft
5:08.0,Defensive rebound by D. Wade,,59-74,,
4:57.0,S. Williams makes 2-pt shot from 1 ft (assist by C. Bosh),2,61-74,,
4:35.0,,,61-74,,P. Pierce misses 2-pt shot from 14 ft
4:34.0,Defensive rebound by C. Bosh,,61-74,,
4:21.0,D. Wade misses 2-pt shot from 8 ft,,61-74,,
4:20.0,,,61-74,,Defensive rebound by M. Gortat
4:09.0,,,61-76,2,M. Gortat makes 2-pt shot from 1 ft (assist by K. Humphries)
3:46.0,Shooting foul by M. Gortat (drawn by C. Bosh),,61-76,,
3:46.0,C. Bosh makes free throw 1 of 2,1,62-76,,
3:46.0,M. Chalmers enters the game for D. Wade,,62-76,,
3:46.0,J. McRoberts enters the game for S. Williams,,62-76,,
3:46.0,,,62-76,,D. Gooden enters the game for K. Humphries
3:46.0,,,62-76,,R. Butler enters the game for P. Pierce
3:46.0,C. Bosh misses free throw 2 of 2,,62-76,,
3:45.0,Offensive rebound by J. McRoberts,,62-76,,
3:35.0,C. Bosh misses 3-pt shot from 24 ft,,62-76,,
3:32.0,Offensive rebound by M. Chalmers,,62-76,,
3:30.0,M. Chalmers makes 2-pt shot at rim,2,64-76,,
3:11.0,,,64-78,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:51.0,L. Deng misses 2-pt shot from 17 ft,,64-78,,
2:50.0,,,64-78,,Defensive rebound by M. Gortat
2:38.0,,,64-78,,R. Butler misses 3-pt shot from 23 ft
2:36.0,,,64-78,,Offensive rebound by M. Gortat
2:25.0,,,64-81,3,J. Wall makes 3-pt shot from 27 ft (assist by D. Gooden)
2:07.0,M. Chalmers misses 2-pt shot from 8 ft (block by J. Wall),,64-81,,
2:05.0,Offensive rebound by N. Cole,,64-81,,
2:02.0,N. Cole misses 3-pt shot from 26 ft,,64-81,,
2:01.0,,,64-81,,Defensive rebound by J. Wall
1:53.0,,,64-81,,J. Wall misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by L. Deng,,64-81,,
1:30.0,Turnover by M. Chalmers (offensive foul),,64-81,,
1:30.0,Offensive foul by M. Chalmers,,64-81,,
1:30.0,,,64-81,,Washington full timeout
1:30.0,U. Haslem enters the game for L. Deng,,64-81,,
1:30.0,S. Napier enters the game for C. Bosh,,64-81,,
1:30.0,J. Ennis enters the game for N. Cole,,64-81,,
1:22.0,,,64-81,,Turnover by R. Butler (traveling)
1:22.0,,,64-81,,K. Seraphin enters the game for M. Gortat
1:01.0,M. Chalmers makes 2-pt shot from 1 ft (assist by J. McRoberts),2,66-81,,
0:47.0,,,66-81,,Offensive foul by B. Beal
0:47.0,,,66-81,,Turnover by B. Beal (offensive foul)
0:47.0,,,66-81,,O. Porter enters the game for B. Beal
0:31.0,U. Haslem misses 2-pt shot from 1 ft,,66-81,,
0:30.0,,,66-81,,Defensive rebound by O. Porter
0:09.0,,,66-81,,O. Porter misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by S. Napier,,66-81,,
0:01.0,Turnover by S. Napier (bad pass; steal by D. Gooden),,66-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Shooting foul by K. Seraphin (drawn by U. Haslem),,66-81,,
11:48.0,U. Haslem makes free throw 1 of 2,1,67-81,,
11:48.0,U. Haslem makes free throw 2 of 2,1,68-81,,
11:38.0,,,68-81,,Turnover by R. Butler (bad pass; steal by J. McRoberts)
11:31.0,,,68-81,,Personal foul by A. Miller (drawn by M. Chalmers)
11:22.0,Turnover by M. Chalmers (bad pass; steal by D. Gooden),,68-81,,
11:17.0,Personal foul by S. Napier (drawn by A. Miller),,68-81,,
10:57.0,,,68-84,3,D. Gooden makes 3-pt shot from 26 ft (assist by A. Miller)
10:28.0,U. Haslem misses 2-pt shot from 18 ft,,68-84,,
10:26.0,,,68-84,,Defensive rebound by R. Butler
10:12.0,,,68-86,2,A. Miller makes 2-pt shot at rim (assist by K. Seraphin)
10:11.0,Miami full timeout,,68-86,,
9:51.0,M. Chalmers misses 2-pt shot from 16 ft,,68-86,,
9:50.0,Offensive rebound by J. McRoberts,,68-86,,
9:40.0,Offensive foul by U. Haslem,,68-86,,
9:40.0,Turnover by U. Haslem (offensive foul),,68-86,,
9:22.0,,,68-88,2,K. Seraphin makes 2-pt shot at rim (assist by D. Gooden)
8:59.0,S. Napier misses 3-pt shot from 24 ft,,68-88,,
8:58.0,,,68-88,,Defensive rebound by Team
8:58.0,C. Bosh enters the game for U. Haslem,,68-88,,
8:58.0,D. Wade enters the game for J. Ennis,,68-88,,
8:39.0,,,68-91,3,R. Butler makes 3-pt shot from 24 ft (assist by A. Miller)
8:23.0,D. Wade misses 2-pt shot from 4 ft,,68-91,,
8:22.0,,,68-91,,Defensive rebound by K. Seraphin
8:05.0,,,68-91,,D. Gooden misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by C. Bosh,,68-91,,
7:50.0,J. McRoberts misses 3-pt shot from 28 ft,,68-91,,
7:49.0,,,68-91,,Defensive rebound by O. Porter
7:39.0,,,68-93,2,K. Seraphin makes 2-pt shot at rim (assist by A. Miller)
7:20.0,D. Wade makes 2-pt shot from 17 ft (assist by C. Bosh),2,70-93,,
6:55.0,,,70-95,2,A. Miller makes 2-pt shot from 1 ft
6:35.0,C. Bosh makes 2-pt shot from 6 ft,2,72-95,,
6:35.0,Shooting foul by K. Seraphin (drawn by C. Bosh),,72-95,,
6:35.0,C. Bosh makes free throw 1 of 1,1,73-95,,
6:16.0,,,73-95,,R. Butler misses 2-pt shot from 13 ft
6:15.0,Defensive rebound by M. Chalmers,,73-95,,
6:10.0,M. Chalmers makes 2-pt shot from 1 ft,2,75-95,,
5:52.0,,,75-97,2,R. Butler makes 2-pt shot from 5 ft
5:37.0,M. Chalmers misses 3-pt shot from 22 ft,,75-97,,
5:36.0,,,75-97,,Defensive rebound by K. Seraphin
5:27.0,,,75-97,,O. Porter misses 3-pt shot from 22 ft
5:26.0,Defensive rebound by J. McRoberts,,75-97,,
5:22.0,D. Wade makes 2-pt shot from 5 ft (assist by J. McRoberts),2,77-97,,
5:22.0,Shooting foul by D. Gooden (drawn by D. Wade),,77-97,,
5:22.0,Official timeout,,77-97,,
5:22.0,D. Wade makes free throw 1 of 1,1,78-97,,
5:07.0,,,78-97,,Turnover by K. Seraphin (lost ball; steal by D. Wade)
4:59.0,Turnover by C. Bosh (lost ball; steal by O. Porter),,78-97,,
4:54.0,,,78-99,2,R. Butler makes 2-pt shot at rim (assist by O. Porter)
4:54.0,,,78-99,,Shooting foul by C. Bosh (drawn by R. Butler)
4:54.0,J. Ennis enters the game for D. Wade,,78-99,,
4:54.0,,,78-100,1,R. Butler makes free throw 1 of 1
4:50.0,,,78-100,,Personal foul by D. Gooden (drawn by J. McRoberts)
4:50.0,J. McRoberts makes free throw 1 of 2,1,79-100,,
4:50.0,,,79-100,,D. Blair enters the game for D. Gooden
4:50.0,J. Hamilton enters the game for C. Bosh,,79-100,,
4:50.0,J. McRoberts makes free throw 2 of 2,1,80-100,,
4:33.0,,,80-100,,Shooting foul by J. Hamilton (drawn by K. Seraphin)
4:33.0,,,80-100,,K. Seraphin misses free throw 1 of 2
4:33.0,,,80-100,,Offensive rebound by Team
4:33.0,,,80-101,1,K. Seraphin makes free throw 2 of 2
4:16.0,S. Napier misses 3-pt shot from 25 ft,,80-101,,
4:15.0,Offensive rebound by J. Ennis,,80-101,,
3:58.0,,,80-101,,Personal foul by D. Blair (drawn by J. McRoberts)
3:58.0,J. McRoberts makes free throw 1 of 2,1,81-101,,
3:58.0,J. McRoberts makes free throw 2 of 2,1,82-101,,
3:41.0,,,82-101,,R. Butler misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by J. Hamilton,,82-101,,
3:30.0,J. Hamilton misses 2-pt shot from 4 ft,,82-101,,
3:29.0,,,82-101,,Defensive rebound by D. Blair
3:14.0,,,82-101,,Turnover by O. Porter (lost ball)
3:04.0,M. Chalmers misses 3-pt shot from 27 ft,,82-101,,
3:03.0,,,82-101,,Defensive rebound by K. Seraphin
2:46.0,,,82-101,,D. Blair misses 2-pt shot from 4 ft
2:45.0,Defensive rebound by J. Hamilton,,82-101,,
2:39.0,S. Napier misses 3-pt shot from 25 ft,,82-101,,
2:37.0,,,82-101,,Defensive rebound by K. Seraphin
2:20.0,,,82-101,,D. Blair misses 2-pt shot from 3 ft
2:19.0,,,82-101,,Offensive rebound by K. Seraphin
2:15.0,,,82-101,,Shooting foul by J. McRoberts (drawn by R. Butler)
2:15.0,,,82-101,,Washington full timeout
2:15.0,H. Whiteside enters the game for J. McRoberts,,82-101,,
2:15.0,,,82-102,1,R. Butler makes free throw 1 of 2
2:15.0,,,82-103,1,R. Butler makes free throw 2 of 2
2:01.0,S. Napier misses 3-pt shot from 25 ft,,82-103,,
2:00.0,Offensive rebound by J. Hamilton,,82-103,,
1:51.0,J. Hamilton misses 3-pt shot from 25 ft,,82-103,,
1:50.0,,,82-103,,Defensive rebound by R. Butler
1:30.0,,,82-105,2,D. Blair makes 2-pt shot from 3 ft (assist by O. Porter)
1:25.0,,,82-105,,Personal take foul by A. Miller (drawn by M. Chalmers)
1:25.0,,,82-105,,G. Temple enters the game for R. Butler
1:25.0,M. Chalmers makes free throw 1 of 2,1,83-105,,
1:25.0,M. Chalmers makes free throw 2 of 2,1,84-105,,
1:15.0,Personal foul by J. Ennis (drawn by O. Porter),,84-105,,
1:15.0,,,84-106,1,O. Porter makes free throw 1 of 2
1:15.0,,,84-107,1,O. Porter makes free throw 2 of 2
1:01.0,M. Chalmers misses 2-pt shot from 20 ft,,84-107,,
1:00.0,Offensive rebound by J. Hamilton,,84-107,,
0:56.0,J. Ennis misses 3-pt shot from 28 ft,,84-107,,
0:56.0,Offensive rebound by Team,,84-107,,
0:56.0,,,84-107,,Loose ball foul by K. Seraphin (drawn by H. Whiteside)
0:56.0,H. Whiteside misses free throw 1 of 2,,84-107,,
0:56.0,Offensive rebound by Team,,84-107,,
0:56.0,H. Whiteside misses free throw 2 of 2,,84-107,,
0:55.0,,,84-107,,Defensive rebound by D. Blair
0:40.0,,,84-107,,D. Blair misses 2-pt shot from 5 ft
0:39.0,Defensive rebound by H. Whiteside,,84-107,,
0:26.0,S. Napier makes 2-pt shot from 20 ft,2,86-107,,
0:01.0,,,86-107,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
