time,Golden State,pts.away,score,pts.home,New Orleans
3:01.0,,,21-22,,R. Anderson misses 2-pt shot from 5 ft
3:00.0,Defensive rebound by D. Green,,21-22,,
2:54.0,A. Iguodala makes 2-pt shot at rim (assist by L. Barbosa),2,23-22,,
2:38.0,,,23-22,,A. Davis misses 2-pt shot from 18 ft
2:37.0,Defensive rebound by S. Curry,,23-22,,
2:25.0,S. Curry misses 3-pt shot from 28 ft,,23-22,,
2:23.0,Offensive rebound by A. Iguodala,,23-22,,
2:15.0,Shooting foul by R. Anderson (drawn by F. Ezeli),,23-22,,
2:15.0,Golden State full timeout,,23-22,,
2:15.0,,,23-22,,J. Holiday enters the game for E. Gordon
2:15.0,F. Ezeli misses free throw 1 of 2,,23-22,,
2:15.0,Offensive rebound by Team,,23-22,,
2:15.0,F. Ezeli misses free throw 2 of 2,,23-22,,
2:14.0,,,23-22,,Defensive rebound by A. Davis
1:59.0,,,23-22,,Turnover by N. Cole (lost ball; steal by S. Curry)
1:57.0,Shooting foul by N. Cole (drawn by S. Curry),,23-22,,
1:57.0,S. Curry makes free throw 1 of 2,1,24-22,,
1:57.0,,,24-22,,D. Cunningham enters the game for Q. Pondexter
1:57.0,S. Curry makes free throw 2 of 2,1,25-22,,
1:41.0,Personal foul by A. Iguodala (drawn by R. Anderson),,25-22,,
1:31.0,,,25-22,,N. Cole misses 2-pt shot from 2 ft
1:31.0,Defensive rebound by Team,,25-22,,
1:14.0,A. Iguodala misses 2-pt shot from 20 ft,,25-22,,
1:11.0,,,25-22,,Defensive rebound by R. Anderson
0:55.0,,,25-22,,A. Davis misses 2-pt shot from 3 ft
0:53.0,Defensive rebound by F. Ezeli,,25-22,,
0:48.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,28-22,,
0:39.0,,,28-22,,R. Anderson misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by S. Curry,,28-22,,
0:31.0,S. Curry misses 2-pt shot from 1 ft,,28-22,,
0:30.0,,,28-22,,Defensive rebound by Team
0:30.0,,,28-22,,A. Ajinca enters the game for A. Davis
0:20.0,,,28-24,2,A. Ajinca makes 2-pt shot from 6 ft
0:05.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,31-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,31-26,2,J. Holiday makes 2-pt shot from 21 ft
11:30.0,L. Barbosa makes 2-pt shot from 2 ft,2,33-26,,
11:20.0,Personal foul by L. Barbosa (drawn by A. Ajinca),,33-26,,
11:07.0,,,33-26,,N. Cole misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by M. Speights,,33-26,,
10:53.0,L. Barbosa makes 2-pt shot from 2 ft (assist by M. Speights),2,35-26,,
10:35.0,,,35-26,,R. Anderson misses 2-pt shot from 1 ft
10:34.0,,,35-26,,Offensive rebound by R. Anderson
10:34.0,,,35-28,2,R. Anderson makes 2-pt shot from 1 ft
10:27.0,A. Iguodala makes 2-pt shot from 2 ft,2,37-28,,
10:10.0,,,37-28,,T. Evans enters the game for A. Ajinca
10:04.0,,,37-28,,Turnover by J. Holiday (lost ball)
9:52.0,L. Barbosa misses 2-pt shot from 2 ft (block by D. Cunningham),,37-28,,
9:50.0,,,37-28,,Defensive rebound by D. Cunningham
9:39.0,,,37-31,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday)
9:12.0,A. Iguodala misses 3-pt shot from 25 ft,,37-31,,
9:12.0,Offensive rebound by Team,,37-31,,
9:12.0,,,37-31,,Loose ball foul by R. Anderson (drawn by M. Speights)
9:12.0,D. Green enters the game for M. Speights,,37-31,,
9:07.0,L. Barbosa misses 2-pt shot from 16 ft,,37-31,,
9:06.0,,,37-31,,Defensive rebound by R. Anderson
8:54.0,,,37-31,,Turnover by N. Cole (lost ball; steal by A. Iguodala)
8:38.0,S. Livingston misses 2-pt shot from 12 ft,,37-31,,
8:37.0,Offensive rebound by H. Barnes,,37-31,,
8:37.0,,,37-31,,Loose ball foul by D. Cunningham (drawn by H. Barnes)
8:37.0,Official timeout,,37-31,,
8:37.0,K. Thompson enters the game for L. Barbosa,,37-31,,
8:37.0,,,37-31,,A. Davis enters the game for N. Cole
8:31.0,H. Barnes misses 2-pt shot from 17 ft,,37-31,,
8:30.0,,,37-31,,Defensive rebound by A. Davis
8:11.0,,,37-31,,Turnover by J. Holiday (bad pass; steal by H. Barnes)
8:06.0,H. Barnes makes 2-pt shot from 2 ft (assist by A. Iguodala),2,39-31,,
7:46.0,,,39-33,2,A. Davis makes 2-pt shot from 8 ft (assist by J. Holiday)
7:36.0,Shooting foul by A. Davis (drawn by A. Iguodala),,39-33,,
7:36.0,A. Iguodala makes free throw 1 of 2,1,40-33,,
7:36.0,A. Iguodala makes free throw 2 of 2,1,41-33,,
7:25.0,,,41-33,,J. Holiday misses 2-pt shot from 14 ft
7:24.0,,,41-33,,Offensive rebound by T. Evans
7:23.0,,,41-33,,T. Evans misses 2-pt shot from 2 ft (block by S. Livingston)
7:22.0,,,41-33,,Offensive rebound by T. Evans
7:21.0,,,41-33,,T. Evans misses 2-pt shot from 3 ft
7:20.0,,,41-33,,Offensive rebound by R. Anderson
7:20.0,,,41-33,,R. Anderson misses 2-pt shot from 1 ft
7:19.0,Defensive rebound by S. Livingston,,41-33,,
7:13.0,D. Green makes 2-pt shot from 2 ft (assist by S. Livingston),2,43-33,,
7:10.0,,,43-33,,New Orleans full timeout
7:10.0,,,43-33,,E. Gordon enters the game for J. Holiday
7:00.0,Shooting block foul by D. Green (drawn by A. Davis),,43-33,,
7:00.0,,,43-34,1,A. Davis makes free throw 1 of 2
7:00.0,,,43-35,1,A. Davis makes free throw 2 of 2
6:43.0,A. Iguodala misses 3-pt shot from 25 ft,,43-35,,
6:42.0,,,43-35,,Defensive rebound by R. Anderson
6:28.0,,,43-37,2,D. Cunningham makes 2-pt shot from 2 ft (assist by R. Anderson)
6:23.0,Golden State full timeout,,43-37,,
6:23.0,S. Curry enters the game for H. Barnes,,43-37,,
6:23.0,A. Bogut enters the game for A. Iguodala,,43-37,,
6:17.0,Turnover by S. Curry (bad pass; steal by T. Evans),,43-37,,
6:17.0,Personal foul by S. Livingston (drawn by T. Evans),,43-37,,
6:04.0,,,43-39,2,A. Davis makes 2-pt shot from 16 ft (assist by D. Cunningham)
5:51.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,46-39,,
5:28.0,,,46-42,3,E. Gordon makes 3-pt shot from 25 ft (assist by D. Cunningham)
5:12.0,K. Thompson makes 2-pt shot from 5 ft (assist by S. Curry),2,48-42,,
5:12.0,Shooting foul by T. Evans (drawn by K. Thompson),,48-42,,
5:12.0,,,48-42,,O. Asik enters the game for R. Anderson
5:12.0,K. Thompson makes free throw 1 of 1,1,49-42,,
4:57.0,,,49-42,,E. Gordon misses 3-pt shot from 25 ft
4:56.0,,,49-42,,Offensive rebound by O. Asik
4:50.0,,,49-42,,A. Davis misses 2-pt shot from 17 ft
4:48.0,Defensive rebound by S. Curry,,49-42,,
4:42.0,D. Green makes 2-pt shot from 2 ft (assist by S. Livingston),2,51-42,,
4:18.0,,,51-44,2,E. Gordon makes 2-pt shot from 18 ft (assist by O. Asik)
4:01.0,Shooting foul by O. Asik (drawn by D. Green),,51-44,,
4:01.0,D. Green misses free throw 1 of 2,,51-44,,
4:01.0,Offensive rebound by Team,,51-44,,
4:01.0,D. Green makes free throw 2 of 2,1,52-44,,
3:39.0,,,52-44,,O. Asik misses 2-pt shot from 3 ft
3:38.0,Defensive rebound by A. Bogut,,52-44,,
3:32.0,K. Thompson makes 2-pt shot from 2 ft,2,54-44,,
3:18.0,,,54-46,2,E. Gordon makes 2-pt shot from 2 ft
3:18.0,,,54-46,,Shooting foul by A. Bogut (drawn by E. Gordon)
3:18.0,F. Ezeli enters the game for A. Bogut,,54-46,,
3:18.0,,,54-46,,R. Anderson enters the game for O. Asik
3:18.0,,,54-47,1,E. Gordon makes free throw 1 of 1
3:04.0,F. Ezeli misses 2-pt shot from 2 ft (block by R. Anderson),,54-47,,
3:03.0,Offensive rebound by D. Green,,54-47,,
3:02.0,D. Green misses 2-pt shot from 3 ft (block by A. Davis),,54-47,,
3:01.0,Offensive rebound by S. Curry,,54-47,,
2:51.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,57-47,,
2:41.0,,,57-47,,E. Gordon misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by D. Green,,57-47,,
2:26.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,60-47,,
2:07.0,,,60-47,,Turnover by R. Anderson (lost ball; steal by S. Livingston)
2:01.0,K. Thompson misses 3-pt shot from 24 ft,,60-47,,
2:01.0,,,60-47,,Defensive rebound by Team
2:01.0,H. Barnes enters the game for F. Ezeli,,60-47,,
1:45.0,,,60-49,2,E. Gordon makes 2-pt shot from 14 ft
1:45.0,,,60-49,,Shooting foul by S. Curry (drawn by E. Gordon)
1:45.0,,,60-49,,Q. Pondexter enters the game for D. Cunningham
1:45.0,,,60-50,1,E. Gordon makes free throw 1 of 1
1:45.0,Golden State full timeout,,60-50,,
1:30.0,K. Thompson misses 2-pt shot from 18 ft,,60-50,,
1:28.0,Offensive rebound by D. Green,,60-50,,
1:20.0,K. Thompson makes 2-pt shot from 12 ft (assist by S. Livingston),2,62-50,,
0:58.0,,,62-52,2,T. Evans makes 2-pt shot from 1 ft
0:47.0,H. Barnes misses 2-pt shot from 1 ft,,62-52,,
0:46.0,Offensive rebound by D. Green,,62-52,,
0:46.0,D. Green makes 2-pt shot from 1 ft,2,64-52,,
0:29.0,,,64-54,2,A. Davis makes 2-pt shot from 15 ft (assist by E. Gordon)
0:08.0,S. Curry makes 3-pt shot from 26 ft,3,67-54,,
0:02.0,,,67-54,,T. Evans misses 2-pt shot from 1 ft (block by K. Thompson)
0:01.0,Defensive rebound by K. Thompson,,67-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,67-56,2,A. Davis makes 2-pt shot from 8 ft
11:26.0,K. Thompson misses 3-pt shot from 25 ft,,67-56,,
11:24.0,,,67-56,,Defensive rebound by A. Davis
11:05.0,,,67-56,,Turnover by E. Gordon (bad pass)
10:49.0,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry),2,69-56,,
10:35.0,,,69-58,2,E. Gordon makes 2-pt shot from 8 ft (assist by T. Evans)
10:26.0,Turnover by S. Curry (lost ball; steal by Q. Pondexter),,69-58,,
10:16.0,,,69-60,2,A. Davis makes 2-pt shot at rim (assist by E. Gordon)
10:01.0,Turnover by A. Bogut (lost ball; steal by T. Evans),,69-60,,
9:59.0,,,69-60,,Turnover by T. Evans (lost ball)
9:59.0,Golden State full timeout,,69-60,,
9:46.0,D. Green misses 2-pt shot from 2 ft (block by A. Davis),,69-60,,
9:45.0,,,69-60,,Defensive rebound by A. Davis
9:21.0,,,69-60,,E. Gordon misses 2-pt shot from 5 ft
9:20.0,Defensive rebound by K. Thompson,,69-60,,
9:07.0,D. Green misses 3-pt shot from 26 ft,,69-60,,
9:06.0,Offensive rebound by S. Curry,,69-60,,
9:06.0,,,69-60,,Personal foul by Q. Pondexter (drawn by S. Curry)
9:01.0,S. Curry makes 3-pt shot from 26 ft (assist by H. Barnes),3,72-60,,
8:45.0,,,72-60,,O. Asik misses 2-pt shot from 2 ft (block by A. Bogut)
8:44.0,Defensive rebound by H. Barnes,,72-60,,
8:35.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,74-60,,
8:22.0,Personal foul by S. Curry (drawn by T. Evans),,74-60,,
8:11.0,,,74-60,,T. Evans misses 2-pt shot from 2 ft (block by A. Bogut)
8:08.0,Defensive rebound by A. Bogut,,74-60,,
8:01.0,K. Thompson makes 2-pt shot from 2 ft,2,76-60,,
8:01.0,,,76-60,,New Orleans full timeout
8:01.0,,,76-60,,R. Anderson enters the game for O. Asik
7:35.0,,,76-60,,R. Anderson misses 3-pt shot from 26 ft
7:31.0,Defensive rebound by S. Curry,,76-60,,
7:14.0,S. Curry misses 2-pt shot from 11 ft,,76-60,,
7:12.0,,,76-60,,Defensive rebound by Q. Pondexter
7:02.0,,,76-60,,R. Anderson misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by H. Barnes,,76-60,,
6:53.0,S. Curry misses 2-pt shot from 3 ft (block by A. Davis),,76-60,,
6:52.0,,,76-60,,Defensive rebound by T. Evans
6:35.0,Personal block foul by S. Curry (drawn by E. Gordon),,76-60,,
6:35.0,,,76-60,,N. Cole enters the game for Q. Pondexter
6:27.0,,,76-60,,E. Gordon misses 2-pt shot from 2 ft (block by A. Bogut)
6:25.0,Defensive rebound by Team,,76-60,,
6:05.0,Shooting foul by N. Cole (drawn by S. Curry),,76-60,,
6:05.0,S. Curry makes free throw 1 of 2,1,77-60,,
6:05.0,S. Curry makes free throw 2 of 2,1,78-60,,
5:48.0,,,78-60,,Shooting foul by A. Bogut (drawn by A. Davis)
5:48.0,,,78-61,1,A. Davis makes free throw 1 of 2
5:48.0,A. Iguodala enters the game for A. Bogut,,78-61,,
5:48.0,,,78-62,1,A. Davis makes free throw 2 of 2
5:34.0,S. Curry makes 2-pt shot from 2 ft,2,80-62,,
5:20.0,,,80-62,,T. Evans misses 2-pt shot from 22 ft
5:18.0,Defensive rebound by H. Barnes,,80-62,,
5:14.0,Shooting foul by T. Evans (drawn by H. Barnes),,80-62,,
5:14.0,H. Barnes misses free throw 1 of 2,,80-62,,
5:14.0,Offensive rebound by Team,,80-62,,
5:14.0,,,80-62,,J. Holiday enters the game for T. Evans
5:14.0,H. Barnes misses free throw 2 of 2,,80-62,,
5:13.0,,,80-62,,Defensive rebound by Team
5:01.0,,,80-62,,E. Gordon misses 2-pt shot from 17 ft
4:59.0,Defensive rebound by H. Barnes,,80-62,,
4:37.0,K. Thompson makes 3-pt shot from 28 ft (assist by H. Barnes),3,83-62,,
4:13.0,,,83-62,,R. Anderson misses 2-pt shot from 2 ft
4:12.0,Defensive rebound by D. Green,,83-62,,
4:09.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,85-62,,
4:09.0,,,85-62,,New Orleans full timeout
4:09.0,S. Livingston enters the game for S. Curry,,85-62,,
3:54.0,,,85-62,,Shooting foul by D. Green (drawn by A. Davis)
3:54.0,,,85-62,,A. Davis misses free throw 1 of 2
3:54.0,,,85-62,,Offensive rebound by Team
3:54.0,,,85-63,1,A. Davis makes free throw 2 of 2
3:35.0,K. Thompson misses 2-pt shot from 14 ft,,85-63,,
3:33.0,,,85-63,,Defensive rebound by A. Davis
3:19.0,,,85-63,,J. Holiday misses 2-pt shot from 13 ft
3:18.0,Defensive rebound by D. Green,,85-63,,
3:03.0,H. Barnes makes 2-pt shot at rim (assist by D. Green),2,87-63,,
2:51.0,,,87-63,,N. Cole misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by D. Green,,87-63,,
2:38.0,K. Thompson misses 2-pt shot from 18 ft,,87-63,,
2:36.0,Offensive rebound by H. Barnes,,87-63,,
2:31.0,A. Iguodala misses 2-pt shot from 13 ft,,87-63,,
2:30.0,,,87-63,,Defensive rebound by E. Gordon
2:20.0,,,87-65,2,A. Davis makes 2-pt shot from 16 ft (assist by E. Gordon)
2:02.0,Turnover by D. Green (offensive foul),,87-65,,
2:02.0,Offensive foul by D. Green,,87-65,,
2:02.0,,,87-65,,D. Cunningham enters the game for E. Gordon
1:55.0,,,87-65,,Offensive foul by N. Cole
1:55.0,,,87-65,,Turnover by N. Cole (offensive foul)
1:55.0,F. Ezeli enters the game for D. Green,,87-65,,
1:31.0,H. Barnes misses 2-pt shot from 14 ft,,87-65,,
1:29.0,,,87-65,,Defensive rebound by D. Cunningham
1:15.0,,,87-67,2,D. Cunningham makes 2-pt shot from 16 ft (assist by A. Davis)
0:55.0,F. Ezeli misses 2-pt shot from 2 ft (block by R. Anderson),,87-67,,
0:53.0,Offensive rebound by F. Ezeli,,87-67,,
0:51.0,Shooting foul by D. Cunningham (drawn by F. Ezeli),,87-67,,
0:51.0,F. Ezeli misses free throw 1 of 2,,87-67,,
0:51.0,Offensive rebound by Team,,87-67,,
0:51.0,,,87-67,,Q. Pondexter enters the game for A. Davis
0:51.0,F. Ezeli makes free throw 2 of 2,1,88-67,,
0:39.0,,,88-67,,N. Cole misses 3-pt shot from 28 ft
0:37.0,Defensive rebound by H. Barnes,,88-67,,
0:29.0,S. Livingston misses 2-pt shot from 14 ft,,88-67,,
0:27.0,,,88-67,,Defensive rebound by Team
0:07.0,,,88-67,,Q. Pondexter misses 2-pt shot from 21 ft
0:06.0,Defensive rebound by A. Iguodala,,88-67,,
0:01.0,A. Iguodala misses 3-pt shot from 25 ft,,88-67,,
0:00.0,,,88-67,,Defensive rebound by R. Anderson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,S. Curry misses 2-pt shot from 17 ft,,88-67,,
11:45.0,,,88-67,,Defensive rebound by D. Cunningham
11:35.0,,,88-69,2,J. Holiday makes 2-pt shot from 15 ft
11:12.0,M. Speights misses 2-pt shot from 17 ft,,88-69,,
11:11.0,,,88-69,,Defensive rebound by D. Cunningham
11:01.0,,,88-72,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Holiday)
10:45.0,Turnover by S. Curry (bad pass),,88-72,,
10:45.0,L. Barbosa enters the game for S. Livingston,,88-72,,
10:32.0,Personal foul by A. Iguodala (drawn by R. Anderson),,88-72,,
10:32.0,D. Green enters the game for M. Speights,,88-72,,
10:27.0,,,88-72,,Shooting foul by D. Green (drawn by D. Cunningham)
10:27.0,,,88-73,1,D. Cunningham makes free throw 1 of 2
10:27.0,,,88-74,1,D. Cunningham makes free throw 2 of 2
10:20.0,Offensive foul by S. Curry,,88-74,,
10:20.0,Turnover by S. Curry (offensive foul),,88-74,,
10:06.0,,,88-76,2,R. Anderson makes 2-pt shot from 16 ft (assist by J. Holiday)
10:04.0,Golden State full timeout,,88-76,,
9:45.0,L. Barbosa makes 2-pt shot from 4 ft (assist by D. Green),2,90-76,,
9:20.0,,,90-76,,Q. Pondexter misses 2-pt shot from 2 ft (block by D. Green)
9:20.0,,,90-76,,Offensive rebound by Team
9:20.0,,,90-76,,Turnover by Team (shot clock)
9:05.0,Shooting foul by D. Cunningham (drawn by S. Curry),,90-76,,
9:05.0,S. Curry makes free throw 1 of 2,1,91-76,,
9:05.0,,,91-76,,A. Davis enters the game for Q. Pondexter
9:05.0,S. Curry makes free throw 2 of 2,1,92-76,,
8:46.0,A. Bogut enters the game for H. Barnes,,92-76,,
8:46.0,Jump ball: N. Cole vs. D. Green (A. Iguodala gains possession),,,,Jump ball: N. Cole vs. D. Green (A. Iguodala gains possession)
8:46.0,,,92-76,,Turnover by N. Cole (lost ball; steal by D. Green)
8:26.0,Turnover by L. Barbosa (lost ball; steal by J. Holiday),,92-76,,
8:11.0,,,92-76,,J. Holiday misses 3-pt shot from 26 ft
8:10.0,,,92-76,,Offensive rebound by D. Cunningham
8:10.0,,,92-78,2,D. Cunningham makes 2-pt shot from 2 ft
7:55.0,S. Curry makes 3-pt shot from 25 ft,3,95-78,,
7:46.0,Personal foul by A. Bogut (drawn by D. Cunningham),,95-78,,
7:46.0,K. Thompson enters the game for L. Barbosa,,95-78,,
7:46.0,,,95-78,,E. Gordon enters the game for J. Holiday
7:46.0,,,95-78,,T. Evans enters the game for N. Cole
7:36.0,,,95-80,2,E. Gordon makes 2-pt shot from 2 ft
7:16.0,S. Curry misses 3-pt shot from 25 ft,,95-80,,
7:12.0,Offensive rebound by S. Curry,,95-80,,
6:58.0,K. Thompson misses 2-pt shot from 10 ft,,95-80,,
6:57.0,,,95-80,,Defensive rebound by D. Cunningham
6:45.0,,,95-82,2,A. Davis makes 2-pt shot from 16 ft (assist by T. Evans)
6:16.0,K. Thompson misses 2-pt shot from 17 ft,,95-82,,
6:15.0,,,95-82,,Defensive rebound by A. Davis
6:01.0,,,95-85,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
6:00.0,Golden State full timeout,,95-85,,
6:00.0,H. Barnes enters the game for A. Iguodala,,95-85,,
5:37.0,S. Curry makes 2-pt shot from 18 ft,2,97-85,,
5:18.0,,,97-85,,E. Gordon misses 3-pt shot from 27 ft
5:17.0,Defensive rebound by D. Green,,97-85,,
5:09.0,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry),2,99-85,,
4:44.0,,,99-87,2,T. Evans makes 2-pt shot from 2 ft (assist by R. Anderson)
4:33.0,Turnover by D. Green (traveling),,99-87,,
4:22.0,,,99-87,,T. Evans misses 3-pt shot from 26 ft
4:21.0,Defensive rebound by Team,,99-87,,
4:05.0,K. Thompson misses 3-pt shot from 25 ft,,99-87,,
4:03.0,,,99-87,,Defensive rebound by A. Davis
3:53.0,,,99-89,2,A. Davis makes 2-pt shot from 13 ft (assist by T. Evans)
3:37.0,S. Curry makes 2-pt shot from 22 ft,2,101-89,,
3:15.0,,,101-89,,Turnover by T. Evans (offensive foul)
3:15.0,,,101-89,,Offensive charge foul by T. Evans
2:55.0,,,101-89,,Personal foul by R. Anderson (drawn by S. Curry)
2:55.0,Official timeout,,101-89,,
2:47.0,S. Curry misses 2-pt shot from 21 ft,,101-89,,
2:46.0,,,101-89,,Defensive rebound by D. Cunningham
2:31.0,,,101-92,3,E. Gordon makes 3-pt shot from 25 ft (assist by R. Anderson)
2:09.0,D. Green misses 3-pt shot from 26 ft,,101-92,,
2:06.0,,,101-92,,Defensive rebound by E. Gordon
1:49.0,,,101-94,2,A. Davis makes 2-pt shot from 2 ft
1:32.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,103-94,,
1:32.0,,,103-94,,New Orleans full timeout
1:32.0,A. Iguodala enters the game for A. Bogut,,103-94,,
1:17.0,,,103-94,,E. Gordon misses 3-pt shot from 25 ft
1:16.0,,,103-94,,Offensive rebound by D. Cunningham
1:16.0,,,103-96,2,D. Cunningham makes 2-pt shot at rim
1:00.0,K. Thompson makes 3-pt shot from 26 ft (assist by H. Barnes),3,106-96,,
0:45.0,,,106-98,2,A. Davis makes 2-pt shot from 6 ft (assist by R. Anderson)
0:39.0,,,106-98,,Personal take foul by E. Gordon (drawn by S. Curry)
0:39.0,,,106-98,,Personal take foul by E. Gordon (drawn by S. Curry)
0:39.0,S. Curry makes free throw 1 of 2,1,107-98,,
0:39.0,S. Curry makes free throw 2 of 2,1,108-98,,
0:39.0,,,108-98,,New Orleans full timeout
0:39.0,,,108-98,,N. Cole enters the game for D. Cunningham
0:29.0,,,108-98,,T. Evans misses 3-pt shot from 25 ft
0:26.0,,,108-98,,Offensive rebound by E. Gordon
0:22.0,,,108-98,,A. Davis misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by S. Curry,,108-98,,
0:21.0,,,108-98,,Personal take foul by T. Evans (drawn by S. Curry)
0:21.0,S. Curry misses free throw 1 of 2,,108-98,,
0:21.0,Offensive rebound by Team,,108-98,,
0:21.0,S. Curry makes free throw 2 of 2,1,109-98,,
0:15.0,,,109-98,,N. Cole misses 3-pt shot from 26 ft
0:14.0,Defensive rebound by K. Thompson,,109-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
