time,LA Lakers,pts.away,score,pts.home,Portland
5:20.0,,,35-46,,Defensive rebound by R. Lopez
5:11.0,,,35-46,,T. Robinson misses 2-pt shot from 17 ft
5:11.0,Defensive rebound by E. Davis,,35-46,,
5:03.0,W. Ellington misses 2-pt shot from 2 ft,,35-46,,
5:01.0,Offensive rebound by E. Davis,,35-46,,
4:59.0,E. Davis makes 2-pt shot from 3 ft,2,37-46,,
4:40.0,,,37-46,,Shooting foul by J. Clarkson (drawn by R. Lopez)
4:40.0,Official timeout,,37-46,,
4:40.0,T. Black enters the game for E. Davis,,37-46,,
4:40.0,R. Kelly enters the game for W. Johnson,,37-46,,
4:40.0,,,37-47,1,R. Lopez makes free throw 1 of 2
4:40.0,,,37-48,1,R. Lopez makes free throw 2 of 2
4:19.0,R. Sacre misses 2-pt shot from 2 ft,,37-48,,
4:18.0,,,37-48,,Offensive rebound by Team
4:18.0,,,37-48,,L. Aldridge enters the game for R. Lopez
4:18.0,,,37-48,,W. Matthews enters the game for C. McCollum
4:18.0,Jump ball: T. Black vs. T. Robinson (W. Matthews gains possession),,,,Jump ball: T. Black vs. T. Robinson (W. Matthews gains possession)
4:02.0,,,37-48,,L. Aldridge misses 2-pt shot from 19 ft
4:00.0,,,37-48,,Offensive rebound by T. Robinson
3:56.0,,,37-48,,W. Matthews misses 3-pt shot from 26 ft
3:55.0,Defensive rebound by T. Black,,37-48,,
3:47.0,J. Clarkson misses 2-pt shot from 2 ft (block by L. Aldridge),,37-48,,
3:47.0,Offensive rebound by Team,,37-48,,
3:42.0,W. Ellington makes 2-pt shot from 20 ft,2,39-48,,
3:16.0,,,39-50,2,N. Batum makes 2-pt shot from 19 ft (assist by L. Aldridge)
2:51.0,J. Clarkson misses 3-pt shot from 24 ft,,39-50,,
2:49.0,Offensive rebound by R. Sacre,,39-50,,
2:45.0,R. Kelly makes 3-pt shot from 24 ft (assist by R. Sacre),3,42-50,,
2:26.0,,,42-50,,N. Batum misses 3-pt shot from 22 ft
2:25.0,Defensive rebound by W. Ellington,,42-50,,
2:18.0,Shooting foul by W. Matthews (drawn by W. Ellington),,42-50,,
2:18.0,LA Lakers full timeout,,42-50,,
2:18.0,W. Ellington makes free throw 1 of 2,1,43-50,,
2:18.0,W. Ellington makes free throw 2 of 2,1,44-50,,
2:02.0,,,44-52,2,T. Robinson makes 2-pt shot from 3 ft (assist by W. Matthews)
1:47.0,Turnover by R. Kelly (lost ball; steal by D. Lillard),,44-52,,
1:25.0,,,44-52,,W. Matthews misses 3-pt shot from 24 ft
1:23.0,,,44-52,,Offensive rebound by W. Matthews
1:10.0,,,44-52,,W. Matthews misses 2-pt shot from 1 ft
1:08.0,,,44-52,,Offensive rebound by T. Robinson
1:08.0,,,44-54,2,T. Robinson makes 2-pt shot from 1 ft
0:55.0,J. Clarkson makes 2-pt shot from 22 ft (assist by R. Sacre),2,46-54,,
0:33.0,,,46-54,,L. Aldridge misses 2-pt shot from 14 ft
0:32.0,Defensive rebound by J. Clarkson,,46-54,,
0:13.0,J. Clarkson misses 2-pt shot from 3 ft,,46-54,,
0:11.0,,,46-54,,Defensive rebound by T. Robinson
0:03.0,Personal take foul by R. Sacre (drawn by N. Batum),,46-54,,
0:03.0,,,46-54,,Portland full timeout
0:03.0,W. Johnson enters the game for J. Clarkson,,46-54,,
0:00.0,,,46-54,,L. Aldridge misses 2-pt shot from 17 ft
0:00.0,,,46-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,R. Sacre makes 2-pt shot from 15 ft,2,48-54,,
11:25.0,,,48-54,,Shooting foul by R. Sacre (drawn by L. Aldridge)
11:25.0,,,48-55,1,L. Aldridge makes free throw 1 of 2
11:25.0,,,48-56,1,L. Aldridge makes free throw 2 of 2
11:13.0,J. Clarkson misses 3-pt shot from 23 ft,,48-56,,
11:13.0,,,48-56,,Defensive rebound by N. Batum
11:07.0,,,48-58,2,D. Lillard makes 2-pt shot at rim
10:54.0,J. Clarkson makes 2-pt shot from 3 ft,2,50-58,,
10:45.0,,,50-58,,D. Lillard misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by T. Black,,50-58,,
10:27.0,W. Ellington misses 2-pt shot from 21 ft,,50-58,,
10:26.0,,,50-58,,Defensive rebound by N. Batum
10:18.0,,,50-58,,L. Aldridge misses 2-pt shot from 20 ft
10:17.0,Defensive rebound by W. Ellington,,50-58,,
10:01.0,R. Kelly misses 2-pt shot from 15 ft,,50-58,,
10:00.0,,,50-58,,Defensive rebound by R. Lopez
9:50.0,,,50-58,,D. Lillard misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by T. Black,,50-58,,
9:40.0,J. Clarkson misses 2-pt shot from 16 ft,,50-58,,
9:40.0,,,50-58,,Defensive rebound by L. Aldridge
9:17.0,,,50-58,,L. Aldridge misses 2-pt shot from 13 ft
9:16.0,Defensive rebound by R. Kelly,,50-58,,
9:07.0,R. Sacre misses 2-pt shot from 16 ft,,50-58,,
9:06.0,,,50-58,,Defensive rebound by N. Batum
9:00.0,,,50-60,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Lillard)
8:52.0,Turnover by W. Ellington (lost ball; steal by W. Matthews),,50-60,,
8:47.0,,,50-62,2,D. Lillard makes 2-pt shot at rim (assist by W. Matthews)
8:25.0,J. Clarkson misses 2-pt shot from 21 ft,,50-62,,
8:25.0,,,50-62,,Defensive rebound by Team
8:25.0,Loose ball foul by T. Black (drawn by L. Aldridge),,50-62,,
8:10.0,,,50-64,2,W. Matthews makes 2-pt shot from 16 ft
7:56.0,Turnover by W. Ellington (bad pass; steal by L. Aldridge),,50-64,,
7:54.0,Personal foul by R. Kelly (drawn by L. Aldridge),,50-64,,
7:53.0,,,50-66,2,W. Matthews makes 2-pt shot from 1 ft (assist by N. Batum)
7:53.0,,,50-66,,Shooting foul by W. Ellington (drawn by W. Matthews)
7:53.0,,,50-67,1,W. Matthews makes free throw 1 of 1
7:36.0,Offensive foul by W. Ellington,,50-67,,
7:36.0,Turnover by W. Ellington (offensive foul),,50-67,,
7:21.0,,,50-67,,W. Matthews misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by J. Clarkson,,50-67,,
7:15.0,Shooting foul by D. Lillard (drawn by J. Clarkson),,50-67,,
7:15.0,J. Clarkson makes free throw 1 of 2,1,51-67,,
7:15.0,J. Clarkson makes free throw 2 of 2,1,52-67,,
6:54.0,,,52-69,2,R. Lopez makes 2-pt shot from 2 ft (assist by D. Lillard)
6:54.0,,,52-69,,Shooting foul by T. Black (drawn by R. Lopez)
6:54.0,,,52-70,1,R. Lopez makes free throw 1 of 1
6:42.0,R. Sacre misses 2-pt shot from 19 ft,,52-70,,
6:40.0,Offensive rebound by T. Black,,52-70,,
6:33.0,W. Ellington makes 2-pt shot from 21 ft (assist by T. Black),2,54-70,,
6:15.0,,,54-72,2,R. Lopez makes 2-pt shot from 5 ft (assist by D. Lillard)
6:00.0,R. Sacre makes 2-pt shot at rim,2,56-72,,
5:43.0,,,56-75,3,W. Matthews makes 3-pt shot from 24 ft (assist by N. Batum)
5:32.0,J. Clarkson misses 2-pt shot from 3 ft (block by R. Lopez),,56-75,,
5:31.0,,,56-75,,Defensive rebound by R. Lopez
5:25.0,,,56-77,2,L. Aldridge makes 2-pt shot at rim (assist by D. Lillard)
5:24.0,LA Lakers full timeout,,56-77,,
5:24.0,N. Young enters the game for R. Kelly,,56-77,,
5:24.0,J. Lin enters the game for T. Black,,56-77,,
5:24.0,E. Davis enters the game for R. Sacre,,56-77,,
5:24.0,W. Johnson enters the game for W. Ellington,,56-77,,
5:24.0,C. Boozer enters the game for J. Clarkson,,56-77,,
5:24.0,,,56-77,,M. Leonard enters the game for R. Lopez
5:24.0,,,56-77,,S. Blake enters the game for W. Matthews
5:01.0,Shooting foul by D. Lillard (drawn by J. Lin),,56-77,,
5:01.0,J. Lin makes free throw 1 of 2,1,57-77,,
5:01.0,J. Lin makes free throw 2 of 2,1,58-77,,
4:48.0,,,58-77,,N. Batum misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by J. Lin,,58-77,,
4:34.0,C. Boozer misses 2-pt shot from 18 ft,,58-77,,
4:33.0,,,58-77,,Defensive rebound by S. Blake
4:28.0,,,58-79,2,L. Aldridge makes 2-pt shot from 1 ft (assist by S. Blake)
4:10.0,N. Young misses 2-pt shot from 19 ft,,58-79,,
4:09.0,,,58-79,,Defensive rebound by M. Leonard
4:00.0,,,58-81,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard)
3:28.0,N. Young makes 2-pt shot from 2 ft,2,60-81,,
3:12.0,,,60-81,,L. Aldridge misses 2-pt shot from 20 ft
3:10.0,,,60-81,,Offensive rebound by N. Batum
3:07.0,,,60-81,,Turnover by N. Batum (bad pass; steal by E. Davis)
2:59.0,N. Young misses 3-pt shot from 24 ft,,60-81,,
2:59.0,,,60-81,,Defensive rebound by L. Aldridge
2:45.0,,,60-83,2,L. Aldridge makes 2-pt shot from 16 ft
2:30.0,W. Johnson makes 3-pt shot from 24 ft (assist by J. Lin),3,63-83,,
2:18.0,,,63-83,,Turnover by S. Blake (bad pass)
2:18.0,,,63-83,,Portland full timeout
2:18.0,,,63-83,,C. McCollum enters the game for D. Lillard
2:18.0,,,63-83,,W. Matthews enters the game for N. Batum
2:05.0,W. Johnson makes 2-pt shot from 6 ft (assist by E. Davis),2,65-83,,
