time,Denver,pts.away,score,pts.home,Atlanta
3:41.0,,,15-21,,Offensive rebound by Team
3:41.0,,,15-21,,D. Schroder enters the game for J. Teague
3:41.0,,,15-21,,P. Millsap misses free throw 2 of 2
3:40.0,,,15-21,,Offensive rebound by Team
3:38.0,Personal foul by A. Afflalo (drawn by K. Korver),,15-21,,
3:31.0,,,15-21,,K. Korver misses 2-pt shot from 22 ft
3:30.0,Defensive rebound by J. Hickson,,15-21,,
3:16.0,J. Hickson makes 2-pt shot from 4 ft (assist by D. Arthur),2,17-21,,
3:00.0,,,17-21,,P. Millsap misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by A. Afflalo,,17-21,,
2:51.0,D. Arthur misses 2-pt shot from 19 ft,,17-21,,
2:49.0,,,17-21,,Defensive rebound by T. Sefolosha
2:45.0,,,17-21,,Atlanta full timeout
2:45.0,,,17-21,,M. Scott enters the game for P. Millsap
2:45.0,,,17-21,,S. Mack enters the game for K. Korver
2:45.0,G. Harris enters the game for A. Afflalo,,17-21,,
2:30.0,,,17-21,,P. Antic misses 3-pt shot from 23 ft
2:29.0,Defensive rebound by J. Hickson,,17-21,,
2:26.0,Shooting foul by T. Sefolosha (drawn by T. Lawson),,17-21,,
2:26.0,T. Lawson makes free throw 1 of 2,1,18-21,,
2:26.0,T. Lawson makes free throw 2 of 2,1,19-21,,
2:01.0,,,19-23,2,P. Antic makes 2-pt shot from 14 ft (assist by S. Mack)
1:46.0,J. Hickson misses 2-pt shot from 9 ft,,19-23,,
1:45.0,,,19-23,,Defensive rebound by P. Antic
1:31.0,,,19-26,3,M. Scott makes 3-pt shot from 24 ft (assist by S. Mack)
1:08.0,D. Arthur misses 3-pt shot from 23 ft,,19-26,,
1:07.0,,,19-26,,Defensive rebound by P. Antic
0:52.0,,,19-28,2,P. Antic makes 2-pt shot from 17 ft (assist by S. Mack)
0:40.0,D. Arthur misses 3-pt shot from 24 ft,,19-28,,
0:39.0,,,19-28,,Defensive rebound by D. Schroder
0:39.0,Personal foul by J. Hickson (drawn by D. Schroder),,19-28,,
0:39.0,,,19-29,1,D. Schroder makes free throw 1 of 2
0:39.0,T. Mozgov enters the game for J. Hickson,,19-29,,
0:39.0,,,19-30,1,D. Schroder makes free throw 2 of 2
0:31.0,D. Arthur makes 2-pt shot from 17 ft (assist by T. Lawson),2,21-30,,
0:11.0,,,21-30,,T. Sefolosha misses 3-pt shot from 23 ft
0:09.0,,,21-30,,Offensive rebound by D. Schroder
0:05.0,,,21-30,,D. Schroder misses 2-pt shot from 2 ft
0:05.0,,,21-30,,Offensive rebound by Team
0:05.0,,,21-30,,K. Korver enters the game for D. Schroder
0:04.0,,,21-32,2,K. Korver makes 2-pt shot from 1 ft (assist by S. Mack)
0:00.0,T. Lawson misses 3-pt shot from 36 ft,,21-32,,
0:00.0,Offensive rebound by Team,,21-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Gallinari misses 2-pt shot from 22 ft,,21-32,,
11:38.0,,,21-32,,Defensive rebound by A. Horford
11:26.0,Personal foul by E. Green (drawn by D. Schroder),,21-32,,
11:17.0,,,21-32,,M. Scott misses 2-pt shot from 20 ft
11:15.0,Defensive rebound by T. Mozgov,,21-32,,
11:02.0,D. Gallinari misses 2-pt shot from 14 ft,,21-32,,
10:59.0,Offensive rebound by G. Harris,,21-32,,
10:59.0,Shooting foul by M. Scott (drawn by G. Harris),,21-32,,
10:59.0,G. Harris misses free throw 1 of 2,,21-32,,
10:59.0,Offensive rebound by Team,,21-32,,
10:59.0,G. Harris makes free throw 2 of 2,1,22-32,,
10:36.0,,,22-32,,M. Scott misses 2-pt shot from 14 ft
10:34.0,Defensive rebound by T. Mozgov,,22-32,,
10:16.0,D. Gallinari misses 3-pt shot from 24 ft,,22-32,,
10:15.0,,,22-32,,Defensive rebound by S. Mack
10:10.0,,,22-34,2,S. Mack makes 2-pt shot from 1 ft
9:55.0,,,22-34,,K. Korver enters the game for T. Sefolosha
9:46.0,G. Harris misses 2-pt shot from 13 ft,,22-34,,
9:43.0,,,22-34,,Defensive rebound by S. Mack
9:38.0,,,22-36,2,D. Schroder makes 2-pt shot from 2 ft
9:14.0,G. Harris misses 3-pt shot from 26 ft,,22-36,,
9:14.0,,,22-36,,Defensive rebound by Team
8:56.0,,,22-38,2,A. Horford makes 2-pt shot from 17 ft (assist by M. Scott)
8:49.0,Denver full timeout,,22-38,,
8:49.0,,,22-38,,D. Carroll enters the game for S. Mack
8:49.0,J. Hickson enters the game for D. Gallinari,,22-38,,
8:49.0,W. Chandler enters the game for D. Arthur,,22-38,,
8:49.0,A. Afflalo enters the game for G. Harris,,22-38,,
8:49.0,T. Lawson enters the game for E. Green,,22-38,,
8:40.0,J. Hickson misses 2-pt shot from 11 ft,,22-38,,
8:40.0,,,22-38,,Defensive rebound by Team
8:40.0,Loose ball foul by T. Mozgov (drawn by D. Carroll),,22-38,,
8:24.0,,,22-38,,D. Carroll misses 2-pt shot from 9 ft
8:23.0,Defensive rebound by T. Mozgov,,22-38,,
8:14.0,,,22-38,,Def 3 sec tech foul by M. Scott
8:14.0,A. Afflalo misses technical free throw,,22-38,,
8:14.0,Offensive rebound by Team,,22-38,,
8:06.0,T. Lawson misses 3-pt shot from 27 ft,,22-38,,
8:05.0,Offensive rebound by J. Hickson,,22-38,,
7:55.0,T. Lawson makes 2-pt shot from 4 ft,2,24-38,,
7:35.0,,,24-38,,A. Horford misses 3-pt shot from 23 ft
7:34.0,,,24-38,,Offensive rebound by D. Carroll
7:30.0,,,24-41,3,D. Schroder makes 3-pt shot from 25 ft (assist by K. Korver)
7:14.0,T. Mozgov makes 2-pt shot from 3 ft (assist by T. Lawson),2,26-41,,
6:50.0,,,26-41,,D. Schroder misses 2-pt shot from 19 ft
6:48.0,Defensive rebound by J. Hickson,,26-41,,
6:38.0,A. Afflalo misses 2-pt shot from 15 ft,,26-41,,
6:36.0,,,26-41,,Defensive rebound by D. Schroder
6:26.0,,,26-41,,K. Korver misses 2-pt shot from 1 ft
6:22.0,Defensive rebound by T. Lawson,,26-41,,
6:05.0,A. Afflalo misses 3-pt shot from 24 ft,,26-41,,
6:05.0,Offensive rebound by Team,,26-41,,
6:05.0,,,26-41,,Personal foul by A. Horford (drawn by T. Mozgov)
6:05.0,,,26-41,,J. Teague enters the game for D. Schroder
5:58.0,Turnover by T. Lawson (lost ball; steal by M. Scott),,26-41,,
5:54.0,,,26-43,2,J. Teague makes 2-pt shot from 1 ft (assist by M. Scott)
5:30.0,W. Chandler misses 3-pt shot from 23 ft,,26-43,,
5:26.0,,,26-43,,Defensive rebound by K. Korver
5:13.0,,,26-43,,Shooting foul by T. Mozgov (drawn by M. Scott)
5:13.0,Official timeout,,26-43,,
5:13.0,A. Gee enters the game for J. Hickson,,26-43,,
5:13.0,,,26-44,1,M. Scott makes free throw 1 of 2
5:13.0,,,26-45,1,M. Scott makes free throw 2 of 2
4:59.0,A. Gee makes 2-pt shot at rim,2,28-45,,
4:44.0,,,28-47,2,M. Scott makes 2-pt shot from 8 ft
4:23.0,W. Chandler makes 2-pt shot from 9 ft (assist by T. Lawson),2,30-47,,
4:12.0,,,30-47,,J. Teague misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by T. Mozgov,,30-47,,
3:59.0,Shooting foul by D. Carroll (drawn by T. Mozgov),,30-47,,
3:59.0,T. Mozgov makes free throw 1 of 2,1,31-47,,
3:59.0,,,31-47,,P. Millsap enters the game for A. Horford
3:59.0,,,31-47,,P. Antic enters the game for M. Scott
3:59.0,T. Mozgov makes free throw 2 of 2,1,32-47,,
3:45.0,,,32-47,,Shooting foul by A. Afflalo (drawn by D. Carroll)
3:45.0,,,32-48,1,D. Carroll makes free throw 1 of 2
3:45.0,,,32-48,,D. Carroll misses free throw 2 of 2
3:44.0,Defensive rebound by T. Mozgov,,32-48,,
3:29.0,W. Chandler makes 2-pt shot from 1 ft,2,34-48,,
3:17.0,,,34-48,,J. Teague misses 2-pt shot from 9 ft
3:15.0,Defensive rebound by T. Mozgov,,34-48,,
3:06.0,T. Mozgov makes 2-pt shot from 16 ft (assist by A. Gee),2,36-48,,
2:59.0,,,36-48,,Atlanta full timeout
2:44.0,,,36-48,,P. Millsap misses 2-pt shot from 10 ft
2:43.0,Defensive rebound by W. Chandler,,36-48,,
2:37.0,Turnover by W. Chandler (lost ball; steal by P. Millsap),,36-48,,
2:37.0,,,36-48,,Atlanta full timeout
2:24.0,,,36-48,,K. Korver misses 3-pt shot from 25 ft
2:24.0,,,36-48,,Offensive rebound by Team
2:24.0,Loose ball foul by T. Mozgov (drawn by P. Antic),,36-48,,
2:24.0,,,36-49,1,P. Antic makes free throw 1 of 2
2:24.0,J. Hickson enters the game for T. Mozgov,,36-49,,
2:24.0,,,36-49,,K. Bazemore enters the game for K. Korver
2:24.0,,,36-49,,P. Antic misses free throw 2 of 2
2:23.0,Defensive rebound by J. Hickson,,36-49,,
2:10.0,Turnover by A. Gee (bad pass; steal by P. Millsap),,36-49,,
2:10.0,Personal foul by A. Gee (drawn by P. Millsap),,36-49,,
2:10.0,,,36-50,1,P. Millsap makes free throw 1 of 2
2:10.0,,,36-51,1,P. Millsap makes free throw 2 of 2
2:00.0,W. Chandler misses 3-pt shot from 25 ft,,36-51,,
1:59.0,,,36-51,,Defensive rebound by Team
1:46.0,,,36-51,,Turnover by K. Bazemore (step out of bounds)
1:29.0,A. Afflalo misses 2-pt shot from 16 ft,,36-51,,
1:28.0,,,36-51,,Defensive rebound by J. Teague
1:13.0,,,36-53,2,J. Teague makes 2-pt shot from 3 ft
0:57.0,W. Chandler misses 2-pt shot from 7 ft,,36-53,,
0:57.0,,,36-53,,Defensive rebound by Team
0:57.0,Loose ball foul by J. Hickson (drawn by P. Millsap),,36-53,,
0:57.0,,,36-54,1,P. Millsap makes free throw 1 of 2
0:57.0,D. Arthur enters the game for J. Hickson,,36-54,,
0:57.0,,,36-55,1,P. Millsap makes free throw 2 of 2
0:36.0,T. Lawson misses 3-pt shot from 24 ft,,36-55,,
0:34.0,,,36-55,,Defensive rebound by K. Bazemore
0:28.0,,,36-55,,D. Carroll misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by A. Gee,,36-55,,
0:07.0,W. Chandler misses 3-pt shot from 25 ft,,36-55,,
0:05.0,,,36-55,,Defensive rebound by P. Antic
0:00.0,,,36-57,2,D. Carroll makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,A. Afflalo misses 3-pt shot from 25 ft,,36-57,,
11:46.0,,,36-57,,Defensive rebound by A. Horford
11:37.0,,,36-60,3,P. Millsap makes 3-pt shot from 23 ft (assist by A. Horford)
11:26.0,Shooting foul by K. Korver (drawn by J. Hickson),,36-60,,
11:26.0,J. Hickson makes free throw 1 of 2,1,37-60,,
11:26.0,J. Hickson makes free throw 2 of 2,1,38-60,,
11:24.0,,,38-60,,D. Carroll misses 2-pt shot from 1 ft
11:23.0,,,38-60,,Offensive rebound by D. Carroll
11:14.0,,,38-60,,Shooting foul by J. Hickson (drawn by P. Millsap)
11:14.0,,,38-61,1,P. Millsap makes free throw 1 of 2
11:14.0,D. Arthur enters the game for J. Hickson,,38-61,,
11:14.0,,,38-62,1,P. Millsap makes free throw 2 of 2
10:54.0,Turnover by W. Chandler (lost ball; steal by D. Carroll),,38-62,,
10:53.0,,,38-62,,Turnover by P. Millsap (bad pass)
10:35.0,W. Chandler makes 2-pt shot from 2 ft (assist by A. Afflalo),2,40-62,,
10:19.0,,,40-62,,J. Teague misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by Team,,40-62,,
10:12.0,W. Chandler misses 3-pt shot from 23 ft,,40-62,,
10:10.0,Offensive rebound by T. Mozgov,,40-62,,
10:06.0,A. Afflalo misses 3-pt shot from 25 ft,,40-62,,
10:05.0,,,40-62,,Defensive rebound by D. Carroll
9:40.0,,,40-62,,J. Teague misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by D. Arthur,,40-62,,
9:27.0,W. Chandler makes 2-pt shot from 13 ft (assist by A. Afflalo),2,42-62,,
9:13.0,,,42-62,,P. Millsap misses 2-pt shot from 7 ft
9:11.0,,,42-62,,Offensive rebound by D. Carroll
9:09.0,,,42-62,,D. Carroll misses 2-pt shot from 2 ft (block by T. Mozgov)
9:08.0,Defensive rebound by A. Afflalo,,42-62,,
9:05.0,A. Afflalo misses 2-pt shot at rim,,42-62,,
9:04.0,,,42-62,,Defensive rebound by A. Horford
8:56.0,,,42-64,2,D. Carroll makes 2-pt shot from 1 ft (assist by A. Horford)
8:42.0,W. Chandler makes 3-pt shot from 24 ft (assist by D. Arthur),3,45-64,,
8:16.0,,,45-64,,D. Carroll misses 2-pt shot from 15 ft
8:13.0,Defensive rebound by T. Lawson,,45-64,,
8:03.0,D. Arthur misses 2-pt shot from 20 ft,,45-64,,
8:02.0,,,45-64,,Defensive rebound by D. Carroll
7:55.0,,,45-64,,A. Horford misses 2-pt shot from 19 ft
7:53.0,Defensive rebound by W. Chandler,,45-64,,
7:45.0,T. Lawson misses 3-pt shot from 25 ft,,45-64,,
7:44.0,,,45-64,,Defensive rebound by D. Carroll
7:28.0,,,45-67,3,P. Millsap makes 3-pt shot from 23 ft (assist by J. Teague)
7:28.0,,,45-67,,Shooting foul by D. Arthur (drawn by P. Millsap)
7:28.0,,,45-67,,P. Millsap misses free throw 1 of 1
7:27.0,Defensive rebound by T. Mozgov,,45-67,,
7:10.0,Turnover by D. Arthur (lost ball; steal by J. Teague),,45-67,,
7:05.0,,,45-67,,Turnover by J. Teague (lost ball; steal by T. Lawson)
6:59.0,,,45-67,,Personal foul by A. Horford (drawn by A. Afflalo)
6:46.0,T. Mozgov makes 2-pt shot from 1 ft (assist by D. Arthur),2,47-67,,
6:32.0,,,47-67,,Turnover by D. Carroll (lost ball; steal by A. Afflalo)
6:28.0,W. Chandler makes 2-pt shot at rim,2,49-67,,
6:28.0,Shooting foul by K. Korver (drawn by W. Chandler),,49-67,,
6:28.0,W. Chandler makes free throw 1 of 1,1,50-67,,
6:18.0,,,50-67,,Atlanta full timeout
6:10.0,,,50-69,2,A. Horford makes 2-pt shot from 3 ft (assist by J. Teague)
5:57.0,,,50-69,,Personal foul by A. Horford (drawn by T. Mozgov)
5:45.0,T. Lawson misses 2-pt shot from 21 ft,,50-69,,
5:43.0,,,50-69,,Defensive rebound by K. Korver
5:35.0,,,50-69,,K. Korver misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by A. Afflalo,,50-69,,
5:18.0,W. Chandler misses 3-pt shot from 26 ft,,50-69,,
5:17.0,,,50-69,,Defensive rebound by K. Korver
4:52.0,,,50-69,,J. Teague misses 2-pt shot from 10 ft
4:49.0,Defensive rebound by W. Chandler,,50-69,,
4:44.0,A. Afflalo makes 2-pt shot from 1 ft (assist by W. Chandler),2,52-69,,
4:44.0,Shooting foul by K. Korver (drawn by A. Afflalo),,52-69,,
4:44.0,,,52-69,,P. Antic enters the game for A. Horford
4:44.0,A. Afflalo misses free throw 1 of 1,,52-69,,
4:41.0,,,52-69,,Defensive rebound by K. Korver
4:33.0,,,52-69,,Turnover by J. Teague (bad pass; steal by T. Mozgov)
4:28.0,W. Chandler makes 2-pt shot from 1 ft (assist by T. Lawson),2,54-69,,
4:12.0,,,54-69,,K. Korver misses 3-pt shot from 25 ft
4:10.0,,,54-69,,Offensive rebound by P. Antic
3:59.0,Personal foul by T. Lawson (drawn by J. Teague),,54-69,,
3:59.0,A. Gee enters the game for A. Afflalo,,54-69,,
3:47.0,,,54-69,,J. Teague misses 2-pt shot from 5 ft
3:44.0,Defensive rebound by T. Mozgov,,54-69,,
3:39.0,T. Mozgov makes 2-pt shot from 12 ft (assist by T. Lawson),2,56-69,,
3:39.0,,,56-69,,Atlanta full timeout
3:39.0,,,56-69,,S. Mack enters the game for K. Korver
3:39.0,,,56-69,,D. Schroder enters the game for J. Teague
3:30.0,,,56-69,,Turnover by D. Schroder (bad pass; steal by D. Arthur)
3:23.0,A. Gee makes 2-pt shot at rim (assist by T. Lawson),2,58-69,,
3:04.0,,,58-72,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
2:48.0,D. Arthur makes 2-pt shot from 16 ft (assist by T. Lawson),2,60-72,,
2:37.0,Personal foul by D. Arthur (drawn by P. Millsap),,60-72,,
2:37.0,Denver full timeout,,60-72,,
2:28.0,,,60-72,,P. Antic misses 3-pt shot from 24 ft
2:27.0,,,60-72,,Offensive rebound by D. Carroll
2:26.0,,,60-74,2,D. Carroll makes 2-pt shot from 1 ft
1:58.0,D. Arthur misses 3-pt shot from 25 ft,,60-74,,
1:56.0,,,60-74,,Defensive rebound by P. Millsap
1:51.0,,,60-74,,S. Mack misses 2-pt shot from 18 ft
1:50.0,Defensive rebound by T. Lawson,,60-74,,
1:42.0,A. Gee misses 2-pt shot from 17 ft,,60-74,,
1:40.0,Offensive rebound by W. Chandler,,60-74,,
1:36.0,T. Lawson misses 3-pt shot from 24 ft,,60-74,,
1:35.0,Offensive rebound by A. Gee,,60-74,,
1:31.0,A. Gee makes 2-pt shot at rim,2,62-74,,
1:19.0,,,62-74,,Turnover by D. Schroder (lost ball; steal by A. Gee)
1:15.0,A. Gee makes 2-pt shot at rim (assist by D. Arthur),2,64-74,,
0:55.0,,,64-74,,Turnover by P. Millsap (lost ball; steal by A. Gee)
0:50.0,Turnover by W. Chandler (lost ball),,64-74,,
0:50.0,,,64-74,,T. Sefolosha enters the game for D. Carroll
0:33.0,,,64-76,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder)
0:33.0,,,64-76,,Shooting foul by T. Mozgov (drawn by P. Millsap)
0:33.0,,,64-77,1,P. Millsap makes free throw 1 of 1
0:14.0,D. Arthur makes 2-pt shot from 2 ft (assist by W. Chandler),2,66-77,,
0:00.0,,,66-77,,P. Antic misses 3-pt shot from 25 ft
0:00.0,,,66-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,66-77,,T. Sefolosha misses 3-pt shot from 22 ft
11:42.0,Defensive rebound by W. Chandler,,66-77,,
11:28.0,Turnover by T. Lawson (bad pass; steal by D. Schroder),,66-77,,
11:21.0,,,66-77,,D. Schroder misses 2-pt shot from 6 ft
11:18.0,,,66-77,,Offensive rebound by T. Sefolosha
11:18.0,,,66-77,,T. Sefolosha misses 2-pt shot at rim
11:17.0,Defensive rebound by T. Mozgov,,66-77,,
11:03.0,T. Mozgov makes 2-pt shot from 16 ft (assist by D. Gallinari),2,68-77,,
10:44.0,Personal foul by A. Gee (drawn by M. Scott),,68-77,,
10:31.0,,,68-77,,D. Schroder misses 2-pt shot from 2 ft
10:31.0,,,68-77,,Offensive rebound by A. Horford
10:31.0,,,68-79,2,A. Horford makes 2-pt shot at rim
10:31.0,,,68-79,,Shooting foul by T. Mozgov (drawn by A. Horford)
10:31.0,,,68-80,1,A. Horford makes free throw 1 of 1
10:16.0,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson),3,71-80,,
10:01.0,,,71-82,2,S. Mack makes 2-pt shot from 8 ft (assist by D. Schroder)
9:48.0,D. Gallinari misses 3-pt shot from 25 ft,,71-82,,
9:47.0,,,71-82,,Defensive rebound by M. Scott
9:39.0,,,71-82,,Turnover by M. Scott (bad pass)
9:39.0,J. Hickson enters the game for T. Mozgov,,71-82,,
9:27.0,W. Chandler misses 3-pt shot from 25 ft,,71-82,,
9:26.0,Offensive rebound by T. Lawson,,71-82,,
9:26.0,,,71-82,,Personal foul by D. Schroder (drawn by T. Lawson)
9:14.0,D. Gallinari misses 2-pt shot from 5 ft (block by T. Sefolosha),,71-82,,
9:12.0,,,71-82,,Defensive rebound by A. Horford
8:55.0,,,71-82,,D. Schroder misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by J. Hickson,,71-82,,
8:47.0,D. Gallinari misses 3-pt shot from 23 ft,,71-82,,
8:46.0,Offensive rebound by Team,,71-82,,
8:46.0,,,71-82,,Loose ball foul by S. Mack (drawn by A. Gee)
8:46.0,Official timeout,,71-82,,
8:46.0,,,71-82,,K. Korver enters the game for S. Mack
8:46.0,G. Harris enters the game for W. Chandler,,71-82,,
8:33.0,T. Lawson misses 2-pt shot from 1 ft,,71-82,,
8:29.0,Offensive rebound by D. Gallinari,,71-82,,
8:25.0,G. Harris misses 3-pt shot from 25 ft,,71-82,,
8:23.0,Offensive rebound by G. Harris,,71-82,,
8:17.0,G. Harris misses 3-pt shot from 25 ft,,71-82,,
8:15.0,,,71-82,,Defensive rebound by A. Horford
7:53.0,,,71-84,2,T. Sefolosha makes 2-pt shot from 4 ft (assist by K. Korver)
7:37.0,J. Hickson misses 2-pt shot from 15 ft,,71-84,,
7:35.0,,,71-84,,Defensive rebound by M. Scott
7:15.0,,,71-84,,A. Horford misses 2-pt shot from 8 ft
7:15.0,Defensive rebound by Team,,71-84,,
7:15.0,,,71-84,,Loose ball foul by T. Sefolosha (drawn by G. Harris)
7:15.0,,,71-84,,J. Teague enters the game for D. Schroder
7:05.0,G. Harris misses 2-pt shot from 4 ft (block by A. Horford),,71-84,,
7:05.0,Offensive rebound by Team,,71-84,,
6:59.0,G. Harris misses 3-pt shot from 23 ft,,71-84,,
6:59.0,,,71-84,,Defensive rebound by Team
6:59.0,Loose ball foul by J. Hickson (drawn by M. Scott),,71-84,,
6:59.0,D. Arthur enters the game for J. Hickson,,71-84,,
6:59.0,A. Afflalo enters the game for G. Harris,,71-84,,
6:45.0,,,71-84,,M. Scott misses 2-pt shot from 13 ft
6:43.0,,,71-84,,Offensive rebound by T. Sefolosha
6:29.0,,,71-84,,M. Scott misses 2-pt shot from 13 ft
6:27.0,Defensive rebound by D. Gallinari,,71-84,,
6:20.0,D. Arthur misses 2-pt shot at rim (block by A. Horford),,71-84,,
6:20.0,,,71-84,,Defensive rebound by Team
6:09.0,,,71-84,,J. Teague misses 2-pt shot from 12 ft
6:08.0,,,71-84,,Offensive rebound by J. Teague
6:00.0,,,71-84,,Turnover by T. Sefolosha (lost ball; steal by D. Arthur)
5:53.0,A. Gee makes 2-pt shot from 4 ft,2,73-84,,
5:46.0,,,73-84,,Atlanta full timeout
5:46.0,,,73-84,,P. Millsap enters the game for T. Sefolosha
5:46.0,,,73-84,,D. Carroll enters the game for M. Scott
5:46.0,W. Chandler enters the game for D. Gallinari,,73-84,,
5:32.0,,,73-84,,D. Carroll misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by A. Gee,,73-84,,
5:24.0,Turnover by A. Afflalo (lost ball; steal by D. Carroll),,73-84,,
5:03.0,,,73-84,,P. Millsap misses 2-pt shot from 15 ft
