time,Golden State,pts.away,score,pts.home,Toronto
4:42.0,F. Ezeli enters the game for A. Bogut,,15-5,,
4:42.0,,,15-5,,A. Johnson enters the game for J. Valanciunas
4:42.0,,,15-5,,L. Williams enters the game for J. Johnson
4:42.0,D. Green makes free throw 2 of 2,1,16-5,,
4:32.0,,,16-5,,K. Lowry misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by S. Curry,,16-5,,
4:13.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,19-5,,
3:54.0,Personal foul by H. Barnes (drawn by D. DeRozan),,19-5,,
3:54.0,J. Holiday enters the game for H. Barnes,,19-5,,
3:51.0,,,19-5,,Offensive foul by A. Johnson
3:51.0,,,19-5,,Turnover by A. Johnson (offensive foul)
3:39.0,D. Green misses 3-pt shot from 25 ft,,19-5,,
3:38.0,Offensive rebound by S. Curry,,19-5,,
3:35.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,22-5,,
3:27.0,,,22-5,,Turnover by L. Williams (bad pass)
3:16.0,K. Thompson misses 3-pt shot from 26 ft,,22-5,,
3:15.0,,,22-5,,Defensive rebound by Team
2:50.0,,,22-5,,K. Lowry misses 3-pt shot from 23 ft
2:49.0,,,22-5,,Offensive rebound by D. DeRozan
2:39.0,,,22-5,,Shooting foul by J. Holiday (drawn by D. DeRozan)
2:39.0,Golden State full timeout,,22-5,,
2:39.0,L. Barbosa enters the game for K. Thompson,,22-5,,
2:39.0,,,22-5,,J. Valanciunas enters the game for P. Patterson
2:39.0,,,22-5,,G. Vasquez enters the game for K. Lowry
2:39.0,,,22-6,1,D. DeRozan makes free throw 1 of 2
2:39.0,,,22-7,1,D. DeRozan makes free throw 2 of 2
2:25.0,F. Ezeli misses 2-pt shot from 5 ft,,22-7,,
2:24.0,,,22-7,,Defensive rebound by L. Williams
2:19.0,,,22-7,,Shooting foul by L. Barbosa (drawn by G. Vasquez)
2:19.0,,,22-8,1,L. Williams makes free throw 1 of 3
2:19.0,,,22-9,1,L. Williams makes free throw 2 of 3
2:19.0,Technical foul by D. Green,,22-9,,
2:19.0,,,22-10,1,L. Williams makes technical free throw
2:19.0,,,22-11,1,L. Williams makes free throw 3 of 3
2:08.0,S. Curry misses 2-pt shot from 20 ft,,22-11,,
2:07.0,Offensive rebound by D. Green,,22-11,,
1:58.0,J. Holiday misses 2-pt shot from 14 ft,,22-11,,
1:57.0,,,22-11,,Defensive rebound by A. Johnson
1:48.0,,,22-11,,D. DeRozan misses 2-pt shot from 3 ft
1:47.0,Defensive rebound by J. Holiday,,22-11,,
1:40.0,,,22-11,,Personal foul by G. Vasquez (drawn by S. Curry)
1:40.0,,,22-11,,T. Ross enters the game for D. DeRozan
1:29.0,Shooting foul by A. Johnson (drawn by L. Barbosa),,22-11,,
1:29.0,L. Barbosa makes free throw 1 of 2,1,23-11,,
1:29.0,L. Barbosa makes free throw 2 of 2,1,24-11,,
1:18.0,,,24-11,,L. Williams misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by D. Green,,24-11,,
1:08.0,S. Curry makes 3-pt shot from 25 ft,3,27-11,,
0:52.0,,,27-11,,G. Vasquez misses 2-pt shot from 4 ft
0:51.0,Defensive rebound by D. Green,,27-11,,
0:46.0,Offensive charge foul by J. Holiday,,27-11,,
0:46.0,Turnover by J. Holiday (offensive foul),,27-11,,
0:46.0,D. Lee enters the game for D. Green,,27-11,,
0:32.0,,,27-11,,A. Johnson misses 2-pt shot from 6 ft
0:31.0,Defensive rebound by D. Lee,,27-11,,
0:25.0,L. Barbosa misses 2-pt shot from 2 ft,,27-11,,
0:24.0,,,27-11,,Defensive rebound by A. Johnson
0:00.0,,,27-11,,G. Vasquez misses 3-pt shot from 23 ft
0:00.0,,,27-11,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,27-11,,Turnover by G. Vasquez (bad pass; steal by J. Holiday)
11:45.0,L. Barbosa misses 2-pt shot from 3 ft,,27-11,,
11:44.0,,,27-11,,Defensive rebound by T. Ross
11:33.0,,,27-11,,L. Williams misses 2-pt shot from 16 ft
11:32.0,Defensive rebound by M. Speights,,27-11,,
11:13.0,S. Livingston misses 2-pt shot from 11 ft,,27-11,,
11:12.0,,,27-11,,Defensive rebound by A. Johnson
11:00.0,,,27-13,2,A. Johnson makes 2-pt shot from 2 ft (assist by G. Vasquez)
10:55.0,Golden State full timeout,,27-13,,
10:47.0,J. Holiday misses 2-pt shot from 19 ft,,27-13,,
10:46.0,,,27-13,,Defensive rebound by L. Williams
10:30.0,,,27-15,2,T. Ross makes 2-pt shot from 15 ft (assist by G. Vasquez)
10:09.0,J. Holiday misses 3-pt shot from 25 ft,,27-15,,
10:08.0,,,27-15,,Defensive rebound by L. Williams
10:00.0,,,27-17,2,A. Johnson makes 2-pt shot at rim (assist by G. Vasquez)
9:40.0,J. Holiday misses 3-pt shot from 25 ft,,27-17,,
9:39.0,,,27-17,,Defensive rebound by Team
9:39.0,Personal foul by M. Speights (drawn by J. Valanciunas),,27-17,,
9:39.0,H. Barnes enters the game for L. Barbosa,,27-17,,
9:39.0,K. Thompson enters the game for J. Holiday,,27-17,,
9:27.0,,,27-17,,Turnover by J. Valanciunas (lost ball; steal by D. Lee)
9:21.0,M. Speights makes 2-pt shot from 16 ft (assist by H. Barnes),2,29-17,,
9:04.0,,,29-17,,J. Valanciunas misses 2-pt shot from 3 ft
9:03.0,,,29-17,,Offensive rebound by J. Valanciunas
9:02.0,,,29-17,,Shooting foul by D. Lee (drawn by J. Valanciunas)
9:02.0,,,29-17,,J. Valanciunas misses free throw 1 of 2
9:02.0,,,29-17,,Offensive rebound by Team
9:02.0,,,29-17,,J. Valanciunas misses free throw 2 of 2
9:01.0,Defensive rebound by M. Speights,,29-17,,
8:44.0,K. Thompson misses 2-pt shot from 10 ft,,29-17,,
8:43.0,Offensive rebound by D. Lee,,29-17,,
8:41.0,D. Lee makes 2-pt shot from 2 ft,2,31-17,,
8:38.0,,,31-17,,Shooting foul by S. Livingston (drawn by L. Williams)
8:38.0,,,31-18,1,L. Williams makes free throw 1 of 2
8:38.0,,,31-18,,L. Williams misses free throw 2 of 2
8:37.0,Defensive rebound by H. Barnes,,31-18,,
8:28.0,M. Speights makes 2-pt shot from 17 ft (assist by S. Livingston),2,33-18,,
8:09.0,,,33-21,3,T. Ross makes 3-pt shot from 26 ft (assist by A. Johnson)
7:55.0,M. Speights makes 2-pt shot from 19 ft (assist by S. Livingston),2,35-21,,
7:38.0,Violation by M. Speights (def goaltending),,35-21,,
7:38.0,,,35-23,2,T. Ross makes 2-pt shot from 4 ft (assist by G. Vasquez)
7:18.0,Shooting foul by L. Williams (drawn by S. Livingston),,35-23,,
7:18.0,S. Livingston misses free throw 1 of 2,,35-23,,
7:18.0,Offensive rebound by Team,,35-23,,
7:18.0,,,35-23,,P. Patterson enters the game for J. Valanciunas
7:18.0,S. Livingston makes free throw 2 of 2,1,36-23,,
7:07.0,,,36-23,,Offensive charge foul by T. Ross
7:07.0,,,36-23,,Turnover by T. Ross (offensive foul)
7:07.0,D. Green enters the game for D. Lee,,36-23,,
6:51.0,K. Thompson makes 2-pt shot from 16 ft (assist by S. Livingston),2,38-23,,
6:28.0,,,38-23,,L. Williams misses 3-pt shot from 26 ft
6:27.0,Defensive rebound by M. Speights,,38-23,,
6:17.0,D. Green makes 3-pt shot from 26 ft (assist by S. Livingston),3,41-23,,
6:09.0,,,41-23,,Toronto full timeout
6:09.0,,,41-23,,K. Lowry enters the game for L. Williams
6:09.0,,,41-23,,D. DeRozan enters the game for G. Vasquez
6:00.0,,,41-23,,T. Ross misses 2-pt shot from 5 ft
5:59.0,Defensive rebound by D. Green,,41-23,,
5:42.0,S. Livingston makes 2-pt shot from 6 ft (assist by M. Speights),2,43-23,,
5:25.0,,,43-23,,D. DeRozan misses 2-pt shot from 18 ft
5:24.0,Defensive rebound by D. Green,,43-23,,
5:10.0,K. Thompson makes 2-pt shot from 13 ft,2,45-23,,
4:48.0,,,45-23,,Offensive charge foul by D. DeRozan
4:48.0,,,45-23,,Turnover by D. DeRozan (offensive foul)
4:28.0,K. Thompson misses 2-pt shot from 3 ft,,45-23,,
4:27.0,,,45-23,,Defensive rebound by A. Johnson
4:12.0,,,45-23,,T. Ross misses 3-pt shot from 23 ft
4:11.0,,,45-23,,Offensive rebound by P. Patterson
3:54.0,,,45-25,2,K. Lowry makes 2-pt shot from 20 ft
3:48.0,Shooting foul by P. Patterson (drawn by M. Speights),,45-25,,
3:48.0,M. Speights makes free throw 1 of 2,1,46-25,,
3:48.0,,,46-25,,J. Johnson enters the game for A. Johnson
3:48.0,,,46-25,,J. Valanciunas enters the game for P. Patterson
3:48.0,S. Curry enters the game for S. Livingston,,46-25,,
3:48.0,M. Speights makes free throw 2 of 2,1,47-25,,
3:28.0,,,47-25,,T. Ross misses 2-pt shot from 21 ft
3:27.0,Defensive rebound by K. Thompson,,47-25,,
3:18.0,M. Speights misses 2-pt shot from 19 ft,,47-25,,
3:17.0,Offensive rebound by S. Curry,,47-25,,
3:12.0,S. Curry makes 2-pt shot from 14 ft,2,49-25,,
2:58.0,,,49-25,,D. DeRozan misses 2-pt shot from 11 ft
2:57.0,,,49-25,,Offensive rebound by J. Valanciunas
2:57.0,,,49-25,,Shooting foul by D. Green (drawn by J. Valanciunas)
2:57.0,Official timeout,,49-25,,
2:57.0,,,49-25,,G. Vasquez enters the game for T. Ross
2:57.0,A. Bogut enters the game for M. Speights,,49-25,,
2:57.0,,,49-26,1,J. Valanciunas makes free throw 1 of 2
2:57.0,,,49-27,1,J. Valanciunas makes free throw 2 of 2
2:41.0,K. Thompson makes 2-pt shot from 23 ft (assist by S. Curry),2,51-27,,
2:21.0,,,51-27,,J. Johnson misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by A. Bogut,,51-27,,
2:09.0,,,51-27,,Personal foul by K. Lowry (drawn by D. Green)
2:05.0,A. Bogut misses 2-pt shot at rim,,51-27,,
2:03.0,,,51-27,,Defensive rebound by G. Vasquez
1:59.0,,,51-27,,Turnover by G. Vasquez (bad pass; steal by K. Thompson)
1:44.0,Shooting foul by J. Johnson (drawn by K. Thompson),,51-27,,
1:44.0,K. Thompson makes free throw 1 of 2,1,52-27,,
1:44.0,K. Thompson makes free throw 2 of 2,1,53-27,,
1:30.0,,,53-29,2,D. DeRozan makes 2-pt shot from 21 ft
1:19.0,S. Curry misses 2-pt shot from 9 ft,,53-29,,
1:18.0,,,53-29,,Defensive rebound by J. Valanciunas
1:09.0,,,53-29,,G. Vasquez misses 2-pt shot from 19 ft
1:08.0,Defensive rebound by D. Green,,53-29,,
1:04.0,,,53-29,,Personal foul by G. Vasquez (drawn by A. Bogut)
1:04.0,A. Bogut makes free throw 1 of 2,1,54-29,,
1:04.0,A. Bogut misses free throw 2 of 2,,54-29,,
1:03.0,,,54-29,,Defensive rebound by J. Valanciunas
0:53.0,,,54-31,2,D. DeRozan makes 2-pt shot from 11 ft
0:39.0,K. Thompson misses 2-pt shot from 16 ft,,54-31,,
0:38.0,,,54-31,,Defensive rebound by G. Vasquez
0:20.0,,,54-31,,Turnover by J. Valanciunas (lost ball; steal by A. Bogut)
0:01.0,H. Barnes misses 3-pt shot from 23 ft (block by J. Johnson),,54-31,,
0:00.0,Offensive rebound by H. Barnes,,54-31,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,54-31,,K. Lowry misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by D. Green,,54-31,,
11:24.0,K. Thompson makes 2-pt shot from 11 ft,2,56-31,,
11:12.0,,,56-31,,D. DeRozan misses 2-pt shot from 19 ft
11:11.0,Defensive rebound by H. Barnes,,56-31,,
10:53.0,K. Thompson makes 3-pt shot from 26 ft,3,59-31,,
10:26.0,,,59-31,,D. DeRozan misses 2-pt shot from 13 ft (block by D. Green)
10:25.0,,,59-31,,Offensive rebound by P. Patterson
10:23.0,,,59-33,2,P. Patterson makes 2-pt shot from 1 ft
10:14.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,62-33,,
9:59.0,,,62-33,,P. Patterson misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by S. Curry,,62-33,,
9:48.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,65-33,,
9:48.0,,,65-33,,Toronto full timeout
9:33.0,,,65-33,,Turnover by K. Lowry (bad pass; steal by D. Green)
9:14.0,D. Green makes 2-pt shot from 2 ft (assist by A. Bogut),2,67-33,,
8:49.0,,,67-33,,Turnover by D. DeRozan (lost ball; steal by H. Barnes)
8:45.0,,,67-33,,G. Vasquez enters the game for K. Lowry
8:45.0,,,67-33,,A. Johnson enters the game for P. Patterson
8:45.0,,,67-33,,T. Ross enters the game for D. DeRozan
8:45.0,,,67-33,,L. Williams enters the game for J. Johnson
8:45.0,,,67-33,,T. Hansbrough enters the game for J. Valanciunas
8:40.0,K. Thompson misses 2-pt shot from 1 ft (block by L. Williams),,67-33,,
8:39.0,,,67-33,,Defensive rebound by T. Hansbrough
8:30.0,,,67-33,,A. Johnson misses 2-pt shot from 3 ft
8:29.0,Defensive rebound by H. Barnes,,67-33,,
8:20.0,Turnover by S. Curry (bad pass; steal by G. Vasquez),,67-33,,
8:19.0,Personal foul by A. Bogut (drawn by G. Vasquez),,67-33,,
7:56.0,,,67-33,,G. Vasquez misses 2-pt shot from 12 ft
7:55.0,Defensive rebound by A. Bogut,,67-33,,
7:45.0,S. Curry misses 3-pt shot from 28 ft,,67-33,,
7:44.0,,,67-33,,Defensive rebound by T. Hansbrough
7:35.0,,,67-33,,Shooting foul by D. Green (drawn by T. Hansbrough)
7:35.0,,,67-34,1,T. Hansbrough makes free throw 1 of 2
7:35.0,,,67-35,1,T. Hansbrough makes free throw 2 of 2
7:19.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green),2,69-35,,
6:58.0,,,69-35,,A. Johnson misses 2-pt shot from 4 ft
6:57.0,,,69-35,,Offensive rebound by T. Hansbrough
6:56.0,,,69-35,,Shooting foul by D. Green (drawn by T. Hansbrough)
6:56.0,,,69-36,1,T. Hansbrough makes free throw 1 of 2
6:56.0,,,69-37,1,T. Hansbrough makes free throw 2 of 2
6:42.0,A. Bogut makes 2-pt shot from 11 ft,2,71-37,,
6:25.0,,,71-39,2,L. Williams makes 2-pt shot from 3 ft
6:16.0,S. Curry makes 2-pt shot from 2 ft (assist by H. Barnes),2,73-39,,
6:16.0,Shooting foul by L. Williams (drawn by S. Curry),,73-39,,
6:16.0,S. Curry makes free throw 1 of 1,1,74-39,,
5:57.0,,,74-41,2,A. Johnson makes 2-pt shot from 5 ft
5:43.0,H. Barnes makes 3-pt shot from 24 ft (assist by A. Bogut),3,77-41,,
5:29.0,Personal foul by K. Thompson (drawn by A. Johnson),,77-41,,
5:22.0,,,77-43,2,G. Vasquez makes 2-pt shot from 7 ft
5:10.0,D. Green makes 2-pt shot from 6 ft (assist by K. Thompson),2,79-43,,
4:57.0,,,79-46,3,T. Ross makes 3-pt shot from 27 ft (assist by T. Hansbrough)
4:39.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Bogut),2,81-46,,
4:26.0,,,81-46,,T. Ross misses 3-pt shot from 24 ft (block by K. Thompson)
4:23.0,Defensive rebound by S. Curry,,81-46,,
4:20.0,H. Barnes makes 2-pt shot at rim (assist by K. Thompson),2,83-46,,
4:20.0,,,83-46,,Toronto full timeout
4:10.0,,,83-46,,Turnover by L. Williams (bad pass; steal by S. Curry)
4:05.0,S. Curry makes 3-pt shot from 25 ft,3,86-46,,
3:57.0,Violation by K. Thompson (kicked ball),,86-46,,
3:49.0,,,86-48,2,T. Hansbrough makes 2-pt shot from 3 ft
3:34.0,,,86-48,,Personal foul by L. Williams (drawn by A. Bogut)
3:33.0,Offensive foul by A. Bogut,,86-48,,
3:33.0,Turnover by A. Bogut (offensive foul),,86-48,,
3:33.0,F. Ezeli enters the game for A. Bogut,,86-48,,
3:22.0,,,86-48,,Turnover by L. Williams (bad pass; steal by S. Curry)
3:22.0,,,86-48,,Personal foul by T. Hansbrough (drawn by S. Curry)
3:08.0,S. Curry makes 3-pt shot from 26 ft (assist by H. Barnes),3,89-48,,
2:50.0,,,89-50,2,A. Johnson makes 2-pt shot from 5 ft
2:47.0,Golden State full timeout,,89-50,,
2:47.0,L. Barbosa enters the game for K. Thompson,,89-50,,
2:47.0,S. Livingston enters the game for S. Curry,,89-50,,
2:33.0,D. Green misses 3-pt shot from 25 ft,,89-50,,
2:32.0,Offensive rebound by H. Barnes,,89-50,,
2:32.0,Shooting foul by G. Vasquez (drawn by H. Barnes),,89-50,,
2:32.0,H. Barnes makes free throw 1 of 2,1,90-50,,
2:32.0,D. Lee enters the game for D. Green,,90-50,,
2:32.0,H. Barnes misses free throw 2 of 2,,90-50,,
2:31.0,,,90-50,,Defensive rebound by T. Hansbrough
2:13.0,,,90-53,3,T. Ross makes 3-pt shot from 27 ft (assist by L. Williams)
1:53.0,F. Ezeli misses 2-pt shot from 5 ft,,90-53,,
1:52.0,,,90-53,,Defensive rebound by T. Hansbrough
1:43.0,,,90-53,,T. Hansbrough misses 2-pt shot from 7 ft (block by F. Ezeli)
1:41.0,Defensive rebound by L. Barbosa,,90-53,,
1:37.0,S. Livingston makes 2-pt shot at rim (assist by L. Barbosa),2,92-53,,
1:20.0,,,92-53,,T. Ross misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by F. Ezeli,,92-53,,
1:06.0,L. Barbosa makes 2-pt shot from 2 ft (assist by S. Livingston),2,94-53,,
0:54.0,,,94-55,2,T. Ross makes 2-pt shot at rim (assist by A. Johnson)
0:36.0,D. Lee makes 2-pt shot from 15 ft (assist by S. Livingston),2,96-55,,
0:23.0,,,96-57,2,T. Ross makes 2-pt shot from 19 ft (assist by A. Johnson)
0:05.0,S. Livingston makes 2-pt shot from 9 ft,2,98-57,,
0:05.0,,,98-57,,Technical foul by T. Hansbrough
0:05.0,Technical foul by F. Ezeli,,98-57,,
0:05.0,,,98-57,,T. Hansbrough ejected from game
0:05.0,,,98-57,,P. Patterson enters the game for T. Hansbrough
0:05.0,F. Ezeli ejected from game,,98-57,,
0:05.0,J. Holiday enters the game for F. Ezeli,,98-57,,
0:00.0,,,98-57,,L. Williams misses 2-pt shot from 12 ft
0:00.0,,,98-57,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Holiday misses 3-pt shot from 26 ft,,98-57,,
11:39.0,,,98-57,,Defensive rebound by T. Ross
11:32.0,,,98-57,,P. Patterson misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by S. Livingston,,98-57,,
11:13.0,M. Speights misses 2-pt shot from 2 ft,,98-57,,
11:12.0,,,98-57,,Defensive rebound by J. Valanciunas
11:04.0,,,98-59,2,D. DeRozan makes 2-pt shot from 12 ft
10:41.0,J. Holiday misses 2-pt shot from 2 ft,,98-59,,
10:40.0,,,98-59,,Defensive rebound by D. DeRozan
10:32.0,,,98-59,,Turnover by D. DeRozan (bad pass)
10:14.0,Offensive foul by M. Speights,,98-59,,
10:14.0,Turnover by M. Speights (offensive foul),,98-59,,
9:59.0,,,98-61,2,P. Patterson makes 2-pt shot from 3 ft (assist by T. Ross)
9:49.0,Offensive charge foul by M. Speights,,98-61,,
9:49.0,Turnover by M. Speights (offensive foul),,98-61,,
9:35.0,,,98-63,2,D. DeRozan makes 2-pt shot from 16 ft
9:13.0,M. Speights misses 2-pt shot from 19 ft,,98-63,,
9:12.0,,,98-63,,Defensive rebound by G. Vasquez
9:05.0,,,98-63,,T. Ross misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by S. Livingston,,98-63,,
8:54.0,Turnover by S. Livingston (bad pass; steal by T. Ross),,98-63,,
8:50.0,,,98-63,,Shooting foul by S. Livingston (drawn by T. Ross)
8:50.0,Official timeout,,98-63,,
8:50.0,,,98-63,,T. Ross misses free throw 1 of 2
8:50.0,,,98-63,,Offensive rebound by Team
8:50.0,,,98-64,1,T. Ross makes free throw 2 of 2
8:35.0,D. Lee misses 2-pt shot from 15 ft,,98-64,,
8:34.0,,,98-64,,Defensive rebound by G. Vasquez
8:23.0,,,98-66,2,J. Valanciunas makes 2-pt shot from 7 ft
8:11.0,J. Holiday misses 3-pt shot from 23 ft,,98-66,,
8:10.0,,,98-66,,Defensive rebound by J. Valanciunas
8:02.0,,,98-66,,G. Vasquez misses 3-pt shot from 26 ft
8:01.0,,,98-66,,Offensive rebound by J. Valanciunas
7:59.0,,,98-68,2,J. Valanciunas makes 2-pt shot at rim
7:40.0,L. Barbosa makes 2-pt shot from 2 ft (assist by J. Holiday),2,100-68,,
7:31.0,,,100-68,,T. Ross misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by J. Holiday,,100-68,,
7:06.0,L. Barbosa misses 3-pt shot from 26 ft,,100-68,,
7:06.0,Offensive rebound by Team,,100-68,,
7:06.0,Turnover by Team (shot clock),,100-68,,
7:06.0,B. Rush enters the game for J. Holiday,,100-68,,
7:06.0,,,100-68,,J. Johnson enters the game for T. Ross
7:06.0,,,100-68,,L. Williams enters the game for G. Vasquez
6:50.0,,,100-68,,Shooting foul by D. Lee (drawn by D. DeRozan)
6:50.0,,,100-69,1,D. DeRozan makes free throw 1 of 2
6:50.0,,,100-70,1,D. DeRozan makes free throw 2 of 2
6:38.0,Offensive foul by B. Rush,,100-70,,
6:38.0,Turnover by B. Rush (offensive foul),,100-70,,
6:38.0,,,100-70,,G. Stiemsma enters the game for J. Valanciunas
6:38.0,,,100-70,,C. Hayes enters the game for P. Patterson
6:19.0,,,100-70,,Shooting foul by L. Barbosa (drawn by D. DeRozan)
6:19.0,,,100-71,1,D. DeRozan makes free throw 1 of 2
6:19.0,,,100-72,1,D. DeRozan makes free throw 2 of 2
6:04.0,D. Lee misses 2-pt shot from 6 ft,,100-72,,
6:03.0,Offensive rebound by M. Speights,,100-72,,
6:01.0,M. Speights misses 2-pt shot from 3 ft,,100-72,,
6:01.0,,,100-72,,Defensive rebound by Team
5:47.0,,,100-72,,D. DeRozan misses 3-pt shot from 23 ft
5:46.0,Defensive rebound by B. Rush,,100-72,,
5:32.0,B. Rush misses 3-pt shot from 26 ft,,100-72,,
5:31.0,,,100-72,,Defensive rebound by L. Williams
5:21.0,,,100-74,2,C. Hayes makes 2-pt shot from 5 ft (assist by L. Williams)
5:20.0,Golden State full timeout,,100-74,,
5:20.0,,,100-74,,L. Fields enters the game for D. DeRozan
5:06.0,L. Barbosa misses 3-pt shot from 26 ft,,100-74,,
5:05.0,,,100-74,,Defensive rebound by G. Stiemsma
4:42.0,,,100-74,,C. Hayes misses 2-pt shot from 2 ft
4:41.0,Defensive rebound by B. Rush,,100-74,,
4:26.0,S. Livingston makes 2-pt shot from 14 ft (assist by D. Lee),2,102-74,,
