time,LA Clippers,pts.away,score,pts.home,Denver
4:33.0,,,65-64,2,T. Lawson makes 2-pt shot from 3 ft
4:15.0,C. Paul misses 2-pt shot from 13 ft,,65-64,,
4:14.0,,,65-64,,Defensive rebound by A. Afflalo
4:06.0,,,65-64,,W. Chandler misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by C. Paul,,65-64,,
4:01.0,,,65-64,,Personal foul by W. Chandler (drawn by D. Jordan)
3:56.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin),2,67-64,,
3:39.0,,,67-64,,A. Afflalo misses 3-pt shot from 24 ft
3:38.0,,,67-64,,Offensive rebound by Team
3:38.0,Loose ball foul by B. Griffin (drawn by J. Hickson),,67-64,,
3:26.0,,,67-64,,A. Afflalo misses 3-pt shot from 23 ft (block by M. Barnes)
3:26.0,,,67-64,,Offensive rebound by Team
3:26.0,,,67-64,,Denver full timeout
3:26.0,,,67-64,,J. Nurkic enters the game for W. Chandler
3:17.0,,,67-64,,T. Lawson misses 2-pt shot from 18 ft
3:16.0,Defensive rebound by B. Griffin,,67-64,,
3:09.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,70-64,,
2:53.0,Personal foul by M. Barnes (drawn by D. Gallinari),,70-64,,
2:53.0,,,70-64,,N. Robinson enters the game for T. Lawson
2:53.0,,,70-64,,A. Gee enters the game for A. Afflalo
2:52.0,Personal foul by B. Griffin (drawn by J. Hickson),,70-64,,
2:36.0,,,70-64,,A. Gee misses 2-pt shot from 14 ft
2:35.0,Defensive rebound by M. Barnes,,70-64,,
2:25.0,Shooting foul by J. Hickson (drawn by B. Griffin),,70-64,,
2:25.0,B. Griffin makes free throw 1 of 2,1,71-64,,
2:25.0,J. Crawford enters the game for J. Redick,,71-64,,
2:25.0,,,71-64,,K. Faried enters the game for J. Hickson
2:25.0,B. Griffin misses free throw 2 of 2,,71-64,,
2:23.0,,,71-64,,Defensive rebound by N. Robinson
2:11.0,Def 3 sec tech foul by D. Jordan,,71-64,,
2:11.0,,,71-64,,N. Robinson misses technical free throw
2:11.0,,,71-64,,Offensive rebound by Team
2:01.0,,,71-67,3,N. Robinson makes 3-pt shot from 26 ft (assist by A. Gee)
1:43.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,73-67,,
1:20.0,,,73-67,,N. Robinson misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by Team,,73-67,,
1:20.0,G. Davis enters the game for D. Jordan,,73-67,,
1:02.0,B. Griffin misses 2-pt shot from 19 ft,,73-67,,
1:00.0,,,73-67,,Defensive rebound by D. Gallinari
0:54.0,Personal foul by M. Barnes (drawn by D. Gallinari),,73-67,,
0:54.0,,,73-68,1,D. Gallinari makes free throw 1 of 2
0:54.0,C. Douglas-Roberts enters the game for M. Barnes,,73-68,,
0:54.0,J. Farmar enters the game for C. Paul,,73-68,,
0:54.0,,,73-69,1,D. Gallinari makes free throw 2 of 2
0:38.0,J. Crawford misses 3-pt shot from 25 ft,,73-69,,
0:37.0,Offensive rebound by B. Griffin,,73-69,,
0:35.0,,,73-69,,Personal foul by J. Nurkic (drawn by B. Griffin)
0:35.0,B. Griffin misses free throw 1 of 2,,73-69,,
0:35.0,Offensive rebound by Team,,73-69,,
0:35.0,B. Griffin makes free throw 2 of 2,1,74-69,,
0:13.0,,,74-71,2,K. Faried makes 2-pt shot from 6 ft
0:05.0,B. Griffin misses 2-pt shot from 22 ft,,74-71,,
0:03.0,,,74-71,,Defensive rebound by N. Robinson
0:02.0,,,74-71,,N. Robinson misses 3-pt shot from 40 ft
0:00.0,,,74-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Personal foul by B. Griffin (drawn by K. Faried),,74-71,,
11:46.0,D. Jordan enters the game for B. Griffin,,74-71,,
11:41.0,,,74-71,,Turnover by T. Lawson (bad pass; steal by G. Davis)
11:35.0,C. Douglas-Roberts misses 2-pt shot from 1 ft,,74-71,,
11:33.0,,,74-71,,Defensive rebound by K. Faried
11:19.0,,,74-73,2,J. Nurkic makes 2-pt shot at rim (assist by N. Robinson)
11:04.0,Turnover by D. Jordan (lost ball; steal by N. Robinson),,74-73,,
11:01.0,,,74-73,,Shooting foul by J. Farmar (drawn by A. Gee)
11:01.0,Technical foul by M. Barnes,,74-73,,
11:01.0,,,74-74,1,N. Robinson makes technical free throw
11:01.0,,,74-75,1,A. Gee makes free throw 1 of 2
11:01.0,,,74-76,1,A. Gee makes free throw 2 of 2
10:42.0,Turnover by G. Davis (lost ball; steal by K. Faried),,74-76,,
10:30.0,,,74-78,2,K. Faried makes 2-pt shot from 7 ft (assist by T. Lawson)
10:02.0,J. Farmar misses 2-pt shot from 16 ft,,74-78,,
10:02.0,,,74-78,,Defensive rebound by Team
10:02.0,Loose ball foul by D. Jordan (drawn by J. Nurkic),,74-78,,
10:02.0,J. Redick enters the game for C. Douglas-Roberts,,74-78,,
9:51.0,,,74-78,,N. Robinson misses 3-pt shot from 26 ft
9:51.0,Defensive rebound by Team,,74-78,,
9:41.0,D. Jordan misses 2-pt shot at rim,,74-78,,
9:40.0,,,74-78,,Defensive rebound by K. Faried
9:37.0,Personal foul by J. Crawford (drawn by J. Nurkic),,74-78,,
9:31.0,,,74-80,2,K. Faried makes 2-pt shot from 1 ft (assist by N. Robinson)
9:31.0,LA Clippers full timeout,,74-80,,
9:31.0,H. Turkoglu enters the game for G. Davis,,74-80,,
9:31.0,C. Paul enters the game for J. Farmar,,74-80,,
9:14.0,J. Crawford makes 3-pt shot from 25 ft,3,77-80,,
8:58.0,,,77-82,2,N. Robinson makes 2-pt shot from 10 ft
8:47.0,,,77-82,,Personal foul by J. Nurkic (drawn by C. Paul)
8:41.0,Turnover by C. Paul (bad pass; steal by A. Gee),,77-82,,
8:37.0,,,77-84,2,A. Gee makes 2-pt shot at rim (assist by N. Robinson)
8:25.0,,,77-84,,Personal foul by N. Robinson (drawn by C. Paul)
8:19.0,Technical foul by D. Jordan,,77-84,,
8:19.0,Technical foul by Team,,77-84,,
8:19.0,Technical foul by H. Turkoglu,,77-84,,
8:19.0,,,77-85,1,N. Robinson makes technical free throw
8:19.0,,,77-86,1,N. Robinson makes technical free throw
8:19.0,,,77-86,,N. Robinson misses technical free throw
8:19.0,Offensive rebound by Team,,77-86,,
8:19.0,B. Griffin enters the game for H. Turkoglu,,77-86,,
8:19.0,D. Jordan makes flagrant free throw 1 of 2,1,78-86,,
8:19.0,D. Jordan makes flagrant free throw 2 of 2,1,79-86,,
8:10.0,C. Paul makes 2-pt shot from 1 ft,2,81-86,,
7:55.0,,,81-87,1,J. Nurkic makes flagrant free throw 1 of 2
7:55.0,,,81-88,1,J. Nurkic makes flagrant free throw 2 of 2
7:46.0,,,81-90,2,J. Nurkic makes 2-pt shot from 20 ft (assist by K. Faried)
7:26.0,Shooting foul by J. Nurkic (drawn by J. Crawford),,81-90,,
7:26.0,J. Crawford makes free throw 1 of 2,1,82-90,,
7:26.0,M. Barnes enters the game for J. Redick,,82-90,,
7:26.0,J. Crawford makes free throw 2 of 2,1,83-90,,
7:05.0,,,83-90,,A. Gee misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by Team,,83-90,,
7:04.0,,,83-90,,Loose ball foul by K. Faried (drawn by D. Jordan)
7:04.0,,,83-90,,Technical foul by K. Faried (drawn by D. Jordan)
7:04.0,J. Crawford makes technical free throw,1,84-90,,
7:04.0,,,84-90,,A. Afflalo enters the game for A. Gee
7:04.0,,,84-90,,W. Chandler enters the game for N. Robinson
7:04.0,D. Jordan misses free throw 1 of 2,,84-90,,
7:04.0,Offensive rebound by Team,,84-90,,
7:04.0,D. Jordan makes free throw 2 of 2,1,85-90,,
6:43.0,,,85-90,,K. Faried misses 2-pt shot from 1 ft
6:41.0,Defensive rebound by D. Jordan,,85-90,,
6:36.0,,,85-90,,Personal foul by K. Faried (drawn by B. Griffin)
6:36.0,B. Griffin makes free throw 1 of 2,1,86-90,,
6:36.0,B. Griffin makes free throw 2 of 2,1,87-90,,
6:23.0,Personal foul by J. Crawford (drawn by A. Afflalo),,87-90,,
6:23.0,,,87-91,1,A. Afflalo makes free throw 1 of 2
6:23.0,,,87-92,1,A. Afflalo makes free throw 2 of 2
6:13.0,Turnover by C. Paul (lost ball; steal by J. Nurkic),,87-92,,
6:01.0,,,87-92,,Turnover by W. Chandler (traveling)
5:45.0,J. Crawford misses 2-pt shot from 17 ft,,87-92,,
5:43.0,Offensive rebound by D. Jordan,,87-92,,
5:29.0,C. Paul makes 2-pt shot from 16 ft,2,89-92,,
