time,Denver,pts.away,score,pts.home,New York
8:31.0,K. Faried misses flagrant free throw 2 of 2,,13-10,,
8:31.0,Offensive rebound by Team,,13-10,,
8:25.0,Turnover by T. Lawson (bad pass; steal by J. Smith),,13-10,,
8:20.0,,,13-12,2,S. Larkin makes 2-pt shot from 3 ft (assist by J. Smith)
8:05.0,T. Mozgov makes 2-pt shot from 12 ft (assist by T. Lawson),2,15-12,,
7:48.0,,,15-12,,J. Smith misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by A. Afflalo,,15-12,,
7:40.0,W. Chandler makes 3-pt shot from 23 ft (assist by A. Afflalo),3,18-12,,
7:22.0,,,18-12,,Turnover by C. Anthony (traveling)
7:08.0,T. Lawson misses 2-pt shot from 9 ft,,18-12,,
7:07.0,,,18-12,,Defensive rebound by S. Dalembert
6:46.0,,,18-12,,C. Anthony misses 2-pt shot from 18 ft
6:45.0,Defensive rebound by T. Mozgov,,18-12,,
6:33.0,T. Mozgov misses 2-pt shot from 14 ft,,18-12,,
6:31.0,,,18-12,,Defensive rebound by Q. Acy
6:11.0,,,18-14,2,J. Smith makes 2-pt shot from 15 ft
6:04.0,Denver full timeout,,18-14,,
6:04.0,,,18-14,,J. Smith enters the game for Q. Acy
6:04.0,,,18-14,,A. Stoudemire enters the game for S. Dalembert
6:02.0,,,18-14,,Personal foul by S. Larkin (drawn by T. Lawson)
5:53.0,,,18-14,,Personal foul by S. Larkin (drawn by T. Lawson)
5:53.0,,,18-14,,P. Prigioni enters the game for S. Larkin
5:41.0,Turnover by T. Lawson (lost ball; steal by J. Smith),,18-14,,
5:36.0,,,18-14,,Turnover by C. Anthony (traveling)
5:24.0,K. Faried makes 2-pt shot from 6 ft (assist by T. Mozgov),2,20-14,,
5:20.0,Personal foul by W. Chandler (drawn by C. Anthony),,20-14,,
5:10.0,,,20-16,2,J. Smith makes 2-pt shot from 17 ft (assist by J. Smith)
4:58.0,T. Mozgov makes 2-pt shot from 3 ft (assist by T. Lawson),2,22-16,,
4:46.0,,,22-16,,Shooting foul by T. Mozgov (drawn by A. Stoudemire)
4:46.0,,,22-16,,A. Stoudemire misses free throw 1 of 2
4:46.0,,,22-16,,Offensive rebound by Team
4:46.0,,,22-17,1,A. Stoudemire makes free throw 2 of 2
4:26.0,K. Faried makes 2-pt shot at rim,2,24-17,,
4:12.0,,,24-19,2,C. Anthony makes 2-pt shot from 6 ft
4:06.0,W. Chandler misses 2-pt shot from 2 ft,,24-19,,
4:05.0,Offensive rebound by W. Chandler,,24-19,,
4:05.0,W. Chandler misses 2-pt shot from 2 ft,,24-19,,
4:04.0,Offensive rebound by K. Faried,,24-19,,
4:04.0,K. Faried misses 2-pt shot from 2 ft,,24-19,,
4:02.0,,,24-19,,Defensive rebound by C. Anthony
3:56.0,,,24-21,2,J. Smith makes 2-pt shot from 16 ft (assist by J. Smith)
3:41.0,T. Lawson misses 2-pt shot from 2 ft,,24-21,,
3:39.0,,,24-21,,Defensive rebound by Team
3:21.0,,,24-21,,J. Smith misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by W. Chandler,,24-21,,
3:12.0,A. Afflalo makes 3-pt shot from 23 ft (assist by W. Chandler),3,27-21,,
2:59.0,,,27-23,2,J. Smith makes 2-pt shot from 16 ft
2:52.0,Turnover by K. Faried (lost ball),,27-23,,
2:52.0,,,27-23,,New York full timeout
2:52.0,D. Arthur enters the game for K. Faried,,27-23,,
2:36.0,,,27-25,2,C. Anthony makes 2-pt shot from 19 ft (assist by J. Smith)
2:19.0,T. Mozgov misses 2-pt shot from 6 ft,,27-25,,
2:16.0,Offensive rebound by A. Afflalo,,27-25,,
2:10.0,T. Lawson makes 2-pt shot from 20 ft (assist by W. Chandler),2,29-25,,
1:55.0,,,29-27,2,A. Stoudemire makes 2-pt shot from 4 ft
1:41.0,Turnover by T. Lawson (offensive foul),,29-27,,
1:41.0,Offensive foul by T. Lawson,,29-27,,
1:30.0,,,29-27,,A. Stoudemire misses 2-pt shot from 2 ft
1:29.0,Defensive rebound by A. Afflalo,,29-27,,
1:16.0,T. Lawson misses 2-pt shot from 2 ft,,29-27,,
1:15.0,,,29-27,,Defensive rebound by A. Stoudemire
0:59.0,,,29-29,2,J. Smith makes 2-pt shot from 15 ft
0:50.0,D. Arthur makes 2-pt shot from 20 ft (assist by T. Lawson),2,31-29,,
0:35.0,,,31-31,2,C. Anthony makes 2-pt shot from 3 ft
0:26.0,T. Lawson misses 2-pt shot from 20 ft,,31-31,,
0:25.0,,,31-31,,Defensive rebound by A. Stoudemire
0:06.0,,,31-31,,Turnover by J. Smith (lost ball; steal by W. Chandler)
0:01.0,Turnover by W. Chandler (bad pass),,31-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,G. Harris misses 2-pt shot from 1 ft,,31-31,,
11:34.0,,,31-31,,Defensive rebound by A. Stoudemire
11:11.0,,,31-31,,J. Smith misses 2-pt shot from 16 ft
11:10.0,,,31-31,,Offensive rebound by Team
11:10.0,,,31-31,,Turnover by Team (shot clock)
10:58.0,D. Arthur misses 3-pt shot from 24 ft,,31-31,,
10:56.0,,,31-31,,Defensive rebound by T. Hardaway
10:47.0,,,31-33,2,T. Wear makes 2-pt shot from 16 ft (assist by T. Hardaway)
10:22.0,G. Harris misses 3-pt shot from 25 ft,,31-33,,
10:21.0,Offensive rebound by Team,,31-33,,
10:21.0,Turnover by Team (shot clock),,31-33,,
10:09.0,,,31-33,,A. Stoudemire misses 2-pt shot from 15 ft
10:08.0,Defensive rebound by D. Arthur,,31-33,,
9:52.0,Shooting foul by A. Stoudemire (drawn by J. McGee),,31-33,,
9:52.0,J. McGee misses free throw 1 of 2,,31-33,,
9:52.0,Offensive rebound by Team,,31-33,,
9:52.0,,,31-33,,Q. Acy enters the game for J. Smith
9:52.0,J. McGee makes free throw 2 of 2,1,32-33,,
9:37.0,,,32-33,,Turnover by P. Prigioni (lost ball)
9:27.0,N. Robinson misses 2-pt shot from 12 ft,,32-33,,
9:25.0,,,32-33,,Defensive rebound by Q. Acy
9:17.0,,,32-33,,Turnover by T. Wear (bad pass; steal by G. Harris)
9:11.0,N. Robinson misses 3-pt shot from 24 ft,,32-33,,
9:10.0,,,32-33,,Defensive rebound by P. Prigioni
8:55.0,,,32-33,,A. Stoudemire misses 2-pt shot from 18 ft
8:54.0,Defensive rebound by D. Arthur,,32-33,,
8:44.0,Turnover by N. Robinson (bad pass; steal by Q. Acy),,32-33,,
8:40.0,,,32-35,2,T. Hardaway makes 2-pt shot at rim (assist by Q. Acy)
8:32.0,Shooting foul by A. Stoudemire (drawn by N. Robinson),,32-35,,
8:32.0,Official timeout,,32-35,,
8:32.0,,,32-35,,S. Dalembert enters the game for A. Stoudemire
8:32.0,N. Robinson misses free throw 1 of 2,,32-35,,
8:32.0,Offensive rebound by Team,,32-35,,
8:32.0,N. Robinson makes free throw 2 of 2,1,33-35,,
8:14.0,,,33-35,,P. Prigioni misses 2-pt shot from 16 ft
8:13.0,Defensive rebound by D. Arthur,,33-35,,
8:11.0,Turnover by D. Arthur (bad pass),,33-35,,
7:56.0,,,33-37,2,T. Hardaway makes 2-pt shot from 20 ft
7:35.0,,,33-37,,Personal foul by T. Wear (drawn by D. Gallinari)
7:35.0,,,33-37,,C. Anthony enters the game for T. Wear
7:29.0,N. Robinson misses 2-pt shot from 17 ft,,33-37,,
7:27.0,,,33-37,,Defensive rebound by S. Dalembert
7:15.0,,,33-37,,C. Anthony misses 2-pt shot from 17 ft
7:13.0,,,33-37,,Offensive rebound by S. Dalembert
6:59.0,,,33-39,2,S. Dalembert makes 2-pt shot from 12 ft
6:44.0,Turnover by N. Robinson (lost ball; steal by P. Prigioni),,33-39,,
6:40.0,,,33-39,,Q. Acy misses 2-pt shot from 2 ft
6:38.0,Defensive rebound by D. Arthur,,33-39,,
6:33.0,Shooting foul by Q. Acy (drawn by J. McGee),,33-39,,
6:33.0,J. McGee misses free throw 1 of 2,,33-39,,
6:33.0,Offensive rebound by Team,,33-39,,
6:33.0,A. Afflalo enters the game for G. Harris,,33-39,,
6:33.0,K. Faried enters the game for D. Arthur,,33-39,,
6:33.0,T. Lawson enters the game for N. Robinson,,33-39,,
6:33.0,J. McGee makes free throw 2 of 2,1,34-39,,
6:20.0,,,34-42,3,P. Prigioni makes 3-pt shot from 25 ft (assist by Q. Acy)
6:18.0,Turnover by T. Lawson (lost ball),,34-42,,
6:11.0,Personal foul by D. Gallinari (drawn by C. Anthony),,34-42,,
6:11.0,T. Mozgov enters the game for J. McGee,,34-42,,
6:08.0,Personal foul by A. Afflalo (drawn by C. Anthony),,34-42,,
5:57.0,,,34-42,,Q. Acy misses 2-pt shot from 3 ft
5:55.0,Defensive rebound by D. Gallinari,,34-42,,
5:54.0,,,34-42,,Personal foul by P. Prigioni (drawn by D. Gallinari)
5:54.0,,,34-42,,New York full timeout
5:54.0,,,34-42,,S. Larkin enters the game for Q. Acy
5:54.0,,,34-42,,J. Smith enters the game for P. Prigioni
5:54.0,,,34-42,,J. Smith enters the game for T. Hardaway
5:54.0,D. Gallinari makes free throw 1 of 2,1,35-42,,
5:54.0,D. Gallinari makes free throw 2 of 2,1,36-42,,
5:45.0,,,36-42,,Shooting foul by A. Afflalo (drawn by J. Smith)
5:45.0,,,36-43,1,J. Smith makes free throw 1 of 2
5:45.0,W. Chandler enters the game for A. Afflalo,,36-43,,
5:45.0,,,36-43,,J. Smith misses free throw 2 of 2
5:44.0,,,36-43,,Offensive rebound by S. Dalembert
5:42.0,,,36-45,2,S. Dalembert makes 2-pt shot from 4 ft
5:24.0,D. Gallinari misses 3-pt shot from 25 ft,,36-45,,
5:23.0,,,36-45,,Defensive rebound by S. Larkin
5:08.0,,,36-47,2,C. Anthony makes 2-pt shot from 1 ft
4:59.0,Denver full timeout,,36-47,,
4:59.0,G. Harris enters the game for D. Gallinari,,36-47,,
4:47.0,W. Chandler misses 2-pt shot from 5 ft,,36-47,,
4:45.0,,,36-47,,Defensive rebound by C. Anthony
4:44.0,,,36-47,,Turnover by C. Anthony (bad pass; steal by K. Faried)
4:43.0,Shooting foul by S. Dalembert (drawn by K. Faried),,36-47,,
4:43.0,K. Faried misses free throw 1 of 2,,36-47,,
4:43.0,Offensive rebound by Team,,36-47,,
4:43.0,K. Faried makes free throw 2 of 2,1,37-47,,
4:32.0,,,37-49,2,J. Smith makes 2-pt shot from 18 ft (assist by C. Anthony)
4:22.0,T. Mozgov misses 2-pt shot from 2 ft,,37-49,,
4:20.0,,,37-49,,Defensive rebound by J. Smith
4:13.0,,,37-49,,S. Dalembert misses 2-pt shot from 17 ft
4:12.0,,,37-49,,Offensive rebound by Team
4:12.0,Loose ball foul by W. Chandler (drawn by J. Smith),,37-49,,
4:07.0,,,37-49,,Turnover by J. Smith (bad pass; steal by G. Harris)
4:01.0,Turnover by G. Harris (traveling),,37-49,,
3:43.0,Personal foul by W. Chandler (drawn by C. Anthony),,37-49,,
3:43.0,,,37-50,1,C. Anthony makes free throw 1 of 2
3:43.0,A. Gee enters the game for W. Chandler,,37-50,,
3:43.0,,,37-50,,C. Anthony misses free throw 2 of 2
3:42.0,Defensive rebound by T. Mozgov,,37-50,,
3:33.0,K. Faried misses 2-pt shot from 1 ft,,37-50,,
3:31.0,,,37-50,,Defensive rebound by C. Anthony
3:25.0,,,37-53,3,C. Anthony makes 3-pt shot from 22 ft
3:10.0,Turnover by T. Mozgov (lost ball; steal by S. Dalembert),,37-53,,
3:03.0,,,37-55,2,C. Anthony makes 2-pt shot from 19 ft
3:02.0,Denver full timeout,,37-55,,
3:02.0,J. Hickson enters the game for K. Faried,,37-55,,
3:02.0,D. Arthur enters the game for T. Mozgov,,37-55,,
2:44.0,A. Gee misses 2-pt shot from 15 ft,,37-55,,
2:43.0,Offensive rebound by A. Gee,,37-55,,
2:41.0,A. Gee misses 2-pt shot from 3 ft,,37-55,,
2:40.0,,,37-55,,Defensive rebound by J. Smith
2:21.0,,,37-55,,Shooting foul by A. Gee (drawn by C. Anthony)
2:21.0,,,37-55,,C. Anthony misses free throw 1 of 2
2:21.0,,,37-55,,Offensive rebound by Team
2:21.0,,,37-55,,A. Stoudemire enters the game for J. Smith
2:21.0,,,37-56,1,C. Anthony makes free throw 2 of 2
2:14.0,T. Lawson misses 2-pt shot from 2 ft,,37-56,,
2:13.0,,,37-56,,Defensive rebound by S. Dalembert
2:01.0,,,37-56,,New York full timeout
2:01.0,,,37-56,,P. Prigioni enters the game for S. Larkin
1:54.0,,,37-58,2,P. Prigioni makes 2-pt shot from 1 ft (assist by S. Dalembert)
1:46.0,Shooting foul by P. Prigioni (drawn by T. Lawson),,37-58,,
1:46.0,T. Lawson misses free throw 1 of 2,,37-58,,
1:46.0,Offensive rebound by Team,,37-58,,
1:46.0,T. Lawson misses free throw 2 of 2,,37-58,,
1:45.0,,,37-58,,Defensive rebound by J. Smith
1:31.0,Personal foul by G. Harris (drawn by J. Smith),,37-58,,
1:31.0,,,37-59,1,J. Smith makes free throw 1 of 2
1:31.0,,,37-59,,Q. Acy enters the game for A. Stoudemire
1:31.0,,,37-60,1,J. Smith makes free throw 2 of 2
1:19.0,D. Arthur misses 3-pt shot from 25 ft,,37-60,,
1:17.0,,,37-60,,Defensive rebound by Team
1:04.0,,,37-60,,S. Dalembert misses 2-pt shot from 6 ft
1:02.0,,,37-60,,Offensive rebound by Q. Acy
0:50.0,,,37-60,,New York full timeout
0:41.0,,,37-62,2,J. Smith makes 2-pt shot from 21 ft (assist by Q. Acy)
0:34.0,G. Harris misses 2-pt shot at rim,,37-62,,
0:32.0,,,37-62,,Defensive rebound by S. Dalembert
0:09.0,,,37-62,,J. Smith misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by J. Hickson,,37-62,,
0:00.0,T. Lawson makes 2-pt shot from 3 ft,2,39-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Shooting foul by Q. Acy (drawn by T. Mozgov),,39-62,,
11:49.0,T. Mozgov makes free throw 1 of 2,1,40-62,,
11:49.0,T. Mozgov makes free throw 2 of 2,1,41-62,,
11:35.0,,,41-62,,S. Dalembert misses 2-pt shot from 5 ft
11:33.0,,,41-62,,Offensive rebound by S. Dalembert
11:32.0,,,41-64,2,S. Dalembert makes 2-pt shot from 1 ft
11:25.0,T. Lawson misses 2-pt shot at rim (block by S. Dalembert),,41-64,,
11:24.0,Offensive rebound by K. Faried,,41-64,,
11:23.0,K. Faried makes 2-pt shot from 2 ft,2,43-64,,
10:58.0,,,43-66,2,Q. Acy makes 2-pt shot from 19 ft (assist by S. Larkin)
10:50.0,,,43-66,,Personal foul by S. Dalembert (drawn by T. Mozgov)
10:34.0,A. Afflalo misses 2-pt shot from 20 ft,,43-66,,
10:32.0,Offensive rebound by T. Mozgov,,43-66,,
10:26.0,W. Chandler misses 3-pt shot from 24 ft,,43-66,,
10:25.0,Offensive rebound by T. Mozgov,,43-66,,
10:11.0,T. Lawson makes 2-pt shot from 19 ft,2,45-66,,
9:47.0,,,45-66,,C. Anthony misses 2-pt shot from 10 ft
9:45.0,Defensive rebound by W. Chandler,,45-66,,
9:41.0,Turnover by W. Chandler (bad pass; steal by Q. Acy),,45-66,,
9:26.0,,,45-68,2,C. Anthony makes 2-pt shot from 14 ft
9:09.0,K. Faried makes 2-pt shot from 7 ft,2,47-68,,
8:44.0,,,47-70,2,Q. Acy makes 2-pt shot from 13 ft
8:29.0,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson),3,50-70,,
8:01.0,,,50-73,3,S. Larkin makes 3-pt shot from 24 ft (assist by C. Anthony)
7:54.0,T. Lawson misses 2-pt shot from 5 ft,,50-73,,
7:53.0,Offensive rebound by T. Mozgov,,50-73,,
7:52.0,T. Mozgov makes 2-pt shot at rim,2,52-73,,
7:35.0,,,52-73,,Shooting foul by T. Mozgov (drawn by C. Anthony)
7:35.0,,,52-74,1,C. Anthony makes free throw 1 of 2
7:35.0,,,52-75,1,C. Anthony makes free throw 2 of 2
7:18.0,Turnover by T. Lawson (lost ball; steal by S. Larkin),,52-75,,
7:14.0,,,52-77,2,S. Larkin makes 2-pt shot from 2 ft
7:02.0,A. Afflalo makes 2-pt shot from 7 ft,2,54-77,,
6:39.0,,,54-77,,C. Anthony misses 3-pt shot from 26 ft
6:38.0,Defensive rebound by T. Mozgov,,54-77,,
6:32.0,W. Chandler misses 3-pt shot from 25 ft,,54-77,,
6:31.0,,,54-77,,Defensive rebound by Q. Acy
6:08.0,,,54-77,,S. Dalembert misses 2-pt shot from 12 ft
6:07.0,Defensive rebound by W. Chandler,,54-77,,
5:51.0,A. Afflalo misses 2-pt shot from 12 ft (block by J. Smith),,54-77,,
5:49.0,,,54-77,,Defensive rebound by J. Smith
5:36.0,,,54-79,2,C. Anthony makes 2-pt shot from 16 ft
5:35.0,Denver full timeout,,54-79,,
5:16.0,T. Mozgov misses 2-pt shot from 17 ft,,54-79,,
5:15.0,,,54-79,,Defensive rebound by C. Anthony
5:04.0,,,54-79,,J. Smith misses 2-pt shot from 17 ft
5:02.0,Defensive rebound by K. Faried,,54-79,,
4:46.0,,,54-79,,Personal foul by S. Larkin (drawn by W. Chandler)
4:46.0,J. Hickson enters the game for T. Mozgov,,54-79,,
4:33.0,A. Afflalo makes 3-pt shot from 22 ft (assist by J. Hickson),3,57-79,,
4:20.0,,,57-79,,Turnover by J. Smith (lost ball)
4:20.0,,,57-79,,A. Stoudemire enters the game for S. Dalembert
4:08.0,W. Chandler makes 2-pt shot from 2 ft,2,59-79,,
3:45.0,,,59-82,3,J. Smith makes 3-pt shot from 25 ft
3:26.0,T. Lawson makes 3-pt shot from 24 ft (assist by A. Afflalo),3,62-82,,
3:01.0,,,62-84,2,Q. Acy makes 2-pt shot from 18 ft
2:47.0,W. Chandler misses 3-pt shot from 24 ft,,62-84,,
2:45.0,Offensive rebound by K. Faried,,62-84,,
2:39.0,T. Lawson makes 2-pt shot from 1 ft,2,64-84,,
2:22.0,,,64-84,,S. Larkin misses 2-pt shot from 4 ft
2:21.0,Defensive rebound by K. Faried,,64-84,,
2:17.0,Shooting foul by A. Stoudemire (drawn by T. Lawson),,64-84,,
2:17.0,,,64-84,,New York full timeout
2:17.0,,,64-84,,T. Hardaway enters the game for Q. Acy
2:17.0,,,64-84,,P. Prigioni enters the game for C. Anthony
2:17.0,,,64-84,,T. Wear enters the game for S. Larkin
2:17.0,,,64-84,,J. Smith enters the game for J. Smith
2:17.0,T. Lawson makes free throw 1 of 2,1,65-84,,
2:17.0,D. Gallinari enters the game for W. Chandler,,65-84,,
2:17.0,T. Lawson makes free throw 2 of 2,1,66-84,,
1:53.0,,,66-86,2,A. Stoudemire makes 2-pt shot from 2 ft
1:31.0,D. Gallinari misses 3-pt shot from 22 ft,,66-86,,
1:30.0,,,66-86,,Defensive rebound by A. Stoudemire
1:14.0,,,66-86,,T. Hardaway misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by T. Lawson,,66-86,,
1:06.0,K. Faried makes 2-pt shot from 2 ft (assist by T. Lawson),2,68-86,,
0:45.0,,,68-86,,T. Wear misses 2-pt shot from 5 ft
0:44.0,Defensive rebound by J. Hickson,,68-86,,
0:34.0,D. Gallinari makes 3-pt shot from 24 ft (assist by T. Lawson),3,71-86,,
0:19.0,,,71-86,,P. Prigioni misses 3-pt shot from 24 ft
0:18.0,Defensive rebound by J. Hickson,,71-86,,
0:01.0,T. Lawson makes 3-pt shot from 25 ft,3,74-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,74-86,,Shooting foul by K. Faried (drawn by T. Hardaway)
11:36.0,,,74-87,1,T. Hardaway makes free throw 1 of 2
11:36.0,,,74-88,1,T. Hardaway makes free throw 2 of 2
11:22.0,T. Lawson misses 2-pt shot from 19 ft,,74-88,,
11:21.0,,,74-88,,Defensive rebound by P. Prigioni
11:00.0,,,74-88,,Turnover by A. Stoudemire (lost ball; steal by J. Hickson)
10:50.0,D. Gallinari misses 3-pt shot from 24 ft,,74-88,,
10:49.0,,,74-88,,Defensive rebound by T. Hardaway
10:35.0,,,74-88,,J. Smith misses 2-pt shot from 17 ft
10:33.0,,,74-88,,Offensive rebound by T. Wear
10:32.0,,,74-88,,T. Wear misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by A. Afflalo,,74-88,,
10:22.0,Turnover by T. Lawson (bad pass),,74-88,,
10:12.0,Personal foul by J. Hickson (drawn by A. Stoudemire),,74-88,,
10:12.0,N. Robinson enters the game for A. Afflalo,,74-88,,
10:12.0,,,74-88,,S. Larkin enters the game for T. Wear
10:12.0,A. Gee enters the game for T. Lawson,,74-88,,
10:04.0,,,74-88,,J. Smith misses 2-pt shot from 17 ft
10:03.0,,,74-88,,Offensive rebound by A. Stoudemire
10:02.0,,,74-88,,Shooting foul by J. Hickson (drawn by A. Stoudemire)
10:02.0,,,74-89,1,A. Stoudemire makes free throw 1 of 2
10:02.0,,,74-89,,Q. Acy enters the game for J. Smith
10:02.0,D. Arthur enters the game for K. Faried,,74-89,,
10:02.0,,,74-89,,A. Stoudemire misses free throw 2 of 2
10:01.0,Defensive rebound by J. Hickson,,74-89,,
9:48.0,D. Gallinari misses 3-pt shot from 24 ft,,74-89,,
9:47.0,,,74-89,,Defensive rebound by P. Prigioni
9:35.0,,,74-89,,T. Hardaway misses 2-pt shot from 21 ft
9:34.0,Defensive rebound by N. Robinson,,74-89,,
9:30.0,,,74-89,,Personal foul by A. Stoudemire (drawn by J. Hickson)
9:30.0,,,74-89,,T. Wear enters the game for T. Hardaway
9:17.0,D. Arthur makes 3-pt shot from 24 ft (assist by N. Robinson),3,77-89,,
8:59.0,,,77-89,,Turnover by P. Prigioni (bad pass; steal by N. Robinson)
8:55.0,N. Robinson makes 2-pt shot from 3 ft,2,79-89,,
8:55.0,Shooting foul by S. Larkin (drawn by N. Robinson),,79-89,,
8:55.0,Official timeout,,79-89,,
8:55.0,,,79-89,,C. Anthony enters the game for P. Prigioni
8:55.0,,,79-89,,J. Smith enters the game for T. Wear
8:55.0,N. Robinson makes free throw 1 of 1,1,80-89,,
8:32.0,,,80-91,2,A. Stoudemire makes 2-pt shot from 2 ft
8:32.0,,,80-91,,Shooting foul by J. Hickson (drawn by A. Stoudemire)
8:32.0,,,80-92,1,A. Stoudemire makes free throw 1 of 1
8:21.0,Shooting foul by J. Smith (drawn by A. Gee),,80-92,,
8:21.0,A. Gee misses free throw 1 of 2,,80-92,,
8:21.0,Offensive rebound by Team,,80-92,,
8:21.0,A. Gee makes free throw 2 of 2,1,81-92,,
8:02.0,,,81-94,2,J. Smith makes 2-pt shot from 3 ft
7:46.0,Turnover by D. Arthur (bad pass; steal by C. Anthony),,81-94,,
7:28.0,Personal foul by D. Arthur (drawn by J. Smith),,81-94,,
7:28.0,,,81-95,1,J. Smith makes free throw 1 of 2
7:28.0,W. Chandler enters the game for J. Hickson,,81-95,,
7:28.0,T. Lawson enters the game for D. Gallinari,,81-95,,
7:28.0,,,81-96,1,J. Smith makes free throw 2 of 2
7:07.0,W. Chandler misses 2-pt shot from 15 ft,,81-96,,
7:05.0,,,81-96,,Defensive rebound by Team
6:51.0,,,81-96,,S. Larkin misses 2-pt shot from 8 ft
6:50.0,,,81-96,,Offensive rebound by A. Stoudemire
6:50.0,,,81-96,,A. Stoudemire misses 2-pt shot from 2 ft
6:49.0,Defensive rebound by A. Gee,,81-96,,
6:48.0,,,81-96,,Personal foul by A. Stoudemire (drawn by D. Arthur)
6:38.0,N. Robinson misses 3-pt shot from 23 ft,,81-96,,
6:36.0,,,81-96,,Defensive rebound by C. Anthony
6:28.0,,,81-96,,Offensive foul by C. Anthony
6:28.0,,,81-96,,Turnover by C. Anthony (offensive foul)
6:28.0,,,81-96,,Technical foul by A. Stoudemire
6:28.0,N. Robinson makes technical free throw,1,82-96,,
6:28.0,,,82-96,,J. Smith enters the game for A. Stoudemire
6:17.0,Turnover by D. Arthur (bad pass; steal by Q. Acy),,82-96,,
6:01.0,,,82-96,,J. Smith misses 2-pt shot from 12 ft
6:00.0,Defensive rebound by D. Arthur,,82-96,,
5:51.0,T. Lawson misses 3-pt shot from 24 ft,,82-96,,
5:50.0,,,82-96,,Defensive rebound by C. Anthony
5:32.0,,,82-99,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Smith)
5:23.0,Denver full timeout,,82-99,,
5:23.0,A. Afflalo enters the game for N. Robinson,,82-99,,
5:23.0,K. Faried enters the game for A. Gee,,82-99,,
5:16.0,D. Arthur misses 3-pt shot from 23 ft,,82-99,,
5:15.0,,,82-99,,Defensive rebound by J. Smith
5:02.0,,,82-99,,J. Smith misses 2-pt shot from 17 ft
5:01.0,Defensive rebound by K. Faried,,82-99,,
4:52.0,Offensive foul by K. Faried,,82-99,,
4:52.0,Turnover by K. Faried (offensive foul),,82-99,,
4:29.0,,,82-99,,Q. Acy misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by W. Chandler,,82-99,,
4:18.0,,,82-99,,Personal foul by S. Larkin (drawn by T. Lawson)
4:18.0,T. Lawson misses free throw 1 of 2,,82-99,,
4:18.0,Offensive rebound by Team,,82-99,,
4:18.0,T. Lawson makes free throw 2 of 2,1,83-99,,
3:58.0,,,83-102,3,J. Smith makes 3-pt shot from 24 ft
