time,Chicago,pts.away,score,pts.home,Golden State
8:05.0,,,12-17,,Defensive rebound by K. Thompson
7:59.0,,,12-19,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
7:52.0,Chicago full timeout,,12-19,,
7:41.0,D. Rose misses 3-pt shot from 25 ft,,12-19,,
7:39.0,,,12-19,,Defensive rebound by H. Barnes
7:27.0,,,12-19,,Turnover by D. Green (bad pass)
7:04.0,P. Gasol misses 2-pt shot from 13 ft,,12-19,,
7:03.0,,,12-19,,Defensive rebound by M. Speights
6:57.0,,,12-19,,M. Speights misses 2-pt shot from 2 ft (block by P. Gasol)
6:55.0,Defensive rebound by P. Gasol,,12-19,,
6:48.0,D. Rose misses 2-pt shot from 3 ft (block by D. Green),,12-19,,
6:46.0,Offensive rebound by D. Rose,,12-19,,
6:31.0,K. Hinrich makes 2-pt shot from 20 ft (assist by P. Gasol),2,14-19,,
6:22.0,,,14-21,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
6:06.0,D. Rose makes 2-pt shot from 2 ft (assist by P. Gasol),2,16-21,,
5:57.0,,,16-21,,K. Thompson misses 2-pt shot from 15 ft
5:56.0,Defensive rebound by T. Snell,,16-21,,
5:47.0,T. Snell misses 3-pt shot from 26 ft,,16-21,,
5:46.0,,,16-21,,Defensive rebound by K. Thompson
5:35.0,,,16-21,,D. Green misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by P. Gasol,,16-21,,
5:32.0,Turnover by D. Rose (lost ball),,16-21,,
5:32.0,,,16-21,,D. Lee enters the game for M. Speights
5:16.0,,,16-21,,K. Thompson misses 3-pt shot from 27 ft
5:15.0,Defensive rebound by Team,,16-21,,
5:14.0,T. Gibson enters the game for J. Noah,,16-21,,
4:57.0,D. Rose misses 2-pt shot from 11 ft,,16-21,,
4:56.0,,,16-21,,Defensive rebound by D. Green
4:52.0,,,16-23,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
4:36.0,P. Gasol misses 2-pt shot from 3 ft,,16-23,,
4:35.0,Offensive rebound by P. Gasol,,16-23,,
4:34.0,P. Gasol misses 2-pt shot from 3 ft,,16-23,,
4:34.0,Offensive rebound by T. Gibson,,16-23,,
4:34.0,Shooting foul by D. Green (drawn by T. Gibson),,16-23,,
4:34.0,T. Gibson makes free throw 1 of 2,1,17-23,,
4:34.0,,,17-23,,J. Holiday enters the game for K. Thompson
4:34.0,T. Gibson makes free throw 2 of 2,1,18-23,,
4:23.0,,,18-23,,D. Green misses 3-pt shot from 26 ft
4:22.0,Defensive rebound by T. Snell,,18-23,,
4:08.0,T. Gibson misses 2-pt shot from 1 ft,,18-23,,
4:07.0,,,18-23,,Defensive rebound by D. Green
4:02.0,,,18-23,,Turnover by S. Curry (bad pass)
4:02.0,E. Moore enters the game for K. Hinrich,,18-23,,
4:02.0,,,18-23,,A. Iguodala enters the game for H. Barnes
3:41.0,D. Rose misses 2-pt shot from 18 ft,,18-23,,
3:40.0,Offensive rebound by P. Gasol,,18-23,,
3:39.0,P. Gasol makes 2-pt shot from 2 ft,2,20-23,,
3:29.0,,,20-23,,S. Curry misses 2-pt shot from 9 ft
3:28.0,Defensive rebound by P. Gasol,,20-23,,
3:23.0,D. Rose misses 2-pt shot from 1 ft,,20-23,,
3:23.0,,,20-23,,Defensive rebound by Team
3:23.0,Loose ball foul by P. Gasol (drawn by D. Green),,20-23,,
3:23.0,,,20-23,,Golden State full timeout
3:11.0,,,20-25,2,D. Lee makes 2-pt shot from 5 ft (assist by S. Curry)
2:51.0,T. Snell misses 2-pt shot from 20 ft,,20-25,,
2:50.0,,,20-25,,Defensive rebound by D. Lee
2:47.0,,,20-27,2,S. Curry makes 2-pt shot from 2 ft
2:31.0,Turnover by P. Gasol (lost ball; steal by S. Curry),,20-27,,
2:25.0,,,20-27,,Turnover by S. Curry (bad pass; steal by E. Moore)
2:16.0,T. Snell misses 2-pt shot from 2 ft,,20-27,,
2:10.0,Offensive rebound by P. Gasol,,20-27,,
2:10.0,P. Gasol makes 2-pt shot at rim,2,22-27,,
2:00.0,,,22-29,2,S. Curry makes 2-pt shot from 18 ft (assist by D. Green)
1:42.0,N. Mirotic enters the game for T. Snell,,22-29,,
1:42.0,A. Brooks enters the game for D. Rose,,22-29,,
1:33.0,T. Gibson makes 2-pt shot from 17 ft,2,24-29,,
1:25.0,,,24-32,3,S. Curry makes 3-pt shot from 26 ft
1:06.0,,,24-32,,Personal foul by S. Curry (drawn by A. Brooks)
1:06.0,A. Brooks makes free throw 1 of 2,1,25-32,,
1:06.0,A. Brooks makes free throw 2 of 2,1,26-32,,
0:52.0,,,26-35,3,D. Green makes 3-pt shot from 25 ft (assist by D. Lee)
0:40.0,A. Brooks makes 3-pt shot from 25 ft,3,29-35,,
0:31.0,,,29-35,,D. Lee misses 2-pt shot from 4 ft
0:30.0,Defensive rebound by T. Gibson,,29-35,,
0:16.0,A. Brooks misses 2-pt shot from 10 ft,,29-35,,
0:15.0,,,29-35,,Defensive rebound by J. Holiday
0:04.0,,,29-35,,D. Green misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by P. Gasol,,29-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Personal foul by E. Moore (drawn by K. Thompson),,29-35,,
11:36.0,,,29-35,,K. Thompson misses 3-pt shot from 27 ft
11:36.0,Defensive rebound by E. Moore,,29-35,,
11:19.0,,,29-35,,Violation by D. Lee (kicked ball)
11:09.0,E. Moore makes 2-pt shot from 13 ft (assist by J. Noah),2,31-35,,
10:49.0,,,31-35,,Turnover by K. Thompson (lost ball; steal by J. Noah)
10:44.0,E. Moore misses 3-pt shot from 29 ft,,31-35,,
10:43.0,,,31-35,,Defensive rebound by Team
10:35.0,Personal foul by N. Mirotic (drawn by A. Iguodala),,31-35,,
10:29.0,,,31-37,2,K. Thompson makes 2-pt shot from 11 ft (assist by D. Lee)
10:14.0,Offensive foul by T. Gibson,,31-37,,
10:14.0,Turnover by T. Gibson (offensive foul),,31-37,,
10:00.0,,,31-37,,S. Livingston misses 2-pt shot from 11 ft
9:59.0,,,31-37,,Offensive rebound by D. Lee
9:52.0,,,31-37,,Turnover by A. Iguodala (traveling)
9:40.0,A. Brooks misses 2-pt shot from 18 ft,,31-37,,
9:38.0,Offensive rebound by Team,,31-37,,
9:38.0,Technical foul by Team,,31-37,,
9:38.0,,,31-37,,K. Thompson misses technical free throw
9:38.0,Offensive rebound by Team,,31-37,,
9:26.0,A. Brooks misses 3-pt shot from 30 ft,,31-37,,
9:25.0,Offensive rebound by J. Noah,,31-37,,
9:23.0,Turnover by J. Noah (lost ball),,31-37,,
9:04.0,,,31-37,,A. Iguodala misses 3-pt shot from 23 ft
9:03.0,Defensive rebound by A. Brooks,,31-37,,
8:59.0,,,31-37,,Violation by S. Livingston (kicked ball)
8:45.0,T. Gibson misses 2-pt shot from 4 ft,,31-37,,
8:44.0,Offensive rebound by J. Noah,,31-37,,
8:43.0,Shooting foul by D. Lee (drawn by J. Noah),,31-37,,
8:43.0,J. Noah makes free throw 1 of 2,1,32-37,,
8:43.0,J. Noah makes free throw 2 of 2,1,33-37,,
8:25.0,,,33-37,,S. Livingston misses 2-pt shot from 12 ft
8:24.0,,,33-37,,Offensive rebound by Team
8:21.0,,,33-37,,D. Lee misses 2-pt shot from 9 ft
8:20.0,,,33-37,,Offensive rebound by H. Barnes
8:16.0,,,33-40,3,H. Barnes makes 3-pt shot from 24 ft (assist by D. Lee)
8:03.0,J. Noah makes 2-pt shot from 1 ft (assist by A. Brooks),2,35-40,,
7:53.0,,,35-42,2,H. Barnes makes 2-pt shot from 3 ft
7:41.0,A. Brooks makes 2-pt shot from 13 ft,2,37-42,,
7:31.0,,,37-44,2,D. Lee makes 2-pt shot from 1 ft (assist by S. Livingston)
7:17.0,N. Mirotic misses 2-pt shot from 20 ft,,37-44,,
7:16.0,,,37-44,,Defensive rebound by K. Thompson
7:10.0,,,37-44,,A. Iguodala misses 2-pt shot from 20 ft
7:09.0,Defensive rebound by A. Brooks,,37-44,,
6:57.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Noah),2,39-44,,
6:38.0,,,39-46,2,D. Lee makes 2-pt shot from 2 ft (assist by K. Thompson)
6:20.0,N. Mirotic misses 3-pt shot from 25 ft,,39-46,,
6:19.0,,,39-46,,Defensive rebound by S. Livingston
6:09.0,,,39-49,3,H. Barnes makes 3-pt shot from 26 ft (assist by D. Lee)
6:01.0,Chicago full timeout,,39-49,,
6:01.0,D. Rose enters the game for J. Noah,,39-49,,
6:01.0,P. Gasol enters the game for E. Moore,,39-49,,
6:01.0,K. Hinrich enters the game for A. Brooks,,39-49,,
6:01.0,,,39-49,,S. Curry enters the game for S. Livingston
5:53.0,Shooting foul by H. Barnes (drawn by N. Mirotic),,39-49,,
5:53.0,N. Mirotic makes free throw 1 of 2,1,40-49,,
5:53.0,N. Mirotic misses free throw 2 of 2,,40-49,,
5:52.0,,,40-49,,Defensive rebound by D. Lee
5:40.0,,,40-49,,S. Curry misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by T. Gibson,,40-49,,
5:18.0,N. Mirotic makes 3-pt shot from 25 ft (assist by P. Gasol),3,43-49,,
5:05.0,,,43-49,,D. Lee misses 2-pt shot from 5 ft
5:04.0,Defensive rebound by T. Gibson,,43-49,,
4:51.0,D. Rose makes 2-pt shot from 1 ft (assist by P. Gasol),2,45-49,,
4:33.0,,,45-49,,D. Lee misses 2-pt shot from 9 ft
4:32.0,Defensive rebound by T. Gibson,,45-49,,
4:18.0,P. Gasol makes 2-pt shot from 7 ft (assist by N. Mirotic),2,47-49,,
4:12.0,,,47-49,,Golden State full timeout
4:12.0,,,47-49,,M. Speights enters the game for D. Lee
4:12.0,,,47-49,,D. Green enters the game for A. Iguodala
4:09.0,,,47-49,,S. Curry misses 2-pt shot from 18 ft
4:08.0,Defensive rebound by T. Gibson,,47-49,,
3:52.0,D. Rose misses 3-pt shot from 25 ft,,47-49,,
3:51.0,,,47-49,,Defensive rebound by D. Green
3:43.0,,,47-49,,K. Thompson misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by N. Mirotic,,47-49,,
3:23.0,N. Mirotic makes 2-pt shot from 16 ft (assist by T. Gibson),2,49-49,,
3:13.0,,,49-49,,M. Speights misses 2-pt shot from 19 ft
3:12.0,Defensive rebound by N. Mirotic,,49-49,,
3:08.0,Offensive charge foul by D. Rose,,49-49,,
3:08.0,Turnover by D. Rose (offensive foul),,49-49,,
2:49.0,,,49-49,,H. Barnes misses 3-pt shot from 22 ft
2:48.0,Defensive rebound by D. Rose,,49-49,,
2:37.0,T. Gibson misses 2-pt shot from 15 ft,,49-49,,
2:36.0,,,49-49,,Defensive rebound by M. Speights
2:31.0,,,49-49,,Turnover by K. Thompson (lost ball; steal by N. Mirotic)
2:24.0,D. Rose misses 2-pt shot from 8 ft,,49-49,,
2:23.0,,,49-49,,Defensive rebound by M. Speights
2:17.0,,,49-52,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
1:58.0,N. Mirotic misses 3-pt shot from 26 ft,,49-52,,
1:57.0,,,49-52,,Defensive rebound by K. Thompson
1:47.0,,,49-52,,K. Thompson misses 2-pt shot from 17 ft
1:46.0,,,49-52,,Offensive rebound by M. Speights
1:46.0,,,49-52,,M. Speights misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by N. Mirotic,,49-52,,
1:38.0,T. Gibson misses 2-pt shot from 2 ft,,49-52,,
1:37.0,Offensive rebound by T. Gibson,,49-52,,
1:37.0,T. Gibson misses 2-pt shot from 2 ft,,49-52,,
1:35.0,Offensive rebound by T. Gibson,,49-52,,
1:34.0,T. Gibson makes 2-pt shot at rim,2,51-52,,
1:19.0,,,51-54,2,M. Speights makes 2-pt shot from 3 ft
1:13.0,Chicago full timeout,,51-54,,
1:13.0,J. Noah enters the game for T. Gibson,,51-54,,
1:03.0,K. Hinrich misses 3-pt shot from 22 ft,,51-54,,
1:02.0,,,51-54,,Defensive rebound by H. Barnes
0:51.0,,,51-54,,S. Curry misses 2-pt shot from 2 ft (block by P. Gasol)
0:51.0,,,51-54,,Offensive rebound by Team
0:50.0,Personal foul by J. Noah (drawn by D. Green),,51-54,,
0:50.0,,,51-54,,Golden State full timeout
0:39.0,,,51-54,,M. Speights misses 2-pt shot from 5 ft
0:38.0,,,51-54,,Offensive rebound by D. Green
0:38.0,,,51-54,,D. Green misses 2-pt shot at rim
0:37.0,,,51-54,,Offensive rebound by Team
0:34.0,,,51-54,,Turnover by M. Speights (bad pass)
0:28.0,Turnover by D. Rose (bad pass; steal by H. Barnes),,51-54,,
0:24.0,,,51-56,2,H. Barnes makes 2-pt shot at rim
0:03.0,D. Rose misses 2-pt shot from 10 ft,,51-56,,
0:01.0,,,51-56,,Defensive rebound by S. Curry
0:01.0,,,51-56,,S. Curry misses 3-pt shot from 55 ft
0:00.0,,,51-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,51-56,,K. Thompson misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by D. Rose,,51-56,,
11:19.0,Shooting foul by D. Green (drawn by T. Snell),,51-56,,
11:19.0,T. Snell makes free throw 1 of 2,1,52-56,,
11:19.0,T. Snell makes free throw 2 of 2,1,53-56,,
10:59.0,,,53-56,,M. Speights misses 2-pt shot from 17 ft
10:58.0,,,53-56,,Offensive rebound by K. Thompson
10:55.0,,,53-56,,K. Thompson misses 2-pt shot from 3 ft (block by P. Gasol)
10:54.0,,,53-56,,Offensive rebound by K. Thompson
10:53.0,,,53-56,,K. Thompson misses 2-pt shot at rim
10:53.0,,,53-56,,Offensive rebound by K. Thompson
10:51.0,,,53-58,2,M. Speights makes 2-pt shot from 1 ft
10:31.0,T. Snell misses 3-pt shot from 25 ft,,53-58,,
10:30.0,,,53-58,,Defensive rebound by M. Speights
10:23.0,,,53-58,,H. Barnes misses 2-pt shot from 6 ft
10:21.0,Defensive rebound by D. Rose,,53-58,,
10:14.0,Turnover by D. Rose (step out of bounds),,53-58,,
10:00.0,,,53-58,,Turnover by M. Speights (lost ball)
9:45.0,Turnover by D. Rose (bad pass),,53-58,,
9:35.0,,,53-60,2,S. Curry makes 2-pt shot from 1 ft (assist by D. Green)
9:11.0,K. Hinrich misses 3-pt shot from 24 ft,,53-60,,
9:10.0,Offensive rebound by J. Noah,,53-60,,
9:06.0,K. Hinrich misses 3-pt shot from 23 ft,,53-60,,
9:04.0,,,53-60,,Defensive rebound by S. Curry
9:04.0,Loose ball foul by P. Gasol (drawn by D. Green),,53-60,,
8:54.0,,,53-60,,Offensive charge foul by K. Thompson
8:54.0,,,53-60,,Turnover by K. Thompson (offensive foul)
8:42.0,J. Noah misses 2-pt shot from 18 ft,,53-60,,
8:41.0,Offensive rebound by K. Hinrich,,53-60,,
8:36.0,J. Noah misses 2-pt shot from 2 ft,,53-60,,
8:35.0,,,53-60,,Defensive rebound by K. Thompson
8:27.0,,,53-60,,S. Curry misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by J. Noah,,53-60,,
8:22.0,D. Rose makes 3-pt shot from 26 ft,3,56-60,,
8:07.0,,,56-60,,K. Thompson misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by P. Gasol,,56-60,,
7:58.0,J. Noah makes 2-pt shot from 17 ft (assist by P. Gasol),2,58-60,,
7:46.0,,,58-60,,M. Speights misses 2-pt shot from 11 ft (block by P. Gasol)
7:44.0,,,58-60,,Offensive rebound by M. Speights
7:43.0,,,58-62,2,M. Speights makes 2-pt shot from 13 ft
7:33.0,D. Rose makes 2-pt shot from 2 ft,2,60-62,,
7:20.0,,,60-62,,Turnover by H. Barnes (lost ball; steal by J. Noah)
7:14.0,Turnover by J. Noah (lost ball),,60-62,,
7:14.0,,,60-62,,Golden State full timeout
6:54.0,,,60-64,2,K. Thompson makes 2-pt shot from 3 ft
6:32.0,P. Gasol makes 2-pt shot from 1 ft,2,62-64,,
6:26.0,,,62-64,,M. Speights misses 2-pt shot from 6 ft
6:21.0,Defensive rebound by Team,,62-64,,
6:03.0,P. Gasol misses 3-pt shot from 26 ft (block by D. Green),,62-64,,
5:59.0,Offensive rebound by J. Noah,,62-64,,
5:58.0,J. Noah makes 2-pt shot at rim,2,64-64,,
5:50.0,,,64-66,2,K. Thompson makes 2-pt shot from 12 ft (assist by D. Green)
5:27.0,Turnover by P. Gasol (bad pass),,64-66,,
5:27.0,,,64-66,,D. Lee enters the game for M. Speights
5:19.0,,,64-66,,K. Thompson misses 2-pt shot from 9 ft
5:18.0,Defensive rebound by P. Gasol,,64-66,,
5:10.0,T. Snell makes 2-pt shot from 1 ft,2,66-66,,
4:56.0,Personal foul by K. Hinrich (drawn by D. Green),,66-66,,
4:49.0,,,66-68,2,D. Lee makes 2-pt shot from 6 ft (assist by K. Thompson)
4:49.0,,,66-68,,Shooting foul by J. Noah (drawn by D. Lee)
4:49.0,,,66-69,1,D. Lee makes free throw 1 of 1
4:41.0,Turnover by D. Rose (lost ball),,66-69,,
4:29.0,,,66-71,2,D. Lee makes 2-pt shot from 20 ft (assist by H. Barnes)
4:17.0,Turnover by D. Rose (bad pass; steal by S. Curry),,66-71,,
4:11.0,,,66-71,,S. Curry misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by J. Noah,,66-71,,
4:03.0,,,66-71,,S. Livingston enters the game for S. Curry
3:54.0,D. Rose makes 3-pt shot from 27 ft (assist by J. Noah),3,69-71,,
3:38.0,,,69-73,2,K. Thompson makes 2-pt shot from 15 ft (assist by H. Barnes)
3:15.0,P. Gasol makes 2-pt shot from 15 ft,2,71-73,,
3:02.0,,,71-73,,H. Barnes misses 2-pt shot from 18 ft
3:00.0,,,71-73,,Offensive rebound by D. Lee
2:57.0,,,71-73,,D. Green misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by K. Hinrich,,71-73,,
2:47.0,T. Snell makes 2-pt shot from 2 ft (assist by K. Hinrich),2,73-73,,
2:30.0,,,73-73,,K. Thompson misses 2-pt shot from 10 ft (block by D. Rose)
2:28.0,Defensive rebound by J. Noah,,73-73,,
2:18.0,D. Rose makes 2-pt shot from 1 ft,2,75-73,,
2:05.0,,,75-75,2,D. Lee makes 2-pt shot from 2 ft (assist by S. Livingston)
1:38.0,J. Noah misses 2-pt shot from 10 ft,,75-75,,
1:37.0,,,75-75,,Defensive rebound by D. Lee
1:27.0,,,75-77,2,D. Lee makes 2-pt shot from 16 ft (assist by S. Livingston)
1:18.0,Chicago full timeout,,75-77,,
1:18.0,T. Gibson enters the game for J. Noah,,75-77,,
1:18.0,A. Brooks enters the game for D. Rose,,75-77,,
1:18.0,,,75-77,,A. Iguodala enters the game for H. Barnes
1:18.0,,,75-77,,J. McAdoo enters the game for D. Green
1:08.0,T. Snell misses 3-pt shot from 23 ft,,75-77,,
1:07.0,Offensive rebound by P. Gasol,,75-77,,
0:59.0,Turnover by A. Brooks (bad pass; steal by K. Thompson),,75-77,,
0:40.0,,,75-79,2,S. Livingston makes 2-pt shot from 12 ft
0:27.0,Shooting foul by D. Lee (drawn by P. Gasol),,75-79,,
0:27.0,P. Gasol makes free throw 1 of 2,1,76-79,,
0:27.0,P. Gasol makes free throw 2 of 2,1,77-79,,
0:05.0,,,77-81,2,D. Lee makes 2-pt shot from 1 ft (assist by A. Iguodala)
0:01.0,A. Brooks makes 2-pt shot from 1 ft,2,79-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,A. Brooks misses 2-pt shot from 10 ft,,79-81,,
11:36.0,,,79-81,,Defensive rebound by H. Barnes
11:25.0,,,79-83,2,S. Curry makes 2-pt shot from 10 ft (assist by D. Lee)
11:25.0,,,79-83,,Shooting foul by E. Moore (drawn by S. Curry)
11:25.0,J. Noah enters the game for T. Snell,,79-83,,
11:25.0,,,79-84,1,S. Curry makes free throw 1 of 1
11:02.0,A. Brooks misses 2-pt shot from 9 ft,,79-84,,
11:01.0,,,79-84,,Defensive rebound by H. Barnes
10:54.0,,,79-84,,Shooting foul by N. Mirotic (drawn by D. Lee)
10:54.0,,,79-85,1,D. Lee makes free throw 1 of 2
10:54.0,D. Rose enters the game for E. Moore,,79-85,,
10:54.0,,,79-86,1,D. Lee makes free throw 2 of 2
10:40.0,Turnover by D. Rose (bad pass; steal by A. Iguodala),,79-86,,
10:35.0,,,79-88,2,D. Lee makes 2-pt shot at rim (assist by S. Curry)
10:34.0,Chicago full timeout,,79-88,,
10:20.0,D. Rose misses 3-pt shot from 25 ft,,79-88,,
10:19.0,,,79-88,,Defensive rebound by A. Iguodala
10:09.0,,,79-88,,A. Iguodala misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by J. Noah,,79-88,,
10:00.0,Shooting foul by S. Curry (drawn by A. Brooks),,79-88,,
10:00.0,A. Brooks misses free throw 1 of 2,,79-88,,
10:00.0,Offensive rebound by Team,,79-88,,
10:00.0,A. Brooks makes free throw 2 of 2,1,80-88,,
9:49.0,,,80-88,,S. Curry misses 2-pt shot from 16 ft
9:48.0,Defensive rebound by D. Rose,,80-88,,
9:34.0,D. Rose misses 2-pt shot from 11 ft,,80-88,,
9:32.0,Offensive rebound by Team,,80-88,,
9:24.0,Turnover by D. Rose (bad pass; steal by A. Iguodala),,80-88,,
9:23.0,Clear path foul by N. Mirotic,,80-88,,
9:23.0,,,80-88,,A. Iguodala misses clear path free throw 1 of 2
9:23.0,,,80-88,,Offensive rebound by Team
9:23.0,,,80-88,,A. Iguodala misses clear path free throw 2 of 2
9:23.0,,,80-88,,Offensive rebound by Team
9:04.0,,,80-88,,J. Holiday misses 3-pt shot from 25 ft
9:03.0,,,80-88,,Offensive rebound by D. Lee
8:58.0,,,80-88,,S. Curry misses 2-pt shot from 3 ft (block by T. Gibson)
8:57.0,,,80-88,,Offensive rebound by D. Lee
8:57.0,,,80-90,2,D. Lee makes 2-pt shot from 1 ft
8:57.0,,,80-90,,Shooting foul by T. Gibson (drawn by D. Lee)
8:57.0,,,80-91,1,D. Lee makes free throw 1 of 1
8:44.0,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Noah),3,83-91,,
8:28.0,,,83-93,2,J. Holiday makes 2-pt shot from 2 ft (assist by D. Lee)
8:02.0,Turnover by N. Mirotic (lost ball; steal by A. Iguodala),,83-93,,
7:57.0,,,83-93,,Shooting foul by A. Brooks (drawn by H. Barnes)
7:57.0,,,83-93,,H. Barnes misses free throw 1 of 2
7:57.0,,,83-93,,Offensive rebound by Team
7:57.0,,,83-93,,H. Barnes misses free throw 2 of 2
7:56.0,Defensive rebound by T. Gibson,,83-93,,
7:44.0,,,83-93,,Personal foul by J. Holiday (drawn by J. Noah)
7:38.0,D. Rose misses 2-pt shot from 5 ft,,83-93,,
7:36.0,Offensive rebound by J. Noah,,83-93,,
7:36.0,J. Noah makes 2-pt shot from 1 ft,2,85-93,,
7:16.0,,,85-93,,D. Lee misses 2-pt shot from 19 ft
7:15.0,Defensive rebound by N. Mirotic,,85-93,,
7:09.0,,,85-93,,Personal foul by J. Holiday (drawn by N. Mirotic)
7:09.0,N. Mirotic makes free throw 1 of 3,1,86-93,,
7:09.0,N. Mirotic makes free throw 2 of 3,1,87-93,,
7:09.0,,,87-93,,Golden State full timeout
7:09.0,,,87-93,,K. Thompson enters the game for H. Barnes
7:09.0,,,87-93,,D. Green enters the game for J. Holiday
7:09.0,K. Hinrich enters the game for A. Brooks,,87-93,,
7:09.0,N. Mirotic makes free throw 3 of 3,1,88-93,,
6:52.0,,,88-93,,D. Lee misses 2-pt shot from 6 ft
6:51.0,Defensive rebound by D. Rose,,88-93,,
6:37.0,D. Rose makes 2-pt shot from 1 ft,2,90-93,,
6:28.0,,,90-95,2,D. Green makes 2-pt shot from 2 ft
6:10.0,Shooting foul by D. Lee (drawn by T. Gibson),,90-95,,
6:10.0,T. Gibson makes free throw 1 of 2,1,91-95,,
6:10.0,P. Gasol enters the game for J. Noah,,91-95,,
6:10.0,,,91-95,,M. Speights enters the game for D. Lee
6:10.0,T. Gibson makes free throw 2 of 2,1,92-95,,
5:54.0,,,92-97,2,K. Thompson makes 2-pt shot from 22 ft (assist by A. Iguodala)
5:30.0,T. Gibson misses 2-pt shot from 7 ft,,92-97,,
5:29.0,,,92-97,,Defensive rebound by K. Thompson
5:24.0,,,92-99,2,M. Speights makes 2-pt shot from 1 ft (assist by D. Green)
5:24.0,Chicago full timeout,,92-99,,
5:24.0,J. Noah enters the game for T. Gibson,,92-99,,
5:02.0,D. Rose makes 2-pt shot from 4 ft,2,94-99,,
4:45.0,,,94-99,,M. Speights misses 2-pt shot from 17 ft
4:44.0,Defensive rebound by P. Gasol,,94-99,,
4:36.0,D. Rose makes 2-pt shot from 8 ft,2,96-99,,
4:25.0,,,96-99,,Turnover by D. Green (bad pass)
4:08.0,P. Gasol makes 2-pt shot from 12 ft,2,98-99,,
4:07.0,,,98-99,,Golden State full timeout
3:54.0,,,98-101,2,K. Thompson makes 2-pt shot from 17 ft (assist by A. Iguodala)
3:37.0,D. Rose misses 2-pt shot from 8 ft,,98-101,,
3:36.0,,,98-101,,Defensive rebound by M. Speights
3:25.0,,,98-101,,S. Curry misses 2-pt shot from 19 ft
3:24.0,,,98-101,,Offensive rebound by M. Speights
3:24.0,,,98-101,,M. Speights misses 2-pt shot from 1 ft
3:22.0,Defensive rebound by J. Noah,,98-101,,
3:04.0,Turnover by N. Mirotic (offensive foul),,98-101,,
3:04.0,Offensive charge foul by N. Mirotic,,98-101,,
