time,Washington,pts.away,score,pts.home,Indiana
3:06.0,J. Wall misses 2-pt shot from 20 ft,,14-9,,
3:05.0,,,14-9,,Defensive rebound by P. George
2:56.0,,,14-12,3,P. George makes 3-pt shot from 26 ft
2:47.0,Washington full timeout,,14-12,,
2:47.0,K. Humphries enters the game for D. Gooden,,14-12,,
2:30.0,O. Porter misses 2-pt shot from 18 ft (block by D. West),,14-12,,
2:29.0,Offensive rebound by O. Porter,,14-12,,
2:27.0,O. Porter misses 2-pt shot from 20 ft,,14-12,,
2:26.0,,,14-12,,Defensive rebound by R. Stuckey
2:13.0,,,14-14,2,D. West makes 2-pt shot from 2 ft (assist by R. Stuckey)
1:55.0,M. Gortat makes 2-pt shot at rim (assist by P. Pierce),2,16-14,,
1:41.0,,,16-14,,P. George misses 3-pt shot from 27 ft
1:40.0,Defensive rebound by M. Gortat,,16-14,,
1:31.0,J. Wall misses 2-pt shot from 17 ft,,16-14,,
1:30.0,,,16-14,,Defensive rebound by P. George
1:26.0,,,16-14,,Turnover by P. George (bad pass)
1:26.0,,,16-14,,L. Scola enters the game for D. West
1:26.0,R. Butler enters the game for P. Pierce,,16-14,,
1:02.0,O. Porter misses 3-pt shot from 26 ft,,16-14,,
1:01.0,,,16-14,,Defensive rebound by P. George
0:56.0,,,16-14,,R. Stuckey misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by O. Porter,,16-14,,
0:51.0,Turnover by J. Wall (traveling),,16-14,,
0:41.0,,,16-14,,L. Scola misses 2-pt shot from 1 ft
0:40.0,,,16-14,,Offensive rebound by Team
0:38.0,,,16-14,,P. George misses 2-pt shot from 16 ft
0:37.0,,,16-14,,Offensive rebound by L. Scola
0:20.0,,,16-14,,P. George misses 2-pt shot from 15 ft
0:19.0,,,16-14,,Offensive rebound by G. Hill
0:03.0,,,16-16,2,G. Hill makes 2-pt shot from 19 ft
0:00.0,J. Wall misses 2-pt shot from 21 ft,,16-16,,
0:00.0,Offensive rebound by Team,,16-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,16-18,2,I. Mahinmi makes 2-pt shot from 2 ft
11:14.0,O. Porter makes 2-pt shot from 20 ft (assist by K. Seraphin),2,18-18,,
11:00.0,,,18-18,,Shooting foul by K. Seraphin (drawn by L. Scola)
11:00.0,,,18-18,,L. Scola misses free throw 1 of 2
11:00.0,,,18-18,,Offensive rebound by Team
11:00.0,,,18-18,,L. Scola misses free throw 2 of 2
11:00.0,Defensive rebound by K. Humphries,,18-18,,
10:45.0,,,18-18,,Personal foul by I. Mahinmi (drawn by K. Seraphin)
10:34.0,K. Seraphin misses 2-pt shot from 14 ft,,18-18,,
10:32.0,Offensive rebound by K. Humphries,,18-18,,
10:32.0,K. Humphries misses 2-pt shot from 1 ft,,18-18,,
10:31.0,Offensive rebound by O. Porter,,18-18,,
10:27.0,R. Butler makes 3-pt shot from 25 ft (assist by R. Sessions),3,21-18,,
10:05.0,,,21-20,2,P. George makes 2-pt shot from 1 ft
9:58.0,Shooting foul by I. Mahinmi (drawn by R. Sessions),,21-20,,
9:58.0,R. Sessions makes free throw 1 of 2,1,22-20,,
9:58.0,,,22-20,,C. Miles enters the game for P. George
9:58.0,R. Sessions makes free throw 2 of 2,1,23-20,,
9:43.0,,,23-20,,R. Stuckey misses 2-pt shot from 18 ft
9:41.0,Defensive rebound by K. Humphries,,23-20,,
9:36.0,Turnover by R. Sessions (bad pass; steal by L. Scola),,23-20,,
9:24.0,,,23-20,,L. Scola misses 2-pt shot from 7 ft
9:23.0,Defensive rebound by K. Seraphin,,23-20,,
9:13.0,R. Sessions misses 2-pt shot from 20 ft,,23-20,,
9:12.0,,,23-20,,Defensive rebound by L. Scola
9:12.0,Loose ball foul by K. Humphries (drawn by L. Scola),,23-20,,
9:00.0,,,23-23,3,C. Miles makes 3-pt shot from 27 ft (assist by D. Sloan)
8:43.0,R. Sessions makes 2-pt shot at rim (assist by K. Seraphin),2,25-23,,
8:28.0,,,25-23,,Turnover by L. Scola (lost ball; steal by R. Butler)
8:14.0,K. Humphries misses 2-pt shot from 19 ft,,25-23,,
8:12.0,,,25-23,,Defensive rebound by D. Sloan
8:10.0,Personal foul by R. Sessions (drawn by D. Sloan),,25-23,,
8:10.0,Official timeout,,25-23,,
8:10.0,,,25-23,,L. Allen enters the game for I. Mahinmi
7:53.0,,,25-23,,D. Sloan misses 3-pt shot from 26 ft
7:52.0,Defensive rebound by Team,,25-23,,
7:39.0,Offensive foul by K. Humphries,,25-23,,
7:39.0,Turnover by K. Humphries (offensive foul),,25-23,,
7:24.0,,,25-23,,R. Stuckey misses 2-pt shot from 9 ft
7:23.0,,,25-23,,Offensive rebound by L. Allen
7:23.0,,,25-23,,L. Allen misses 2-pt shot from 1 ft
7:21.0,,,25-23,,Offensive rebound by L. Scola
7:18.0,,,25-23,,D. Sloan misses 2-pt shot at rim (block by K. Humphries)
7:16.0,Defensive rebound by K. Humphries,,25-23,,
7:11.0,Shooting foul by L. Allen (drawn by K. Seraphin),,25-23,,
7:11.0,K. Seraphin makes free throw 1 of 2,1,26-23,,
7:11.0,K. Seraphin makes free throw 2 of 2,1,27-23,,
6:59.0,,,27-23,,C. Miles misses 3-pt shot from 27 ft
6:57.0,Defensive rebound by O. Porter,,27-23,,
6:52.0,R. Butler misses 2-pt shot from 9 ft,,27-23,,
6:50.0,,,27-23,,Defensive rebound by L. Scola
6:41.0,,,27-23,,R. Stuckey misses 2-pt shot at rim
6:40.0,,,27-23,,Offensive rebound by L. Allen
6:40.0,,,27-23,,L. Allen misses 2-pt shot at rim
6:39.0,Defensive rebound by K. Humphries,,27-23,,
6:34.0,O. Porter misses 2-pt shot from 2 ft,,27-23,,
6:33.0,Offensive rebound by K. Humphries,,27-23,,
6:33.0,K. Humphries misses 2-pt shot at rim,,27-23,,
6:31.0,Offensive rebound by R. Butler,,27-23,,
6:25.0,O. Porter misses 3-pt shot from 25 ft,,27-23,,
6:24.0,,,27-23,,Defensive rebound by L. Scola
6:07.0,,,27-23,,Indiana full timeout
6:07.0,D. Gooden enters the game for K. Humphries,,27-23,,
6:07.0,B. Beal enters the game for R. Butler,,27-23,,
5:53.0,,,27-23,,C. Miles misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by K. Seraphin,,27-23,,
5:42.0,,,27-23,,Violation by L. Allen (kicked ball)
5:42.0,,,27-23,,G. Hill enters the game for D. Sloan
5:37.0,Offensive foul by R. Sessions,,27-23,,
5:37.0,Turnover by R. Sessions (offensive foul),,27-23,,
5:25.0,,,27-23,,L. Allen misses 2-pt shot from 20 ft
5:24.0,Defensive rebound by O. Porter,,27-23,,
5:09.0,B. Beal makes 2-pt shot from 9 ft,2,29-23,,
4:52.0,,,29-25,2,C. Miles makes 2-pt shot from 20 ft (assist by G. Hill)
4:39.0,,,29-25,,Personal foul by C. Miles (drawn by B. Beal)
4:39.0,J. Wall enters the game for R. Sessions,,29-25,,
4:39.0,,,29-25,,D. West enters the game for L. Scola
4:32.0,B. Beal misses 2-pt shot from 1 ft (block by L. Allen),,29-25,,
4:32.0,Offensive rebound by Team,,29-25,,
4:26.0,K. Seraphin misses 2-pt shot from 18 ft,,29-25,,
4:26.0,Offensive rebound by Team,,29-25,,
4:26.0,,,29-25,,Loose ball foul by D. West (drawn by D. Gooden)
4:26.0,D. Gooden makes free throw 1 of 2,1,30-25,,
4:26.0,M. Gortat enters the game for K. Seraphin,,30-25,,
4:26.0,D. Gooden makes free throw 2 of 2,1,31-25,,
4:07.0,,,31-25,,C. Miles misses 3-pt shot from 23 ft
4:06.0,Defensive rebound by J. Wall,,31-25,,
4:02.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,33-25,,
3:49.0,,,33-27,2,G. Hill makes 2-pt shot from 4 ft
3:41.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,36-27,,
3:27.0,,,36-27,,G. Hill misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by D. Gooden,,36-27,,
3:19.0,Washington full timeout,,36-27,,
3:19.0,,,36-27,,S. Hill enters the game for R. Stuckey
3:10.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,39-27,,
2:49.0,,,39-27,,G. Hill misses 3-pt shot from 27 ft
2:46.0,,,39-27,,Offensive rebound by D. West
2:35.0,,,39-29,2,S. Hill makes 2-pt shot at rim (assist by L. Allen)
2:35.0,,,39-29,,Shooting foul by B. Beal (drawn by S. Hill)
2:35.0,,,39-29,,S. Hill misses free throw 1 of 1
2:35.0,Defensive rebound by B. Beal,,39-29,,
2:12.0,D. Gooden misses 2-pt shot from 1 ft,,39-29,,
2:11.0,Offensive rebound by Team,,39-29,,
2:11.0,Turnover by Team (shot clock),,39-29,,
1:55.0,,,39-29,,C. Miles misses 3-pt shot from 23 ft
1:54.0,Defensive rebound by M. Gortat,,39-29,,
1:49.0,J. Wall misses 2-pt shot from 2 ft,,39-29,,
1:48.0,,,39-29,,Defensive rebound by D. West
1:36.0,,,39-31,2,C. Miles makes 2-pt shot at rim (assist by L. Allen)
1:14.0,B. Beal misses 2-pt shot from 17 ft,,39-31,,
1:13.0,,,39-31,,Defensive rebound by D. West
0:51.0,,,39-31,,C. Miles misses 3-pt shot from 23 ft
0:50.0,Defensive rebound by D. Gooden,,39-31,,
0:45.0,J. Wall makes 2-pt shot from 1 ft (assist by D. Gooden),2,41-31,,
0:40.0,,,41-31,,Indiana full timeout
0:40.0,,,41-31,,R. Stuckey enters the game for S. Hill
0:22.0,,,41-33,2,G. Hill makes 2-pt shot from 2 ft
0:16.0,Washington full timeout,,41-33,,
0:16.0,,,41-33,,R. Hibbert enters the game for L. Allen
0:16.0,,,41-33,,S. Hill enters the game for R. Stuckey
0:03.0,B. Beal misses 2-pt shot from 7 ft,,41-33,,
0:01.0,,,41-33,,Defensive rebound by C. Miles
0:00.0,,,41-33,,C. Miles misses 3-pt shot from 70 ft
0:00.0,,,41-33,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,41-36,3,C. Miles makes 3-pt shot from 27 ft (assist by G. Hill)
11:24.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,44-36,,
11:11.0,,,44-38,2,D. West makes 2-pt shot at rim (assist by G. Hill)
10:59.0,J. Wall misses 3-pt shot from 26 ft,,44-38,,
10:58.0,,,44-38,,Defensive rebound by R. Hibbert
10:45.0,,,44-40,2,S. Hill makes 2-pt shot from 19 ft
10:21.0,M. Gortat makes 2-pt shot at rim (assist by D. Gooden),2,46-40,,
10:05.0,,,46-40,,D. West misses 2-pt shot from 19 ft
10:04.0,Defensive rebound by B. Beal,,46-40,,
9:50.0,M. Gortat misses 2-pt shot from 11 ft,,46-40,,
9:49.0,,,46-40,,Defensive rebound by C. Miles
9:42.0,,,46-42,2,C. Miles makes 2-pt shot at rim
9:27.0,,,46-42,,Personal foul by S. Hill (drawn by B. Beal)
9:13.0,D. Gooden misses 2-pt shot from 20 ft,,46-42,,
9:13.0,Offensive rebound by Team,,46-42,,
9:13.0,Turnover by Team (shot clock),,46-42,,
8:49.0,,,46-45,3,S. Hill makes 3-pt shot from 25 ft (assist by R. Hibbert)
8:48.0,Washington full timeout,,46-45,,
8:40.0,M. Gortat misses 2-pt shot at rim,,46-45,,
8:39.0,,,46-45,,Defensive rebound by G. Hill
8:14.0,,,46-45,,Turnover by Team (shot clock)
7:59.0,B. Beal misses 3-pt shot from 23 ft,,46-45,,
7:59.0,,,46-45,,Defensive rebound by Team
7:59.0,Loose ball foul by P. Pierce (drawn by C. Miles),,46-45,,
7:45.0,,,46-45,,C. Miles misses 3-pt shot from 23 ft
7:43.0,,,46-45,,Offensive rebound by Team
7:41.0,,,46-45,,S. Hill misses 2-pt shot from 16 ft
7:39.0,Defensive rebound by B. Beal,,46-45,,
7:30.0,B. Beal misses 2-pt shot at rim (block by R. Hibbert),,46-45,,
7:27.0,Offensive rebound by B. Beal,,46-45,,
7:24.0,B. Beal misses 3-pt shot from 23 ft,,46-45,,
7:23.0,,,46-45,,Defensive rebound by D. West
7:08.0,,,46-45,,Turnover by C. Miles (lost ball; steal by B. Beal)
6:49.0,Shooting foul by G. Hill (drawn by M. Gortat),,46-45,,
6:49.0,M. Gortat misses free throw 1 of 2,,46-45,,
6:49.0,Offensive rebound by Team,,46-45,,
6:49.0,M. Gortat makes free throw 2 of 2,1,47-45,,
6:32.0,,,47-45,,G. Hill misses 2-pt shot from 16 ft
6:31.0,Defensive rebound by B. Beal,,47-45,,
6:13.0,D. Gooden misses 2-pt shot from 2 ft (block by G. Hill),,47-45,,
6:13.0,Offensive rebound by Team,,47-45,,
6:05.0,P. Pierce misses 3-pt shot from 33 ft,,47-45,,
6:04.0,,,47-45,,Defensive rebound by R. Hibbert
5:58.0,Technical foul by Team,,47-45,,
5:58.0,,,47-46,1,C. Miles makes technical free throw
5:48.0,,,47-46,,C. Miles misses 2-pt shot from 20 ft
5:48.0,,,47-46,,Offensive rebound by Team
5:48.0,Loose ball foul by M. Gortat (drawn by R. Hibbert),,47-46,,
5:38.0,,,47-48,2,D. West makes 2-pt shot at rim (assist by S. Hill)
5:14.0,J. Wall misses 3-pt shot from 23 ft,,47-48,,
5:13.0,Offensive rebound by D. Gooden,,47-48,,
5:11.0,D. Gooden misses 2-pt shot at rim (block by R. Hibbert),,47-48,,
5:09.0,,,47-48,,Defensive rebound by S. Hill
5:04.0,,,47-48,,Offensive foul by D. West
5:04.0,,,47-48,,Turnover by D. West (offensive foul)
5:04.0,O. Porter enters the game for P. Pierce,,47-48,,
5:04.0,,,47-48,,R. Stuckey enters the game for C. Miles
4:51.0,M. Gortat makes 2-pt shot from 9 ft (assist by J. Wall),2,49-48,,
4:50.0,,,49-48,,Indiana full timeout
4:33.0,,,49-48,,D. West misses 2-pt shot from 6 ft (block by D. Gooden)
4:32.0,Defensive rebound by M. Gortat,,49-48,,
4:21.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,51-48,,
4:04.0,,,51-50,2,D. West makes 2-pt shot from 20 ft (assist by G. Hill)
3:47.0,D. Gooden makes 2-pt shot from 18 ft (assist by J. Wall),2,53-50,,
3:29.0,,,53-50,,R. Hibbert misses 2-pt shot from 6 ft
3:28.0,Defensive rebound by D. Gooden,,53-50,,
3:10.0,B. Beal misses 3-pt shot from 26 ft,,53-50,,
3:08.0,,,53-50,,Defensive rebound by R. Hibbert
2:48.0,,,53-50,,R. Stuckey misses 2-pt shot from 19 ft
2:47.0,Defensive rebound by B. Beal,,53-50,,
2:27.0,J. Wall makes 2-pt shot from 18 ft,2,55-50,,
2:09.0,,,55-50,,G. Hill misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by M. Gortat,,55-50,,
1:55.0,J. Wall misses 2-pt shot from 17 ft,,55-50,,
1:54.0,,,55-50,,Defensive rebound by R. Hibbert
1:45.0,,,55-50,,Turnover by G. Hill (bad pass; steal by J. Wall)
1:40.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,57-50,,
1:16.0,,,57-52,2,R. Stuckey makes 2-pt shot from 14 ft
0:50.0,Turnover by J. Wall (bad pass; steal by R. Stuckey),,57-52,,
0:36.0,,,57-54,2,R. Stuckey makes 2-pt shot from 14 ft
0:36.0,,,57-54,,Shooting foul by J. Wall (drawn by R. Stuckey)
0:36.0,,,57-54,,P. George enters the game for S. Hill
0:36.0,,,57-54,,I. Mahinmi enters the game for R. Hibbert
0:36.0,R. Butler enters the game for D. Gooden,,57-54,,
0:36.0,K. Humphries enters the game for B. Beal,,57-54,,
0:36.0,,,57-55,1,R. Stuckey makes free throw 1 of 1
0:21.0,K. Humphries makes 2-pt shot from 17 ft (assist by J. Wall),2,59-55,,
0:04.0,Personal foul by J. Wall (drawn by R. Stuckey),,59-55,,
0:04.0,,,59-56,1,R. Stuckey makes free throw 1 of 2
0:04.0,,,59-56,,S. Hill enters the game for G. Hill
0:04.0,,,59-56,,R. Stuckey misses free throw 2 of 2
0:04.0,Defensive rebound by K. Humphries,,59-56,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,K. Seraphin misses 2-pt shot from 8 ft,,59-56,,
11:45.0,Offensive rebound by Team,,59-56,,
11:45.0,,,59-56,,Loose ball foul by I. Mahinmi (drawn by K. Humphries)
11:31.0,K. Humphries misses 2-pt shot from 16 ft,,59-56,,
11:30.0,,,59-56,,Defensive rebound by R. Stuckey
11:13.0,,,59-59,3,P. George makes 3-pt shot from 26 ft (assist by D. Sloan)
10:58.0,K. Humphries makes 2-pt shot from 16 ft (assist by R. Sessions),2,61-59,,
10:37.0,,,61-59,,I. Mahinmi misses 2-pt shot from 6 ft
10:36.0,Defensive rebound by R. Sessions,,61-59,,
10:23.0,R. Sessions misses 2-pt shot from 13 ft,,61-59,,
10:22.0,,,61-59,,Defensive rebound by R. Stuckey
10:15.0,,,61-59,,Shooting foul by K. Seraphin (drawn by R. Stuckey)
10:15.0,Technical foul by Team,,61-59,,
10:15.0,,,61-59,,P. George misses technical free throw
10:15.0,,,61-59,,Offensive rebound by Team
10:15.0,,,61-60,1,R. Stuckey makes free throw 1 of 2
10:15.0,,,61-61,1,R. Stuckey makes free throw 2 of 2
9:57.0,K. Seraphin makes 2-pt shot from 9 ft,2,63-61,,
9:36.0,,,63-61,,R. Stuckey misses 2-pt shot from 6 ft
9:34.0,Defensive rebound by R. Sessions,,63-61,,
9:26.0,R. Butler makes 3-pt shot from 22 ft,3,66-61,,
9:09.0,Personal foul by R. Sessions (drawn by L. Scola),,66-61,,
9:05.0,,,66-61,,Turnover by I. Mahinmi (bad pass; steal by R. Butler)
8:56.0,R. Sessions misses 2-pt shot from 5 ft,,66-61,,
8:55.0,Offensive rebound by R. Sessions,,66-61,,
8:49.0,K. Seraphin makes 2-pt shot from 12 ft (assist by R. Sessions),2,68-61,,
8:42.0,,,68-61,,Indiana full timeout
8:42.0,,,68-61,,G. Hill enters the game for D. Sloan
8:31.0,,,68-61,,P. George misses 2-pt shot from 1 ft
8:30.0,Defensive rebound by O. Porter,,68-61,,
8:26.0,O. Porter misses 2-pt shot from 2 ft,,68-61,,
8:25.0,,,68-61,,Defensive rebound by G. Hill
8:07.0,,,68-61,,G. Hill misses 3-pt shot from 23 ft
8:06.0,,,68-61,,Offensive rebound by L. Scola
8:04.0,,,68-61,,I. Mahinmi misses 2-pt shot from 3 ft
8:03.0,Defensive rebound by K. Humphries,,68-61,,
7:50.0,,,68-61,,Personal foul by R. Stuckey (drawn by O. Porter)
7:50.0,,,68-61,,R. Hibbert enters the game for I. Mahinmi
7:40.0,Turnover by K. Seraphin (lost ball; steal by P. George),,68-61,,
7:19.0,,,68-61,,P. George misses 2-pt shot from 18 ft
7:17.0,Defensive rebound by R. Sessions,,68-61,,
7:13.0,R. Sessions misses 2-pt shot at rim (block by P. George),,68-61,,
7:12.0,,,68-61,,Defensive rebound by L. Scola
7:10.0,,,68-61,,Turnover by L. Scola (lost ball; steal by K. Humphries)
7:06.0,O. Porter makes 2-pt shot from 1 ft,2,70-61,,
6:44.0,,,70-61,,R. Stuckey misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by K. Humphries,,70-61,,
6:41.0,,,70-61,,Personal foul by L. Scola (drawn by K. Humphries)
6:41.0,,,70-61,,C. Miles enters the game for R. Stuckey
6:29.0,R. Butler misses 2-pt shot from 18 ft,,70-61,,
6:28.0,,,70-61,,Defensive rebound by G. Hill
6:19.0,,,70-63,2,G. Hill makes 2-pt shot from 12 ft
6:00.0,R. Sessions misses 3-pt shot from 26 ft,,70-63,,
5:58.0,,,70-63,,Defensive rebound by C. Miles
5:58.0,Personal foul by O. Porter (drawn by C. Miles),,70-63,,
5:58.0,Official timeout,,70-63,,
5:58.0,J. Wall enters the game for R. Sessions,,70-63,,
5:58.0,B. Beal enters the game for R. Butler,,70-63,,
5:44.0,,,70-65,2,R. Hibbert makes 2-pt shot from 1 ft (assist by G. Hill)
5:23.0,Shooting foul by R. Hibbert (drawn by B. Beal),,70-65,,
5:23.0,B. Beal makes free throw 1 of 2,1,71-65,,
5:23.0,M. Gortat enters the game for K. Seraphin,,71-65,,
5:23.0,B. Beal misses free throw 2 of 2,,71-65,,
5:23.0,,,71-65,,Defensive rebound by R. Hibbert
5:01.0,,,71-67,2,G. Hill makes 2-pt shot from 16 ft
4:41.0,K. Humphries makes 2-pt shot from 18 ft (assist by J. Wall),2,73-67,,
4:22.0,,,73-70,3,G. Hill makes 3-pt shot from 28 ft
3:57.0,J. Wall misses 2-pt shot from 13 ft,,73-70,,
3:56.0,,,73-70,,Defensive rebound by R. Hibbert
3:56.0,,,73-70,,D. West enters the game for L. Scola
3:47.0,Personal foul by O. Porter (drawn by P. George),,73-70,,
3:47.0,,,73-70,,R. Stuckey enters the game for P. George
3:35.0,,,73-70,,Shooting foul by M. Gortat (drawn by C. Miles)
3:35.0,,,73-70,,C. Miles misses free throw 1 of 2
3:35.0,,,73-70,,Offensive rebound by Team
3:35.0,,,73-71,1,C. Miles makes free throw 2 of 2
3:19.0,Shooting foul by R. Hibbert (drawn by M. Gortat),,73-71,,
3:19.0,M. Gortat makes free throw 1 of 2,1,74-71,,
3:19.0,M. Gortat makes free throw 2 of 2,1,75-71,,
3:02.0,,,75-73,2,C. Miles makes 2-pt shot from 7 ft (assist by D. West)
3:02.0,,,75-73,,Shooting foul by B. Beal (drawn by C. Miles)
3:02.0,,,75-74,1,C. Miles makes free throw 1 of 1
2:47.0,K. Humphries misses 2-pt shot from 19 ft,,75-74,,
2:46.0,,,75-74,,Defensive rebound by R. Stuckey
2:34.0,,,75-76,2,G. Hill makes 2-pt shot from 1 ft (assist by D. West)
2:34.0,Washington full timeout,,75-76,,
2:34.0,D. Gooden enters the game for K. Humphries,,75-76,,
2:23.0,B. Beal misses 2-pt shot from 16 ft,,75-76,,
2:22.0,,,75-76,,Defensive rebound by G. Hill
2:06.0,,,75-76,,G. Hill misses 3-pt shot from 22 ft
2:06.0,,,75-76,,Offensive rebound by Team
2:06.0,Loose ball foul by D. Gooden (drawn by D. West),,75-76,,
2:06.0,,,75-77,1,D. West makes free throw 1 of 2
2:06.0,,,75-77,,D. West misses free throw 2 of 2
2:05.0,,,75-77,,Offensive rebound by R. Hibbert
2:05.0,,,75-79,2,R. Hibbert makes 2-pt shot at rim
1:53.0,,,75-79,,Violation by C. Miles (kicked ball)
1:40.0,J. Wall misses 3-pt shot from 25 ft,,75-79,,
1:39.0,Offensive rebound by D. Gooden,,75-79,,
1:35.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,77-79,,
1:23.0,,,77-79,,Turnover by G. Hill (bad pass; steal by D. Gooden)
1:17.0,Shooting foul by C. Miles (drawn by J. Wall),,77-79,,
1:17.0,J. Wall makes free throw 1 of 2,1,78-79,,
1:17.0,J. Wall makes free throw 2 of 2,1,79-79,,
1:17.0,,,79-79,,Indiana full timeout
